SN	INTTIME(ED)	SAMPLE(DELAY)	ED(348.86)	ED(352.18)	ED(355.50)	ED(358.83)	ED(362.15)	ED(365.47)	ED(368.80)	ED(372.12)	ED(375.45)	ED(378.77)	ED(382.10)	ED(385.42)	ED(388.75)	ED(392.08)	ED(395.41)	ED(398.74)	ED(402.07)	ED(405.40)	ED(408.73)	ED(412.06)	ED(415.39)	ED(418.73)	ED(422.06)	ED(425.39)	ED(428.73)	ED(432.06)	ED(435.40)	ED(438.73)	ED(442.07)	ED(445.40)	ED(448.74)	ED(452.08)	ED(455.41)	ED(458.75)	ED(462.09)	ED(465.43)	ED(468.77)	ED(472.11)	ED(475.45)	ED(478.78)	ED(482.12)	ED(485.46)	ED(488.80)	ED(492.14)	ED(495.49)	ED(498.83)	ED(502.17)	ED(505.51)	ED(508.85)	ED(512.19)	ED(515.53)	ED(518.88)	ED(522.22)	ED(525.56)	ED(528.90)	ED(532.24)	ED(535.59)	ED(538.93)	ED(542.27)	ED(545.61)	ED(548.96)	ED(552.30)	ED(555.64)	ED(558.98)	ED(562.33)	ED(565.67)	ED(569.01)	ED(572.35)	ED(575.70)	ED(579.04)	ED(582.38)	ED(585.72)	ED(589.06)	ED(592.40)	ED(595.75)	ED(599.09)	ED(602.43)	ED(605.77)	ED(609.11)	ED(612.45)	ED(615.79)	ED(619.13)	ED(622.47)	ED(625.81)	ED(629.15)	ED(632.49)	ED(635.83)	ED(639.16)	ED(642.50)	ED(645.84)	ED(649.18)	ED(652.51)	ED(655.85)	ED(659.19)	ED(662.52)	ED(665.86)	ED(669.19)	ED(672.53)	ED(675.86)	ED(679.20)	ED(682.53)	ED(685.86)	ED(689.19)	ED(692.53)	ED(695.86)	ED(699.19)	ED(702.52)	ED(705.85)	ED(709.18)	ED(712.50)	ED(715.83)	ED(719.16)	ED(722.48)	ED(725.81)	ED(729.14)	ED(732.46)	ED(735.78)	ED(739.11)	ED(742.43)	ED(745.75)	ED(749.07)	ED(752.39)	ED(755.71)	ED(759.03)	ED(762.35)	ED(765.67)	ED(768.98)	ED(772.30)	ED(775.61)	ED(778.93)	ED(782.24)	ED(785.55)	ED(788.86)	ED(792.17)	ED(795.48)	ED(798.79)	ED(802.10)	DARK_SAMP(ED)	DARK_AVE(ED)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0186	0.0320000000	0.0000000000	53.0787911749	55.5307198911	56.7564937624	57.9850506131	61.9481086525	67.1323591955	69.7393784470	69.8348710501	70.7323253432	71.1675436643	69.2519616555	68.9792427180	72.0144962701	74.5299096765	80.3234839928	93.5876187566	106.6344686281	112.6406492374	115.2605275028	118.3796816189	120.3995838456	120.5583152380	119.5346739574	116.4644121022	113.5576303998	115.9200153169	121.9169416158	127.7634661324	133.2397183205	138.8798734555	143.5911185012	146.4781870678	147.7771240682	149.1591708755	149.9168731917	149.3314050344	148.7705268457	149.5129170246	151.2034511130	152.4480385380	150.2332966114	146.6935232356	145.5169506265	147.4538390232	148.2802561825	146.9086824057	145.2844219468	145.2039695711	145.4821159206	143.7889592134	140.7364552896	140.0470090959	141.4618022735	142.9636474574	143.7903469930	144.6853629705	144.0655748889	143.0894085450	142.3930153129	142.3943873583	142.6034402011	142.3735864717	141.1134166293	139.7830301891	138.7424701974	137.7813544890	136.6708783508	136.2485397461	136.3437011046	136.6768846264	136.5768357173	134.2062839765	131.2436983646	129.6877322104	130.4550212957	132.0860245838	133.3962867873	134.1568553650	133.8250288445	132.6828889564	131.7449444188	131.1086518586	130.4178797406	129.0879593314	127.8159718679	127.3093794526	128.0190283461	128.2225598885	127.3239866472	125.1316485425	122.9062538219	121.1662890115	120.6413822007	122.3517928457	124.8642366726	125.8462527149	125.7511157244	125.2989640798	124.7758407868	123.3356527358	120.0749194265	114.8192067784	110.5686856124	109.5561062157	110.0362651289	110.2542322086	110.8973600612	111.8245603997	111.9502251840	107.9401065533	99.8773266284	92.4219409809	88.9025018922	88.6278707734	91.1714529387	96.0802633371	101.6054860124	105.6427008288	108.5380818999	110.3243828187	110.6157148041	108.5634680755	100.3449664880	86.5828905588	78.4078689886	83.7034407184	95.0231562163	103.0593790797	106.2645832521	106.9834157054	106.6539263841	104.8914999010	102.8090348056	101.3775156663	100.3894053722	99.9088231266	99.4894831799	15	2159	35.5000000000	93	649.2600000000	0	2017-198	18:47:19.475
0186	0.0320000000	0.0000000000	52.2374761834	54.4223809018	55.4830573762	56.5118597785	60.4368418542	65.6663684004	68.2907962928	68.2675351763	69.1597787491	69.5965325564	67.6976627481	67.4143160916	70.2195087950	72.7647117666	78.3098828051	91.1456755855	103.9873819156	109.7376717545	112.4963873466	115.3525869636	117.2712304438	117.3407865805	116.4923595728	113.5962245782	110.6748018765	112.8925731227	118.7326440835	124.4464668139	129.7533622674	135.3286519497	139.7263745842	142.6341043223	143.8087444062	145.0851234218	145.8394537807	145.1797697005	144.7523863327	145.5199055632	147.1128187883	148.2965770507	146.2828852017	142.8983234130	141.6226429279	143.4137720347	144.1858385670	142.9473912122	141.2470929146	141.2547969704	141.6030367087	139.7849291604	136.8882360502	136.1100013053	137.5017193120	138.9997924970	139.8990341847	140.7601924099	140.2622187966	139.0063438296	138.4543950057	138.5514133064	138.6126380556	138.5813657730	137.1693285559	135.8985276049	134.9343824584	133.9491806295	132.9454662169	132.3600793625	132.4525810043	132.8273174041	132.7308491295	130.3352784387	127.6927801497	126.2123357986	126.7233763607	128.2609277137	129.9139095096	130.4588001952	130.1947350268	129.1757876964	128.0868248683	127.4974379733	126.7770583855	125.4425163445	124.1044397075	123.8913926885	124.4102705850	124.6286486215	123.6349409515	121.5765920162	119.6864388584	117.8823807682	117.6939227983	119.1330346534	121.5600174848	122.3124683355	122.2031549597	121.7335400451	121.2169071229	119.8900514133	116.6279035343	111.6075974692	107.4106970844	106.6859590463	106.8769808085	107.3460647490	107.8743668815	108.8879182925	108.8638126071	105.1480882473	97.1504343045	89.8633736713	86.6850397836	86.2940367131	88.7315631054	93.8121496542	99.0301808480	102.9831581211	105.7071338587	107.4071909200	107.7484976349	105.7084518556	97.7089094863	84.2847230226	76.3996256908	81.3738425768	92.5376829196	100.3730402190	103.4187273117	104.1146360527	103.6185485312	102.1092524118	100.3024420393	98.8462541991	98.1455780027	97.5242481956	97.2381526082	15	2150	35.0000000000	94	650.0400000000	0	2017-198	18:47:20.195
0186	0.0320000000	0.0000000000	51.9490253291	53.8853506699	54.9170856490	56.4496122785	59.9595997073	65.2197751780	67.8782861429	67.7482950709	68.5248996894	69.0962105475	67.3090880212	67.0491665455	69.6493363028	72.2436593715	77.9177604686	90.6426143314	103.2457856382	109.0244835148	111.4841670077	114.5466112969	116.4465642176	116.5043998208	115.7784297973	112.7326842484	109.7432008016	111.9632187747	117.7549493188	123.4817618328	128.7405660955	134.1598955048	138.6368116225	141.5652303931	142.7158136141	144.0070881378	144.7237420016	144.1747828500	143.6481101279	144.3497923144	146.0189867015	147.1782866870	145.1920418144	141.7068989364	140.5179311522	142.2025487955	143.1363956054	141.7218420405	140.2044428927	140.0754762723	140.2741640282	138.5821976996	135.7488613342	135.0471588980	136.4654359202	137.9466649799	138.7800110209	139.6061495228	139.2358047681	137.8833277279	137.3858301919	137.4079932100	137.5011059144	137.3195059959	136.1140541550	134.6759937966	133.7591277941	132.8383103341	131.6662981568	131.3050192925	131.3322067685	131.7527032326	131.5549179786	129.2936260394	126.5115271145	125.1923033088	125.7272799039	127.3027523546	128.7375359772	129.3965078893	129.1376065788	128.0629574890	127.0058202730	126.3849368741	125.8331417379	124.4831892426	123.3565936752	122.9201614768	123.3805465119	123.6415209935	122.5321309948	120.7477445676	118.6302575169	116.8227170858	116.6260027249	118.1933300805	120.5383181307	121.6144368531	121.4171451903	120.8039049440	120.5139078807	119.2716101502	115.6938734216	110.7235656384	106.6352479440	105.6391994904	106.0674844702	106.4624292516	107.0074791314	107.9163975954	107.8972492378	104.0422300163	96.1648105730	89.1386292831	85.9789821967	85.6827944592	88.0152651727	92.8755653971	98.2097296452	102.0621043695	104.9265843988	106.2497625554	106.7287760475	104.9763964146	96.9131186933	83.4467171806	75.6870232303	80.6987885698	91.7947425320	99.4500417386	102.6757205883	103.5009170226	103.0811849878	101.3544937844	99.4719444361	97.9510519729	97.2290851334	96.7618330817	96.4043264705	15	2154	34.5000000000	95	650.4000000000	0	2017-198	18:47:20.521
0186	0.0320000000	0.0000000000	51.8408562588	53.9539077208	54.9606219357	56.1591239449	59.8005189917	65.0450213084	67.6672344384	67.7290639559	68.4174586178	68.9561203850	67.0636724043	66.9761366363	69.6071013034	72.1160547033	77.8223793597	90.4434859183	103.1736860001	108.7331812760	111.2992421381	114.2560851845	116.0880136844	116.1971557049	115.3159980108	112.2854937205	109.4497831402	111.6815962450	117.4222615169	123.1183455728	128.4094596547	133.8580737855	138.2202140195	141.1917684178	142.3124701074	143.7094710349	144.3315524065	143.7104096157	143.2990163599	144.0792036256	145.6144186694	146.6804176894	144.6699953362	141.1388024973	140.0967101154	141.8838058378	142.5957734736	141.3106900604	139.7811113048	139.5711615001	139.9131408144	138.3081576199	135.3715849382	134.6280097796	135.9695002970	137.3689075225	138.1952311740	139.1359839021	138.7296279868	137.4812602347	136.8446980106	136.9885136480	137.1730030534	137.0339272042	135.6721579996	134.2947735769	133.2535713184	132.3847597401	131.3366156671	130.8471630357	130.9498035863	131.3310191906	131.0568765500	129.0120983639	126.2251627423	124.6531432784	125.2738330094	126.9225240375	128.2545216792	128.9971498796	128.8098148119	127.5992782359	126.6339546922	126.0582500434	125.3117401611	124.1177312991	122.8672623207	122.4345458710	122.9648780787	123.1910841147	122.1319964087	120.2084944204	118.2918693201	116.5918992540	116.4337771117	117.7612820010	119.9948610274	121.0909132413	120.8931386774	120.4429877872	119.8109086384	118.6973432631	115.3936494568	110.4997601116	106.3767648972	105.3803234712	105.7526803386	106.1156862084	106.7074026026	107.6955974370	107.6885594195	103.8998918282	96.1319564486	88.8311619670	85.7473070511	85.2715951248	87.7802299135	92.7063031819	97.9590362221	101.7857882441	104.5887346325	105.9899316980	106.6687924247	104.6347705421	96.7390394573	83.4086260060	75.5056335131	80.5796613921	91.4570423558	99.2434002878	102.4514166718	103.3296465955	102.7326248516	101.1769035191	99.3511447847	97.8430103249	97.1500771274	96.6320602963	96.1041490610	15	2148	37.0000000000	96	650.6600000000	0	2017-198	18:47:20.896
0186	0.0320000000	0.0000000000	52.0571943995	54.1710050486	55.1021148675	56.4911106119	60.1385655124	65.3459863060	68.1277108847	67.9886840086	68.7983860536	69.2463071501	67.4726984325	67.3308533382	70.0928037967	72.5839384866	78.1827079933	91.0094298292	103.5650840354	109.2856510392	111.9124140742	114.8558810295	116.6706583008	116.7177637901	115.8433325041	112.9331489678	110.1173083199	112.3152469368	118.0740580267	123.8253553877	129.0197342711	134.4424520080	139.0149540621	141.8549853739	143.0931349590	144.4369795087	145.1294553759	144.4520206019	143.9259602697	144.8178376139	146.3336507265	147.5229652237	145.4335857073	142.0540689826	140.8437813882	142.7045689538	143.5100609023	142.1409007896	140.6356139544	140.4013412020	140.6659126219	139.0693800635	136.0959556186	135.4064295709	136.7319087924	138.2318870158	139.1698642521	140.0050779282	139.5310745571	138.3200562119	137.6803704932	137.7801121763	138.0100001477	137.7246293980	136.3910636852	135.1229416405	134.0939768884	133.2129825639	132.1806028408	131.6168923950	131.7816982284	132.1947913411	131.8869455977	129.8144522390	126.8909599076	125.4400254849	125.9800207960	127.6601669727	129.0335769986	129.6920328165	129.3670608155	128.2821513177	127.4555181846	126.7999174428	126.1657599852	124.7664191489	123.6058756859	123.2937119428	123.7773209254	123.9961202385	123.0396187625	120.8575918199	118.8045787092	117.2843527494	116.8289075389	118.4417577262	120.7665701140	121.6798773046	121.7228156562	121.1320114503	120.6237515123	119.3599589021	116.2609631329	111.1040350339	107.0735452842	105.9993748214	106.2024005266	106.6749491814	107.1186185866	108.1371977539	108.1938084534	104.3597536668	96.4604976924	89.4241346482	86.2327216420	85.8828373787	88.4293749150	93.2028056797	98.5401891574	102.3269073231	105.1362842537	106.9583921664	107.3885958981	105.3058213630	97.4353564012	83.9926906837	76.1275411150	81.2944244583	92.1054266941	99.9046529305	102.9140434996	103.6864599852	103.1973716999	101.8872645802	99.7739435645	98.2288733534	97.7031331692	97.1349298396	96.9713282441	15	2150	35.0000000000	97	650.9800000000	0	2017-198	18:47:21.161
0186	0.0320000000	0.0000000000	52.5980397512	54.6966091053	56.0707972467	57.2588297792	61.1825327086	66.3945095238	69.1637828891	69.1617820245	69.9509357313	70.3770348902	68.4032326468	68.3011078466	71.1697962818	73.7004793333	79.2848896960	92.5500549199	105.2336756596	111.0234195670	113.8589916490	116.9739101072	118.7592151564	118.9794218650	118.1392657597	115.1459710630	112.1712319497	114.3851725301	120.4368203748	126.1776497252	131.5776938333	137.0625214010	141.6170867824	144.6301941902	145.7083622116	147.0758511549	147.8342112040	147.1550886824	146.7115860509	147.5968565797	149.3154669632	150.4718815939	148.4567802378	144.8551000367	143.6095346108	145.5254441293	146.2370225375	144.8608292737	143.2931955891	143.1711931047	143.4542408474	141.7184341670	138.8651643653	138.0859900063	139.4632557322	141.0256002904	141.9710319138	142.7192158295	142.3853491845	141.0513422864	140.4545291443	140.5270267274	140.7017828029	140.4542313370	139.1677544526	137.8309197534	136.8055979853	135.7699562026	134.8444373578	134.3175807501	134.3310527769	134.7793064373	134.6261734551	132.3059721670	129.5111939129	128.0119645485	128.5520310499	130.1392556002	131.7291084038	132.3677314815	132.0959272745	130.9377688583	129.9807449193	129.3780945933	128.6918607278	127.4799443798	126.0248344572	125.7871613035	126.2524375049	126.5358175339	125.5770576008	123.3341480516	121.2860921524	119.5820393478	119.2958029083	120.8180221635	122.9947442374	124.0793605252	123.9716769409	123.5162520625	122.8645615969	121.7012008264	118.3402920743	113.3085194727	109.2537935918	108.1941932451	108.3947864428	108.8113337382	109.2302682342	110.2347992590	110.4234944075	106.5057755804	98.4645992799	91.0383380581	87.7772226132	87.5832021940	89.9291237116	95.0421217509	100.5571316977	104.2956597171	107.2682327785	108.7299661939	109.0681373362	107.1725627376	99.1015433740	85.4274582616	77.3583999104	82.7504232968	93.8884836244	101.6128889239	104.8206267897	105.6132522892	104.9401723810	103.5151753451	101.5557384225	99.9884087636	99.2990948898	98.9355272364	98.5055683375	15	2157	34.5000000000	98	651.3500000000	0	2017-198	18:47:21.520
0186	0.0320000000	0.0000000000	54.4970078750	56.7647468070	57.9102053602	59.1262547807	63.1014438407	68.7828124086	71.3990123058	71.4791313839	72.3732435284	72.9787093364	71.0312248784	70.7006620070	73.6194262479	76.3695436429	82.2099103687	95.9142770569	109.5699538928	115.6239859586	118.3361200710	121.6035842859	123.4920821940	123.7417056603	122.8447120077	119.7797901542	116.6531867277	118.9897008906	125.2506091816	131.3844135956	136.9792734165	142.8228210224	147.7635037251	150.7729997835	152.0187364282	153.4448571579	154.2647681855	153.5870045253	153.0451444128	153.8569624606	155.6986514698	156.8982214239	154.6901710224	151.1830631505	149.9040074624	151.9242090047	152.6926868167	151.1862443532	149.6588483544	149.5643526785	149.6914929664	147.9909071018	144.9091322296	144.1786218342	145.5699257195	147.2566047669	148.1870251012	148.9453484428	148.5157124237	147.2625918364	146.6193261468	146.6703725709	146.8486894632	146.7037579174	145.3279187679	143.9633070817	142.8985383678	141.8304438499	140.8578459704	140.3825172529	140.3689977601	140.8053074248	140.6234223249	138.1899005845	135.2098449192	133.5274259399	134.2164004533	135.8426803567	137.4863272143	138.3261529863	137.9879842833	136.7379747882	135.6106168516	135.1083581914	134.5261645784	133.0897238134	131.6382960331	131.3437244856	131.8639613533	132.0560652400	131.0032729629	128.6667328410	126.6387781745	124.7124902455	124.3577440559	126.1322135414	128.5488758328	129.5654517068	129.5283293385	129.0065676005	128.5105242612	127.0683875019	123.5219353188	118.1539091274	113.7828661071	112.6626184461	113.0606333929	113.2406964844	114.0092648050	114.9378426337	115.0256540862	110.8635139561	102.6589758263	94.9475653638	91.4178320453	91.0950667799	93.4658447544	98.8335953700	104.4998555334	108.7627704122	111.5670798040	113.2533852109	113.6028992188	111.5892972317	102.9437207964	88.6017228143	80.2476789775	85.7947845046	97.3600414356	105.5115242961	108.9141732656	109.7665601446	109.2390807277	107.5701530688	105.5119270054	103.9087771335	102.8702567597	102.4880572355	102.1243737749	15	2158	35.0000000000	99	652.0800000000	0	2017-198	18:47:22.206
0186	0.0320000000	0.0000000000	54.3768200191	56.5133709538	57.8340168584	59.0951310307	62.8628227673	68.3750533794	71.3510460093	71.3733602513	72.3732435284	72.9987222168	70.9800966249	70.7736919162	73.5560737487	76.2525726970	82.2099103687	95.5893833303	109.2300555990	115.4029980533	118.1414623135	121.5379816153	123.5100097207	123.6819637489	122.8771633612	119.6872679760	116.6018386369	119.0389848333	125.2370300876	131.2522622284	136.8234586208	142.7650253740	147.5520003267	150.6313417928	151.9016367004	153.3324240301	154.1092447254	153.4206618742	152.9097815232	153.8277096294	155.5038594543	156.7526904862	154.5343362528	150.9069051592	149.7132658608	151.5895288991	152.4462267272	151.0202022074	149.4315036128	149.2384877487	149.5225033769	147.7244792465	144.6827663919	143.9989864978	145.4440913077	146.9786961165	147.9343424513	148.7601316831	148.3329263638	147.0546258917	146.3384853945	146.4876959875	146.6879860211	146.4248204930	145.1630321427	143.7529786846	142.6687399698	141.7186995007	140.7127856749	140.1569069235	140.3555801046	140.5876640482	140.5750016304	137.9717166360	134.9879125307	133.3962789055	134.0602957847	135.7362164280	137.2136578525	138.0945253407	137.7585300466	136.6705305332	135.6365609619	134.8964532201	134.2205153782	132.8156303557	131.3982466894	131.0075290662	131.4766339496	131.8931412625	130.8764010209	128.6168022719	126.5669988600	124.6915068062	124.3791024573	125.9053882997	128.3641004177	129.5327314811	129.3209100938	128.7659561626	128.2249308191	126.7591668704	123.3440248211	117.9972452586	113.7828661071	112.8764725489	112.8470163036	113.1959554466	113.7869858947	114.7612025069	114.8718826411	110.8306666819	102.3851914565	94.7499078034	91.2082211992	90.7616619142	93.4434604440	98.7094697456	104.5340410002	108.6591518651	111.5204798363	113.1470907693	113.4829319733	111.4306852195	102.8939838718	88.3477816501	80.0274200352	85.5565301492	97.2384693721	105.4426438125	108.7319263334	109.5239270396	108.8033805574	107.3481652372	105.5270269618	103.8470390489	102.8702567597	102.4718356374	102.0409911612	15	2157	36.0000000000	100	652.3400000000	0	2017-198	18:47:22.456
0186	0.0320000000	0.0000000000	54.2446133775	56.5362233041	57.7034079983	59.1885022808	63.1412140196	68.6274756356	71.5620977139	71.4214380389	72.3927782687	72.6985290114	70.7040040558	70.6067664094	73.5455149989	76.1356017512	82.1675187647	95.7151486438	109.3021552371	115.4431776724	118.1122636499	121.4161480843	123.4382996141	123.6222218375	122.7798093008	119.5793254348	116.5504905462	118.9544980744	125.2166614467	131.2258319549	136.8494277534	142.7393384192	147.4943175816	150.6120247941	151.7975480536	153.1869223354	154.0010544922	153.3582833800	152.8314135344	153.7399511357	155.4589074508	156.6684357327	154.4252519140	150.7491005928	149.6735280272	151.5656231773	152.3269718452	150.9569480566	149.2198378189	149.1609008607	149.5071406870	147.6711936755	144.6450387523	144.0139561091	145.3330609443	147.0225764297	147.8188303827	148.7530079616	148.2977751985	147.0130327027	146.3658844923	146.5282907838	146.6812900444	146.3849722895	145.0311228426	143.6741055357	142.6884369753	141.6332479395	140.5743190292	140.1237289338	140.1140623052	140.5808626927	140.4643257574	138.0280221711	134.9163214377	133.3525632274	134.0900300073	135.7818438260	137.2915633844	138.1025125009	137.7749196349	136.5946557463	135.3771198591	134.8169888559	134.1396082370	132.7516752156	131.4813406930	131.0448841128	131.4671869397	131.8452224456	130.7592884592	128.5169411335	126.4131860433	124.5865896100	124.1975560449	125.8945870977	128.0380261557	129.3582236105	129.1462412561	128.7550192791	128.1370559138	126.8143848403	123.2995471967	117.9636744296	113.7603893204	112.5838300924	112.7345862566	113.1400291493	113.6980743306	114.7832825228	114.7949969185	110.5897866712	102.3632887069	94.5742121942	91.2633819482	90.7060944366	93.2084251848	98.5853441211	104.1921863324	108.3828357397	111.3340799652	113.1825222498	113.5309188715	111.4916898396	102.9064181030	88.6144198725	80.1828969357	85.6359482677	97.2654853862	105.5390764895	108.7319263334	109.5952897176	109.2245573887	107.3037676709	105.3156275719	103.6000867107	102.7438439502	102.4069492447	101.9742850702	15	2156	35.0000000000	101	652.6500000000	0	2017-198	18:47:22.783
0186	0.0320000000	0.0000000000	53.7398243826	55.9877668970	57.2136247728	58.5349035302	62.4452358888	67.9381687054	70.6699245990	70.7195023408	71.5527844358	72.1081490410	70.1006906641	69.9703629147	72.8380787587	75.3593400197	81.2137076758	94.8347914491	108.1073612346	113.9565317643	116.7009949082	119.8604276113	121.9503149015	122.1628122873	121.4493038100	118.1914927619	115.2961300437	117.5956693686	123.7229611117	129.6664458211	135.0965113022	140.9412515809	145.6036053834	148.6030569271	149.9434690312	151.2887865899	151.9995351794	151.3760334543	150.9790792554	151.7288189894	153.4810192938	154.7382359268	152.5864016326	148.9422383072	147.7581644448	149.7169140228	150.4904466623	148.9802558442	147.4794746244	147.2677807928	147.5868044435	145.7985864644	142.7812933560	142.1652091048	143.5787812024	145.1210961904	146.0572713378	146.8794692004	146.3222797051	145.1829323889	144.5438444893	144.5662089615	144.7662406927	144.5851617653	143.2701336861	141.9454690219	140.9091408076	139.7796063814	138.6291923398	138.2657615150	138.3295141213	138.7921061919	138.6035876421	136.1488249373	133.1480214395	131.7132252973	132.2985430962	134.0175844346	135.4607833838	136.2894271368	135.8245586222	134.7483692657	133.8550653889	133.2277015713	132.6383312831	131.1253873668	129.6348072798	129.4012620623	129.8234072266	130.2063989079	129.1001938341	126.8792184641	124.8648036882	123.0652902640	122.5849967341	124.3716176174	126.5054771245	127.6349583884	127.7161401479	127.1144867478	126.5333388924	125.3676740286	121.7539497483	116.6096509926	112.1757758597	111.1768952054	111.4866127350	111.7306864573	112.2532614139	113.5247216197	113.4330212618	109.2868447950	101.1695888542	93.6298482945	90.0939740700	89.6503123617	92.1339782858	97.4343610582	103.0184853061	107.1394131751	109.9244309406	111.8479364824	112.1752889965	110.2471955899	101.8992453806	87.6367463903	79.3277739831	84.5770400215	96.2118608365	104.0650341403	107.4982547928	108.1537636234	107.5108033856	105.9570414926	104.0472312323	102.6277118788	101.6693350690	101.3038805692	100.8736345684	15	2158	35.5000000000	102	652.9100000000	0	2017-198	18:47:23.080
