SN	INTTIME(ED)	SAMPLE(DELAY)	ED(348.86)	ED(352.18)	ED(355.50)	ED(358.83)	ED(362.15)	ED(365.47)	ED(368.80)	ED(372.12)	ED(375.45)	ED(378.77)	ED(382.10)	ED(385.42)	ED(388.75)	ED(392.08)	ED(395.41)	ED(398.74)	ED(402.07)	ED(405.40)	ED(408.73)	ED(412.06)	ED(415.39)	ED(418.73)	ED(422.06)	ED(425.39)	ED(428.73)	ED(432.06)	ED(435.40)	ED(438.73)	ED(442.07)	ED(445.40)	ED(448.74)	ED(452.08)	ED(455.41)	ED(458.75)	ED(462.09)	ED(465.43)	ED(468.77)	ED(472.11)	ED(475.45)	ED(478.78)	ED(482.12)	ED(485.46)	ED(488.80)	ED(492.14)	ED(495.49)	ED(498.83)	ED(502.17)	ED(505.51)	ED(508.85)	ED(512.19)	ED(515.53)	ED(518.88)	ED(522.22)	ED(525.56)	ED(528.90)	ED(532.24)	ED(535.59)	ED(538.93)	ED(542.27)	ED(545.61)	ED(548.96)	ED(552.30)	ED(555.64)	ED(558.98)	ED(562.33)	ED(565.67)	ED(569.01)	ED(572.35)	ED(575.70)	ED(579.04)	ED(582.38)	ED(585.72)	ED(589.06)	ED(592.40)	ED(595.75)	ED(599.09)	ED(602.43)	ED(605.77)	ED(609.11)	ED(612.45)	ED(615.79)	ED(619.13)	ED(622.47)	ED(625.81)	ED(629.15)	ED(632.49)	ED(635.83)	ED(639.16)	ED(642.50)	ED(645.84)	ED(649.18)	ED(652.51)	ED(655.85)	ED(659.19)	ED(662.52)	ED(665.86)	ED(669.19)	ED(672.53)	ED(675.86)	ED(679.20)	ED(682.53)	ED(685.86)	ED(689.19)	ED(692.53)	ED(695.86)	ED(699.19)	ED(702.52)	ED(705.85)	ED(709.18)	ED(712.50)	ED(715.83)	ED(719.16)	ED(722.48)	ED(725.81)	ED(729.14)	ED(732.46)	ED(735.78)	ED(739.11)	ED(742.43)	ED(745.75)	ED(749.07)	ED(752.39)	ED(755.71)	ED(759.03)	ED(762.35)	ED(765.67)	ED(768.98)	ED(772.30)	ED(775.61)	ED(778.93)	ED(782.24)	ED(785.55)	ED(788.86)	ED(792.17)	ED(795.48)	ED(798.79)	ED(802.10)	DARK_SAMP(ED)	DARK_AVE(ED)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0186	0.0320000000	0.0000000000	10.3520083889	9.9402810528	9.4434341818	8.9236459887	8.5864711082	8.2888478754	8.2273998200	8.2279940972	8.3578995676	8.5172217118	8.7263351231	8.7712989795	8.9576421434	9.0049125619	9.0737956510	8.9790040791	8.8570594403	8.4850315210	8.3350213189	8.1015924275	7.6175136420	7.1596328202	6.9771545682	6.6328764039	6.3354814805	5.9886608506	5.8903733232	5.6357800692	5.5105395713	5.3976126627	5.4024889893	5.4898524025	5.5204714976	5.6151352676	5.6587210965	5.8054209022	6.0837924574	6.1886704670	6.3081596127	6.5647627304	6.7873911823	6.7208728135	6.7444879226	6.8244460954	6.7247112433	6.6663233252	6.6041295598	6.5794767266	6.5035413051	6.4796548472	6.3732396116	6.4132883883	6.2638297657	6.2325914811	6.2010343745	6.1076081346	6.0550694430	5.9081391856	5.7948132855	5.7049423406	5.7644592521	5.6079107320	5.5832062275	5.5475034926	5.5447530211	5.6075089215	5.6418696340	5.6467014012	5.6959893235	5.7915990709	5.9032158811	5.9563514120	6.0380357419	6.1763695853	6.3072084286	6.3673338165	6.7141012971	6.7057401483	7.0351734322	7.1859914679	7.3688797008	7.4974186179	7.6637671382	7.7741949679	7.8466960164	8.0440544129	8.0892383556	8.0421671204	8.2497894669	8.4439083473	8.7361270600	9.0098061967	9.0971305407	9.2200032274	9.2600416665	9.3186221288	9.4653370624	9.2695665829	9.3851057902	9.5535039337	9.5702615650	9.5410869828	9.5580062894	9.6974956792	9.5687751401	9.5757118090	9.4381514673	9.4947269729	9.4615570177	9.2340476180	9.4299221974	9.3618417099	9.3937983248	9.4331016612	9.6030258506	9.6888287300	9.8175076977	9.8876501812	10.0024500791	9.9706194054	10.2391204326	10.3338288155	10.5573834236	10.6671795149	10.6976788320	11.0623350298	11.3275445499	11.7514100102	11.9167483801	12.1852343463	12.7169696732	12.7517506041	13.1756934765	13.3698761174	13.7492260247	13.9343528277	14.3058049553	15	2071	35.0000000000	69	649.6800000000	0	2017-198	18:47:19.935
0186	0.0320000000	0.0000000000	10.2678768897	9.8145931261	9.3781297518	8.8925222387	8.4969882057	8.3665162619	8.1890267828	8.3049185573	8.2895279765	8.6272925538	8.5729503625	8.8964931096	9.0421121423	9.1218835078	9.0208061461	8.9790040791	8.6819603193	8.6256601880	8.1306306735	7.9047844159	7.5547672987	7.2108401728	6.8311234778	6.6097458593	6.2621270652	6.0168231035	5.8156883065	5.6754254794	5.4780781556	5.4297213562	5.4409441526	5.5864373961	5.5920324423	5.6415901212	5.8345302253	5.9440397781	6.1407873583	6.2252365061	6.4355236228	6.6413579608	6.6549316281	6.7997750967	6.7285927892	6.7527289299	6.6452079886	6.8402722399	6.6668453506	6.5794767266	6.5573107200	6.4948792961	6.4411493629	6.3459251371	6.2860358384	6.1740843968	6.2082538788	5.9508862610	6.0058578115	5.9774611672	5.8427617067	5.7320055382	5.7242833915	5.6211934665	5.6029926226	5.5475034926	5.6301067118	5.5549233454	5.5957140854	5.6135234116	5.6557363569	5.7507909378	5.8063744922	5.9422750283	5.9807628675	6.1107960681	6.2700406504	6.4433794799	6.6829390843	6.9134063134	6.9122515196	7.2112830635	7.3083434435	7.3826367584	7.5379115852	7.6645575848	7.8282306823	8.0533931745	8.1081323753	8.2530099147	8.4547364500	8.5237972580	8.7976521867	9.0202979164	9.1398473436	9.2416056314	9.3143873768	9.2749951612	9.3452522365	9.2695665829	9.3741214270	9.3657628360	9.3923510673	9.4627550485	9.5804830761	9.7650285538	9.6699621824	9.5645265495	9.4381514673	9.3953669016	9.2528671993	9.3763858061	9.2875543251	9.1971270762	9.3717340252	9.3664206881	9.5246807643	9.7339653207	9.7833222309	9.8646238374	9.9325501274	10.0414823665	10.2031302590	10.4924408277	10.6692915038	10.8195442134	11.1900223502	11.1682258544	11.3275445499	11.6825295266	11.8606724010	12.1852343463	12.1505594518	12.5889595276	12.8887943045	13.1846618637	13.4805988044	13.8694664350	14.2224223416	15	2072	35.5000000000	70	651.7200000000	0	2017-198	18:47:21.879
0186	0.0320000000	0.0000000000	10.2438393185	9.6089219735	9.2475208916	8.9340205721	8.4671605715	8.2597222305	8.2369930793	8.1895318672	8.2602258661	8.3671251091	8.6343042667	8.7295676028	8.9365246437	8.9942788396	9.0737956510	8.9161214223	8.6613604227	8.5252111401	8.2571582159	7.8579253655	7.5726948254	7.2876512018	6.9041390230	6.5326440441	6.2107789744	6.0027419771	5.7477928367	5.5961346590	5.5624778365	5.4746735272	5.4922177037	5.5284864000	5.5139659572	5.6151352676	5.7533875504	5.8747303402	5.9840513808	6.1740440514	6.3606036168	6.5877412995	6.6471398896	6.7445434985	6.8080684565	6.8483518172	6.8916680781	6.6979504006	6.7452400891	6.6105114819	6.4497718903	6.4644303984	6.3430574999	6.3459251371	6.2638297657	6.2106513245	6.1216198274	6.1004844130	5.9425857138	5.7902918169	5.7400150900	5.7117081400	5.6305397170	5.5747038957	5.6425654126	5.5277852054	5.5447530211	5.6272285125	5.6484632838	5.6201590095	5.6892804957	5.7099828047	5.7441193136	6.0760006741	6.1311041628	6.1836555317	6.3964110964	6.5954708068	6.6517768716	6.8574961920	6.9778098730	7.1522693404	7.2305111126	7.3384898894	7.5199322205	7.7193762763	7.7913000141	7.9506667964	7.9853212473	8.0900859373	8.2693082272	8.5637417133	8.6233309944	8.8839055612	9.0971305407	9.2092020255	9.1839576720	9.2313681935	9.1815002012	9.4664304866	9.3741214270	9.5645475276	9.4701869101	9.5858480882	9.6703902228	9.5736854092	9.5350461260	9.4526739549	9.3270120121	9.3732868858	9.2748345486	9.2887930749	9.3642139486	9.2849748808	9.4820555231	9.5108961299	9.4575278331	9.4631457764	9.7719270753	9.6228472276	9.7461502564	9.8997564443	10.1911335344	10.4436371317	10.6817257350	10.7560589223	10.9179377743	11.2079349137	11.4221005992	11.5447685593	11.9588053644	12.0853265972	12.3103161809	12.4113692623	12.8434944352	13.0766202158	13.3699875960	13.7883584442	14.3725110463	15	2070	36.0000000000	71	653.5900000000	0	2017-198	18:47:23.766
0186	0.0320000000	0.0000000000	10.4361398880	9.5860696232	9.2910571783	8.8717730720	8.4572180268	8.2597222305	8.1026874491	8.2279940972	8.3188300870	8.4872023913	8.7774633766	8.8756274213	8.9365246437	9.0687148960	8.9784145422	8.9161214223	8.6819603193	8.5653907593	8.3544870946	8.0172461368	7.6264774053	7.1852364965	6.9041390230	6.6097458593	6.2181144160	5.8900929652	5.7206346488	5.6423876375	5.5235241376	5.4168778788	5.4409441526	5.4962914021	5.4879437955	5.5622255604	5.7804351087	5.9371088343	6.1122899079	6.2544893373	6.4280316222	6.4651889309	6.7094737974	6.7682141834	6.8080684565	6.7367917820	6.6611086396	6.7453910137	6.6825242983	6.6725809923	6.5342666850	6.4796548472	6.3279664441	6.3608947485	6.1972115477	6.0936371559	6.1360588359	5.9793811471	5.9707066461	5.8873425911	5.8085128344	5.7793661339	5.6439316705	5.6278348337	5.5370379725	5.4883486309	5.5250560156	5.6272285125	5.6616505834	5.6002522157	5.6423187014	5.7507909378	5.8132917343	5.9845041796	6.1311041628	6.2055133708	6.3443762068	6.4129612145	6.6206146588	6.6418428668	7.0351734322	7.1101166810	7.3256395170	7.3561486370	7.5738703146	7.7833314164	7.9297900200	7.9413280347	8.2214964934	8.1284209908	8.4059395493	8.6136722825	8.6540935577	8.9153807201	9.2146017488	9.0363827937	9.2165650982	9.2095547097	9.2360842130	9.3133141171	9.3301839744	9.2774140841	9.5702615650	9.5187064302	9.5467678961	9.5624299301	9.5462891307	9.3967476576	9.3825817397	9.2297667828	9.2748345486	9.3763858061	9.1561378275	9.1641841495	9.4599912236	9.4219881657	9.6366023162	9.6436921393	9.7833222309	9.8415974936	9.8393501919	9.9824298989	10.0711662888	10.4070343596	10.6568572727	10.8068471552	10.9308941827	11.3270620914	11.5031486415	11.7789622036	11.8045964219	12.1995068819	12.3103161809	12.7369514153	12.9944939995	13.1537928215	13.3857891972	13.7883584442	14.1890692961	15	2068	36.0000000000	72	655.5600000000	0	2017-198	18:47:25.872
0186	0.0320000000	0.0000000000	10.2438393185	9.7117575498	9.2257527483	8.8510239053	8.4771031163	8.2500136821	8.1218739677	8.1126074071	8.2211563855	8.4371701904	8.6138529653	8.9277916421	8.9787596431	9.0474474513	9.0949914530	8.9475627507	8.6201606295	8.4247620923	8.1208977857	7.9516434663	7.6085498787	7.2876512018	6.8635748312	6.4401218660	6.2767979482	5.9252957814	5.7749510246	5.5630968172	5.5300164208	5.4040344014	5.4024889893	5.4061454081	5.5139659572	5.6349764078	5.7128162130	5.8192827898	6.0552950070	6.2106100904	6.4505076240	6.5341246382	6.6237646742	6.6419705303	6.9113868240	6.8005403736	6.8280654744	6.7216707071	6.7844374583	6.6648223035	6.4574532353	6.4263692762	6.4109672512	6.3309555258	6.2120155961	6.1667710113	6.0927418102	6.1218555776	5.9707066461	5.9982577616	5.7879635111	5.7726003345	5.6707155775	5.6676830372	5.5370379725	5.5080669181	5.5513186896	5.5483501484	5.5034029883	5.5272606386	5.6691540125	5.7303868713	5.8409607025	5.9915423715	6.1167859442	6.3075166198	6.4261453189	6.5118205770	6.7063107439	6.8255475512	7.0351734322	7.2534357229	7.3602316641	7.4532717489	7.6098290441	7.6280117904	7.7174386775	7.8386016566	8.0514503162	8.2913449682	8.2595488471	8.4838528026	8.8899398767	9.0412813556	9.1291681429	9.2740092374	9.1730885300	9.1441142582	9.2033338059	9.2805034664	9.4290432428	9.4430679938	9.4145898795	9.5187064302	9.6366750428	9.5511744510	9.5912611495	9.5309707711	9.4048096307	9.4616069492	9.2968018979	9.2887930749	9.3970680730	9.3398797587	9.3496697256	9.3775341836	9.4351435227	9.4631457764	9.6237900526	9.7494921184	10.0840000226	10.1477768081	10.2151269835	10.4070343596	10.5698176547	10.8068471552	10.9568069995	11.0623350298	11.3005285358	11.7789622036	11.9307673749	12.1566892751	12.4555495710	12.6481562827	12.9642940866	13.1846618637	13.5596068103	13.8370232387	14.4225406146	15	2077	35.0000000000	73	657.7200000000	0	2017-198	18:47:27.885
0186	0.0320000000	0.0000000000	10.1957641762	9.8031669510	9.3672456801	8.9028968220	8.5168732952	8.3179735203	8.2753661165	8.2760718848	8.4165037885	8.5372345922	8.8388172808	9.0738514606	9.0949058915	9.0899823407	9.0208061461	8.8113169943	8.7540599573	8.5252111401	8.3350213189	8.0453615671	7.6085498787	7.3388585544	7.0177187600	6.4863829550	6.2474561821	5.9745797241	5.7613719307	5.6556027743	5.5105395713	5.4104561401	5.4024889893	5.4254624068	5.4554160933	5.5622255604	5.7331018817	5.8816612840	6.1407873583	6.2032968826	6.3531116162	6.6107198686	6.6003894587	6.7050923569	6.8478062901	6.8164775214	6.7247112433	6.5951624055	6.6276479813	6.5717180378	6.6033987898	6.5253281939	6.4486948908	6.4581972224	6.3230459596	6.3203521075	6.2154733830	6.2358351220	6.0339787438	5.8041562132	5.7400150900	5.6372843467	5.6171477635	5.6211934665	5.5106561125	5.4094754820	5.6038440378	5.6206553155	5.5957140854	5.6865149887	5.6289010459	5.7371882268	5.7856227660	5.9000458769	6.0165584140	6.2492290489	6.2849077616	6.4205657809	6.6284052120	6.7856117503	7.0269786380	7.0763945535	7.3602316641	7.5503948607	7.6817465029	7.8107407622	7.9482553542	7.9786830813	8.0231092867	8.1571722809	8.2205113265	8.4738666888	8.6951103088	8.8943972808	8.9903385334	9.1551960155	9.1730885300	9.4058760641	9.2797514224	9.3570616512	9.3631370638	9.4761987758	9.4701869101	9.5858480882	9.5692446827	9.5511744510	9.4788311025	9.4526739549	9.4159235762	9.3512068700	9.2418835246	9.3106912577	9.1451864527	9.2739939053	9.2724446771	9.5331231210	9.6701787818	9.6211238439	9.8289028533	9.7955448060	10.1771999581	10.0178613794	10.3111007800	10.3460297395	10.6444230415	10.9211206791	11.0993274916	11.3535347975	11.4356086063	11.7376339134	11.8606724010	12.0710540616	12.3248395199	12.6777546602	12.9189942174	13.2618344695	13.5438052091	13.8208016405	13.9889510230	15	2070	36.0000000000	74	659.6500000000	0	2017-198	18:47:29.819
0186	0.0320000000	0.0000000000	10.1717266050	9.7346099001	9.2257527483	8.7680272386	8.4771031163	8.3470991653	8.2082133014	8.2953029998	8.3969690482	8.5572474725	8.7365607738	8.9382244863	9.0632296420	9.0261800066	9.0102082451	9.0209258502	8.8364595437	8.6557949023	8.5394119642	8.0359897570	7.6981875120	7.3132548781	6.8473491545	6.5557745887	6.2034435329	5.9323363446	5.6255809911	5.5895270906	5.4261398903	5.4682517885	5.4473533465	5.5156084008	5.6180546041	5.5622255604	5.7331018817	5.9301778905	6.0339219191	6.1740440514	6.3306356145	6.5571032074	6.5925977202	6.7287630418	6.6888549555	6.8005403736	6.8121648234	6.7374842448	6.6511664029	6.5406832826	6.5496293750	6.3654714807	6.4185127791	6.3983187769	6.3230459596	6.1887111679	6.1577173488	6.1361030207	5.9285252477	5.8318850058	5.8085128344	5.8334925290	5.6707155775	5.6411175682	5.5634198325	5.6592404536	5.5841470322	5.5680697394	5.6880251825	5.7196929784	5.7094069790	5.7575922933	5.8271262184	5.8718931094	6.0595130698	6.2273712098	6.3295090955	6.5042160106	6.6439863184	6.8095732309	6.9696150788	7.1691304041	7.4553600685	7.4974186179	7.6278084088	7.8838323509	7.8743940176	8.0066993663	8.0703443359	8.0900859373	8.3278645081	8.5537555995	8.6233309944	8.9258724397	9.1291681429	9.1767984195	9.3252565189	9.2968086450	9.1378329918	9.3242510006	9.4619963323	9.3657628360	9.4813063162	9.5187064302	9.4456223560	9.4723860973	9.5125601166	9.3408213603	9.5715188134	9.4395269333	9.4286059937	9.5406221770	9.3204084494	9.4716514657	9.5151519725	9.5553501120	9.6366023162	9.5082823672	9.6693706750	9.7494921184	9.8743001677	10.0060508859	10.1551433607	10.4070343596	10.7314626595	10.9973030283	11.1122838999	11.3270620914	11.6382287120	11.6274251397	11.8045964219	12.0853265972	12.4845962490	12.6777546602	12.8736943481	13.1229237792	13.6070116139	13.9505744259	14.4392171374	15	2074	35.5000000000	75	661.6500000000	0	2017-198	18:47:31.831
0186	0.0320000000	0.0000000000	10.4000835313	9.8260193013	9.2148686766	8.7784018219	8.5864711082	8.2208880372	8.1698402642	8.1029918496	8.3188300870	8.4872023913	8.7467864245	8.8964931096	9.0315533924	9.0899823407	8.9678166412	8.8532387655	8.6613604227	8.5453009497	8.2863568795	8.0266179469	7.6802599853	7.2364438491	6.8554619929	6.5172236811	6.2767979482	6.0449853565	5.8360569474	5.5498816804	5.5170318545	5.4682517885	5.5242636732	5.4640964042	5.6245601445	5.6217489810	5.8412921149	5.8262137336	5.9983001061	6.1447912202	6.3231436139	6.5647627304	6.5925977202	6.6498607586	6.7524354894	6.7527289299	6.7406118942	6.6426030186	6.7765979845	6.6260288595	6.4958599602	6.6318993360	6.4562404187	6.3758643599	6.3674581049	6.2325914811	6.1071808188	5.9580099825	5.9988275784	5.7902918169	5.7948132855	5.7455371369	5.5769719030	5.6211934665	5.5766107625	5.6000855919	5.6038440378	5.6535213006	5.7605553303	5.6334302053	5.7630776011	5.8052017820	5.9862227859	5.9493132201	6.1167859442	6.1982274244	6.3072084286	6.4281703472	6.6284052120	6.7376887891	7.0761474030	7.2365746591	7.4034718479	7.5503948607	7.7446742794	7.7559220707	7.8097653482	7.9319892731	8.0892383556	8.1475885175	8.2985863677	8.3939777781	8.7053644966	8.8629221220	8.9155841282	9.1551960155	9.2817799506	9.3186221288	9.2688346200	9.4554936031	9.3301839744	9.4761987758	9.5480227528	9.5858480882	9.5917214694	9.7312621165	9.4563450931	9.6092675874	9.5270630314	9.4284869254	9.4395896684	9.2997421663	9.3861166982	9.4826324412	9.3937983248	9.4886691389	9.5358729195	9.7678177637	9.7833222309	9.8761370093	9.8743001677	9.7816515091	10.1911335344	10.3704315876	10.6319888104	10.9084236209	11.1770659418	11.3932438567	11.4896406345	11.7376339134	12.0008623488	12.1709618107	12.3829328760	12.4853652062	12.8736943481	13.3081380329	13.5596068103	14.1614552021	14.2390988643	15	2073	34.5000000000	76	663.6300000000	0	2017-198	18:47:33.891
0186	0.0320000000	0.0000000000	10.1236514626	9.6546266741	9.3781297518	8.8925222387	8.4771031163	8.5121444866	8.3712987095	8.2760718848	8.4360385288	8.5472410323	8.7672377259	8.8338960446	9.0315533924	8.9517439502	9.1055893540	8.8951605367	8.8055596988	8.5653907593	8.3155555431	7.9797588965	7.6712962220	7.2279092904	6.8716876696	6.4863829550	6.1887726498	5.9675391609	5.8292674004	5.5961346590	5.5300164208	5.4618300497	5.4986268976	5.4769744034	5.5985379828	5.6746586882	5.8142445566	5.9232469467	6.1122899079	6.2032968826	6.2931756115	6.5494436843	6.6003894587	6.6577509869	6.6332219884	6.7288232081	6.7008602669	6.7137639383	6.7060427198	6.5562006602	6.6110801348	6.4948792961	6.4562404187	6.4132883883	6.3156439353	6.2179647100	6.1288393317	6.0078760332	5.9566461800	5.8596137985	5.8085128344	5.7658345351	5.6908035078	5.5813452630	5.5568243675	5.5606490174	5.5250560156	5.6863872857	5.5561521867	5.6467014012	5.7563687733	5.7847977154	5.8409607025	5.8718931094	6.0738312884	6.2200852635	6.3369426512	6.4053566482	6.6829390843	6.6897658279	6.9450306963	7.1522693404	7.4294159582	7.5680536083	7.7806330089	7.8198772108	8.1144433614	7.9413280347	8.0514503162	8.0709184105	8.1912331861	8.4938389165	8.5720600555	8.8943972808	8.9049049275	9.1767984195	9.2709108086	9.4495030317	9.4216698530	9.4336198360	9.3741214270	9.5645475276	9.5146645345	9.4515647721	9.4006687827	9.5286634928	9.5462891307	9.4303034360	9.3270120121	9.4174469175	9.3077855726	9.3216403491	9.3751653234	9.3618417099	9.3496697256	9.4775556433	9.6366023162	9.6888287300	9.8289028533	9.7494921184	9.8859501597	9.9942403924	10.1671400853	10.2362214234	10.6692915038	10.8068471552	10.9438505911	11.1946985606	11.4221005992	11.6825295266	11.8326344114	11.9140561702	12.5136429270	12.5297627725	13.0548938252	13.2772689906	13.5438052091	13.8045800423	14.0223040685	15	2071	36.5000000000	77	665.6700000000	0	2017-198	18:47:35.835
0186	0.0320000000	0.0000000000	10.2438393185	9.7117575498	9.1713323899	8.8510239053	8.4472754821	8.3179735203	8.1698402642	8.1703007522	8.2895279765	8.4972088314	8.6956581709	8.8756274213	9.0104358927	9.0474474513	8.9148271362	8.9475627507	8.7746598539	8.6457499976	8.4128844219	8.0266179469	7.6802599853	7.3388585544	6.9041390230	6.5326440441	6.2401207406	5.9534580344	5.7342137428	5.5829195223	5.4586013061	5.4361430949	5.4024889893	5.4640964042	5.5725158210	5.5688392738	5.8277683357	5.8816612840	6.1265386331	6.2764289607	6.3381276151	6.4345508387	6.5536390278	6.6261900736	6.7206452224	6.7288232081	6.7485622197	6.7612045514	6.8706716706	6.6648223035	6.6033987898	6.4720426228	6.3355119720	6.2785618860	6.1602014266	6.2399048667	6.0133272631	5.9936285902	5.9004043154	5.8873425911	5.8085128344	5.6914107418	5.6974994845	5.6344762010	5.5700152975	5.6066583543	5.5513186896	5.6272285125	5.6089013850	5.6135234116	5.6691540125	5.7235855158	5.8547951867	5.9493132201	6.0809903977	6.1107960681	6.3369426512	6.4661931789	6.5816618928	6.7696374299	6.9204463138	6.9836587029	7.2564552229	7.3561486370	7.5289219028	7.7011033791	7.7820673470	8.0066993663	8.1081323753	8.2625936781	8.4352176898	8.6036861687	8.8591773134	9.0622647949	9.1184889422	9.2092020255	9.2600416665	9.1113940325	9.2251674106	9.1820715146	9.2423090691	9.3215884600	9.3589928490	9.4963258775	9.3220000293	9.5624299301	9.4788311025	9.3855623982	9.4826072493	9.3953669016	9.3846712951	9.4639785373	9.3423111990	9.4057656122	9.4048304746	9.4553286523	9.5134886091	9.5985555486	9.6693706750	9.8531106655	10.0374000549	10.1477768081	10.3350942291	10.5534454478	10.7190284284	11.0607883194	11.1381967167	11.3138257383	11.5841966838	11.7789622036	12.0569383279	12.3136871666	12.6879229952	12.6777546602	13.0095939559	13.4007451597	13.5754084115	13.8694664350	14.4892467056	15	2071	38.0000000000	78	667.5500000000	0	2017-198	18:47:37.723
