SN	INTTIME(ED)	SAMPLE(DELAY)	ED(348.86)	ED(352.18)	ED(355.50)	ED(358.83)	ED(362.15)	ED(365.47)	ED(368.80)	ED(372.12)	ED(375.45)	ED(378.77)	ED(382.10)	ED(385.42)	ED(388.75)	ED(392.08)	ED(395.41)	ED(398.74)	ED(402.07)	ED(405.40)	ED(408.73)	ED(412.06)	ED(415.39)	ED(418.73)	ED(422.06)	ED(425.39)	ED(428.73)	ED(432.06)	ED(435.40)	ED(438.73)	ED(442.07)	ED(445.40)	ED(448.74)	ED(452.08)	ED(455.41)	ED(458.75)	ED(462.09)	ED(465.43)	ED(468.77)	ED(472.11)	ED(475.45)	ED(478.78)	ED(482.12)	ED(485.46)	ED(488.80)	ED(492.14)	ED(495.49)	ED(498.83)	ED(502.17)	ED(505.51)	ED(508.85)	ED(512.19)	ED(515.53)	ED(518.88)	ED(522.22)	ED(525.56)	ED(528.90)	ED(532.24)	ED(535.59)	ED(538.93)	ED(542.27)	ED(545.61)	ED(548.96)	ED(552.30)	ED(555.64)	ED(558.98)	ED(562.33)	ED(565.67)	ED(569.01)	ED(572.35)	ED(575.70)	ED(579.04)	ED(582.38)	ED(585.72)	ED(589.06)	ED(592.40)	ED(595.75)	ED(599.09)	ED(602.43)	ED(605.77)	ED(609.11)	ED(612.45)	ED(615.79)	ED(619.13)	ED(622.47)	ED(625.81)	ED(629.15)	ED(632.49)	ED(635.83)	ED(639.16)	ED(642.50)	ED(645.84)	ED(649.18)	ED(652.51)	ED(655.85)	ED(659.19)	ED(662.52)	ED(665.86)	ED(669.19)	ED(672.53)	ED(675.86)	ED(679.20)	ED(682.53)	ED(685.86)	ED(689.19)	ED(692.53)	ED(695.86)	ED(699.19)	ED(702.52)	ED(705.85)	ED(709.18)	ED(712.50)	ED(715.83)	ED(719.16)	ED(722.48)	ED(725.81)	ED(729.14)	ED(732.46)	ED(735.78)	ED(739.11)	ED(742.43)	ED(745.75)	ED(749.07)	ED(752.39)	ED(755.71)	ED(759.03)	ED(762.35)	ED(765.67)	ED(768.98)	ED(772.30)	ED(775.61)	ED(778.93)	ED(782.24)	ED(785.55)	ED(788.86)	ED(792.17)	ED(795.48)	ED(798.79)	ED(802.10)	DARK_SAMP(ED)	DARK_AVE(ED)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0186	0.0320000000	0.0000000000	59.2083718278	61.8493947476	63.2760526970	64.7389043688	69.0669706763	75.0254089733	78.1622601118	78.2773305420	79.2299373734	79.8031015376	77.6165439335	77.3985479679	80.6093186511	83.6536434520	90.2007277136	105.4514799996	120.3539997603	126.8140098891	130.2102432773	133.6744756667	135.8620755878	136.1850923515	135.2411290199	131.7768325934	128.4559121577	131.1487536102	138.1303797972	144.8374227838	151.1389429729	157.5863983130	162.9020196987	166.2459157590	167.7361221057	169.3442241687	170.1349230072	169.3687635493	168.8469806857	169.9021403842	172.0686727691	173.3125792973	170.8814035852	166.7347031720	165.4891858234	167.6541739661	168.4740828686	166.9681549764	165.0398960460	164.9963847078	165.3230299886	163.4665593790	160.0454612378	159.2829597074	160.9957442088	162.8268025725	163.8605688988	164.8882372169	164.2985856714	162.9432240711	162.1477648188	162.2249453619	162.5507549518	162.2910468487	160.7613068812	159.2581252095	158.1505863296	156.9750897713	155.9836785990	155.3856041596	155.5846191178	156.0403437812	155.7375962353	153.0404854661	149.7571550255	147.8370245829	148.7936030778	150.4510522999	152.2182633044	152.8867460201	152.6484710551	151.4408223778	150.1220225391	149.4737493687	148.7388523868	147.1598546403	145.6904153071	145.1464142052	145.6093606787	145.8471007418	144.5395332275	142.1779448636	139.9282055396	138.0369741720	137.4397649542	139.1692643405	141.9070514310	143.1007184194	143.0979146630	142.3933130559	141.8235724112	140.1881771532	136.3203717445	130.4184519947	125.6056558988	124.5709153292	124.8882743360	125.1418125499	125.5788820847	126.6402510307	126.8440880104	122.1410780940	113.1284901303	104.7535765549	100.9827059170	100.4970839942	103.2813648637	109.2037270842	115.2796727259	119.4700202742	122.6462221381	124.2843861557	124.6638792607	122.4969233028	113.2019614872	97.7182106099	88.4490854776	94.4910684764	107.2343945873	116.2568797388	119.8630081891	120.4281442270	119.7830248483	118.1071754747	115.7798973733	113.9257813543	112.8094639108	112.1723513428	111.7133743582	15	2196	34.5000000000	147	164.2000000000	0	2017-198	18:14:42.172
0186	0.0320000000	0.0000000000	60.0857431761	62.7292102340	64.1794306462	65.7971118697	70.0910527831	76.2389775123	79.3710107835	79.3638885404	80.3727196809	80.8837970768	78.6084320520	78.4626980738	81.6546348866	84.7701842986	91.4088884262	106.8558593340	122.1564907123	128.8029010366	132.1178893006	135.9330818956	138.2105815800	138.3272666035	137.3261284781	133.8740019658	130.4584876968	133.2538820196	140.3573512057	147.2954382150	153.6514565530	160.2193111835	165.6195179091	169.1370265676	170.5269989499	172.2079620704	173.0290117434	172.2589671123	171.8320886200	172.7981706749	174.7133489790	176.0470290223	173.8110972539	169.5909658243	168.1357255451	170.4431748458	171.3998026404	169.9569136015	167.9405013701	168.1308949842	168.3955679782	166.3287557667	162.8373065684	162.0298833940	163.7270911486	165.3938008955	166.5173464748	167.5952513966	167.0192858705	165.6467813529	164.9698718911	165.1207074995	165.3028013978	164.9475937479	163.5248067186	161.9726760848	160.8819044321	159.6569541532	158.5617956687	157.9668517521	158.1608089773	158.5228385447	158.2969757991	155.6516546561	152.2055704075	150.2559587730	151.0088026607	152.8464906976	154.8203080713	155.4905602434	155.2462208073	154.0205651315	152.8115619722	151.9459740335	151.2739428119	149.6632415537	148.1093740783	147.6678798509	147.9900071598	148.2813766400	147.0281751651	144.6545010954	142.2456519783	140.2612187330	139.6823971082	141.6427395956	144.2113095488	145.5329218658	145.3686095524	144.8431749693	144.2181635801	142.4410703256	138.5887305897	132.6565072625	127.8870497464	126.5293686919	126.7883421301	126.9650098418	127.7683293509	128.9586526943	128.8760678208	124.2652018248	114.8369045983	106.2799321602	102.4168853902	102.1196543409	104.9042273675	110.7609394635	116.9547605984	121.4042331525	124.5218708403	126.5047589369	126.7872995074	124.4612720696	115.1168330828	99.1402811295	89.7058570897	95.9603036680	108.7607993837	117.8273547650	121.3490216358	122.2550287819	121.7001055975	119.9126765049	117.6824918826	115.5618405953	114.7056560541	113.7134031689	113.3476735880	15	2205	33.5000000000	148	164.5200000000	0	2017-198	18:14:42.546
0186	0.0320000000	0.0000000000	58.8117519032	61.3809215666	62.6991968981	64.2409243683	68.5400158058	74.5205644611	77.7017836654	77.7196282065	78.7415688659	79.3027795287	77.0848100967	76.8769057591	80.0497049088	83.0049863887	89.7768116741	104.5920836905	119.4167044652	125.8798337441	129.0812282839	132.6904356085	134.8133152784	135.0926688285	133.9998647510	130.5971748214	127.3262541613	130.0856285606	137.0780000158	143.6084150682	149.8664554749	156.1864592746	161.4791786546	164.7585068575	166.1617813218	167.9288895013	168.7149261975	167.9340581835	167.3936107129	168.4541252389	170.4878606436	171.7730151663	169.3152641506	165.3539132157	163.8678822102	166.1321763432	167.0032726572	165.5291230459	163.7620618086	163.6230967896	164.0632894128	162.0887467562	158.8155401868	157.8608466272	159.5597515087	161.3568120798	162.5105215979	163.4065031396	162.8784785908	161.5359878449	160.7504108315	160.8988486820	161.0843360427	160.9428492973	159.3432819050	157.8975633906	156.8571496320	155.6275843833	154.5264819944	154.0651201727	154.1757652883	154.5372442121	154.3333960963	151.6469234724	148.3038558367	146.5036963998	147.3366261709	148.9985801285	150.6757337720	151.5209416269	151.2061872810	150.0497846185	148.8075209512	148.0169026912	147.3904000331	145.8533424921	144.3978419179	143.8763426207	144.4379314578	144.5724602125	143.4074451304	140.8997222924	138.7182113814	136.8199346953	136.3825240816	137.8947225059	140.4940629625	141.7046554547	141.7442311713	141.0152657296	140.4615113794	138.9071202512	135.0972370731	129.0084771760	124.6279156783	123.5466667315	123.7302448521	124.1798802363	124.6564246071	125.7349703812	125.7567042200	121.1556598684	112.1100122743	103.8421555819	100.0118767351	99.7413662985	102.4531453790	108.4025525992	114.2768990336	118.5489665226	121.8773226701	123.4576516095	123.7641249189	121.6184567736	112.1823545337	97.0198724082	87.8271778757	93.8821962349	106.3293581151	115.1823441945	118.7414886066	119.6146096986	118.9116245077	117.1896257708	115.1456992035	113.2312279030	112.1457966607	111.5234874160	111.0796664935	15	2201	35.0000000000	149	165.3200000000	0	2017-198	18:14:43.274
0186	0.0320000000	0.0000000000	58.7396391896	61.3237906909	62.7753853999	64.2305497850	68.5599008953	74.4720217195	77.6442241096	77.6715504190	78.5657562032	79.1827022466	77.1257126996	76.6369503430	80.0285874091	82.8667479981	89.4376788424	104.4034357202	118.9944065850	125.5483518862	128.6821798811	132.3624222558	134.6609313018	134.8622357416	133.9998647510	130.4892322802	127.2675706290	129.9448172957	136.7181540260	143.5423393845	149.5483336004	155.9552766811	161.2804936440	164.5395808720	165.9405929472	167.5982038314	168.3903554981	167.6290966564	167.1798798345	168.0884648486	170.1057686133	171.5738675673	169.0425533038	165.1093161378	163.7327735757	165.8373391074	166.8045145205	165.2286658296	163.5895933839	163.4756817024	163.6484967842	161.7614211055	158.3854450953	157.6812112907	159.2710725639	161.1227837426	162.0268148110	163.0289458987	162.6253902002	161.1061915591	160.4901194026	160.4929007188	160.7763211120	160.4048985502	159.0135086547	157.5557797453	156.4435125155	155.3580833058	154.2297677537	153.6935266889	153.9543739723	154.2379845694	154.1327960764	151.5413505941	148.0676052297	146.3069758481	147.0392839450	149.0061846949	150.5121321549	151.3372369424	151.0013174268	149.6451190885	148.5480798483	147.6725571129	146.9409159152	145.5335667915	144.0746985706	143.6895673877	144.1450741526	144.4191199984	143.3391294694	140.8098472679	138.4310941235	136.5051831065	136.1262232640	137.7975116880	140.4071098260	141.4865206165	141.4276439030	140.8402755930	140.1869023004	138.7966843114	134.7858937021	129.1427604921	124.4143862049	123.3665790660	123.8426748990	123.9338045282	124.6119688250	125.4589701831	125.5480144016	120.9038307662	111.8362279045	103.6554789971	99.7250408404	99.5190963880	102.1621493438	107.9850391352	114.1401571665	118.5259401788	121.7025727910	123.2450627262	123.7161380207	121.5208493815	112.0828806845	96.7151430112	87.8142214673	93.5909964672	106.2348020658	114.9205983568	118.7835455910	119.3148864513	118.6502044056	117.1748265820	114.7833002493	113.0768826916	111.9561774464	111.3126066398	110.6627534247	15	2198	36.0000000000	150	165.6300000000	0	2017-198	18:14:43.586
0186	0.0320000000	0.0000000000	59.3525972549	61.7694115216	63.1780960519	64.6870314521	68.9377175949	75.2001628429	78.1526668525	78.2773305420	79.2104026331	79.7130435760	77.3915796179	77.2629209936	80.6515536505	83.2814631697	90.0205633968	105.1370667158	120.0450013113	126.7738302700	129.7235988836	133.5057830853	135.7634741912	136.0485394111	135.1275492828	131.5840780555	128.3825577424	131.0361045983	137.9266933879	144.4475762503	150.9117130625	157.3295287647	162.5174680652	165.9046487816	167.3653063012	169.0862893461	169.7968285287	169.0360782471	168.6261254447	169.6827441501	171.5966767316	172.9985388526	170.6554431693	166.6242399755	165.0759123534	167.3752738782	168.1242685481	166.6993248356	164.8282302521	164.7481066661	165.2231725039	163.2762537681	159.8040043444	159.0359611198	160.6700551428	162.5415805366	163.4851546761	164.4893088114	163.9119228525	162.6520717484	161.8463747431	162.0152055809	162.3030038119	162.0187507915	160.4842973509	158.9294870890	157.9601819426	156.8699186191	155.6539961093	155.1334514385	155.2491777298	155.6118583837	155.5162444892	152.8152633257	149.4707906533	147.6184461922	148.3847575172	150.0632194164	151.9066411767	152.7909000978	152.3616532591	151.0361568478	149.9490618038	149.1205744166	148.3612857278	146.7852602482	145.3303412915	144.8569125941	145.2598213144	145.5404203137	144.2857893437	141.9083197900	139.7026134084	137.5753385084	137.0659929286	138.8776318868	141.8309674365	142.8934903231	142.7267433830	142.0761434332	141.3182917059	139.9673052735	136.2536553079	130.1722659153	125.4707951787	124.3345502682	124.6071992186	124.8286252850	125.5455402482	126.5188109436	126.6134308428	122.1191799112	112.8985112596	104.6327858235	100.6296771235	100.4526300121	103.1806354669	108.8764868016	114.8580519689	119.3318622115	122.4947722429	124.3198176363	124.5079218415	122.3505122146	113.0776191758	97.5531488531	88.5009111110	94.5704865949	107.1128225239	115.8711490306	119.4985143248	120.3710540847	119.8120715263	117.9295852094	115.5684979834	113.8023051852	112.8726703156	112.3021241281	111.8467865402	15	2203	35.5000000000	151	165.9400000000	0	2017-198	18:14:43.913
0186	0.0320000000	0.0000000000	59.2324093990	61.8036900471	63.2107482670	64.5625364520	69.0172579527	75.2972483260	78.0663275188	78.1523282944	79.0638920809	79.7030371358	77.4222565700	77.1377268635	80.4720549030	83.2601957250	90.0735529017	105.2104298153	120.0656012079	126.7135608413	129.9085237532	133.5807575659	135.7365829012	135.9119864707	135.0626465760	131.5532373295	128.2871970024	131.0924291042	137.8927456530	144.5995503227	150.9506667614	157.3937461518	162.6264243614	166.0269897735	167.4433727864	169.1127441997	170.0470184428	169.0915257975	168.6332498073	169.6315516954	171.5142647251	173.0751340830	170.6554431693	166.5926790622	165.0997550536	167.3035567127	168.0368149679	166.6044436094	164.9615013075	164.8722456869	165.1309963642	163.2458048704	159.8115498723	158.9985370914	160.7292713366	162.4830734523	163.6006667446	164.4394427608	163.7924088902	162.7144615318	161.9285720365	161.9813765839	162.1958681839	161.9324130173	160.5832293260	159.0477968124	157.9010909260	156.8173330430	155.6408088097	155.0272818717	155.1955071077	155.6594678723	155.5162444892	152.8082251338	149.4063586696	147.5747305141	148.3921910728	150.2837518404	151.9144317299	152.6790798550	152.3452636708	151.1120316347	149.8106932156	149.2265269022	148.5231000102	146.9862621171	145.2564799550	144.8475738324	145.4204204818	145.6841767644	144.4809769466	141.9682364731	139.6308340939	137.6277971066	137.0873513300	138.7912222709	141.7766217262	142.7517026782	142.7049097783	142.0323958990	141.2194324374	139.8568693337	135.9645507492	130.3065492313	125.4258416053	124.3007838309	124.6184422233	124.9740336580	125.4121729020	126.5408909594	126.5365451202	121.7469108037	112.8328030108	104.6657287502	100.7841272207	100.3859490390	103.0575217597	108.8200660632	115.0517696141	119.3779148990	122.5763221865	124.3316281298	124.5319152906	122.1919002024	113.0030137889	97.6293312024	88.1899573101	94.4910684764	106.9642344464	115.9951339011	119.5826282935	120.3425090135	119.7539781703	118.0035811533	115.7194975476	113.6633944949	112.7936623097	112.0750217538	111.7634039264	15	2199	34.5000000000	152	166.2600000000	0	2017-198	18:14:44.225
0186	0.0320000000	0.0000000000	59.5448978244	62.1693276518	63.2978208404	64.8737739522	69.3155342945	75.5690876788	78.4884309280	78.4504105771	79.4838889973	80.0032303411	77.8210569476	77.8367274233	80.9049636470	83.8769516213	90.4338815353	105.7030106267	120.7247978990	127.3664796523	130.4438325863	134.1618097908	136.5881404175	136.6459585252	135.7278993214	132.3242554811	128.9400512991	131.7049581063	138.6599644614	145.3924585263	151.7427253061	158.1001374097	163.4660287613	166.9026937155	168.1784988549	169.9262309478	170.7434930686	170.0895817041	169.5807900347	170.5018234242	172.5931128107	173.9483197095	171.5670765715	167.3817018943	166.0455154947	168.1163512548	169.0306056513	167.5848829467	165.8081644832	165.7101840777	166.1372525558	164.1135984560	160.6491034714	159.8667745509	161.6471223408	163.3533663310	164.4670072585	165.3655265591	164.8328833850	163.5948506980	162.7368454213	162.9015253006	163.0663451619	162.7758666578	161.3285168717	159.8036644895	158.8202845182	157.7310074280	156.5375451818	155.9562655811	156.2487930659	156.5572468005	156.3393962949	153.7091136953	150.2439744582	148.3033251497	149.2321828610	150.9301399794	152.7168587089	153.5097445152	153.0336263811	151.8033352485	150.5803684875	149.9063886850	149.2602539636	147.7171780042	146.2166773298	145.7814499975	146.1478402399	146.4221265446	145.2422085981	142.6373061002	140.3793898020	138.2677920038	137.8989705858	139.7741316518	142.5591999549	143.6569622569	143.5455035595	142.9948416507	142.1750720324	140.7845312282	136.8318644253	130.8436824956	126.2012907457	124.9536016185	125.0794054159	125.5556671499	126.2790606521	127.1812114189	127.1735982499	122.4476526531	113.2051497538	104.9512341153	101.2033489129	100.8527158510	103.6171295196	109.3955575947	115.6101322382	120.0687052127	123.1471717915	124.9457737927	125.2397220395	122.8995537954	113.6495938082	97.9340605994	88.7729956869	94.7425591849	107.3694746578	116.2431036420	119.9190841682	120.7421400099	120.0880149675	118.4327576277	116.1875961967	114.5277276789	113.6627503753	112.9023232604	112.4971709276	15	2203	34.5000000000	153	166.5700000000	0	2017-198	18:14:44.631
0186	0.0320000000	0.0000000000	59.3045221125	61.9750826743	63.4175456288	64.9048977022	69.1564535788	75.1710371980	78.2294129269	78.2677149845	79.2983089645	79.8331208581	77.5449643785	77.3776822795	80.7149061496	83.4941376167	90.2855109215	105.3257146861	120.4878990881	127.0952672231	130.0739828471	133.6744756667	136.0592783811	136.2021614690	135.1437749596	131.7305715043	128.6172918715	131.3036460015	138.2118543609	144.8902833307	151.2103580875	157.7469417807	162.8827921171	166.2716717573	167.7751553483	169.4235887295	170.3445415839	169.5143133690	169.0322141136	170.0849705793	172.1136247727	173.3355578664	170.8969870622	166.7899347702	165.3699723225	167.5585510788	168.6330893779	167.0235023584	165.2829197353	164.9963847078	165.4612941981	163.5959671944	160.1963717962	159.3054141245	160.9439300392	162.6805348618	163.7667153431	164.7315153433	164.3126461376	162.9640206655	162.1614643677	162.1911163649	162.5440589751	162.2179918089	160.7810932762	159.2909890215	158.2556370258	157.1065537116	155.9573039998	155.4652313347	155.6114544288	156.0675492033	155.9312790131	153.0475236579	149.7786323534	147.8661683683	148.6374984092	150.3750066365	152.1169861129	153.0145405832	152.6730554376	151.4155307822	150.3641675684	149.3501381355	148.7568317515	146.9862621171	145.5611579681	145.2771568683	145.7227247968	145.8758520320	144.6859239297	142.3377226851	140.1025267319	138.0894327702	137.5785945638	139.2772763603	141.8309674365	142.9698375165	142.8031609995	142.4261237065	141.6258538744	140.0887848073	136.2202970896	130.4408325474	125.6056558988	124.5371488919	124.8095733031	125.1082567715	125.7567052129	126.7396111020	126.8770390344	122.4038562875	113.0408791319	104.7535765549	100.7841272207	100.6637864271	103.1918276221	109.1021697551	115.0745599252	119.4124544147	122.7510720656	124.3906805974	125.0717678957	122.8141473273	113.3387380297	97.9467576577	88.3454342106	94.6101956541	107.0993145168	116.1053426748	119.7368372360	120.4424167626	119.9718282554	118.1367738522	115.7798973733	114.2190372560	113.0464879288	112.4318969135	111.7634039264	15	2203	35.0000000000	154	167.3700000000	0	2017-198	18:14:45.333
0186	0.0320000000	0.0000000000	59.1602966854	61.9065256234	63.4066615571	64.8115264522	69.0868557658	75.2584141328	78.1814466304	78.2484838694	79.2983089645	79.8431272983	77.6574465363	77.3568165912	80.7676998989	83.5260387838	90.3173046244	105.5562844275	120.3025000188	126.8943691274	130.1031815107	133.6932192869	136.0772059077	136.0656085287	135.1275492828	131.6843104152	128.4925893654	131.1909969896	138.1575379851	144.8176000787	151.0999892739	157.5863983130	162.8251093720	166.3553787518	167.6905833227	169.2913144615	170.1281611177	169.4865895938	168.8327319605	169.9533328388	171.8738807536	173.2972602512	170.8814035852	166.7347031720	165.3540771890	167.5744882267	168.5217848214	166.9839685141	165.1810065753	165.0662129070	165.5073822679	163.4361104813	160.1661896845	159.2380508733	160.9735381361	162.7682954882	163.8172518731	164.8668660523	164.3477973030	162.8600376932	162.2025630144	162.2181795625	162.5172750681	162.2113504417	160.7283295561	159.2055431102	158.1637176666	157.0145289534	155.8122437044	155.3789685617	155.5644926345	155.9655288706	155.6407548464	153.0686382336	149.7285185883	147.9244559392	148.5631628527	150.3521929374	152.2182633044	152.9666176220	152.6238866726	151.4323918460	150.0787823553	149.4031143783	148.5770381044	146.9771256685	145.5057619657	145.3425281999	145.6754897476	145.7320955813	144.7347208305	142.2678198882	140.1127809197	138.1313996487	137.5679153630	139.3096799663	141.9287897151	142.8607700974	142.8359114065	142.2948811040	141.5819164217	140.1771335592	136.1758194651	130.3736908894	125.7180398321	124.5484043710	124.9669753689	125.2424798850	125.7567052129	126.9052112209	126.8221206611	122.2505690080	112.9423167587	104.7096526526	100.8172236701	100.3970625345	103.2142119325	108.9667599830	114.9720035249	119.5851519931	122.6811721139	124.3198176363	124.6638792607	122.6311334670	113.2641326429	97.6293312024	88.3454342106	94.5043048295	107.3964906719	116.0502382879	119.5966472882	120.3853266202	119.9573049164	117.8999868319	115.6892976347	114.1109956080	112.8884719168	112.4643401098	111.8134334947	15	2196	33.0000000000	155	167.6800000000	0	2017-198	18:14:45.645
0186	0.0320000000	0.0000000000	58.8237706888	61.3352168660	62.7209650415	64.2512989517	68.5698434400	74.6079413959	77.4139858864	77.5465481714	78.6536625346	79.1927086868	76.8087175276	76.7308459406	79.9335586604	82.8454805534	89.5330599513	104.6444859044	119.2931050856	125.7492499819	128.7892416477	132.4186531162	134.7147138818	134.8366320653	133.9025106907	130.5971748214	127.2749060706	130.0152229281	136.8471554185	143.4894788376	149.6392255645	156.1736157972	161.2164017051	164.6812388626	166.0511871345	167.6048175448	168.3971173877	167.6914751506	167.1442580215	168.1689101345	170.1657046181	171.5125913830	169.1204706886	165.1487672794	163.7963541096	166.0046791601	166.8999184261	165.2602929050	163.5268775931	163.3515426815	163.7329915789	161.8908289209	158.4684459025	157.7186353192	159.2858766123	161.1081569716	162.0845708452	163.2212863799	162.6464808994	161.2379033241	160.4764198537	160.5334955151	160.7428412282	160.6705532401	159.1520134198	157.6346528943	156.5157348692	155.5289864281	154.4077962981	153.9390438121	154.0617152164	154.4080184573	154.1604650446	151.4568922915	148.1606736506	146.3798353117	147.0467175007	148.8160705363	150.4264360698	151.2973011415	150.9849278384	149.7125633435	148.5826719954	147.8314858414	147.1656579741	145.5792490344	144.2039559095	143.6148572945	144.1734151821	144.3999524717	143.1049043458	140.7000000156	138.3593148090	136.4841996672	136.0301104574	137.6354936582	140.4071098260	141.4974273584	141.4058102983	140.8730862436	140.1429648477	138.7966843114	134.8637295449	129.0979993867	124.4143862049	123.3103016705	123.6852728333	123.8107666741	124.4341456968	125.5804102702	125.6139164495	121.0571180458	111.9128875280	103.6884219238	100.0560053342	99.5857773612	102.2628787406	107.9624708398	114.0945765441	118.3417294285	121.4462729684	123.2096312457	123.6561543979	121.4842466094	112.2320914582	96.9436900590	87.6717009752	93.8292508225	106.4779461926	115.0583593240	118.8256025753	119.4576118072	118.9551945248	117.0712322606	114.7531003365	112.9225374801	111.8613678392	111.3288282380	110.9129012660	15	2197	35.5000000000	156	168.0000000000	0	2017-198	18:14:45.957
