SN	INTTIME(LU)	SAMPLE(DELAY)	LU(348.98)	LU(352.30)	LU(355.63)	LU(358.95)	LU(362.28)	LU(365.61)	LU(368.93)	LU(372.26)	LU(375.59)	LU(378.92)	LU(382.25)	LU(385.58)	LU(388.91)	LU(392.24)	LU(395.57)	LU(398.90)	LU(402.23)	LU(405.56)	LU(408.90)	LU(412.23)	LU(415.56)	LU(418.90)	LU(422.23)	LU(425.57)	LU(428.90)	LU(432.24)	LU(435.57)	LU(438.91)	LU(442.25)	LU(445.58)	LU(448.92)	LU(452.26)	LU(455.59)	LU(458.93)	LU(462.27)	LU(465.61)	LU(468.95)	LU(472.28)	LU(475.62)	LU(478.96)	LU(482.30)	LU(485.64)	LU(488.98)	LU(492.32)	LU(495.66)	LU(499.00)	LU(502.34)	LU(505.68)	LU(509.02)	LU(512.36)	LU(515.70)	LU(519.04)	LU(522.38)	LU(525.72)	LU(529.06)	LU(532.40)	LU(535.74)	LU(539.08)	LU(542.42)	LU(545.76)	LU(549.10)	LU(552.44)	LU(555.78)	LU(559.13)	LU(562.47)	LU(565.81)	LU(569.15)	LU(572.49)	LU(575.83)	LU(579.17)	LU(582.50)	LU(585.84)	LU(589.18)	LU(592.52)	LU(595.86)	LU(599.20)	LU(602.54)	LU(605.88)	LU(609.21)	LU(612.55)	LU(615.89)	LU(619.23)	LU(622.56)	LU(625.90)	LU(629.24)	LU(632.57)	LU(635.91)	LU(639.25)	LU(642.58)	LU(645.92)	LU(649.25)	LU(652.58)	LU(655.92)	LU(659.25)	LU(662.59)	LU(665.92)	LU(669.25)	LU(672.58)	LU(675.91)	LU(679.24)	LU(682.58)	LU(685.91)	LU(689.23)	LU(692.56)	LU(695.89)	LU(699.22)	LU(702.55)	LU(705.88)	LU(709.20)	LU(712.53)	LU(715.85)	LU(719.18)	LU(722.50)	LU(725.83)	LU(729.15)	LU(732.47)	LU(735.79)	LU(739.11)	LU(742.44)	LU(745.76)	LU(749.07)	LU(752.39)	LU(755.71)	LU(759.03)	LU(762.35)	LU(765.66)	LU(768.98)	LU(772.29)	LU(775.60)	LU(778.92)	LU(782.23)	LU(785.54)	LU(788.85)	LU(792.16)	LU(795.47)	LU(798.78)	LU(802.08)	DARK_SAMP(LU)	DARK_AVE(LU)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0174	0.1280000000	0.0000000000	0.0044027507	0.0056946981	0.0050053373	0.0040247829	0.0051524396	0.0056029217	0.0060287973	0.0073197488	0.0061678736	0.0054575661	0.0053909717	0.0048367596	0.0045769346	0.0043738517	0.0036294863	0.0046155476	0.0030408971	0.0033462017	0.0040128574	0.0031781869	0.0029263098	0.0033494360	0.0035373358	0.0031343582	0.0021126934	0.0029011102	0.0025142886	0.0032987437	0.0022754900	0.0033700344	0.0032629464	0.0020001701	0.0028401938	0.0032574498	0.0019383303	0.0035496923	0.0042596143	0.0034648820	0.0036583571	0.0037943730	0.0032744917	0.0031473408	0.0024308802	0.0024247362	0.0032421774	0.0023929381	0.0018617121	0.0034222682	0.0028801102	0.0031481059	0.0027769941	0.0036727535	0.0021249086	0.0030067495	0.0023830460	0.0012785419	0.0025455323	0.0017931843	0.0030371804	0.0020182960	0.0030637980	0.0040765450	0.0019042412	0.0028189642	0.0038223118	0.0027861516	0.0033340140	0.0018719260	0.0030716749	0.0026322241	0.0030561925	0.0033926967	0.0020797705	0.0045791664	0.0044044169	0.0031970064	0.0051765287	0.0039503567	0.0038573306	0.0029855191	0.0028929233	0.0046227763	0.0021620172	0.0032862904	0.0049159392	0.0032875860	0.0053646192	0.0032933743	0.0045835236	0.0032343185	0.0044772535	0.0037186157	0.0024777557	0.0041431755	0.0017968059	0.0029670732	0.0036638169	0.0037174260	0.0059368935	0.0034995267	0.0042650359	0.0047340905	0.0035772324	0.0041446288	0.0041206240	0.0037429187	0.0036882343	0.0034049280	0.0034540538	0.0017610540	0.0035805282	0.0034861977	0.0016310675	0.0044568767	0.0033906887	0.0029203840	0.0040118547	0.0048765972	0.0061441743	0.0034692796	0.0034524819	0.0050055780	0.0048334954	0.0048809648	0.0036268172	0.0034929988	0.0079982223	0.0062702706	0.0073947909	0.0038234044	0.0050328806	0.0067207511	0.0048080882	0.0068396861	0.0051673679	0.0055310510	0.0063798106	15	1296	34.5000000000	80	164.7800000000	0	2017-198	18:14:42.786
0174	0.1280000000	0.0000000000	0.0057157931	0.0041061555	0.0034684087	0.0051129738	0.0047108051	0.0050353878	0.0055587523	0.0051396300	0.0053063700	0.0040931746	0.0056379694	0.0041056895	0.0043390358	0.0051780376	0.0057256059	0.0036692862	0.0032402544	0.0034404423	0.0026790914	0.0035138814	0.0035622567	0.0024416273	0.0029582753	0.0025042380	0.0030007241	0.0022273422	0.0027160936	0.0029603346	0.0029617261	0.0028105533	0.0030487955	0.0038967574	0.0033608117	0.0021972300	0.0030169354	0.0019042849	0.0034641830	0.0048374963	0.0033318055	0.0028073261	0.0030273851	0.0040494631	0.0034079548	0.0021834289	0.0019756091	0.0028593523	0.0030025603	0.0023073534	0.0028075030	0.0023654552	0.0027769941	0.0032612482	0.0023276993	0.0024718715	0.0028473447	0.0030627382	0.0032053385	0.0016609923	0.0024408883	0.0016186862	0.0025270782	0.0030608452	0.0015613571	0.0025406992	0.0019853752	0.0035037511	0.0028229645	0.0021686802	0.0020160906	0.0039322767	0.0048367394	0.0028442744	0.0010473505	0.0032882149	0.0042403668	0.0025285437	0.0038999704	0.0025632019	0.0021800768	0.0041534220	0.0029843211	0.0036013324	0.0021620172	0.0029027700	0.0035529156	0.0029908010	0.0041601920	0.0017668736	0.0022094966	0.0053277963	0.0026755845	0.0060745421	0.0029097591	0.0047951308	0.0061622234	0.0028577082	0.0058564064	0.0036074820	0.0043923215	0.0040533545	0.0039313781	0.0033930517	0.0024578431	0.0044802896	0.0036742826	0.0035208529	0.0046827547	0.0058246850	0.0067428980	0.0050451728	0.0028129275	0.0037060778	0.0019620694	0.0033482836	0.0043928956	0.0030322718	0.0052501509	0.0052169357	0.0059148884	0.0059107150	0.0067611547	0.0058494451	0.0044634718	0.0050074802	0.0064838059	0.0052278878	0.0040209859	0.0044394113	0.0032077254	0.0048591163	0.0044257597	0.0085893999	0.0072086914	0.0051929974	0.0083901879	0.0093842215	0.0101809802	15	1294	36.5000000000	81	166.8300000000	0	2017-198	18:14:44.849
0174	0.1280000000	0.0000000000	0.0048802207	0.0046734922	0.0054444598	0.0051129738	0.0048212137	0.0062839624	0.0046186623	0.0064719248	0.0070293773	0.0064498509	0.0055144706	0.0038619995	0.0036253395	0.0047185028	0.0038501305	0.0044052673	0.0031405758	0.0057964578	0.0043685283	0.0036817286	0.0040392169	0.0036520389	0.0040440137	0.0030643449	0.0027274839	0.0036422550	0.0017743369	0.0018097439	0.0022754900	0.0020412668	0.0035484810	0.0020731158	0.0030633157	0.0033331798	0.0032480650	0.0038631033	0.0024301223	0.0037071081	0.0026787024	0.0017380252	0.0036039671	0.0045415298	0.0033265319	0.0031486581	0.0028463748	0.0037921807	0.0022419949	0.0031992853	0.0042596471	0.0022231550	0.0029863310	0.0029183271	0.0012461489	0.0031404689	0.0026483595	0.0023358434	0.0016877842	0.0027846242	0.0030371804	0.0028175156	0.0017219985	0.0031285585	0.0011498962	0.0034450606	0.0029038435	0.0037190309	0.0031879999	0.0018719260	0.0037502648	0.0033204873	0.0022046266	0.0038627729	0.0027945229	0.0039336906	0.0025998659	0.0034476799	0.0040701782	0.0026498991	0.0037690541	0.0027160030	0.0032585146	0.0054585030	0.0043335703	0.0049162521	0.0036502744	0.0036832993	0.0041601920	0.0033951410	0.0043770864	0.0045950791	0.0022516623	0.0041469659	0.0024777557	0.0030565835	0.0043069210	0.0023108831	0.0057467769	0.0032776501	0.0027374229	0.0034995267	0.0035977204	0.0064103890	0.0043608049	0.0041446288	0.0045669654	0.0038539515	0.0057877774	0.0046148065	0.0049888477	0.0028557602	0.0032515565	0.0061247580	0.0038377474	0.0050111732	0.0056178152	0.0023609449	0.0063758748	0.0028345661	0.0048831018	0.0031205032	0.0038069826	0.0034383964	0.0023666712	0.0056400573	0.0055747640	0.0042937168	0.0041581320	0.0065519412	0.0058065936	0.0047111575	0.0065506829	0.0043849401	0.0060884099	0.0065103484	0.0063547226	0.0062316275	0.0069228348	15	1295	36.5000000000	82	168.8800000000	0	2017-198	18:14:46.877
0174	0.1280000000	0.0000000000	0.0066707331	0.0045600248	0.0043466536	0.0031542302	0.0068085691	0.0057164285	0.0052062185	0.0063508071	0.0078908809	0.0086824916	0.0045264798	0.0070299698	0.0058853779	0.0037994333	0.0053946397	0.0050361082	0.0026421824	0.0038174048	0.0039239396	0.0032621105	0.0030058031	0.0028955316	0.0023792148	0.0029243181	0.0036838246	0.0025642262	0.0016398002	0.0028249710	0.0028931025	0.0030203587	0.0019780408	0.0031673008	0.0038070556	0.0027273399	0.0020153735	0.0026878122	0.0033050967	0.0039493341	0.0029236161	0.0033008496	0.0025331719	0.0024092407	0.0034079548	0.0020225573	0.0039546220	0.0028593523	0.0029265038	0.0043142001	0.0020814309	0.0040730568	0.0024978782	0.0034670008	0.0044908001	0.0024718715	0.0034443001	0.0026001688	0.0032053385	0.0026524323	0.0028384164	0.0030173205	0.0013865486	0.0031285585	0.0030700472	0.0030276630	0.0019853752	0.0012074328	0.0018738725	0.0015009831	0.0020160906	0.0029381189	0.0018949663	0.0024525443	0.0036681091	0.0021586323	0.0034201163	0.0036983534	0.0029638278	0.0029966878	0.0037690541	0.0037940672	0.0037155036	0.0042513421	0.0032005860	0.0026151297	0.0027740450	0.0022983028	0.0039594541	0.0046163415	0.0040674307	0.0040717096	0.0045832340	0.0040398784	0.0063657866	0.0042518348	0.0053982754	0.0041700885	0.0034445580	0.0044870339	0.0042819949	0.0052717755	0.0037089396	0.0030577920	0.0036891713	0.0036970809	0.0036742826	0.0042980831	0.0037987366	0.0058246850	0.0049888477	0.0046072903	0.0047867579	0.0038160178	0.0050514213	0.0024614092	0.0035020450	0.0024728327	0.0009724003	0.0035152431	0.0039659582	0.0045156091	0.0019163124	0.0042822635	0.0053268603	0.0051339956	0.0050553116	0.0048275288	0.0047067164	0.0052844233	0.0063841199	0.0055989105	0.0023008365	0.0034506157	0.0067285707	0.0045343220	0.0061851005	0.0053559069	0.0054747702	15	1297	35.5000000000	83	170.9400000000	0	2017-198	18:14:48.952
0174	0.1280000000	0.0000000000	0.0049995882	0.0037657536	0.0035781893	0.0043512402	0.0054836655	0.0035597997	0.0035610610	0.0048973946	0.0053063700	0.0040931746	0.0056379694	0.0065425897	0.0075506693	0.0056375723	0.0081526918	0.0054566689	0.0046357558	0.0027807580	0.0023234204	0.0039334994	0.0033237766	0.0036520389	0.0021620671	0.0023642112	0.0032056542	0.0024294726	0.0035233136	0.0028249710	0.0028244789	0.0045589317	0.0029060282	0.0030943551	0.0036583076	0.0027273399	0.0040955404	0.0031579287	0.0043391574	0.0034648820	0.0043114602	0.0033831035	0.0021213276	0.0040494631	0.0028379946	0.0029073508	0.0033213379	0.0041031235	0.0034588996	0.0020100428	0.0021540381	0.0036461564	0.0029863310	0.0019581480	0.0025980869	0.0031404689	0.0029800014	0.0026001688	0.0025455323	0.0025202403	0.0032359444	0.0018850927	0.0021245383	0.0033994118	0.0032757777	0.0034450606	0.0024092837	0.0034319911	0.0021659008	0.0019461145	0.0026946805	0.0029381189	0.0032884378	0.0025308903	0.0031916075	0.0029654770	0.0015335403	0.0028627751	0.0033042433	0.0015228359	0.0037690541	0.0034347125	0.0037155036	0.0043442007	0.0049944777	0.0052997725	0.0032608391	0.0025950877	0.0036583473	0.0019704070	0.0038609936	0.0031296446	0.0022516623	0.0037186157	0.0033417626	0.0046864716	0.0037612438	0.0043888186	0.0041023348	0.0021782102	0.0046129746	0.0043856511	0.0044874744	0.0033930517	0.0050324385	0.0051516114	0.0038974533	0.0045201489	0.0043512479	0.0024150274	0.0042214508	0.0030747015	0.0048964151	0.0051352979	0.0040584154	0.0050111732	0.0040588266	0.0051581404	0.0052501509	0.0045362586	0.0028195287	0.0037017973	0.0029798144	0.0058494451	0.0044634718	0.0036158106	0.0058344903	0.0054947938	0.0056667389	0.0031718933	0.0049403042	0.0076703343	0.0056400015	0.0051635438	0.0073687316	0.0055223352	0.0070332111	0.0048304746	0.0072848510	15	1300	37.0000000000	84	172.9900000000	0	2017-198	18:14:51.011
0174	0.1280000000	0.0000000000	0.0064319981	0.0046734922	0.0044564343	0.0045688784	0.0036067188	0.0073055234	0.0052062185	0.0057452186	0.0056755859	0.0040931746	0.0073669533	0.0060552097	0.0060043273	0.0049482702	0.0047327072	0.0054566689	0.0040376838	0.0035346829	0.0042796106	0.0022550273	0.0040392169	0.0022903258	0.0033201881	0.0031343582	0.0027957939	0.0031032406	0.0014379952	0.0034341073	0.0025499845	0.0035798398	0.0036198646	0.0025837355	0.0022452019	0.0012884701	0.0038644108	0.0034713396	0.0022710360	0.0041108181	0.0047196497	0.0044524043	0.0036863360	0.0029013074	0.0025937259	0.0026660435	0.0022130906	0.0029370880	0.0018617121	0.0032736129	0.0032431462	0.0021520050	0.0028467731	0.0029183271	0.0030712652	0.0036084871	0.0027146879	0.0031949009	0.0027434742	0.0027846242	0.0039647458	0.0000202469	0.0022587183	0.0017065788	0.0033443545	0.0026102654	0.0017027696	0.0033602312	0.0037720564	0.0038008287	0.0044288548	0.0021733820	0.0031336076	0.0029226205	0.0028739398	0.0031268459	0.0020256906	0.0031134486	0.0031340355	0.0028232935	0.0052697548	0.0026261644	0.0036241058	0.0027656056	0.0045224010	0.0038615710	0.0024819685	0.0049693674	0.0036583473	0.0027845407	0.0041706493	0.0021875796	0.0051131366	0.0036115281	0.0044217711	0.0045778124	0.0041977855	0.0050450088	0.0044312232	0.0041572020	0.0061575467	0.0041641200	0.0077128327	0.0031695452	0.0036891713	0.0040327418	0.0034511119	0.0064077080	0.0033567275	0.0037348949	0.0038925663	0.0031841721	0.0042384717	0.0046955379	0.0060444273	0.0026831278	0.0042815393	0.0043749257	0.0032238480	0.0046497048	0.0039659582	0.0026554678	0.0036888157	0.0023534246	0.0032300597	0.0046279339	0.0059643534	0.0057616998	0.0033352555	0.0065519412	0.0062397384	0.0057468694	0.0047293201	0.0039177779	0.0072086914	0.0063456795	0.0065243448	0.0058813393	0.0061988025	15	1304	34.5000000000	85	175.0500000000	0	2017-198	18:14:53.070
0174	0.1280000000	0.0000000000	0.0044027507	0.0067159040	0.0036879700	0.0043512402	0.0043795792	0.0028787590	0.0069688873	0.0047762769	0.0059217297	0.0069459933	0.0061319648	0.0078828848	0.0039821877	0.0046036191	0.0049533513	0.0046155476	0.0055328638	0.0051367735	0.0039239396	0.0037656522	0.0040392169	0.0030468331	0.0027411276	0.0027842914	0.0029324140	0.0026989798	0.0017743369	0.0022835166	0.0015892540	0.0025308127	0.0034770973	0.0023648985	0.0038070556	0.0034846398	0.0053282319	0.0046466306	0.0026687517	0.0045952702	0.0024337888	0.0044524043	0.0029450162	0.0032293519	0.0042221836	0.0021834289	0.0031630168	0.0031702951	0.0033828431	0.0029763023	0.0030979318	0.0030058058	0.0032654469	0.0029183271	0.0028008776	0.0018032741	0.0023167176	0.0016750300	0.0018197455	0.0027185282	0.0022421243	0.0017518894	0.0013865486	0.0024514253	0.0033443545	0.0033754944	0.0019853752	0.0039343108	0.0034070211	0.0034298859	0.0032978716	0.0025557504	0.0017401362	0.0030793126	0.0039063599	0.0024006857	0.0022717657	0.0036983534	0.0010915424	0.0042104482	0.0027097359	0.0035245512	0.0037155036	0.0036013324	0.0034838321	0.0031904103	0.0034555568	0.0036832993	0.0030561337	0.0033951410	0.0036545565	0.0035483402	0.0044772535	0.0045753162	0.0046377729	0.0046864716	0.0043069210	0.0032951683	0.0038830759	0.0033875941	0.0032890558	0.0031672301	0.0048211321	0.0047340905	0.0036891713	0.0049278375	0.0036742826	0.0037429187	0.0036882343	0.0025250164	0.0042214508	0.0028557602	0.0045674434	0.0046955379	0.0035067454	0.0055654697	0.0026111944	0.0043749257	0.0035615652	0.0035152431	0.0045391730	0.0023066914	0.0047523177	0.0029561867	0.0016266239	0.0056400573	0.0020684598	0.0018915628	0.0022380869	0.0031718933	0.0081166988	0.0053029928	0.0083720456	0.0059421475	0.0067285707	0.0076630304	0.0072028332	0.0076327804	0.0043887218	15	1293	35.5000000000	86	177.1000000000	0	2017-198	18:14:55.114
0174	0.1280000000	0.0000000000	0.0053576907	0.0031984169	0.0044564343	0.0072893556	0.0060357087	0.0040138268	0.0050887073	0.0047762769	0.0059217297	0.0058296729	0.0037854867	0.0036183095	0.0049337828	0.0031101312	0.0045120630	0.0033538658	0.0042370411	0.0058906984	0.0034793510	0.0043531174	0.0042776970	0.0046354984	0.0037544834	0.0017340910	0.0032056542	0.0030358638	0.0028506302	0.0022158347	0.0020696192	0.0023210073	0.0029774118	0.0028025725	0.0032864377	0.0021215000	0.0035562379	0.0038631033	0.0037028124	0.0045952702	0.0030052540	0.0031363417	0.0031921228	0.0033933742	0.0025937259	0.0029073508	0.0019756091	0.0028593523	0.0012532598	0.0029763023	0.0034609678	0.0025077553	0.0032654469	0.0026439902	0.0030712652	0.0024718715	0.0018524190	0.0026662501	0.0019517067	0.0020575683	0.0027721617	0.0017518894	0.0031979780	0.0017742921	0.0027957399	0.0028189642	0.0015614668	0.0047236702	0.0028959716	0.0032815088	0.0032224727	0.0027086978	0.0040625886	0.0027659284	0.0032710245	0.0034495838	0.0026818909	0.0031970064	0.0033893472	0.0041237511	0.0019152473	0.0038839059	0.0049036751	0.0036013324	0.0050888931	0.0053956526	0.0028714038	0.0045736542	0.0057660950	0.0022757072	0.0067511134	0.0048044269	0.0038413703	0.0043611411	0.0034497634	0.0049037900	0.0029972957	0.0046075487	0.0053082590	0.0022881542	0.0061575467	0.0033887612	0.0049323514	0.0051811034	0.0032414156	0.0070536898	0.0018889169	0.0061856422	0.0042407456	0.0020850606	0.0041118226	0.0032936427	0.0032515565	0.0033762577	0.0037274134	0.0066740628	0.0052837462	0.0047105891	0.0031112756	0.0032883507	0.0028195287	0.0032367620	0.0038069826	0.0030767391	0.0055735427	0.0066521806	0.0058344903	0.0057616998	0.0045695703	0.0038760700	0.0050846858	0.0055989105	0.0050328806	0.0053192645	0.0052882088	0.0079923682	0.0060154784	0.0093842215	0.0074658591	15	1292	35.5000000000	87	179.1600000000	0	2017-198	18:14:57.173
0174	0.1280000000	0.0000000000	0.0059545281	0.0063755020	0.0050053373	0.0054394311	0.0054836655	0.0051488946	0.0070863986	0.0063508071	0.0073985931	0.0043412458	0.0040324844	0.0050804496	0.0042200864	0.0048333865	0.0042914188	0.0038795665	0.0022434678	0.0038174048	0.0047241993	0.0020032565	0.0031647899	0.0022146751	0.0038268660	0.0047446656	0.0023859336	0.0035748782	0.0029178986	0.0030956983	0.0040597037	0.0018314614	0.0022635754	0.0030943551	0.0032120637	0.0025758799	0.0016301574	0.0037063978	0.0031460105	0.0023344938	0.0044747360	0.0033831035	0.0046747623	0.0033933742	0.0019423429	0.0037117084	0.0016589670	0.0016933168	0.0025462211	0.0029763023	0.0032431462	0.0014405043	0.0023583202	0.0033298324	0.0028008776	0.0026055910	0.0019187473	0.0017411113	0.0032713191	0.0024541443	0.0029046710	0.0017518894	0.0023928983	0.0019097188	0.0019728180	0.0035146269	0.0019853752	0.0028579116	0.0037720564	0.0023170574	0.0029962761	0.0028616452	0.0033658528	0.0050379634	0.0046211123	0.0036109528	0.0035021414	0.0035312378	0.0042403860	0.0030833850	0.0033276715	0.0028058417	0.0036241058	0.0041584836	0.0041447396	0.0040533312	0.0040397097	0.0033865143	0.0042605609	0.0032933743	0.0044803050	0.0038623619	0.0037353898	0.0046824038	0.0053937789	0.0043604940	0.0068170361	0.0046075487	0.0050890001	0.0034975381	0.0059368935	0.0041641200	0.0037089396	0.0045105840	0.0040249881	0.0039208548	0.0045669654	0.0045201489	0.0045722525	0.0047247954	0.0037829382	0.0046072903	0.0024839558	0.0027166177	0.0038377474	0.0035700022	0.0026111944	0.0039273744	0.0038992823	0.0048765972	0.0032781005	0.0026554678	0.0046341508	0.0036795013	0.0059435664	0.0061461189	0.0032372279	0.0052278878	0.0027866712	0.0055660939	0.0049403042	0.0058948282	0.0050328806	0.0062535889	0.0062484501	0.0076630304	0.0053369900	0.0081582127	0.0043887218	15	1296	36.5000000000	88	181.2100000000	0	2017-198	18:14:59.232
0174	0.1280000000	0.0000000000	0.0055964256	0.0069428386	0.0034684087	0.0063099838	0.0052628483	0.0049218810	0.0049711960	0.0035650998	0.0059217297	0.0059537085	0.0036619878	0.0053241396	0.0038632383	0.0050631539	0.0053946397	0.0043001272	0.0051341491	0.0049482922	0.0047241993	0.0034299578	0.0038802302	0.0037276897	0.0022344497	0.0025042380	0.0038887548	0.0016209510	0.0028506302	0.0021481529	0.0028244789	0.0035099046	0.0034057137	0.0044073771	0.0029889417	0.0034846398	0.0041725836	0.0027661650	0.0048959594	0.0039493341	0.0040665465	0.0039588809	0.0031097539	0.0051976188	0.0038150692	0.0041943230	0.0047462272	0.0017710525	0.0052082002	0.0031249576	0.0030253246	0.0025789054	0.0028467731	0.0025754060	0.0007053737	0.0025387313	0.0015207771	0.0022036807	0.0027434742	0.0029829122	0.0034347084	0.0021514993	0.0022587183	0.0029931319	0.0021785485	0.0037233257	0.0033277520	0.0025708718	0.0031879999	0.0034298859	0.0026946805	0.0022498557	0.0040625886	0.0025308903	0.0036681091	0.0019972634	0.0044044169	0.0034476799	0.0033893472	0.0024765048	0.0030628420	0.0032550351	0.0029843211	0.0050870689	0.0038614935	0.0022316093	0.0033581980	0.0011111629	0.0041601920	0.0041075080	0.0042738679	0.0046997530	0.0061729419	0.0058603670	0.0046377729	0.0041431755	0.0035429729	0.0039513585	0.0043215938	0.0029478181	0.0048336278	0.0023918713	0.0037089396	0.0055163631	0.0042488660	0.0059348202	0.0050133069	0.0044091160	0.0039092388	0.0041748507	0.0045503352	0.0032936427	0.0029225848	0.0034861977	0.0029550754	0.0045677360	0.0023884818	0.0031441596	0.0032238480	0.0060110589	0.0040806012	0.0033530208	0.0034524819	0.0050055780	0.0055735427	0.0061461189	0.0049254484	0.0058951528	0.0048438624	0.0054252586	0.0052290674	0.0008642276	0.0033632981	0.0045406609	0.0059283697	0.0081570370	0.0056762342	0.0092090774	0.0069228348	15	1297	35.5000000000	89	183.2700000000	0	2017-198	18:15:01.292
