SN	INTTIME(LU)	SAMPLE(DELAY)	LU(348.98)	LU(352.30)	LU(355.63)	LU(358.95)	LU(362.28)	LU(365.61)	LU(368.93)	LU(372.26)	LU(375.59)	LU(378.92)	LU(382.25)	LU(385.58)	LU(388.91)	LU(392.24)	LU(395.57)	LU(398.90)	LU(402.23)	LU(405.56)	LU(408.90)	LU(412.23)	LU(415.56)	LU(418.90)	LU(422.23)	LU(425.57)	LU(428.90)	LU(432.24)	LU(435.57)	LU(438.91)	LU(442.25)	LU(445.58)	LU(448.92)	LU(452.26)	LU(455.59)	LU(458.93)	LU(462.27)	LU(465.61)	LU(468.95)	LU(472.28)	LU(475.62)	LU(478.96)	LU(482.30)	LU(485.64)	LU(488.98)	LU(492.32)	LU(495.66)	LU(499.00)	LU(502.34)	LU(505.68)	LU(509.02)	LU(512.36)	LU(515.70)	LU(519.04)	LU(522.38)	LU(525.72)	LU(529.06)	LU(532.40)	LU(535.74)	LU(539.08)	LU(542.42)	LU(545.76)	LU(549.10)	LU(552.44)	LU(555.78)	LU(559.13)	LU(562.47)	LU(565.81)	LU(569.15)	LU(572.49)	LU(575.83)	LU(579.17)	LU(582.50)	LU(585.84)	LU(589.18)	LU(592.52)	LU(595.86)	LU(599.20)	LU(602.54)	LU(605.88)	LU(609.21)	LU(612.55)	LU(615.89)	LU(619.23)	LU(622.56)	LU(625.90)	LU(629.24)	LU(632.57)	LU(635.91)	LU(639.25)	LU(642.58)	LU(645.92)	LU(649.25)	LU(652.58)	LU(655.92)	LU(659.25)	LU(662.59)	LU(665.92)	LU(669.25)	LU(672.58)	LU(675.91)	LU(679.24)	LU(682.58)	LU(685.91)	LU(689.23)	LU(692.56)	LU(695.89)	LU(699.22)	LU(702.55)	LU(705.88)	LU(709.20)	LU(712.53)	LU(715.85)	LU(719.18)	LU(722.50)	LU(725.83)	LU(729.15)	LU(732.47)	LU(735.79)	LU(739.11)	LU(742.44)	LU(745.76)	LU(749.07)	LU(752.39)	LU(755.71)	LU(759.03)	LU(762.35)	LU(765.66)	LU(768.98)	LU(772.29)	LU(775.60)	LU(778.92)	LU(782.23)	LU(785.54)	LU(788.85)	LU(792.16)	LU(795.47)	LU(798.78)	LU(802.08)	DARK_SAMP(LU)	DARK_AVE(LU)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0174	0.2560000000	0.0000000000	0.0021416916	0.0017694095	0.0018988753	0.0016859342	0.0010857033	0.0018934066	0.0011929742	0.0020247853	0.0018532174	0.0023566763	0.0021397410	0.0020528447	0.0021100432	0.0020146003	0.0007115223	0.0014666526	0.0007728585	0.0016731008	0.0013395457	0.0004980866	0.0013041682	0.0012964644	0.0010086510	0.0008320388	0.0011588118	0.0014505551	0.0010553393	0.0014801673	0.0012406804	0.0010556010	0.0007034858	0.0008541937	0.0007879180	0.0006063700	0.0007765571	0.0004428497	0.0003798582	0.0013287309	0.0012168944	0.0013214091	0.0006900039	0.0005485314	0.0017039774	0.0010112787	0.0011065453	0.0011576012	0.0016153650	0.0011165129	0.0008228938	0.0010048524	0.0007953757	0.0008761977	0.0009272605	0.0009684968	0.0009593737	0.0012670437	0.0008438921	0.0007313522	0.0005910248	0.0010091480	0.0006261843	0.0011579993	0.0007806785	0.0010964339	0.0005687792	0.0012495559	0.0013384752	0.0014552830	0.0013850397	0.0012396384	0.0007539455	0.0009520610	0.0014766784	0.0018458186	0.0021201834	0.0012224929	0.0014819139	0.0009781609	0.0013548679	0.0010435661	0.0009894726	0.0011042272	0.0007505548	0.0010678646	0.0006081519	0.0008523664	0.0012771445	0.0013413870	0.0018272782	0.0007797681	0.0022386267	0.0014845014	0.0016168809	0.0012566437	0.0011712415	0.0018663142	0.0015578348	0.0008692171	0.0023616506	0.0021928256	0.0012427639	0.0002996104	0.0002774406	0.0013450491	0.0011676292	0.0015938771	0.0016783637	0.0013724971	0.0018366550	0.0014826154	0.0027223507	0.0014132788	0.0015878717	0.0017295715	0.0016953443	0.0015161359	0.0008802035	0.0009634983	0.0016390503	0.0015021222	0.0021398251	0.0016589220	0.0020467241	0.0026935132	0.0016835455	0.0018799524	0.0018047739	0.0008113523	0.0004488101	0.0005060932	0.0014539787	0.0012581457	0.0013637827	0.0031728397	0.0019051955	0.0037288181	0.0023753690	15	1284	32.5000000000	35	94.7300000000	0	2017-198	18:38:05.156
0174	0.2560000000	0.0000000000	0.0016642216	0.0014857411	0.0012950819	0.0016315246	0.0013065206	0.0022906804	0.0015455080	0.0026303739	0.0024070411	0.0018605339	0.0028189847	0.0018091547	0.0027047902	0.0020146003	0.0011528106	0.0027283344	0.0013709305	0.0015317399	0.0016062989	0.0012533990	0.0011451814	0.0009182107	0.0009000771	0.0004819720	0.0003390911	0.0010126059	0.0004835584	0.0010402356	0.0008632506	0.0013703091	0.0013102468	0.0005624111	0.0009366660	0.0008714250	0.0014699461	0.0012263770	0.0008571170	0.0006424238	0.0011760754	0.0011980283	0.0009371105	0.0009175814	0.0015004202	0.0011721502	0.0014627676	0.0015074118	0.0010829692	0.0011908405	0.0010407154	0.0010048524	0.0002720334	0.0011162425	0.0011638496	0.0005673383	0.0010588662	0.0008044743	0.0005799696	0.0014253601	0.0007897888	0.0012089529	0.0007939093	0.0008871461	0.0015693120	0.0008877351	0.0010633390	0.0009625161	0.0015939999	0.0007504916	0.0008195481	0.0008955068	0.0009087756	0.0016571753	0.0009207599	0.0006758938	0.0010538578	0.0009300405	0.0006734270	0.0000678405	0.0009134854	0.0014478402	0.0012179672	0.0010577980	0.0012698393	0.0015952051	0.0012896637	0.0011491514	0.0014778824	0.0013922704	0.0025498082	0.0007274312	0.0011788214	0.0023412019	0.0006988736	0.0018542694	0.0010075384	0.0018663142	0.0021059821	0.0016937970	0.0019203443	0.0015282323	0.0022993468	0.0008025000	0.0008931048	0.0025758057	0.0012792145	0.0011497456	0.0009048478	0.0017024640	0.0013981425	0.0013184095	0.0015709496	0.0010284888	0.0008155337	0.0005101191	0.0014726317	0.0011804724	0.0013867792	0.0010202214	0.0015244073	0.0009789574	0.0006627390	0.0006342263	0.0012450062	0.0013651013	0.0015536824	0.0030143029	0.0020104930	0.0013042760	0.0011707180	0.0011719080	0.0012263084	0.0010245646	0.0010437023	0.0022671610	0.0010570850	0.0029406696	0.0038234336	15	1286	31.5000000000	36	97.5100000000	0	2017-198	18:38:07.989
0174	0.2560000000	0.0000000000	0.0029772641	0.0024502134	0.0022831074	0.0026653060	0.0017481551	0.0020069134	0.0013104855	0.0024486973	0.0024685771	0.0024186941	0.0031277318	0.0023574573	0.0022289926	0.0028187862	0.0018147432	0.0018872132	0.0008226979	0.0016259805	0.0016062989	0.0009596664	0.0013041682	0.0005399571	0.0009000771	0.0005519854	0.0008172615	0.0010799827	0.0007189976	0.0012094401	0.0007260034	0.0006709577	0.0012031713	0.0008177209	0.0012713489	0.0014015349	0.0015084677	0.0016181407	0.0008571170	0.0018131830	0.0011352565	0.0011569013	0.0013077704	0.0019427204	0.0015411316	0.0010112787	0.0016210887	0.0012742047	0.0012731105	0.0016368065	0.0011496262	0.0012538776	0.0004464808	0.0010819503	0.0008258651	0.0005004786	0.0012578514	0.0005731896	0.0006789406	0.0001364882	0.0010879348	0.0009092455	0.0008274542	0.0006840061	0.0009864090	0.0004355544	0.0007454077	0.0009983961	0.0013019716	0.0010101515	0.0011588431	0.0012014015	0.0004442851	0.0011870991	0.0011193022	0.0014827385	0.0009308202	0.0019327346	0.0016946736	0.0013682981	0.0015755592	0.0009986468	0.0016292573	0.0006863638	0.0005145165	0.0008761044	0.0010462666	0.0014459363	0.0016786203	0.0010360869	0.0019304968	0.0015124854	0.0021856365	0.0005742571	0.0010768766	0.0010936549	0.0007346998	0.0009913940	0.0012837611	0.0019686570	0.0010377317	0.0019712945	0.0025773950	0.0016965258	0.0016766773	0.0022960883	0.0024508608	0.0010942291	0.0012916058	0.0018674474	0.0005759314	0.0010994682	0.0006388631	0.0006986688	0.0008707007	0.0013415639	0.0012499191	0.0012923603	0.0014993516	0.0014172830	0.0013524429	0.0010952163	0.0017853244	0.0019000269	0.0018617123	0.0011753282	0.0018134086	0.0010792344	0.0013933356	0.0010930230	0.0011707180	0.0015418051	0.0028200007	0.0018031682	0.0018439033	0.0017731544	0.0019051955	0.0025903814	0.0032804093	15	1282	32.5000000000	37	100.3000000000	0	2017-198	18:38:10.688
0174	0.2560000000	0.0000000000	0.0011867516	0.0018261431	0.0012401916	0.0015227055	0.0014169292	0.0020069134	0.0025443536	0.0022064619	0.0028993289	0.0013023737	0.0018309939	0.0026620698	0.0019316191	0.0021294840	0.0015389379	0.0021500636	0.0010718945	0.0009191759	0.0013395457	0.0011275136	0.0014631549	0.0009560361	0.0009362684	0.0011470989	0.0009538816	0.0016189971	0.0009880709	0.0014801673	0.0009661860	0.0013353415	0.0014173223	0.0009271394	0.0013085359	0.0007956950	0.0011617732	0.0011480243	0.0008173455	0.0013691020	0.0008903428	0.0017738056	0.0007311884	0.0011636148	0.0019075346	0.0009710608	0.0016606689	0.0008855262	0.0010449409	0.0008192022	0.0005324650	0.0009692774	0.0005511493	0.0015277478	0.0009948574	0.0006341981	0.0009925379	0.0008705557	0.0013387468	0.0003347762	0.0002597514	0.0010757496	0.0004920044	0.0010902860	0.0003006408	0.0009920845	0.0012046418	0.0011777960	0.0014844893	0.0006763030	0.0011588431	0.0011249279	0.0010248982	0.0015004833	0.0010398853	0.0015230807	0.0011358828	0.0005122513	0.0015244658	0.0007614179	0.0013107297	0.0012232435	0.0010808704	0.0018470955	0.0013170470	0.0019307855	0.0006568313	0.0014459363	0.0017789892	0.0012905037	0.0014144040	0.0007274312	0.0013907825	0.0013774138	0.0019948839	0.0016369509	0.0011712415	0.0020850443	0.0014482053	0.0016937970	0.0021409975	0.0016389978	0.0020769083	0.0003554870	0.0013968299	0.0023520318	0.0021718974	0.0023155909	0.0011811035	0.0016474695	0.0006307455	0.0010994682	0.0013516351	0.0013583088	0.0014775377	0.0010644156	0.0010828846	0.0012364164	0.0013304930	0.0020412370	0.0018683362	0.0022578045	0.0008990728	0.0004533977	0.0013683474	0.0018079053	0.0021380664	0.0015463199	0.0009818974	0.0012338583	0.0011707180	0.0017637434	0.0016057589	0.0034382359	0.0024840642	0.0029258364	0.0029229282	0.0022400932	0.0033709134	15	1284	33.0000000000	38	103.1000000000	0	2017-198	18:38:13.574
0174	0.2560000000	0.0000000000	0.0022013753	0.0013155402	0.0019537656	0.0019035724	0.0018585637	0.0021204202	0.0023093311	0.0023275796	0.0028377929	0.0021086051	0.0018309939	0.0026011473	0.0021695179	0.0017273911	0.0014837769	0.0016769329	0.0016201272	0.0015788602	0.0008504981	0.0012114372	0.0010656881	0.0008803854	0.0009724597	0.0011470989	0.0006806414	0.0007430987	0.0004835584	0.0009387129	0.0006230680	0.0010905685	0.0014530141	0.0012553949	0.0017919668	0.0014772649	0.0009691652	0.0008346133	0.0012548327	0.0013691020	0.0005229723	0.0011569013	0.0013489548	0.0011226092	0.0011340172	0.0008101893	0.0014231874	0.0013908083	0.0010069126	0.0017854618	0.0010044118	0.0006491021	0.0007604862	0.0006018608	0.0007920667	0.0005339085	0.0007272243	0.0008705557	0.0003820278	0.0009296402	0.0007235341	0.0011423513	0.0009951792	0.0013272826	0.0012607163	0.0008529520	0.0015932246	0.0010701561	0.0010099433	0.0009730573	0.0004048543	0.0009719805	0.0009087756	0.0007561959	0.0007222176	0.0010793162	0.0015460081	0.0009718194	0.0014819139	0.0018884812	0.0014431445	0.0013130822	0.0008523759	0.0026363930	0.0015058777	0.0012596248	0.0008515490	0.0011491514	0.0016786203	0.0008834368	0.0018272782	0.0013554745	0.0018676949	0.0014309576	0.0018868830	0.0013653029	0.0020988928	0.0016475842	0.0009548727	0.0014189371	0.0016996912	0.0011405529	0.0007978869	0.0009142532	0.0015087689	0.0020723144	0.0013907999	0.0023711073	0.0020098705	0.0023623977	0.0013981425	0.0008805270	0.0015161210	0.0025126789	0.0020292077	0.0008426970	0.0016953443	0.0022993506	0.0012179206	0.0007366060	0.0015244073	0.0007464398	0.0006036555	0.0002122928	0.0006899707	0.0014916168	0.0024627242	0.0020801319	0.0008447513	0.0022901233	0.0022535798	0.0009499697	0.0001638468	0.0010245646	0.0019239234	0.0016084855	0.0013963292	0.0013643726	0.0009273044	15	1284	33.0000000000	39	105.8900000000	0	2017-198	18:38:16.304
0174	0.2560000000	0.0000000000	0.0014851704	0.0019396104	0.0013499722	0.0017403437	0.0020793810	0.0018366532	0.0017217749	0.0007530494	0.0017301454	0.0028528187	0.0015222468	0.0022356123	0.0024668914	0.0027613443	0.0020353873	0.0017820730	0.0021185205	0.0012961384	0.0020064287	0.0004561248	0.0008272080	0.0006534332	0.0007915033	0.0008670455	0.0007489514	0.0014168667	0.0011226076	0.0007695083	0.0012749922	0.0017549523	0.0015957814	0.0012553949	0.0011969749	0.0014393999	0.0011617732	0.0014614352	0.0009366602	0.0011268759	0.0009719807	0.0006222509	0.0006488195	0.0004665203	0.0017446888	0.0008906250	0.0005524217	0.0016628832	0.0009688843	0.0014881511	0.0006050722	0.0009337023	0.0008302652	0.0007047371	0.0012314465	0.0004336189	0.0009593737	0.0013661657	0.0011078146	0.0010948801	0.0009885528	0.0013421562	0.0011293592	0.0008194327	0.0010206974	0.0010268677	0.0015225732	0.0005678364	0.0008639292	0.0010472458	0.0009703459	0.0014690594	0.0015668038	0.0018922134	0.0017546376	0.0011600006	0.0017920832	0.0010971562	0.0018223294	0.0012816010	0.0008252089	0.0012232435	0.0015835584	0.0015685199	0.0013170470	0.0016431452	0.0011436254	0.0010502231	0.0018793581	0.0016975705	0.0014144040	0.0004657465	0.0017617143	0.0025018332	0.0012928783	0.0013109733	0.0019351896	0.0017022667	0.0011193169	0.0018037410	0.0021409975	0.0009190218	0.0011315447	0.0016406492	0.0007811658	0.0017925970	0.0022834827	0.0023711073	0.0014021081	0.0017024640	0.0012337003	0.0012636742	0.0017902641	0.0016331589	0.0027463786	0.0010644156	0.0016953443	0.0012923603	0.0013867792	0.0011903907	0.0019829791	0.0012696045	0.0015489906	0.0017191982	0.0022934065	0.0013651013	0.0019432717	0.0018799524	0.0013933356	0.0012338583	0.0016038627	0.0010979286	0.0010745281	0.0020367493	0.0013637827	0.0025141643	0.0023292508	0.0037288181	0.0027373851	15	1287	33.0000000000	40	108.6700000000	0	2017-198	18:38:19.112
0174	0.2560000000	0.0000000000	0.0016045379	0.0020530778	0.0011304110	0.0013594769	0.0013617249	0.0013258727	0.0023093311	0.0014191968	0.0017916814	0.0024186941	0.0015839962	0.0020528447	0.0019910938	0.0028187862	0.0023111925	0.0009935219	0.0022181992	0.0016731008	0.0017841344	0.0007498574	0.0008272080	0.0008425600	0.0002848254	0.0009370588	0.0008855715	0.0004399031	0.0008871684	0.0009725538	0.0006573798	-0.0001332964	0.0010960959	0.0013283406	0.0013457229	0.0012122100	0.0013158596	0.0011480243	0.0010957464	0.0010057629	0.0012985323	0.0006633778	0.0011842171	0.0015326648	0.0011747286	0.0014536754	0.0014627676	0.0010409976	0.0012350823	0.0011908405	0.0015489659	0.0007558272	0.0007255967	0.0011505346	0.0005892760	0.0010019267	0.0007603885	0.0009035963	0.0009428631	0.0007644002	0.0009222982	0.0001433267	0.0004920044	0.0010564294	0.0002320640	0.0009225183	0.0010633390	0.0010701561	0.0010829504	0.0013069058	0.0013096408	0.0008955068	0.0016442189	0.0013046182	0.0010001768	0.0009179472	0.0018330957	0.0017656189	0.0010563945	0.0014983439	0.0015755592	0.0010884855	0.0012636661	0.0015685199	0.0010810086	0.0013075648	0.0012409843	0.0019405780	0.0011767756	0.0018502206	0.0006402648	0.0003087356	0.0000660259	0.0016986765	0.0011848774	0.0006046885	0.0017169187	0.0011554415	0.0013933906	0.0021885450	0.0020858342	0.0011959356	0.0012427639	0.0013612661	0.0019565246	0.0015688230	0.0014465926	0.0023711073	0.0012363547	0.0010975248	0.0018366550	0.0019752333	0.0003647200	0.0013583088	0.0014775377	0.0013415639	0.0014726317	0.0020196311	0.0015556378	0.0008500522	0.0022695865	0.0013277339	0.0014899072	0.0011767123	0.0018000417	0.0019976784	0.0005797090	0.0017464994	0.0023533582	0.0014451113	0.0018204350	0.0016897639	0.0015298688	0.0024260512	0.0032042451	0.0014438166	0.0019051955	0.0017146609	0.0011988165	15	1283	30.5000000000	41	111.4600000000	0	2017-198	18:38:21.935
0174	0.2560000000	0.0000000000	0.0015448541	0.0025636807	0.0012950819	0.0018491628	0.0017481551	0.0012691193	0.0015455080	0.0019642265	0.0024685771	0.0013023737	0.0026337364	0.0030276048	0.0023479420	0.0036229720	0.0018699042	0.0014666526	0.0017696452	0.0015788602	0.0014729223	0.0010435900	0.0008669546	0.0012208136	0.0001762515	0.0004119586	0.0004757112	0.0009115407	0.0006180951	0.0007356674	0.0007946270	0.0010206334	0.0012031713	0.0011095036	0.0013457229	0.0014393999	0.0012002948	0.0012263770	0.0010559749	0.0011268759	0.0012577133	0.0010746474	0.0009371105	0.0009175814	0.0015411316	0.0015743290	0.0014231874	0.0018572225	0.0011590257	0.0010421852	0.0015126623	0.0009692774	0.0012838286	0.0011848267	0.0008258651	0.0013696552	0.0009262095	0.0011348810	0.0009098727	0.0008635442	0.0012535715	0.0010424488	0.0010287242	0.0006501494	0.0013978700	0.0004355544	0.0010986647	0.0010701561	0.0010829504	0.0016407544	0.0014227391	0.0016984805	0.0014119736	0.0015788293	0.0017546376	0.0011196584	0.0014639830	0.0008464827	0.0006308751	0.0011949038	0.0011783149	0.0013130822	0.0006238814	0.0014292321	0.0016475007	0.0011637447	0.0012896637	0.0014459363	0.0012771445	0.0014431537	0.0018788875	0.0015124854	0.0006489188	0.0018057641	0.0016168809	0.0018542694	0.0015532156	0.0021397268	0.0020511674	0.0011440771	0.0015342013	0.0021374428	0.0017432506	0.0004672403	0.0015087689	0.0015128796	0.0016697633	0.0013162949	0.0021203728	0.0014824861	0.0016173988	0.0017562920	0.0009130062	0.0015232188	0.0019188737	0.0018404308	0.0011942409	0.0007329212	0.0013304930	-0.0000575172	0.0005499422	0.0008626986	0.0012535734	0.0014178171	0.0018617123	0.0016813899	0.0016186139	0.0023470379	0.0021476391	0.0019380350	0.0014594811	0.0012458874	0.0019093194	0.0010245646	0.0012037425	0.0013614822	0.0024140618	0.0032033858	0.0021943609	15	1284	32.5000000000	42	114.2500000000	0	2017-198	18:38:24.603
0174	0.2560000000	0.0000000000	0.0023804266	0.0021665451	0.0023928881	0.0013594769	0.0018585637	0.0017798998	0.0017217749	0.0023881384	0.0019762893	0.0017364983	0.0017692445	0.0024183798	0.0025858408	0.0016699493	0.0017044211	0.0026231943	0.0012214125	0.0015788602	0.0007171215	0.0017569407	0.0012246748	0.0010695122	0.0012619899	0.0010420789	0.0009197266	0.0013158015	0.0014253151	0.0012432810	0.0010691214	0.0011954712	0.0014887059	0.0014377591	0.0008994790	0.0012122100	0.0011232516	0.0011872006	0.0012548327	0.0012479889	0.0020740922	0.0011569013	0.0021314590	0.0018197038	0.0011747286	0.0010917144	0.0009878045	0.0016628832	0.0001702906	0.0009306937	0.0006050722	0.0001510516	0.0007604862	0.0006361529	0.0007244698	0.0014365150	0.0013905081	0.0012009624	0.0009758534	0.0013923121	0.0008560435	0.0009758472	0.0007939093	0.0007178628	0.0006778133	0.0005746869	0.0010633390	0.0003166766	0.0004988938	0.0005279259	0.0008195481	0.0010866910	0.0007539455	0.0017355214	0.0014369699	0.0013213696	0.0015870206	0.0009300405	0.0014393619	0.0011949038	0.0011783149	0.0015376789	0.0011722683	0.0019399540	0.0016947084	0.0014513850	0.0006568313	0.0013964722	0.0020800960	0.0016466871	0.0015692318	0.0013554745	0.0009138701	0.0010561511	0.0008068744	0.0004960293	0.0011166738	0.0016475842	0.0019415379	0.0011990491	0.0026926303	0.0020820600	0.0017988602	0.0009142532	0.0020684635	0.0027995796	0.0008328731	0.0021490416	0.0011811035	0.0010425303	0.0010692581	0.0008805270	0.0016257783	0.0010834588	0.0019740407	0.0020067197	0.0017510225	0.0026909580	0.0014430654	0.0024950217	0.0018110147	0.0018508986	0.0016080741	0.0011767123	0.0022934065	0.0014283591	0.0006446405	0.0008790549	0.0011190434	0.0029238823	0.0023257705	0.0021336405	0.0026682205	0.0023481908	0.0024840642	0.0016908199	0.0013963292	0.0015395167	0.0025563770	15	1289	33.0000000000	43	117.0500000000	0	2017-198	18:38:27.520
0174	0.2560000000	0.0000000000	0.0017835891	0.0015424748	0.0021184365	0.0019035724	0.0011961119	0.0017798998	0.0013104855	0.0015403145	0.0014224656	0.0014884271	0.0013987480	0.0018091547	0.0027642649	0.0022443677	0.0017044211	0.0023603439	0.0016201272	0.0012961384	0.0017841344	0.0017149789	0.0019401151	0.0008047346	0.0007191207	0.0009020522	0.0008855715	0.0011810479	0.0009544368	0.0013109628	0.0013779276	0.0010556010	0.0015957814	0.0011095036	0.0012341619	0.0011364800	0.0003913410	0.0007954370	0.0011752896	0.0012479889	0.0015434459	0.0012802822	0.0011842171	0.0006305425	0.0009711714	0.0016547648	0.0017794097	0.0009632619	0.0014632519	0.0011908405	0.0010770190	0.0009337023	0.0008651547	0.0008419056	0.0005216791	0.0004336189	0.0005282392	0.0010357590	0.0004150181	0.0005330642	0.0009554255	0.0007760423	0.0003913694	0.0005485795	0.0008492554	0.0011312171	0.0012046418	0.0020389153	0.0012654681	0.0011585287	0.0007818487	0.0010484542	0.0012571435	0.0011870991	0.0018737630	0.0010389739	0.0005206950	0.0009300405	0.0003330115	0.0016283897	0.0007369323	0.0019419530	0.0013093650	0.0009649394	0.0021667851	0.0012116847	0.0016790990	0.0013470080	0.0012771445	0.0014431537	0.0007434833	0.0007274312	0.0009138701	-0.0001218121	0.0011848774	0.0015826213	0.0016623510	0.0012648066	0.0025993148	0.0021335730	0.0008170786	0.0014174667	0.0016320313	0.0020317855	0.0013408605	0.0018485405	0.0016139706	0.0005390647	0.0019546194	0.0010425303	0.0008500018	0.0009899976	0.0006936917	0.0014682488	0.0003741977	0.0012307046	0.0019737352	0.0014042481	0.0021184997	0.0016441754	0.0013524429	0.0030716163	0.0014899072	0.0017794744	0.0018000417	0.0012385859	0.0013588877	0.0009457814	0.0020104930	0.0020084526	0.0018926258	0.0027994553	0.0023646601	0.0026596323	0.0016038430	0.0017731544	0.0033469834	0.0025903814	0.0022848649	15	1288	32.5000000000	44	119.8400000000	0	2017-198	18:38:30.266
