SN	INTTIME(LU)	SAMPLE(DELAY)	LU(348.98)	LU(352.30)	LU(355.63)	LU(358.95)	LU(362.28)	LU(365.61)	LU(368.93)	LU(372.26)	LU(375.59)	LU(378.92)	LU(382.25)	LU(385.58)	LU(388.91)	LU(392.24)	LU(395.57)	LU(398.90)	LU(402.23)	LU(405.56)	LU(408.90)	LU(412.23)	LU(415.56)	LU(418.90)	LU(422.23)	LU(425.57)	LU(428.90)	LU(432.24)	LU(435.57)	LU(438.91)	LU(442.25)	LU(445.58)	LU(448.92)	LU(452.26)	LU(455.59)	LU(458.93)	LU(462.27)	LU(465.61)	LU(468.95)	LU(472.28)	LU(475.62)	LU(478.96)	LU(482.30)	LU(485.64)	LU(488.98)	LU(492.32)	LU(495.66)	LU(499.00)	LU(502.34)	LU(505.68)	LU(509.02)	LU(512.36)	LU(515.70)	LU(519.04)	LU(522.38)	LU(525.72)	LU(529.06)	LU(532.40)	LU(535.74)	LU(539.08)	LU(542.42)	LU(545.76)	LU(549.10)	LU(552.44)	LU(555.78)	LU(559.13)	LU(562.47)	LU(565.81)	LU(569.15)	LU(572.49)	LU(575.83)	LU(579.17)	LU(582.50)	LU(585.84)	LU(589.18)	LU(592.52)	LU(595.86)	LU(599.20)	LU(602.54)	LU(605.88)	LU(609.21)	LU(612.55)	LU(615.89)	LU(619.23)	LU(622.56)	LU(625.90)	LU(629.24)	LU(632.57)	LU(635.91)	LU(639.25)	LU(642.58)	LU(645.92)	LU(649.25)	LU(652.58)	LU(655.92)	LU(659.25)	LU(662.59)	LU(665.92)	LU(669.25)	LU(672.58)	LU(675.91)	LU(679.24)	LU(682.58)	LU(685.91)	LU(689.23)	LU(692.56)	LU(695.89)	LU(699.22)	LU(702.55)	LU(705.88)	LU(709.20)	LU(712.53)	LU(715.85)	LU(719.18)	LU(722.50)	LU(725.83)	LU(729.15)	LU(732.47)	LU(735.79)	LU(739.11)	LU(742.44)	LU(745.76)	LU(749.07)	LU(752.39)	LU(755.71)	LU(759.03)	LU(762.35)	LU(765.66)	LU(768.98)	LU(772.29)	LU(775.60)	LU(778.92)	LU(782.23)	LU(785.54)	LU(788.85)	LU(792.16)	LU(795.47)	LU(798.78)	LU(802.08)	DARK_SAMP(LU)	DARK_AVE(LU)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0174	0.1280000000	0.0000000000	0.0381837518	0.0415503726	0.0458437259	0.0490758866	0.0564924537	0.0620157920	0.0690148287	0.0724810766	0.0760727389	0.0811192786	0.0814662620	0.0862292271	0.0964058632	0.1007612655	0.1141722166	0.1414028879	0.1642213015	0.1797646425	0.1889617463	0.2024967502	0.2161275168	0.2250060716	0.2351615306	0.2387293235	0.2432471864	0.2622344101	0.2914990575	0.3203203372	0.3523931111	0.3903211459	0.4267107256	0.4573270134	0.4831473918	0.5067104308	0.5283746379	0.5464557967	0.5655159606	0.5932045484	0.6254125231	0.6562324159	0.6687325106	0.6703078097	0.6876858647	0.7214400462	0.7448970752	0.7575952693	0.7727708691	0.7964983469	0.8192755694	0.8287734955	0.8293787936	0.8502077641	0.8876443124	0.9207904292	0.9472971332	0.9728064884	0.9854588219	0.9924399485	1.0014950780	1.0171604362	1.0306809983	1.0401580521	1.0469464398	1.0520869532	1.0591423896	1.0610300660	1.0563880353	1.0518627323	1.0424452212	1.0252382981	0.9950530277	0.9367290088	0.8674066301	0.8055338992	0.7498480418	0.6907108905	0.6370728449	0.5967856306	0.5693566846	0.5471384186	0.5309894432	0.5188733214	0.5042628612	0.4870013879	0.4724330175	0.4617214278	0.4556196645	0.4468944637	0.4341791871	0.4161728129	0.3983009026	0.3730636262	0.3448404768	0.3236012428	0.3083582542	0.2956278897	0.2876041475	0.2778077813	0.2766783022	0.2763150725	0.2676322252	0.2571846448	0.2437981755	0.2313870498	0.2223815801	0.2047124463	0.1850224604	0.1656386329	0.1415855092	0.1142968581	0.0886745470	0.0656023038	0.0529363754	0.0431467746	0.0365748731	0.0313398903	0.0275394834	0.0251834620	0.0237991886	0.0239308330	0.0222410168	0.0197129746	0.0208678531	0.0196832685	0.0197298442	0.0192404527	0.0195184931	0.0219029923	0.0213998033	0.0257213129	0.0208180243	0.0252515184	0.0262534768	0.0265999503	0.0301018177	0.0261980562	0.0309969088	15	1378	37.5000000000	35	323.6300000000	0	2017-198	18:05:51.695
0174	0.1280000000	0.0000000000	0.0402129992	0.0448409250	0.0460632871	0.0492935248	0.0547259155	0.0638319005	0.0688973175	0.0701798401	0.0743497317	0.0791347091	0.0829482482	0.0845233969	0.0939079260	0.0990380102	0.1119657749	0.1408771872	0.1640219442	0.1767489427	0.1875390626	0.2005665073	0.2138222092	0.2236443584	0.2312528723	0.2356487355	0.2412661948	0.2583265557	0.2869920790	0.3174100194	0.3489619309	0.3875936756	0.4215711032	0.4523667081	0.4771230990	0.5024695513	0.5228275262	0.5386205231	0.5587547943	0.5866644453	0.6205958877	0.6500633724	0.6614840509	0.6641569756	0.6810091883	0.7150051850	0.7380892706	0.7514541489	0.7656976103	0.7901804962	0.8128861350	0.8202354874	0.8205866421	0.8430750054	0.8810198161	0.9122323822	0.9408632804	0.9654053776	0.9780689926	0.9856320611	0.9947371015	1.0092348415	1.0228985608	1.0341992800	1.0394029893	1.0443650977	1.0516533404	1.0522753527	1.0486492856	1.0442954983	1.0337743501	1.0188145088	0.9858406332	0.9304613260	0.8605767742	0.7992405105	0.7440242635	0.6849453997	0.6311155732	0.5905434341	0.5634421581	0.5416582590	0.5245915969	0.5113517804	0.4991644321	0.4811527019	0.4674677174	0.4569728683	0.4493967905	0.4419078949	0.4290182589	0.4121952051	0.3924719734	0.3683517734	0.3395484347	0.3205587850	0.3042111075	0.2902690033	0.2812456381	0.2745094617	0.2723755659	0.2722167473	0.2655190594	0.2522675025	0.2379773511	0.2289255366	0.2184760927	0.2014924925	0.1831439218	0.1631088870	0.1398314589	0.1137495050	0.0873586602	0.0638432636	0.0519433694	0.0403752919	0.0333455397	0.0298853486	0.0254006081	0.0241624464	0.0221941873	0.0216056565	0.0205866804	0.0223651281	0.0206211707	0.0193037223	0.0179117605	0.0200411707	0.0191070548	0.0209171450	0.0208222770	0.0215784654	0.0226393871	0.0229157074	0.0240129139	0.0256119371	0.0270486198	0.0291755061	0.0288248119	15	1380	38.5000000000	36	323.9900000000	0	2017-198	18:05:52.055
0174	0.1280000000	0.0000000000	0.0390193243	0.0391675587	0.0422209656	0.0461377711	0.0510824307	0.0589511089	0.0652544686	0.0675152505	0.0750881633	0.0757857481	0.0770203035	0.0819646517	0.0906962925	0.0997273123	0.1099799773	0.1357253196	0.1597357615	0.1716599492	0.1831820935	0.1954471673	0.2080191935	0.2179705538	0.2279232745	0.2317279872	0.2361429407	0.2546208318	0.2830905156	0.3118601110	0.3445013968	0.3821387349	0.4175736191	0.4485005879	0.4724375379	0.4980772118	0.5192835382	0.5365049993	0.5571639316	0.5844844110	0.6179018373	0.6490763254	0.6588482474	0.6640749645	0.6801949595	0.7135573412	0.7375351469	0.7503658491	0.7662300061	0.7911467557	0.8123778845	0.8202354874	0.8228893484	0.8437608476	0.8821013666	0.9153747901	0.9402663250	0.9666609232	0.9799824305	0.9873505569	0.9965922323	1.0127647282	1.0265885096	1.0381266525	1.0439290596	1.0488173387	1.0560337277	1.0572267889	1.0519346039	1.0474114182	1.0392030694	1.0225617193	0.9921112546	0.9354754722	0.8639122853	0.8027906272	0.7490277913	0.6893739651	0.6339240013	0.5945315041	0.5679442603	0.5462400318	0.5290700893	0.5165518581	0.5025633848	0.4865219875	0.4717515057	0.4610289295	0.4552181888	0.4463856301	0.4334566571	0.4151260740	0.3954394283	0.3708147873	0.3453804810	0.3220800139	0.3075943061	0.2921282088	0.2825611918	0.2778077813	0.2760163428	0.2731028716	0.2666312519	0.2547260737	0.2418952137	0.2337366760	0.2201498730	0.2033800516	0.1835859309	0.1627789201	0.1388448057	0.1136400344	0.0857138015	0.0632935636	0.0484126815	0.0398209954	0.0335682524	0.0280951435	0.0235994499	0.0230279847	0.0211624008	0.0211406212	0.0222410168	0.0185074503	0.0188943937	0.0198097839	0.0163534031	0.0199077177	0.0186956166	0.0193679563	0.0203891323	0.0189152062	0.0206662441	0.0236943110	0.0217723509	0.0251179305	0.0250131545	0.0267234885	0.0295488442	15	1382	39.5000000000	37	324.8100000000	0	2017-198	18:05:52.828
0174	0.1280000000	0.0000000000	0.0342446245	0.0375790162	0.0412329401	0.0422202839	0.0468869026	0.0557729190	0.0585563272	0.0630338953	0.0689345660	0.0710723955	0.0733153380	0.0773345413	0.0860572663	0.0911110357	0.1035812963	0.1251061641	0.1490701442	0.1613877216	0.1688663382	0.1815997724	0.1926769739	0.2024621544	0.2109133727	0.2150648069	0.2196802175	0.2372376176	0.2635154300	0.2923677500	0.3212379954	0.3566823451	0.3914472052	0.4204165067	0.4438779275	0.4684667852	0.4878499053	0.5056340215	0.5247103334	0.5513801854	0.5822260796	0.6132136191	0.6236767442	0.6274980046	0.6425775875	0.6742242517	0.6985090113	0.7122753558	0.7251594709	0.7495232689	0.7712822042	0.7801779990	0.7810219603	0.8023359795	0.8389745437	0.8701776044	0.8962906097	0.9208004692	0.9337300162	0.9418765128	0.9514728011	0.9654109648	0.9790888049	0.9897793422	0.9968853593	1.0022079405	1.0089798901	1.0094346653	1.0055751125	1.0011919402	0.9905707925	0.9752245102	0.9455847916	0.8898780800	0.8240449868	0.7633359214	0.7086714683	0.6521071697	0.5974144364	0.5583787826	0.5336046961	0.5117419778	0.4958012881	0.4834013625	0.4707454111	0.4545939146	0.4404993228	0.4299654366	0.4249067702	0.4136167495	0.4028007436	0.3853986894	0.3668246852	0.3446854216	0.3152482416	0.2958931451	0.2814018007	0.2675210774	0.2598678912	0.2540598805	0.2511928640	0.2527220107	0.2446098400	0.2322636737	0.2209626338	0.2113592835	0.1991718261	0.1846154935	0.1650215494	0.1451806877	0.1259086853	0.1020361479	0.0763929361	0.0587860231	0.0455439977	0.0349431859	0.0298934937	0.0251860602	0.0216857193	0.0212128459	0.0199013283	0.0203268094	0.0194050115	0.0192307649	0.0161808870	0.0167734139	0.0168728556	0.0167048457	0.0167755715	0.0183821090	0.0173571193	0.0187672474	0.0197555627	0.0198012927	0.0203319889	0.0221538908	0.0238257998	0.0207685887	0.0239375939	15	1372	38.5000000000	38	325.1100000000	0	2017-198	18:05:53.124
0174	0.1280000000	0.0000000000	0.0363932394	0.0365578103	0.0409035983	0.0434172939	0.0474389458	0.0559999326	0.0606715298	0.0635183661	0.0697960697	0.0721887159	0.0725743450	0.0785529914	0.0859383170	0.0899621989	0.1019264650	0.1246856035	0.1478740002	0.1607280373	0.1699333510	0.1808444600	0.1922795071	0.2019325993	0.2114200506	0.2145747134	0.2201583879	0.2375745016	0.2622373316	0.2920970228	0.3219242315	0.3564725397	0.3897339978	0.4208541807	0.4426135698	0.4667249955	0.4873876460	0.5035968503	0.5223240394	0.5485542150	0.5800218566	0.6098412086	0.6213704161	0.6229873929	0.6395649408	0.6722133576	0.6953425906	0.7093213992	0.7242467923	0.7475907499	0.7693218095	0.7765493456	0.7780214641	0.7986324317	0.8351891172	0.8669683368	0.8920455935	0.9161086936	0.9281876442	0.9364566412	0.9457086447	0.9601494355	0.9733190667	0.9843622766	0.9903019843	0.9960165428	1.0031158233	1.0034068299	1.0008296528	0.9954052318	0.9869516463	0.9701772472	0.9390045098	0.8850989719	0.8184858018	0.7577686930	0.7050623663	0.6474279308	0.5933294501	0.5566448391	0.5298088059	0.5091366560	0.4938819342	0.4808013236	0.4679129505	0.4528680728	0.4371891228	0.4278879418	0.4217953332	0.4116831820	0.3997041867	0.3837239071	0.3651289967	0.3426507578	0.3148162381	0.2925247097	0.2797647692	0.2668648872	0.2586619671	0.2542797684	0.2489863326	0.2491775132	0.2434976475	0.2303638688	0.2187238552	0.2088977703	0.1986138993	0.1848375593	0.1639165267	0.1463905662	0.1240450069	0.1006130298	0.0765025933	0.0590059031	0.0444406577	0.0369386534	0.0314524822	0.0242909576	0.0207851402	0.0200783842	0.0186402559	0.0191642212	0.0162145056	0.0146497725	0.0179076640	0.0157612906	0.0167429924	0.0193739057	0.0167755715	0.0175370970	0.0195228429	0.0203947946	0.0197555627	0.0210470586	0.0209721498	0.0208365399	0.0236561776	0.0223448857	0.0217654970	15	1376	38.0000000000	39	325.4100000000	0	2017-198	18:05:53.498
0174	0.1280000000	0.0000000000	0.0368707094	0.0396214280	0.0400253533	0.0448319420	0.0494263012	0.0564539597	0.0617291310	0.0663040734	0.0706575733	0.0734290718	0.0759088138	0.0812335816	0.0877225578	0.0936384769	0.1055670939	0.1294169104	0.1516617895	0.1639322184	0.1737568136	0.1869708832	0.1977645493	0.2070011981	0.2149667961	0.2194056354	0.2243253012	0.2418192400	0.2685605551	0.2960225677	0.3266592601	0.3612281290	0.3961585258	0.4257415403	0.4482659927	0.4735406947	0.4936281467	0.5108836547	0.5301192664	0.5577588045	0.5891653002	0.6187246313	0.6285365069	0.6324186718	0.6494171097	0.6814634706	0.7048418528	0.7178723263	0.7309397684	0.7562870855	0.7781072818	0.7850873537	0.7872322895	0.8072054590	0.8455990400	0.8759275423	0.9022601639	0.9269460344	0.9390744464	0.9467015204	0.9558456094	0.9716049170	0.9844560032	0.9958735410	1.0018914674	1.0057558201	1.0137841858	1.0150319411	1.0108316218	1.0070528370	0.9953963207	0.9795070364	0.9498426210	0.8944221500	0.8261892439	0.7664019313	0.7119524702	0.6546139048	0.5989463062	0.5619333667	0.5369592036	0.5130895580	0.4983604267	0.4867442696	0.4727281335	0.4579497181	0.4432253699	0.4334279278	0.4277171004	0.4195192186	0.4064133933	0.3900043405	0.3704280232	0.3451137718	0.3185962682	0.2974143740	0.2827114260	0.2699271080	0.2608545565	0.2544996564	0.2529580892	0.2499528720	0.2459444710	0.2336047126	0.2230894735	0.2143802315	0.2016267039	0.1879464802	0.1686681243	0.1468305220	0.1279916199	0.1014887948	0.0769412223	0.0581263831	0.0442199897	0.0362734976	0.0295594247	0.0257454993	0.0222485812	0.0208725074	0.0187548988	0.0189317035	0.0202321797	0.0188691076	0.0179076640	0.0176590219	0.0150547719	0.0180393757	0.0171870097	0.0188046150	0.0203891323	0.0195070416	0.0177824198	0.0210470586	0.0208121096	0.0223185597	0.0228080671	0.0212940211	0.0242996101	15	1371	38.5000000000	40	325.7200000000	0	2017-198	18:05:53.810
0174	0.1280000000	0.0000000000	0.0375869143	0.0406426340	0.0430992105	0.0458113139	0.0508616134	0.0591781224	0.0627867323	0.0687264276	0.0733651561	0.0749174989	0.0776377977	0.0840360169	0.0909341913	0.0962808017	0.1098696552	0.1337276567	0.1564463655	0.1694924150	0.1786472891	0.1910831399	0.2043624987	0.2122210984	0.2222050522	0.2273871588	0.2314978569	0.2489611807	0.2755564620	0.3048212029	0.3355117048	0.3731171023	0.4081509780	0.4381423034	0.4621739279	0.4864905231	0.5068025369	0.5237335034	0.5452324617	0.5718886569	0.6037784824	0.6338593514	0.6436923772	0.6489029071	0.6647246117	0.6960223442	0.7204364749	0.7338858806	0.7490412265	0.7727878249	0.7956782264	0.8017364697	0.8044676976	0.8270262982	0.8626334591	0.8938459531	0.9216943789	0.9458452993	0.9584727485	0.9661998387	0.9743306628	0.9901201718	1.0043146368	1.0144947039	1.0204757863	1.0255126396	1.0310937807	1.0326848876	1.0282073051	1.0224840592	1.0143968382	0.9995431410	0.9662546179	0.9113448935	0.8431844668	0.7798762378	0.7280293794	0.6673146961	0.6126480311	0.5750246400	0.5476406619	0.5266551991	0.5097851524	0.4954729715	0.4841523911	0.4683047687	0.4546163525	0.4447057565	0.4372521493	0.4280676223	0.4165288126	0.3983782517	0.3809200957	0.3549658278	0.3279923428	0.3080629763	0.2926427510	0.2776920251	0.2694056552	0.2648343910	0.2629978073	0.2598110058	0.2541746957	0.2428802309	0.2302535650	0.2228836406	0.2087681667	0.1921657299	0.1723146993	0.1532098813	0.1312804641	0.1053202667	0.0784764237	0.0604351233	0.0475300096	0.0367169348	0.0316751949	0.0272000410	0.0230365880	0.0212128459	0.0207038290	0.0184666682	0.0185778433	0.0187485552	0.0188943937	0.0179120527	0.0168728556	0.0188400937	0.0181470323	0.0175370970	0.0180790272	0.0200988770	0.0200591232	0.0222928244	0.0190516672	0.0203425333	0.0231473113	0.0242714710	0.0268337231	15	1379	39.0000000000	41	326.0800000000	0	2017-198	18:05:54.169
0174	0.1280000000	0.0000000000	0.0384224868	0.0393944934	0.0418916238	0.0452672184	0.0508616134	0.0596321496	0.0639618448	0.0661829557	0.0729959403	0.0741732854	0.0752913196	0.0818428067	0.0887931023	0.0940980116	0.1073322473	0.1319402741	0.1550508642	0.1670421588	0.1758019215	0.1899082094	0.2007852972	0.2092707200	0.2175725683	0.2234664104	0.2281506643	0.2456597175	0.2732020703	0.3010310216	0.3324922663	0.3682915778	0.4040107267	0.4325984328	0.4570421229	0.4811136938	0.5010242956	0.5175436373	0.5359259151	0.5648641017	0.5964310724	0.6263742452	0.6380912947	0.6412758729	0.6581293582	0.6895070472	0.7125204231	0.7262677820	0.7418919112	0.7652064041	0.7877640406	0.7954041136	0.7979084735	0.8180417656	0.8547922185	0.8864245218	0.9124747342	0.9379155378	0.9493014424	0.9576073595	0.9665126115	0.9813287559	0.9945194999	1.0056242590	1.0117665298	1.0169559889	1.0237460343	1.0242172141	1.0216366686	1.0172166709	1.0076863380	0.9896015624	0.9596743361	0.9033535980	0.8341309368	0.7730180578	0.7195807995	0.6612149740	0.6072013827	0.5669618028	0.5415495824	0.5209055234	0.5024733279	0.4902728938	0.4762215015	0.4591961593	0.4464382112	0.4344172110	0.4280182072	0.4212492527	0.4083745460	0.3923071661	0.3733954781	0.3478980485	0.3218362939	0.3017607423	0.2858763537	0.2727705988	0.2628278870	0.2582377519	0.2560472332	0.2550480872	0.2477239791	0.2365102966	0.2240969239	0.2143802315	0.2027425575	0.1872802828	0.1698836493	0.1505701464	0.1274434792	0.1026929717	0.0778184802	0.0572468630	0.0442199897	0.0372712313	0.0293367121	0.0265287140	0.0229240156	0.0206456151	0.0202452572	0.0204430683	0.0203503466	0.0200746319	0.0187710525	0.0185446298	0.0188208024	0.0185731877	0.0178727401	0.0183821090	0.0190896982	0.0214305065	0.0203626836	0.0222928244	0.0236928334	0.0238005795	0.0238257998	0.0240963268	0.0262906989	15	1381	39.5000000000	42	326.9000000000	0	2017-198	18:05:55.074
0174	0.1280000000	0.0000000000	0.0393774268	0.0414369052	0.0443067973	0.0477700575	0.0532906033	0.0594051360	0.0671346487	0.0699376047	0.0743497317	0.0783904956	0.0787492874	0.0859855371	0.0934321285	0.0990380102	0.1119657749	0.1375127022	0.1611312629	0.1744871678	0.1838045177	0.1979648755	0.2105629812	0.2188027118	0.2292985432	0.2327081743	0.2375774518	0.2559009910	0.2822832956	0.3122662019	0.3435406663	0.3808799024	0.4155748771	0.4469687289	0.4718425461	0.4959567720	0.5188983221	0.5346245336	0.5548571808	0.5819814085	0.6152077870	0.6457039149	0.6548945421	0.6580881527	0.6765309298	0.7072833514	0.7316772686	0.7459349142	0.7598412562	0.7854978539	0.8081666664	0.8152549826	0.8166092402	0.8370395941	0.8758824517	0.9082207977	0.9335008304	0.9585329177	0.9707451438	0.9791546536	0.9873828330	1.0019752631	1.0175984525	1.0272248080	1.0328881911	1.0379650012	1.0443055940	1.0440229590	1.0409105358	1.0361347558	1.0265360577	1.0086435092	0.9793377664	0.9219999542	0.8531115829	0.7895583742	0.7366420093	0.6784278884	0.6213286269	0.5839544489	0.5567331429	0.5339321323	0.5194733198	0.5055945514	0.4917056193	0.4759751766	0.4605552408	0.4512350257	0.4451812952	0.4352930587	0.4227219264	0.4059147717	0.3857952001	0.3616052568	0.3337163883	0.3116487301	0.2984269292	0.2833790065	0.2733523162	0.2681327106	0.2674108702	0.2654600488	0.2604029738	0.2466798409	0.2331639772	0.2270234582	0.2123388981	0.1964960126	0.1766242878	0.1530998923	0.1348981927	0.1084949149	0.0811081974	0.0623041035	0.0479713456	0.0397101361	0.0324546891	0.0270881531	0.0233743051	0.0237086617	0.0218502585	0.0212568800	0.0201140128	0.0199540795	0.0195110997	0.0174059910	0.0159638137	0.0177724697	0.0167755715	0.0178187677	0.0203891323	0.0192111239	0.0199073429	0.0219813830	0.0225725519	0.0229772352	0.0241650440	0.0242714710	0.0257476747	15	1380	38.5000000000	43	327.3000000000	0	2017-198	18:05:55.448
0174	0.1280000000	0.0000000000	0.0355576669	0.0396214280	0.0395862309	0.0421114648	0.0475493544	0.0547513580	0.0610240635	0.0649717786	0.0685653502	0.0731810006	0.0750443219	0.0786748364	0.0868899121	0.0951319648	0.1066703147	0.1299426112	0.1518611468	0.1628955715	0.1727787185	0.1864673415	0.1972875891	0.2067742459	0.2151839438	0.2205258492	0.2258281224	0.2416171096	0.2686278235	0.2973762039	0.3280317321	0.3650745615	0.3994421734	0.4295347149	0.4536209196	0.4780844941	0.4985589126	0.5159765826	0.5336987074	0.5623610993	0.5953697798	0.6258807218	0.6370204995	0.6411118506	0.6576408209	0.6895874830	0.7141827940	0.7275115532	0.7420440243	0.7666186296	0.7889257560	0.7969694151	0.7981875894	0.8188647762	0.8568201256	0.8890320517	0.9155921680	0.9405587916	0.9526664540	0.9619035991	0.9702228731	0.9854580573	0.9988132586	1.0096870582	1.0158125623	1.0202951697	1.0277731646	1.0285228108	1.0252870222	1.0212970421	1.0105514954	0.9945723517	0.9655578822	0.9082110521	0.8384194510	0.7776977571	0.7236820519	0.6650586345	0.6105204340	0.5710365700	0.5453454725	0.5231514904	0.5065862292	0.4931515083	0.4792427928	0.4638942842	0.4513061524	0.4403529103	0.4332373919	0.4258287547	0.4114711030	0.3948193394	0.3762569524	0.3511106755	0.3254003222	0.3039339264	0.2874042499	0.2767077398	0.2656782532	0.2599968557	0.2585847444	0.2564880394	0.2485025138	0.2394158807	0.2246566185	0.2163941968	0.2048626793	0.1877244144	0.1704361607	0.1492502790	0.1277723636	0.1056486786	0.0781474519	0.0572468630	0.0466473376	0.0354974824	0.0298934937	0.0251860602	0.0216857193	0.0200783842	0.0210477578	0.0175365976	0.0204685135	0.0195924222	0.0193877585	0.0195567531	0.0173923080	0.0163044867	0.0213013921	0.0206354743	0.0179346456	0.0206907123	0.0200591232	0.0207356171	0.0240129139	0.0196838578	0.0233169334	0.0260229121	0.0250236424	15	1375	38.5000000000	44	327.6700000000	0	2017-198	18:05:55.760
