SN	SV-MPR	VA-MPR	V15-MPR	TEMP-MPR(PCB)	COND	Pres	TILT(X)	TILT(Y)	TEMP(TILT)	T(w)	FRAME	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7144445127	7.4269182020	-0.5847346848	1.9004555617	34879	17.6044326915	28	325.7400000000	0	2017-198	18:05:51.603
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6991491623	7.4331803590	-0.4578138696	1.8795847016	34878	17.6067389228	29	325.8500000000	0	2017-198	18:05:51.603
0068	12.0000000000	4.9800000000	14.9700000000	36.5000000000	39.6876779165	7.4394425160	-0.4336396541	1.7812013887	34877	17.6067389228	30	325.9800000000	0	2017-198	18:05:51.725
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6800305467	7.4457046730	-0.5681135107	1.6649469744	34878	17.5652266956	31	326.1300000000	0	2017-198	18:05:51.875
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.6762069000	7.4457046730	-0.6134444052	1.5412603100	34878	17.5421642739	32	326.2200000000	0	2017-198	18:05:51.965
0068	12.0900000000	4.9800000000	15.0000000000	36.5000000000	39.6685596833	7.4457046730	-0.5258058714	1.3758801822	34877	17.5260205391	33	326.3400000000	0	2017-198	18:05:52.085
0068	12.0600000000	4.9800000000	15.0000000000	36.5000000000	39.6647361132	7.4644911440	-0.2734949978	1.2105368542	34877	17.5237142884	34	326.4700000000	0	2017-198	18:05:52.215
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6723832789	7.4832776150	-0.1299831848	1.0496975859	34877	17.5237142884	35	326.5600000000	0	2017-198	18:05:52.305
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.6915016397	7.4770154580	-0.1209197269	1.0467194095	34877	17.5237142884	36	326.6600000000	0	2017-198	18:05:52.475
0068	12.1200000000	4.9800000000	14.9700000000	36.5000000000	39.6915016397	7.4770154580	-0.2432808802	1.2760739511	34876	17.5191017845	37	326.7600000000	0	2017-198	18:05:52.505
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6915016397	7.4770154580	-0.4955868358	1.6142776601	34876	17.5191017845	38	326.8700000000	0	2017-198	18:05:52.615
0068	12.0300000000	4.9800000000	14.9700000000	36.5000000000	39.7106206370	7.4644911440	-0.7252662778	1.8989647666	34876	17.5283267891	39	326.9700000000	0	2017-198	18:05:52.828
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.6991491623	7.4770154580	-0.8794123459	2.2523667418	34876	17.5398580282	40	327.0700000000	0	2017-198	18:05:52.828
0068	12.0000000000	4.9800000000	14.9700000000	36.0000000000	39.6953253883	7.4770154580	-0.8265173608	2.8298014850	34875	17.5721454108	41	327.2300000000	0	2017-198	18:05:52.984
0068	12.0300000000	4.9800000000	14.9700000000	36.5000000000	39.6915016397	7.4582289870	-0.6799321144	3.2329278434	34876	17.5698391730	42	327.3700000000	0	2017-198	18:05:53.124
