SN	INTTIME(ED)	SAMPLE(DELAY)	ED(348.86)	ED(352.18)	ED(355.50)	ED(358.83)	ED(362.15)	ED(365.47)	ED(368.80)	ED(372.12)	ED(375.45)	ED(378.77)	ED(382.10)	ED(385.42)	ED(388.75)	ED(392.08)	ED(395.41)	ED(398.74)	ED(402.07)	ED(405.40)	ED(408.73)	ED(412.06)	ED(415.39)	ED(418.73)	ED(422.06)	ED(425.39)	ED(428.73)	ED(432.06)	ED(435.40)	ED(438.73)	ED(442.07)	ED(445.40)	ED(448.74)	ED(452.08)	ED(455.41)	ED(458.75)	ED(462.09)	ED(465.43)	ED(468.77)	ED(472.11)	ED(475.45)	ED(478.78)	ED(482.12)	ED(485.46)	ED(488.80)	ED(492.14)	ED(495.49)	ED(498.83)	ED(502.17)	ED(505.51)	ED(508.85)	ED(512.19)	ED(515.53)	ED(518.88)	ED(522.22)	ED(525.56)	ED(528.90)	ED(532.24)	ED(535.59)	ED(538.93)	ED(542.27)	ED(545.61)	ED(548.96)	ED(552.30)	ED(555.64)	ED(558.98)	ED(562.33)	ED(565.67)	ED(569.01)	ED(572.35)	ED(575.70)	ED(579.04)	ED(582.38)	ED(585.72)	ED(589.06)	ED(592.40)	ED(595.75)	ED(599.09)	ED(602.43)	ED(605.77)	ED(609.11)	ED(612.45)	ED(615.79)	ED(619.13)	ED(622.47)	ED(625.81)	ED(629.15)	ED(632.49)	ED(635.83)	ED(639.16)	ED(642.50)	ED(645.84)	ED(649.18)	ED(652.51)	ED(655.85)	ED(659.19)	ED(662.52)	ED(665.86)	ED(669.19)	ED(672.53)	ED(675.86)	ED(679.20)	ED(682.53)	ED(685.86)	ED(689.19)	ED(692.53)	ED(695.86)	ED(699.19)	ED(702.52)	ED(705.85)	ED(709.18)	ED(712.50)	ED(715.83)	ED(719.16)	ED(722.48)	ED(725.81)	ED(729.14)	ED(732.46)	ED(735.78)	ED(739.11)	ED(742.43)	ED(745.75)	ED(749.07)	ED(752.39)	ED(755.71)	ED(759.03)	ED(762.35)	ED(765.67)	ED(768.98)	ED(772.30)	ED(775.61)	ED(778.93)	ED(782.24)	ED(785.55)	ED(788.86)	ED(792.17)	ED(795.48)	ED(798.79)	ED(802.10)	DARK_SAMP(ED)	DARK_AVE(ED)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0186	0.0320000000	0.0000000000	10.7245907423	10.3287710078	9.8570289056	9.4216259891	9.0438281656	8.6771898079	8.6111301920	8.5356919375	8.6509206721	8.8374277975	9.0740072471	9.3242397208	9.3799921376	9.4940637900	9.5295053935	9.2724564773	9.1866577858	8.8767828076	8.6951381702	8.2609131989	7.9760641752	7.6717063466	7.1231856587	6.9489938460	6.5262029604	6.3195673230	6.2026924842	5.9925887608	5.8611228616	5.6865909045	5.7293578778	5.7924853825	5.8002097361	5.9325935107	6.0373869124	6.2282084738	6.2334040723	6.4885119870	6.6677756412	6.8098674676	6.9743929058	6.9339089782	7.1021284256	7.0635033136	7.1619791440	7.0932888430	7.0901769384	6.9674111668	6.8184764491	6.8602660690	6.8184257589	6.6827413930	6.7005491951	6.5616938302	6.4681560329	6.4068044386	6.2800369013	6.1923593101	6.1304522335	5.9891059149	5.9653385547	5.9532618289	5.8536202928	5.8629960883	5.9977841487	5.9230223782	5.8528664274	5.9519389057	5.9442159506	6.1588722688	6.2214090161	6.2167645118	6.3530365513	6.5333809568	6.7903895457	6.8464214960	7.0802572972	7.0491880367	7.3793547873	7.4557684879	7.6369688405	7.9388873080	8.0413337973	8.1761987058	8.2344680332	8.3895885939	8.5993768872	8.6267766865	8.7182397140	8.7934223316	9.1462945712	9.4924252996	9.6310905774	9.8356717407	9.8578444801	9.8094255148	9.6509227024	9.7398525752	9.9123552218	9.9068989411	9.9260825603	10.0334591417	10.0300188096	10.2377586758	10.0184953281	10.1461600414	9.8938232333	9.8811272502	9.8679529797	9.8362476447	9.7365606916	9.9767763423	9.9564379643	9.8554144912	9.9164061962	10.1289104893	10.2391284547	10.3251507132	10.4334997808	10.5729545747	10.6590057921	10.9072722443	11.2163976740	11.3274265418	11.5528017846	11.6182618591	11.8678648318	12.3162299757	12.4634891765	12.9274061967	13.0945764874	13.0625335683	13.6739920385	13.8946498363	14.2548772629	14.4534439691	14.7393945469	15	2118	37.0000000000	159	325.3400000000	0	2017-198	18:05:53.358
0186	0.0320000000	0.0000000000	10.8447785982	10.2830663072	9.7155359737	9.1830105723	8.9046325395	8.6189385180	8.4864178211	8.6414630701	8.6802227825	8.9875244001	9.1149098499	9.4390010068	9.4222271370	9.4834300676	9.4977116906	9.2410151489	9.0424585097	8.9571420459	8.7048710581	8.2890286291	7.9760641752	7.5863607588	7.2205397190	6.8564716678	6.6509054665	6.3688512657	6.0261642628	5.8472222568	5.7247849154	5.6737474271	5.7293578778	5.7474123855	5.8002097361	5.8730700901	6.0644344707	6.2351394176	6.5112542141	6.5835836885	6.7127276448	6.8481650828	7.0211433367	7.1469451429	7.1021284256	7.1670947749	7.0506745874	7.0379414611	7.0588190430	6.8355134571	6.8415204840	6.7993682735	6.6901517843	6.5779541134	6.6413330013	6.5763206013	6.4031804944	6.3355672234	6.3784601643	6.2616812917	6.0756540379	6.0905929057	6.0724741828	5.9001308909	5.8668112228	5.7775501769	5.8139454303	5.9230223782	5.9517711743	5.9784812974	6.0851013335	6.1316668467	6.1591538375	6.2801082388	6.3959912071	6.5042371714	6.5822499875	6.7627712663	6.9400273397	7.1130853182	7.3957443757	7.6328096572	7.6975050978	8.0095222984	8.0413337973	8.1579258086	8.2806313685	8.3335560240	8.3915426706	8.5213552893	8.7279990942	9.0031307222	9.1565487590	9.2616074678	9.3961481613	9.7060573169	9.6295924967	9.7985187729	9.9347595635	9.8601582942	9.7915272271	9.8627245652	9.7926496871	10.0782202471	10.0187804163	10.1026929267	9.9960093187	10.0231221874	10.0494184705	9.8369672185	9.8789366544	9.5844185426	9.6599010681	9.5814612214	9.7468271182	10.0554574107	9.8716375754	10.1176263417	10.1935478323	10.2906111975	10.3985498050	10.5729545747	10.9349304570	11.0780851805	11.0796211315	11.3528206583	11.5139325595	12.0021160983	12.2055650080	12.3162299757	12.3373182235	12.7846808409	13.1236231654	13.3289189662	13.6890919949	13.9255188785	14.1442660545	14.5994383526	15.0062189110	15	2117	37.0000000000	160	327.2900000000	0	2017-198	18:05:55.292
0186	0.0320000000	0.0000000000	10.7846846703	10.1688045557	9.8352607622	9.4008768225	8.8946899948	8.6966069045	8.5343841176	8.6030008400	8.7290596333	8.8974664385	9.2171663570	9.2512098116	9.3060808886	9.5153312347	9.5189074925	9.3353391341	9.1454579926	8.9370522363	8.7730012732	8.3921185400	8.0925930984	7.7399828167	7.3422322944	6.8641818493	6.5775510512	6.2984456332	6.1144283735	5.9793736241	5.6988157828	5.6801691658	5.6524475511	5.7667293842	5.7481654126	5.8796838035	6.0238631333	6.1588990358	6.2832746105	6.5323912339	6.7202196454	6.7792293755	6.9588094288	7.0364819464	7.1180235590	7.1272519052	7.0347739365	7.0458482299	7.0196216738	6.9208590340	6.8568831739	6.8450416201	6.7957891751	6.7725590612	6.5006945410	6.5543804447	6.4176195030	6.3640621095	6.2800369013	6.0329187524	6.1099029101	5.9755743161	5.8648989034	5.9466204616	5.8931930828	5.8104139890	5.7285917396	5.8507172110	5.8726473768	5.8789473285	5.9375071228	5.9004207592	6.1384021113	6.1956499362	6.3601956606	6.5625247422	6.7457882118	6.8236077970	6.9244462334	7.0811366775	7.3711599932	7.6665317847	7.6196727669	7.7711292058	7.9694163384	7.9660603882	8.1975373649	8.3709110706	8.4482247297	8.5213552893	8.5718490118	8.9931446084	9.2385822613	9.4294749818	9.5349777708	9.4576296712	9.7600222015	9.6676378700	9.5635882836	9.6742312739	9.7695585008	9.8075065953	9.9483213725	9.9327466547	10.1199259563	10.0914374476	9.9960093187	9.9224548522	9.7826837782	9.7265671393	9.9338550276	9.8581458275	9.8679771892	9.8669665865	9.9343736647	10.0554574107	9.9947512826	10.0837738986	10.2049429879	10.0948872753	10.2354499178	10.3957971720	10.5990221694	10.8706694723	11.0920553626	11.3528206583	11.5139325595	11.8565162145	12.0704849375	12.4264387495	12.4074131974	12.5563202715	12.9348197583	13.2253246448	13.6437921257	14.0335605265	14.2864804653	14.4372223709	14.9061597745	15	2117	36.5000000000	161	329.2900000000	0	2017-198	18:05:57.336
0186	0.0320000000	0.0000000000	10.7486283135	10.2602139569	9.8679129772	9.3386293224	8.6958391002	8.6189385180	8.5535706362	8.7280030877	8.7876638542	8.9775179600	9.2376176584	9.3346725650	9.4433446367	9.4302614559	9.4871137896	9.3143782485	9.1145581477	8.7361541406	8.6756723945	8.5045802609	8.1015568618	7.6119644351	7.3584579711	6.8873123939	6.5702156096	6.3406890127	6.1144283735	5.8934752354	5.6793389333	5.6223735175	5.7037211022	5.7796073833	5.7546709531	5.8664563767	6.0576725811	6.1658299796	6.4613836758	6.6274629353	6.7426956472	6.9783769745	6.8964755210	7.0049210331	7.0623905919	7.1192833312	7.0983765402	7.0221279234	7.0901769384	6.9674111668	6.8568831739	6.8222049468	6.7580615355	6.6827413930	6.5821168075	6.5909473724	6.4681560329	6.4068044386	6.2730066682	6.1022407340	6.1304522335	5.9688085167	5.9117707407	6.0130341341	5.9195749428	5.8695688507	5.8008140932	5.8770099991	5.9451775245	6.0182948849	5.8704188452	6.0772560026	6.1591538375	6.2519554713	6.3601956606	6.5333809568	6.6640190997	6.7855849653	6.9400273397	7.0731495173	7.3465756107	7.6075180616	7.7493933184	7.9035698128	8.1581996679	8.0117426312	8.2898640356	8.2962009774	8.4860127691	8.5884416330	8.5816083920	8.8433529008	9.2385822613	9.4714418603	9.5990529752	9.6736537109	9.7165456332	9.7876120310	9.8910923541	9.8710951777	9.9453083113	10.0173348809	10.0150378092	9.9775077600	10.0637339896	10.2827805922	10.0297383328	9.8553432955	9.8604813968	9.7928071868	9.9009040037	9.8581458275	9.6818038177	9.9108904888	9.6254734705	9.9887764375	10.0619042138	10.0724897510	10.2619187659	10.2560716818	10.4218497889	10.5139021072	10.7429828640	11.0902861046	11.0796211315	11.4163059493	11.6434966432	11.7109163306	12.1380249728	12.3300060725	12.5756411348	12.8274984476	13.0074364534	13.1809270785	13.7041919514	13.9563879208	14.2232740605	14.6156599508	14.7727475924	15	2117	37.0000000000	162	331.3300000000	0	2017-198	18:05:59.395
0186	0.0320000000	0.0000000000	10.7486283135	10.2487877817	9.7699563321	9.1518868222	8.9344601737	8.6966069045	8.5631638955	8.5645386100	8.5727817109	8.9675115198	9.1864894049	9.3972696301	9.4539033866	9.3770928441	9.4765158886	9.1886129349	9.2072576824	8.9671869507	8.8313986005	8.4202339702	7.9850279385	7.5522225237	7.1231856587	6.9181531200	6.4821903112	6.2280400008	6.0872701856	5.8802600986	5.8676151447	5.8663995884	5.7485854594	5.7280953867	5.8002097361	5.9325935107	5.9562442375	6.2004846986	6.3545182367	6.5177648182	6.6677756412	6.7715698525	6.9899763827	7.1469451429	7.1259711258	7.1192833312	7.1222275166	7.0458482299	7.0431400953	6.9674111668	6.8338391390	6.7689193758	6.7656070635	6.7051958100	6.6265289529	6.5616938302	6.4753755372	6.4851653754	6.3151880667	6.2062237064	6.1167526846	6.0838271063	6.0122103920	5.9665445634	5.8734066878	5.7775501769	5.8796021154	5.9033027872	5.8133045286	5.8922185244	5.9509247783	6.0228451585	6.1384021113	6.3364137739	6.3673547699	6.5479528495	6.6937533223	6.7779803990	7.0257234249	7.0891238376	7.2318484923	7.5400738066	7.5504884728	7.8947404390	8.0233544325	8.1031071171	8.2898640356	8.3335560240	8.4954597789	8.4926039992	8.7475178545	8.9232418115	9.1360403835	9.3245577856	9.3000353547	9.6304489030	9.6621999229	9.7330783214	9.7164235165	9.6961050410	9.7585741376	9.8958553471	10.0483960275	10.0782202471	10.0300188096	10.3052915504	10.0634673469	10.0566779658	10.1716718711	9.8590472344	9.7800835825	9.7048585480	9.7913175656	9.7791187818	9.8130200170	9.9776629420	9.8604454202	10.1514787847	10.1479672099	10.2906111975	10.4567997647	10.5257126007	10.6590057921	10.7120574600	11.1044895937	11.0734853776	11.6175838265	11.8565162145	12.0569769305	12.3713343626	12.4634891765	12.8417709832	12.9348197583	13.3141197775	13.7645917771	13.8946498363	14.3022820665	14.5021087636	15.1563076158	15	2116	37.0000000000	163	333.3800000000	0	2017-198	18:06:01.439
0186	0.0320000000	0.0000000000	10.8087222415	10.2830663072	9.8570289056	9.1933851556	8.8350347264	8.6577727113	8.5151975990	8.4876141500	8.6509206721	9.0275501609	9.0944585485	9.1990455907	9.4855796361	9.4621626229	9.5507011955	9.4191826764	9.1763578375	8.9069175220	8.6659395066	8.2890286291	8.1105206251	7.6204989939	7.2286525574	6.8950225754	6.5922219343	6.2702833803	6.0940597325	5.9066903721	5.7832154637	5.7572300303	5.7934498167	5.8053633816	5.8782762212	5.9656620777	6.0644344707	6.1450371482	6.3687669619	6.4665723636	6.7127276448	6.8634841289	6.9666011673	7.0522624030	7.1180235590	7.1750633488	7.1142771912	7.0932888430	6.9647453568	6.9751698556	6.8876085538	6.7689193758	6.7429704797	6.6977110044	6.4784884683	6.4666198183	6.4537170244	6.2643300081	6.2800369013	6.2062237064	6.0962033612	6.0432323100	5.9921224617	5.9266963599	5.8997885478	5.8367050386	5.8861677839	5.9427419692	5.8594600772	5.9187609161	5.9643424339	6.0228451585	6.1314848692	6.2730700469	6.4031503164	6.5552387959	6.6788862110	6.7931895316	7.0023517653	7.0651623571	7.3629651990	7.3967547647	7.5937286567	7.8329348224	7.9064885619	7.9934697340	8.1236760284	8.2868622158	8.5049067888	8.5501065794	8.7084803339	9.0530612914	9.1052778201	9.4189832622	9.4815817671	9.4900332771	9.5535085023	9.5367569670	9.6290890977	9.8710951777	9.8244803166	9.8848117531	9.9816795908	10.0110785891	10.0749723830	10.0914374476	9.9960093187	9.9560106306	9.7604558871	9.7044871235	9.7581162332	9.7815021878	9.7256093169	9.8889285376	9.8350843166	9.9109819688	10.0842885242	9.9935007172	10.1137817432	10.2906111975	10.2703998937	10.4194181590	10.6470090676	10.7608611561	11.2163976740	11.3909118329	11.4102812925	11.9226979798	11.9894368952	12.2060212020	12.5896601296	12.9416787323	13.0945764874	13.2105254560	13.4927925614	13.6785665403	14.1442660545	14.4047791746	14.7393945469	15	2116	36.5000000000	164	335.4200000000	0	2017-198	18:06:03.483
0186	0.0320000000	0.0000000000	10.7005531711	10.2373616066	9.5305067552	9.2348834890	8.8748049053	8.5606872281	8.4576380432	8.6222319551	8.8560354452	8.9074728787	9.1455868020	9.3972696301	9.4750208863	9.4834300676	9.5295053935	9.4611044476	9.2175576307	8.7562439502	8.7340697217	8.3452594896	7.9581366485	7.5692916413	7.0663957902	6.9258633015	6.4895257528	6.3125267597	6.0397433567	5.8538298252	5.6793389333	5.6737474271	5.6396291633	5.7087783880	5.9303205447	5.9061386571	6.0035774645	6.1519680920	6.3972644123	6.5323912339	6.7127276448	6.8022079446	6.8653085671	6.9260187499	6.9590722244	7.0794404615	7.1540288185	7.0774753053	7.0588190430	6.9208590340	6.8952898988	6.8907149668	6.7731525914	6.7575894498	6.6265289529	6.4227395050	6.4392780158	6.3640621095	6.3362787659	6.1646305174	6.0825038123	6.0364665106	5.9854264850	5.8669240546	5.8602157578	5.7315408401	5.7679857506	5.8572904081	5.9253965752	5.9386677099	6.1186454723	6.1180641357	6.1522365954	6.2941846226	6.3745138792	6.5916685276	6.6194177658	6.8388169297	6.9556084461	7.0731495173	7.4449131407	7.5063516791	7.9137060169	7.9830341770	8.1042615738	8.2310173973	8.3083293697	8.3895885939	8.4387777199	8.5117715259	8.5816083920	8.8034084455	8.9719733790	9.2301323089	9.5563361723	9.6088464990	9.5426393602	9.7330783214	9.5417546788	9.6414206233	9.8464490429	9.9179425351	9.9149631542	9.9886980364	10.0974491696	10.1139484058	10.0634673469	9.9112695928	9.9160511243	9.9032072660	9.7800835825	9.9238403759	9.7037065673	9.8230426842	9.8130200170	9.6998255539	9.9835591274	10.1627629324	10.2619187659	10.3366638851	10.3286498534	10.5847650683	10.7429828640	10.7608611561	11.1790949806	11.2766383090	11.4621069260	11.7373890368	12.0434689234	12.2749016856	12.5616221400	12.5848653427	12.7314930122	13.1513287010	13.4474926922	14.0181260054	14.1126628521	14.5669951563	15.0228954337	15	2113	37.5000000000	166	339.5100000000	0	2017-198	18:06:07.564
0186	0.0640000000	0.0000000000	5.4584456559	5.2158032920	4.9502825961	4.6433782028	4.4523162697	4.3871376455	4.3103617256	4.3784248801	4.4768545734	4.4987654202	4.6648242574	4.7716647243	4.8272598169	4.8480522573	4.7753505978	4.7253120024	4.7014783500	4.5338179993	4.4643637396	4.2054310801	4.1180066559	3.8017149382	3.6427212129	3.5053376491	3.3401236163	3.2337095755	3.1115305626	2.9995981646	2.9695151297	2.9043019700	2.9351800717	2.9059011906	2.9586547319	2.9332281884	3.0660266832	3.1487589559	3.2556271071	3.3320144872	3.3825858245	3.4700396797	3.5339468838	3.5498018865	3.6225923134	3.5676102396	3.6088157111	3.5466444215	3.5294095215	3.5263783718	3.4898923468	3.4453574834	3.4054401155	3.4087339477	3.3502745976	3.3210705356	3.3387608286	3.2390208269	3.2103207814	3.1239084477	3.0823505528	3.0622109513	3.0395850798	3.0231204852	2.9432988089	2.9577890938	2.9726294003	2.9943771742	3.0055570112	3.0025118445	3.0157153557	3.0590320678	3.1349148553	3.2033978464	3.2409502594	3.3686937274	3.3840444394	3.4384198807	3.5985577976	3.6324206810	3.7880149237	3.8206200946	3.8660486224	3.9473702195	4.0521307869	4.1794638388	4.1264666837	4.2274799628	4.2382828796	4.3421396334	4.4420745883	4.6463640118	4.7218330085	4.7671960890	4.8102056883	4.8746310624	4.9669642373	4.9537930960	4.9837549853	4.9792951230	4.9506854293	4.9865802525	5.0742353412	5.0503003999	5.1723469115	5.0794851611	5.1216777110	5.0339316126	5.0802789628	4.9736836489	5.0163540498	4.9345474595	4.9449399694	4.9225023177	4.9782189821	5.0332854531	5.0981050381	5.1039497615	5.1993303165	5.2316543879	5.3507247977	5.4222979628	5.4914586776	5.5756453623	5.6703699927	5.7970323821	5.8347047300	5.9216399307	6.2176005639	6.2201074231	6.3929630282	6.5065207051	6.6199049387	6.7828529933	6.8898458667	7.0553665661	7.2696530422	7.4051595644	7.5864920693	15	2133	35.5000000000	167	341.5500000000	0	2017-198	18:06:09.608
0186	0.0640000000	0.0000000000	5.4103705135	5.1643855039	4.9611666678	4.6745019529	4.5417991723	4.3531577264	4.3679212814	4.3399626501	4.3938319271	4.5888233818	4.6136960038	4.8133961010	4.8008629423	4.8002005067	4.7912474492	4.7253120024	4.6757284793	4.5137281897	4.4205657442	4.2850914657	4.0418146676	3.9468024373	3.6832854047	3.5246131029	3.3291204540	3.1949864777	3.0843723746	3.0095095171	2.9630228466	2.8657715377	2.9864536228	2.9123401902	2.9911824341	3.0225133193	3.0288362906	3.1383625402	3.1986322062	3.2844786364	3.4013158260	3.4776992027	3.5573220992	3.6050334847	3.6424612302	3.5636259526	3.6048405484	3.6019918035	3.5137305738	3.5457750938	3.4668483118	3.4720002689	3.4431677551	3.3975067391	3.3724806702	3.2954736862	3.2954438029	3.2568301308	3.1751696160	3.1065779523	3.0412519062	3.0554451519	3.0295411146	2.9965550162	2.9795738664	2.9709346186	2.9562152290	2.9812307801	2.9890728868	3.0224186383	3.0693859778	3.1202442675	3.1487493394	3.1963596545	3.1944160489	3.2484756125	3.3543102168	3.3927924827	3.5011758826	3.5285875984	3.7183591733	3.7953284989	3.8746966592	4.0224198968	4.0521307869	4.1611909416	4.1726300190	4.2041330586	4.3185824633	4.3181802249	4.4176761379	4.4716070196	4.6449266001	4.7357209302	4.8636016920	4.8638298604	4.8093616773	4.9537930960	4.9346293747	4.9082053800	5.0495446978	5.0252328314	5.0297577168	5.0391101235	5.1723469115	5.1582735147	5.0991917016	5.1345989478	5.0580510718	5.0785637241	4.9998785378	4.9126492767	4.9832697812	4.9883881711	5.0333797311	4.9277072456	5.0869128829	5.1378022046	5.1537496941	5.2777070755	5.3157748219	5.3573402485	5.4554685039	5.5329421283	5.7076726861	5.7271985620	5.8606175467	5.9679671665	6.1500605287	6.3096520518	6.4210010178	6.5065207051	6.5327649047	6.7828529933	6.7992461282	7.0090630027	7.2143474380	7.3564947699	7.5281242396	15	2128	36.5000000000	168	343.6000000000	0	2017-198	18:06:11.651
0186	0.0640000000	0.0000000000	5.3983517279	5.2329425548	5.0264710979	4.6952511196	4.5517417170	4.3531577264	4.3247516146	4.3399626501	4.3840645569	4.4887589800	4.6443729560	4.7299333476	4.8906123160	4.8640028408	4.8071443007	4.7619935522	4.6808784534	4.5539078088	4.3427026412	4.1913733649	4.0731878392	3.8614568496	3.6832854047	3.4667867415	3.3144495710	3.2196284490	3.0911619216	3.0392435748	2.9045922982	2.9331997942	2.8807019236	2.8833646921	2.9196214893	2.9596830420	3.0795504623	3.1314315964	3.2770001949	3.2917918442	3.4125538269	3.5313158640	3.5027799299	3.5931981422	3.6106709633	3.6154216832	3.6207411993	3.5545511904	3.5803661015	3.4837055834	3.5359804166	3.4377452589	3.3978945876	3.4087339477	3.3391715612	3.3210705356	3.2196390079	3.2105259408	3.2103207814	3.1758999339	3.1371487484	3.0825083495	3.0395850798	3.0264411688	2.9828715989	2.9380708065	2.9627808975	2.9976637727	2.9594014627	3.0356898342	3.0794492194	3.1100422342	3.1660424445	3.1506114072	3.2481093687	3.3322639956	3.4137786620	3.4878495619	3.5518144784	3.6164463606	3.6814825995	3.8037590308	3.8617246040	3.9826877147	4.0386462633	4.0515535585	4.1218503501	4.2461574861	4.2807944239	4.4092259770	4.4664730386	4.5514959303	4.6244182245	4.7567043694	4.8475828909	4.8476280575	4.8419691035	4.9374329832	4.8909621653	4.9738266812	4.9891307004	5.0307546284	5.0742353412	5.1286323343	5.1273933382	5.2032954311	5.0823271946	5.0395242423	4.9913673987	5.0123236766	4.9669275138	4.9673947337	4.9558913442	4.9554452444	5.0002832817	5.0721826874	5.0981050381	5.1603704999	5.2506085167	5.2489241458	5.3623747896	5.2923825341	5.4314750548	5.4902388942	5.6517186460	5.7589412075	5.7958355049	5.9812035195	6.1703225392	6.3165401002	6.4210010178	6.5207932407	6.6416899473	6.6866582663	6.8143460846	6.9781939604	7.2222482386	7.3889379663	7.5364625010	15	2128	35.5000000000	169	345.6400000000	0	2017-198	18:06:13.695
