SN	INTTIME(LU)	SAMPLE(DELAY)	LU(348.98)	LU(352.30)	LU(355.63)	LU(358.95)	LU(362.28)	LU(365.61)	LU(368.93)	LU(372.26)	LU(375.59)	LU(378.92)	LU(382.25)	LU(385.58)	LU(388.91)	LU(392.24)	LU(395.57)	LU(398.90)	LU(402.23)	LU(405.56)	LU(408.90)	LU(412.23)	LU(415.56)	LU(418.90)	LU(422.23)	LU(425.57)	LU(428.90)	LU(432.24)	LU(435.57)	LU(438.91)	LU(442.25)	LU(445.58)	LU(448.92)	LU(452.26)	LU(455.59)	LU(458.93)	LU(462.27)	LU(465.61)	LU(468.95)	LU(472.28)	LU(475.62)	LU(478.96)	LU(482.30)	LU(485.64)	LU(488.98)	LU(492.32)	LU(495.66)	LU(499.00)	LU(502.34)	LU(505.68)	LU(509.02)	LU(512.36)	LU(515.70)	LU(519.04)	LU(522.38)	LU(525.72)	LU(529.06)	LU(532.40)	LU(535.74)	LU(539.08)	LU(542.42)	LU(545.76)	LU(549.10)	LU(552.44)	LU(555.78)	LU(559.13)	LU(562.47)	LU(565.81)	LU(569.15)	LU(572.49)	LU(575.83)	LU(579.17)	LU(582.50)	LU(585.84)	LU(589.18)	LU(592.52)	LU(595.86)	LU(599.20)	LU(602.54)	LU(605.88)	LU(609.21)	LU(612.55)	LU(615.89)	LU(619.23)	LU(622.56)	LU(625.90)	LU(629.24)	LU(632.57)	LU(635.91)	LU(639.25)	LU(642.58)	LU(645.92)	LU(649.25)	LU(652.58)	LU(655.92)	LU(659.25)	LU(662.59)	LU(665.92)	LU(669.25)	LU(672.58)	LU(675.91)	LU(679.24)	LU(682.58)	LU(685.91)	LU(689.23)	LU(692.56)	LU(695.89)	LU(699.22)	LU(702.55)	LU(705.88)	LU(709.20)	LU(712.53)	LU(715.85)	LU(719.18)	LU(722.50)	LU(725.83)	LU(729.15)	LU(732.47)	LU(735.79)	LU(739.11)	LU(742.44)	LU(745.76)	LU(749.07)	LU(752.39)	LU(755.71)	LU(759.03)	LU(762.35)	LU(765.66)	LU(768.98)	LU(772.29)	LU(775.60)	LU(778.92)	LU(782.23)	LU(785.54)	LU(788.85)	LU(792.16)	LU(795.47)	LU(798.78)	LU(802.08)	DARK_SAMP(LU)	DARK_AVE(LU)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0174	0.1280000000	0.0000000000	0.0423616141	0.0447274576	0.0488078025	0.0524492784	0.0602463472	0.0699612666	0.0764180376	0.0815649049	0.0855492787	0.0898017702	0.0927046572	0.0970734331	0.1063976119	0.1140877732	0.1296173086	0.1610640967	0.1901377549	0.2061520162	0.2190159408	0.2348073384	0.2474479029	0.2579897893	0.2670098574	0.2720556841	0.2755578422	0.2925539697	0.3250659569	0.3559886505	0.3904792106	0.4302541090	0.4662572647	0.4992707709	0.5245737017	0.5479832759	0.5679748519	0.5829681714	0.6023444311	0.6316377468	0.6614964703	0.6929999153	0.7035745383	0.7046704694	0.7225348587	0.7558665540	0.7813109137	0.7917212418	0.8046385622	0.8277159620	0.8465032728	0.8568777724	0.8535920997	0.8722918825	0.9081261735	0.9393774375	0.9640782131	0.9871461404	0.9976652366	1.0046677075	1.0089818559	1.0230879818	1.0328949676	1.0414446052	1.0436547523	1.0460346880	1.0481914214	1.0437359192	1.0374061963	1.0273063162	1.0150754281	0.9954900359	0.9630805996	0.9022567535	0.8267451624	0.7611574407	0.7053904665	0.6465923525	0.5962229820	0.5566448391	0.5341343551	0.5137184288	0.4993658026	0.4873014208	0.4715007339	0.4569909171	0.4429332935	0.4316472180	0.4263119353	0.4171785843	0.4057940819	0.3866547760	0.3676725294	0.3497185371	0.3266963325	0.3109967748	0.3013735861	0.2913626536	0.2846441518	0.2813259888	0.2799880994	0.2775334936	0.2701902680	0.2545025672	0.2350669390	0.2240025102	0.2126736542	0.1968291112	0.1792763423	0.1631088870	0.1439973282	0.1199893307	0.0934994656	0.0708794243	0.0576807372	0.0453639607	0.0388019996	0.0316755538	0.0276520558	0.0264313699	0.0254041899	0.0221869507	0.0237771863	0.0226062330	0.0190177349	0.0160143214	0.0150547719	0.0161710337	0.0182841784	0.0189454503	0.0202447507	0.0181754120	0.0226393871	0.0233828696	0.0219323911	0.0256119371	0.0245042882	0.0254974797	0.0244806181	15	1291	32.5000000000	37	14.9400000000	0	2017-198	19:38:01.721
0174	0.1280000000	0.0000000000	0.0427197166	0.0450678596	0.0486980219	0.0522316402	0.0589214436	0.0678046378	0.0750079026	0.0801114923	0.0860415665	0.0930266957	0.0950511353	0.0986574182	0.1102039924	0.1177640512	0.1338095479	0.1664262446	0.1978130123	0.2145394314	0.2284412207	0.2435353933	0.2590539343	0.2682782885	0.2794596578	0.2833978489	0.2881268923	0.3070399815	0.3394613807	0.3741950571	0.4092134541	0.4501156878	0.4887431127	0.5232698949	0.5477040112	0.5740343929	0.5958644967	0.6121153890	0.6301845277	0.6600589356	0.6933352472	0.7246676720	0.7357807625	0.7379669845	0.7535569772	0.7887647822	0.8143208499	0.8262358929	0.8387879516	0.8630215981	0.8844042359	0.8905317546	0.8881326949	0.9079556762	0.9451692753	0.9767520333	1.0025486729	1.0251429143	1.0369237052	1.0440609201	1.0497284788	1.0620499390	1.0730147747	1.0809891840	1.0844579617	1.0841570018	1.0883214210	1.0847826080	1.0768300158	1.0672197659	1.0556400250	1.0365564030	1.0022526301	0.9410380407	0.8664536270	0.7981916124	0.7410713618	0.6831906851	0.6289879762	0.5926241662	0.5682090899	0.5474079347	0.5300754652	0.5156232728	0.5050181840	0.4874807884	0.4712647116	0.4635021376	0.4557200335	0.4479121308	0.4337663128	0.4161728129	0.3977709999	0.3734919765	0.3532645437	0.3347931411	0.3254925181	0.3156416900	0.3106263364	0.3066131054	0.3043702719	0.3052248807	0.2949921613	0.2766297074	0.2581263585	0.2466036767	0.2335401157	0.2144833404	0.1971777102	0.1785073403	0.1589067551	0.1342205122	0.1024913594	0.0773658849	0.0618734290	0.0504634888	0.0399155628	0.0312280025	0.0301286483	0.0267717084	0.0247163322	0.0231170213	0.0247225214	0.0216418135	0.0206211707	0.0170264448	0.0146651825	0.0169717517	0.0185584705	0.0199312976	0.0180790272	0.0211345888	0.0221840464	0.0218256622	0.0233727530	0.0229772352	0.0229776892	0.0253223356	0.0224895293	15	1298	33.0000000000	38	15.2500000000	0	2017-198	19:38:02.041
0174	0.1280000000	0.0000000000	0.0416454092	0.0437062517	0.0492469249	0.0507081730	0.0579277659	0.0691667192	0.0741853238	0.0792636684	0.0846877751	0.0888094855	0.0924576595	0.0950020679	0.1071113083	0.1131687037	0.1286244099	0.1600126952	0.1877454669	0.2041729632	0.2173265038	0.2306111581	0.2460965157	0.2554933153	0.2655622062	0.2695352031	0.2720057194	0.2922844625	0.3243932735	0.3553795142	0.3876656429	0.4272468981	0.4642585226	0.4956964333	0.5194418967	0.5451055363	0.5655094689	0.5811660585	0.5991627058	0.6255820958	0.6586391442	0.6883936961	0.6988795133	0.7013900245	0.7169166798	0.7494316927	0.7746614301	0.7859688000	0.8001512259	0.8223643708	0.8421468402	0.8479840139	0.8478702233	0.8648847869	0.9018396617	0.9307525308	0.9559198225	0.9806701685	0.9891537366	0.9957447482	1.0024226434	1.0140301593	1.0255150700	1.0325741603	1.0354255336	1.0365736759	1.0386534814	1.0361293650	1.0264551354	1.0179585566	1.0032378041	0.9845542994	0.9534037146	0.8921501150	0.8200741404	0.7522014646	0.6980082122	0.6409939774	0.5867764513	0.5530902550	0.5291908703	0.5076992371	0.4936991386	0.4805227480	0.4675352891	0.4495122694	0.4363128934	0.4280857985	0.4221968090	0.4120902488	0.4011492466	0.3814210816	0.3640691914	0.3428649330	0.3210802879	0.3050205185	0.2940615117	0.2857850372	0.2779567540	0.2733000779	0.2764576491	0.2732136372	0.2677434445	0.2510382170	0.2336117329	0.2206459014	0.2082102399	0.1930539930	0.1758507719	0.1567295278	0.1376388961	0.1156105056	0.0897711195	0.0670315239	0.0574600692	0.0434793525	0.0337909650	0.0305566756	0.0239371670	0.0262044775	0.0210477578	0.0214893977	0.0208230142	0.0177841357	0.0195110997	0.0115862819	0.0119380570	0.0165713927	0.0178727401	0.0200721330	0.0173571193	0.0200988770	0.0208180243	0.0204241756	0.0222524715	0.0205072022	0.0214510902	0.0221697416	0.0215844889	15	1289	31.5000000000	39	15.5700000000	0	2017-198	19:38:02.401
0174	0.1280000000	0.0000000000	0.0392580593	0.0418907745	0.0456241647	0.0497288011	0.0559404105	0.0657615157	0.0727751888	0.0764779611	0.0824724801	0.0857085956	0.0883821975	0.0935399278	0.1050891686	0.1120198668	0.1269695786	0.1599075550	0.1875461096	0.2038902413	0.2158149023	0.2327931718	0.2451425953	0.2575358850	0.2672993876	0.2707954436	0.2762409428	0.2949121577	0.3264785919	0.3592373773	0.3917830590	0.4331214496	0.4714682707	0.5035016195	0.5313417344	0.5541174052	0.5757562169	0.5927622634	0.6097419425	0.6392274961	0.6717828444	0.7027881310	0.7135411703	0.7154139262	0.7314099530	0.7662427677	0.7916017811	0.8040034825	0.8152104221	0.8381218337	0.8612425362	0.8683329334	0.8667105480	0.8864888158	0.9218483444	0.9529499652	0.9772775605	1.0021466059	1.0125108760	1.0193410182	1.0250817410	1.0378735451	1.0491307424	1.0577635153	1.0610046884	1.0615479653	1.0644412452	1.0612453459	1.0536867736	1.0431084812	1.0310599905	1.0111671407	0.9794151815	0.9185527287	0.8439786361	0.7764068056	0.7194987745	0.6623012258	0.6077971099	0.5718168445	0.5470227263	0.5268348764	0.5115217107	0.4974230007	0.4846244679	0.4671542075	0.4528638936	0.4429250467	0.4351444017	0.4286782226	0.4154966270	0.3976455344	0.3804961736	0.3558225283	0.3374964184	0.3180596233	0.3074851707	0.2968309051	0.2915508084	0.2882524599	0.2850631218	0.2855086131	0.2766409846	0.2596432159	0.2427907251	0.2309395019	0.2172486538	0.2009373281	0.1824809082	0.1634388539	0.1464091473	0.1191135657	0.0944863808	0.0708794243	0.0547017193	0.0453639607	0.0361294478	0.0304447877	0.0217982917	0.0213262921	0.0212770437	0.0181178917	0.0195231784	0.0163375066	0.0153174985	0.0132309823	0.0121977832	0.0140357857	0.0133469194	0.0168329204	0.0160576852	0.0165478648	0.0177824198	0.0194898512	0.0198518683	0.0206718710	0.0207726018	0.0216443093	0.0188693678	15	1290	32.5000000000	40	16.3900000000	0	2017-198	19:38:03.162
0174	0.1280000000	0.0000000000	0.0454651690	0.0505142912	0.0523207822	0.0577814139	0.0657667788	0.0748420582	0.0820585777	0.0867729664	0.0903490846	0.0974919771	0.0964096226	0.1020690785	0.1125829802	0.1220147476	0.1382224314	0.1693701689	0.2035943750	0.2199111467	0.2302195754	0.2482351153	0.2617567088	0.2733468873	0.2817035172	0.2847981161	0.2903128140	0.3081180103	0.3393941123	0.3735182390	0.4062626392	0.4480176337	0.4862446851	0.5180907526	0.5431671981	0.5671429637	0.5892387800	0.6034182354	0.6205598086	0.6502891519	0.6829672352	0.7140569172	0.7236725401	0.7265674387	0.7407735846	0.7747689589	0.8009427222	0.8109219599	0.8243372077	0.8470411523	0.8683580427	0.8750210398	0.8713857396	0.8919069691	0.9253633832	0.9570284094	0.9817215619	1.0071687882	1.0178553062	1.0215221860	1.0294545493	1.0413368301	1.0526194213	1.0607429014	1.0618961871	1.0639132184	1.0667727417	1.0618194254	1.0539057948	1.0425891612	1.0324925692	1.0111671407	0.9776346347	0.9168291159	0.8414372943	0.7755999609	0.7194167494	0.6607136269	0.6093289797	0.5735507880	0.5492296392	0.5262958443	0.5112475173	0.4992801713	0.4858518675	0.4690718095	0.4523770995	0.4431229033	0.4375532561	0.4287799893	0.4155998455	0.3996343383	0.3827217647	0.3592493304	0.3373884175	0.3213193995	0.3107592339	0.3030647117	0.2944011747	0.2939695471	0.2921240224	0.2892746417	0.2813121932	0.2631075662	0.2468205266	0.2345198847	0.2199267023	0.2043793476	0.1867904967	0.1725679369	0.1518905542	0.1273238627	0.1015044442	0.0773658849	0.0606597550	0.0534566900	0.0419199766	0.0374937204	0.0320423788	0.0290406318	0.0288434784	0.0255584566	0.0270858591	0.0256200438	0.0230879949	0.0210749381	0.0162235400	0.0185731877	0.0193813470	0.0204946390	0.0231323822	0.0233539715	0.0249160905	0.0247843562	0.0246530747	0.0274232946	0.0256916429	0.0295257943	0.0282817877	15	1293	32.5000000000	41	16.6900000000	0	2017-198	19:38:03.505
0174	0.1280000000	0.0000000000	0.0388999568	0.0457486636	0.0485882413	0.0522316402	0.0590318522	0.0689397056	0.0750079026	0.0784158444	0.0849339190	0.0878172007	0.0898641837	0.0941491528	0.1063976119	0.1120198668	0.1291760203	0.1612743770	0.1876457883	0.2058692943	0.2172375861	0.2338841787	0.2464144892	0.2575358850	0.2676613004	0.2699552832	0.2747381216	0.2936993753	0.3252677619	0.3565301050	0.3901360926	0.4308135901	0.4673994030	0.5016050322	0.5253174416	0.5502551756	0.5709024942	0.5876693355	0.6044125526	0.6329296190	0.6650885374	0.6969481031	0.7080224567	0.7106572812	0.7264431571	0.7602100853	0.7857439027	0.7976291551	0.8100385770	0.8315066724	0.8545626730	0.8612890766	0.8591046391	0.8791503044	0.9150886543	0.9453948143	0.9707110510	0.9944811698	1.0061767365	1.0106824430	1.0183237646	1.0304141618	1.0414824849	1.0496379169	1.0531869306	1.0533391460	1.0556804706	1.0532799919	1.0450719390	1.0347993616	1.0229169115	1.0037491935	0.9690415608	0.9084460902	0.8367516955	0.7662405624	0.7120344952	0.6531934216	0.6008185916	0.5639274017	0.5398723286	0.5199172979	0.5035701016	0.4912943376	0.4791483774	0.4597714399	0.4466329288	0.4355054226	0.4293230034	0.4225722200	0.4086842017	0.3908417316	0.3716997896	0.3519673760	0.3308003652	0.3137132550	0.3044293784	0.2939874143	0.2881522948	0.2841845324	0.2839598560	0.2828502399	0.2714136798	0.2567376319	0.2388728626	0.2270234582	0.2134547517	0.1984946045	0.1804918673	0.1643187655	0.1444358408	0.1206461545	0.0931704939	0.0702197842	0.0573497352	0.0446988048	0.0373543674	0.0315636659	0.0278772006	0.0240490002	0.0236845457	0.0231170213	0.0205866804	0.0209184990	0.0182776876	0.0165203831	0.0132366882	0.0169717517	0.0184213244	0.0183821090	0.0189453166	0.0211345888	0.0179342000	0.0227599866	0.0206520694	0.0203425333	0.0216207123	0.0214691652	0.0239375939	15	1293	32.0000000000	42	17.0000000000	0	2017-198	19:38:03.817
0174	0.1280000000	0.0000000000	0.0381837518	0.0439331864	0.0443067973	0.0502728966	0.0549467328	0.0631508598	0.0712475425	0.0739344892	0.0818571204	0.0848403465	0.0862827171	0.0924433227	0.1011638388	0.1071947520	0.1235495939	0.1539145663	0.1833596056	0.1967279542	0.2114579333	0.2250722001	0.2398960332	0.2494412570	0.2588306280	0.2647042810	0.2681803563	0.2855467826	0.3165228783	0.3485436515	0.3808032826	0.4199037087	0.4576912273	0.4889854321	0.5144588397	0.5385927570	0.5593460115	0.5761514834	0.5932765140	0.6225138993	0.6533326813	0.6828826839	0.6956671277	0.6969614240	0.7141483018	0.7469381840	0.7714950094	0.7854246501	0.7952836069	0.8198372305	0.8411303393	0.8457072117	0.8458466329	0.8644046974	0.9009609020	0.9309531100	0.9563841211	0.9817935514	0.9900114847	0.9973310521	1.0027539168	1.0148959805	1.0260517898	1.0345378466	1.0375514151	1.0398432904	1.0420447490	1.0387844830	1.0318576588	1.0218163621	1.0101745010	0.9897545097	0.9564229028	0.8986528359	0.8236479022	0.7561550036	0.7030117401	0.6422473449	0.5906061259	0.5542173183	0.5294556999	0.5123708485	0.4943389233	0.4834013625	0.4710286571	0.4519092718	0.4401098875	0.4284815117	0.4233008673	0.4139220496	0.4007363723	0.3852940155	0.3659768410	0.3447925091	0.3232403051	0.3053464961	0.2959168141	0.2885191629	0.2800397140	0.2780276693	0.2759060162	0.2758720103	0.2674097867	0.2505912040	0.2347311222	0.2216528840	0.2076523132	0.1930539930	0.1751877583	0.1562895719	0.1395025745	0.1159389175	0.0891131760	0.0680209840	0.0543707173	0.0430359152	0.0350158846	0.0305566756	0.0233743051	0.0223473077	0.0219649014	0.0204430683	0.0199958460	0.0182663455	0.0166742519	0.0156347752	0.0121977832	0.0124343497	0.0162269871	0.0171145910	0.0162020668	0.0183233709	0.0161128372	0.0232271488	0.0193717476	0.0233065729	0.0211118460	0.0191922917	0.0224895293	15	1294	33.0000000000	43	17.3100000000	0	2017-198	19:38:04.098
0174	0.1280000000	0.0000000000	0.0439133916	0.0468833368	0.0522110015	0.0569108612	0.0637794234	0.0749555650	0.0828811565	0.0854406716	0.0901029407	0.0956314432	0.0952981330	0.1014598535	0.1140103729	0.1218998640	0.1381121093	0.1723140932	0.2045911616	0.2207593123	0.2334206139	0.2501653582	0.2652544169	0.2753138062	0.2838026115	0.2888588912	0.2912008447	0.3122279951	0.3448428475	0.3777145112	0.4113407858	0.4527732230	0.4932402823	0.5250205908	0.5514970845	0.5755489927	0.5974053611	0.6137607965	0.6320935629	0.6608663557	0.6921106788	0.7237628790	0.7356160248	0.7363267620	0.7522542111	0.7859495304	0.8109961081	0.8220381651	0.8354414636	0.8586362664	0.8807738755	0.8871165513	0.8844344089	0.9038406231	0.9408430736	0.9714701137	0.9963801337	1.0211780335	1.0315132944	1.0366581688	1.0427054836	1.0537913361	1.0669766767	1.0740824254	1.0771202417	1.0791482306	1.0793486923	1.0765302142	1.0683611953	1.0583913263	1.0463659629	1.0263089297	0.9924983300	0.9307747101	0.8572412632	0.7892356363	0.7318025315	0.6749184593	0.6211584192	0.5851682093	0.5581455672	0.5388732599	0.5244088012	0.5081945903	0.4968040483	0.4797145004	0.4642548762	0.4565771551	0.4491960527	0.4413990613	0.4256120462	0.4090549884	0.3910942266	0.3672808977	0.3465684905	0.3310987281	0.3195992044	0.3107202637	0.3028426440	0.3002363543	0.2960957790	0.2973605267	0.2905433912	0.2711537990	0.2561114578	0.2420163112	0.2278492626	0.2138171431	0.1950781670	0.1764175503	0.1556179110	0.1319216290	0.1024913594	0.0775857650	0.0638594409	0.0513503632	0.0430335399	0.0364867300	0.0305789378	0.0268851546	0.0249456181	0.0256747154	0.0269676922	0.0241734146	0.0239513834	0.0200628148	0.0162235400	0.0183062817	0.0196556392	0.0233113456	0.0222660927	0.0223182596	0.0223358266	0.0201127342	0.0241729541	0.0223185597	0.0255220208	0.0244466151	0.0246616262	15	1291	32.0000000000	44	17.6200000000	0	2017-198	19:38:04.456
0174	0.1280000000	0.0000000000	0.0381837518	0.0425715785	0.0471610933	0.0488582484	0.0553883673	0.0632643666	0.0703074525	0.0745400777	0.0795187534	0.0868249160	0.0857887217	0.0904938025	0.1028291302	0.1090328910	0.1238805602	0.1553865284	0.1831602483	0.2002148571	0.2104798382	0.2274220611	0.2406114735	0.2502734150	0.2617983130	0.2649143211	0.2690683870	0.2870290722	0.3182718550	0.3513862875	0.3838227211	0.4234704007	0.4614031768	0.4919032587	0.5190700268	0.5442725064	0.5642767774	0.5792855928	0.5971741275	0.6255013538	0.6574145758	0.6877356648	0.7000326773	0.7003238800	0.7185451375	0.7526491233	0.7766404431	0.7880676639	0.8012160176	0.8242968898	0.8457772007	0.8526799184	0.8503822666	0.8692741769	0.9054898943	0.9358338712	0.9612260928	0.9844368052	0.9953559149	1.0010985238	1.0076567625	1.0199577049	1.0308822683	1.0397517722	1.0426260999	1.0433911699	1.0471316503	1.0434488794	1.0347779417	1.0267869962	1.0136428494	0.9951076675	0.9622290338	0.9014732931	0.8297630057	0.7604312805	0.7067028672	0.6484306249	0.5952868394	0.5604595148	0.5341343551	0.5152456864	0.4993658026	0.4855371087	0.4748996866	0.4568950370	0.4432253699	0.4328343579	0.4274159936	0.4206386525	0.4064133933	0.3891669494	0.3704280232	0.3483263988	0.3286403480	0.3106707972	0.3006096380	0.2915813837	0.2849730402	0.2816558208	0.2796571197	0.2787519146	0.2723034338	0.2548378269	0.2362982672	0.2247857190	0.2117809713	0.1970511770	0.1764032833	0.1595892405	0.1421336499	0.1173620357	0.0899904339	0.0670315239	0.0531570433	0.0442553676	0.0341250340	0.0278713679	0.0245000290	0.0224607538	0.0186402559	0.0196292565	0.0202321797	0.0180252406	0.0191410761	0.0131044669	0.0121977832	0.0139023327	0.0134840655	0.0148612257	0.0149026326	0.0159560294	0.0153539361	0.0145067878	0.0203319889	0.0175431625	0.0226384450	0.0183165712	0.0206794486	15	1291	32.0000000000	45	18.4500000000	0	2017-198	19:38:05.205
0174	0.1280000000	0.0000000000	0.0527465862	0.0572088633	0.0629695018	0.0662693030	0.0774700938	0.0888033923	0.0938097030	0.1003381499	0.1067176534	0.1118801060	0.1107354890	0.1163249449	0.1324475282	0.1379835802	0.1588526615	0.1962860483	0.2324015097	0.2499739045	0.2631191374	0.2828955644	0.2969722698	0.3095835864	0.3188357710	0.3221152384	0.3267903832	0.3461859018	0.3821095053	0.4170376422	0.4549853971	0.4993500241	0.5393541166	0.5741859693	0.6007326629	0.6255307868	0.6477145824	0.6637498417	0.6834784268	0.7100382419	0.7450936691	0.7778037002	0.7858610293	0.7860255013	0.8014336325	0.8391980073	0.8634795319	0.8742765559	0.8872359718	0.9097736931	0.9310906714	0.9380600000	0.9330005792	0.9536327658	0.9897832299	1.0217486398	1.0478509558	1.0711355310	1.0817905265	1.0860318766	1.0917339404	1.1056074092	1.1167574407	1.1238517155	1.1260155161	1.1261054601	1.1292992375	1.1241070580	1.1158157928	1.1055752557	1.0926608746	1.0748697177	1.0397215288	0.9785657913	0.9021118282	0.8328859345	0.7778185827	0.7184520924	0.6665187877	0.6297305566	0.6041376314	0.5835230850	0.5671829742	0.5545309973	0.5415569254	0.5234358254	0.5065086063	0.4955549137	0.4910498988	0.4812916117	0.4684477503	0.4496684576	0.4300950616	0.4079741723	0.3843687909	0.3702160424	0.3586696916	0.3491073887	0.3436248073	0.3387167491	0.3390128157	0.3353531099	0.3259111134	0.3076971063	0.2883498695	0.2752467391	0.2600974304	0.2450173847	0.2253557892	0.2069944790	0.1869715588	0.1600555800	0.1263966379	0.0975948469	0.0806302082	0.0672032440	0.0565076550	0.0485706146	0.0435247622	0.0377759871	0.0383588433	0.0376493745	0.0358302087	0.0341792664	0.0307351501	0.0279067706	0.0225868329	0.0252458377	0.0284329883	0.0323248067	0.0346829078	0.0325274196	0.0322015414	0.0316360684	0.0332952463	0.0377974333	0.0346816147	0.0367067029	0.0416763853	15	1300	32.5000000000	46	18.7500000000	0	2017-198	19:38:05.564
