SN	INTTIME(LU)	SAMPLE(DELAY)	LU(348.98)	LU(352.30)	LU(355.63)	LU(358.95)	LU(362.28)	LU(365.61)	LU(368.93)	LU(372.26)	LU(375.59)	LU(378.92)	LU(382.25)	LU(385.58)	LU(388.91)	LU(392.24)	LU(395.57)	LU(398.90)	LU(402.23)	LU(405.56)	LU(408.90)	LU(412.23)	LU(415.56)	LU(418.90)	LU(422.23)	LU(425.57)	LU(428.90)	LU(432.24)	LU(435.57)	LU(438.91)	LU(442.25)	LU(445.58)	LU(448.92)	LU(452.26)	LU(455.59)	LU(458.93)	LU(462.27)	LU(465.61)	LU(468.95)	LU(472.28)	LU(475.62)	LU(478.96)	LU(482.30)	LU(485.64)	LU(488.98)	LU(492.32)	LU(495.66)	LU(499.00)	LU(502.34)	LU(505.68)	LU(509.02)	LU(512.36)	LU(515.70)	LU(519.04)	LU(522.38)	LU(525.72)	LU(529.06)	LU(532.40)	LU(535.74)	LU(539.08)	LU(542.42)	LU(545.76)	LU(549.10)	LU(552.44)	LU(555.78)	LU(559.13)	LU(562.47)	LU(565.81)	LU(569.15)	LU(572.49)	LU(575.83)	LU(579.17)	LU(582.50)	LU(585.84)	LU(589.18)	LU(592.52)	LU(595.86)	LU(599.20)	LU(602.54)	LU(605.88)	LU(609.21)	LU(612.55)	LU(615.89)	LU(619.23)	LU(622.56)	LU(625.90)	LU(629.24)	LU(632.57)	LU(635.91)	LU(639.25)	LU(642.58)	LU(645.92)	LU(649.25)	LU(652.58)	LU(655.92)	LU(659.25)	LU(662.59)	LU(665.92)	LU(669.25)	LU(672.58)	LU(675.91)	LU(679.24)	LU(682.58)	LU(685.91)	LU(689.23)	LU(692.56)	LU(695.89)	LU(699.22)	LU(702.55)	LU(705.88)	LU(709.20)	LU(712.53)	LU(715.85)	LU(719.18)	LU(722.50)	LU(725.83)	LU(729.15)	LU(732.47)	LU(735.79)	LU(739.11)	LU(742.44)	LU(745.76)	LU(749.07)	LU(752.39)	LU(755.71)	LU(759.03)	LU(762.35)	LU(765.66)	LU(768.98)	LU(772.29)	LU(775.60)	LU(778.92)	LU(782.23)	LU(785.54)	LU(788.85)	LU(792.16)	LU(795.47)	LU(798.78)	LU(802.08)	DARK_SAMP(LU)	DARK_AVE(LU)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0174	0.2560000000	0.0000000000	0.0311479929	0.0331998583	0.0363699882	0.0381403297	0.0434274138	0.0514958700	0.0536029929	0.0578600495	0.0612354313	0.0661729895	0.0664826408	0.0702860510	0.0786539753	0.0830076000	0.0955885163	0.1188030644	0.1397249203	0.1515156868	0.1610802567	0.1736324849	0.1832644824	0.1922389040	0.2000968847	0.2045709241	0.2076601070	0.2235581735	0.2489055211	0.2749146758	0.3033560914	0.3370939329	0.3692929342	0.3976786133	0.4197737651	0.4427180582	0.4619572592	0.4774151271	0.4943824856	0.5207017326	0.5502317009	0.5789083906	0.5909040694	0.5949241304	0.6116835065	0.6427278178	0.6665694441	0.6809174350	0.6950989574	0.7177837622	0.7386573528	0.7467287156	0.7486167065	0.7670305041	0.8025589101	0.8324362495	0.8570597614	0.8800498213	0.8916482369	0.8987776282	0.9058948545	0.9190128017	0.9307281009	0.9383780595	0.9428890665	0.9458411083	0.9509715164	0.9482655550	0.9428376889	0.9338201143	0.9221184499	0.9038967424	0.8710542749	0.8146539780	0.7458118465	0.6828227447	0.6281353402	0.5689979964	0.5169561210	0.4806302744	0.4572589288	0.4373900468	0.4231102371	0.4114925053	0.3995610033	0.3847800193	0.3719347110	0.3622869890	0.3554289339	0.3480605684	0.3370811742	0.3200351313	0.3038062246	0.2838744094	0.2629249577	0.2449792440	0.2335205913	0.2251350201	0.2169797458	0.2144354085	0.2135818735	0.2133119609	0.2072764287	0.1942473470	0.1823461098	0.1718607801	0.1593956638	0.1451594015	0.1293637375	0.1147711071	0.0987479301	0.0801919960	0.0600182589	0.0437951530	0.0339157324	0.0275597898	0.0207372757	0.0179636455	0.0145014622	0.0125350079	0.0131606668	0.0122560636	0.0107069243	0.0118456024	0.0100639029	0.0098416343	0.0088909487	0.0089529614	0.0092792353	0.0098248135	0.0098336122	0.0092356649	0.0106366825	0.0116135744	0.0122465172	0.0128059685	0.0117432778	0.0137120325	0.0140503898	15	1364	35.5000000000	142	62.6200000000	0	2017-198	19:16:35.188
0174	0.2560000000	0.0000000000	0.0326997703	0.0354692048	0.0374129041	0.0410240356	0.0466844684	0.0530849649	0.0563645073	0.0601612860	0.0654814134	0.0683436124	0.0703111051	0.0733321763	0.0829956280	0.0886943425	0.1006081713	0.1272142767	0.1476992136	0.1620706363	0.1712613374	0.1831158524	0.1941153269	0.2028300060	0.2117866683	0.2153179753	0.2193411264	0.2348437873	0.2614510657	0.2891278557	0.3172180591	0.3519551495	0.3852114870	0.4151126274	0.4373632126	0.4602874161	0.4799468505	0.4953970799	0.5133932943	0.5393531377	0.5706411733	0.5993484881	0.6112079933	0.6145657939	0.6308993069	0.6635204633	0.6878636235	0.7010898493	0.7153680271	0.7378522291	0.7600401758	0.7679670109	0.7685037159	0.7881201513	0.8226689882	0.8533299189	0.8774889021	0.9013940960	0.9133228704	0.9202257784	0.9278914054	0.9402587236	0.9519285341	0.9600801785	0.9643193235	0.9676849158	0.9704359793	0.9690759392	0.9626956128	0.9539252163	0.9422499506	0.9237798996	0.8912983183	0.8335353724	0.7643556994	0.6997664833	0.6448684498	0.5860855741	0.5328279948	0.4962357657	0.4721335215	0.4534711709	0.4385564662	0.4265355874	0.4141953830	0.3991620341	0.3857596642	0.3763842748	0.3700827985	0.3618499576	0.3491577462	0.3344277912	0.3166298687	0.2960288480	0.2750210538	0.2575837120	0.2458528959	0.2357434279	0.2290389876	0.2258695830	0.2241732245	0.2243331330	0.2183983539	0.2055903002	0.1919728577	0.1832732503	0.1698846873	0.1542085819	0.1383144214	0.1219203891	0.1065315280	0.0854465860	0.0654462924	0.0478629334	0.0366189153	0.0289455311	0.0227416895	0.0197538506	0.0160774756	0.0157115007	0.0142497748	0.0133023930	0.0128339282	0.0131114030	0.0132707744	0.0099048920	0.0103843746	0.0099538588	0.0101706848	0.0096839782	0.0111330464	0.0122688211	0.0123821551	0.0144944080	0.0124865776	0.0124766308	0.0140331762	0.0146753251	0.0155889585	15	1367	34.5000000000	143	63.0500000000	0	2017-198	19:16:35.548
0174	0.2560000000	0.0000000000	0.0326997703	0.0360932751	0.0390596133	0.0407519879	0.0459668123	0.0539930192	0.0587147324	0.0624625225	0.0659737012	0.0697080040	0.0706816016	0.0744287814	0.0832335268	0.0901878304	0.1017113921	0.1271091366	0.1500915016	0.1614580722	0.1716614672	0.1836613558	0.1945525404	0.2033595611	0.2112437991	0.2153179753	0.2187946459	0.2349448525	0.2611483582	0.2878419013	0.3166004467	0.3506613495	0.3832841286	0.4122312736	0.4351691801	0.4576368664	0.4760561680	0.4915186195	0.5092968230	0.5347912139	0.5654571673	0.5938786029	0.6050715133	0.6093170822	0.6253625509	0.6571660378	0.6811349795	0.6943657112	0.7078764573	0.7307167742	0.7525979369	0.7597847531	0.7609675860	0.7799243372	0.8143883678	0.8440029849	0.8686672277	0.8927374397	0.9041185740	0.9105096672	0.9175888040	0.9310010962	0.9425359371	0.9505326004	0.9544442611	0.9574934579	0.9617105304	0.9597471463	0.9538982605	0.9453935310	0.9335413801	0.9160942946	0.8825504142	0.8263667102	0.7572478843	0.6942395971	0.6399469470	0.5824090292	0.5302748783	0.4946318680	0.4701914382	0.4520337520	0.4375053915	0.4248641338	0.4134400601	0.3974361923	0.3849807936	0.3754939199	0.3688783713	0.3609340572	0.3485384348	0.3329623567	0.3159939855	0.2960823918	0.2751290547	0.2593222593	0.2472716566	0.2372198558	0.2313412065	0.2276286867	0.2277036748	0.2256069368	0.2206783486	0.2071548455	0.1930362776	0.1842802329	0.1715026749	0.1577061179	0.1407454713	0.1260999693	0.1096011158	0.0890043814	0.0693939530	0.0517108337	0.0389910962	0.0316615841	0.0257483102	0.0213202801	0.0188354991	0.0175266395	0.0165999553	0.0145812401	0.0153154328	0.0149799656	0.0131474332	0.0120556540	0.0106441008	0.0125561923	0.0122964490	0.0134161144	0.0134431515	0.0134524918	0.0137481772	0.0137936647	0.0148071607	0.0152760016	0.0170015631	0.0169521985	0.0175800473	15	1359	35.0000000000	144	63.4900000000	0	2017-198	19:16:36.183
0174	0.2560000000	0.0000000000	0.0342515478	0.0376818176	0.0403220903	0.0428195506	0.0486718238	0.0556388675	0.0613587356	0.0634314642	0.0678197804	0.0727468760	0.0732750774	0.0783278218	0.0853746158	0.0925429460	0.1057933093	0.1317353034	0.1549757563	0.1679606750	0.1786859683	0.1906689769	0.2028993438	0.2114920145	0.2199658977	0.2245247324	0.2273334028	0.2446134232	0.2712722426	0.2998215815	0.3287811362	0.3637741876	0.3987386876	0.4278416460	0.4515314569	0.4742974645	0.4938146298	0.5099706887	0.5269553985	0.5549767173	0.5845196145	0.6132082726	0.6251283306	0.6294918179	0.6460846746	0.6783206442	0.7029437023	0.7158207645	0.7303891951	0.7527920877	0.7749972609	0.7830152503	0.7832619702	0.8034830163	0.8384528646	0.8686742297	0.8940709969	0.9181126765	0.9293891512	0.9355270011	0.9441569272	0.9575085474	0.9683991238	0.9768730818	0.9808120493	0.9844851690	0.9879222027	0.9861189262	0.9814584305	0.9712482470	0.9610996704	0.9419423991	0.9094908621	0.8528476700	0.7815891730	0.7182835692	0.6629139600	0.6045100772	0.5515082966	0.5156559326	0.4917309078	0.4711244720	0.4565161350	0.4447358595	0.4331728688	0.4184339339	0.4040631233	0.3954774408	0.3879484691	0.3800661987	0.3674790413	0.3521176785	0.3341166561	0.3132699459	0.2914371843	0.2736109449	0.2634237016	0.2538433401	0.2470182209	0.2440653125	0.2431493949	0.2434955728	0.2364714824	0.2228002982	0.2087077277	0.1974828945	0.1859529785	0.1698087027	0.1539504927	0.1368788866	0.1185906233	0.0974336196	0.0746575006	0.0569879542	0.0443974619	0.0368165419	0.0292003563	0.0243412512	0.0206929434	0.0192850551	0.0186062069	0.0171970637	0.0175606037	0.0159443851	0.0139491511	0.0127514888	0.0115531427	0.0132901838	0.0132564716	0.0156694797	0.0153923027	0.0139703478	0.0166320015	0.0165187775	0.0163275427	0.0166756869	0.0177648626	0.0192290720	0.0186660957	15	1362	34.0000000000	145	64.5500000000	0	2017-198	19:16:37.119
0174	0.2560000000	0.0000000000	0.0316254629	0.0355259384	0.0367542204	0.0400990733	0.0458011994	0.0520634039	0.0588322436	0.0604035214	0.0654198774	0.0697700218	0.0706816016	0.0745506264	0.0828172039	0.0898431794	0.1003323661	0.1255846043	0.1480480889	0.1607041473	0.1708612076	0.1822346545	0.1943935536	0.2031326089	0.2113885642	0.2156680421	0.2188971110	0.2348774757	0.2608456506	0.2886879239	0.3168749411	0.3517103765	0.3847118014	0.4139819695	0.4374375866	0.4597573062	0.4794075480	0.4942609652	0.5120012895	0.5383034915	0.5686002261	0.5974977751	0.6091899562	0.6137866883	0.6302072124	0.6618715301	0.6862408329	0.6989521175	0.7128581611	0.7365514951	0.7578982632	0.7655834836	0.7654683303	0.7847938167	0.8202692982	0.8501206513	0.8749352595	0.8984534762	0.9106836456	0.9168218347	0.9243799078	0.9376279590	0.9489430300	0.9571007924	0.9608561940	0.9638587712	0.9678925286	0.9660620215	0.9592642803	0.9511802393	0.9400633831	0.9214474523	0.8895177714	0.8326343930	0.7635218217	0.7001295635	0.6450735124	0.5863780265	0.5337215855	0.4977963148	0.4745169874	0.4549085898	0.4402016267	0.4295534896	0.4166501821	0.4025657776	0.3879015583	0.3800446227	0.3724414685	0.3640379419	0.3537509723	0.3365212690	0.3200742359	0.2989202122	0.2769110689	0.2608978178	0.2503274489	0.2394071563	0.2334789812	0.2300474544	0.2287517772	0.2283760755	0.2219573700	0.2094457868	0.1953869951	0.1850634417	0.1721163944	0.1577616343	0.1422372520	0.1260449748	0.1086144626	0.0891138520	0.0669814937	0.0503365836	0.0389359292	0.0317170138	0.0245790688	0.0206489531	0.0163026204	0.0160518392	0.0143070963	0.0131280048	0.0134247627	0.0120867073	0.0119140211	0.0100314074	0.0093454696	0.0102207648	0.0107878421	0.0120781788	0.0112774279	0.0129346359	0.0122303749	0.0133265025	0.0128866781	0.0126412997	0.0161534526	0.0148504692	0.0159509746	15	1366	34.5000000000	146	64.9800000000	0	2017-198	19:16:37.477
0174	0.2560000000	0.0000000000	0.0306108392	0.0319517177	0.0351075112	0.0379771010	0.0414400584	0.0487717072	0.0524278804	0.0566488724	0.0600047118	0.0639403488	0.0640744133	0.0684583759	0.0769886838	0.0826629489	0.0942646513	0.1155962897	0.1377811863	0.1501491978	0.1591685254	0.1705273115	0.1811181616	0.1901963343	0.1978530253	0.2019454230	0.2060206657	0.2211999855	0.2462147877	0.2716659489	0.2997533522	0.3327929220	0.3645459219	0.3933383462	0.4151253910	0.4378334737	0.4565642339	0.4713427901	0.4896496692	0.5152920177	0.5450068760	0.5728627279	0.5853441713	0.5888963130	0.6048846957	0.6364538281	0.6603949236	0.6726774507	0.6872271049	0.7106854712	0.7317596679	0.7390445083	0.7406619028	0.7597948690	0.7940417006	0.8233767544	0.8478732809	0.8713931650	0.8817511439	0.8895241890	0.8962216725	0.9094554669	0.9202620642	0.9287289114	0.9334940418	0.9359626986	0.9400911996	0.9381474027	0.9324341810	0.9239530347	0.9126181912	0.8948728479	0.8618031728	0.8060750872	0.7379495705	0.6754401157	0.6207940985	0.5620626959	0.5107435376	0.4735211062	0.4503733606	0.4318200484	0.4182204545	0.4057352764	0.3947458204	0.3802257146	0.3663852580	0.3582309278	0.3502097493	0.3423107493	0.3300623119	0.3152724694	0.2998849450	0.2793767317	0.2586049234	0.2406872054	0.2300282572	0.2195027211	0.2133071585	0.2106973130	0.2106582193	0.2103212911	0.2031613164	0.1912300097	0.1796036060	0.1702384191	0.1577218835	0.1421615136	0.1278719568	0.1119113944	0.0960620407	0.0779478481	0.0573864852	0.0426957529	0.0321503884	0.0256197520	0.0204032067	0.0159496647	0.0147266070	0.0120812232	0.0125301305	0.0105121812	0.0110023415	0.0114236689	0.0100022323	0.0090192841	0.0072676597	0.0088862349	0.0083877857	0.0091910545	0.0099058030	0.0096795414	0.0107125726	0.0109128311	0.0111262357	0.0111592799	0.0124217662	0.0137120325	0.0131453494	15	1360	34.5000000000	147	65.4100000000	0	2017-198	19:16:37.867
0174	0.2560000000	0.0000000000	0.0304914717	0.0328027227	0.0349428402	0.0374874151	0.0431513922	0.0482041733	0.0532504591	0.0561644016	0.0592047441	0.0636922776	0.0653094017	0.0693112910	0.0766318357	0.0819736468	0.0944852955	0.1167528314	0.1391268483	0.1511858447	0.1598354084	0.1717022420	0.1816746151	0.1912176191	0.1987216160	0.2033806969	0.2072844017	0.2221769491	0.2473919836	0.2735948805	0.3015375659	0.3351707167	0.3677938777	0.3961832272	0.4183234724	0.4409762684	0.4608786541	0.4768666579	0.4929507092	0.5200961675	0.5500684251	0.5783326132	0.5901215652	0.5945140748	0.6116835065	0.6417625886	0.6664507033	0.6801400780	0.6939200810	0.7178209260	0.7385847456	0.7463373902	0.7477095798	0.7670305041	0.8020519334	0.8312662040	0.8559653431	0.8794220486	0.8907574985	0.8982488602	0.9053979444	0.9180803788	0.9296546612	0.9375316430	0.9422032983	0.9454932770	0.9489932770	0.9477632354	0.9424361500	0.9327814744	0.9221938488	0.9026349266	0.8711703975	0.8152807463	0.7457324295	0.6836295894	0.6278482526	0.5695829012	0.5163603938	0.4807169716	0.4572589288	0.4386927077	0.4237043229	0.4122818028	0.4000330801	0.3856908802	0.3724215051	0.3629300231	0.3560311476	0.3475008515	0.3356361143	0.3208725225	0.3042301467	0.2841956721	0.2634109616	0.2457398585	0.2352121906	0.2245881949	0.2179664110	0.2144354085	0.2141335064	0.2144749991	0.2074432576	0.1962030286	0.1823461098	0.1719167236	0.1606788954	0.1447152700	0.1300820022	0.1143861458	0.0981449753	0.0786046719	0.0591410010	0.0445647330	0.0336950644	0.0262849078	0.0206259193	0.0169007112	0.0133194522	0.0128186233	0.0112117366	0.0114422518	0.0112977587	0.0105798019	0.0103105853	0.0070582951	0.0085013593	0.0081522434	0.0087992240	0.0099656488	0.0101223754	0.0095315825	0.0112438034	0.0106792500	0.0119264368	0.0099242633	0.0101318677	0.0129238840	0.0111542606	15	1365	35.5000000000	148	65.8400000000	0	2017-198	19:16:38.413
0174	0.2560000000	0.0000000000	0.0306108392	0.0329161900	0.0367542204	0.0371609579	0.0434274138	0.0501905420	0.0541905492	0.0572544610	0.0611123593	0.0650566692	0.0651859029	0.0697377485	0.0788323994	0.0836969021	0.0948162617	0.1185402140	0.1398744383	0.1518455290	0.1620583518	0.1735485613	0.1850133365	0.1932980142	0.2007845190	0.2050960243	0.2087189129	0.2244677603	0.2498136436	0.2761329483	0.3048658106	0.3380030897	0.3705421480	0.3992469451	0.4215215537	0.4444598480	0.4626891697	0.4790213581	0.4957744904	0.5213476687	0.5523951050	0.5806357228	0.5923043400	0.5968513918	0.6130269841	0.6443767510	0.6686671978	0.6819279991	0.6966200884	0.7191588238	0.7399279789	0.7480805669	0.7495238333	0.7687108174	0.8030320884	0.8333054261	0.8579883587	0.8809419195	0.8931657911	0.8992403002	0.9073524572	0.9191127041	0.9316002706	0.9391906193	0.9430947969	0.9475106987	0.9502650024	0.9484808348	0.9427281783	0.9344878114	0.9225708432	0.9038585055	0.8729896519	0.8156724765	0.7466854327	0.6842750651	0.6297758412	0.5707944899	0.5177646078	0.4831444925	0.4587154913	0.4399953685	0.4264005581	0.4137675393	0.4024878793	0.3872249618	0.3744660404	0.3654032311	0.3566333612	0.3503503194	0.3380617506	0.3215005658	0.3047600493	0.2855342666	0.2653549770	0.2468264505	0.2354304615	0.2269395431	0.2195560384	0.2167442322	0.2158987315	0.2153611235	0.2087222790	0.1972646843	0.1845289189	0.1747698411	0.1616831636	0.1479907402	0.1314632806	0.1154860353	0.1008856788	0.0804109372	0.0608955169	0.0440700030	0.0340260664	0.0273935009	0.0216281263	0.0174042064	0.0150080379	0.0133291311	0.0121288802	0.0112097342	0.0125975945	0.0108209068	0.0108656208	0.0095886034	0.0082416331	0.0098204058	0.0098963926	0.0105994078	0.0110608556	0.0110111709	0.0113196935	0.0117692952	0.0121664971	0.0128883030	0.0128458215	0.0107345826	0.0135978696	15	1366	34.5000000000	149	66.2700000000	0	2017-198	19:16:38.835
0174	0.2560000000	0.0000000000	0.0321029329	0.0353557375	0.0374129041	0.0411328547	0.0459668123	0.0520066505	0.0584209543	0.0603429626	0.0662813810	0.0679715056	0.0711755970	0.0761955341	0.0822819317	0.0897857375	0.1013252648	0.1273719870	0.1491943936	0.1622119972	0.1729952332	0.1851719807	0.1967386079	0.2057803844	0.2135962323	0.2177334363	0.2216978233	0.2380441853	0.2645454091	0.2927149915	0.3216099697	0.3559064847	0.3894588138	0.4194164216	0.4420859607	0.4650584055	0.4853783974	0.4995497749	0.5176886235	0.5449243366	0.5753353519	0.6044071038	0.6154088052	0.6198965168	0.6364767744	0.6678237768	0.6931673783	0.7057151235	0.7204257875	0.7425348713	0.7644329120	0.7722004400	0.7727602337	0.7918236991	0.8269275930	0.8569403450	0.8814354407	0.9058545869	0.9171497463	0.9240262981	0.9313366483	0.9442881226	0.9559203878	0.9642445477	0.9686396633	0.9713023616	0.9756288578	0.9735250558	0.9670395336	0.9590813218	0.9476786699	0.9297066100	0.8974915247	0.8402731314	0.7707090538	0.7078752726	0.6530299419	0.5950262626	0.5418490061	0.5066827751	0.4823294590	0.4628143939	0.4483817303	0.4364714502	0.4249115255	0.4092294444	0.3956902643	0.3867717486	0.3799189542	0.3716195618	0.3597892583	0.3439531151	0.3270159606	0.3068446920	0.2847951315	0.2677976774	0.2559479240	0.2464612007	0.2409886000	0.2368639815	0.2374124132	0.2351327739	0.2292422310	0.2165979937	0.2014316973	0.1910493942	0.1788115157	0.1643125747	0.1468783474	0.1312694500	0.1144795680	0.0932737358	0.0722450413	0.0542944240	0.0420252810	0.0331581848	0.0270845861	0.0233342608	0.0182726371	0.0175833626	0.0155108472	0.0156275695	0.0140155971	0.0140155462	0.0129007508	0.0107904999	0.0112284849	0.0111549358	0.0131878986	0.0134865321	0.0139484870	0.0139703478	0.0138999574	0.0156623135	0.0148871808	0.0159346770	0.0147964757	0.0165143383	0.0183945836	15	1364	34.5000000000	150	67.3400000000	0	2017-198	19:16:39.833
0174	0.2560000000	0.0000000000	0.0304914717	0.0338806622	0.0349977305	0.0383035583	0.0434826181	0.0504743090	0.0547781054	0.0574361375	0.0620969349	0.0658008827	0.0683351235	0.0715654237	0.0796650451	0.0858796921	0.0971330256	0.1213789982	0.1429146376	0.1563690788	0.1648592605	0.1767376583	0.1879943377	0.1971183760	0.2055255768	0.2096118862	0.2144228024	0.2295547086	0.2551278421	0.2823596748	0.3104929460	0.3445769926	0.3771808270	0.4063591475	0.4288102043	0.4516163321	0.4704320131	0.4865823971	0.5040072047	0.5301889192	0.5608446266	0.5898481611	0.6013649146	0.6052575317	0.6224313271	0.6536268641	0.6774935956	0.6909453404	0.7051384216	0.7278551595	0.7492580053	0.7570099004	0.7579670899	0.7777639343	0.8120224763	0.8424986407	0.8672743318	0.8911845281	0.9021391554	0.9084276434	0.9167606206	0.9296690635	0.9413954075	0.9491783340	0.9525241100	0.9564499639	0.9601561995	0.9589936668	0.9526936438	0.9440581367	0.9335036807	0.9151001368	0.8830923198	0.8264842293	0.7570096335	0.6940782282	0.6387985963	0.5814898930	0.5283600410	0.4926378330	0.4692645348	0.4505064944	0.4353118441	0.4237034022	0.4120710375	0.3966212115	0.3838124877	0.3738121384	0.3674732062	0.3593057898	0.3475578585	0.3314969223	0.3146162386	0.2957075853	0.2736170427	0.2564427903	0.2456346250	0.2368370782	0.2294775055	0.2265292469	0.2242283878	0.2247208124	0.2184539636	0.2060373132	0.1921407661	0.1814830589	0.1699404799	0.1547082299	0.1389221839	0.1234052399	0.1060930154	0.0861034098	0.0645690344	0.0479728734	0.0364534143	0.0304421318	0.0245233907	0.0185230846	0.0171469133	0.0142367005	0.0138485245	0.0124885812	0.0128930117	0.0128702981	0.0101255735	0.0109802730	0.0083714962	0.0097536793	0.0099649657	0.0113035845	0.0121437174	0.0104933150	0.0119268144	0.0119250159	0.0131267384	0.0128059685	0.0135243099	0.0153759015	0.0140503898	15	1368	34.0000000000	151	67.7700000000	0	2017-198	19:16:40.254
