SN	SV-MPR	VA-MPR	V15-MPR	TEMP-MPR(PCB)	COND	Pres	TILT(X)	TILT(Y)	TEMP(TILT)	T(w)	FRAME	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0068	12.0600000000	4.9500000000	14.9700000000	22.5000000000	40.2002778656	7.3956074170	1.3044040594	3.5854684745	34068	15.8691926326	46	64.9300000000	0	2017-198	19:16:35.046
0068	12.0300000000	4.9800000000	14.9700000000	22.5000000000	40.3993126117	7.3893452600	1.6907063759	3.9127630368	34068	16.0239360887	47	65.0800000000	0	2017-198	19:16:35.188
0068	12.0300000000	4.9500000000	14.9700000000	23.0000000000	39.8482960424	7.3893452600	1.6997591791	4.7263885654	34068	17.2377293988	48	65.1800000000	0	2017-198	19:16:35.278
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.8635953109	7.4018695740	1.2606371652	6.3143009315	34068	17.3738057845	49	65.3000000000	0	2017-198	19:16:35.408
0068	12.0300000000	4.9500000000	14.9700000000	23.0000000000	39.8635953109	7.4018695740	0.3729585566	8.8273341811	34068	17.3784184347	50	65.4400000000	0	2017-198	19:16:35.548
0068	12.0900000000	4.9500000000	14.9700000000	23.0000000000	39.8635953109	7.3893452600	-0.0937296715	10.5173869653	34068	17.3299852841	51	65.5400000000	0	2017-198	19:16:35.648
0068	12.0300000000	4.9500000000	14.9700000000	22.5000000000	39.8788949763	7.4081317310	-0.0076309766	11.7473674989	34068	16.7879158512	52	65.6600000000	0	2017-198	19:16:35.768
0068	12.0600000000	4.9500000000	14.9700000000	23.0000000000	40.0433911758	7.3893452600	0.5269801175	12.2353811019	34068	15.7097854760	53	65.7500000000	0	2017-198	19:16:35.858
0068	12.0000000000	4.9500000000	14.9700000000	22.5000000000	40.4643950191	7.3830831030	1.1353664518	12.2520062469	34068	15.5757532023	54	65.8500000000	0	2017-198	19:16:36.028
0068	12.0600000000	4.9500000000	14.9700000000	23.0000000000	40.4950242692	7.3893452600	1.4839862795	12.2640974884	34068	15.8299227490	55	65.9600000000	0	2017-198	19:16:36.058
0068	12.0300000000	4.9800000000	14.9700000000	23.5000000000	39.8903699852	7.3956074170	1.3542062603	12.8174762065	34068	17.3830310788	56	66.0600000000	0	2017-198	19:16:36.183
0068	12.0900000000	4.9800000000	14.9700000000	23.0000000000	39.8903699852	7.3893452600	0.8591313299	13.6664644728	34068	17.4130131232	57	66.1600000000	0	2017-198	19:16:36.370
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.8941950376	7.3830831030	0.2400649004	14.5906735261	34068	17.4107068205	58	66.2700000000	0	2017-198	19:16:36.370
0068	12.0300000000	4.9800000000	14.9700000000	23.0000000000	39.8941950376	7.3893452600	-0.1481102595	15.0577455857	34068	17.4014815961	59	66.3600000000	0	2017-198	19:16:36.588
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.8865449574	7.4018695740	-0.1994714558	14.9227508507	34068	17.3461297494	60	66.4800000000	0	2017-198	19:16:36.588
0068	12.0900000000	4.9800000000	14.9700000000	23.0000000000	39.8865449574	7.4081317310	0.2476159818	13.8799943675	34068	17.2100519626	61	66.6000000000	0	2017-198	19:16:36.713
0068	12.1200000000	4.9800000000	14.9700000000	23.0000000000	40.0740000683	7.4018695740	0.7474156944	12.6843868661	34068	16.9194139760	62	66.6900000000	0	2017-198	19:16:36.807
0068	12.0300000000	4.9800000000	14.9700000000	22.5000000000	40.0740000683	7.4081317310	1.2078134024	11.1570311010	34068	17.1108714898	63	66.7900000000	0	2017-198	19:16:37.009
0068	12.0600000000	4.9500000000	14.9700000000	23.0000000000	39.8941950376	7.4018695740	1.4341882574	9.6703842927	34068	17.2976960877	64	66.9000000000	0	2017-198	19:16:37.009
0068	12.0900000000	4.9500000000	14.9700000000	23.0000000000	39.9056703426	7.4081317310	1.2666740518	8.5896430282	34068	17.3876437169	65	67.0100000000	0	2017-198	19:16:37.119
0068	12.0300000000	4.9800000000	14.9700000000	23.0000000000	39.9018452163	7.4018695740	0.8636601721	7.9551625556	34068	17.4084005165	66	67.1000000000	0	2017-198	19:16:37.212
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.9056703426	7.4081317310	0.3548373659	7.1890831893	34069	17.4153194246	67	67.2200000000	0	2017-198	19:16:37.337
0068	12.0900000000	4.9800000000	14.9700000000	22.5000000000	39.9094954936	7.4018695740	0.2838606604	6.1133795362	34068	17.3345979972	68	67.3700000000	0	2017-198	19:16:37.477
