SN	INTTIME(ED)	SAMPLE(DELAY)	ED(348.86)	ED(352.18)	ED(355.50)	ED(358.83)	ED(362.15)	ED(365.47)	ED(368.80)	ED(372.12)	ED(375.45)	ED(378.77)	ED(382.10)	ED(385.42)	ED(388.75)	ED(392.08)	ED(395.41)	ED(398.74)	ED(402.07)	ED(405.40)	ED(408.73)	ED(412.06)	ED(415.39)	ED(418.73)	ED(422.06)	ED(425.39)	ED(428.73)	ED(432.06)	ED(435.40)	ED(438.73)	ED(442.07)	ED(445.40)	ED(448.74)	ED(452.08)	ED(455.41)	ED(458.75)	ED(462.09)	ED(465.43)	ED(468.77)	ED(472.11)	ED(475.45)	ED(478.78)	ED(482.12)	ED(485.46)	ED(488.80)	ED(492.14)	ED(495.49)	ED(498.83)	ED(502.17)	ED(505.51)	ED(508.85)	ED(512.19)	ED(515.53)	ED(518.88)	ED(522.22)	ED(525.56)	ED(528.90)	ED(532.24)	ED(535.59)	ED(538.93)	ED(542.27)	ED(545.61)	ED(548.96)	ED(552.30)	ED(555.64)	ED(558.98)	ED(562.33)	ED(565.67)	ED(569.01)	ED(572.35)	ED(575.70)	ED(579.04)	ED(582.38)	ED(585.72)	ED(589.06)	ED(592.40)	ED(595.75)	ED(599.09)	ED(602.43)	ED(605.77)	ED(609.11)	ED(612.45)	ED(615.79)	ED(619.13)	ED(622.47)	ED(625.81)	ED(629.15)	ED(632.49)	ED(635.83)	ED(639.16)	ED(642.50)	ED(645.84)	ED(649.18)	ED(652.51)	ED(655.85)	ED(659.19)	ED(662.52)	ED(665.86)	ED(669.19)	ED(672.53)	ED(675.86)	ED(679.20)	ED(682.53)	ED(685.86)	ED(689.19)	ED(692.53)	ED(695.86)	ED(699.19)	ED(702.52)	ED(705.85)	ED(709.18)	ED(712.50)	ED(715.83)	ED(719.16)	ED(722.48)	ED(725.81)	ED(729.14)	ED(732.46)	ED(735.78)	ED(739.11)	ED(742.43)	ED(745.75)	ED(749.07)	ED(752.39)	ED(755.71)	ED(759.03)	ED(762.35)	ED(765.67)	ED(768.98)	ED(772.30)	ED(775.61)	ED(778.93)	ED(782.24)	ED(785.55)	ED(788.86)	ED(792.17)	ED(795.48)	ED(798.79)	ED(802.10)	DARK_SAMP(ED)	DARK_AVE(ED)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0186	0.0320000000	0.0000000000	51.9730629003	54.0338909468	55.3851007311	56.9060939455	60.6058651145	66.0450017845	68.8567985915	69.0848575645	70.2244220954	70.8673504589	69.1292538470	69.0522726272	72.2256712672	75.0403283493	80.9805538541	94.8033501207	108.2824603557	114.5793158609	117.5964205926	121.0975065416	123.3038431641	123.7161019840	123.0394201283	120.1190381409	117.3353827904	119.8768118591	126.2622516812	132.7389651102	138.5698827889	144.7364991575	149.7759906073	153.0395276334	154.4778307105	156.2358442122	157.1926663695	156.6782054584	156.4078435655	157.4843135317	159.3247797576	160.7969186509	158.6483741705	155.1202870828	153.9572664956	155.9483388454	157.1210181018	155.7879838235	154.1351879222	154.0411161178	154.4846522302	152.7866084961	149.5722684843	148.9988366956	150.5366839759	152.2077667746	153.3345316547	154.1670363210	153.9782035210	152.6766385983	151.8799529223	152.1642016732	152.3661743087	152.2227341006	150.9604458827	149.3135356834	148.4202655894	147.3782221302	146.3239816500	145.8568855404	146.0379572165	146.4368297922	146.3647332382	143.9330651643	140.7223590835	139.0793170631	139.7990007445	141.6677781748	143.3604043227	144.3085359717	144.0603267640	142.9259851843	141.8544993942	141.2271142368	140.5582414408	139.1563256764	137.6487622928	137.3952420352	138.0045177529	138.2759276727	137.5127795213	135.0878040388	132.8425617824	130.9235882648	130.5730388827	132.5157239161	135.0268845037	136.3603519179	136.4714156349	135.8749304649	135.2219701520	133.8491542072	130.2714148239	124.4764152588	119.8515985096	118.8868983859	119.2105569631	119.5491828199	120.3775555843	121.5066473471	121.6378262260	117.0169033207	108.2660797213	100.1086238854	96.1726886067	95.8183023781	98.4351616626	104.2838386975	110.5164976874	114.8647515163	118.1027252819	119.8082091128	120.2970715219	117.9947823406	108.8748490503	93.1599667121	83.8884297303	89.7921631340	102.6416721911	111.6694395305	115.4890818176	116.1892011581	115.8036299598	113.8006115419	111.6274093569	109.9591094210	108.7958572075	108.4089405674	107.5442436698	15	2156	29.5000000000	38	116.5800000000	0	2017-198	19:17:29.139
0186	0.0320000000	0.0000000000	52.0692131850	54.4338070769	55.7116228814	56.9372176956	60.9836818141	66.4139266204	69.4323941494	69.5752509974	70.7225579731	71.2576016259	69.5485055260	69.4591535501	72.6585800112	75.3912411868	81.4680572995	95.3168918176	108.9622569433	115.2121448624	118.2387911923	121.6410715262	123.7968501472	124.2708483043	123.7371242272	120.6279101210	117.8341928148	120.4470974818	126.9479959259	133.3138235578	139.1606805559	145.3850947671	150.4745927416	153.7671345852	155.1479013747	156.8443058449	157.7877126517	157.2604047373	156.9777925745	158.0839965717	159.9166478046	161.3407447867	159.2872967260	155.7357248919	154.5294913003	156.6416047783	157.5980376298	156.3098305676	154.6290747746	154.5066374460	155.1529292429	153.3499131043	150.1985473017	149.4628946481	151.0104135264	152.6758234489	153.7677019116	154.6656968278	154.2734733101	153.0163163080	152.3868362314	152.6445734297	152.8014127977	152.5946506665	151.3297919231	149.8262111513	148.8339027059	147.8646387092	146.6866323887	146.2417502200	146.4069427433	146.9469314560	146.8835263930	144.3060893343	141.2592922813	139.4290424882	140.1260771929	141.9111242977	143.6019114717	144.5800994183	144.1750538824	143.0861652899	142.0620522765	141.3683842176	140.7380350880	139.3481910968	137.9626729731	137.7220986930	138.3068220680	138.6401106811	137.7274858845	135.4373180231	133.0784081014	131.1544060966	130.8506981018	132.7101455519	135.3638279077	136.6439272076	136.6133340654	136.0608574851	135.4855948679	134.1915056207	130.3603700727	124.5099860878	119.9527440497	119.0219641351	119.4241740524	119.8176290469	120.5664926581	121.8709676085	121.7366792978	117.2358851486	108.3098852205	100.1854907145	96.3271387038	95.8738698558	98.5358910594	104.3515435835	110.4367315982	114.9108042039	118.0910752899	119.8672615804	120.4410322165	118.2754035930	109.0613625174	93.5408784584	84.1475578978	90.0039447832	102.9253403391	111.7245439174	115.3488918698	116.3461990495	115.6438732307	114.0225993735	111.6274093569	109.9745439421	109.1118892314	108.6522645400	108.1779515344	15	2153	29.5000000000	39	117.5000000000	0	2017-198	19:17:29.809
0186	0.0320000000	0.0000000000	52.0091192571	54.1024479977	55.1783033692	56.7193514454	60.4567269436	66.0450017845	68.7512727392	68.9406242018	70.0974462835	70.5571508134	69.1190281963	69.1461682248	71.9933787704	74.6787817894	80.7156063294	94.4574955085	107.7468630442	114.0368910025	116.9735157687	120.4414798362	122.7301623111	123.0589409585	122.4877471199	119.4945134381	116.6898639353	119.2290800408	125.6919297351	131.9262342014	137.7258859791	143.6961774868	148.7825655540	152.0994336956	153.6581326164	155.0453758004	156.1648591548	155.7009423831	155.2536968224	156.3800191532	158.3882796833	159.5867140107	157.6899903374	154.0393258028	152.9320303872	154.9921099723	155.9602705836	154.6889429534	152.9592668448	152.9316236190	153.3094064491	151.6295503819	148.6215319664	147.9210246769	149.3893702207	151.0741920165	152.1938499780	153.0984780921	152.7268220341	151.5397581003	150.7771392363	150.9598893823	151.2345542372	150.9475915890	149.6281619516	148.3341940843	147.3566272899	146.3659497899	145.1700929360	144.8084610683	144.8907476697	145.5118454420	145.3271469286	142.6943433922	139.7630384367	137.9499953779	138.6988345086	140.4510475600	142.1450780244	143.0465646610	142.7491596966	141.7710023174	140.5227017327	140.0616368948	139.2906962283	137.8406770796	136.4762135755	136.1064929274	136.7953004927	137.2121299377	136.2245413418	134.0492481996	131.7556178776	129.7904825451	129.5478356123	131.2951880915	133.9073628709	134.9642889532	135.1286489455	134.6390626247	134.0905807465	132.9325359066	129.2706682746	123.5588125990	118.8626198959	117.7500949973	118.2324155543	118.6431768036	119.1883634144	120.3364065074	120.4515893637	116.0752814606	107.2914073646	99.2630887659	95.3011487729	95.0514711869	97.6852872643	103.2569812590	109.5593046174	113.9897504524	117.1124759670	118.7098332157	118.9774318205	116.8112927110	107.6562943986	92.5378108597	83.1369580447	89.0774000678	101.7906677472	110.5397995994	114.4096192195	115.2043962027	114.6708095171	113.1050496696	110.4496127558	109.0330381525	107.8477611359	107.3707582846	106.8438297142	15	2159	30.0000000000	40	117.7600000000	0	2017-198	19:17:30.135
0186	0.0320000000	0.0000000000	51.5403866189	53.8624983196	55.0259263657	56.4496122785	60.2181058702	65.5984085622	68.5114412567	68.6521574766	69.7360535880	70.4570864116	68.6588739145	68.9062128088	71.8983500217	74.5299096765	80.2175049830	93.9229929260	107.4275646470	113.4341967154	116.4479398235	119.8416839911	122.1206264047	122.4444527268	121.8549457280	118.7928869201	115.9709906649	118.4968614636	124.9382900206	131.1135032927	136.8559200366	142.8677731934	147.9237335724	151.2172907540	152.5717073647	154.2715713328	155.1843851671	154.7306102517	154.3774002212	155.3781096840	157.1970515887	158.5833164926	156.5679799962	152.8636817829	151.8750040119	154.0597868211	154.8790263201	153.6057156211	152.0655668261	152.0704091619	152.4260517771	150.7313078985	147.7613417835	146.9330303265	148.5233333861	150.2770329931	151.1542413613	152.0299198633	151.7425894040	150.5900469525	149.9209174304	150.0194432675	150.2636376079	150.0709311122	148.7641560358	147.3022703860	146.2601606478	145.3799702377	144.2403883150	143.7202230088	143.7972087450	144.3624163598	144.3103123451	141.8004930226	138.7607631341	136.9372488345	137.8068078310	139.5232904663	141.1868399815	142.1440155591	141.7575896020	140.8605048749	139.6751941300	139.1080645241	138.6164700514	137.1371705383	135.7560655444	135.3313757104	135.9072815672	136.1674997294	135.2974002278	132.9807340190	130.7814700383	129.0036035730	128.6187451485	130.3014775086	132.9943549375	134.2662574708	134.2989719666	133.8953545438	133.0690349727	131.9386124482	128.1476082581	122.4957363468	118.1433627222	117.0635107724	117.5128632536	117.7259855279	118.5659824656	119.5746459608	119.7486341860	115.3416923371	106.6781303761	98.5932492557	94.8157341820	94.5180234017	97.1480638148	102.6025006938	108.9097807486	113.1147493884	116.2853265394	118.1074980464	118.4735693891	116.3476575983	107.1837936152	92.1695961716	82.9555683275	88.7862003001	101.2908714864	109.9198752469	113.8909164126	114.5335870302	114.0898759567	112.3650902310	109.9815141067	108.3384847011	107.3263082965	106.7705591523	106.4435931681	15	2158	30.5000000000	41	118.0700000000	0	2017-198	19:17:30.540
0186	0.0320000000	0.0000000000	51.5764429757	53.8967768450	55.2000715126	56.5118597785	60.3672440411	65.7246196902	68.5690008125	68.7386974942	69.8141925492	70.4470799715	68.6588739145	68.5097647301	71.6132637756	74.3810375636	80.3446797948	93.9334733688	107.3451650606	113.5547355729	116.4771384871	119.9541457121	122.1026988781	122.3761762566	121.7332531526	118.8545683723	116.0590159633	118.5531859696	124.9315004736	131.1333259978	136.8883814524	142.8998818869	147.9109151846	151.1850957562	152.6172461477	154.2781850462	155.2181946149	154.6959555327	154.3275296829	155.4293021386	157.2420035923	158.5296998313	156.6225221656	153.0214863493	151.8432137450	154.0757239690	154.9426289238	153.7480374604	152.1047641953	151.9617875186	152.4567771570	150.6704101030	147.5198848900	146.9330303265	148.4715192166	150.0430046560	151.1325828485	151.9800538126	151.5879242764	150.4236741967	149.8181708137	149.8908930792	150.1565019798	149.9713106035	148.7113923158	147.2891248611	146.2338979737	145.2747990855	144.1282962685	143.6273246378	143.8575881948	144.3080055156	144.1858019880	141.7371492956	138.6462173852	137.0538239762	137.6953044962	139.4700585019	141.2024210879	142.1040797581	141.8559271320	140.7424774287	139.6665460933	139.1168938979	138.4276867219	137.0001238094	135.5437142019	135.2566656172	135.7561294097	136.0333270421	135.1900470462	132.9907201328	130.9045202917	128.8986863768	128.6614619514	130.3662847205	132.9726166533	134.2989776966	134.2116375478	133.7641119413	133.0360818832	131.8281765084	128.1031306336	122.4285946888	117.8961180688	116.8384011905	117.2992461643	117.8602086414	118.5104127380	119.7071260559	119.7266668367	115.4073868854	106.6671790013	98.4834394999	94.8377984815	94.2179590225	97.0025657972	102.6702055798	108.6932727923	113.0917230446	116.2969765313	118.0838770593	118.5455497365	116.3720594464	107.2832674644	92.1695961716	82.8648734688	88.7200185347	101.1152673948	110.0576362141	113.5824985274	114.2909539252	113.8139325155	112.0395080780	110.0721138453	108.2304430531	107.1366890821	106.6570079651	106.4769462136	15	2154	30.5000000000	42	118.3900000000	0	2017-198	19:17:30.837
0186	0.0320000000	0.0000000000	51.3601048350	53.5197130652	54.7973608605	56.1591239449	59.9695422521	65.4333632409	68.1373041440	68.6425419191	69.4527998536	69.9867837233	68.3930069961	68.3011078466	71.3915300287	74.0088572814	79.9313616563	93.4304121147	106.7477680593	112.9219065714	115.9418296540	119.2231445260	121.5559093150	121.8555681715	121.2627085278	118.2146233064	115.4648451990	117.9054541513	124.3340203396	130.5386448451	136.2001994382	142.2255993225	147.2571774076	150.5927077954	152.0447585899	153.6895645537	154.6231483327	154.0375158721	153.7005857731	154.7930530596	156.5152795346	158.0548094029	155.9524326562	152.4218289969	151.4299402749	153.5019866452	154.4815100468	153.0680553393	151.5246431305	151.4264379912	151.7808187993	150.1984521881	146.9162426564	146.3043066489	147.8423471572	149.5237542829	150.4972664716	151.4315272552	151.0255056306	149.8690983441	149.2701888579	149.3834581251	149.6409117697	149.5794699359	148.2563052304	146.7895949180	145.8071295202	144.7357969303	143.7326772808	143.1362903914	143.2806290075	143.7502943633	143.7015950435	141.2937432067	138.1307615153	136.5292358385	137.3533609365	139.0822256185	140.8284745346	141.6248501465	141.4461874235	140.2703676437	139.3119765860	138.6842545815	137.9332541922	136.5798471743	135.1836401863	134.7803887731	135.3499079863	135.8224842478	134.7996718403	132.5213727825	130.4430818415	128.6888519842	128.3304067287	130.1394594788	132.4074212659	133.8190810525	133.7858822561	133.2828890654	132.7395040778	131.4085199371	127.7473096383	122.0928863986	117.5814430553	116.5457587340	117.0294140516	117.4575393008	117.8769178438	119.0557655885	119.3092872000	115.0022705038	106.1743671355	98.2418580372	94.4737375383	94.1401645538	96.9354128660	102.4445226263	108.4311842136	112.9650781537	115.9474767731	117.4342999159	118.0416873051	115.8230178656	107.0345828416	91.7378961924	82.4891376260	88.4950005324	100.7505512045	109.7407859895	113.3021186318	114.0340482847	113.4798957183	111.6991267363	109.6342151090	108.0143597571	107.0892842786	106.5596783761	106.2434748950	15	2153	30.5000000000	43	118.7900000000	0	2017-198	19:17:31.164
0186	0.0320000000	0.0000000000	51.6605744749	53.8396459693	55.0912307958	56.3873647784	60.1683931466	65.6857854970	68.4155086637	68.6713885916	69.6481472566	70.2169318474	68.5668430581	68.5514961068	71.6449400252	74.3597701189	80.2704944879	93.8915515976	107.0979663014	113.4141069059	116.2435491781	119.6167605493	121.7172570549	122.1372086110	121.6358990923	118.6618138344	115.7949400681	118.1729955545	124.6056022187	130.9152762418	136.6286901262	142.7136514644	147.6225014595	150.9532917715	152.3960577731	153.9474993762	155.0694330444	154.4672343874	153.9998090028	155.0270757093	156.9498155691	158.4377855548	156.3108526263	152.7216576731	151.6445245767	153.7012009937	154.8710759946	153.3843260933	151.9401352445	151.7988550537	152.2647435327	150.5866756343	147.3991564433	146.7384253786	148.2198503928	149.8309164754	150.8221441643	151.7948370530	151.4191986827	150.1671828649	149.5167807380	149.6608559000	149.9623186539	149.9381037672	148.5465056907	147.1839606626	146.0500592553	145.1959207213	144.0425788211	143.4680702877	143.7234116396	144.1583756943	144.0128709364	141.6526909929	138.4743987619	136.7769580146	137.4351300486	139.3103626087	140.9842855985	141.8644649523	141.5691093360	140.5654362593	139.5195294683	138.7813776934	138.2478930747	136.8448041834	135.3313628594	134.9298089595	135.5860832324	136.0716620956	135.0924532447	132.7810117422	130.7096907238	128.7832774609	128.5012739404	130.5823087603	133.0378315057	134.1790035355	134.0697191172	133.4578792021	133.1019880621	131.6183482227	127.9029813238	122.2719308201	117.7724957421	116.9397005024	117.1418440985	117.6253181927	118.0991967540	119.3096857707	119.4740423198	115.1993541489	106.4262487558	98.3955916953	94.6833483844	94.2512995091	96.9130285556	102.6250689891	108.6249018587	113.0571835289	116.2387265716	117.7768042279	118.3895923172	116.1280409660	106.9972801481	91.7251991342	82.6316581181	88.6406004162	100.9936953313	109.8509947633	113.3301566214	114.3480440676	113.7848858375	112.0543072668	109.5285154140	107.8137109823	107.0260778738	106.7218943578	105.9766505310	15	2153	31.0000000000	44	119.5200000000	0	2017-198	19:17:31.788
0186	0.0320000000	0.0000000000	51.3721236206	53.5882701160	54.7211723588	56.2836189450	60.1385655124	65.4721974341	68.2524232556	68.4117685389	69.3258240417	70.1168674456	68.3521043933	68.2593764699	71.2648250305	74.0513921708	80.0267427652	93.6190600849	106.8198676974	113.0826250480	115.9612954298	119.3168626268	121.5290180250	122.0177247882	121.3357240730	118.2608843955	115.4868515236	118.0814682323	124.4087053564	130.5716826869	136.2781068360	142.3155036645	147.3725428977	150.5862687958	152.0577696708	153.5771314259	154.4743867622	153.9820683217	153.6934614105	154.6906681503	156.5452475370	157.9092784651	155.9680161332	152.3823778553	151.2789365070	153.4223009058	154.3702054902	153.0364282639	151.5089641828	151.4652314352	151.9574897337	150.0462076993	147.0973353265	146.4240635398	148.0273977629	149.6553952226	150.5911200273	151.5882491287	150.9903544652	149.9314881275	149.2564893090	149.4917109153	149.6810876303	149.4599253254	148.1375868603	146.6975762442	145.7152101610	144.7226505363	143.6601471330	143.0632988143	143.3611349406	143.8455133405	143.7707674641	141.3007813986	138.1307615153	136.5000920531	137.3013260469	139.1506667155	140.7349878962	141.6408244668	141.3724342759	140.2366455162	139.2946805125	138.7107427029	137.9242645098	136.5524378286	135.1651748522	134.8924539129	135.5199541635	135.8608193013	134.6532811380	132.5113866686	130.4533360293	128.4475424328	128.2876899257	129.8586282271	132.6030658231	133.9390552135	133.7749654537	133.4469423186	132.7285197147	131.4416507190	127.8807425116	122.1935988857	117.6938269887	116.6583135250	117.0519000609	117.3233161873	118.0436270265	119.5636059529	119.3092872000	114.9037286812	106.3495891322	98.1320482814	94.4737375383	94.0401430941	96.7787226932	102.3993860356	108.4881599916	112.8384332629	115.8892268134	117.8004252149	118.0176938560	115.9572280298	106.7734639876	91.6871079596	82.7223529767	88.4817641793	100.9126472891	109.7270098928	113.2740806423	114.2338637829	113.5379890744	111.6251307924	109.4681155883	107.9217526303	106.8996650642	106.5596783761	106.1100627130	15	2152	27.0000000000	45	119.7800000000	0	2017-198	19:17:32.131
0186	0.0320000000	0.0000000000	51.0716539808	53.0512398841	54.4164183518	55.6611439445	59.5221277394	64.7731819556	67.4753692524	67.8540662035	68.7104797222	69.3663844323	67.7385653509	67.5603759101	70.7474462876	73.2857641617	79.2424980921	92.6548593479	105.6559735398	111.7868323307	114.5889582395	118.0516682662	120.1127434191	120.6521953845	119.9078645219	117.0889368051	114.3498580856	116.7719234692	123.0440064140	129.2171311724	134.9277119402	140.8770341938	145.6548789345	148.8799339088	150.3598236187	151.8575659422	152.8515332653	152.3602274734	152.0619823724	153.1402680957	154.9944034139	156.3850333803	154.2226667135	150.8043321910	149.7132658608	151.7489003780	152.7721900714	151.4946083383	149.9724273084	149.8359067866	150.2138244246	148.5237628123	145.4071370723	144.9645264312	146.4803746995	147.9952567060	149.0244875979	149.9569168994	149.5421264523	148.2330995786	147.6330927650	147.8543874637	148.0338773487	147.9456935928	146.5612707239	145.2449957517	144.3626824468	143.3619987543	142.2227314778	141.7030012398	141.8583575226	142.2948042828	142.2489742100	139.9001812131	136.8278036219	135.1449060309	135.8740833626	137.6297534471	139.2236205766	140.1711869911	139.9055661193	138.7275803106	137.9109946305	137.3421897635	136.6926780267	135.2550621289	133.8356707947	133.5850272818	134.1406907261	134.4807573748	133.5895087020	131.1133307313	129.1920709321	127.2305029560	126.9955066370	128.8433152403	131.2226847808	132.4557383135	132.6505348114	132.0251474581	131.5861459460	130.1716374110	126.6687272462	120.9962393174	116.4576037215	115.7128532810	115.8601415629	116.4396806900	117.0322579847	118.1063249072	118.3537075054	113.7759722674	105.2982571519	97.0778746259	93.5029083564	93.2733119029	95.7490444149	101.4740859262	107.2916686541	111.6756029015	114.7591775953	116.4540289540	116.9619820949	114.7859393242	105.9155020389	90.7475256520	81.8024479823	87.7272920539	99.9535787887	108.6524743485	112.3908839711	112.9778806513	112.4051686317	110.7963762211	108.6527179415	106.8722051927	106.1411882069	105.3917233079	105.0427652568	15	2154	31.0000000000	46	120.0300000000	0	2017-198	19:17:32.475
0186	0.0320000000	0.0000000000	50.1702450612	52.3085384995	53.5239244743	54.8311772771	58.5775859904	63.5499048683	66.3433646551	66.6232748425	67.6653711162	68.3957597350	66.5728411703	66.6318527785	69.4487200556	72.1692233150	78.0237394785	90.9360667296	103.8843824326	109.8381208024	112.8467713101	116.2054216808	118.2930994633	118.6380395140	117.9607833158	115.1768117890	112.4646496111	114.8146468879	121.0139318678	126.9969882022	132.6813819693	138.5459430426	143.3603875211	146.5361380640	147.9137404172	149.5626073928	150.4172530199	149.9136043133	149.5898285461	150.5367661172	152.3347432028	153.7195193626	151.7293103997	148.3662516397	147.1382542397	149.2706738820	150.2201355965	148.9486287688	147.4794746244	147.3686437472	147.8556515176	146.0802387685	143.1132965845	142.4945405550	143.9414803896	145.5379591660	146.4615635776	147.3852534287	147.0323332454	145.8484234121	145.3863667463	145.4728260794	145.8041170896	145.7009114630	144.4111491321	143.0891296812	142.0646984663	141.0285138142	139.9347349991	139.4468979456	139.6041913955	139.9823434073	139.8971119081	137.5846160823	134.7087072679	133.2141302466	133.7852542257	135.5384977031	137.1980767461	138.0146537387	137.7913092232	136.6705305332	135.6538570355	135.0288938271	134.4812161666	133.1719518507	131.8506473756	131.5398384803	131.9395374320	132.5448371723	131.5790763916	129.2758857852	127.3565713192	125.3734685820	125.1159673079	126.9207012865	129.4184071980	130.5361517370	130.4562575385	130.1440034889	129.5101013088	128.1396161182	124.8896222696	119.2169853796	114.8729902609	113.7769108765	114.3985509520	114.7730770304	115.2873685391	116.4503237190	116.3766460682	112.1774049236	103.6555509327	95.7711385322	92.2231789803	91.8507844757	94.4955230327	99.8491686608	105.6165807817	110.0292193206	112.9417788528	114.8005598616	115.3664177288	112.9924034937	104.4358285332	89.6428815876	80.4420251031	86.2448205092	98.1975378725	106.9304622584	110.4702816862	111.4649918793	110.6478446116	109.0796703235	107.1125223863	105.3596221208	104.5768296887	103.8831146781	103.4751721180	15	2149	32.0000000000	47	120.3500000000	0	2017-198	19:17:32.771
