SN	INTTIME(ED)	SAMPLE(DELAY)	ED(348.86)	ED(352.18)	ED(355.50)	ED(358.83)	ED(362.15)	ED(365.47)	ED(368.80)	ED(372.12)	ED(375.45)	ED(378.77)	ED(382.10)	ED(385.42)	ED(388.75)	ED(392.08)	ED(395.41)	ED(398.74)	ED(402.07)	ED(405.40)	ED(408.73)	ED(412.06)	ED(415.39)	ED(418.73)	ED(422.06)	ED(425.39)	ED(428.73)	ED(432.06)	ED(435.40)	ED(438.73)	ED(442.07)	ED(445.40)	ED(448.74)	ED(452.08)	ED(455.41)	ED(458.75)	ED(462.09)	ED(465.43)	ED(468.77)	ED(472.11)	ED(475.45)	ED(478.78)	ED(482.12)	ED(485.46)	ED(488.80)	ED(492.14)	ED(495.49)	ED(498.83)	ED(502.17)	ED(505.51)	ED(508.85)	ED(512.19)	ED(515.53)	ED(518.88)	ED(522.22)	ED(525.56)	ED(528.90)	ED(532.24)	ED(535.59)	ED(538.93)	ED(542.27)	ED(545.61)	ED(548.96)	ED(552.30)	ED(555.64)	ED(558.98)	ED(562.33)	ED(565.67)	ED(569.01)	ED(572.35)	ED(575.70)	ED(579.04)	ED(582.38)	ED(585.72)	ED(589.06)	ED(592.40)	ED(595.75)	ED(599.09)	ED(602.43)	ED(605.77)	ED(609.11)	ED(612.45)	ED(615.79)	ED(619.13)	ED(622.47)	ED(625.81)	ED(629.15)	ED(632.49)	ED(635.83)	ED(639.16)	ED(642.50)	ED(645.84)	ED(649.18)	ED(652.51)	ED(655.85)	ED(659.19)	ED(662.52)	ED(665.86)	ED(669.19)	ED(672.53)	ED(675.86)	ED(679.20)	ED(682.53)	ED(685.86)	ED(689.19)	ED(692.53)	ED(695.86)	ED(699.19)	ED(702.52)	ED(705.85)	ED(709.18)	ED(712.50)	ED(715.83)	ED(719.16)	ED(722.48)	ED(725.81)	ED(729.14)	ED(732.46)	ED(735.78)	ED(739.11)	ED(742.43)	ED(745.75)	ED(749.07)	ED(752.39)	ED(755.71)	ED(759.03)	ED(762.35)	ED(765.67)	ED(768.98)	ED(772.30)	ED(775.61)	ED(778.93)	ED(782.24)	ED(785.55)	ED(788.86)	ED(792.17)	ED(795.48)	ED(798.79)	ED(802.10)	DARK_SAMP(ED)	DARK_AVE(ED)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0186	0.0320000000	0.0000000000	10.1837453906	9.5974957983	9.0951438882	8.8717730720	8.4273903926	8.3665162619	8.2369930793	8.1606851947	8.2309237556	8.4571830707	8.7672377259	8.8964931096	8.8731721446	9.0155462843	8.9148271362	8.9266018651	8.7128601641	8.5051213306	8.1208977857	7.8954126058	7.6981875120	7.1852364965	6.8392363162	6.4247015029	6.1741017667	5.9957014138	5.8767942293	5.7348935946	5.5494932702	5.5453126530	5.4473533465	5.5284864000	5.5790213615	5.5688392738	5.8412921149	5.8885922278	6.0054244687	6.3129949997	6.4430156234	6.4498698848	6.6237646742	6.5472877904	6.7762781896	6.6810117644	6.7008602669	6.5240014859	6.6198085075	6.5639593490	6.4728159252	6.5557770916	6.3581485558	6.3459251371	6.2638297657	6.1813977824	6.1504978445	5.9936285902	5.9425857138	5.8457494021	5.7537146389	5.7184739394	5.6104517867	5.6477589355	5.5172515775	5.4949213933	5.6432380489	5.5746429364	5.6089013850	5.5670742261	5.7228246345	5.7643936489	5.8409607025	5.9704277958	6.1024677256	6.2346571562	6.3666768738	6.4661931789	6.7452635099	6.6897658279	6.9368359021	7.1354082766	7.1786228921	7.4974186179	7.5379115852	7.5366473045	7.6435773410	7.8666179415	8.1459204147	8.2050910978	8.3181051280	8.4439083473	8.6335851822	8.9153807201	9.0864513400	9.3280152473	9.2491725244	9.3731558384	9.4544202600	9.3570616512	9.4619963323	9.2553268961	9.5702615650	9.4515647721	9.5130527161	9.5736854092	9.5687751401	9.3967476576	9.2825562301	9.2187267749	9.3846712951	9.0917094298	9.2547002007	9.1312412228	9.3937983248	9.4108746702	9.3791827467	9.5082823672	9.6237900526	9.7149526027	9.9791500952	10.0887243405	10.1431466362	10.2484223474	10.5822518858	10.7814530388	10.9568069995	11.3138257383	11.2870205288	11.6274251397	11.8045964219	12.0853265972	12.4991195880	12.6777546602	12.5716952196	13.1846618637	13.6386148163	14.0803472112	14.2057458188	15	2071	30.5000000000	58	117.0000000000	0	2017-198	19:17:29.499
0186	0.0320000000	0.0000000000	10.1116326770	9.7803146007	9.3345934650	8.8302747386	8.4472754821	8.0946769091	8.1698402642	7.9876051595	8.2406911258	8.4471766306	8.6956581709	8.6669705378	9.0104358927	9.0261800066	8.9466208392	8.7903561088	8.6922602676	8.3544477588	8.2376924401	7.9985025167	7.6623324587	7.2108401728	6.8473491545	6.5249338626	6.2547916236	5.9393769079	5.7342137428	5.5895270906	5.5300164208	5.4682517885	5.4858085099	5.5413643991	5.5334825785	5.6746586882	5.6992924339	5.8331446774	6.0125488313	6.1813572592	6.3531116162	6.4345508387	6.6237646742	6.6893119002	6.7444879226	6.7208546341	6.6531583141	6.7295774760	6.5884506121	6.6105114819	6.5035413051	6.3883081540	6.3958761954	6.3459251371	6.3526540565	6.2033379390	6.0999613145	6.1645979068	5.9988275784	5.8734781948	5.8359119322	5.7793661339	5.6573236240	5.6278348337	5.5700152975	5.6132311167	5.5972783692	5.4957645723	5.5891204356	5.5139894427	5.6289010459	5.7235855158	5.8340434605	5.9000458769	6.0022401954	6.1180820145	6.3295090955	6.5802616741	6.5660807864	6.7536631095	6.9860046671	7.1606998722	7.3948238111	7.4267836275	7.5738703146	7.7285127249	7.8005326811	7.8479404182	8.0892383556	8.1284209908	8.1424362853	8.5537555995	8.7156186844	8.7580049257	9.0330553363	9.0903888036	9.1404811038	9.2968086450	9.2906682247	9.3023772335	9.2972308849	9.3436756480	9.4145898795	9.5187064302	9.5917214694	9.4611306182	9.5013171119	9.4862297333	9.6382024865	9.3622468779	9.3956549698	9.2340476180	9.1999433267	9.3398797587	9.3055411264	9.3219667060	9.3120298155	9.4180091857	9.8061125421	9.6919262590	9.8626501758	10.1005348341	10.1671400853	10.4924408277	10.5698176547	10.9465147955	11.0475018581	11.2476439729	11.4221005992	11.5447685593	11.8466534062	12.0282364549	12.3103161809	12.4261684511	12.6471950017	13.2463999483	13.5754084115	13.8694664350	14.4058640919	15	2068	30.0000000000	59	119.1500000000	0	2017-198	19:17:31.523
0186	0.0320000000	0.0000000000	10.1597078194	9.6889051995	9.3890138234	8.8095255720	8.3876202137	8.3082649720	8.0355346340	8.1703007522	8.2406911258	8.3270993484	8.6343042667	8.8130303562	9.0104358927	8.9623776725	8.9360229382	8.9580431935	8.6922602676	8.5553458545	8.3544870946	8.0922206175	7.7430063286	7.1425637026	6.7094309024	6.5249338626	6.1887726498	5.9112146549	5.6391600851	5.5829195223	5.5040472882	5.4810952659	5.4473533465	5.4190234072	5.5139659572	5.6283626944	5.7669113296	5.8608684526	6.0339219191	6.1447912202	6.3381276151	6.5188055922	6.6315564126	6.7208728135	6.7762781896	6.7447603560	6.7008602669	6.7374842448	6.6276479813	6.5484419714	6.3652770956	6.3730837052	6.3204209162	6.4207731940	6.1898095235	6.1009505415	6.0494247845	6.0078760332	6.0410089769	5.8665459966	5.7057662177	5.7523029363	5.7108914380	5.6211934665	5.6821382026	5.5277852054	5.5447530211	5.4628985872	5.6154950348	5.5737098240	5.6289010459	5.6079624720	5.8547951867	5.9845041796	6.0380357419	6.1399398536	6.2700406504	6.3749383828	6.6439863184	6.6737915076	6.9614202846	7.1269777447	7.2737512964	7.4002955060	7.5828599970	7.6280117904	7.8836266847	7.8105853716	7.9664272276	8.1859235710	8.3376238883	8.4339222335	8.7463812478	8.8629221220	8.9476217304	9.1335936115	9.1948268141	9.2095547097	9.0723321777	9.0945764462	9.2423090691	9.3657628360	9.5813809711	9.3956133904	9.4456223560	9.7087511583	9.5013171119	9.6763791441	9.4826072493	9.3180868462	9.3736876205	9.2997421663	9.1999433267	9.3838036610	9.4379269240	9.3886476791	9.4575278331	9.6211238439	9.6237900526	9.7264657746	9.8160502080	9.9351879248	10.1431466362	10.2118195753	10.6941599661	10.8195442134	10.8920249576	11.2608803260	11.4626246204	11.6687534298	11.9728243592	12.0139639193	12.3538861979	12.3521725072	12.9340941738	13.2155309060	13.2435747864	13.8045800423	14.1723927733	15	2068	29.0000000000	60	121.0900000000	0	2017-198	19:17:33.457
0186	0.0320000000	0.0000000000	10.1116326770	9.7346099001	9.2257527483	8.8925222387	8.3379074901	8.2500136821	8.0643144119	8.1703007522	8.3872016780	8.4671895109	8.6138529653	8.8964931096	9.0526708921	9.0474474513	9.0208061461	8.7693952232	8.4965612499	8.4448519019	8.3642199825	8.0641051872	7.6085498787	7.2449784079	6.9203646997	6.5326440441	6.2401207406	5.9252957814	5.8156883065	5.5234514070	5.5819546860	5.4168778788	5.4281257648	5.3481944119	5.5269770380	5.5423844202	5.7533875504	5.9648326095	6.0909168200	6.1886704670	6.2931756115	6.3885937005	6.6081811972	6.5709584754	6.6968025222	6.6172631729	6.6849596160	6.6109759432	6.6668453506	6.5484419714	6.5496293750	6.5329404183	6.4336038350	6.4282579997	6.2564277415	6.1960245534	6.0566442888	5.9152676534	5.8441624508	5.8457494021	5.7605644133	5.7455371369	5.6841075310	5.5879866302	5.7217109927	5.5343579678	5.6169753748	5.5483501484	5.6484632838	5.6068878136	5.6825716680	5.7915990709	5.8478779446	5.9845041796	6.0451948512	6.1180820145	6.3889775407	6.3977520819	6.5972429992	6.6737915076	7.0269786380	7.1775609360	7.3861757744	7.6033711035	7.6188187264	7.7193762763	7.9020920188	7.8759567032	7.8908511488	8.1284209908	8.1814738059	8.4938389165	8.6951103088	8.9048890005	9.0437345370	9.1551960155	9.1513502458	9.2204614516	9.2797514224	9.3023772335	9.1544341638	9.3988936179	9.4813063162	9.3732328377	9.5692446827	9.6187073255	9.5238031213	9.4974149928	9.4270375217	9.3180868462	9.2968018979	9.2887930749	9.3423111990	9.3398797587	9.4379269240	9.4886691389	9.4575278331	9.6324079916	9.7719270753	9.7725184622	9.7578002483	10.0060508859	10.2871073309	10.3338288155	10.6817257350	10.8830295044	10.9956762246	11.2873530321	11.6112126979	11.8616187839	11.9167483801	11.8997836346	12.2231761469	12.5149635837	12.7226947838	13.0303166523	13.3225827924	13.5612560698	14.0890101595	15	2067	27.5000000000	61	123.0800000000	0	2017-198	19:17:35.454
0186	0.0320000000	0.0000000000	10.2558581041	9.5517910977	9.2257527483	8.7265289052	8.4671605715	8.3665162619	8.2561795979	8.2183785397	8.2895279765	8.7173505154	8.6956581709	8.8025975120	8.9998771429	8.9730113949	8.9784145422	8.7693952232	8.7231601124	8.5854805688	8.3544870946	7.9422716562	7.6444049320	7.4498078185	6.9447032148	6.5403542257	6.2621270652	5.8689712755	5.8428464944	5.6159573641	5.4391244566	5.4232996175	5.3383970503	5.3997064085	5.5595047402	5.5886804140	5.8210064461	5.8747303402	6.1051655452	6.0570327265	6.4130476210	6.5264651152	6.6159729357	6.6577509869	6.7524354894	6.8403832433	6.8757674272	6.6663233252	6.7060427198	6.5096485274	6.5649920649	6.5253281939	6.4260583070	6.3983187769	6.2194176204	6.2252780956	6.0855223060	6.0221234763	5.9707066461	5.8180206095	5.8290621578	5.7184739394	5.6707155775	5.5879866302	5.6227790176	5.5672217798	5.4200053193	5.5812161334	5.5957140854	5.6135234116	5.7295334623	5.6691746716	5.9170503652	6.0830388660	6.0451948512	6.1836555317	6.2328728721	6.4890068780	6.7141012971	6.6578171872	6.9450306963	7.1185472129	7.2564552229	7.4267836275	7.7266949147	7.7011033791	7.6620426751	7.9226505114	7.9947682571	8.2434261513	8.3376238883	8.4738666888	8.6951103088	8.7894800846	9.1825641466	9.1227924096	9.1513502458	9.2313681935	9.1378329918	9.3898723019	9.2642777954	9.3878500239	9.5257839406	9.4179939431	9.5917214694	9.5961963674	9.3888870649	9.5197855117	9.3381259576	9.4174469175	9.2089325007	9.2449967093	9.4518249470	9.3398797587	9.3827661750	9.1330372821	9.5918336954	9.4405774811	9.4984433411	9.8876501812	9.8160502080	9.9588089119	10.2031302590	10.1996186513	10.4827780367	10.8195442134	11.0215890413	11.2608803260	11.4761326274	11.7927383003	11.7905774271	12.1281442040	12.3393628589	12.5889595276	13.0397938687	13.1383583003	13.4489956020	13.6748072570	14.2057458188	15	2067	30.0000000000	62	125.0700000000	0	2017-198	19:17:37.529
0186	0.0320000000	0.0000000000	10.2077829618	9.5746434480	9.3345934650	8.7680272386	8.3876202137	8.0946769091	8.1122807084	8.1414540797	8.1918542750	8.4171573100	8.4604682047	8.7504332912	8.9154071440	9.0049125619	9.1267851560	8.9266018651	8.6510604744	8.6156152832	8.2766239916	7.9047844159	7.6175136420	7.2193747316	6.8473491545	6.3784404138	6.2767979482	5.8900929652	5.7410032897	5.5763119539	5.4196476072	5.4297213562	5.4665809282	5.4640964042	5.5920324423	5.6151352676	5.7939588879	5.8539375088	6.0410462817	6.1594176358	6.2931756115	6.5417841613	6.5848059818	6.6261900736	6.6888549555	6.7925717996	6.6531583141	6.6188827121	6.6511664029	6.6182701707	6.5342666850	6.4796548472	6.3581485558	6.3758643599	6.3304479838	6.1960245534	6.1288393317	5.9580099825	6.0339787438	5.8596137985	5.6989164433	5.7928977326	5.6506276472	5.6211934665	5.5172515775	5.4817758685	5.5119246785	5.5023377693	5.6089013850	5.6400658033	5.6289010459	5.8052017820	5.9170503652	5.9281986445	6.0165584140	6.2055133708	6.3443762068	6.3293109848	6.6595674248	6.5779455852	6.8221087837	7.1354082766	7.1613268185	7.4885892441	7.5379115852	7.8198772108	7.8282306823	7.8759567032	7.9380861981	8.0517508837	8.2205113265	8.2641582982	8.7463812478	9.0622647949	8.9476217304	9.2740092374	9.1730885300	9.2531816773	9.2688346200	9.2914403500	9.4070745165	9.4209808059	9.5480227528	9.4515647721	9.5018143227	9.5511744510	9.6362331683	9.4974149928	9.2381004480	9.2849668224	9.1979488260	9.1902512524	9.2327974511	9.2300700030	9.4820555231	9.6553715718	9.6142180058	9.7678177637	9.6579755194	9.7955448060	9.9791500952	9.9588089119	10.0831630134	10.2972260435	10.7314626595	10.8068471552	10.9827198162	11.2873530321	11.3815765781	11.7376339134	11.6784254688	12.0853265972	12.5426896051	12.5593611501	13.0246939123	13.1229237792	13.3699875960	13.9343528277	14.2390988643	15	2066	30.0000000000	63	127.1000000000	0	2017-198	19:17:39.463
0186	0.0320000000	0.0000000000	10.2077829618	9.5289387474	9.1386801749	8.7784018219	8.4273903926	8.2403051338	8.1314672270	8.1414540797	8.4555732691	8.4171573100	8.4911451568	8.8547617329	8.9682008933	9.1963195642	8.9572187402	8.8532387655	8.7952597505	8.4950764258	8.3642199825	7.9235280360	7.6175136420	7.2279092904	6.8716876696	6.5634847702	6.2034435329	5.9534580344	5.8088987595	5.5498816804	5.5559855534	5.5388909142	5.5370820610	5.5413643991	5.4879437955	5.6283626944	5.7804351087	5.8608684526	5.9555539304	6.0277798953	6.1583196008	6.4805079770	6.6003894587	6.5788487037	6.6888549555	6.6411688947	6.7962641725	6.6900436317	6.6119690336	6.5406832826	6.4804972702	6.3806959296	6.3581485558	6.2860466917	6.2712317900	6.1302040836	6.0855223060	6.0292471978	5.9988275784	5.8249528077	5.8633110300	5.6643475443	5.6573236240	5.5348556922	5.5238470425	5.4423392940	5.4397023249	5.4103130111	5.5693394862	5.5405318344	5.6289010459	5.7711950044	5.8409607025	5.9774659877	6.1382632722	6.2783728343	6.3815439851	6.5650525414	6.5660807864	6.8095732309	6.9450306963	7.1606998722	7.2737512964	7.3384898894	7.4929631734	7.7285127249	7.9020920188	7.8852954648	7.8436160996	8.1092534640	8.2009925662	8.3640194366	8.7258728722	8.9678393182	9.2893561539	9.1767984195	9.2383033824	9.2204614516	9.2797514224	9.2695665829	9.1873872533	9.2995012721	9.3367540368	9.5858480882	9.4905759294	9.4723860973	9.5238031213	9.4191181765	9.4714933038	9.4726469571	9.2748345486	9.4092330803	9.2437488259	9.3947846366	9.4820555231	9.4997826344	9.4911042987	9.5421348102	9.8175076977	9.7955448060	9.9791500952	9.9233774313	10.1671400853	10.3704315876	10.6941599661	10.8830295044	11.0475018581	11.1682258544	11.5301646556	11.7238578167	12.0569383279	12.1852343463	12.1650827908	12.7369514153	12.8434944352	13.2618344695	13.3067811912	13.6585856588	14.2557753871	15	2071	31.5000000000	64	128.9800000000	0	2017-198	19:17:41.351
0186	0.0640000000	0.0000000000	5.0798539097	4.9015834755	4.6618546967	4.4151373693	4.2236377410	4.1201525669	4.0081740577	4.0995737124	4.1789497838	4.2385979755	4.3938445136	4.4638958211	4.4682623219	4.4918225586	4.5157020235	4.4895020395	4.4491296168	4.2023361414	4.1188462201	3.9805076382	3.8042749393	3.6310237627	3.4682951882	3.2046405699	3.1237280910	2.9978507069	2.9146337002	2.8079786820	2.7390390778	2.7373367636	2.7621318366	2.7062922038	2.7602357488	2.7811127802	2.8665509409	2.9200378106	3.0205231409	3.1162748569	3.2065238105	3.2708920806	3.3040905986	3.3525461784	3.4199293617	3.3683958910	3.3504301334	3.3331616626	3.3647805707	3.3324111517	3.2671333425	3.2893068825	3.1941653337	3.1916745828	3.1467189313	3.1199524333	3.0499806573	2.9825668520	2.9818382065	2.9159425029	2.9419301767	2.9133633648	2.8320098004	2.8504449367	2.7883053813	2.8066155583	2.8084876874	2.8004678622	2.8670903656	2.8034439068	2.8412858340	2.8957995355	2.9377734564	2.9816948020	2.9868018791	3.0699699268	3.1684713256	3.2787239875	3.2674592868	3.3448829140	3.4643205540	3.5887804680	3.7665961997	3.7133918137	3.8004196809	3.8825292596	3.8725683394	4.0220272064	4.0351721679	4.0833780221	4.1297744235	4.1820097183	4.3936989994	4.4996572386	4.5645840715	4.6424052197	4.5974134071	4.6265908387	4.6453341124	4.6785308256	4.7090294398	4.6994468090	4.7740113764	4.8320900113	4.8801486847	4.7530762673	4.7787660677	4.8270043126	4.6412781150	4.7087234587	4.7252866715	4.6443965375	4.6437771625	4.6589589038	4.6858670126	4.8110155426	4.8183011581	4.7936357004	4.8175926041	4.8977724030	4.9779250557	5.0443621703	5.1015651295	5.1730148698	5.2538232495	5.3716809321	5.5820547667	5.6701492222	5.8056063490	5.9445854887	5.8742602214	6.1211622443	6.1624197600	6.2426826031	6.3688973701	6.4534202416	6.7798034052	6.9428440166	7.2529616142	15	2078	30.5000000000	65	130.9500000000	0	2017-198	19:17:43.457
0186	0.0640000000	0.0000000000	5.1159102665	4.8044609867	4.6672967325	4.4151373693	4.2832930094	4.1395696635	4.0513437246	4.0466881461	4.1936008390	4.2986366166	4.3376034348	4.4273808665	4.5210560711	4.5449911704	4.5898873305	4.5314238107	4.4336796943	4.4032342371	4.1091133322	3.9383344928	3.8446118743	3.6651619978	3.4236745773	3.2162058422	3.1163926495	2.9872898620	2.9078441532	2.8278013871	2.7357929362	2.7469693716	2.7300858671	2.7803406989	2.7830051403	2.8538636276	2.9240270022	2.9616234734	3.0454584100	3.1199314608	3.2177618114	3.2364242270	3.2456525600	3.2539183244	3.3523750445	3.3604273171	3.4060824117	3.3371150470	3.3726200445	3.3013763965	3.2901773774	3.2893068825	3.1715287500	3.1841897771	3.1208118465	3.1455492827	3.0391514008	3.0039380166	2.9888684396	2.9263408002	2.9076813044	2.8490882706	2.8219658352	2.7973139987	2.7355416612	2.7836108899	2.7756593448	2.7971812637	2.7978570427	2.7934905099	2.8513490756	2.8855975022	2.9619838036	3.0415194330	3.0154383163	3.1282574976	3.1498874365	3.2559102885	3.3687364783	3.3967994552	3.5257815103	3.5761346702	3.6455236850	3.7619533696	3.7734506338	3.8688245868	3.8910336735	3.9239702091	4.0493426827	4.1217130757	4.1639322541	4.2469194582	4.4244615628	4.4996572386	4.5645840715	4.6640076237	4.6300208332	4.6647644354	4.6999181241	4.6894677092	4.7200138030	4.6828814180	4.7740113764	4.7761386296	4.8014799314	4.7755872255	4.7506585560	4.7039664585	4.6690629788	4.6369634073	4.6044662503	4.6717692660	4.6328257877	4.6479779282	4.7355116867	4.7498913172	4.8294933133	4.7992777743	4.7948022929	4.9035289890	4.9488000758	5.0266464300	5.0775716804	5.0876084016	5.3097772896	5.4034235776	5.4654470914	5.6304401630	5.7178043031	5.8550408600	5.9303362005	6.1068897087	6.2786064720	6.4350720571	6.4443971523	6.4920065445	6.6928945986	6.9185116193	7.1028729094	15	2071	31.5000000000	66	133.1100000000	0	2017-198	19:17:45.469
0186	0.0640000000	0.0000000000	5.1399478377	4.9244358258	4.6890648759	4.3943882026	4.3031780989	4.0813183737	4.0993100211	4.0947659336	4.1105781927	4.2686172961	4.3785060376	4.4012987560	4.4682623219	4.5396743092	4.5104030731	4.4266193828	4.4748794875	4.3078076416	4.1529113276	3.9898794483	3.7863474127	3.6779638360	3.4723516074	3.2354812960	3.1200603703	2.9168842296	2.8806859653	2.8410165239	2.7357929362	2.7630237184	2.7236766732	2.7610237002	2.7569829786	2.8207950606	2.9037413335	2.9754853610	3.0561449539	3.0979918374	3.2102698108	3.2632325576	3.2846112524	3.3249303793	3.3285323443	3.3166001604	3.3623556216	3.3450218159	3.3177437276	3.2936177077	3.3247434298	3.2474396481	3.1715287500	3.1692201657	3.1060077981	3.1089823550	3.0824684265	3.0039380166	3.0275347215	2.9506034937	2.8768573194	2.8660027691	2.8621416958	2.8637276712	2.8278781713	2.8164747020	2.7658108420	2.8234740518	2.7813729182	2.8133973037	2.8278681785	2.8141832693	2.9066458671	2.9676184182	2.9868018791	3.0881847927	3.1461706586	3.2445034390	3.3219931592	3.4007930353	3.5011971277	3.5508430746	3.7752442364	3.7398799351	3.8543577750	3.8962339325	3.9464296759	3.9753333982	4.0021076335	4.1265049573	4.1444134938	4.2069750029	4.3424280605	4.4629362199	4.5592444711	4.5992004117	4.5865442650	4.6538576934	4.5907501006	4.6019726408	4.6980450767	4.6221416511	4.7184143459	4.7034018334	4.7452879647	4.7699594859	4.7506585560	4.7039664585	4.7579745429	4.6811234389	4.6703682983	4.5951256262	4.6547285373	4.6699398794	4.7244795369	4.6387563619	4.7623403821	4.8105619220	4.8574756487	4.9610948484	4.9779250557	5.0856988976	5.1255585786	5.1608139457	5.3408628675	5.3399382865	5.5172727248	5.5973492803	5.7178043031	5.9170332952	5.9583741901	6.0640721020	6.1914664380	6.4202728684	6.3990972830	6.5768964107	6.6612913962	6.9022900212	7.2112703073	15	2073	30.0000000000	67	135.0400000000	0	2017-198	19:17:47.404
