SN	INTTIME(LU)	SAMPLE(DELAY)	LU(348.98)	LU(352.30)	LU(355.63)	LU(358.95)	LU(362.28)	LU(365.61)	LU(368.93)	LU(372.26)	LU(375.59)	LU(378.92)	LU(382.25)	LU(385.58)	LU(388.91)	LU(392.24)	LU(395.57)	LU(398.90)	LU(402.23)	LU(405.56)	LU(408.90)	LU(412.23)	LU(415.56)	LU(418.90)	LU(422.23)	LU(425.57)	LU(428.90)	LU(432.24)	LU(435.57)	LU(438.91)	LU(442.25)	LU(445.58)	LU(448.92)	LU(452.26)	LU(455.59)	LU(458.93)	LU(462.27)	LU(465.61)	LU(468.95)	LU(472.28)	LU(475.62)	LU(478.96)	LU(482.30)	LU(485.64)	LU(488.98)	LU(492.32)	LU(495.66)	LU(499.00)	LU(502.34)	LU(505.68)	LU(509.02)	LU(512.36)	LU(515.70)	LU(519.04)	LU(522.38)	LU(525.72)	LU(529.06)	LU(532.40)	LU(535.74)	LU(539.08)	LU(542.42)	LU(545.76)	LU(549.10)	LU(552.44)	LU(555.78)	LU(559.13)	LU(562.47)	LU(565.81)	LU(569.15)	LU(572.49)	LU(575.83)	LU(579.17)	LU(582.50)	LU(585.84)	LU(589.18)	LU(592.52)	LU(595.86)	LU(599.20)	LU(602.54)	LU(605.88)	LU(609.21)	LU(612.55)	LU(615.89)	LU(619.23)	LU(622.56)	LU(625.90)	LU(629.24)	LU(632.57)	LU(635.91)	LU(639.25)	LU(642.58)	LU(645.92)	LU(649.25)	LU(652.58)	LU(655.92)	LU(659.25)	LU(662.59)	LU(665.92)	LU(669.25)	LU(672.58)	LU(675.91)	LU(679.24)	LU(682.58)	LU(685.91)	LU(689.23)	LU(692.56)	LU(695.89)	LU(699.22)	LU(702.55)	LU(705.88)	LU(709.20)	LU(712.53)	LU(715.85)	LU(719.18)	LU(722.50)	LU(725.83)	LU(729.15)	LU(732.47)	LU(735.79)	LU(739.11)	LU(742.44)	LU(745.76)	LU(749.07)	LU(752.39)	LU(755.71)	LU(759.03)	LU(762.35)	LU(765.66)	LU(768.98)	LU(772.29)	LU(775.60)	LU(778.92)	LU(782.23)	LU(785.54)	LU(788.85)	LU(792.16)	LU(795.47)	LU(798.78)	LU(802.08)	DARK_SAMP(LU)	DARK_AVE(LU)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0174	0.2560000000	0.0000000000	0.0020223241	0.0020530778	0.0010755207	0.0013594769	0.0019689723	0.0004745719	0.0017805305	0.0011769613	0.0011763217	-0.0001240356	0.0010282514	0.0015654647	0.0012179228	0.0015550656	0.0018147432	0.0018872132	0.0016699665	0.0015317399	0.0018285932	0.0011694754	0.0012644215	0.0009182107	0.0014791376	0.0007270188	0.0006123313	0.0007430987	0.0000126801	0.0010740765	0.0005887562	0.0013003739	0.0012031713	0.0008177209	0.0011226009	0.0006821000	0.0014699461	0.0009913188	0.0011355180	0.0013287309	0.0010127997	0.0014036630	0.0012254015	0.0010405981	0.0007269028	0.0007297535	0.0005524217	0.0015462797	0.0013491671	0.0006705469	0.0008228938	0.0009692774	0.0007255967	0.0009104898	0.0010624543	0.0007679176	0.0003624183	0.0004740676	0.0009758534	0.0007313522	0.0010879348	0.0009425464	0.0006261843	0.0008532894	0.0005406597	0.0017920966	0.0008867105	0.0013930758	0.0008274257	0.0012698115	0.0013096408	0.0005513752	0.0014119736	0.0004819848	0.0010398853	0.0008372627	0.0011358828	0.0016820610	0.0016521216	0.0014549953	0.0008252089	0.0019419530	0.0008523759	0.0016613784	0.0008921779	0.0015472651	0.0010949460	0.0004566531	0.0016786203	0.0006799034	0.0010531390	0.0011984637	0.0021856365	0.0021270268	0.0009148753	0.0022889062	0.0020988928	0.0018116317	0.0015578348	0.0014189371	0.0016996912	0.0010297873	0.0014652024	0.0020876622	0.0013408605	0.0020723144	0.0011676292	0.0011497456	0.0008495967	0.0002726076	0.0019462832	0.0009899976	0.0017354355	0.0014682488	0.0024153767	0.0016741418	0.0006931374	0.0012364164	0.0004862001	0.0015307292	0.0012377999	0.0024321928	0.0013717403	0.0011767123	0.0013066768	0.0012385859	0.0019432717	0.0017464994	0.0024905043	0.0013042760	0.0010263364	0.0025775170	0.0014539787	0.0026596323	0.0004035414	0.0014438166	0.0023292508	0.0020649491	0.0030088972	15	1288	34.5000000000	96	241.1600000000	0	2017-198	19:19:33.838
0174	0.2560000000	0.0000000000	0.0015448541	0.0019963441	0.0021733268	0.0018491628	0.0013617249	0.0024609405	0.0016630192	0.0018431087	0.0016070735	0.0023566763	0.0019544928	0.0008343946	0.0026453155	0.0017273911	0.0026973198	0.0017295030	0.0016699665	0.0014846196	0.0011172513	0.0016730171	0.0016221416	0.0006912585	0.0014067551	0.0009720655	0.0014320520	0.0006420335	0.0009880709	0.0016832127	0.0008289388	0.0010556010	0.0012745550	0.0011824492	0.0008251050	0.0004549101	0.0010076868	0.0004820260	0.0009764317	0.0017728120	0.0015842649	0.0009512665	0.0007723728	0.0016146760	0.0012561515	0.0013732396	0.0012648663	0.0017017511	0.0008928278	0.0004475640	0.0011859298	0.0000087515	0.0010047126	0.0004989845	0.0009272605	0.0010687864	0.0009925379	0.0015644098	0.0005799696	0.0013262161	0.0010216802	0.0008093431	0.0015318990	0.0006501494	0.0013292931	0.0006094701	0.0013459446	0.0015007157	0.0008639292	0.0011585287	0.0016112363	0.0013543489	0.0014119736	0.0013046182	0.0006825091	0.0010389739	0.0009718328	0.0011807140	0.0013542581	0.0007180693	0.0007369323	0.0006842114	0.0010808704	0.0015685199	0.0007033472	0.0006843442	0.0006081519	0.0002587965	0.0013273290	0.0007816701	0.0025498082	0.0007797681	0.0011788214	0.0025018332	0.0012928783	0.0021259174	0.0008438352	0.0018116317	0.0013385758	0.0009241891	0.0023064873	0.0011405529	0.0012983736	0.0004113637	0.0015087689	0.0011212752	-0.0001713951	0.0007611304	0.0008495967	0.0008225524	0.0006855596	0.0014826154	0.0020644072	0.0014682488	0.0022498757	0.0010089860	0.0015839880	0.0011804724	0.0012742068	0.0012471138	0.0006645852	0.0012696045	0.0006036555	0.0010561598	0.0006899707	0.0006692666	0.0018783402	0.0000783369	0.0013933356	0.0012338583	0.0005931917	0.0015418051	0.0019093194	0.0029710737	0.0023240240	0.0014438166	0.0029229282	0.0017146609	0.0022848649	15	1287	34.5000000000	97	243.9500000000	0	2017-198	19:19:36.568
0174	0.2560000000	0.0000000000	0.0014254866	0.0017126758	0.0014597528	0.0017947533	0.0008096817	0.0021771736	0.0011929742	0.0019036676	0.0024070411	0.0013643915	0.0024484882	-0.0002622105	0.0019910938	0.0021869259	0.0012631327	0.0025706242	0.0008226979	0.0011547774	0.0012061691	0.0005820102	0.0018606217	0.0012586390	0.0013343725	0.0005869920	0.0006806414	0.0008441639	0.0005508268	0.0004649402	0.0008632506	0.0008457955	0.0007748695	0.0011095036	0.0015688448	0.0009850200	0.0009306436	0.0007170842	0.0010957464	0.0010057629	0.0011760754	0.0011980283	0.0015136925	0.0014916593	0.0014597087	0.0013732396	0.0014627676	0.0014296761	0.0021477608	0.0005218916	0.0013311443	0.0007202521	0.0005162598	0.0011505346	0.0001836946	0.0014030851	0.0001634331	0.0006062303	0.0003820278	0.0004008722	0.0005578975	0.0004097333	0.0008609992	0.0009887160	0.0007463901	0.0015486146	0.0008867105	0.0015365957	0.0006814115	0.0012327172	0.0015735369	0.0009337437	0.0012184359	0.0013829642	0.0011987191	0.0004338404	0.0017510707	0.0016402821	0.0015244658	0.0008914637	0.0017521123	0.0021216303	0.0008066770	0.0012899443	0.0009865932	0.0001570037	0.0009975872	0.0010996872	0.0014778824	0.0010869702	0.0013627947	0.0009367790	0.0012318117	0.0015915889	0.0017248817	0.0020715878	0.0019897573	0.0011554415	0.0016126495	0.0013089931	0.0014238747	0.0013620839	0.0004642292	0.0009701298	0.0007811658	0.0019604274	0.0013907999	0.0018714593	0.0016783637	0.0021974143	0.0015077706	0.0014278801	0.0018999214	0.0010284888	0.0015878717	0.0012307046	0.0015839880	0.0016280237	0.0010490621	0.0020412370	0.0008938711	0.0022578045	0.0023170754	0.0017794744	0.0021083947	0.0014283591	0.0024627242	0.0016130464	0.0012561895	0.0028534646	0.0016760535	0.0017637434	0.0031235612	0.0030489341	0.0030442049	0.0014438166	0.0024140618	0.0018898050	0.0021943609	15	1286	34.5000000000	98	246.7400000000	0	2017-198	19:19:39.376
0174	0.2560000000	0.0000000000	0.0020223241	0.0015992085	0.0023928881	0.0014138865	0.0031834673	0.0014961329	0.0020155530	0.0022064619	0.0014224656	0.0031008899	0.0010282514	0.0016263872	0.0015747710	0.0010380890	0.0015389379	0.0018346431	0.0015204485	0.0017202212	0.0019619698	0.0018408643	0.0013041682	0.0014099405	0.0015515202	0.0011120923	0.0009538816	0.0011136711	0.0007862659	0.0009048719	0.0007260034	0.0010206334	0.0013102468	0.0002341556	0.0014200969	0.0013636699	0.0010462084	0.0023233153	0.0016127768	0.0025398611	0.0009719807	0.0010335204	0.0012665860	0.0007535592	0.0012968630	0.0012525860	0.0011857058	0.0004579799	0.0008928278	0.0011536767	0.0008228938	0.0015384779	0.0015280550	0.0010133661	0.0008596636	0.0007010578	0.0007603885	0.0009035963	0.0005469793	0.0008635442	0.0012866988	0.0005429365	0.0009951792	0.0009210027	0.0011921395	0.0013399158	0.0015225732	0.0011777960	0.0004258868	0.0011585287	0.0014981380	0.0008955068	0.0017216340	0.0007953689	0.0008810514	0.0007565783	0.0011768954	0.0013060508	0.0003755634	0.0013682981	0.0010017619	0.0001900987	0.0016292573	0.0011970858	0.0009865932	0.0016431452	0.0003160754	0.0019405780	0.0011767756	0.0012905037	0.0015692318	0.0012508006	0.0000660259	0.0009490635	0.0007528740	0.0009849957	0.0014986478	0.0008820290	0.0015030201	0.0013639651	0.0017548545	0.0012513184	0.0009647158	0.0021994154	0.0017886162	0.0019044839	0.0012234218	0.0015938771	0.0010153501	0.0002176131	0.0010144440	0.0010447329	0.0006388631	0.0012483688	0.0007051997	0.0007318377	-0.0001977132	0.0009566968	0.0021747859	0.0005097137	0.0016390503	0.0013277339	0.0017262410	0.0012972647	0.0010599944	0.0024404824	0.0010342299	0.0012126874	0.0009133243	0.0015155290	0.0010985272	0.0025775170	0.0027441106	0.0017253079	0.0020839636	0.0014438166	0.0032621724	0.0010140844	0.0010178084	15	1284	35.0000000000	99	249.5300000000	0	2017-198	19:19:42.200
0174	0.2560000000	0.0000000000	0.0023207428	0.0023367461	0.0018988753	0.0016859342	0.0016377464	0.0012691193	0.0010167074	0.0009952848	0.0020993613	0.0009922848	0.0016457456	0.0022965348	0.0015747710	0.0023592514	0.0017595821	0.0029911848	0.0012214125	0.0017202212	0.0014284634	0.0007918192	0.0010656881	0.0003130049	0.0007915033	0.0006920121	0.0008172615	0.0010799827	0.0005844609	0.0007356674	0.0004515090	0.0012654064	0.0009176368	0.0014377591	0.0010854139	0.0012879400	0.0010847300	0.0005212024	0.0010162033	0.0007231658	0.0010944375	0.0009923935	0.0010606638	0.0012866315	0.0012154401	0.0011721502	0.0012648663	0.0013519404	0.0010829692	0.0008935299	0.0010770190	0.0006491021	0.0003767018	0.0010476582	0.0007920667	0.0009684968	0.0010257021	0.0008375150	0.0012397758	0.0010287842	0.0012866988	0.0005762374	0.0004584594	0.0008532894	0.0004035060	0.0006790363	0.0006747563	0.0006037164	0.0009369363	0.0007504916	0.0012719414	0.0017367173	0.0007926530	0.0020880785	0.0008413429	0.0006758938	0.0009718328	0.0008047038	0.0011414984	0.0002845835	0.0012665914	0.0012232435	0.0018120529	0.0012435150	0.0013642546	0.0015952051	0.0007541901	0.0013964722	0.0002232707	0.0010869702	0.0004854369	0.0007797681	0.0009668604	0.0000923630	0.0011308770	0.0009849957	0.0018806219	0.0012101240	0.0012837611	0.0020236290	0.0010377317	0.0021928256	0.0018544698	0.0012495129	0.0025721887	0.0015688230	0.0021718974	0.0005390647	0.0007943456	0.0012625082	0.0011788862	0.0015920861	0.0010774920	0.0009185488	0.0024153767	0.0012307046	0.0018623788	0.0012923603	0.0011053483	0.0013605599	0.0010085140	0.0008626986	0.0010763231	0.0017794744	0.0021083947	0.0021241938	0.0019432717	0.0016130464	0.0021476391	0.0019380350	0.0010985272	0.0000622167	0.0013780886	0.0022703304	0.0020039435	0.0028435020	0.0023292508	0.0036412461	0.0026468811	15	1282	35.0000000000	100	252.3200000000	0	2017-198	19:19:44.899
0174	0.2560000000	0.0000000000	0.0026191616	0.0015992085	0.0026124493	0.0017947533	0.0024658112	0.0024609405	0.0027206205	0.0019036676	0.0022224332	0.0027287831	0.0009665020	0.0011390072	0.0016342457	0.0016699493	0.0012631327	0.0008883817	0.0011715732	0.0011547774	0.0016062989	0.0009596664	0.0015823949	0.0015234166	0.0013343725	0.0012521190	0.0007831065	0.0008778523	0.0009208026	0.0007695083	0.0011720568	0.0008807631	0.0008462531	0.0013648134	0.0012341619	0.0012879400	0.0011232516	0.0011088479	0.0015730052	0.0009653919	0.0017475407	0.0008278856	0.0006076351	0.0010405981	0.0010525943	0.0014938933	0.0011065453	0.0011187333	0.0008167713	0.0004104001	0.0008955010	0.0009337023	0.0014582760	0.0005332766	0.0007244698	0.0006676280	0.0006277318	0.0012009624	0.0007449212	0.0010618322	0.0009554255	0.0009092455	0.0013306291	0.0007855761	0.0005063713	0.0013399158	0.0008160591	0.0006395964	0.0009734398	0.0007504916	0.0007064498	0.0011631647	0.0015668038	0.0007170229	0.0015560953	0.0008776050	0.0010948703	0.0005958092	0.0006734270	0.0011949038	0.0008693471	0.0008638888	0.0008980748	0.0014292321	0.0012226316	0.0014513850	0.0015817402	0.0007534381	0.0017288047	0.0015449204	0.0020337154	0.0016694962	0.0012318117	0.0028230959	0.0010768766	0.0021259174	0.0022625959	0.0006086164	0.0013385758	0.0012540211	0.0013687115	0.0003098112	0.0012983736	0.0015847726	0.0008931048	0.0024079753	0.0015023852	0.0017604264	0.0014573592	0.0018674474	0.0015077706	0.0014278801	0.0021192358	0.0008086088	0.0006500327	-0.0005430443	0.0009158501	0.0022993506	0.0017244964	0.0025517447	0.0007219067	0.0015021222	0.0012535734	0.0012369885	0.0019850535	0.0005427511	0.0023328611	0.0016797729	0.0017362008	0.0013746937	0.0012429088	0.0022076199	0.0013021985	0.0032046548	0.0016838631	0.0007851412	0.0030925503	0.0023276652	0.0012893205	15	1284	34.5000000000	101	255.1100000000	0	2017-198	19:19:47.785
0174	0.2560000000	0.0000000000	0.0013061191	0.0016559421	0.0012401916	0.0025564869	0.0023554026	0.0022339270	0.0020743086	0.0010558436	0.0014840015	0.0016744805	0.0015839962	0.0010780847	0.0010989734	0.0014401819	0.0004357171	0.0014140825	0.0017696452	0.0012490181	0.0015618400	0.0019247879	0.0018606217	0.0012208136	0.0009000771	0.0011120923	0.0013637419	0.0008441639	0.0004162901	0.0003972584	0.0007260034	0.0010206334	0.0005607185	0.0008177209	0.0006763570	0.0009850200	0.0007765571	0.0009913188	0.0011752896	0.0010865049	0.0011352565	0.0013214091	0.0014313237	0.0011636148	0.0010525943	0.0010112787	0.0015815084	0.0001859049	0.0011970540	0.0010050214	0.0003872505	0.0007914022	-0.0001815300	0.0006361529	0.0010286558	0.0009684968	0.0013573439	0.0002758235	0.0012727662	0.0008635442	0.0010216802	0.0007094406	0.0007939093	0.0012257127	0.0006778133	0.0008529520	0.0011693161	0.0015365957	0.0010099433	0.0008246801	0.0015735369	0.0015072963	0.0015280963	0.0009912340	0.0010795937	0.0010793162	0.0011768954	0.0010135983	0.0010989464	0.0013682981	0.0018403888	0.0015376789	0.0020862463	0.0016149491	0.0003728934	0.0003967039	0.0006081519	0.0011491514	0.0008254843	0.0012905037	0.0012079669	0.0015124854	0.0017617143	0.0022341143	0.0019948839	0.0011479845	0.0023171636	0.0012101240	0.0012837611	0.0010341331	0.0013135482	0.0020266772	0.0007978869	0.0010818831	0.0019565246	0.0020163709	0.0011676292	0.0017604264	0.0017888660	0.0012625082	0.0023299817	0.0005521151	0.0019547500	0.0011933988	0.0018085397	0.0024501570	0.0014726317	0.0020755750	0.0013304930	0.0015307292	0.0012377999	0.0013858633	0.0015489906	0.0009958836	0.0003199471	0.0011120705	0.0008394352	0.0014795934	0.0021476391	0.0029943000	0.0035530139	0.0020596610	0.0024405502	0.0023481908	0.0012037425	0.0009498100	0.0013963292	0.0025903814	0.0023753690	15	1286	34.0000000000	102	257.9000000000	0	2017-198	19:19:50.515
0174	0.2560000000	0.0000000000	0.0016045379	0.0022800124	0.0012950819	0.0019579819	0.0018585637	0.0022339270	0.0026031093	0.0013586379	0.0025301131	0.0010543026	0.0012134997	0.0025402248	0.0014558216	0.0012104145	0.0010424886	0.0015192227	0.0007230192	0.0016259805	0.0017841344	0.0010855518	0.0011451814	0.0013721151	0.0010448423	0.0008670455	0.0013978970	0.0015853087	0.0010553393	0.0008710310	0.0008632506	0.0009506982	0.0004893349	0.0004165197	0.0009366660	0.0011364800	0.0017010757	0.0014222589	0.0013343758	0.0011672469	0.0008903428	0.0016092978	0.0010606638	0.0014096482	0.0008083257	0.0006090998	0.0012648663	0.0002636406	0.0018055064	0.0006705469	0.0011133226	0.0016452030	0.0005860388	0.0008076135	0.0008596636	0.0011022163	0.0008598811	0.0010357590	0.0005799696	0.0007974482	0.0007235341	0.0006761398	0.0006597293	0.0004131528	0.0017407541	0.0012355664	0.0012046418	0.0007831163	0.0011924610	0.0018262258	0.0005933515	0.0012014015	0.0007152379	0.0006778499	0.0009207599	0.0007162360	0.0008487952	0.0004286935	0.0017797775	0.0013249496	0.0017079740	0.0015825982	0.0018120529	0.0013828028	0.0010810086	0.0014513850	0.0007055107	0.0005061173	0.0004741930	0.0006290200	0.0000725627	0.0011984637	0.0018676949	0.0022341143	0.0008608748	0.0012566437	0.0018806219	0.0020850443	0.0012837611	0.0013089931	0.0023064873	0.0015836150	0.0029666623	0.0021435388	0.0018445857	0.0007296708	0.0012792145	0.0018159429	0.0004628388	0.0010425303	0.0016173988	0.0010994682	0.0011871493	0.0013583088	0.0019188737	0.0005655488	0.0018067007	0.0014042481	0.0011616345	-0.0003978557	0.0015817288	0.0014439928	0.0006627390	0.0011164361	0.0012450062	0.0020609361	0.0012939561	0.0013461404	0.0027647964	0.0017971997	0.0029754876	0.0024295582	0.0019852095	0.0011024249	0.0014438028	0.0030081709	0.0010570850	0.0010140844	0.0021038569	15	1286	34.5000000000	103	260.6900000000	0	2017-198	19:19:53.323
0174	0.2560000000	0.0000000000	0.0025594778	0.0018261431	0.0017342044	0.0009242005	0.0018585637	0.0006448320	0.0013104855	0.0012980791	0.0024685771	0.0014884271	0.0013987480	0.0027839148	0.0009205493	0.0009806472	0.0017044211	0.0022026337	0.0010718945	0.0010134165	0.0012950868	0.0012114372	0.0015029016	0.0006534332	0.0009000771	0.0010770856	0.0011588118	0.0011473595	0.0004499243	0.0011079174	0.0011377450	0.0013003739	0.0008819449	0.0001612099	0.0012341619	0.0009471550	0.0010076868	0.0004820260	0.0007775739	0.0018131830	0.0012577133	0.0007867587	0.0011018482	0.0007125536	0.0016632659	0.0007699714	0.0009878045	0.0007689227	0.0005505733	0.0002989087	0.0008955010	0.0011827276	0.0006209283	0.0014934557	0.0016032295	0.0013027955	0.0005945676	0.0011679217	0.0009758534	0.0004008722	0.0007235341	0.0004097333	0.0007939093	0.0007855761	0.0006778133	0.0012355664	0.0000742193	0.0012136760	0.0009369363	0.0007504916	0.0009703459	0.0010102173	0.0013345586	0.0008345420	0.0005236752	0.0005145249	0.0009308202	0.0012224929	0.0010989464	0.0012816010	0.0009134854	0.0011783242	0.0014464617	0.0013363736	0.0008921779	0.0015952051	0.0015330607	0.0011491514	0.0016786203	0.0009852035	0.0020337154	0.0013031376	0.0017617143	0.0019128516	0.0012928783	0.0025062246	0.0019351896	0.0008820290	0.0010096874	0.0004844132	0.0016445279	0.0009744045	0.0013539832	0.0012495129	0.0011729521	0.0016807100	0.0016139706	0.0019269758	0.0009600990	0.0012625082	0.0012885143	0.0009352623	0.0010226634	0.0013033388	0.0023050427	0.0007872674	0.0015283099	0.0025790702	0.0001484830	0.0020412370	0.0012377999	0.0019671575	0.0008399893	0.0023219604	0.0029717832	0.0017446476	0.0025276558	0.0016797729	0.0033819538	0.0014451113	0.0018926258	0.0016157845	0.0011504182	0.0020367493	0.0029641848	0.0020201577	0.0014811402	0.0018898050	0.0034614174	15	1281	35.0000000000	104	263.4800000000	0	2017-198	19:19:56.146
0174	0.2560000000	0.0000000000	0.0016045379	0.0018261431	0.0006363982	0.0015227055	0.0024106069	0.0012691193	0.0016630192	0.0019036676	0.0032070088	0.0022326407	0.0011517503	0.0024793023	0.0019316191	0.0026464606	0.0020905484	0.0009935219	0.0012712519	0.0013903790	0.0014729223	0.0006659338	0.0010259414	0.0004643063	0.0008638859	0.0011120923	0.0006806414	0.0008104755	0.0003490218	0.0010063947	0.0004858208	0.0013353415	0.0010247122	0.0009271394	0.0016804058	0.0004549101	0.0008921219	0.0011872006	0.0014934621	0.0015709570	0.0007678860	0.0023495830	0.0007723728	0.0017376926	0.0018668232	0.0003677925	0.0009086440	0.0012742047	0.0016153650	0.0007448746	0.0004598578	0.0010760025	0.0009698232	0.0009790740	0.0003864853	0.0008013474	0.0007272243	0.0007714336	0.0005799696	0.0007313522	0.0007235341	0.0003098308	0.0006261843	0.0007855761	0.0011235627	0.0011312171	0.0007100820	0.0011060360	0.0003528797	0.0010472458	0.0012719414	0.0009337437	0.0013345586	0.0004819848	0.0013972615	0.0013213696	0.0007667701	0.0020162924	0.0006734270	0.0005880236	0.0010459001	0.0018970336	0.0008066770	0.0002220712	0.0010810086	0.0013555049	0.0010462666	0.0008029023	0.0010764067	0.0016466871	0.0017756690	0.0013031376	0.0005959285	0.0013238700	0.0009688757	0.0014196325	0.0009529707	0.0002805213	0.0016674643	0.0010341331	0.0015342013	0.0008636390	0.0007978869	0.0013612661	0.0013408605	0.0023520318	0.0009444585	0.0014828442	0.0016231126	0.0017574585	0.0012885143	0.0004973798	0.0009130062	0.0015781889	0.0017533727	0.0005655488	0.0006374593	0.0007888651	0.0011616345	0.0012471138	0.0025561939	-0.0001255014	0.0024352423	0.0019000269	0.0015533592	0.0007957820	0.0007745037	0.0020801319	0.0004333130	0.0008113523	0.0006653825	0.0017637434	0.0024405502	0.0014138664	0.0025640843	0.0014438166	0.0032621724	0.0012768006	0.0020133528	15	1287	35.5000000000	105	266.2700000000	0	2017-198	19:19:58.830
