SN	INTTIME(LI)	SAMPLE(DELAY)	LI(348.08)	LI(351.41)	LI(354.74)	LI(358.07)	LI(361.40)	LI(364.73)	LI(368.06)	LI(371.39)	LI(374.72)	LI(378.06)	LI(381.39)	LI(384.72)	LI(388.06)	LI(391.39)	LI(394.73)	LI(398.07)	LI(401.40)	LI(404.74)	LI(408.08)	LI(411.42)	LI(414.76)	LI(418.10)	LI(421.44)	LI(424.78)	LI(428.12)	LI(431.46)	LI(434.80)	LI(438.14)	LI(441.48)	LI(444.83)	LI(448.17)	LI(451.51)	LI(454.86)	LI(458.20)	LI(461.54)	LI(464.89)	LI(468.23)	LI(471.58)	LI(474.92)	LI(478.27)	LI(481.62)	LI(484.96)	LI(488.31)	LI(491.66)	LI(495.00)	LI(498.35)	LI(501.70)	LI(505.04)	LI(508.39)	LI(511.74)	LI(515.09)	LI(518.43)	LI(521.78)	LI(525.13)	LI(528.48)	LI(531.83)	LI(535.17)	LI(538.52)	LI(541.87)	LI(545.22)	LI(548.57)	LI(551.92)	LI(555.26)	LI(558.61)	LI(561.96)	LI(565.31)	LI(568.66)	LI(572.01)	LI(575.35)	LI(578.70)	LI(582.05)	LI(585.40)	LI(588.74)	LI(592.09)	LI(595.44)	LI(598.79)	LI(602.13)	LI(605.48)	LI(608.83)	LI(612.17)	LI(615.52)	LI(618.86)	LI(622.21)	LI(625.55)	LI(628.90)	LI(632.24)	LI(635.59)	LI(638.93)	LI(642.28)	LI(645.62)	LI(648.96)	LI(652.31)	LI(655.65)	LI(658.99)	LI(662.33)	LI(665.67)	LI(669.01)	LI(672.35)	LI(675.69)	LI(679.03)	LI(682.37)	LI(685.71)	LI(689.05)	LI(692.39)	LI(695.72)	LI(699.06)	LI(702.39)	LI(705.73)	LI(709.06)	LI(712.40)	LI(715.73)	LI(719.07)	LI(722.40)	LI(725.73)	LI(729.06)	LI(732.39)	LI(735.72)	LI(739.05)	LI(742.38)	LI(745.71)	LI(749.03)	LI(752.36)	LI(755.69)	LI(759.01)	LI(762.34)	LI(765.66)	LI(768.98)	LI(772.30)	LI(775.63)	LI(778.95)	LI(782.27)	LI(785.58)	LI(788.90)	LI(792.22)	LI(795.53)	LI(798.85)	LI(802.16)	DARK_SAMP(LI)	DARK_AVE(LI)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0250	0.1280000000	0.0000000000	-0.5300295982	-0.4095452932	-0.3860741455	-0.4095869835	-0.3315883815	-0.3380476368	-0.3346536139	-0.2938228978	-0.3472782315	-0.3191992813	-0.3133691437	-0.3633540372	-0.3388405923	-0.3638149138	-0.3701034142	-0.3481676100	-0.3448667025	-0.3379073319	-0.3406381346	-0.3281312144	-0.3047412819	-0.3130380735	-0.2633393085	-0.2141505198	-0.2220215134	-0.2085195815	-0.2250729323	-0.2276337426	-0.1933900193	-0.2078535032	-0.2077392238	-0.1897885123	-0.2033302738	-0.2220218900	-0.2352958379	-0.2517553911	-0.2375533467	-0.2647212806	-0.2433074990	-0.2460268555	-0.2682269452	-0.2622510364	-0.2661895227	-0.2763380463	-0.2632054609	-0.2952194080	-0.2564454093	-0.2200781985	-0.2763803398	-0.2510534463	-0.2824840230	-0.2857349551	-0.2451294432	-0.2722773324	-0.2459631319	-0.1936397104	-0.2382478964	-0.2307454158	-0.2324748071	-0.2313689738	-0.2305277919	-0.2404353719	-0.2230544901	-0.1999831243	-0.2268727513	-0.2169721679	-0.2230080079	-0.2126565777	-0.2295804699	-0.2717488043	-0.2234869089	-0.2109339980	-0.2622158562	-0.2418462916	-0.2716759907	-0.2721687578	-0.2816297879	-0.3252808616	-0.3131928587	-0.2719022031	-0.3283969719	-0.3422944823	-0.3836348925	-0.3936211436	-0.3856331671	-0.3942854545	-0.3480337215	-0.3010886984	-0.3362936277	-0.3347193721	-0.3667137015	-0.3650885552	-0.3684630271	-0.4673772707	-0.3823685839	-0.3373790495	-0.3994437650	-0.3510453851	-0.3660713382	-0.3774686691	-0.3716468671	-0.4518722562	-0.4054584023	-0.3564834292	-0.4201220127	-0.3885610464	-0.4009837074	-0.4059812777	-0.4073791858	-0.4677176916	-0.3551451017	-0.3804414517	-0.4511194855	-0.3817732104	-0.4186142883	-0.4570593880	-0.4203664385	-0.5220668904	-0.4150471107	-0.4292944403	-0.5539327477	-0.4658675187	-0.5143443184	-0.5455337186	-0.4615836360	-0.5956018278	-0.4845462291	-0.4788341165	-0.6432534348	-0.5477027276	-0.6095480903	-0.6235891957	-0.5590809683	-0.6929781812	-0.5756442748	-0.5898317550	-0.8043244386	15	1055	47.5000000000	73	5485.1400000000	0	2017-198	19:33:17.690
0250	0.1280000000	0.0000000000	-0.4169466529	-0.5062828852	-0.3887908060	-0.3329144882	-0.3715542258	-0.2847593394	-0.3239008960	-0.3397130488	-0.2804203379	-0.3774352948	-0.3507325489	-0.3122160440	-0.3790711385	-0.3208343545	-0.3844131955	-0.3883573899	-0.2835313493	-0.4023930322	-0.3384545568	-0.2874466784	-0.3504773307	-0.2679462066	-0.2960258183	-0.2874911660	-0.1856939367	-0.2626131875	-0.2344373148	-0.1941451620	-0.2241164362	-0.1802661113	-0.2057273710	-0.2275806044	-0.1683346138	-0.2500573463	-0.2432011008	-0.2044483718	-0.2444038490	-0.2239675596	-0.2585370119	-0.2787610398	-0.2191766540	-0.3025973497	-0.2670360334	-0.2465034731	-0.2931726744	-0.2460292619	-0.2858794039	-0.2873603519	-0.2248663393	-0.3002841059	-0.2656672456	-0.2184631407	-0.2689262672	-0.2172332177	-0.2443657354	-0.2566819355	-0.2057114817	-0.2802526100	-0.2437153571	-0.1892714055	-0.2538858315	-0.2173619980	-0.2373778749	-0.2326044850	-0.1937858365	-0.2450385616	-0.2152728783	-0.1793908336	-0.2417717510	-0.2330034707	-0.2370005388	-0.2341871506	-0.2126093756	-0.2972350405	-0.2614547624	-0.2247726292	-0.3178204999	-0.3047225049	-0.3160891364	-0.3127849542	-0.2742869290	-0.3804746829	-0.3836348925	-0.3237850705	-0.4343410966	-0.3635860999	-0.3522337936	-0.3195913615	-0.3013652467	-0.3869213952	-0.3355865400	-0.3238628952	-0.4042941157	-0.3914174319	-0.4006029503	-0.3901414984	-0.3314364995	-0.4082527259	-0.3598156547	-0.3422489433	-0.4373903894	-0.4148876959	-0.4247659453	-0.4317810132	-0.3652227269	-0.4541761861	-0.4075689779	-0.3662559161	-0.4593076989	-0.4409561764	-0.4412705712	-0.4415936558	-0.4263560580	-0.4807818706	-0.4384501349	-0.4340066522	-0.5023503088	-0.4415403642	-0.4454080067	-0.4726460985	-0.4562768246	-0.5283716753	-0.5143443184	-0.4906401731	-0.5708839506	-0.5563143337	-0.5279149190	-0.5651235432	-0.5571493082	-0.5954016371	-0.5590006291	-0.5548033889	-0.6295555801	-0.6005323218	-0.6666195956	-0.6602275883	-0.6330598374	15	1054	46.0000000000	74	5487.2500000000	0	2017-198	19:33:19.764
0250	0.1280000000	0.0000000000	-0.5693627966	-0.4184749171	-0.3860741455	-0.3580530113	-0.3398166436	-0.3891155885	-0.3421805165	-0.2927556849	-0.3742370596	-0.3323847938	-0.3292202853	-0.3552184474	-0.3412070950	-0.3924686200	-0.3891831227	-0.3268906676	-0.3853711809	-0.3469579565	-0.2871404789	-0.3208288618	-0.2967871864	-0.3139774874	-0.2748237579	-0.2291520156	-0.2575593602	-0.2115247819	-0.1969797849	-0.2129824886	-0.1988524934	-0.2246750836	-0.2104216942	-0.2032856881	-0.2506773431	-0.2136112531	-0.2043934466	-0.2354936032	-0.2192853405	-0.2561003011	-0.2136500266	-0.2255679903	-0.3073009060	-0.2437589761	-0.2272500305	-0.2626993842	-0.2512185755	-0.2848635878	-0.2529825864	-0.2502689084	-0.3330457404	-0.2527510553	-0.2353970462	-0.2741077279	-0.2418471226	-0.2658015542	-0.2243982781	-0.1991559051	-0.2893765480	-0.2139891347	-0.2069962271	-0.2476171580	-0.2100895073	-0.2368301573	-0.2123119515	-0.2056564044	-0.2698153430	-0.2155688483	-0.1969898445	-0.2317666860	-0.2051979075	-0.2461622632	-0.2159793368	-0.2186850489	-0.2894194101	-0.2468064781	-0.2640100695	-0.3011330586	-0.2825345557	-0.3234119201	-0.2919534883	-0.2808764655	-0.3866693257	-0.2917618638	-0.3898784012	-0.4792691577	-0.3656504268	-0.3704081787	-0.3238833072	-0.2980049212	-0.3691051371	-0.3013989318	-0.3413508292	-0.4275159831	-0.3708517664	-0.4336173424	-0.3568404711	-0.3521034538	-0.4142817138	-0.3174671633	-0.3898429355	-0.4604865942	-0.3640610761	-0.4684515418	-0.4015968937	-0.3525887265	-0.4201220127	-0.3465673570	-0.4115201402	-0.4457066393	-0.3914011817	-0.4570130855	-0.3941707051	-0.4008255197	-0.4511194855	-0.4166354147	-0.4837892127	-0.5103688394	-0.4467183968	-0.5280318183	-0.4939854403	-0.4385840813	-0.5334565057	-0.4434301292	-0.5241441841	-0.5621681263	-0.3775064710	-0.6024344355	-0.5921005801	-0.4858781513	-0.6217274032	-0.5330261401	-0.6020595775	-0.6809107013	-0.5238436624	-0.7492495738	-0.6728224583	-0.5940981691	-0.7186921380	15	1059	47.0000000000	75	5489.2900000000	0	2017-198	19:33:21.776
0250	0.1280000000	0.0000000000	-0.5546128472	-0.4214514583	-0.4349740362	-0.4033023527	-0.3174827894	-0.4035478357	-0.3378794293	-0.2767474927	-0.3494349377	-0.2961246345	-0.3654514661	-0.3645162643	-0.3045263029	-0.4199284218	-0.3522161876	-0.3008855159	-0.3900002642	-0.3560085811	-0.3733918014	-0.3458654993	-0.2540339234	-0.3280686958	-0.2651061468	-0.1924816925	-0.2638771997	-0.2325611842	-0.2214712468	-0.2234476700	-0.1892931637	-0.2374594847	-0.2157866349	-0.1661684547	-0.2232297667	-0.2206201172	-0.2381704790	-0.2517553911	-0.2093901705	-0.2764771616	-0.2457121589	-0.1830135508	-0.2740464713	-0.2546861027	-0.2814267154	-0.2754856299	-0.2392316901	-0.3124791083	-0.2685652894	-0.2002385892	-0.2815317399	-0.2578438821	-0.2631447290	-0.2591584358	-0.2393853822	-0.2828004720	-0.2507553217	-0.1928516826	-0.2568401334	-0.2223672752	-0.2429659871	-0.2476171580	-0.2071697523	-0.2498089301	-0.2273515056	-0.1829632840	-0.2515119433	-0.2183754876	-0.2244143952	-0.2423834129	-0.1922894922	-0.2563968796	-0.2272406950	-0.1977572115	-0.2710170060	-0.2401928961	-0.2469746889	-0.2862120552	-0.2852488591	-0.3271498032	-0.3112620068	-0.2788821850	-0.3471273713	-0.3243273290	-0.3723965767	-0.4107507464	-0.3781396395	-0.3886003888	-0.3049829829	-0.2969769954	-0.3585207793	-0.3358300534	-0.3309751087	-0.3698000592	-0.3433812652	-0.4082973961	-0.3714279641	-0.3668278582	-0.4278831669	-0.3958163474	-0.3910940722	-0.4001099214	-0.3817612552	-0.4442202782	-0.3900123679	-0.4006233922	-0.4345003970	-0.4174317079	-0.4286418435	-0.4245197798	-0.3927326820	-0.4248992673	-0.3955164155	-0.4415936558	-0.4552467234	-0.4180299029	-0.4724544432	-0.4714673478	-0.3866944918	-0.4325929724	-0.4863952163	-0.5221908508	-0.5082549772	-0.4786888842	-0.5453772264	-0.5089380216	-0.4783990690	-0.4862801050	-0.5487318902	-0.6003437173	-0.5948198636	-0.5421990073	-0.6657119361	-0.6025713103	-0.5669114807	-0.5844547811	-0.6335376607	-0.7348898358	-0.7494319382	15	1062	47.0000000000	76	5491.4300000000	0	2017-198	19:33:23.945
0250	0.1280000000	0.0000000000	-0.4349743688	-0.4735409310	-0.3697741819	-0.3982746481	-0.4044672740	-0.2958610680	-0.3615354087	-0.3546540282	-0.2955172816	-0.3290884157	-0.3292202853	-0.3703273999	-0.3861706467	-0.3100892147	-0.4189951671	-0.3836291805	-0.2985758699	-0.3741098303	-0.3144352012	-0.3396063399	-0.3514715927	-0.2369455481	-0.3207615555	-0.2816572509	-0.1935912360	-0.2393228849	-0.2092255159	-0.2032149859	-0.2316273381	-0.1903590596	-0.2291989868	-0.2275806044	-0.1916650538	-0.2234236628	-0.2158920108	-0.2325369145	-0.2497320175	-0.2216163834	-0.2889960376	-0.2542104016	-0.2233334583	-0.2782214521	-0.2433337338	-0.2703711316	-0.3043033537	-0.2425773218	-0.3101191641	-0.2761466597	-0.2008264724	-0.2765175806	-0.2690306011	-0.2375650139	-0.2754909083	-0.2301847741	-0.2731188738	-0.2385572958	-0.1840205386	-0.2459783986	-0.2347229171	-0.2358002968	-0.2400169955	-0.1928465382	-0.2574306136	-0.2134571646	-0.1684426677	-0.2352153238	-0.2187888463	-0.2317666860	-0.2453574220	-0.2044927535	-0.2662800701	-0.2481390422	-0.1950070760	-0.2864879698	-0.2861560642	-0.2844566430	-0.3060585185	-0.2664092037	-0.3411902105	-0.3147792347	-0.2670028848	-0.3636304767	-0.4036141205	-0.4463276138	-0.3881310096	-0.3135575222	-0.3805842800	-0.3226751387	-0.2960730678	-0.3802573071	-0.3309751087	-0.3674443072	-0.3971278980	-0.3612746388	-0.4273466876	-0.3766441277	-0.3091795763	-0.4293945692	-0.3723270217	-0.3485381801	-0.4260117028	-0.3791784653	-0.4363504711	-0.3928339870	-0.3599942235	-0.4410531582	-0.4036178156	-0.3967120267	-0.4166996881	-0.4248992673	-0.4641476490	-0.4252864014	-0.4057198684	-0.4919377760	-0.4398669811	-0.4700265519	-0.4774623482	-0.4594351478	-0.5152380675	-0.4912253806	-0.4531266335	-0.5443983821	-0.5078110746	-0.5022842585	-0.5187561083	-0.4896964088	-0.5695488614	-0.5422304300	-0.5535616362	-0.6082436511	-0.5515121163	-0.6637142496	-0.6315132082	-0.5824450885	-0.7038367723	-0.6111638257	-0.6945394378	15	1054	46.0000000000	77	5493.4800000000	0	2017-198	19:33:25.957
0250	0.1280000000	0.0000000000	-0.5775572129	-0.4527051419	-0.3317409336	-0.4246700973	-0.3468694396	-0.3380476368	-0.3712128549	-0.3290409206	-0.3796288252	-0.3400763428	-0.2794024117	-0.3726518542	-0.3506731059	-0.3184465456	-0.4070703493	-0.3765368664	-0.3888429934	-0.3446953004	-0.2762225899	-0.3354335670	-0.2987757103	-0.2585520677	-0.2863082073	-0.2658223387	-0.2622977398	-0.2235455832	-0.1876154025	-0.2185639187	-0.2063633953	-0.2024705975	-0.2325520748	-0.2147582874	-0.2383259337	-0.2185174580	-0.1799589977	-0.2384502919	-0.2223300082	-0.2310210882	-0.2553307986	-0.2468452101	-0.2782032756	-0.2538455545	-0.2280965412	-0.2746332135	-0.2649178731	-0.2572480672	-0.2988649897	-0.2692459260	-0.2841074399	-0.2586926866	-0.2328745296	-0.2574974034	-0.2344619014	-0.2407079137	-0.2635344943	-0.2267368786	-0.2397972495	-0.2345536615	-0.2062468571	-0.2505713734	-0.2297978531	-0.2180830409	-0.2481204135	-0.2148754846	-0.2289846821	-0.2183754876	-0.2194920399	-0.2303511224	-0.2130863836	-0.2271551184	-0.2422558393	-0.2326369405	-0.2686166925	-0.2509399668	-0.2427158437	-0.2888451734	-0.2653439674	-0.2888365020	-0.3228471179	-0.2798793253	-0.3523302601	-0.3479092177	-0.3586608575	-0.4529159226	-0.3718950331	-0.3385718110	-0.3532838116	-0.3031445498	-0.3564039077	-0.3580436803	-0.3205993881	-0.3273965232	-0.3601024398	-0.3878002968	-0.3823685839	-0.3508764201	-0.4328291498	-0.3696999527	-0.3498065611	-0.3636323483	-0.3703825686	-0.4505969265	-0.4363504711	-0.3798516449	-0.4580286623	-0.4029963772	-0.3430333268	-0.3874427756	-0.4193626888	-0.4623653886	-0.4372334398	-0.4021844576	-0.4566224693	-0.4347637610	-0.4016121342	-0.4455330201	-0.4511103899	-0.5086458027	-0.4970215299	-0.4494219959	-0.5476323655	-0.4754835428	-0.4849447212	-0.5255724293	-0.4968960454	-0.5751040048	-0.5452623950	-0.4999662210	-0.5966136996	-0.5477027276	-0.5402793472	-0.6159463282	-0.5962759023	-0.6728812552	-0.6335376607	-0.6154302398	-0.7823674385	15	1066	47.0000000000	78	5495.5200000000	0	2017-198	19:33:28.016
0250	0.1280000000	0.0000000000	-0.5890293958	-0.4556816832	-0.3847158152	-0.4007885004	-0.3057281294	-0.3469290197	-0.3862666599	-0.3173015797	-0.3720803533	-0.3071125616	-0.2805346361	-0.3819496711	-0.2867775325	-0.3817234802	-0.4249575760	-0.3363470865	-0.4050447848	-0.3480892846	-0.2871404789	-0.3583838180	-0.2798847336	-0.2923709678	-0.3101605253	-0.2449869278	-0.2725642289	-0.2160325824	-0.1912170881	-0.2227499913	-0.1865619267	-0.2253479468	-0.2365757803	-0.2113839935	-0.2445016384	-0.2171156852	-0.1979255043	-0.2487987024	-0.2025396682	-0.2529653995	-0.2737665247	-0.1879236784	-0.2948304930	-0.2765403557	-0.2145523699	-0.2874194592	-0.2597806365	-0.2840006027	-0.3040592241	-0.2218033819	-0.2961273734	-0.2875520388	-0.2320336907	-0.2674635981	-0.2418471226	-0.2568973592	-0.2707227789	-0.2015199886	-0.2769817234	-0.2520715918	-0.2092443371	-0.2476171580	-0.2115493847	-0.2245724274	-0.2538497674	-0.1943098442	-0.2564397816	-0.2239887664	-0.1899579084	-0.2338900314	-0.2087835785	-0.2403139110	-0.2617755268	-0.2155846286	-0.2910196192	-0.2707807127	-0.2290875393	-0.2835789369	-0.2581058250	-0.2935088558	-0.3199508401	-0.2728993434	-0.3668983485	-0.3467862706	-0.2962257700	-0.4489629373	-0.3806374820	-0.3681341524	-0.3343834873	-0.2825860352	-0.3934491603	-0.3458261855	-0.2675679277	-0.3980690831	-0.3899616803	-0.4095031078	-0.3872310816	-0.3177465104	-0.4340656456	-0.3784054176	-0.2910031362	-0.4076570055	-0.3931399417	-0.4174383552	-0.3964482156	-0.3694657712	-0.4449574038	-0.3701888073	-0.3627891383	-0.4470308180	-0.4353406928	-0.4543369340	-0.4399248607	-0.3695699487	-0.4827616428	-0.4514976190	-0.4058626727	-0.4916384916	-0.4598943760	-0.4832948593	-0.4772869475	-0.4277461668	-0.5303063147	-0.4963182617	-0.4588117460	-0.5688218894	-0.5406161712	-0.5477735741	-0.5539361330	-0.5246203429	-0.5786753398	-0.5330261401	-0.5590006291	-0.6503392316	-0.5962759023	-0.5965129366	-0.6459433863	-0.6282294822	-0.7340620381	15	1062	47.0000000000	79	5497.5700000000	0	2017-198	19:33:30.060
0250	0.1280000000	0.0000000000	-0.5103629990	-0.5033063439	-0.4037324393	-0.4095869835	-0.3645014297	-0.3036322781	-0.3486321472	-0.3226376438	-0.3181626972	-0.3510642698	-0.3394103049	-0.3773007626	-0.3400238437	-0.3518758695	-0.4023004222	-0.3422573482	-0.3599112230	-0.3797664707	-0.3198941457	-0.3469086925	-0.3067298058	-0.2717038622	-0.2792408538	-0.2408198457	-0.2314982726	-0.2363176846	-0.2157085499	-0.2108894523	-0.2186539621	-0.1937233756	-0.2157866349	-0.1999113941	-0.2074474102	-0.2220218900	-0.2079867479	-0.2510162189	-0.2208076743	-0.2255350104	-0.2729649714	-0.2386616641	-0.2549251713	-0.2647726810	-0.2399476910	-0.2865670428	-0.2674864914	-0.2296325466	-0.2858794039	-0.2433681747	-0.2626432730	-0.2773663851	-0.2505321459	-0.2873959875	-0.2656439467	-0.2326131909	-0.2315865627	-0.2204326561	-0.2622628691	-0.2429318021	-0.2137405571	-0.2490942657	-0.2188487721	-0.2007780105	-0.2123119515	-0.2056564044	-0.2543278509	-0.2352153238	-0.1969898445	-0.2551234851	-0.2245605306	-0.2066858856	-0.2264899378	-0.2272112049	-0.2854188875	-0.2633404330	-0.2563441482	-0.2967445282	-0.2798202522	-0.2533266131	-0.2909880624	-0.2978278501	-0.3596143043	-0.3422944823	-0.3674017697	-0.4568689079	-0.3743928757	-0.3476679161	-0.3385835594	-0.3144517329	-0.3818063666	-0.3635970870	-0.3217522460	-0.3980690831	-0.3565193310	-0.3805660264	-0.3933092037	-0.3913685321	-0.4254101754	-0.3597508500	-0.3648202015	-0.4403610366	-0.3880827477	-0.3906564322	-0.3938738765	-0.3915357527	-0.4593357882	-0.3806872297	-0.3733255712	-0.4271681372	-0.3887381810	-0.3994758279	-0.4385791502	-0.4334400286	-0.4745071670	-0.3817732104	-0.3775257491	-0.5146912274	-0.4584303783	-0.4549614519	-0.5015756643	-0.4834840131	-0.5555078432	-0.4850995669	-0.4686116117	-0.5854562971	-0.5406161712	-0.5494817260	-0.5712836090	-0.5210983255	-0.6324904190	-0.5403644339	-0.5215580653	-0.6350534968	-0.5669114807	-0.6527843293	-0.6893634258	-0.6218298610	-0.8065201387	15	1069	47.5000000000	80	5499.6100000000	0	2017-198	19:33:32.166
0250	0.1280000000	0.0000000000	-0.4726686839	-0.4899119081	-0.4634989724	-0.3593099374	-0.3750806238	-0.3169543524	-0.3239008960	-0.3642589435	-0.2739502191	-0.3818304656	-0.3643192417	-0.2959448644	-0.3660553736	-0.3315794943	-0.3307515156	-0.4072702276	-0.3113058489	-0.3775038146	-0.3548313902	-0.2717987800	-0.3226379967	-0.2688856205	-0.2571553742	-0.2658223387	-0.2078063747	-0.2543488866	-0.2250729323	-0.1934474833	-0.2193367713	-0.1910319228	-0.2097510766	-0.2221817341	-0.1820584020	-0.2437493687	-0.2338585174	-0.1889257560	-0.2482096836	-0.2341559898	-0.2168562398	-0.2730325575	-0.2283216235	-0.2849458376	-0.2771941619	-0.2115544016	-0.2923164683	-0.2814116477	-0.2651024665	-0.2735588845	-0.2557747396	-0.2909472567	-0.2665080845	-0.1860730079	-0.2746703282	-0.2617541928	-0.2499566234	-0.2566819355	-0.2088101879	-0.2642579780	-0.2287279571	-0.1604678062	-0.2349074243	-0.2238513844	-0.2130281208	-0.2382777652	-0.1937858365	-0.2253920860	-0.2251175888	-0.1701896703	-0.2381860801	-0.2461622632	-0.2317452383	-0.2473639371	-0.2350123023	-0.2864879698	-0.2733795288	-0.2159955683	-0.2870583947	-0.2981812096	-0.3247779697	-0.3317306193	-0.2930173285	-0.3872123654	-0.3923758047	-0.3514559674	-0.4181051201	-0.3306127191	-0.3228332891	-0.3648200938	-0.2897224530	-0.3935854832	-0.3425036870	-0.2944159952	-0.3995166372	-0.3733317560	-0.3434686024	-0.4011848016	-0.4105722266	-0.4094963637	-0.3735781584	-0.3221233857	-0.4057829268	-0.3791784653	-0.4003097242	-0.4317810132	-0.3992079990	-0.4568007917	-0.3785937876	-0.3768493459	-0.4712912020	-0.3860950702	-0.4049363888	-0.4388757801	-0.4181015822	-0.4556810835	-0.4214479807	-0.4066315285	-0.4891743296	-0.4415403642	-0.4605884547	-0.4974184746	-0.4814783531	-0.5411930407	-0.4849447212	-0.4723423246	-0.5490238877	-0.5153186876	-0.5504666378	-0.5545574909	-0.5140972449	-0.6119127980	-0.5664891419	-0.5643569732	-0.6589200016	-0.6045517070	-0.6500786281	-0.6580943812	-0.6286684373	15	1058	46.0000000000	81	5501.6900000000	0	2017-198	19:33:34.194
0250	0.1280000000	0.0000000000	-0.4235021859	-0.4794940136	-0.3901491363	-0.3542822328	-0.3797824878	-0.2969712409	-0.3593848651	-0.3770654973	-0.3192410503	-0.3587558188	-0.3269558365	-0.3296494508	-0.3719716304	-0.3315794943	-0.4034929040	-0.3623522382	-0.3124631197	-0.3910797515	-0.3133434123	-0.3093537362	-0.3325806160	-0.2491579287	-0.2977926567	-0.2758233359	-0.2062269148	-0.2505923862	-0.2085051787	-0.1878660532	-0.2227508176	-0.1923776492	-0.2224928109	-0.2262308868	-0.1758826973	-0.2430484822	-0.2460757418	-0.2170142988	-0.2421203482	-0.2208326580	-0.2713618648	-0.2419350825	-0.1917417453	-0.2916702232	-0.2729616083	-0.2618469679	-0.2897478500	-0.2382623968	-0.3014621069	-0.2761466597	-0.2111292725	-0.2858544298	-0.2765981509	-0.2367344977	-0.2795938090	-0.2390889691	-0.2611383994	-0.2448615183	-0.2126835706	-0.2543565392	-0.2549559071	-0.2350617429	-0.2524259540	-0.2245724274	-0.2574306136	-0.2226762448	-0.1832261828	-0.2429335821	-0.2194920399	-0.2154877049	-0.2518116296	-0.2110721498	-0.2625262840	-0.2473639371	-0.1990075986	-0.2873146676	-0.2793419120	-0.2458375752	-0.3250586423	-0.3196740371	-0.3344322290	-0.3097935334	-0.2722057735	-0.3512780589	-0.3761426820	-0.3751738790	-0.4156072775	-0.3544899949	-0.3826843161	-0.3237030645	-0.2886640172	-0.3813679885	-0.3401979713	-0.3438867872	-0.4245983992	-0.3853888733	-0.4176216922	-0.3741900603	-0.3054700890	-0.4045218123	-0.3748292951	-0.3472803327	-0.4373903894	-0.4085110476	-0.4530836750	-0.4213951395	-0.3521514684	-0.4292424330	-0.3930813827	-0.3821460607	-0.4446611952	-0.4034900551	-0.4856790163	-0.4184917120	-0.3548172675	-0.4891487997	-0.4143637498	-0.4340066522	-0.5038143064	-0.4176806527	-0.5076478435	-0.4633564575	-0.4389507737	-0.5171529805	-0.4735115446	-0.5089380216	-0.5406161712	-0.5289839030	-0.5504666378	-0.5263813516	-0.5194787528	-0.6137473715	-0.5402793472	-0.6216784788	-0.6373860925	-0.5281833884	-0.6294024189	-0.6431619317	-0.7033222379	15	1051	46.5000000000	82	5503.7600000000	0	2017-198	19:33:36.253
