FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
218	5376.8200000000	1.8200000000	-2.1700000000	34.5000000000	-186.7000000000	-68.5000000000	602.6000000000	196.2000000000	2017-198	19:31:27.390
219	5377.4500000000	1.8000000000	-2.0700000000	34.4000000000	-186.2000000000	-69.0000000000	602.7000000000	196.3000000000	2017-198	19:31:28.030
220	5378.0900000000	1.8200000000	-2.0100000000	34.5000000000	-186.3000000000	-68.8000000000	603.1000000000	196.1000000000	2017-198	19:31:28.669
221	5378.7300000000	1.6700000000	-1.9700000000	34.4000000000	-186.0000000000	-68.7000000000	602.7000000000	196.6000000000	2017-198	19:31:29.309
222	5379.3600000000	1.8700000000	-2.0000000000	34.4000000000	-186.0000000000	-69.0000000000	602.7000000000	196.0000000000	2017-198	19:31:29.964
223	5380.0000000000	1.7000000000	-1.9200000000	34.4000000000	-186.4000000000	-68.5000000000	602.7000000000	196.3000000000	2017-198	19:31:30.681
224	5380.6400000000	1.7000000000	-2.0700000000	34.4000000000	-185.4000000000	-69.2000000000	602.7000000000	196.8000000000	2017-198	19:31:31.227
225	5381.2700000000	1.6700000000	-1.9100000000	34.4000000000	-185.6000000000	-69.2000000000	602.5000000000	196.7000000000	2017-198	19:31:31.867
226	5381.9100000000	1.7600000000	-2.1000000000	34.5000000000	-186.5000000000	-68.1000000000	602.9000000000	196.1000000000	2017-198	19:31:32.507
227	5382.5500000000	1.6600000000	-2.0300000000	34.4000000000	-186.4000000000	-68.1000000000	602.7000000000	196.4000000000	2017-198	19:31:33.131
228	5383.1800000000	1.7900000000	-1.9700000000	34.4000000000	-186.0000000000	-68.3000000000	602.7000000000	196.0000000000	2017-198	19:31:33.755
229	5383.8200000000	1.8200000000	-2.0200000000	34.5000000000	-186.5000000000	-67.6000000000	602.4000000000	195.8000000000	2017-198	19:31:34.394
230	5384.4500000000	1.7800000000	-2.2100000000	34.5000000000	-186.7000000000	-67.6000000000	602.6000000000	196.1000000000	2017-198	19:31:35.034
231	5385.0900000000	2.0200000000	-2.0100000000	34.5000000000	-185.9000000000	-68.5000000000	602.6000000000	195.4000000000	2017-198	19:31:35.658
232	5385.7200000000	1.7500000000	-2.2300000000	34.4000000000	-186.6000000000	-67.4000000000	602.5000000000	196.1000000000	2017-198	19:31:36.313
233	5386.3600000000	1.7500000000	-1.8800000000	34.5000000000	-186.7000000000	-67.4000000000	602.6000000000	195.7000000000	2017-198	19:31:36.953
234	5387.0000000000	1.8400000000	-2.1500000000	34.4000000000	-185.8000000000	-67.4000000000	602.5000000000	195.8000000000	2017-198	19:31:37.639
235	5387.6400000000	1.9200000000	-1.9200000000	34.4000000000	-185.8000000000	-67.8000000000	602.5000000000	195.4000000000	2017-198	19:31:38.216
236	5388.2700000000	1.8300000000	-1.9900000000	34.5000000000	-186.3000000000	-66.5000000000	602.6000000000	195.3000000000	2017-198	19:31:38.871
237	5388.9100000000	1.7600000000	-1.9100000000	34.5000000000	-186.3000000000	-66.7000000000	602.6000000000	195.5000000000	2017-198	19:31:39.495
238	5389.5500000000	1.7900000000	-1.9400000000	34.5000000000	-186.5000000000	-67.2000000000	602.9000000000	195.6000000000	2017-198	19:31:40.182
239	5390.1900000000	1.5600000000	-2.0200000000	34.4000000000	-187.0000000000	-65.6000000000	602.5000000000	195.9000000000	2017-198	19:31:40.806
240	5390.8200000000	1.6100000000	-1.9400000000	34.4000000000	-186.8000000000	-65.8000000000	602.5000000000	195.8000000000	2017-198	19:31:41.399
241	5391.4600000000	1.9700000000	-1.7700000000	34.5000000000	-186.3000000000	-66.5000000000	602.6000000000	194.6000000000	2017-198	19:31:42.069
242	5392.0900000000	1.5800000000	-1.9800000000	34.5000000000	-187.1000000000	-64.5000000000	602.6000000000	195.4000000000	2017-198	19:31:42.678
243	5392.7300000000	1.7800000000	-1.9100000000	34.4000000000	-186.8000000000	-65.4000000000	602.7000000000	195.0000000000	2017-198	19:31:43.302
244	5393.3700000000	1.8700000000	-1.8300000000	34.5000000000	-186.3000000000	-65.8000000000	602.6000000000	194.8000000000	2017-198	19:31:43.957
245	5394.0000000000	1.6300000000	-2.1500000000	34.5000000000	-187.1000000000	-63.8000000000	602.9000000000	195.2000000000	2017-198	19:31:44.612
246	5394.6400000000	1.9300000000	-1.9700000000	34.4000000000	-186.6000000000	-64.9000000000	602.5000000000	194.4000000000	2017-198	19:31:45.221
247	5395.2800000000	1.7900000000	-1.9300000000	34.4000000000	-186.0000000000	-65.1000000000	602.5000000000	195.0000000000	2017-198	19:31:45.954
248	5395.9200000000	1.5700000000	-2.2000000000	34.5000000000	-186.5000000000	-63.6000000000	602.6000000000	195.5000000000	2017-198	19:31:46.515
249	5396.5500000000	1.8000000000	-1.7900000000	34.4000000000	-186.8000000000	-64.5000000000	602.5000000000	194.5000000000	2017-198	19:31:47.139
250	5397.1900000000	1.8300000000	-2.1000000000	34.4000000000	-186.6000000000	-64.2000000000	602.5000000000	194.7000000000	2017-198	19:31:47.779
251	5397.8300000000	1.5300000000	-2.0700000000	34.5000000000	-187.3000000000	-63.8000000000	602.6000000000	195.5000000000	2017-198	19:31:48.419
252	5398.4700000000	1.7800000000	-1.8600000000	34.5000000000	-187.3000000000	-63.8000000000	602.6000000000	194.4000000000	2017-198	19:31:49.043
253	5399.1000000000	1.9200000000	-1.8300000000	34.5000000000	-187.3000000000	-63.1000000000	602.6000000000	193.7000000000	2017-198	19:31:49.682
254	5399.7400000000	1.7100000000	-2.1200000000	34.5000000000	-187.5000000000	-62.2000000000	602.6000000000	194.4000000000	2017-198	19:31:50.337
255	5400.3800000000	1.7100000000	-1.9300000000	34.4000000000	-186.8000000000	-63.1000000000	602.7000000000	194.5000000000	2017-198	19:31:50.961
0	5401.0100000000	1.8400000000	-2.0100000000	34.4000000000	-187.2000000000	-62.9000000000	602.7000000000	194.1000000000	2017-198	19:31:51.601
1	5401.6500000000	1.5600000000	-2.0500000000	34.5000000000	-187.1000000000	-62.2000000000	602.9000000000	194.9000000000	2017-198	19:31:52.225
2	5402.2900000000	1.8300000000	-2.1200000000	34.5000000000	-187.3000000000	-62.2000000000	602.6000000000	194.0000000000	2017-198	19:31:52.865
