SN	INTTIME(LI)	SAMPLE(DELAY)	LI(348.08)	LI(351.41)	LI(354.74)	LI(358.07)	LI(361.40)	LI(364.73)	LI(368.06)	LI(371.39)	LI(374.72)	LI(378.06)	LI(381.39)	LI(384.72)	LI(388.06)	LI(391.39)	LI(394.73)	LI(398.07)	LI(401.40)	LI(404.74)	LI(408.08)	LI(411.42)	LI(414.76)	LI(418.10)	LI(421.44)	LI(424.78)	LI(428.12)	LI(431.46)	LI(434.80)	LI(438.14)	LI(441.48)	LI(444.83)	LI(448.17)	LI(451.51)	LI(454.86)	LI(458.20)	LI(461.54)	LI(464.89)	LI(468.23)	LI(471.58)	LI(474.92)	LI(478.27)	LI(481.62)	LI(484.96)	LI(488.31)	LI(491.66)	LI(495.00)	LI(498.35)	LI(501.70)	LI(505.04)	LI(508.39)	LI(511.74)	LI(515.09)	LI(518.43)	LI(521.78)	LI(525.13)	LI(528.48)	LI(531.83)	LI(535.17)	LI(538.52)	LI(541.87)	LI(545.22)	LI(548.57)	LI(551.92)	LI(555.26)	LI(558.61)	LI(561.96)	LI(565.31)	LI(568.66)	LI(572.01)	LI(575.35)	LI(578.70)	LI(582.05)	LI(585.40)	LI(588.74)	LI(592.09)	LI(595.44)	LI(598.79)	LI(602.13)	LI(605.48)	LI(608.83)	LI(612.17)	LI(615.52)	LI(618.86)	LI(622.21)	LI(625.55)	LI(628.90)	LI(632.24)	LI(635.59)	LI(638.93)	LI(642.28)	LI(645.62)	LI(648.96)	LI(652.31)	LI(655.65)	LI(658.99)	LI(662.33)	LI(665.67)	LI(669.01)	LI(672.35)	LI(675.69)	LI(679.03)	LI(682.37)	LI(685.71)	LI(689.05)	LI(692.39)	LI(695.72)	LI(699.06)	LI(702.39)	LI(705.73)	LI(709.06)	LI(712.40)	LI(715.73)	LI(719.07)	LI(722.40)	LI(725.73)	LI(729.06)	LI(732.39)	LI(735.72)	LI(739.05)	LI(742.38)	LI(745.71)	LI(749.03)	LI(752.36)	LI(755.69)	LI(759.01)	LI(762.34)	LI(765.66)	LI(768.98)	LI(772.30)	LI(775.63)	LI(778.95)	LI(782.27)	LI(785.58)	LI(788.90)	LI(792.22)	LI(795.53)	LI(798.85)	LI(802.16)	DARK_SAMP(LI)	DARK_AVE(LI)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0250	0.0640000000	0.0000000000	-1.2731140210	-1.1881817068	-0.9405812478	-1.0303375605	-0.8959190326	-0.7182818424	-0.8499528889	-0.8309703173	-0.7786680066	-0.8845281290	-0.8101586401	-0.9219622303	-0.8953994348	-0.7777738135	-1.0287874185	-0.9020123292	-0.7383387791	-0.9563840264	-0.8450446032	-0.8043958673	-0.8202660932	-0.6467432526	-0.7439997366	-0.6483229781	-0.5088008810	-0.6243979860	-0.5120948563	-0.4901514233	-0.5547511174	-0.5206736681	-0.5603318478	-0.5469420040	-0.4574385639	-0.5519802868	-0.5410203815	-0.5035107822	-0.6242954106	-0.6266245111	-0.6629567258	-0.6148069020	-0.5663828817	-0.6758007476	-0.6085650086	-0.6038210753	-0.7353252102	-0.6939970182	-0.6825691403	-0.6558043246	-0.6643743474	-0.7431673638	-0.6221450893	-0.5548595856	-0.6675041964	-0.6222640033	-0.6053414211	-0.6268398760	-0.6097401576	-0.6793224862	-0.6058311744	-0.5218222539	-0.6041235761	-0.5645117243	-0.5334816273	-0.5815112126	-0.5551181780	-0.5434032712	-0.5332120232	-0.5215714788	-0.5695996044	-0.5434976086	-0.5640919432	-0.6233953187	-0.5852396565	-0.6821000419	-0.6489713410	-0.6285972999	-0.6989747459	-0.7066299689	-0.7711996060	-0.8409522067	-0.7629328740	-0.8889653327	-0.9845438894	-0.9321850804	-0.9386217842	-0.9068202745	-0.8346698212	-0.8591588298	-0.8059501647	-0.9004604634	-0.8902160686	-0.8668107262	-0.9184702362	-0.9636916228	-0.9908433104	-0.9177107705	-0.9818888988	-1.1224403613	-0.9448359154	-0.8832377679	-1.0517825695	-0.9318017649	-0.9731001655	-1.0167536628	-0.9944848758	-1.1839359589	-1.0548418027	-0.9284902827	-1.1529594572	-1.0344529895	-0.9579009281	-1.1006173710	-1.0260561083	-1.1372692510	-1.0554228885	-1.0985406621	-1.3531320659	-1.1395726266	-1.0820896583	-1.2177883344	-1.1393674060	-1.3163760008	-1.2377524385	-1.2174889359	-1.5117074273	-1.2834438594	-1.2327740929	-1.4613167232	-1.3439096207	-1.4733275839	-1.5074039222	-1.4076786071	-1.7171961368	-1.3819369772	-1.4200792701	-1.8110928028	-1.6789112778	15	976	44.5000000000	244	4269.7500000000	0	2017-198	19:13:02.207
0250	0.0640000000	0.0000000000	-1.1518366593	-1.1584162939	-0.9786144961	-0.9197280591	-0.9546923329	-0.7538073740	-0.8628561504	-0.8352391685	-0.6773028130	-0.9021088123	-0.8848854504	-0.7987661558	-0.9403629864	-0.8088153285	-0.9500836212	-0.9445662139	-0.7637987370	-1.0061624617	-0.8821654256	-0.7251131819	-0.7944152830	-0.6711680139	-0.6627251715	-0.6883269669	-0.5451284578	-0.6259005861	-0.5610777799	-0.4371278374	-0.5424605507	-0.5179822152	-0.4959525588	-0.5563900270	-0.4999823074	-0.5702033334	-0.5611428689	-0.4724655508	-0.5847147305	-0.6046801998	-0.5795951818	-0.6868221074	-0.5929864295	-0.6539464946	-0.6576626293	-0.5407422633	-0.7712858664	-0.6905450781	-0.5561761047	-0.7110101940	-0.6626572141	-0.6633797431	-0.6725954216	-0.5764530075	-0.7085332033	-0.6287397815	-0.5206794023	-0.6142314310	-0.5911479207	-0.5711683080	-0.6208185744	-0.5557957301	-0.6274816157	-0.5472066939	-0.4690263959	-0.5772562525	-0.5058397942	-0.4886738035	-0.5894675118	-0.5371426782	-0.6111933872	-0.5625047533	-0.5010283372	-0.6171944780	-0.6012417470	-0.6324981773	-0.7324447059	-0.6935475502	-0.6844984611	-0.7421398579	-0.7518910875	-0.8190151207	-0.8066371394	-0.8283261905	-1.0195075384	-1.0797631971	-0.9810851074	-0.8909020907	-0.8052693167	-0.8714939386	-0.7932489353	-0.8360409455	-0.9317189507	-0.9115700141	-0.9805774564	-0.9588687759	-0.8692808682	-0.9888787248	-0.9621049671	-0.9980765769	-1.0148995706	-0.9838655559	-1.0517825695	-1.0287268195	-0.9267620624	-1.0193501312	-1.0127846377	-0.9818413287	-1.0653782356	-1.0052926484	-1.0996994437	-1.0638906562	-0.9955808210	-1.1576927616	-1.0893404229	-1.0759117714	-1.1007619663	-1.0985406621	-1.2799321818	-1.1395726266	-1.1094144647	-1.3261674799	-1.1551183614	-1.1945730290	-1.2900183889	-1.2008545282	-1.4040886561	-1.3210232016	-1.2744080352	-1.6021974198	-1.3259712610	-1.2935393868	-1.5186366914	-1.3962143060	-1.5488401197	-1.4261502143	-1.6227061209	-1.9817493684	-1.7359994782	15	969	45.5000000000	245	4271.6600000000	0	2017-198	19:13:04.126
0250	0.0640000000	0.0000000000	-1.2731140210	-1.1941347894	-0.9731811749	-1.0202821513	-0.8818134405	-0.7404852997	-0.8628561504	-0.8224326148	-0.7333771754	-0.8713426165	-0.9211166312	-0.9614779523	-0.8741009103	-0.7801616223	-0.9715482932	-0.8665507586	-0.7962023198	-0.9360201210	-0.8537789144	-0.8273461184	-0.7804956160	-0.6955927751	-0.7581344435	-0.6416556466	-0.5356516986	-0.6349161871	-0.5538744088	-0.5124771436	-0.5793322509	-0.5341309324	-0.5750854348	-0.5320951106	-0.4684175945	-0.5659980150	-0.5482069842	-0.5360343581	-0.5923263998	-0.5890056917	-0.6485287663	-0.6066233559	-0.5830100991	-0.6690763621	-0.6407324153	-0.6464418942	-0.7473120956	-0.6801892579	-0.6635236144	-0.6644302417	-0.6437687472	-0.7210984474	-0.6171000561	-0.5864192022	-0.6724276772	-0.6125503360	-0.5861726621	-0.6047750973	-0.5787530961	-0.6199138531	-0.6163223544	-0.5794294526	-0.5953643113	-0.5385541787	-0.5735871047	-0.5900211328	-0.5494863627	-0.6051493373	-0.5472758954	-0.5017535887	-0.5495198472	-0.5493459608	-0.6286570636	-0.6264957391	-0.5964411199	-0.7052475788	-0.6472678030	-0.5812011712	-0.6664031051	-0.6804647876	-0.8117474948	-0.8489293288	-0.7442024745	-0.9091783800	-0.9520776439	-0.8847492571	-0.9835829499	-0.8545176705	-0.8577702175	-0.8200976520	-0.8482875963	-1.0159713230	-0.8694646276	-0.8573877182	-0.9519125855	-0.9492230821	-0.9616683243	-0.9029863662	-0.9596319756	-1.1174658099	-0.9047995410	-0.8857534626	-1.0087964204	-0.9649603362	-0.9936948780	-1.1024371204	-0.9683423587	-1.1471914806	-0.9521115826	-0.9205452104	-1.2301864768	-0.9755776561	-0.9794322954	-1.1006173710	-1.0315590921	-1.1261133456	-1.0554228885	-1.0985406621	-1.3531320659	-1.1097479873	-1.1094144647	-1.2363676165	-1.1677191257	-1.3420187316	-1.2704186575	-1.1808932389	-1.4276302623	-1.1570406173	-1.2778775304	-1.5599332108	-1.3008575574	-1.4623201433	-1.5186366914	-1.3579999689	-1.7211113930	-1.3819369772	-1.4324849956	-1.8110928028	-1.5954746772	15	976	47.0000000000	246	4273.5500000000	0	2017-198	19:13:06.154
0250	0.0640000000	0.0000000000	-1.1223367606	-1.1941347894	-0.8998313389	-0.9398388776	-0.9570432649	-0.7515870283	-0.9015659349	-0.8373735942	-0.6449522193	-0.8999112269	-0.8758276552	-0.8173617897	-0.9379964837	-0.8279177993	-0.9381588034	-0.9043764339	-0.7776859867	-0.9586466825	-0.8646968033	-0.7000765444	-0.7884497114	-0.6730468417	-0.7086629691	-0.6899937998	-0.5609230564	-0.6574551896	-0.5452303634	-0.4231742622	-0.5574823545	-0.5112535830	-0.5227772626	-0.5469420040	-0.4629280792	-0.5870246072	-0.5611428689	-0.4473336967	-0.5862370644	-0.6093825522	-0.6084511009	-0.6688183061	-0.6412053599	-0.6926117115	-0.6508905437	-0.6021162425	-0.7250507370	-0.6698334377	-0.5908043337	-0.7075598272	-0.6660914808	-0.6922390953	-0.6557786442	-0.5681478452	-0.7150978445	-0.6125503360	-0.5686012997	-0.6583609885	-0.6066414515	-0.5864012909	-0.6313097544	-0.5705668067	-0.6172624734	-0.5544171232	-0.4604323650	-0.5900211328	-0.5523022704	-0.5279667547	-0.5922802863	-0.5583761319	-0.6241018026	-0.5785877220	-0.5280555969	-0.5970417458	-0.6140434195	-0.6126574314	-0.7205199395	-0.6707271920	-0.7279273156	-0.7384019748	-0.7345134208	-0.8030608764	-0.8003936729	-0.8754899677	-1.0744504154	-1.0165154328	-0.9760894223	-0.8818059857	-0.7422682358	-0.8200976520	-0.8271188805	-0.9026818261	-0.9386360977	-0.9374832861	-0.9471351070	-0.9709258932	-0.9008871032	-0.9250729727	-0.9695239415	-0.9781783714	-1.0199041174	-0.9134261043	-0.9910962413	-1.0236255008	-0.9319107405	-1.0608936258	-0.9970991275	-0.9870905398	-1.0100619632	-0.9894025038	-1.1529594572	-1.0183960804	-0.9875065582	-1.1821536433	-1.0233046163	-1.0257101972	-1.1290988899	-1.0668431504	-1.2243002699	-1.1753621938	-1.0911979271	-1.3044916508	-1.2118218006	-1.1208501777	-1.2540855480	-1.2540846329	-1.3267376642	-1.2663623402	-1.3437979391	-1.6832038203	-1.3726109963	-1.3118851212	-1.4549843329	-1.4535358117	-1.6036537067	-1.5547705403	-1.4779726560	-1.9988150250	-1.6701284777	15	974	46.0000000000	247	4275.6000000000	0	2017-198	19:13:08.182
0250	0.0640000000	0.0000000000	-1.1157812275	-1.1881817068	-0.9405812478	-0.9197280591	-0.9452886049	-0.8115363629	-0.8435012581	-0.8117604866	-0.7851381253	-0.8823305436	-0.7422251761	-0.8452552405	-1.0042585599	-0.8470202701	-0.9643934025	-0.9185610621	-0.7915732365	-0.9948491809	-0.7489671806	-0.7021629308	-0.8381628080	-0.6241973192	-0.6609583331	-0.7049952956	-0.5467079176	-0.6499421888	-0.5149762047	-0.4510814126	-0.5329012210	-0.4601159786	-0.5147298514	-0.5671877676	-0.5123337167	-0.5912299256	-0.5352710994	-0.5419477355	-0.5999380690	-0.5451170692	-0.6164666340	-0.6753651429	-0.5597319947	-0.6724385549	-0.6356533511	-0.5407422633	-0.7079266151	-0.6076985163	-0.6617922030	-0.7144605608	-0.5664977465	-0.6667749610	-0.6995022655	-0.5814361049	-0.6954039211	-0.6076935023	-0.5510299373	-0.5968948191	-0.5462166814	-0.6138206600	-0.6343072344	-0.5129596080	-0.6245618607	-0.5904692700	-0.5162935656	-0.5559814520	-0.5199193324	-0.5419999515	-0.5880611246	-0.5017535887	-0.6068905821	-0.5844360743	-0.4890162218	-0.6016923763	-0.6188440466	-0.6341515728	-0.6983739447	-0.6215756512	-0.7731657056	-0.7440087994	-0.6070771988	-0.8289865234	-0.8440979383	-0.8373097671	-1.0744504154	-1.0059741387	-1.0035656903	-0.8886280644	-0.7002675151	-0.8612146813	-0.8419369816	-0.7338582620	-0.9294132350	-0.9045027581	-0.9757999779	-0.9781601635	-0.8741433659	-1.0134193987	-0.9324290694	-0.8214800031	-1.0199041174	-0.9763184718	-1.0012106293	-1.0312774788	-0.8932956546	-1.1284018046	-1.0023276309	-0.9057277666	-1.1312309408	-1.0026442910	-1.0304614262	-1.1361467473	-1.0763234485	-1.1875893948	-1.0370620760	-0.9727196467	-1.1262651976	-1.0697247424	-1.1364604089	-1.2230816168	-1.1762084359	-1.3478433090	-1.2181221828	-1.1432875673	-1.3586174489	-1.2241426990	-1.3267376642	-1.4166797092	-1.3091029872	-1.4648387406	-1.4084877157	-1.3852680588	-1.6084988446	-1.4076786071	-1.4861960204	-1.6673133257	-1.5606774931	-1.7556294190	-1.7843048786	15	975	46.0000000000	248	4277.5500000000	0	2017-198	19:13:10.007
0250	0.0640000000	0.0000000000	-1.4107802154	-1.1137681744	-0.8971146783	-0.9700051052	-0.7619159077	-0.8626043146	-0.8972648477	-0.7989539328	-0.9166972063	-0.7966247124	-0.7784563569	-0.9684513150	-0.7936398179	-0.9329813887	-1.0001678558	-0.7932635128	-0.9397039007	-0.9224441841	-0.7096627805	-0.8252597319	-0.7407251387	-0.6824409806	-0.7369323831	-0.5616476690	-0.6162041514	-0.6319109868	-0.5120948563	-0.5655007295	-0.4851045726	-0.4332014500	-0.5281422033	-0.4808058428	-0.5589945967	-0.5898281528	-0.4763409579	-0.6572585952	-0.5816700628	-0.5372798151	-0.6469256597	-0.5804360085	-0.6594952990	-0.7161470609	-0.5763976020	-0.7197497027	-0.6942273175	-0.5904388160	-0.7310486608	-0.6592546914	-0.6214460137	-0.7177032295	-0.5986016009	-0.6661487599	-0.6773511581	-0.5202704966	-0.6756268706	-0.5921666522	-0.5524140937	-0.6153439583	-0.5413853543	-0.6074944982	-0.5778457816	-0.4952916026	-0.6151249205	-0.5375432916	-0.4523375489	-0.5967294192	-0.5416503465	-0.5697006405	-0.5782052147	-0.5098695832	-0.6556843233	-0.5846400644	-0.5132302491	-0.6804466464	-0.6677102597	-0.6953029624	-0.7641180276	-0.6991542029	-0.8271943096	-0.7751409489	-0.7171474531	-0.9024406976	-0.9345958194	-0.9980681682	-1.0210505880	-0.8613397493	-0.9249713705	-0.7789806227	-0.7149246870	-0.9137886395	-0.8233503142	-0.8762337342	-0.9877436741	-0.9395773883	-0.9519433289	-0.9790624552	-0.8681312911	-0.9682292687	-0.9623518292	-0.9285202725	-1.0113250174	-0.9777136329	-1.0014178952	-0.9907889786	-0.9997133792	-1.0920747633	-0.9652821236	-1.0503147248	-1.0917104417	-1.0103676258	-1.1355347088	-1.1087709983	-0.9600203017	-1.0368661026	-1.0299196573	-1.1734620533	-1.2096602931	-1.0560636365	-1.2551467655	-1.1806297702	-1.1614187435	-1.2875279285	-1.2900183889	-1.3572179608	-1.3536423571	-1.3107742901	-1.4548217853	-1.3979204098	-1.3439096207	-1.5577179621	-1.4063089998	-1.3579999689	-1.4078908961	-1.4663440662	-1.7881157951	-1.6788339644	-1.5691262770	15	978	45.5000000000	249	4279.4400000000	0	2017-198	19:13:11.989
0250	0.0640000000	0.0000000000	-1.2141142235	-1.0304250182	-1.2176806285	-0.8870479792	-0.8253910721	-0.9358757236	-0.7015653816	-0.8565834248	-0.9382642687	-0.7812416145	-0.9958434416	-0.8568775117	-0.7534092716	-0.9520838595	-0.8117557351	-0.8736430727	-0.9628493169	-0.8749284050	-0.9149190924	-0.7751864569	-0.7228284239	-0.7820188533	-0.6238547273	-0.6299878166	-0.6398960493	-0.5011847724	-0.5985353097	-0.5571285844	-0.4769108614	-0.5677740932	-0.4879051477	-0.4659589494	-0.5699736272	-0.4692756907	-0.5898892794	-0.6247350194	-0.4918523657	-0.6861876417	-0.6373070200	-0.5542486611	-0.6578325772	-0.6119190849	-0.6644347150	-0.7214545354	-0.6017570587	-0.7561319395	-0.7241230150	-0.6092243722	-0.6660914808	-0.6243347372	-0.6574603219	-0.6744539222	-0.6034989456	-0.6854028407	-0.6213153869	-0.4692343134	-0.6376285131	-0.6001109754	-0.5863475543	-0.6385137590	-0.5544877420	-0.6121005581	-0.5764517816	-0.4425158496	-0.5832772545	-0.5490165500	-0.5163353767	-0.5965963486	-0.5366114319	-0.5668910175	-0.6256540347	-0.5365835490	-0.6732511545	-0.6291913863	-0.5416484434	-0.7216341449	-0.7007842815	-0.7608292731	-0.7596144949	-0.6834040440	-0.8482602493	-0.8081131431	-0.7997360305	-1.1192930498	-0.9411196268	-0.8795319594	-0.8661703616	-0.7748689197	-0.9139106152	-0.8582545724	-0.7541788441	-0.9751753181	-0.9184702362	-0.9009946130	-0.9908433104	-0.9545217814	-1.0165107794	-0.9010728251	-0.8497495262	-0.9712870824	-0.9152383310	-0.9522070396	-1.0400329812	-1.0089642575	-1.0650696717	-1.0159612013	-0.9731844483	-1.0979851587	-1.0304614262	-1.0237483834	-1.1382261297	-1.0190810988	-1.0893404229	-1.1205353929	-1.0214185802	-1.1821068292	-1.1101084507	-1.0739584201	-1.2369302279	-1.1930159583	-1.2181221828	-1.2586798563	-1.2148860852	-1.2374502252	-1.2695651920	-1.2902764671	-1.4270658237	-1.3732662879	-1.4802411545	-1.4329669682	-1.3726106924	-1.5070358836	-1.4548739707	-1.5266348440	-1.5854889443	-1.6617683079	-1.8809156793	15	977	48.0000000000	250	4281.4800000000	0	2017-198	19:13:13.939
0250	0.0640000000	0.0000000000	-1.1420033597	-1.0869793028	-1.0030644415	-0.9775466621	-0.9499904689	-0.8159770544	-0.9166197400	-0.8010883585	-0.7721978878	-0.8625522748	-0.8848854504	-0.8592019659	-0.8528023858	-0.8876130206	-1.0264024549	-0.9091046433	-0.8170331944	-0.9473334018	-0.8166580920	-0.7292859548	-0.7447021864	-0.7162598808	-0.7192639994	-0.6699918054	-0.5940917134	-0.6664707906	-0.5466710376	-0.5027096410	-0.5301699840	-0.5018334980	-0.5200947922	-0.5091499118	-0.5040994438	-0.6318813373	-0.5438950226	-0.5138591927	-0.6105944060	-0.5827358885	-0.6260852737	-0.6475410863	-0.6162645338	-0.7363202176	-0.6051789658	-0.5816582494	-0.7524493322	-0.6525737373	-0.6531351457	-0.6730561588	-0.6609400807	-0.7109127937	-0.6120550228	-0.5781140399	-0.7068920431	-0.6028366687	-0.6037440245	-0.6536328217	-0.6066414515	-0.6519031171	-0.5548740143	-0.5321620076	-0.6435402679	-0.4924074308	-0.5420756582	-0.6283157736	-0.5171034248	-0.5714696649	-0.5472758954	-0.4960913344	-0.6183647291	-0.5215662876	-0.5355631691	-0.6497488917	-0.5692375660	-0.6771398555	-0.7477765484	-0.6654609555	-0.7876419905	-0.7122367935	-0.6650027543	-0.7950837543	-0.6963358981	-0.8530310262	-1.0394867664	-1.0086094622	-1.0685095963	-0.8340514342	-0.7212678754	-0.8488795725	-0.7720802195	-0.9315595410	-0.9709161170	-0.7749363983	-1.0235747626	-1.0167429388	-0.7866184075	-0.9790624552	-0.9076991547	-0.9358946847	-1.0449268514	-0.9159417990	-1.0871829277	-1.0389294568	-0.9653771484	-1.1387876782	-0.9866421206	-1.0028381733	-1.1101580751	-0.9205452104	-1.1742634626	-1.0424814441	-0.7883414101	-1.0815922408	-1.0783344551	-1.0201322445	-1.2112759684	-1.0092113110	-1.2067322977	-1.1455375545	-1.0031513287	-1.2890089157	-1.2559244756	-1.1048234709	-1.3096181204	-1.3172953822	-1.3401900106	-1.3107742901	-1.2535910641	-1.5881093501	-1.4228384035	-1.2568479180	-1.5523349989	-1.4611786791	-1.6310605002	-1.5587899255	-1.5069193490	-1.8324248735	-1.7228252781	15	975	46.0000000000	251	4283.3700000000	0	2017-198	19:13:15.967
0250	0.0640000000	0.0000000000	-1.2698362545	-1.0423311834	-1.1253141682	-0.9876020713	-0.8559531883	-0.9958250582	-0.8284474530	-0.7199801845	-0.8368990752	-0.8142053957	-0.8735632064	-0.8847709625	-0.8622683967	-1.0523718313	-0.8976144230	-0.8287250834	-0.9443329839	-0.8432512189	-0.7839044252	-0.7710136840	-0.7526562819	-0.7914129922	-0.6044195052	-0.5916506606	-0.6857003852	-0.5507705778	-0.4976881140	-0.5613146570	-0.5042232319	-0.5502796496	-0.4946113236	-0.4848549955	-0.6207516436	-0.5253466033	-0.4777782784	-0.5759496556	-0.5420893827	-0.5905731425	-0.6292914869	-0.5853461362	-0.6927497337	-0.5766160608	-0.5933278160	-0.7316835320	-0.6531294247	-0.6801892579	-0.7068089006	-0.6471784075	-0.7313425481	-0.6192419103	-0.5986016009	-0.6894032143	-0.5772403811	-0.6352155597	-0.7059774056	-0.5842863741	-0.6639675154	-0.5757382029	-0.5159067743	-0.6237426824	-0.5209105602	-0.5457646080	-0.6237189513	-0.5318700115	-0.5649738548	-0.5363866728	-0.5078970534	-0.6164142387	-0.5323086267	-0.5288767280	-0.6301585780	-0.5226316574	-0.6364463462	-0.7052475788	-0.6046793515	-0.7409436788	-0.6953556747	-0.6412170157	-0.7885772726	-0.6853983246	-0.8420167828	-0.9518503690	-0.9121191879	-1.2009880787	-0.9336260992	-0.7726527251	-0.8745705058	-0.7275843361	-0.8461707247	-0.9537731678	-0.7772360008	-1.0623381420	-0.9781887171	-0.8334747564	-1.0224495454	-0.9152567031	-0.9373750523	-1.0428475393	-0.9198131814	-1.0593363969	-1.0214394054	-0.8476300071	-1.0194382687	-1.0193501312	-1.0389271547	-1.0920747633	-0.9731844483	-1.1218203757	-1.0597544336	-0.8417700800	-1.1624489180	-1.0788743651	-1.0783344551	-1.1930487779	-1.0384207344	-1.2339754847	-1.2008763070	-0.9785195742	-1.3219407367	-1.2239814284	-1.0984149221	-1.4125362416	-1.3161513642	-1.3139685007	-1.2863806250	-1.1912036557	-1.4478827949	-1.3521341834	-1.2255164466	-1.4843350245	-1.4811941275	-1.6216788949	-1.5292638387	-1.3538012809	-1.7343576510	-1.6276369947	-1.5647348769	15	975	45.0000000000	252	4285.4500000000	0	2017-198	19:13:17.917
0250	0.0640000000	0.0000000000	-1.1125034610	-1.1792520829	-1.0166477444	-0.9901159236	-0.8512513243	-0.7360446082	-0.8413507145	-0.8096260610	-0.7269070567	-0.8559595186	-0.8826210016	-0.8987176879	-0.9190644620	-0.8470202701	-1.0025528194	-0.8783712822	-0.7962023198	-0.9405454333	-0.8210252476	-0.7605817517	-0.8103234739	-0.7162598808	-0.7846370191	-0.6149863208	-0.5135392606	-0.5793199810	-0.4976881140	-0.4887560657	-0.5656760657	-0.4762646958	-0.5670380237	-0.5199476525	-0.4629280792	-0.5688015606	-0.5323964584	-0.5508178016	-0.6197284091	-0.6234896095	-0.5908169281	-0.6213537389	-0.6179272555	-0.6758007476	-0.6102580300	-0.5543809253	-0.6771031955	-0.6577516474	-0.6894947861	-0.6834072593	-0.6575058140	-0.6905414863	-0.6524152887	-0.6379112082	-0.6789923183	-0.6190261142	-0.6293023698	-0.6158074866	-0.5632595653	-0.6321002394	-0.5893450343	-0.5484101918	-0.6055834536	-0.5428804363	-0.5606960584	-0.5800928925	-0.5311829630	-0.5770829436	-0.5472758954	-0.4904290801	-0.5064917960	-0.5610426653	-0.6196479770	-0.6125438475	-0.6028419561	-0.6854068329	-0.6336394985	-0.6373743607	-0.6971652103	-0.6748579631	-0.7731304578	-0.7910951932	-0.7754198070	-0.9293914274	-0.9495802404	-0.9295497569	-0.9935743201	-0.8999981957	-0.8346698212	-0.8139300976	-0.8461707247	-0.9915363335	-0.8832989216	-0.8573877182	-1.0211860234	-0.9395773883	-0.8522621263	-0.9496136466	-0.9373750523	-1.0577711934	-0.9373290952	-0.9511615248	-1.1630408380	-0.9624096769	-0.9756745046	-1.0582971574	-0.9500425968	-1.1235700303	-0.9468433662	-0.9258419252	-1.2514904822	-1.0130437774	-1.0009636628	-1.1169246255	-1.0095471566	-1.1958377542	-1.1120967358	-1.0668431504	-1.2887161679	-0.9844845021	-1.0942340167	-1.3323605740	-1.2181221828	-1.2586798563	-1.3455509613	-1.2906803299	-1.4444456953	-1.2390319095	-1.2744080352	-1.5141469844	-1.3439096207	-1.5173573464	-1.4699613584	-1.3771071375	-1.7289419054	-1.4100726735	-1.4986488653	-1.8110928028	-1.4856896764	15	976	46.5000000000	253	4287.3400000000	0	2017-198	19:13:19.804
