SN	INTTIME(LT)	SAMPLE(DELAY)	LT(348.18)	LT(351.52)	LT(354.85)	LT(358.19)	LT(361.52)	LT(364.86)	LT(368.20)	LT(371.54)	LT(374.88)	LT(378.22)	LT(381.56)	LT(384.90)	LT(388.24)	LT(391.58)	LT(394.92)	LT(398.27)	LT(401.61)	LT(404.95)	LT(408.30)	LT(411.64)	LT(414.99)	LT(418.34)	LT(421.68)	LT(425.03)	LT(428.38)	LT(431.72)	LT(435.07)	LT(438.42)	LT(441.77)	LT(445.12)	LT(448.47)	LT(451.82)	LT(455.17)	LT(458.52)	LT(461.87)	LT(465.22)	LT(468.58)	LT(471.93)	LT(475.28)	LT(478.63)	LT(481.99)	LT(485.34)	LT(488.69)	LT(492.05)	LT(495.40)	LT(498.76)	LT(502.11)	LT(505.47)	LT(508.82)	LT(512.17)	LT(515.53)	LT(518.88)	LT(522.24)	LT(525.60)	LT(528.95)	LT(532.31)	LT(535.66)	LT(539.02)	LT(542.37)	LT(545.73)	LT(549.09)	LT(552.44)	LT(555.80)	LT(559.15)	LT(562.51)	LT(565.87)	LT(569.22)	LT(572.58)	LT(575.93)	LT(579.29)	LT(582.64)	LT(586.00)	LT(589.35)	LT(592.71)	LT(596.06)	LT(599.42)	LT(602.77)	LT(606.13)	LT(609.48)	LT(612.84)	LT(616.19)	LT(619.55)	LT(622.90)	LT(626.25)	LT(629.61)	LT(632.96)	LT(636.31)	LT(639.67)	LT(643.02)	LT(646.37)	LT(649.72)	LT(653.07)	LT(656.42)	LT(659.77)	LT(663.12)	LT(666.47)	LT(669.82)	LT(673.17)	LT(676.52)	LT(679.87)	LT(683.22)	LT(686.56)	LT(689.91)	LT(693.26)	LT(696.60)	LT(699.95)	LT(703.30)	LT(706.64)	LT(709.98)	LT(713.33)	LT(716.67)	LT(720.01)	LT(723.35)	LT(726.70)	LT(730.04)	LT(733.38)	LT(736.72)	LT(740.06)	LT(743.39)	LT(746.73)	LT(750.07)	LT(753.41)	LT(756.74)	LT(760.08)	LT(763.41)	LT(766.74)	LT(770.08)	LT(773.41)	LT(776.74)	LT(780.07)	LT(783.40)	LT(786.73)	LT(790.06)	LT(793.39)	LT(796.71)	LT(800.04)	LT(803.36)	DARK_SAMP(LT)	DARK_AVE(LT)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0251	1.0240000000	0.0000000000	0.1517185963	0.1385146048	0.1180674120	0.1211360175	0.1163056578	0.1084714613	0.1179417400	0.1223778858	0.1195099374	0.1297188428	0.1337241647	0.1292847262	0.1310156729	0.1366279314	0.1265630873	0.1239226366	0.1249685516	0.1138333493	0.1080261257	0.1085509831	0.0990867577	0.0898102509	0.0894489161	0.0862151613	0.0792927132	0.0796584064	0.0793622749	0.0758579066	0.0796941992	0.0804069593	0.0797428439	0.0820179281	0.0871876334	0.0859433512	0.0919812481	0.0966803118	0.0943249398	0.0984725336	0.1021048369	0.0972681065	0.0986722016	0.1066025584	0.0970330707	0.0998856335	0.1084198514	0.0996128445	0.0993632090	0.1055101116	0.0946605174	0.0931335726	0.0986031013	0.0919226455	0.0903298721	0.0940179742	0.0878767746	0.0899576458	0.0926540225	0.0850496140	0.0883700802	0.0880670784	0.0844308916	0.0858944340	0.0889131320	0.0842293483	0.0868330302	0.0908437039	0.0841952873	0.0910101195	0.0950715075	0.0933847849	0.1025203876	0.1089240966	0.1076378558	0.1177201388	0.1243763540	0.1240979863	0.1340595441	0.1364966025	0.1248600925	0.1282911594	0.1223850571	0.1204431373	0.1273813574	0.1298312630	0.1335339290	0.1404058957	0.1439657361	0.1406864111	0.1485395489	0.1532475685	0.1482174729	0.1517169243	0.1549587689	0.1499329149	0.1462140566	0.1548928316	0.1559191717	0.1453229434	0.1558461148	0.1609097514	0.1514783739	0.1627057757	0.1675464682	0.1585900827	0.1649648534	0.1733617968	0.1629183685	0.1666023410	0.1709452775	0.1638927516	0.1698636217	0.1736025974	0.1660257656	0.1709521206	0.1771328052	0.1751013214	0.1774882473	0.1972499769	0.1857596796	0.1902421522	0.2073346716	0.2014304386	0.2015378249	0.2230908615	0.2122142573	0.2157528718	0.2325255471	0.2259388130	0.2287095235	0.2433377293	0.2377560369	0.2511473749	0.2537918461	0.2636131427	0.2785510916	0.2830208293	0.2937723100	15	1998	51.0000000000	185	4269.8800000000	0	2017-198	19:13:03.221
0251	1.0240000000	0.0000000000	0.1406719255	0.1402514651	0.1267240857	0.1134184199	0.1190873578	0.1152917847	0.1122469673	0.1248618554	0.1268564082	0.1230342599	0.1382111822	0.1364720804	0.1296108505	0.1401080910	0.1352387828	0.1199192616	0.1287888034	0.1183952536	0.1042440854	0.1106021646	0.1025754368	0.0888367574	0.0934797963	0.0857783275	0.0766754776	0.0806741634	0.0777671435	0.0711145392	0.0778083195	0.0790056494	0.0735210461	0.0822266371	0.0838564323	0.0810611204	0.0871599045	0.0934824008	0.0916419800	0.0938504246	0.0982722022	0.0997241923	0.0976292433	0.1017656334	0.1012182986	0.0996251446	0.1015388623	0.1023282747	0.0993632090	0.1015739015	0.1016910068	0.0956115772	0.0961572027	0.0976056380	0.0915241367	0.0938996315	0.0940818437	0.0891485890	0.0892304606	0.0927231072	0.0859030361	0.0852839890	0.0936510878	0.0841199848	0.0834783169	0.0943352487	0.0836055619	0.0852401563	0.0960747807	0.0853797628	0.0880212616	0.1015287397	0.0970604823	0.1013268519	0.1159147449	0.1144717621	0.1170696542	0.1353951756	0.1292938056	0.1318666926	0.1349479492	0.1258350428	0.1251277023	0.1294927184	0.1262265485	0.1330749106	0.1402206203	0.1384197931	0.1483869487	0.1479870651	0.1468297171	0.1553654310	0.1534916086	0.1536884389	0.1579423983	0.1563436519	0.1570833590	0.1587329961	0.1569341502	0.1559208623	0.1581020523	0.1580264996	0.1558343419	0.1658383837	0.1650261102	0.1606981019	0.1683438267	0.1682807538	0.1601604741	0.1655411796	0.1662855848	0.1571044664	0.1581662262	0.1650392397	0.1647253027	0.1625910436	0.1695115579	0.1730415508	0.1681350075	0.1843369406	0.1931023948	0.1872426346	0.1986507430	0.2113541752	0.2063259829	0.2130629173	0.2237984717	0.2247452327	0.2242229242	0.2361689015	0.2329010350	0.2393633960	0.2574848272	0.2524341109	0.2604072710	0.2796460757	0.2774933026	0.2804670593	0.3110923031	15	2001	52.0000000000	186	4277.2900000000	0	2017-198	19:13:10.709
0251	1.0240000000	0.0000000000	0.1541945743	0.1374724887	0.1220751313	0.1212873430	0.1174768999	0.1108437477	0.1203395390	0.1223778858	0.1232648002	0.1327269051	0.1332064319	0.1327907526	0.1389177992	0.1333217799	0.1275837573	0.1305949281	0.1228992486	0.1130730319	0.1144265015	0.1044486203	0.0941767648	0.0982066323	0.0880669001	0.0796626539	0.0848412528	0.0780331952	0.0741780978	0.0794154321	0.0778083195	0.0725996615	0.0810688008	0.0817048647	0.0788059016	0.0854995121	0.0895705763	0.0854284027	0.0909102637	0.0970983931	0.0935452861	0.0958461621	0.1027136651	0.0990203516	0.0991256846	0.1009275890	0.1024476722	0.1006472941	0.1006463680	0.1022087741	0.0983013065	0.0968505795	0.0989699861	0.0947036844	0.0946292246	0.0928345469	0.0892816959	0.0886862708	0.0911704790	0.0867422963	0.0841088222	0.0891803141	0.0826535044	0.0854508217	0.0892458758	0.0845625098	0.0833829779	0.0943179033	0.0851003915	0.0853797628	0.0970690771	0.0932632333	0.0975683805	0.1118563665	0.1091810046	0.1124046133	0.1267082795	0.1257352602	0.1264003215	0.1400976435	0.1297358899	0.1263262661	0.1286770079	0.1239983298	0.1300209205	0.1373428680	0.1374051714	0.1431142173	0.1520712926	0.1421839812	0.1525291564	0.1622966174	0.1507568716	0.1590115285	0.1651031088	0.1557426453	0.1601026097	0.1637858441	0.1563251631	0.1624426585	0.1654851208	0.1586443393	0.1651685591	0.1652118621	0.1580951257	0.1676545655	0.1653872251	0.1648933919	0.1677977201	0.1680879670	0.1590842414	0.1634684838	0.1660353831	0.1628984002	0.1623411207	0.1738124890	0.1708564839	0.1673199660	0.1826325292	0.1867282437	0.1767036643	0.1932416697	0.2032481170	0.1899397962	0.2068580005	0.2149600960	0.2066979648	0.2168769169	0.2313803577	0.2276925424	0.2352961844	0.2531207036	0.2427665233	0.2582244227	0.2723150358	0.2639542689	0.2771407063	0.2928710849	0.2885010078	15	2000	51.5000000000	187	4284.7100000000	0	2017-198	19:13:18.088
0251	1.0240000000	0.0000000000	0.1456238814	0.1333040241	0.1353807595	0.1161422779	0.1116206894	0.1241878588	0.1165929781	0.1169442023	0.1338763691	0.1278805825	0.1299274577	0.1396275043	0.1336497150	0.1324517400	0.1352387828	0.1267583605	0.1224217172	0.1193076344	0.1099171458	0.1066365471	0.1012833335	0.0929741047	0.0912916042	0.0833757414	0.0808630546	0.0788458008	0.0774680563	0.0758579066	0.0785031173	0.0767034975	0.0789268704	0.0803482564	0.0841788066	0.0854995121	0.0896853702	0.0915873424	0.0938371289	0.0974731587	0.0995497471	0.0975266419	0.1015403370	0.1012427226	0.0967714939	0.1024905223	0.0984229427	0.0949578211	0.1003897362	0.0973837424	0.0945349730	0.0968505795	0.0942004838	0.0898670950	0.0905687250	0.0896392932	0.0869401604	0.0877616343	0.0871763235	0.0842596955	0.0835481304	0.0851726654	0.0835421980	0.0824564386	0.0854747796	0.0852288329	0.0814910138	0.0855763692	0.0887208085	0.0853797628	0.0910763682	0.0981252959	0.0970604823	0.1026597018	0.1121270160	0.1121093063	0.1214225818	0.1306470816	0.1301448303	0.1316952145	0.1336029016	0.1241976317	0.1215783968	0.1314319143	0.1254016851	0.1284655166	0.1444437938	0.1367948001	0.1371497000	0.1543517379	0.1464497544	0.1470865140	0.1613051430	0.1493511067	0.1535664086	0.1633553955	0.1536615416	0.1544886038	0.1618060470	0.1524561581	0.1556410295	0.1609097514	0.1543823526	0.1635411378	0.1601954241	0.1575360731	0.1681326409	0.1640465514	0.1588875997	0.1750916322	0.1690390396	0.1609228769	0.1745425798	0.1725321777	0.1668927409	0.1790931692	0.1800468115	0.1746435946	0.1901151210	0.1872065043	0.1815988077	0.1999905843	0.2004386106	0.1920290039	0.2174983515	0.2152311215	0.1995267844	0.2303654582	0.2293762763	0.2189238951	0.2424816326	0.2430320113	0.2346244828	0.2492172710	0.2564380160	0.2564494918	0.2711465689	0.2855745992	0.2854888351	15	1972	50.5000000000	188	4292.1200000000	0	2017-198	19:13:25.451
0251	1.0240000000	0.0000000000	0.1435288231	0.1301776756	0.1288080998	0.1123591418	0.1101566368	0.1201846254	0.1128464171	0.1192729238	0.1312642906	0.1253738639	0.1304451904	0.1436594347	0.1317180842	0.1296676124	0.1362594528	0.1230886001	0.1179647568	0.1218927135	0.1071533471	0.1051323474	0.1027046472	0.0898102509	0.0869152200	0.0840309922	0.0776176824	0.0767127111	0.0756735335	0.0730909423	0.0765179807	0.0740009714	0.0756629765	0.0826440550	0.0829967675	0.0821707184	0.0917516603	0.0936008419	0.0898126892	0.1014706584	0.1012105555	0.0962339652	0.1059729099	0.1017656334	0.0974254358	0.1050954111	0.1030968221	0.0957336583	0.1012879475	0.0995423092	0.0898898282	0.0990807836	0.0953011382	0.0858769088	0.0963011949	0.0915327769	0.0854181623	0.0926159755	0.0901434104	0.0822284767	0.0881458035	0.0885123727	0.0806539438	0.0856726279	0.0858075234	0.0810087866	0.0841620220	0.0880419301	0.0866843240	0.0859542890	0.0907238559	0.0927770271	0.0940130933	0.1067915367	0.1129687335	0.1137334947	0.1220444286	0.1362138125	0.1355913887	0.1346103429	0.1416731870	0.1284549005	0.1246437061	0.1343407082	0.1280412482	0.1339285021	0.1458515183	0.1398642313	0.1452552564	0.1592188406	0.1472096797	0.1486267776	0.1632585266	0.1505340155	0.1535664086	0.1691651260	0.1566807922	0.1571160848	0.1747977719	0.1616274340	0.1581020523	0.1740903310	0.1618497264	0.1610350515	0.1721671245	0.1609089039	0.1605299510	0.1712446955	0.1663127000	0.1680879670	0.1686154312	0.1677111621	0.1668861028	0.1671800791	0.1684099477	0.1784330842	0.1757878792	0.1780765455	0.1831001912	0.1860108528	0.1921233661	0.1977409461	0.2022264783	0.2061311559	0.2095180882	0.2106236877	0.2149724036	0.2213730973	0.2222188428	0.2209699128	0.2358949717	0.2363062165	0.2377560369	0.2562943187	0.2604072710	0.2629308902	0.2796088805	0.2855745992	0.2866183998	15	1983	52.5000000000	189	4299.5400000000	0	2017-198	19:13:32.893
0251	1.0240000000	0.0000000000	0.1471475601	0.1395567210	0.1268843945	0.1165962542	0.1149880104	0.1141056415	0.1167428405	0.1220673896	0.1257136238	0.1292174991	0.1368305614	0.1355955738	0.1355813459	0.1408041229	0.1320066609	0.1289268552	0.1240134887	0.1180911266	0.1113717767	0.1071835288	0.1020585955	0.0935825382	0.0892185801	0.0876348712	0.0802349180	0.0781347709	0.0781659263	0.0756602663	0.0779075763	0.0790056494	0.0788248737	0.0802439019	0.0862205105	0.0857214317	0.0887670190	0.0934824008	0.0940810344	0.0964737838	0.0961003759	0.0992071216	0.1011492276	0.0977130746	0.0980793776	0.1043139445	0.0980334527	0.0985783948	0.1025711064	0.0996692837	0.0941583396	0.1006914866	0.0983585115	0.0927690486	0.0972566066	0.0968581998	0.0881109281	0.0923848164	0.0919693101	0.0857266869	0.0910614010	0.0905161970	0.0837643714	0.0896651387	0.0904659364	0.0821193251	0.0909508345	0.0912919877	0.0837427351	0.0912399300	0.0942489788	0.0892520317	0.1013776167	0.1094572366	0.1027278369	0.1159482970	0.1251536625	0.1236068042	0.1298044204	0.1368395588	0.1253644853	0.1248525961	0.1278703475	0.1233519312	0.1214423404	0.1308555728	0.1354695502	0.1331837045	0.1450710392	0.1494846352	0.1430300908	0.1493969094	0.1566170223	0.1507311670	0.1559533121	0.1611517047	0.1522525579	0.1603499075	0.1628210255	0.1536789949	0.1634342684	0.1675000412	0.1570789042	0.1631234568	0.1681765577	0.1545848461	0.1594740219	0.1727266664	0.1561297053	0.1655411796	0.1709452775	0.1632563499	0.1636959041	0.1731744296	0.1727448240	0.1702920355	0.1755637249	0.1764745017	0.1798265572	0.1848152013	0.1933471520	0.2004905039	0.1963520560	0.2043030992	0.2140402374	0.2084554835	0.2144207744	0.2241832101	0.2259407082	0.2230159305	0.2463737504	0.2399748319	0.2424533679	0.2656231544	0.2574303298	0.2680477837	0.2877185959	0.2837504778	0.2967844827	15	2008	54.5000000000	190	4306.9400000000	0	2017-198	19:13:40.287
0251	1.0240000000	0.0000000000	0.1555277932	0.1324355940	0.1239988366	0.1255244554	0.1124991210	0.1127712304	0.1258844493	0.1202044124	0.1255503689	0.1397457171	0.1319983888	0.1362967791	0.1450638974	0.1324517400	0.1296250974	0.1345983031	0.1209891228	0.1153539841	0.1168993740	0.1044486203	0.0985699163	0.0961379586	0.0884124041	0.0829389076	0.0828521537	0.0776268924	0.0777671435	0.0786248708	0.0746321010	0.0788054623	0.0823947577	0.0804526109	0.0846086390	0.0908255820	0.0879634618	0.0936008419	0.0987152377	0.0957242526	0.1003162741	0.1045070962	0.1011492276	0.1011119949	0.1021338172	0.1004066113	0.1005002224	0.1010352127	0.0987216296	0.0981455895	0.0971714065	0.0927618719	0.0959126129	0.0937363665	0.0893744605	0.0905860350	0.0901012333	0.0868369979	0.0885457482	0.0883221332	0.0832117153	0.0847273711	0.0859861054	0.0830109540	0.0848092920	0.0860062099	0.0840507300	0.0826625245	0.0880419804	0.0861840995	0.0839086182	0.0935063365	0.0975683805	0.0974615870	0.1069364245	0.1171295249	0.1145822671	0.1254078054	0.1374636431	0.1308378237	0.1305765446	0.1345133216	0.1223850571	0.1262607251	0.1344751833	0.1332456289	0.1374051714	0.1463642034	0.1441499533	0.1461151026	0.1534790630	0.1488193105	0.1507568716	0.1615744975	0.1527707741	0.1527376124	0.1633231437	0.1550949456	0.1500322963	0.1671301996	0.1578969671	0.1588502858	0.1699393813	0.1604085299	0.1631358417	0.1680761693	0.1611635085	0.1625645806	0.1671612829	0.1615087662	0.1631085215	0.1641048855	0.1611437451	0.1676082470	0.1690601791	0.1663315254	0.1827366635	0.1874599445	0.1786574023	0.2020325830	0.1977527811	0.1934916295	0.2126982747	0.2123987790	0.2018038337	0.2225488105	0.2182821791	0.2129427590	0.2371063045	0.2344151721	0.2233204373	0.2546492934	0.2521611854	0.2421402233	0.2752919770	0.2741880559	0.2651524315	0.3001675706	0.2986670907	15	1974	52.5000000000	191	4314.3700000000	0	2017-198	19:13:47.775
0251	1.0240000000	0.0000000000	0.1442906625	0.1268776412	0.1278462472	0.1175042069	0.1089853947	0.1179606069	0.1164431156	0.1177204428	0.1302847612	0.1302201865	0.1295823025	0.1413805175	0.1385665936	0.1317557081	0.1354088944	0.1314289646	0.1230584258	0.1237174752	0.1132627968	0.1055425837	0.1039967506	0.0958945852	0.0862242120	0.0868704120	0.0803396075	0.0738685915	0.0797610578	0.0748697050	0.0733417623	0.0806071464	0.0806608140	0.0786785847	0.0863279686	0.0876077481	0.0844048510	0.0931270773	0.0946907980	0.0914769091	0.0968669029	0.0988193186	0.0954129568	0.0987588962	0.1018722404	0.0961085447	0.0980334527	0.0998714569	0.0952571004	0.0948442520	0.0955393286	0.0937530738	0.0927329446	0.0933736223	0.0939126658	0.0892842650	0.0889304656	0.0899576458	0.0892304606	0.0861780689	0.0874729732	0.0859519305	0.0860971921	0.0846745002	0.0849202066	0.0854509406	0.0873894902	0.0860246530	0.0872500141	0.0896312566	0.0902538395	0.0908322021	0.1003618204	0.1033261268	0.1056738482	0.1143241086	0.1173805776	0.1242617137	0.1330383144	0.1311807800	0.1275501876	0.1253438194	0.1220623930	0.1243215292	0.1216073131	0.1310262911	0.1365253436	0.1292114994	0.1386234375	0.1481742614	0.1403703524	0.1490118435	0.1575937141	0.1528998331	0.1519751396	0.1633553955	0.1554730920	0.1561055152	0.1687079009	0.1622388524	0.1591274785	0.1722368120	0.1635091427	0.1652118621	0.1717470648	0.1655465462	0.1639089243	0.1756906081	0.1677977201	0.1612965340	0.1787820336	0.1660140908	0.1566774668	0.1778842763	0.1692769229	0.1672116388	0.1820642005	0.1835692669	0.1767867543	0.1953369345	0.1975080239	0.1882424738	0.2029927073	0.2137045338	0.2060599741	0.2111657387	0.2249017302	0.2219351199	0.2205010587	0.2425992429	0.2385895148	0.2402805498	0.2628084691	0.2627279985	0.2584226435	0.2775993183	0.2848978253	0.2826560050	0.3137279542	15	1990	54.0000000000	192	4321.7700000000	0	2017-198	19:13:55.154
0251	1.0240000000	0.0000000000	0.1467666404	0.1350408843	0.1254416156	0.1176555323	0.1160128473	0.1155883205	0.1162932532	0.1236198706	0.1293052317	0.1308886448	0.1351047855	0.1366473818	0.1332985094	0.1324517400	0.1328572193	0.1262579386	0.1206707685	0.1223489039	0.1086079780	0.1060895654	0.1046428023	0.0934608515	0.0880669001	0.0874164543	0.0810724335	0.0787442251	0.0798607535	0.0772413887	0.0752276420	0.0782049009	0.0788248737	0.0784698757	0.0841788066	0.0847227935	0.0865859350	0.0914689013	0.0926176017	0.0982226899	0.0994219926	0.0998534600	0.1032351443	0.1045109151	0.0999104149	0.1041837001	0.1041354620	0.0967681080	0.1025711064	0.1038594428	0.0941583396	0.1009392871	0.1017827696	0.0930108781	0.0951069304	0.0989883689	0.0903353869	0.0922692369	0.0940234472	0.0853881504	0.0894914639	0.0889576670	0.0819869842	0.0870034648	0.0878039861	0.0818972174	0.0880572423	0.0908437039	0.0857792197	0.0900908776	0.0941314747	0.0907106505	0.0993460241	0.1067915367	0.1053932757	0.1104851179	0.1190906563	0.1224607125	0.1255492967	0.1340959085	0.1285589733	0.1202678450	0.1248050382	0.1256143265	0.1189677499	0.1298312630	0.1386369303	0.1313781567	0.1439657361	0.1492974389	0.1405603337	0.1511297060	0.1583750676	0.1489568038	0.1555554948	0.1597493560	0.1500384408	0.1599456796	0.1646479868	0.1544942194	0.1609732456	0.1701773464	0.1570789042	0.1599908489	0.1706969157	0.1562712615	0.1603187652	0.1748437676	0.1614333484	0.1621454631	0.1696744522	0.1653776890	0.1617817848	0.1671800791	0.1673262286	0.1698519789	0.1724255642	0.1739570044	0.1842693461	0.1879238952	0.1884520085	0.2022402224	0.2019710686	0.2022138914	0.2182963778	0.2130629173	0.2119384427	0.2300844469	0.2290899790	0.2238927953	0.2451761757	0.2418091396	0.2421402125	0.2611195785	0.2604072710	0.2639542689	0.2859556143	0.2866690721	0.2802175328	15	2003	54.0000000000	193	4329.1900000000	0	2017-198	19:14:02.533
0251	1.0240000000	0.0000000000	0.1473380200	0.1348671983	0.1188689558	0.1172015560	0.1160128473	0.1092128008	0.1186910522	0.1265695845	0.1240810748	0.1307215302	0.1414901564	0.1355955738	0.1340009206	0.1449803143	0.1323468843	0.1300945063	0.1357925982	0.1177869997	0.1135537230	0.1168924543	0.1018001748	0.0940692849	0.0977410124	0.0844678260	0.0798161603	0.0863624026	0.0750753592	0.0752649857	0.0847562973	0.0753021877	0.0769889334	0.0897401599	0.0824594770	0.0830583967	0.0970321794	0.0914689013	0.0889590202	0.1033444864	0.0972501663	0.0942949501	0.1021921859	0.0994125347	0.0955943986	0.0983227002	0.0976439627	0.0961215770	0.0962836276	0.0961139972	0.0921496284	0.0918945703	0.0924883548	0.0888997771	0.0903298721	0.0896392932	0.0881109281	0.0914601800	0.0870622048	0.0882092877	0.0885943569	0.0837254590	0.0863193655	0.0875579802	0.0853638650	0.0858951560	0.0858314021	0.0872574335	0.0857792197	0.0891716357	0.0876687494	0.0918046146	0.0980762787	0.0993275769	0.1098824359	0.1150623761	0.1180024244	0.1293372625	0.1333787243	0.1291230423	0.1337710326	0.1304197938	0.1215783968	0.1262607251	0.1285361663	0.1293191081	0.1335339290	0.1391420122	0.1412024782	0.1386272523	0.1477796236	0.1518998378	0.1447013824	0.1544770448	0.1605282104	0.1529379479	0.1570833590	0.1676260086	0.1557161759	0.1599969849	0.1699969959	0.1609097514	0.1641314239	0.1729389616	0.1648160804	0.1674437636	0.1729899149	0.1680690437	0.1699191773	0.1723326126	0.1641675426	0.1651655551	0.1741172200	0.1607575608	0.1642918151	0.1799732826	0.1701840209	0.1732704142	0.1896474590	0.1833804194	0.1886967657	0.2029901018	0.1955858270	0.1990800799	0.2103161146	0.2041190752	0.2144207744	0.2185629845	0.2153477066	0.2317845779	0.2352961844	0.2323318832	0.2574848272	0.2604762106	0.2511456761	0.2864686003	0.2841926327	0.2742650464	0.3118453463	15	1986	50.0000000000	194	4336.6100000000	0	2017-198	19:14:09.943
