SN	INTTIME(LT)	SAMPLE(DELAY)	LT(348.18)	LT(351.52)	LT(354.85)	LT(358.19)	LT(361.52)	LT(364.86)	LT(368.20)	LT(371.54)	LT(374.88)	LT(378.22)	LT(381.56)	LT(384.90)	LT(388.24)	LT(391.58)	LT(394.92)	LT(398.27)	LT(401.61)	LT(404.95)	LT(408.30)	LT(411.64)	LT(414.99)	LT(418.34)	LT(421.68)	LT(425.03)	LT(428.38)	LT(431.72)	LT(435.07)	LT(438.42)	LT(441.77)	LT(445.12)	LT(448.47)	LT(451.82)	LT(455.17)	LT(458.52)	LT(461.87)	LT(465.22)	LT(468.58)	LT(471.93)	LT(475.28)	LT(478.63)	LT(481.99)	LT(485.34)	LT(488.69)	LT(492.05)	LT(495.40)	LT(498.76)	LT(502.11)	LT(505.47)	LT(508.82)	LT(512.17)	LT(515.53)	LT(518.88)	LT(522.24)	LT(525.60)	LT(528.95)	LT(532.31)	LT(535.66)	LT(539.02)	LT(542.37)	LT(545.73)	LT(549.09)	LT(552.44)	LT(555.80)	LT(559.15)	LT(562.51)	LT(565.87)	LT(569.22)	LT(572.58)	LT(575.93)	LT(579.29)	LT(582.64)	LT(586.00)	LT(589.35)	LT(592.71)	LT(596.06)	LT(599.42)	LT(602.77)	LT(606.13)	LT(609.48)	LT(612.84)	LT(616.19)	LT(619.55)	LT(622.90)	LT(626.25)	LT(629.61)	LT(632.96)	LT(636.31)	LT(639.67)	LT(643.02)	LT(646.37)	LT(649.72)	LT(653.07)	LT(656.42)	LT(659.77)	LT(663.12)	LT(666.47)	LT(669.82)	LT(673.17)	LT(676.52)	LT(679.87)	LT(683.22)	LT(686.56)	LT(689.91)	LT(693.26)	LT(696.60)	LT(699.95)	LT(703.30)	LT(706.64)	LT(709.98)	LT(713.33)	LT(716.67)	LT(720.01)	LT(723.35)	LT(726.70)	LT(730.04)	LT(733.38)	LT(736.72)	LT(740.06)	LT(743.39)	LT(746.73)	LT(750.07)	LT(753.41)	LT(756.74)	LT(760.08)	LT(763.41)	LT(766.74)	LT(770.08)	LT(773.41)	LT(776.74)	LT(780.07)	LT(783.40)	LT(786.73)	LT(790.06)	LT(793.39)	LT(796.71)	LT(800.04)	LT(803.36)	DARK_SAMP(LT)	DARK_AVE(LT)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0251	1.0240000000	0.0000000000	0.5124495379	0.5166290809	0.5189996554	0.5070158985	0.5203841810	0.5861906356	0.6084415050	0.5927796297	0.6117234780	0.6155209032	0.5915725213	0.5820880451	0.6181378560	0.6264603868	0.6542495075	0.7811433568	0.8861537059	0.9270688171	0.9444388806	0.9655345880	0.9801720618	0.9826254729	0.9771638952	0.9562789267	0.9281145766	0.9494511248	1.0139099009	1.0798706557	1.1373749407	1.2074604568	1.2735120392	1.3175750135	1.3462741839	1.3799564328	1.4013204065	1.4117323862	1.4210485631	1.4503769610	1.4930957121	1.5340782868	1.5320880549	1.5006827742	1.5058854193	1.5588838545	1.5832884735	1.5909012940	1.5939867439	1.6129516032	1.6432513427	1.6374260380	1.6045428884	1.6119417665	1.6703418878	1.7098696210	1.7462693106	1.7773035271	1.7754487879	1.7663345571	1.7665207569	1.7710568875	1.7869456695	1.7901420360	1.7711547897	1.7648072693	1.7602196754	1.7432177987	1.7277514844	1.7101398329	1.6811418109	1.6617646183	1.6213898536	1.5252104531	1.4200157722	1.3399957072	1.2738601476	1.2212351601	1.1740117741	1.1216385388	1.0985063953	1.0614517434	1.0284259683	1.0163516661	0.9878789385	0.9622536672	0.9510699228	0.9399024545	0.9302047145	0.9250387286	0.9046651723	0.8696626956	0.8445987237	0.8178917252	0.7833111120	0.7625589707	0.7689848252	0.7539584884	0.7354719005	0.7402330429	0.7405441158	0.7317936051	0.7107016999	0.6823010092	0.6426339493	0.6312079988	0.6217598008	0.5950883584	0.5712988846	0.5573219713	0.5221166698	0.4795480135	0.4238034428	0.3769823448	0.3576273020	0.3577561830	0.3403171588	0.3426293242	0.3668913529	0.3557933667	0.3605163006	0.3757123218	0.3705414489	0.3615159789	0.3499707219	0.3122582572	0.3018540115	0.3388358114	0.3627908373	0.3755903941	0.3837954476	0.3867194469	0.3962126706	0.3914015937	0.3867618869	0.4065450345	0.4068961515	0.4070610858	0.4312026901	15	2166	53.0000000000	113	3822.9400000000	0	2017-198	19:05:36.174
0251	1.0240000000	0.0000000000	0.4994982686	0.5096816400	0.5034497043	0.4964231175	0.5165776442	0.5715121135	0.5948040230	0.5865697057	0.6007853993	0.6069980600	0.5901919006	0.5796338266	0.6121673606	0.6208921316	0.6477852638	0.7654634716	0.8745337736	0.9144475486	0.9271287731	0.9477576822	0.9620826143	0.9653459634	0.9573549984	0.9412081598	0.9071766915	0.9302533176	0.9981579780	1.0592172438	1.1166302640	1.1895437093	1.2529087089	1.2972258892	1.3284361394	1.3583192735	1.3823794140	1.3942030962	1.4033654190	1.4317636031	1.4753378382	1.5126198532	1.5148792425	1.4810736189	1.4903216030	1.5453384327	1.5684878552	1.5739621813	1.5816684181	1.6006350748	1.6271816527	1.6270184187	1.5940255243	1.5999712078	1.6599517861	1.7032424281	1.7316347136	1.7688662198	1.7708840388	1.7555013901	1.7599045931	1.7698323282	1.7756148261	1.7803825652	1.7681600956	1.7492597302	1.7483114304	1.7367176836	1.7103282274	1.6980747829	1.6737390527	1.6469353275	1.6100891194	1.5189460583	1.4045842842	1.3234585166	1.2682635265	1.2071546054	1.1588635337	1.1211241043	1.0842152649	1.0465513024	1.0277806400	1.0081100833	0.9768257679	0.9617415124	0.9477265771	0.9287080582	0.9274414566	0.9270978875	0.8944061815	0.8694701627	0.8512402280	0.8109914239	0.7839078378	0.7739780960	0.7627450405	0.7513310075	0.7470426555	0.7335074406	0.7292644279	0.7338530706	0.7015749097	0.6685175343	0.6480947250	0.6225651199	0.6073991645	0.5997459810	0.5640859300	0.5431024084	0.5320714680	0.4753053353	0.4114680076	0.3797654361	0.3543761447	0.3405939724	0.3385239241	0.3419427341	0.3449112394	0.3522064122	0.3588030004	0.3632143320	0.3661994846	0.3599490732	0.3502367307	0.3155105635	0.2946828312	0.3433319919	0.3679441894	0.3732520882	0.3891845337	0.3922223700	0.3865048531	0.3955834855	0.3980081092	0.3925588589	0.4174740410	0.4201947600	0.4025870493	15	2169	53.0000000000	114	3824.1400000000	0	2017-198	19:05:37.502
0251	1.0240000000	0.0000000000	0.5074975820	0.5353871716	0.5274960204	0.5065619222	0.5329750335	0.5898973331	0.6072426055	0.6030260043	0.6162946153	0.6141839866	0.5974401595	0.5880482901	0.6198938841	0.6266343948	0.6602034162	0.7824778151	0.8880638317	0.9364967525	0.9515665719	0.9659448243	0.9881831028	0.9918736611	0.9808492714	0.9610840987	0.9316740171	0.9530062743	1.0190940781	1.0839222820	1.1408489296	1.2120647606	1.2781018900	1.3190359763	1.3500352174	1.3835071461	1.4053381928	1.4135090035	1.4281218208	1.4511264922	1.4960340654	1.5411880088	1.5316969456	1.5029051451	1.5125556263	1.5599258101	1.5856254132	1.5959442359	1.5906505307	1.6138404248	1.6433768872	1.6325939290	1.6027084645	1.6124254254	1.6648482708	1.7129465320	1.7443960822	1.7717557086	1.7770464501	1.7619335830	1.7621473605	1.7759551248	1.7865013227	1.7851513975	1.7773660070	1.7644741077	1.7509824386	1.7475885658	1.7231128250	1.7008325086	1.6849019420	1.6565379010	1.6112318903	1.5276095830	1.4165086159	1.3272975073	1.2834987729	1.2191067042	1.1672035762	1.1374145280	1.0986745262	1.0603055556	1.0390738850	1.0168364651	0.9860642388	0.9692531173	0.9526536128	0.9373746876	0.9338890583	0.9261619062	0.9033353032	0.8715880252	0.8512402280	0.8228205118	0.7853001982	0.7759814513	0.7804579777	0.7594155642	0.7480576340	0.7524614109	0.7405441158	0.7350887500	0.7223176146	0.6749915907	0.6474646355	0.6449101239	0.6135235535	0.5978405899	0.5889069796	0.5528650933	0.5225402783	0.4954580570	0.4208259240	0.3720584141	0.3823360974	0.3500551911	0.3405413131	0.3666599804	0.3556674652	0.3531629334	0.3754464881	0.3687134475	0.3608358815	0.3732677723	0.3419904586	0.3043985172	0.2979926067	0.3351826648	0.3570648904	0.3717906469	0.3828972665	0.3897766264	0.3949600490	0.3988003254	0.3940388543	0.4079095394	0.4143006742	0.4205595843	0.4308261685	15	2188	55.0000000000	115	3825.3500000000	0	2017-198	19:05:38.594
0251	1.0240000000	0.0000000000	0.5052120639	0.5183659412	0.5130682308	0.5051999932	0.5209698020	0.5815943307	0.6027467323	0.5927796297	0.6089481446	0.6105074660	0.5927805645	0.5845422636	0.6153282111	0.6196740757	0.6532288375	0.7693000392	0.8766030766	0.9191615163	0.9336746121	0.9498088637	0.9662173451	0.9730122247	0.9621920546	0.9420818275	0.9171221869	0.9325895587	0.9977591952	1.0647511724	1.1195087120	1.1911452063	1.2592325034	1.3008782961	1.3304778433	1.3655316599	1.3842161163	1.3982300953	1.4078776695	1.4335125092	1.4809590357	1.5132661916	1.5150096123	1.4928391121	1.4921526402	1.5436452550	1.5775759541	1.5795223480	1.5792304161	1.6099042147	1.6334588754	1.6255316159	1.6014855151	1.6086770686	1.6580409628	1.7082128228	1.7381910131	1.7652832537	1.7729381759	1.7579839909	1.7542976747	1.7712795346	1.7783919936	1.7763900543	1.7720421064	1.7561450690	1.7456404222	1.7431057278	1.7173427854	1.6932487629	1.6798492658	1.6519189416	1.6041213159	1.5201456233	1.4110374519	1.3218343283	1.2732383008	1.2145223375	1.1600549684	1.1248966235	1.0906042408	1.0547383579	1.0308459493	1.0110188773	0.9860642388	0.9661801880	0.9475506116	0.9406246736	0.9340732755	0.9246643361	0.9048551537	0.8754386843	0.8508495512	0.8151316047	0.7890794621	0.7751801092	0.7689848252	0.7567880833	0.7462306727	0.7430863288	0.7366474963	0.7322054982	0.7173393654	0.6770799960	0.6466245161	0.6411156893	0.6147906685	0.5942415179	0.5797847135	0.5509550028	0.5225402783	0.4833664239	0.4191244847	0.3778386806	0.3643463604	0.3507152761	0.3479384061	0.3467488653	0.3566027891	0.3701411848	0.3693275588	0.3687134475	0.3835673419	0.3860641695	0.3499707219	0.3320431201	0.3261256988	0.3405218791	0.3822590564	0.3957582830	0.3879869590	0.4001710366	0.4052941772	0.3968702215	0.4033004492	0.4085917919	0.4058383625	0.4249374757	0.4202835640	15	2185	54.5000000000	116	3826.5400000000	0	2017-198	19:05:39.827
0251	1.0240000000	0.0000000000	0.5162587347	0.5223607198	0.5204424344	0.5129175908	0.5258011757	0.5909352084	0.6150354523	0.6013182752	0.6210290076	0.6217041424	0.6008917114	0.5955862470	0.6249863654	0.6282004666	0.6683687767	0.7869816119	0.8869495917	0.9431875455	0.9533121289	0.9677225149	0.9925762544	0.9940640215	0.9803885993	0.9666537300	0.9353381470	0.9503653061	1.0212873838	1.0867880664	1.1401541318	1.2146671932	1.2810597939	1.3225840287	1.3530440441	1.3883893769	1.4088968035	1.4172991202	1.4327560241	1.4624943820	1.5039548437	1.5450660390	1.5456465132	1.5127097228	1.5193566217	1.5741224541	1.5976996017	1.6033146896	1.6069466492	1.6264109022	1.6570612325	1.6527896665	1.6143264830	1.6260887903	1.6818068276	1.7224139505	1.7564549902	1.7956806759	1.7872030169	1.7738952049	1.7870420782	1.7837477751	1.7951660854	1.8072211101	1.7844645410	1.7699157464	1.7732408404	1.7561059580	1.7308062112	1.7189875362	1.6911296591	1.6618861699	1.6245642171	1.5321412728	1.4221200661	1.3380762119	1.2861416218	1.2261469815	1.1794583324	1.1393007876	1.1065766806	1.0727498800	1.0437525150	1.0262092455	1.0017366449	0.9748868210	0.9589883730	0.9516385151	0.9458631758	0.9355217190	0.9153041258	0.8831400025	0.8590537623	0.8251863294	0.7920630914	0.7863988990	0.7772374437	0.7608303617	0.7608463632	0.7475700637	0.7462865023	0.7513585279	0.7206581982	0.6793772418	0.6550257094	0.6423805008	0.6175360843	0.6016513721	0.5799968592	0.5547751839	0.5255055373	0.4850634952	0.4248668424	0.3761260091	0.3665137986	0.3577561830	0.3463693257	0.3561322644	0.3706326488	0.3629672758	0.3712856162	0.3889601911	0.3807578356	0.3800576973	0.3627391431	0.3146974869	0.3142656698	0.3573825558	0.3739564336	0.3820207355	0.4062499733	0.3870251648	0.3940205827	0.4164929448	0.3960234817	0.4065450345	0.4326356827	0.4227485300	0.4229192151	15	2168	54.0000000000	117	3827.7400000000	0	2017-198	19:05:41.153
0251	1.0240000000	0.0000000000	0.5137827568	0.5237502080	0.5085795851	0.5071672240	0.5247763388	0.5780359011	0.6073924679	0.5977475689	0.6073155955	0.6156880178	0.6034803753	0.5771796080	0.6204206925	0.6362048335	0.6535690608	0.7771399818	0.8952268037	0.9290456422	0.9453116591	0.9722351141	0.9804304825	0.9839640265	0.9836133035	0.9572618028	0.9256020304	0.9528031229	1.0131123352	1.0775977922	1.1384667658	1.2046578370	1.2703501420	1.3211230659	1.3453070610	1.3756290009	1.4078636585	1.4091266810	1.4193412251	1.4572476636	1.4937344846	1.5316222011	1.5373028466	1.4997676803	1.5036620170	1.5617492322	1.5840674534	1.5881858637	1.5952699029	1.6124437051	1.6398616425	1.6376738385	1.6013632202	1.6131509138	1.6679533587	1.7098696210	1.7466205410	1.7778814249	1.7760193815	1.7680272394	1.7714548450	1.7765117427	1.7909447908	1.7942454499	1.7747040567	1.7679167771	1.7613325955	1.7466919982	1.7287697267	1.7096802119	1.6859594788	1.6626154792	1.6212628790	1.5274762980	1.4232423561	1.3394050933	1.2779021518	1.2230361613	1.1740117741	1.1319272274	1.1010283594	1.0668552000	1.0372992322	1.0184524617	0.9944778463	0.9701067088	0.9533574751	0.9453190978	0.9397840085	0.9250387286	0.9044751910	0.8821773377	0.8445987237	0.8178917252	0.7998205278	0.7689697077	0.7667707081	0.7707339437	0.7482606297	0.7377873694	0.7559255083	0.7400314673	0.7121536892	0.6856424576	0.6501950233	0.6326836123	0.6213374292	0.5972054596	0.5657830958	0.5537140225	0.5233874951	0.4706383892	0.4259302420	0.3731288338	0.3487408054	0.3577561830	0.3421103934	0.3437736412	0.3626823950	0.3632064061	0.3610058150	0.3787118394	0.3756496422	0.3636051866	0.3489066868	0.3103610786	0.3046121578	0.3337776084	0.3682304867	0.3793901413	0.3790051488	0.3909994982	0.3999705354	0.4004087454	0.3947003968	0.4120030542	0.4150058668	0.4158168686	0.4364739923	15	2168	52.0000000000	118	3830.3600000000	0	2017-198	19:05:43.664
0251	1.0240000000	0.0000000000	0.5071166623	0.5310450210	0.5135491571	0.5059566204	0.5348783019	0.5818908665	0.6067930182	0.6055099739	0.6097644191	0.6130141846	0.6033077977	0.5829645517	0.6153282111	0.6334207059	0.6542495075	0.7768063672	0.8902923119	0.9257002458	0.9426933235	0.9667652969	0.9799136411	0.9816519794	0.9821161194	0.9537671322	0.9264395458	0.9492479734	1.0107196381	1.0761154899	1.1347942632	1.2035568079	1.2690241851	1.3137138976	1.3424056923	1.3748522824	1.3998280859	1.4080607106	1.4194631778	1.4497523517	1.4916904127	1.5309758627	1.5284377008	1.4988525864	1.5066701496	1.5534135880	1.5808217038	1.5899961506	1.5911637943	1.6111739599	1.6440046094	1.6349480334	1.6027084645	1.6147228053	1.6681922116	1.7121181329	1.7438106983	1.7782281635	1.7785299936	1.7621592740	1.7673057254	1.7764004191	1.7849461089	1.7906965514	1.7810261886	1.7659178078	1.7587728793	1.7520714038	1.7265069660	1.7083013491	1.6891320895	1.6581180714	1.6206280063	1.5312082779	1.4165086159	1.3379285584	1.2847424665	1.2153409744	1.1700970603	1.1367286154	1.0909405027	1.0616154845	1.0423005264	1.0110188773	0.9887038020	0.9740332296	0.9480785083	0.9400830093	0.9429157008	0.9242899436	0.9031453218	0.8794818763	0.8449894005	0.8141458473	0.7868914672	0.7697710499	0.7718027925	0.7573944250	0.7375018575	0.7420672981	0.7405441158	0.7311757654	0.7200359171	0.6839717334	0.6413737703	0.6425913028	0.6223933583	0.5961469090	0.5782996934	0.5579586681	0.5210576487	0.4848513613	0.4231654031	0.3739851696	0.3693314682	0.3504952478	0.3403171588	0.3591074885	0.3582396061	0.3603368425	0.3732436736	0.3762122414	0.3723293166	0.3737900742	0.3523648009	0.3209310739	0.3087493772	0.3458610934	0.3756742176	0.3761749706	0.3876875654	0.4044510879	0.3886969409	0.3962268535	0.4155389852	0.4082506656	0.4090117294	0.4468269328	0.4289435606	15	2184	53.5000000000	119	3831.5600000000	0	2017-198	19:05:44.803
0251	1.0240000000	0.0000000000	0.5061643631	0.5171501390	0.5084192763	0.5036867388	0.5177488863	0.5743292036	0.6012481079	0.5887431791	0.6009486542	0.6083349766	0.5908822110	0.5771796080	0.6133965803	0.6250683230	0.6516978324	0.7739706433	0.8829701628	0.9250919919	0.9377475785	0.9591075529	0.9746160172	0.9722821045	0.9697931429	0.9483067094	0.9191112860	0.9393951306	1.0051366781	1.0687039785	1.1259604057	1.1980516620	1.2613744337	1.3074526286	1.3352059996	1.3655316599	1.3923664828	1.4016648886	1.4092191495	1.4432564147	1.4847916703	1.5234783377	1.5213977321	1.4940156614	1.4968610216	1.5478130771	1.5770566342	1.5815912473	1.5807702068	1.6069838008	1.6365974867	1.6247882146	1.5979389621	1.6109744486	1.6569661247	1.7039524845	1.7431082377	1.7686350607	1.7692863766	1.7652061022	1.7616988070	1.7683851217	1.7880565366	1.7854841067	1.7694910707	1.7629193538	1.7547663669	1.7406401669	1.7235653772	1.7038200448	1.6786742248	1.6561732463	1.6173266683	1.5214784732	1.4174906197	1.3345325282	1.2710618371	1.2204165232	1.1706076751	1.1243821891	1.0953119073	1.0616154845	1.0264899834	1.0102108790	0.9891987201	0.9593514562	0.9433274381	0.9355691398	0.9285467597	0.9151173270	0.9008655461	0.8762088161	0.8385432346	0.8145401503	0.7876871017	0.7665656814	0.7621411904	0.7610324756	0.7360808876	0.7330998283	0.7428000533	0.7278806205	0.7094571376	0.6783330392	0.6443141880	0.6301539892	0.6217598008	0.5921244167	0.5666316787	0.5579586681	0.5252937331	0.4721233266	0.4278443613	0.3731288338	0.3535091694	0.3581962397	0.3430070108	0.3483509090	0.3647868739	0.3622498849	0.3612505721	0.3769621208	0.3692644006	0.3622994318	0.3457145815	0.3106321041	0.3026814554	0.3351826648	0.3616456479	0.3840667532	0.3828972665	0.3864137289	0.4049810218	0.4029822173	0.3913926843	0.4208723363	0.4181792337	0.4143575715	0.4345913844	15	2182	55.0000000000	120	3832.7600000000	0	2017-198	19:05:46.020
0251	1.0240000000	0.0000000000	0.5008314875	0.5211449176	0.5076177325	0.4989956500	0.5236050967	0.5749222752	0.5967522347	0.5946426069	0.6089481446	0.6076665183	0.5984756251	0.5876976875	0.6128697718	0.6245462991	0.6590126345	0.7714685340	0.8812192141	0.9287415153	0.9348383168	0.9574666077	0.9779754860	0.9731339114	0.9681807909	0.9537671322	0.9153424667	0.9369573138	1.0106199423	1.0647511724	1.1197072256	1.2026559658	1.2568865796	1.3004608782	1.3392894074	1.3639782229	1.3857084369	1.4042705939	1.4083654804	1.4341371185	1.4863247242	1.5194710398	1.5163133102	1.4910089242	1.4952915611	1.5453384327	1.5734213946	1.5790051232	1.5806418910	1.6045712849	1.6333333309	1.6240448132	1.5973274875	1.6054123708	1.6582798157	1.7064376818	1.7394788576	1.7685194811	1.7713405137	1.7612565101	1.7595681780	1.7687190924	1.7781698202	1.7811588867	1.7683819248	1.7530355611	1.7517614827	1.7410884507	1.7156457149	1.7033604238	1.6774991839	1.6508249775	1.6144062538	1.5232111782	1.4085122993	1.3258209724	1.2729273775	1.2091193340	1.1609059931	1.1255825361	1.0900998480	1.0514635357	1.0332659304	1.0129580732	0.9822698668	0.9627658221	0.9508939572	0.9350274755	0.9311258004	0.9267234950	0.8997256582	0.8725506899	0.8492868444	0.8084284548	0.7880849189	0.7789864843	0.7613360569	0.7507246657	0.7494786039	0.7302465425	0.7278288313	0.7400314673	0.7044788884	0.6695617370	0.6537655304	0.6259379507	0.6092998369	0.6003811114	0.5604794527	0.5458614281	0.5242347120	0.4725475944	0.4142328466	0.3752696733	0.3543761447	0.3500551911	0.3436794738	0.3483509090	0.3615132400	0.3660759697	0.3624743580	0.3789617992	0.3753942326	0.3693505078	0.3542268623	0.3201179973	0.3081977480	0.3497952513	0.3736701362	0.3735443764	0.3957711946	0.3900823443	0.3843127653	0.4055556892	0.4009850504	0.4000636360	0.4287571232	0.4249374757	0.4229192151	15	2170	54.0000000000	121	3833.9600000000	0	2017-198	19:05:47.315
0251	1.0240000000	0.0000000000	0.5191156324	0.5279186726	0.5252516976	0.5153387979	0.5320966019	0.5950867096	0.6174332514	0.6079939435	0.6239675959	0.6247122047	0.6096931687	0.5994428761	0.6262155851	0.6395109851	0.6676883300	0.7874820338	0.9004796498	0.9392338951	0.9524393504	0.9741495501	0.9877954718	0.9887098073	0.9854559915	0.9609748903	0.9303130546	0.9571708780	1.0175986423	1.0827364401	1.1457125141	1.2152677545	1.2773879132	1.3288452977	1.3551932061	1.3832852265	1.4149808799	1.4201417078	1.4260486246	1.4608703977	1.5062544245	1.5367929080	1.5425176382	1.5114024458	1.5091551286	1.5709965875	1.5947135121	1.5928408870	1.6030971724	1.6228556157	1.6478964875	1.6480814578	1.6140818931	1.6196803094	1.6781046075	1.7224139505	1.7504840746	1.7852785162	1.7860618296	1.7725410590	1.7744825810	1.7835251279	1.7930554381	1.7935800315	1.7841317972	1.7695825849	1.7621116395	1.7520714038	1.7310324873	1.7111739800	1.6893670977	1.6651680621	1.6234214462	1.5308084229	1.4238035011	1.3407339746	1.2830323878	1.2253283446	1.1777562829	1.1369000936	1.1023734070	1.0673464233	1.0390738850	1.0210380563	0.9938179555	0.9730089198	0.9565248552	0.9460413170	0.9386787053	0.9293442426	0.9067549668	0.8785192116	0.8483101526	0.8149344532	0.7912674569	0.7673670235	0.7689848252	0.7654789818	0.7397348103	0.7394178184	0.7487475251	0.7338530706	0.7096645646	0.6900281087	0.6451543073	0.6293107815	0.6283065615	0.5969937495	0.5708745932	0.5615666169	0.5286826006	0.4791237457	0.4312472399	0.3799795201	0.3578440458	0.3612766365	0.3470417887	0.3426293242	0.3722694658	0.3703803151	0.3627191152	0.3862106333	0.3884201256	0.3641274886	0.3590150203	0.3304169670	0.3048879724	0.3438940144	0.3831179485	0.3755903941	0.3846936286	0.4068968315	0.3930811165	0.3936533816	0.4119005015	0.4099562968	0.4153584631	0.4307746643	0.4398626866	15	2191	55.0000000000	122	3835.1700000000	0	2017-198	19:05:48.578
