FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
221	3908.7500000000	1.3500000000	-4.0400000000	33.5000000000	-200.9000000000	20.8000000000	601.0000000000	167.0000000000	2017-198	19:06:59.332
222	3909.3800000000	0.9900000000	-3.8200000000	33.5000000000	-202.6000000000	18.3000000000	601.2000000000	169.4000000000	2017-198	19:06:59.961
223	3910.0200000000	1.3700000000	-4.3900000000	33.5000000000	-206.0000000000	15.8000000000	601.5000000000	168.7000000000	2017-198	19:07:00.616
224	3910.6500000000	1.5900000000	-4.4800000000	33.5000000000	-205.4000000000	16.5000000000	601.2000000000	167.6000000000	2017-198	19:07:01.256
225	3911.2900000000	0.9200000000	-3.9300000000	33.5000000000	-201.3000000000	18.7000000000	601.2000000000	169.3000000000	2017-198	19:07:01.896
226	3911.9300000000	1.1200000000	-3.9200000000	33.5000000000	-201.8000000000	14.2000000000	601.2000000000	170.2000000000	2017-198	19:07:02.613
227	3912.5500000000	1.5600000000	-4.5100000000	33.5000000000	-206.8000000000	9.8000000000	601.5000000000	170.1000000000	2017-198	19:07:03.206
228	3913.1900000000	1.3700000000	-4.8800000000	33.5000000000	-206.8000000000	11.8000000000	601.2000000000	169.9000000000	2017-198	19:07:03.783
229	3913.8200000000	1.1600000000	-3.8300000000	33.5000000000	-201.6000000000	12.7000000000	601.0000000000	170.7000000000	2017-198	19:07:04.407
230	3914.4500000000	0.8900000000	-3.8700000000	33.5000000000	-203.0000000000	9.5000000000	601.2000000000	172.8000000000	2017-198	19:07:05.062
231	3915.0800000000	1.6900000000	-4.7800000000	33.5000000000	-208.4000000000	6.6000000000	601.2000000000	170.6000000000	2017-198	19:07:05.718
232	3915.7100000000	1.4600000000	-4.6100000000	33.5000000000	-206.4000000000	10.4000000000	601.5000000000	170.2000000000	2017-198	19:07:06.357
233	3916.3500000000	0.9500000000	-3.5200000000	33.5000000000	-201.1000000000	11.6000000000	601.2000000000	171.9000000000	2017-198	19:07:06.934
234	3916.9700000000	0.9200000000	-4.0800000000	33.5000000000	-204.0000000000	7.5000000000	601.2000000000	173.3000000000	2017-198	19:07:07.574
235	3917.6000000000	1.8100000000	-4.8800000000	33.5000000000	-209.0000000000	4.4000000000	601.5000000000	171.0000000000	2017-198	19:07:08.198
236	3918.2300000000	1.4800000000	-4.2900000000	33.5000000000	-205.2000000000	8.9000000000	601.2000000000	170.7000000000	2017-198	19:07:08.900
237	3918.8700000000	0.4300000000	-3.7300000000	33.5000000000	-202.0000000000	11.3000000000	601.5000000000	173.9000000000	2017-198	19:07:09.477
238	3919.5000000000	1.2400000000	-4.2800000000	33.5000000000	-204.8000000000	5.9000000000	601.5000000000	172.7000000000	2017-198	19:07:10.086
239	3920.1300000000	2.0700000000	-4.5900000000	33.5000000000	-207.0000000000	4.6000000000	601.5000000000	170.0000000000	2017-198	19:07:10.725
240	3920.7600000000	1.1700000000	-4.5900000000	33.5000000000	-204.8000000000	13.1000000000	601.5000000000	170.2000000000	2017-198	19:07:11.380
241	3921.3900000000	0.4200000000	-3.5000000000	33.5000000000	-203.4000000000	8.4000000000	601.0000000000	175.0000000000	2017-198	19:07:11.973
242	3922.0200000000	4.0400000000	-4.4700000000	33.5000000000	-206.4000000000	-6.4000000000	601.2000000000	166.7000000000	2017-198	19:07:12.691
