SN	INTTIME(LI)	SAMPLE(DELAY)	LI(348.08)	LI(351.41)	LI(354.74)	LI(358.07)	LI(361.40)	LI(364.73)	LI(368.06)	LI(371.39)	LI(374.72)	LI(378.06)	LI(381.39)	LI(384.72)	LI(388.06)	LI(391.39)	LI(394.73)	LI(398.07)	LI(401.40)	LI(404.74)	LI(408.08)	LI(411.42)	LI(414.76)	LI(418.10)	LI(421.44)	LI(424.78)	LI(428.12)	LI(431.46)	LI(434.80)	LI(438.14)	LI(441.48)	LI(444.83)	LI(448.17)	LI(451.51)	LI(454.86)	LI(458.20)	LI(461.54)	LI(464.89)	LI(468.23)	LI(471.58)	LI(474.92)	LI(478.27)	LI(481.62)	LI(484.96)	LI(488.31)	LI(491.66)	LI(495.00)	LI(498.35)	LI(501.70)	LI(505.04)	LI(508.39)	LI(511.74)	LI(515.09)	LI(518.43)	LI(521.78)	LI(525.13)	LI(528.48)	LI(531.83)	LI(535.17)	LI(538.52)	LI(541.87)	LI(545.22)	LI(548.57)	LI(551.92)	LI(555.26)	LI(558.61)	LI(561.96)	LI(565.31)	LI(568.66)	LI(572.01)	LI(575.35)	LI(578.70)	LI(582.05)	LI(585.40)	LI(588.74)	LI(592.09)	LI(595.44)	LI(598.79)	LI(602.13)	LI(605.48)	LI(608.83)	LI(612.17)	LI(615.52)	LI(618.86)	LI(622.21)	LI(625.55)	LI(628.90)	LI(632.24)	LI(635.59)	LI(638.93)	LI(642.28)	LI(645.62)	LI(648.96)	LI(652.31)	LI(655.65)	LI(658.99)	LI(662.33)	LI(665.67)	LI(669.01)	LI(672.35)	LI(675.69)	LI(679.03)	LI(682.37)	LI(685.71)	LI(689.05)	LI(692.39)	LI(695.72)	LI(699.06)	LI(702.39)	LI(705.73)	LI(709.06)	LI(712.40)	LI(715.73)	LI(719.07)	LI(722.40)	LI(725.73)	LI(729.06)	LI(732.39)	LI(735.72)	LI(739.05)	LI(742.38)	LI(745.71)	LI(749.03)	LI(752.36)	LI(755.69)	LI(759.01)	LI(762.34)	LI(765.66)	LI(768.98)	LI(772.30)	LI(775.63)	LI(778.95)	LI(782.27)	LI(785.58)	LI(788.90)	LI(792.22)	LI(795.53)	LI(798.85)	LI(802.16)	DARK_SAMP(LI)	DARK_AVE(LI)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0250	0.1280000000	0.0000000000	5.0077569581	5.1283097842	5.0689803291	4.9562307581	5.1919263879	5.6857503182	5.8169763067	5.6014606913	5.4434780388	5.2692604255	4.9458131914	4.5958690749	4.7361244886	4.7914643945	4.8016900524	5.7583148398	6.7133279898	6.9308755467	6.9819899710	7.0660223961	6.9851871973	6.8706599701	6.6317474352	6.3390029001	5.9805173514	5.8740058902	6.1599952280	6.3751980575	6.4865330065	6.6593884790	6.7559538673	6.7504592609	6.6839528401	6.5667638546	6.5078934058	6.3224419559	6.0534912857	6.0105680214	5.9238436559	5.8482598999	5.6876423175	5.3416837701	5.2090416965	5.2072565141	5.0786643959	4.9948787557	4.8044702488	4.6328627620	4.6483581089	4.4878219437	4.2807485318	4.1924085370	4.1507183615	4.2178653788	4.1764293004	4.1026879265	4.0751510767	3.9324287940	3.8628322454	3.8247686573	3.7169808951	3.7224165995	3.6413947199	3.4755932352	3.4514066136	3.3088685377	3.2071704100	3.1719559418	3.0505912983	3.0449979615	3.0385531851	2.8468555712	2.7021714154	2.5556988754	2.5212746561	2.5663327233	2.5177217897	2.5678406142	2.5406061734	2.4024280011	2.3823080601	2.2640656846	2.1624679753	2.1731839583	1.9885661658	2.0593888821	2.0974582379	2.0158559025	2.0092000792	1.8277772017	1.7303347000	1.7444873584	1.5688044932	1.5907726459	1.7230929156	1.6393722325	1.6246997545	1.6027096674	1.5231450789	1.5545848605	1.4008996373	1.2736487803	1.2485544452	1.1105212248	1.1641145188	1.1310855884	1.1241649455	1.1830331853	1.0985476960	1.0871263418	1.0026767522	0.7012730936	0.7223918274	0.7045330758	0.6879425788	0.8497425706	0.8957674780	0.9974984835	1.1348766301	0.9935689133	1.0353386464	1.0486562743	0.8053709303	0.5140780536	0.2967923926	0.4412463877	0.7610025451	0.7309788652	0.8205167178	0.9071140103	0.7028137726	0.6680553983	0.5450212832	0.5429827647	0.5594796143	0.3679782196	0.4428331707	15	1079	46.0000000000	47	3996.3000000000	0	2017-198	19:08:28.800
0250	0.1280000000	0.0000000000	4.9602293434	5.1283097842	5.0377387323	4.9788554289	5.1543114756	5.6635468610	5.9083744090	5.5715787325	5.4175975638	5.3274964390	4.9186398059	4.5772734410	4.7313914832	4.7460960263	4.8815863314	5.7003942746	6.6959689276	7.0304324173	6.9667049265	7.0222082805	6.9483995059	6.8208710338	6.6476489805	6.3165006564	5.9749892419	5.9280994962	6.1434274745	6.3668259124	6.4680971564	6.6176709596	6.7727193071	6.7106425924	6.6709152413	6.6256383128	6.4626178092	6.2899183801	6.0687146242	5.9831376323	5.9102172496	5.7909750774	5.6593760480	5.3996815955	5.1743347578	5.1757171081	5.1120564338	4.9586333849	4.7828276058	4.6320001703	4.6286110754	4.5081932512	4.2639317544	4.1874254396	4.1671299642	4.1709159868	4.1636501278	4.0963837040	4.0844471952	3.9796510408	3.8156219354	3.8070433654	3.7556676482	3.6741067229	3.6156126273	3.4656649950	3.4098719758	3.3390399109	3.2015448611	3.1457680156	3.0785595316	3.0040594958	2.9995138100	2.8344538898	2.6677669207	2.5730595280	2.5238299632	2.6058294972	2.5566268052	2.4809348334	2.4894385994	2.3495795667	2.3594153496	2.3280736681	2.1612192736	2.1745016201	2.0722438909	1.9900310811	2.0869580578	1.9839902048	1.9171161656	1.8733151367	1.7360989892	1.6926608145	1.6261342349	1.5823326638	1.7303866622	1.6369181651	1.6061523185	1.6226078729	1.5519212230	1.5520691658	1.4223927119	1.2341135606	1.1919189858	1.0663812618	1.1196722399	1.1691423695	1.0912385929	1.1644946833	1.1584652111	1.0496602205	0.9394283606	0.6863247770	0.7127616056	0.7854133898	0.7035278868	0.7978739151	0.9162634455	0.9408316688	1.0453119869	0.9904723663	1.0227378821	1.0630803104	0.7678047784	0.5024339682	0.3455571483	0.4207485647	0.7211033504	0.7380229000	0.7989906862	0.8355656461	0.6840924907	0.6795196994	0.6663942258	0.4806822942	0.4747071563	0.3978431186	0.3967234704	15	1080	45.5000000000	48	3997.1100000000	0	2017-198	19:08:29.490
0250	0.1280000000	0.0000000000	5.0421735067	5.0911030180	5.0486053746	5.0417017365	5.1496096116	5.6846401454	5.8793420706	5.5182180918	5.4326945075	5.2923350724	4.8892019715	4.5923823935	4.6734121666	4.7723619237	4.8911261857	5.6850275940	6.7156425314	6.9942299189	6.9284923153	7.0722815555	6.9404454104	6.8152345504	6.6626671066	6.3348358179	5.9741995120	5.8980474929	6.1210970240	6.3731050212	6.4441988321	6.6304553607	6.7814373358	6.7288637797	6.6832666507	6.5877904468	6.4389020205	6.3017451350	6.0413126149	5.9682468496	5.9647228746	5.8163440702	5.6369293046	5.3635380232	5.1387813083	5.1757171081	5.0983571362	4.9396477145	4.8113958946	4.6458016377	4.6174497086	4.4971587930	4.2580458823	4.1816118260	4.1507183615	4.1725349314	4.1684423175	4.0656506193	4.0503614274	3.9903141288	3.8193687854	3.7900566273	3.7242802825	3.6784329805	3.6277875043	3.4585733948	3.4112799296	3.3502664684	3.1973256995	3.1351512887	3.0656511162	3.0172182884	2.9852494229	2.8290281542	2.6573655619	2.5970337626	2.5272370393	2.5680881355	2.5665792510	2.5108378978	2.4681992291	2.3336253224	2.3334009059	2.3437949271	2.1587218701	2.1191598263	2.0697460483	1.9979901731	2.0554575173	1.9726830217	1.9541614182	1.8910860382	1.7326404157	1.6726369225	1.6488272576	1.5750983935	1.6550179480	1.6712751085	1.6246997545	1.5927605647	1.5506700863	1.5281700662	1.4413571895	1.2583448243	1.1726114429	1.1118194590	1.1275149950	1.1468332220	1.0727998355	1.1790606492	1.1571337108	1.0429698417	0.9232798351	0.7230160995	0.7058828758	0.7282393748	0.7120289639	0.8382162027	0.9396874084	0.9602176843	1.0483480765	1.0477584860	1.0164375000	1.0214108727	0.8184374179	0.5340393428	0.3388309751	0.4583279069	0.7106948648	0.7521109697	0.8079598660	0.8337310727	0.7028137726	0.7100911691	0.6624789695	0.5530312276	0.5450062679	0.3295804924	0.3374395699	15	1081	46.0000000000	49	3997.4200000000	0	2017-198	19:08:29.812
0250	0.1280000000	0.0000000000	4.9454793940	5.1074739951	5.1097302380	4.9222937520	5.1966282519	5.7035130840	5.8460086450	5.5950574144	5.3927954420	5.2703592182	4.9582676598	4.5110264952	4.7231087237	4.7914643945	4.7730704897	5.7488584210	6.7110134481	6.9512394521	7.0016421711	6.9909124836	6.9434281962	6.8612658312	6.5796257032	6.3556712288	5.9971016799	5.8867779917	6.1628765765	6.3207791141	6.4551237804	6.6634256583	6.7190698996	6.7322380736	6.6956180600	6.5709691730	6.4892082389	6.2640473539	6.0496854510	6.0152703738	5.8701395842	5.8237092617	5.6893050393	5.3374810292	5.1802603327	5.1714550262	5.0752395715	4.9681262201	4.7559907283	4.6475268211	4.6638123091	4.4462305244	4.2580458823	4.1849338910	4.1605653231	4.1879149046	4.1317021962	4.1192365105	4.0906446075	3.9179574603	3.8418498854	3.8011349347	3.7147910789	3.6935748821	3.5855335193	3.4734657551	3.4331032139	3.2716805661	3.2106863780	3.1875271412	3.0455713590	3.0281839488	2.9777418508	2.8406547305	2.6901698475	2.5193241747	2.5451241889	2.6093403215	2.5294837712	2.5351341376	2.4720609328	2.3625423903	2.3521313054	2.2292543252	2.1874420103	2.2048078405	2.0335273315	2.0605258953	2.0554575173	1.9860460562	1.9721548266	1.7977888054	1.7614618615	1.7491988624	1.5986637336	1.6377954032	1.7230929156	1.6172856260	1.6061523185	1.5318223103	1.5519212230	1.5646476393	1.4059568313	1.2915033956	1.1726114429	1.1079247564	1.1497361345	1.1100887438	1.1373354866	1.1989233300	1.1145257000	1.1245924631	0.8896370736	0.7067088451	0.7196403355	0.6668818952	0.7148626563	0.8540649585	0.8986954733	1.0168844991	1.0270954493	1.0121481954	1.0762911303	0.9829467764	0.8543702588	0.5822791252	0.3522833215	0.4532034512	0.6465092037	0.7661990393	0.8061660301	0.7053109319	0.7402563364	0.7349304882	0.6115806388	0.5691087684	0.4085432867	0.3658450126	0.4362460707	15	1078	46.5000000000	50	3997.7200000000	0	2017-198	19:08:30.109
0250	0.1280000000	0.0000000000	4.9585904601	5.1997467752	5.0472470444	4.9097244905	5.2060319799	5.6191399464	5.8546108194	5.5982590529	5.4165192107	5.3022242067	4.8903341959	4.5156754037	4.7491402536	4.7246057467	4.8112299066	5.7512225257	6.6774525945	6.9942299189	6.9798063932	7.0096899617	6.9851871973	6.8049009976	6.6423484654	6.3698393082	5.9426103148	5.9220890956	6.1592748909	6.3465932283	6.4967751454	6.6048865585	6.7385178098	6.7680055894	6.6407229072	6.6039108342	6.5093307263	6.2817874862	6.1022059688	5.9784352799	5.8981939500	5.8539883821	5.6028435089	5.3584947340	5.1904184611	5.1544066986	5.1103440216	4.9258399542	4.7914846630	4.6932441817	4.5573500413	4.4954611840	4.3185862810	4.1591878879	4.2015943301	4.1733444036	4.1388904808	4.1263287609	4.0000074524	3.9430918820	3.8823158654	3.7693771201	3.7578574644	3.7224165995	3.6020054118	3.5160153561	3.3908645992	3.3369349314	3.2409237032	3.0933921631	3.0799937999	3.0515773578	2.9844986657	2.8778597747	2.6317622170	2.5771930168	2.5647148766	2.4943608243	2.5584363408	2.5510201405	2.4566141180	2.4094079829	2.3053053068	2.2820328379	2.2174108523	2.0348294739	2.1147072140	2.1082804468	2.0029566165	2.0425819715	1.9531029824	1.8377733337	1.7810604447	1.6278776346	1.6476328880	1.6414125384	1.6355679572	1.6945887487	1.5913143697	1.5852987376	1.5919575974	1.4539570725	1.4641145626	1.3310386152	1.1236990007	1.2169764298	1.1196722399	1.0523474208	1.1755300556	1.0876923176	1.1571337108	1.1714251147	0.8707971271	0.7828093658	0.7045071298	0.6445700844	0.7474501184	0.7762619753	0.9250474316	1.0556565302	1.0255774045	1.1127859734	1.0369137419	0.9637147282	0.9556355378	0.4242522518	0.3018370225	0.5454436549	0.6551829417	0.8436834224	0.8043721941	0.7163183725	0.8450955152	0.5820731398	0.5783009610	0.7158163278	0.4188813913	0.4042427398	0.3989191704	15	1081	45.5000000000	51	3998.0300000000	0	2017-198	19:08:30.468
0250	0.1280000000	0.0000000000	4.8799240633	5.1699813623	5.1260302016	4.9197798997	5.2025055819	5.7135046398	5.8288042964	5.5673098813	5.4025006201	5.2989278286	4.9299620498	4.5063775868	4.7491402536	4.8248937184	4.8243472062	5.7441302116	6.7330015936	6.9953612470	6.9470527265	6.9742213919	6.9752445780	6.8715993840	6.6043614404	6.3515041466	5.9789378916	5.8927883923	6.1369444404	6.3249651867	6.4899470528	6.6647713847	6.7412002802	6.7612570015	6.6880699765	6.5723709459	6.4762723542	6.2899183801	6.0763262934	5.9901911609	5.8885753103	5.8556250913	5.6784973480	5.3349593846	5.1667161614	5.1808316063	5.0872264569	4.9603593549	4.7456022597	4.6872060398	4.6552266423	4.4801827035	4.2899977594	4.1683235664	4.1679505444	4.1887243769	4.1548644466	4.1389372059	4.0697283409	3.9339520923	3.8755715354	3.7974421656	3.7279299762	3.7101588696	3.5948437194	3.4975771957	3.4323992370	3.3004486196	3.2324853799	3.1549691789	3.0498741641	3.0281839488	2.9762403363	2.8592572526	2.6813686977	2.5887667852	2.5519383411	2.5321021860	2.5421505204	2.5622337896	2.4508215624	2.4173851051	2.3781457491	2.2955082028	2.2274004663	2.0835829589	2.0497633080	2.0844031710	2.0218569408	2.0209955311	1.9996741571	1.8333306084	1.7672261507	1.6726369225	1.6261342349	1.6221211508	1.6209804642	1.6430533336	1.6444836863	1.5666441700	1.5619303166	1.5269122188	1.4249213089	1.2634461429	1.0953812710	1.1533629537	1.1902570358	1.1035272298	1.1610424605	1.1909782576	1.1411557068	1.1259305389	0.8681057062	0.7896040552	0.7416522710	0.5915795339	0.7276142719	0.8900848581	0.9133354502	1.0213581949	1.0058428221	1.0524033066	1.0636903660	0.9012105717	0.8641701245	0.5989135330	0.3085631957	0.5010317049	0.6482439513	0.7873311438	0.8276920617	0.6759577568	0.8432233870	0.7387519219	0.5234873741	0.6032735425	0.4498957052	0.4191751893	0.4318546706	15	1080	48.0000000000	52	3998.3300000000	0	2017-198	19:08:30.842
0250	0.1280000000	0.0000000000	4.9405627442	5.1074739951	5.0662636685	4.8858428936	5.1895754558	5.7079537755	5.8266537528	5.5598393915	5.4132841513	5.2648652547	4.9084497863	4.4947553156	4.7313914832	4.8105668653	4.8004975706	5.7370378975	6.6936543859	6.9399261713	6.9394102042	7.0013444159	6.9702732683	6.8415381394	6.5946438294	6.3306687358	5.9820968113	5.8732545902	6.1405461260	6.3424071557	6.4605862545	6.6163252332	6.7063281653	6.7403363791	6.6784633248	6.5604558769	6.4575871874	6.2603514930	6.0443572826	5.9862725339	5.8773535640	5.8212541979	5.6701837393	5.3248728063	5.1701022042	5.1714550262	5.0666775105	4.9551814448	4.7689763142	4.6440764543	4.6122983085	4.4674506363	4.2874752428	4.1708151151	4.1441537203	4.1636307363	4.1269100064	4.1145083437	4.0503614274	3.9400452854	3.8478448454	3.7612530279	3.7147910789	3.6899696674	3.5833850116	3.4819756753	3.4077600450	3.3060618984	3.2099831844	3.1089633625	3.0470056274	3.0245287287	2.9717357931	2.8491808865	2.6757679660	2.5300712453	2.5459759579	2.5601887807	2.5412457526	2.5500856698	2.4450290069	2.4034251413	2.3510907276	2.2494673726	2.2099186418	2.1217951498	2.0572568356	2.0389226458	1.9945564724	2.0199676054	1.9996741571	1.8055635748	1.7568504302	1.6961944425	1.6285229741	1.6269439977	1.6440773282	1.6639129064	1.6420106948	1.5256041211	1.5669348634	1.5432642344	1.4135426223	1.2749241099	1.1211246616	1.1598541247	1.1484290086	1.0287259706	1.1360184325	1.1909782576	1.1198517014	1.0911405691	0.8761799690	0.7488359191	0.7444037629	0.6041299274	0.7956228886	0.8771176943	0.8928394826	1.0467091384	1.0164691357	1.0585964006	1.0573899839	0.9300586439	0.8968363436	0.5639812767	0.2564353534	0.4822420338	0.6447744561	0.7732430742	0.8563934373	0.6686194631	0.8113972078	0.7387519219	0.5234873741	0.5771475388	0.4602338098	0.3807774621	0.4120933705	15	1077	46.0000000000	53	3999.1600000000	0	2017-198	19:08:31.544
0250	0.1280000000	0.0000000000	4.9028684290	5.1699813623	5.0282304202	4.9612584628	5.2436468922	5.5891652791	5.8632129937	5.6356115014	5.3636799077	5.2978290359	4.8869375227	4.5110264952	4.7704387780	4.6720739520	4.8231547244	5.7949584627	6.6357908453	6.9964925751	6.9481445153	6.9721350055	6.9861814592	6.7917492031	6.6123122131	6.3898413026	5.9323438257	5.8875292917	6.1463088229	6.3096162539	6.4503441155	6.5907564310	6.7264466932	6.7545084136	6.6352333919	6.5695674002	6.4863335979	6.2433505329	6.0588194541	5.9423839113	5.8845675437	5.8548067367	5.6186393654	5.3542919930	5.1819533541	5.1330962892	5.1120564338	4.9638112950	4.7629163741	4.6734045724	4.5728042415	4.4920659661	4.3093370534	4.1467301445	4.1613859033	4.1612023195	4.1085399458	4.1011118708	3.9961340697	3.9309054957	3.8770702754	3.7767626583	3.7403389347	3.6741067229	3.5733586422	3.4869397954	3.3739691533	3.2955370007	3.2050608292	3.1096711443	3.0692367871	3.0245287287	2.9544683771	2.8484057814	2.6389631578	2.5540454799	2.5655666456	2.5400015407	2.5593411086	2.5398064914	2.4527524143	2.4044222816	2.3073864622	2.2797869437	2.2024264313	2.1389247526	2.0697460483	1.9957161468	2.0029566165	2.0425819715	1.9044149361	1.8377733337	1.7948947388	1.6820599305	1.6237454956	1.5654526996	1.5966679757	1.6639129064	1.5740034293	1.5591823429	1.5944598708	1.4942081877	1.4059568313	1.2634461429	1.1610269171	1.1053282880	1.0425518147	1.1218994689	1.1755300556	1.1486045386	1.1544707101	1.0817740388	0.9057855991	0.7678610493	0.6481015450	0.6933771705	0.7885386577	0.8050778950	0.9616473737	0.9796036999	0.9724458365	1.0415653920	0.9691846339	1.0566696277	0.9164360750	0.4458769819	0.3640541246	0.4737012742	0.6482439513	0.8031802222	0.7380002632	0.8117161914	0.7776989003	0.6183767601	0.5998348702	0.5248955313	0.4602338098	0.4554397095	0.3045040697	15	1078	46.0000000000	54	3999.4600000000	0	2017-198	19:08:31.903
0250	0.1280000000	0.0000000000	4.9635071099	5.2265356469	5.0676219988	4.9813692812	5.1648906697	5.6513349595	5.8718151680	5.4904705586	5.3949521482	5.3659541837	4.9084497863	4.5598400342	4.7503235049	4.7377386954	4.8207697608	5.6625685993	6.6728235113	7.0010178873	6.9055647485	7.0055171888	7.0090494837	6.8293257588	6.6282137584	6.3098333249	5.9489281542	5.8920370922	6.0728344375	6.3465932283	6.5008720010	6.6116151907	6.7599775728	6.7214403330	6.6654257260	6.5898931061	6.4151862319	6.2706999035	6.1044894696	5.9627607718	5.9110188029	5.8384396446	5.6211334480	5.3442054147	5.1218510942	5.1833888555	5.1240433192	4.9094432388	4.7637820799	4.6690916139	4.6054297751	4.4861243348	4.2403882660	4.2040357642	4.1901062081	4.1272044840	4.1484748603	4.1105682046	4.0255717782	3.9446151803	3.8208675254	3.7922722888	3.7571275256	3.6481491772	3.6306521813	3.5089237559	3.3648174534	3.3193934354	3.2099831844	3.1245345619	3.0771252632	2.9930938354	3.0137781970	2.8716589340	2.6181604401	2.5598323641	2.5357547296	2.5347353042	2.5683887866	2.4809348334	2.5126088216	2.4353336300	2.2855343296	2.3482867154	2.1587218701	2.0150645475	2.0822352610	1.9832090024	2.0586075713	2.0754755949	1.9277005235	1.8944180822	1.7545447145	1.5996086106	1.6452441487	1.5618355645	1.6647429434	1.6994968835	1.6012063355	1.6263387865	1.5394098560	1.4489256831	1.4565287715	1.2137082860	1.1442937132	1.2039940877	1.1118294848	1.1783284890	1.0951897552	1.0956373899	1.2010732219	1.0336033114	0.8654142853	0.7991166203	0.6921254161	0.7156889812	0.7191131948	0.7733803833	0.9675033644	0.9423229007	1.0028067325	1.1174307939	0.9849355893	1.0326295675	0.9050028983	0.4991070866	0.3724618411	0.3882936782	0.6707956701	0.8929916662	0.7308249193	0.7401678272	0.7627218748	0.6221981938	0.6311569199	0.5248955313	0.4726395354	0.5727660984	0.3198739698	15	1081	47.0000000000	55	3999.7600000000	0	2017-198	19:08:32.152
0250	0.1280000000	0.0000000000	4.9389238609	5.1744461742	5.0227970990	4.9688000197	5.1931018539	5.6246908108	5.8449333732	5.5406295609	5.3895603826	5.3077181703	4.8461774443	4.5493799901	4.7810880403	4.7257996511	4.8601216595	5.7133968504	6.6647226156	7.0202504646	6.9405019931	6.9888260972	6.9891642450	6.8255681033	6.6246800817	6.3465036480	5.9315540958	5.8980474929	6.1275800580	6.3305466167	6.4783392953	6.6035408321	6.7465652210	6.7349375088	6.6427814754	6.5737727187	6.4424953219	6.2699607313	6.1098176381	5.9847050831	5.9070110364	5.8302560985	5.6294470567	5.3719435051	5.1370882869	5.1509970331	5.1240433192	4.9241139841	4.7577221398	4.6803053061	4.5977026751	4.5022516198	4.2807485318	4.1608489204	4.1794386663	4.1514886522	4.1332995928	4.1397252337	4.0604322225	3.9461384786	3.7953889454	3.7671614586	3.7585874031	3.6510333489	3.6070185964	3.5103420759	3.3972003914	3.3137801566	3.1825586337	3.1089633625	3.0792766658	2.9865144391	2.9882524518	2.8778597747	2.6493645166	2.5540454799	2.5493830340	2.5654550172	2.5439600560	2.4762624796	2.4768880624	2.4253622273	2.3302791727	2.2932623086	2.1687114841	2.1138891793	2.0622525207	1.9638797791	2.0554575173	2.0672521891	1.9213499087	1.8733151367	1.7487804254	1.6596802865	1.6249398652	1.5594241410	1.7182304179	1.6994968835	1.5369085573	1.5790805484	1.5644325900	1.4841454089	1.4097497268	1.2353888903	1.1893446468	1.1507664853	1.0647729541	1.1520824331	1.1860664884	1.1406594663	1.1544707101	1.0429698417	0.9057855991	0.7760146765	0.6343440853	0.7575236264	0.7672859650	0.7431236677	0.9601833760	0.9766212360	1.0316495837	1.1065928793	0.9723348250	1.0662856518	0.9197026969	0.4575210673	0.3455571483	0.4737012742	0.6551829417	0.8190293006	0.7200619034	0.7878667367	0.7776989003	0.6374839286	0.7309959532	0.5168567609	0.4333547378	0.5066366792	0.3110911697	15	1075	46.0000000000	56	4000.0700000000	0	2017-198	19:08:32.464
