SN	INTTIME(LI)	SAMPLE(DELAY)	LI(348.08)	LI(351.41)	LI(354.74)	LI(358.07)	LI(361.40)	LI(364.73)	LI(368.06)	LI(371.39)	LI(374.72)	LI(378.06)	LI(381.39)	LI(384.72)	LI(388.06)	LI(391.39)	LI(394.73)	LI(398.07)	LI(401.40)	LI(404.74)	LI(408.08)	LI(411.42)	LI(414.76)	LI(418.10)	LI(421.44)	LI(424.78)	LI(428.12)	LI(431.46)	LI(434.80)	LI(438.14)	LI(441.48)	LI(444.83)	LI(448.17)	LI(451.51)	LI(454.86)	LI(458.20)	LI(461.54)	LI(464.89)	LI(468.23)	LI(471.58)	LI(474.92)	LI(478.27)	LI(481.62)	LI(484.96)	LI(488.31)	LI(491.66)	LI(495.00)	LI(498.35)	LI(501.70)	LI(505.04)	LI(508.39)	LI(511.74)	LI(515.09)	LI(518.43)	LI(521.78)	LI(525.13)	LI(528.48)	LI(531.83)	LI(535.17)	LI(538.52)	LI(541.87)	LI(545.22)	LI(548.57)	LI(551.92)	LI(555.26)	LI(558.61)	LI(561.96)	LI(565.31)	LI(568.66)	LI(572.01)	LI(575.35)	LI(578.70)	LI(582.05)	LI(585.40)	LI(588.74)	LI(592.09)	LI(595.44)	LI(598.79)	LI(602.13)	LI(605.48)	LI(608.83)	LI(612.17)	LI(615.52)	LI(618.86)	LI(622.21)	LI(625.55)	LI(628.90)	LI(632.24)	LI(635.59)	LI(638.93)	LI(642.28)	LI(645.62)	LI(648.96)	LI(652.31)	LI(655.65)	LI(658.99)	LI(662.33)	LI(665.67)	LI(669.01)	LI(672.35)	LI(675.69)	LI(679.03)	LI(682.37)	LI(685.71)	LI(689.05)	LI(692.39)	LI(695.72)	LI(699.06)	LI(702.39)	LI(705.73)	LI(709.06)	LI(712.40)	LI(715.73)	LI(719.07)	LI(722.40)	LI(725.73)	LI(729.06)	LI(732.39)	LI(735.72)	LI(739.05)	LI(742.38)	LI(745.71)	LI(749.03)	LI(752.36)	LI(755.69)	LI(759.01)	LI(762.34)	LI(765.66)	LI(768.98)	LI(772.30)	LI(775.63)	LI(778.95)	LI(782.27)	LI(785.58)	LI(788.90)	LI(792.22)	LI(795.53)	LI(798.85)	LI(802.16)	DARK_SAMP(LI)	DARK_AVE(LI)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0250	0.2560000000	0.0000000000	-0.3133618555	-0.2486766307	-0.1937162379	-0.2280466256	-0.1928299089	-0.1856764113	-0.2098000427	-0.1928015999	-0.1855010001	-0.1931128182	-0.1923496404	-0.2275849898	-0.1919020720	-0.2039946888	-0.2190374378	-0.1941786950	-0.2071514756	-0.2142067890	-0.1894253729	-0.1932750176	-0.1747415344	-0.1490037256	-0.1488963283	-0.1383283762	-0.1323334648	-0.1384439445	-0.1226211857	-0.1221890164	-0.1263972126	-0.1204119004	-0.1219762869	-0.1191891725	-0.1129872622	-0.1201224683	-0.1194445696	-0.1354869339	-0.1378058465	-0.1374548554	-0.1477042320	-0.1365162788	-0.1307880291	-0.1508784007	-0.1373273149	-0.1411524805	-0.1572889135	-0.1420003014	-0.1541938763	-0.1665388563	-0.1497808200	-0.1726353716	-0.1492299808	-0.1262571530	-0.1459512556	-0.1385670830	-0.1341633420	-0.1307050512	-0.1315187728	-0.1469811473	-0.1417159836	-0.1215929175	-0.1437315067	-0.1227413362	-0.1097368220	-0.1233938427	-0.1187162025	-0.1298867091	-0.1259194729	-0.1236689427	-0.1467027062	-0.1263708297	-0.1154972405	-0.1411218330	-0.1371087121	-0.1391104962	-0.1562804521	-0.1461779989	-0.1724817670	-0.1617059601	-0.1652852626	-0.2092409114	-0.1766854189	-0.1722701882	-0.2280297970	-0.2257991304	-0.2121748632	-0.1908891550	-0.1855670589	-0.2086221531	-0.1602085454	-0.1823538842	-0.2386940268	-0.2002124176	-0.1913977313	-0.2300715002	-0.2009092873	-0.2343358274	-0.2263065408	-0.2122100089	-0.2606061445	-0.1906211056	-0.1997307171	-0.2603700290	-0.2168880660	-0.2178378579	-0.2296678941	-0.2257757903	-0.2459302203	-0.2288121239	-0.2403058522	-0.2847057247	-0.2065053258	-0.2275915173	-0.2771502166	-0.2299322740	-0.2581883374	-0.2782371555	-0.2504431555	-0.2901124685	-0.2576190338	-0.2270334082	-0.2966550680	-0.2401457774	-0.2702386468	-0.3442948125	-0.2846012036	-0.3174446610	-0.3177346350	-0.3028133717	-0.3601941908	-0.3077909725	-0.2991576606	-0.3500089349	-0.2912862528	-0.3585472462	-0.4222174977	-0.3759777462	-0.4350977196	15	1014	37.0000000000	48	136.5700000000	0	2017-198	18:04:09.192
0250	0.2560000000	0.0000000000	-0.3264729216	-0.2561179839	-0.1998287242	-0.2475289809	-0.2016459040	-0.1623627812	-0.1963591453	-0.1885327487	-0.1984412376	-0.1969585927	-0.1810273964	-0.2316527847	-0.1978183288	-0.1639988905	-0.2226148831	-0.1835402238	-0.1695401742	-0.2125097968	-0.1883335841	-0.1922318244	-0.1782214512	-0.1428975353	-0.1709818080	-0.1420787501	-0.1054826472	-0.1388195946	-0.1255025342	-0.1057935655	-0.1304940682	-0.1274769641	-0.1219762869	-0.1222260371	-0.1054391786	-0.1341401965	-0.1266311722	-0.1140509407	-0.1423728480	-0.1351036792	-0.1360817091	-0.1541109028	-0.1532347726	-0.1685299128	-0.1542575289	-0.1296448594	-0.1649947684	-0.1463152265	-0.1464025248	-0.1609320102	-0.1519272367	-0.1395319970	-0.1488095614	-0.1466048006	-0.1648245988	-0.1405907637	-0.1237802643	-0.1429194823	-0.1334554642	-0.1336522873	-0.1432147236	-0.1326712250	-0.1346072725	-0.1241834221	-0.1190470221	-0.1311946028	-0.1183642141	-0.1211159611	-0.1290838442	-0.1148216703	-0.1269815161	-0.1329502260	-0.1290108704	-0.1442222534	-0.1427094438	-0.1341503097	-0.1494662998	-0.1510053824	-0.1625293212	-0.1794609045	-0.1715605312	-0.1892981060	-0.1928143740	-0.1863070267	-0.2398924636	-0.2284344539	-0.2127993238	-0.1960057141	-0.1797919598	-0.2111919674	-0.2073089380	-0.1945713789	-0.2265890196	-0.2137579915	-0.1931892857	-0.2252486533	-0.2112420949	-0.2104086704	-0.2145598313	-0.2078572765	-0.2524737560	-0.2208094420	-0.2155344484	-0.2501673917	-0.2213931594	-0.2171887408	-0.2277072053	-0.2238073361	-0.2400034768	-0.2235154090	-0.2396401020	-0.2853747626	-0.2307281140	-0.2228352347	-0.2572019000	-0.2320240063	-0.2440198756	-0.2537436237	-0.2504431555	-0.2856387726	-0.2530648994	-0.2626436989	-0.3360324564	-0.2842192211	-0.2661553694	-0.3085308359	-0.2854419753	-0.2935305341	-0.3142651398	-0.3195429544	-0.3601941908	-0.3068736857	-0.3075822374	-0.4082857990	-0.3245659306	-0.3073000850	-0.3746622163	-0.3482460542	-0.4131407194	15	1016	36.0000000000	49	139.3700000000	0	2017-198	18:04:12.078
0250	0.2560000000	0.0000000000	-0.3018896726	-0.2442118187	-0.2718202300	-0.2079358071	-0.1863648459	-0.2067696957	-0.1619504480	-0.1778606205	-0.2054505329	-0.1574020553	-0.2104652308	-0.2200305135	-0.1871690665	-0.2356331560	-0.1886291524	-0.1788120144	-0.2146737359	-0.1706506581	-0.1921548452	-0.2057933364	-0.1583362125	-0.1753073146	-0.1524300051	-0.1258271297	-0.1544459028	-0.1267987933	-0.1164983203	-0.1309100010	-0.1106925996	-0.1163747211	-0.1313649332	-0.1040048498	-0.1322005656	-0.1334393101	-0.1079460054	-0.1365956921	-0.1218213410	-0.1331443657	-0.1501088919	-0.1258776689	-0.1544818139	-0.1584433345	-0.1178575687	-0.1726918865	-0.1581451196	-0.1346649287	-0.1615523750	-0.1479931345	-0.1519272367	-0.1624497179	-0.1391399143	-0.1478505749	-0.1484129960	-0.1146876509	-0.1581242907	-0.1381913154	-0.1245466840	-0.1427920770	-0.1173614586	-0.1374718249	-0.1364321193	-0.1144493425	-0.1491261301	-0.1269396427	-0.0990048490	-0.1407624367	-0.1262710697	-0.1243767245	-0.1402484985	-0.1212535215	-0.1395214714	-0.1341458872	-0.1247070919	-0.1672182195	-0.1447815702	-0.1242353468	-0.1733865348	-0.1715179031	-0.1744568089	-0.1912923865	-0.1798071521	-0.2199954390	-0.2242836917	-0.2053753732	-0.2427734343	-0.1908891550	-0.1524914914	-0.1932032671	-0.1909031833	-0.2006801263	-0.2167897280	-0.1890225956	-0.2499218426	-0.2168086712	-0.1820671088	-0.2324952769	-0.2059043612	-0.1954208980	-0.2387112523	-0.2315011445	-0.2401882693	-0.2361387654	-0.2156008965	-0.2593813525	-0.2231322648	-0.1929682204	-0.2380278957	-0.2281500345	-0.2163388461	-0.2619584368	-0.2428395082	-0.2737954049	-0.2358778375	-0.2243543213	-0.2737736454	-0.2450988478	-0.2533711509	-0.2804194608	-0.2538239218	-0.2719333399	-0.2840543037	-0.2906299039	-0.3355710848	-0.2910647078	-0.2560149675	-0.3148824331	-0.3073261494	-0.3063353891	-0.3485342570	-0.3417305811	-0.3394084167	-0.3480982181	-0.3382693273	-0.3515133221	-0.3581212489	-0.3887769886	-0.4175321194	15	1013	36.5000000000	50	142.1800000000	0	2017-198	18:04:14.808
0250	0.2560000000	0.0000000000	-0.2723897738	-0.2866275322	-0.2174870181	-0.1934811564	-0.1910667099	-0.1751297691	-0.1979720530	-0.1858647166	-0.1871185298	-0.2205826359	-0.2093330064	-0.1869070406	-0.2262163614	-0.2016068799	-0.1838592253	-0.2018620353	-0.1897924134	-0.1932772196	-0.1845123229	-0.1781487158	-0.1881640705	-0.1720193660	-0.1444792324	-0.1629141610	-0.1331231947	-0.1174075422	-0.1190195002	-0.1183517832	-0.1301526636	-0.1133468366	-0.1172819638	-0.1451712358	-0.1212215351	-0.1113613882	-0.1420823679	-0.1255081095	-0.1168737560	-0.1425490705	-0.1316731659	-0.1549292574	-0.1445054835	-0.1433134670	-0.1792295946	-0.1492504361	-0.1337432457	-0.1596914942	-0.1433725548	-0.1397985133	-0.1476344033	-0.1437760194	-0.1588996278	-0.1353928315	-0.1373351641	-0.1737791270	-0.1377574843	-0.1133684393	-0.1392655382	-0.1252741467	-0.1312248036	-0.1385796556	-0.1284027932	-0.1436515814	-0.1147500066	-0.1095652224	-0.1493391982	-0.1207651312	-0.1079880359	-0.1339317787	-0.1194516071	-0.1281984398	-0.1376445783	-0.1329832296	-0.1679127364	-0.1333236120	-0.1388191870	-0.1782142710	-0.1620769373	-0.1682472554	-0.1831456422	-0.1753381422	-0.2094636179	-0.1863070267	-0.2142940777	-0.2837762477	-0.1909432016	-0.1738339580	-0.2160175814	-0.1736726782	-0.1951369265	-0.2106762584	-0.1971911448	-0.2361376355	-0.1973695794	-0.1987229953	-0.2410248933	-0.1932301986	-0.2071408569	-0.2352173090	-0.2143140866	-0.2296143734	-0.2395561200	-0.2163711556	-0.2696620168	-0.2132940382	-0.1976433107	-0.2454603322	-0.1860042585	-0.2235154090	-0.2715961101	-0.2291755807	-0.2549509023	-0.2452577096	-0.2152416479	-0.2829228246	-0.2390609140	-0.2364540719	-0.2943630860	-0.2222614141	-0.2841848178	-0.3152849981	-0.2730286350	-0.3210806468	-0.2963716220	-0.2594593331	-0.2988943217	-0.2755949390	-0.3073261494	-0.3512411112	-0.2830592440	-0.3655800358	-0.3281756476	-0.3060624473	-0.4009134267	-0.3424697054	-0.3364112292	-0.4143754734	-0.3604439190	15	1011	36.0000000000	51	144.9700000000	0	2017-198	18:04:17.600
0250	0.2560000000	0.0000000000	-0.2691120073	-0.2360263302	-0.2541619361	-0.1947380825	-0.2134005641	-0.2056595229	-0.1657138993	-0.2162802818	-0.1973628844	-0.1645442078	-0.2110313430	-0.1932992898	-0.1966350774	-0.2248880162	-0.1808780209	-0.2136825588	-0.2031010278	-0.1582060493	-0.2194495675	-0.1849294718	-0.1543591648	-0.1734284868	-0.1409455557	-0.1445789994	-0.1437845488	-0.1226666428	-0.1291042197	-0.1211424983	-0.1028402930	-0.1278133958	-0.1145994934	-0.1013054146	-0.1253386715	-0.1134640474	-0.1295058133	-0.1365956921	-0.1176349230	-0.1562642651	-0.1332762725	-0.1119656406	-0.1561445356	-0.1399512742	-0.1457924219	-0.1633153063	-0.1564327074	-0.1648694044	-0.1572238464	-0.1385046257	-0.1729621203	-0.1484444440	-0.1219027175	-0.1503421236	-0.1447203853	-0.1324960410	-0.1465431655	-0.1429194823	-0.1539843925	-0.1321289890	-0.1154880336	-0.1444880862	-0.1192785590	-0.1094020419	-0.1380255069	-0.1219755226	-0.1225880755	-0.1302375391	-0.1262710697	-0.1470257418	-0.1266229490	-0.1095568170	-0.1387707142	-0.1298828093	-0.1319080326	-0.1572978466	-0.1515957224	-0.1444225867	-0.1611721695	-0.1645093723	-0.1894209108	-0.1718481513	-0.1579550195	-0.2037127064	-0.2061775164	-0.2337051010	-0.2384022099	-0.1960057141	-0.1913421580	-0.1803541954	-0.1771435181	-0.2045675110	-0.1827804219	-0.2114022395	-0.2266316350	-0.2174115270	-0.2276530246	-0.2318817600	-0.2176510707	-0.2339736712	-0.2255743169	-0.2176648236	-0.2452454633	-0.2182841501	-0.2258982527	-0.2412060736	-0.2316285829	-0.2375865154	-0.2307840981	-0.2089494431	-0.2303195996	-0.2291755807	-0.2542780471	-0.2595265572	-0.2386293294	-0.2745558955	-0.2454367218	-0.2350132759	-0.2892390941	-0.2550685173	-0.2545829442	-0.2641919724	-0.2557025841	-0.3050539400	-0.3004548994	-0.2711034185	-0.3081428099	-0.2986549899	-0.2813049355	-0.3028133717	-0.3108637016	-0.3215502733	-0.3206871348	-0.3165713900	-0.3950405424	-0.3545278610	-0.3529521966	-0.4506399936	-0.3791073691	15	1012	34.5000000000	52	147.7800000000	0	2017-198	18:04:20.393
0250	0.2560000000	0.0000000000	-0.3231951551	-0.2538855779	-0.2561994316	-0.2085642702	-0.1846016469	-0.1851213249	-0.1753913454	-0.1847975038	-0.1747174689	-0.1815754948	-0.2212213626	-0.1991104254	-0.1871690665	-0.2266788728	-0.2029389338	-0.1746748312	-0.2088873819	-0.1932772196	-0.2030727341	-0.1817998921	-0.1787185821	-0.1903379369	-0.1559636818	-0.1362448351	-0.1457588736	-0.1222909928	-0.1046127579	-0.1180029439	-0.1161550737	-0.1160382895	-0.1145994934	-0.1161523080	-0.1376900809	-0.1211737979	-0.1133359574	-0.1425090696	-0.1256271757	-0.1260908371	-0.1416925822	-0.1266960235	-0.1445054835	-0.1449945634	-0.1364808042	-0.1739705110	-0.1465863372	-0.1346649287	-0.1671794622	-0.1466992469	-0.1463465533	-0.1514152597	-0.1454462059	-0.1470200587	-0.1438998052	-0.1357339301	-0.1633158296	-0.1330691346	-0.1214479778	-0.1328906382	-0.1256045286	-0.1345176095	-0.1360671499	-0.1220202933	-0.1408901838	-0.1113381224	-0.1215321102	-0.1491823548	-0.1195907305	-0.1155294521	-0.1355871263	-0.1245432197	-0.1353923067	-0.1434471483	-0.1359085553	-0.1597779398	-0.1413744940	-0.1422283215	-0.1806246772	-0.1584353124	-0.1667334015	-0.1808224137	-0.1673202192	-0.2070815476	-0.2186645339	-0.2053753732	-0.2571360289	-0.1687173990	-0.1650917076	-0.2075942273	-0.1702636854	-0.2051228517	-0.2323533087	-0.2055128596	-0.2409640704	-0.2156029595	-0.1826749210	-0.2435385801	-0.2046678654	-0.2003954494	-0.2412135257	-0.2057152738	-0.2389239708	-0.2501673917	-0.2207495746	-0.2652234064	-0.2231322648	-0.2087158539	-0.2505399096	-0.1990181027	-0.2522893552	-0.2726630429	-0.2145795885	-0.2670007155	-0.2675199948	-0.2299322740	-0.2829831456	-0.2393356639	-0.2299471880	-0.2819106927	-0.2401615186	-0.2758040237	-0.3076807368	-0.2473577955	-0.3053548322	-0.3101942767	-0.2568557392	-0.3097579774	-0.2856418045	-0.3089769022	-0.3314928153	-0.3068736857	-0.3702985319	-0.3385446338	-0.2834557403	-0.3947217129	-0.3767298373	-0.3493126578	-0.4065536194	15	1011	35.5000000000	53	150.5800000000	0	2017-198	18:04:23.201
0250	0.2560000000	0.0000000000	-0.2895980481	-0.2628152018	-0.2168078529	-0.2349597194	-0.1898912439	-0.1662483862	-0.2221656683	-0.1879991422	-0.1461411111	-0.1914646292	-0.2053702210	-0.2031782203	-0.2078759653	-0.1992190711	-0.2238073649	-0.2059992185	-0.1689615388	-0.2215604214	-0.1872417952	-0.1317266171	-0.1797128441	-0.1654434687	-0.1541968435	-0.1583303706	-0.1343077896	-0.1452056453	-0.1226211857	-0.0995144567	-0.1311768775	-0.1153654263	-0.0964928184	-0.1306617719	-0.1181336827	-0.1250286732	-0.1381297364	-0.1181163877	-0.1438951819	-0.1323606403	-0.1088288966	-0.1500191298	-0.1436741226	-0.1256619549	-0.1618761252	-0.1586270162	-0.1641385623	-0.1665953744	-0.1528953178	-0.1708518148	-0.1480636867	-0.1289219411	-0.1567975306	-0.1428674775	-0.1410277747	-0.1539470563	-0.1521340536	-0.1535578578	-0.1365541703	-0.1138494096	-0.1469615736	-0.1289784558	-0.1145339572	-0.1393253237	-0.1254925452	-0.1166568225	-0.1349076715	-0.1246242603	-0.1304902314	-0.1272078517	-0.1237544123	-0.1300260499	-0.1275093560	-0.1267823889	-0.1479101232	-0.1428306360	-0.1477627618	-0.1549550598	-0.1611721695	-0.1860021998	-0.1619062719	-0.1514067757	-0.1954158184	-0.1767619765	-0.2061775164	-0.2462228877	-0.1984367293	-0.2005537666	-0.1871420860	-0.1772704182	-0.2014875412	-0.2023461483	-0.2069904364	-0.2314261315	-0.2122991996	-0.2192200946	-0.2221827147	-0.2140897714	-0.2293977801	-0.2159409225	-0.2130629499	-0.2226962130	-0.2186951947	-0.2380517599	-0.2516416433	-0.2269254973	-0.2558104111	-0.2290565472	-0.2176135570	-0.2261637664	-0.2309853498	-0.2425563383	-0.2495680605	-0.2459371785	-0.2826532005	-0.2529413289	-0.2404777601	-0.2811187475	-0.2548351486	-0.2237526460	-0.2568600114	-0.2587730151	-0.2903546859	-0.2762058677	-0.2808551680	-0.3451265329	-0.2846012036	-0.2585134198	-0.3099282708	-0.3010523630	-0.3081729476	-0.3389787209	-0.3057101092	-0.3461875012	-0.3206506743	-0.3273970109	-0.4552994325	-0.3610452967	-0.3340955188	15	1016	36.5000000000	54	153.3800000000	0	2017-198	18:04:26.009
0250	0.2560000000	0.0000000000	-0.2781258652	-0.2144464058	-0.2636702482	-0.2085642702	-0.1804875159	-0.2056595229	-0.1899075146	-0.2018729088	-0.2027546501	-0.1694887750	-0.2166924650	-0.1967859711	-0.1587710339	-0.2189184941	-0.2053238973	-0.1746748312	-0.2140951005	-0.2000651880	-0.1981596841	-0.1896238413	-0.1613189983	-0.1814135049	-0.1524300051	-0.1258271297	-0.1406256291	-0.1264231432	-0.1100152863	-0.1323053585	-0.1250315941	-0.1294955538	-0.1166113462	-0.1094037201	-0.1438657856	-0.1239773435	-0.1104613163	-0.1447265861	-0.1279106764	-0.1256989744	-0.1537158818	-0.1422447610	-0.1532347726	-0.1454148375	-0.1297087186	-0.1667249718	-0.1440177189	-0.1299185111	-0.1645823450	-0.1445427677	-0.1459172700	-0.1607521089	-0.1525933363	-0.1574015115	-0.1414380648	-0.1159018593	-0.1449457689	-0.1255828704	-0.1322934494	-0.1416496033	-0.1274779536	-0.1278706251	-0.1342423031	-0.1263465509	-0.1469776224	-0.1219755226	-0.1116764334	-0.1256767501	-0.1192391337	-0.1247306154	-0.1395313644	-0.1347778361	-0.1316385206	-0.1298828093	-0.1359085553	-0.1552311022	-0.1473368773	-0.1501276763	-0.1729341509	-0.1486233694	-0.1744568089	-0.1773324228	-0.1777259967	-0.2070815476	-0.2155427795	-0.2126225129	-0.2296597610	-0.1903206484	-0.2091924643	-0.1988568586	-0.1856110044	-0.2145636431	-0.1989204315	-0.2055128596	-0.2200626021	-0.2053544098	-0.1923999164	-0.2067275693	-0.2089956005	-0.2370827658	-0.2374601156	-0.2120045105	-0.2490383588	-0.2240231336	-0.2117393879	-0.2386096052	-0.2296678941	-0.2474287864	-0.2432961121	-0.2235154090	-0.2709303599	-0.2264994291	-0.2118881676	-0.2527318679	-0.2262476157	-0.2159873923	-0.2482704141	-0.2386152659	-0.2680111277	-0.2580509813	-0.2758355714	-0.3207039554	-0.2809041127	-0.2697951850	-0.3078047987	-0.2777571816	-0.2837604320	-0.2943846101	-0.2969176639	-0.3380335458	-0.2893376699	-0.3132946928	-0.4030607753	-0.3232588990	-0.2981379511	-0.3625666314	-0.3508845757	-0.3759777462	-0.4043579193	15	1017	35.0000000000	55	156.1800000000	0	2017-198	18:04:28.801
0250	0.2560000000	0.0000000000	-0.3272923632	-0.2665358784	-0.2249578347	-0.2249043102	-0.1945931079	-0.2039942636	-0.1985096889	-0.1703901308	-0.2286351250	-0.1859706656	-0.1447962157	-0.2275849898	-0.2161587249	-0.2010099277	-0.2291735329	-0.1989069044	-0.2025223924	-0.1978025319	-0.1686813840	-0.2021421601	-0.1697702247	-0.1269274991	-0.1559636818	-0.1487460816	-0.1366769794	-0.1440786952	-0.1233415228	-0.1319565191	-0.1199105246	-0.1052724780	-0.1296883892	-0.1154774492	-0.0999496634	-0.1337897533	-0.1248345216	-0.1295735564	-0.1378058465	-0.1260908371	-0.1461011254	-0.1369254561	-0.1137451313	-0.1475162080	-0.1449459112	-0.1304972757	-0.1649947684	-0.1523561216	-0.1628509336	-0.1605007143	-0.1442001366	-0.1705133604	-0.1471278836	-0.1233503462	-0.1471821258	-0.1365434023	-0.1317672472	-0.1409494127	-0.1415895679	-0.1485044456	-0.1323488586	-0.1212236406	-0.1481111391	-0.1220202933	-0.1118853297	-0.1276488028	-0.1257559716	-0.1218176210	-0.1311934250	-0.1233150518	-0.1363042605	-0.1252742637	-0.1207525410	-0.1322081245	-0.1383088689	-0.1424172872	-0.1592616437	-0.1531996476	-0.1584578661	-0.1626404308	-0.1681815404	-0.1907938164	-0.1694013747	-0.1790078707	-0.2448872706	-0.2172343290	-0.2140482451	-0.2130609111	-0.1734918518	-0.1865217498	-0.1887863117	-0.1806878622	-0.2069904364	-0.2102243636	-0.2122991996	-0.2379086264	-0.2130655316	-0.2177708725	-0.2374350024	-0.2159409225	-0.2318300004	-0.2176648236	-0.2060522096	-0.2125451666	-0.2085214640	-0.2541884157	-0.2440462785	-0.2192142763	-0.2551495990	-0.2215291409	-0.2243278481	-0.2365349973	-0.2334195350	-0.2364246134	-0.2489474242	-0.2438771558	-0.2773157608	-0.2602272057	-0.2431231671	-0.2863843886	-0.2636912130	-0.2494833741	-0.2667282529	-0.2794112091	-0.2922883446	-0.2744303001	-0.2963720067	-0.3592943831	-0.3021219066	-0.2816812672	-0.3261113073	-0.3105428326	-0.3272395835	-0.3519196518	-0.3245659306	-0.3726150943	-0.3529521966	-0.3546456755	-0.4680332198	15	1018	36.5000000000	56	158.9800000000	0	2017-198	18:04:31.609
0250	0.2560000000	0.0000000000	-0.2609175909	-0.2457000894	-0.2378619725	-0.1941096195	-0.2057600350	-0.1912272757	-0.1796924326	-0.2066753665	-0.1881968829	-0.1777297203	-0.2098991186	-0.2025971067	-0.2049178369	-0.2159337330	-0.2005539702	-0.2095453755	-0.2002078508	-0.1910145634	-0.2090775730	-0.1797135056	-0.1841870227	-0.1828226258	-0.1418289749	-0.1495794980	-0.1339129247	-0.1159049421	-0.1240618599	-0.1239332133	-0.1195691200	-0.1261312377	-0.1125876406	-0.1191891725	-0.1260248610	-0.1218746843	-0.1305838037	-0.1351173478	-0.1222019245	-0.1245233862	-0.1380855923	-0.1483824206	-0.1503250095	-0.1424729188	-0.1572203164	-0.1513814770	-0.1410209976	-0.1674583594	-0.1429397019	-0.1303100044	-0.1399073033	-0.1382587903	-0.1542750140	-0.1557404790	-0.1365145840	-0.1539470563	-0.1417509758	-0.1232187870	-0.1466249654	-0.1347947610	-0.1252298436	-0.1311941173	-0.1243881301	-0.1364411520	-0.1383835915	-0.1219755226	-0.1415954522	-0.1190109816	-0.1150199720	-0.1254383972	-0.1194516071	-0.1336812700	-0.1316385206	-0.1329832296	-0.1711131545	-0.1465507759	-0.1375415334	-0.1742645936	-0.1543864109	-0.1453527217	-0.1807320774	-0.1653667395	-0.1891723519	-0.1975364975	-0.2199132356	-0.2666466449	-0.2165460877	-0.1772449974	-0.1950172211	-0.1726447524	-0.1813772612	-0.1973480823	-0.1937325713	-0.2308371935	-0.1902033617	-0.1999287070	-0.2483186398	-0.2005924008	-0.1997218825	-0.2426791361	-0.2036794247	-0.2201805183	-0.2503026573	-0.2131828314	-0.2548595672	-0.2068028671	-0.1963361849	-0.2533341489	-0.2083941783	-0.2221912303	-0.2789193619	-0.2345278837	-0.2468766395	-0.2547702747	-0.2351899645	-0.2843173127	-0.2263092983	-0.2292500920	-0.2745991173	-0.2304631899	-0.2925340642	-0.3168332717	-0.2588527752	-0.3258886588	-0.2824884789	-0.2594593331	-0.3115058965	-0.2730327111	-0.3186020088	-0.3565241373	-0.2911315059	-0.3582417421	-0.3525133141	-0.3156160315	-0.3921041002	-0.3354357813	-0.3095321571	-0.3962432133	-0.3505632689	15	1006	37.0000000000	57	161.7800000000	0	2017-198	18:04:34.417
