FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
118	733.4300000000	4.0300000000	0.0800000000	30.9000000000	-136.2000000000	-167.8000000000	597.7000000000	222.0000000000	2017-198	18:14:04.053
119	734.0700000000	5.1700000000	1.0100000000	30.9000000000	-135.4000000000	-167.4000000000	598.2000000000	217.2000000000	2017-198	18:14:04.716
120	734.7100000000	4.0900000000	1.0600000000	30.9000000000	-137.1000000000	-164.0000000000	598.0000000000	218.7000000000	2017-198	18:14:05.330
121	735.3500000000	4.1700000000	1.1200000000	30.9000000000	-135.0000000000	-165.1000000000	598.0000000000	219.1000000000	2017-198	18:14:05.970
122	735.9900000000	5.3300000000	2.0600000000	30.9000000000	-129.3000000000	-170.5000000000	598.2000000000	216.6000000000	2017-198	18:14:06.610
123	736.6300000000	4.5600000000	2.0500000000	30.9000000000	-131.2000000000	-167.1000000000	598.2000000000	217.4000000000	2017-198	18:14:07.296
124	737.2700000000	4.0400000000	0.8400000000	30.9000000000	-137.1000000000	-162.7000000000	598.2000000000	219.0000000000	2017-198	18:14:07.904
125	737.9100000000	4.2100000000	1.7100000000	30.9000000000	-134.4000000000	-164.7000000000	598.0000000000	217.8000000000	2017-198	18:14:08.575
126	738.5500000000	4.7000000000	1.7600000000	30.9000000000	-133.0000000000	-166.5000000000	598.0000000000	217.2000000000	2017-198	18:14:09.168
127	739.1900000000	4.3300000000	1.4800000000	30.9000000000	-132.6000000000	-166.3000000000	597.5000000000	218.7000000000	2017-198	18:14:09.839
128	739.8300000000	4.7200000000	1.5600000000	30.9000000000	-130.9000000000	-167.8000000000	598.2000000000	218.2000000000	2017-198	18:14:10.525
129	740.4700000000	4.5600000000	2.1600000000	30.9000000000	-128.7000000000	-170.9000000000	598.2000000000	218.6000000000	2017-198	18:14:11.087
130	741.1100000000	5.8100000000	2.7200000000	30.9000000000	-122.6000000000	-177.9000000000	598.2000000000	217.1000000000	2017-198	18:14:11.742
131	741.7600000000	5.8600000000	3.4200000000	30.9000000000	-117.3000000000	-182.3000000000	598.2000000000	217.6000000000	2017-198	18:14:12.382
132	742.4000000000	5.9000000000	3.8200000000	30.9000000000	-121.2000000000	-178.5000000000	598.0000000000	215.2000000000	2017-198	18:14:13.037
