SN	INTTIME(LI)	SAMPLE(DELAY)	LI(348.08)	LI(351.41)	LI(354.74)	LI(358.07)	LI(361.40)	LI(364.73)	LI(368.06)	LI(371.39)	LI(374.72)	LI(378.06)	LI(381.39)	LI(384.72)	LI(388.06)	LI(391.39)	LI(394.73)	LI(398.07)	LI(401.40)	LI(404.74)	LI(408.08)	LI(411.42)	LI(414.76)	LI(418.10)	LI(421.44)	LI(424.78)	LI(428.12)	LI(431.46)	LI(434.80)	LI(438.14)	LI(441.48)	LI(444.83)	LI(448.17)	LI(451.51)	LI(454.86)	LI(458.20)	LI(461.54)	LI(464.89)	LI(468.23)	LI(471.58)	LI(474.92)	LI(478.27)	LI(481.62)	LI(484.96)	LI(488.31)	LI(491.66)	LI(495.00)	LI(498.35)	LI(501.70)	LI(505.04)	LI(508.39)	LI(511.74)	LI(515.09)	LI(518.43)	LI(521.78)	LI(525.13)	LI(528.48)	LI(531.83)	LI(535.17)	LI(538.52)	LI(541.87)	LI(545.22)	LI(548.57)	LI(551.92)	LI(555.26)	LI(558.61)	LI(561.96)	LI(565.31)	LI(568.66)	LI(572.01)	LI(575.35)	LI(578.70)	LI(582.05)	LI(585.40)	LI(588.74)	LI(592.09)	LI(595.44)	LI(598.79)	LI(602.13)	LI(605.48)	LI(608.83)	LI(612.17)	LI(615.52)	LI(618.86)	LI(622.21)	LI(625.55)	LI(628.90)	LI(632.24)	LI(635.59)	LI(638.93)	LI(642.28)	LI(645.62)	LI(648.96)	LI(652.31)	LI(655.65)	LI(658.99)	LI(662.33)	LI(665.67)	LI(669.01)	LI(672.35)	LI(675.69)	LI(679.03)	LI(682.37)	LI(685.71)	LI(689.05)	LI(692.39)	LI(695.72)	LI(699.06)	LI(702.39)	LI(705.73)	LI(709.06)	LI(712.40)	LI(715.73)	LI(719.07)	LI(722.40)	LI(725.73)	LI(729.06)	LI(732.39)	LI(735.72)	LI(739.05)	LI(742.38)	LI(745.71)	LI(749.03)	LI(752.36)	LI(755.69)	LI(759.01)	LI(762.34)	LI(765.66)	LI(768.98)	LI(772.30)	LI(775.63)	LI(778.95)	LI(782.27)	LI(785.58)	LI(788.90)	LI(792.22)	LI(795.53)	LI(798.85)	LI(802.16)	DARK_SAMP(LI)	DARK_AVE(LI)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0250	0.1280000000	0.0000000000	5.2568672145	5.5405607534	5.5280959696	5.3597040528	5.6750429169	6.1331499820	6.3761176384	6.1201261193	5.8661924630	5.8285459133	5.5039998203	4.9480238916	5.2129747865	5.2642505469	5.3049173623	6.3883487434	7.3995895822	7.7748462903	7.8303099409	7.8046032026	7.8452237678	7.7546484439	7.4745293382	7.1874208298	6.7844624195	6.7087002824	7.0150353799	7.2424127582	7.4479284496	7.6612818076	7.7565153168	7.8032389698	7.7640149723	7.6335129671	7.5226416965	7.3107151573	7.0940064717	7.0458692788	6.9297930579	6.9227594984	6.7717368902	6.3503416024	6.1571336825	6.1738966868	6.0855627693	5.9527921262	5.7307753727	5.6239806368	5.6339926520	5.4045307779	5.1838094796	5.1284003240	5.0632034760	5.1018091034	5.0597896093	5.0365008850	4.9629303912	4.8083253073	4.7463394760	4.7169416832	4.6133456635	4.5775735206	4.4907714365	4.3173661734	4.2264851936	4.1256005937	4.0411580286	3.9851972185	3.8795984177	3.8476843069	3.8268482596	3.6180851331	3.4334669528	3.3377549416	3.2742384779	3.2693752979	3.2361074241	3.2443974451	3.2048192093	3.0794862444	2.9983300865	2.9412027724	2.7968084642	2.7424138372	2.6767217852	2.6699649334	2.6676180207	2.5976618670	2.5807554049	2.4408733027	2.2975407547	2.2356616499	2.1492681275	2.1441943282	2.2214989288	2.1817211255	2.1403184763	2.1225502861	2.0323577158	2.0287933115	1.9002975469	1.6919569103	1.5948030491	1.5038861896	1.5471023932	1.5733316299	1.5627439623	1.5696933713	1.4979977972	1.4296737364	1.2502874768	1.0015983631	1.0168014651	1.0127149619	0.9713118150	1.1278161957	1.2456629241	1.3196045883	1.3094517821	1.2676133241	1.2999546961	1.3130969366	1.0013682445	0.7336522356	0.5507054310	0.6547653778	0.9136603336	0.9722370581	0.9963126430	0.9658203603	0.7964201822	0.8877878366	0.8758604330	0.7077775575	0.6980102165	0.5748993055	0.5570095716	15	1029	41.0000000000	236	1104.0100000000	0	2017-198	18:20:16.401
0250	0.1280000000	0.0000000000	5.3945334089	5.5048422579	5.5593375665	5.4502027358	5.6009885585	6.1675653408	6.4029994332	6.0582277761	5.9179534129	5.7856929977	5.4417274784	5.0433265152	5.1727442403	5.2929042531	5.3716963418	6.3079691834	7.4921712473	7.8212307414	7.7724451296	7.9068361391	7.8163901718	7.7593455134	7.5434360347	7.1665854190	6.8034159378	6.7289853847	6.9869422325	7.2863665202	7.4547565423	7.6498431329	7.8363188104	7.7897417940	7.7660735405	7.6958918573	7.5312656196	7.3595005210	7.1099909771	7.0051155578	6.9666645101	6.8654746759	6.7077221033	6.4024555904	6.1427430006	6.2310085842	6.1172423950	5.9010130251	5.7749263646	5.6317439622	5.6099527851	5.4792255718	5.1644701856	5.0943491587	5.1288498871	5.0872386025	5.1045167135	5.0451691909	4.9404647716	4.8662106420	4.7118684559	4.6918308530	4.6571419877	4.5537791037	4.4836097441	4.3358043338	4.2229653091	4.1873466598	4.0235781884	3.9611326376	3.9247778714	3.8184425457	3.8028240287	3.6514146518	3.3862607858	3.3129540093	3.2819043992	3.2755192405	3.3157269906	3.2135599100	3.1777872834	3.1313375384	2.9993706643	2.9838747613	2.8280260080	2.7015663227	2.7191851084	2.6210733688	2.6749681468	2.7364318409	2.5310089228	2.4297664893	2.3378907790	2.1920802379	2.2018203907	2.1200800937	2.2032645625	2.2528890798	2.0958046299	2.1038957184	2.1499645656	1.9684166387	1.9015618454	1.7072608663	1.5909415405	1.5700961341	1.5301097571	1.5707070243	1.6154261265	1.5392372608	1.5632413137	1.5112963578	1.1924219270	1.0287771205	0.9480141666	0.9750637813	1.0889100480	1.1018818680	1.2559109078	1.3509204595	1.2730187069	1.3605097346	1.3377569890	1.2489901093	1.1059001453	0.6255285853	0.4868067855	0.7077180873	0.8321271965	1.0039352148	1.0429523783	0.9107831571	0.9424461812	0.8744128187	0.7936400526	0.7620392575	0.6566577979	0.6324958964	0.5570095716	15	1030	38.5000000000	237	1104.3200000000	0	2017-198	18:20:16.721
0250	0.1280000000	0.0000000000	5.3683112766	5.5956267673	5.4968543728	5.4225503604	5.6291997427	6.1731162051	6.4341823151	6.0795720324	5.9308936503	5.8307434987	5.3930418292	5.0258931085	5.1869432566	5.2642505469	5.4015083862	6.3777102722	7.4701831019	7.8110487887	7.7560682962	7.9005769797	7.8511893393	7.7067383354	7.5240008126	7.1849205805	6.8018364779	6.7785711901	7.0359251562	7.2842734839	7.4533909237	7.6303300996	7.8188827530	7.8126869928	7.7399983429	7.6776688107	7.5370149017	7.3587613488	7.1647949957	7.0717322171	6.9923142160	6.9006639240	6.7068907425	6.3906879157	6.1427430006	6.1943546799	6.1583402878	5.9286285457	5.7680007188	5.6619346721	5.6271241186	5.4690399181	5.1577434746	5.0835524478	5.1288498871	5.0726681015	5.0853479546	5.0900867763	4.9737758628	4.8547859049	4.7403445160	4.6910922991	4.6337839482	4.5177269570	4.4750157133	4.3712623346	4.2405647319	4.1655952047	4.0446739967	3.9476847836	3.9011124433	3.8125941934	3.8200914447	3.6645914383	3.3526563956	3.3113006138	3.3296034648	3.2807854770	3.3030602414	3.2490697989	3.1884069686	3.1074061720	2.9743967983	3.0198090678	2.8917097972	2.6910250287	2.7116915808	2.6995272749	2.6665680027	2.6696166683	2.5490023312	2.4486480721	2.3759350875	2.1567439580	2.2280965223	2.1948342207	2.1619333321	2.2393917091	2.1477374508	2.0790229616	2.0974168242	1.9495489284	1.9546623826	1.7927079538	1.5742083366	1.5856749446	1.5797805395	1.5234641237	1.5680121787	1.5418856182	1.5632413137	1.5032679033	1.2099161630	1.1035187034	1.0250559409	0.9178897662	1.0364867393	1.0773883362	1.2266309542	1.3777626349	1.2578382589	1.4007648458	1.3850098550	1.2073206716	1.1712325834	0.6621242823	0.4010480772	0.6803876566	0.8061059826	1.0338723628	1.1093243092	0.9254597447	0.9761444887	0.8629485175	0.7270806970	0.7841458761	0.5780882027	0.5599668560	0.6272719721	15	1035	40.5000000000	238	1104.6200000000	0	2017-198	18:20:17.001
0250	0.1280000000	0.0000000000	5.3781445762	5.5986033086	5.5226626485	5.3974118374	5.5962866944	6.1742263780	6.4341823151	6.0390179454	5.9233451785	5.8834855486	5.4111574196	5.0282175627	5.2129747865	5.2738017823	5.3716963418	6.2760537699	7.4655540186	7.8744031609	7.7942809075	7.9005769797	7.8700803160	7.7104959909	7.5142832016	7.1799200819	6.8128926969	6.7605399882	6.9718151532	7.2884595565	7.5039188092	7.6572446283	7.8262595465	7.8194355807	7.7317640700	7.6727626059	7.5291096389	7.3875890638	7.1670784964	7.0129528119	7.0051390689	6.9514019096	6.7135416294	6.3881662711	6.1520546183	6.2028788437	6.1377913414	5.8932461600	5.7957033020	5.6921253819	5.5704587180	5.4673423092	5.1972629016	5.0669421233	5.1050530631	5.0686207402	5.1077115067	5.0916628319	4.9451128308	4.8783970283	4.7808104960	4.6526875000	4.6542222328	4.5681999624	4.4793127287	4.3833180548	4.2152215631	4.1985732173	4.0805368707	3.9448536564	3.9204750663	3.8418359546	3.7675384397	3.6576154925	3.3910614129	3.3212209867	3.3304552338	3.2772746527	3.3365366500	3.2817762756	3.1613750427	3.1014233303	2.9972895088	2.9636617139	2.8679844640	2.6883897052	2.7229318722	2.7302266294	2.6560678225	2.7055940689	2.5595866891	2.3820071915	2.3436550681	2.1755899739	2.1827104768	2.2189484552	2.1570708344	2.2430728102	2.1662848868	2.0591247561	2.1424577454	1.9747058754	1.8800687708	1.7901572945	1.5330189116	1.5895696472	1.6137658116	1.5378994544	1.6141090724	1.5538032267	1.5046552989	1.5487624791	1.1883847957	1.0206234933	1.0511951144	0.9555409469	1.0435709702	1.1062042559	1.2149189727	1.3494292276	1.2214051837	1.3357373585	1.4464385808	1.1816779408	1.0765005482	0.7070371832	0.4481312896	0.7145506950	0.8859043720	0.9951301713	1.0860044416	0.9162868775	0.9536789504	1.0463773356	0.7505722343	0.6836612463	0.6194406212	0.5514340277	0.5745751717	15	1036	41.5000000000	239	1104.9300000000	0	2017-198	18:20:17.311
0250	0.1280000000	0.0000000000	5.3879778758	5.5569317305	5.5009293637	5.4087241728	5.6491826648	6.1642348222	6.3707412794	6.0945130118	5.9664793034	5.8208543643	5.4326696832	5.0200819729	5.2248073001	5.2570871203	5.2834526903	6.3753461675	7.4944857890	7.7725836342	7.8150248964	7.8807563084	7.8293155769	7.7133142326	7.5054490097	7.1957549942	6.7915699888	6.7079489823	7.0229590881	7.3114829556	7.4554393515	7.6727204823	7.8094941067	7.8018892522	7.7454878582	7.6594457641	7.5499507865	7.3558046601	7.1274978164	7.0599763360	6.9899095560	6.9031189878	6.7251806816	6.3696742109	6.1749104073	6.2054360928	6.0984058608	5.9579700364	5.7861805390	5.6386446959	5.6305583853	5.4486686107	5.1728785743	5.0918576100	5.0771533384	5.1147606598	5.0885427477	5.0703860809	4.9784239220	4.8563092032	4.7403445160	4.7036477142	4.6228348671	4.5768524776	4.5043786520	4.3287127336	4.2644999469	4.1866450000	4.0608474497	3.9774116188	3.8702756733	3.8250219419	3.8125838725	3.6111091873	3.4222654895	3.3460219191	3.2989397798	3.2948287744	3.2940125634	3.2714970972	3.1941995241	3.0515663168	3.0035329752	2.9928583379	2.8192850957	2.7648140870	2.7441635338	2.6733759728	2.6980685431	2.6223320846	2.5849891480	2.4519801161	2.2387450052	2.2285943939	2.2101809780	2.1321372109	2.2166364311	2.1706778222	2.1118790744	2.1026520806	2.0023304350	2.0577238005	1.9496051886	1.6664503170	1.6244079483	1.6064466919	1.5588665258	1.5812054466	1.5179641227	1.5736659075	1.5832138188	1.3962218424	1.3108444475	1.1062365791	0.9260022311	1.0029535447	0.9783960459	1.0889147041	1.2588389032	1.2211832785	1.3914262013	1.4177958544	1.2590022122	1.3146996072	1.0732339263	0.6438264338	0.5002591320	0.6206023394	0.9344773047	1.0373943802	0.9317345481	1.0538798854	1.0266919499	0.8323770478	0.8934790860	0.6896903241	0.5553443725	0.6175634469	0.4033105704	15	1028	39.5000000000	240	1105.2400000000	0	2017-198	18:20:17.845
0250	0.1280000000	0.0000000000	5.3961722922	5.5718144370	5.4846294001	5.4300919173	5.6068658885	6.1586839579	6.4567630228	6.0774376067	5.9125616473	5.8164591935	5.3749262388	5.0212442000	5.2082417810	5.2499236938	5.3895835684	6.3635256440	7.4528240397	7.8427259748	7.8139331075	7.8901450474	7.8064475524	7.7039200937	7.5204671359	7.1774198326	6.7852521494	6.7597886881	7.0179167284	7.2814827689	7.4465628311	7.6478245433	7.8162002826	7.7708457479	7.7338226382	7.6965927438	7.5334216004	7.3617180375	7.1518551580	7.0333296723	6.9931157693	6.9137575977	6.7235179598	6.3814418856	6.1156546582	6.1849780997	6.1651899366	5.9553810813	5.7792548932	5.6420950628	5.6125284851	5.4520638286	5.1594251524	5.1043153534	5.1173617652	5.0613354897	5.0885427477	5.0814184703	4.9644797443	4.8783970283	4.7403445160	4.6925694068	4.6578719265	4.5350319874	4.4879067596	4.3804814148	4.2229653091	4.1564736268	4.0425644159	3.9469770018	3.8975267723	3.8096700173	3.8155869014	3.6692420688	3.3974622491	3.3253544754	3.2767937850	3.2544542945	3.2831553497	3.2210356761	3.2115771907	3.1143861538	2.9556663989	3.0063337029	2.8480052360	2.6818013964	2.7179361871	2.6506357102	2.6686680387	2.6819517771	2.4918467986	2.4486480721	2.3943808129	2.1732342220	2.2125697173	2.1249029406	2.1278958483	2.1952184961	2.0958046299	2.1126011834	2.1049236444	1.9860265016	1.9281121140	1.7136375146	1.5536136241	1.5882714130	1.5091957435	1.5392117572	1.6022555854	1.5074569715	1.5752248168	1.5046059790	1.2152990049	1.0844935732	0.9603958803	0.9304401598	1.0860763556	1.0226380888	1.2061349866	1.3628503153	1.3185600509	1.3697993756	1.3204309381	1.2377714146	1.1385663644	0.6388361115	0.4935329588	0.7743360122	0.8650874009	1.0162622757	1.0286016905	0.9144523040	0.9742723605	0.8381091984	0.7818942840	0.8203203428	0.5450062679	0.6068974115	0.7019257727	15	1032	41.5000000000	241	1106.1100000000	0	2017-198	18:20:18.516
0250	0.1280000000	0.0000000000	5.4060055918	5.5941384967	5.4982127031	5.4124949512	5.5845320344	6.1609043036	6.4449350330	6.0411523710	5.9114832941	5.8900783049	5.3998351756	5.0096219288	5.2248073001	5.2666383557	5.3645414511	6.2996948170	7.4412513315	7.8506452713	7.7626190296	7.8922314339	7.8720688399	7.7142536465	7.5027987522	7.1649185861	6.7939391786	6.7417574861	6.9595694223	7.2772966963	7.4929938610	7.6404230479	7.8276007817	7.8106624164	7.7379397747	7.6713608331	7.5327029402	7.3794581698	7.1647949957	6.9925759514	6.9963219825	6.9726791294	6.6969144120	6.3957312049	6.1562871718	6.1858305161	6.1326541048	5.8958351150	5.7974347134	5.6843620565	5.5618730513	5.4690399181	5.2107163235	5.0544843799	5.1083353837	5.0742870461	5.0805557648	5.0829945259	4.9466621839	4.8966766077	4.7800611260	4.6430863002	4.6520324166	4.5689210054	4.4764480518	4.3691348545	4.2307090551	4.1705068236	4.0720985474	3.9406069657	3.9204750663	3.8250219419	3.7630338964	3.6444387060	3.3774596360	3.3146074048	3.3278999267	3.2509434701	3.3220603652	3.2696281557	3.1526862094	3.1333318190	2.9743967983	2.9007766776	2.8629896570	2.6659894553	2.7154383446	2.7074863668	2.6403175523	2.6737283712	2.5542945102	2.3620149274	2.3436550681	2.1697005940	2.1683780414	2.2068913380	2.1680114542	2.2271213722	2.1563929209	2.0728047724	2.0974168242	1.9671587913	1.8762758753	1.7697520198	1.5330189116	1.5791837736	1.6359869511	1.5182149125	1.5864509362	1.5630724777	1.5073182996	1.5501005549	1.1937676375	1.0287771205	1.0456921305	0.9360181125	1.0478215088	1.1292569917	1.1944230052	1.3539029235	1.2730187069	1.3481235465	1.4511638674	1.2201420371	1.0667006825	0.6953930978	0.3976849906	0.6769713527	0.8737611389	1.0180232844	1.1326441769	0.9291288915	0.9761444887	1.0291808839	0.7407840938	0.7097872501	0.6628606607	0.5684996843	0.6053149719	15	1038	40.0000000000	242	1106.4200000000	0	2017-198	18:20:18.812
0250	0.1280000000	0.0000000000	5.2863671133	5.6447396987	5.4588211245	5.3345655298	5.6785693150	6.1287092906	6.4116016075	6.1350670987	5.8564872849	5.8889795122	5.4439919272	4.9759173424	5.2887028735	5.2403724584	5.2631805001	6.3718000104	7.4111622904	7.8223620694	7.8390442521	7.8452877385	7.9128335791	7.7584060995	7.4780630150	7.2157569886	6.7710370107	6.7252288843	7.0301624593	7.2368313281	7.4711439646	7.6875234730	7.7933992844	7.8633014019	7.7406845323	7.6335129671	7.5693546136	7.3269769452	7.1320648179	7.0834880981	6.9474272307	6.9456734273	6.7418078989	6.3579065361	6.2155429210	6.1773063523	6.0881313876	5.9579700364	5.7264468441	5.6722857726	5.6408611854	5.4512150241	5.2292147787	5.0644505746	5.0615623157	5.1414732449	5.0454130401	5.0577776359	5.0101856602	4.8281281849	4.7673218360	4.7014320528	4.6118857861	4.5934364651	4.4592599900	4.3386409739	4.2863232312	4.1129707166	4.0306101245	3.9972295089	3.8939411014	3.8630362315	3.8013225143	3.6250610788	3.4606705067	3.2815394950	3.2870150133	3.3527573761	3.2578218513	3.2518732112	3.2193005981	3.0635320001	3.0326691522	2.9322191958	2.8267773062	2.7964379692	2.6130268005	2.6801980516	2.7684197502	2.6243879360	2.5627619965	2.4242130826	2.3148336223	2.2639306738	2.1277694744	2.1393714813	2.2628301592	2.1584074853	2.1316630062	2.1536412322	2.0323577158	1.9986049751	1.8737472783	1.7455207562	1.6488641694	1.5012897212	1.5823947912	1.6258237416	1.5271835015	1.6027978393	1.5472633097	1.4550971759	1.2785473965	1.0151877418	1.0236801950	1.0615220480	1.0024824310	1.1407833596	1.2720148823	1.2644290055	1.3155239613	1.3078684353	1.3141305559	1.3130969366	1.0748672373	0.7419694394	0.5305269114	0.6342675547	0.9015171004	1.0285893367	1.0178386747	0.9786623744	0.8413512588	0.9049842883	0.8817333174	0.6856709389	0.7290245304	0.5919649620	0.4757686710	15	1026	39.5000000000	243	1106.7300000000	0	2017-198	18:20:19.155
0250	0.1280000000	0.0000000000	5.3945334089	5.5911619554	5.4805544092	5.4187795820	5.6162696166	6.1697856865	6.4449350330	6.0945130118	5.9298152972	5.8263483279	5.3885129316	5.0561110135	5.2342733110	5.2475358849	5.3871986049	6.3150614975	7.4690258311	7.8563019117	7.8073823742	7.8776267287	7.8482065535	7.6879500575	7.5019153330	7.1865874134	6.7813034997	6.7492704869	6.9991879635	7.2821804476	7.4704611553	7.6619546708	7.8148590474	7.7843429237	7.7269607441	7.6790705836	7.5154550939	7.3521087992	7.1716454980	7.0317622215	6.9899095560	6.9260329168	6.7318315685	6.3822824338	6.1249662759	6.1866829325	6.1420723719	5.9199986955	5.7636721902	5.6843620565	5.6065185184	5.4580054599	5.1846503185	5.0860439965	5.0943855213	5.0240997650	5.0709713854	5.0971790266	4.9567329789	4.8684955895	4.7523344360	4.6711513457	4.6513024778	4.5487318032	4.5072433290	4.3854455349	4.2060698632	4.1669985244	4.0601442560	3.9384836203	3.9118694561	3.8352565584	3.7945656994	3.6537399671	3.3718589043	3.3460219191	3.3117163152	3.2430441154	3.2912982600	3.2509387405	3.1748910056	3.0994290498	2.9587881321	2.9636617139	2.8854662885	2.6989309992	2.7616484315	2.7052123405	2.6308673901	2.6881193315	2.5521776386	2.4575335228	2.3816993767	2.1602775860	2.1862935857	2.1851885269	2.1558552100	2.2663864504	2.1366089891	2.0230592586	2.0548781764	1.9570960125	1.9319050095	1.7888819648	1.5806441842	1.6012537551	1.5601736517	1.5064041874	1.6035726395	1.5206987587	1.5446003090	1.5514386306	1.1803105329	1.0858525111	1.0278074329	0.9318346479	1.0761584324	1.0658619683	1.1636790538	1.3300432120	1.2274773629	1.3372856320	1.4133615746	1.2537981214	1.1418329863	0.6970565386	0.4329973999	0.7128425430	0.8408009345	0.9757590755	1.1057366373	0.9639857869	0.9574232068	0.8514842164	0.7094620441	0.7620392575	0.5388034051	0.5599668560	0.6865558726	15	1030	41.0000000000	244	1107.0300000000	0	2017-198	18:20:19.421
0250	0.1280000000	0.0000000000	5.2437561484	5.6030681206	5.5185876576	5.3810717974	5.6738674509	6.1509127479	6.3965478024	6.0923785861	5.8489388130	5.8944734757	5.4564463956	4.9503483458	5.2579383381	5.2391785540	5.3120722529	6.3848025863	7.4204204569	7.8348066783	7.8161166853	7.8202511010	7.9009024359	7.7659214107	7.4568609545	7.2015889092	6.7828829596	6.7147106831	7.0143150428	7.2396220432	7.4684127275	7.6639732604	7.7659039631	7.8471047910	7.7399983429	7.6265041030	7.5578560494	7.3218027400	7.1168414794	7.0654624139	6.9289915046	6.9489468458	6.7567723946	6.3528632470	6.2113103675	6.1687821886	6.0624452046	5.9424363060	5.7160583754	5.6464080213	5.6228312852	5.4070771913	5.2199655511	5.1059763859	5.0673063767	5.1471395509	5.0589909110	5.0309846903	4.9892693936	4.8205116935	4.7740661660	4.7213730061	4.6191851734	4.6071362809	4.4721510363	4.3237486135	4.2926590234	4.1256005937	4.0200622204	3.9851972185	3.8638214656	3.8425669987	3.8065778148	3.6165349229	3.4486689388	3.2906331702	3.2631654805	3.3009727170	3.2352026563	3.2696281557	3.2260585796	3.0824776652	3.0430749296	2.9445716136	2.8092954817	2.8227912043	2.6117778792	2.6620058415	2.7337691557	2.6243879360	2.5500607670	2.4308771706	2.2802478872	2.2521519139	2.1253807352	2.1417829048	2.2798489011	2.1252775755	2.1217710403	2.1399612159	2.0323577158	2.0375982429	1.8712186813	1.6957828993	1.6347053046	1.5012897212	1.5654021551	1.6560067058	1.5179641227	1.5802868011	1.5246278040	1.4229833576	1.2933502115	1.0165466796	1.0112984812	1.0601275598	0.9826465844	1.1508689315	1.3115428198	1.2539903817	1.2866811101	1.2939339738	1.3377569890	1.3098915952	1.0062681773	0.7236715909	0.6011517300	0.5966882125	0.9275383143	1.0620485021	0.9801681193	0.9346326119	0.8282463615	0.8896985535	0.8993519703	0.6937097093	0.6835368700	0.6111638257	0.4428331707	15	1027	40.5000000000	245	1107.3300000000	0	2017-198	18:20:19.826
