SN	INTTIME(LT)	SAMPLE(DELAY)	LT(348.18)	LT(351.52)	LT(354.85)	LT(358.19)	LT(361.52)	LT(364.86)	LT(368.20)	LT(371.54)	LT(374.88)	LT(378.22)	LT(381.56)	LT(384.90)	LT(388.24)	LT(391.58)	LT(394.92)	LT(398.27)	LT(401.61)	LT(404.95)	LT(408.30)	LT(411.64)	LT(414.99)	LT(418.34)	LT(421.68)	LT(425.03)	LT(428.38)	LT(431.72)	LT(435.07)	LT(438.42)	LT(441.77)	LT(445.12)	LT(448.47)	LT(451.82)	LT(455.17)	LT(458.52)	LT(461.87)	LT(465.22)	LT(468.58)	LT(471.93)	LT(475.28)	LT(478.63)	LT(481.99)	LT(485.34)	LT(488.69)	LT(492.05)	LT(495.40)	LT(498.76)	LT(502.11)	LT(505.47)	LT(508.82)	LT(512.17)	LT(515.53)	LT(518.88)	LT(522.24)	LT(525.60)	LT(528.95)	LT(532.31)	LT(535.66)	LT(539.02)	LT(542.37)	LT(545.73)	LT(549.09)	LT(552.44)	LT(555.80)	LT(559.15)	LT(562.51)	LT(565.87)	LT(569.22)	LT(572.58)	LT(575.93)	LT(579.29)	LT(582.64)	LT(586.00)	LT(589.35)	LT(592.71)	LT(596.06)	LT(599.42)	LT(602.77)	LT(606.13)	LT(609.48)	LT(612.84)	LT(616.19)	LT(619.55)	LT(622.90)	LT(626.25)	LT(629.61)	LT(632.96)	LT(636.31)	LT(639.67)	LT(643.02)	LT(646.37)	LT(649.72)	LT(653.07)	LT(656.42)	LT(659.77)	LT(663.12)	LT(666.47)	LT(669.82)	LT(673.17)	LT(676.52)	LT(679.87)	LT(683.22)	LT(686.56)	LT(689.91)	LT(693.26)	LT(696.60)	LT(699.95)	LT(703.30)	LT(706.64)	LT(709.98)	LT(713.33)	LT(716.67)	LT(720.01)	LT(723.35)	LT(726.70)	LT(730.04)	LT(733.38)	LT(736.72)	LT(740.06)	LT(743.39)	LT(746.73)	LT(750.07)	LT(753.41)	LT(756.74)	LT(760.08)	LT(763.41)	LT(766.74)	LT(770.08)	LT(773.41)	LT(776.74)	LT(780.07)	LT(783.40)	LT(786.73)	LT(790.06)	LT(793.39)	LT(796.71)	LT(800.04)	LT(803.36)	DARK_SAMP(LT)	DARK_AVE(LT)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0251	1.0240000000	0.0000000000	0.3320840671	0.3514536713	0.3501945165	0.3413145379	0.3625593085	0.4056003332	0.4181162066	0.4161072916	0.4257761404	0.4213337707	0.4136450220	0.4053843109	0.4211115080	0.4432299870	0.4659358817	0.5506156828	0.6556651857	0.6852878908	0.6964243158	0.7292384864	0.7342847860	0.7433894464	0.7537379664	0.7327292182	0.7162231791	0.7436587568	0.7958753737	0.8547583484	0.9125582290	0.9682368458	1.0325958704	1.0792293730	1.1022368402	1.1367325711	1.1647301904	1.1710599720	1.1854359112	1.2192715100	1.2558556262	1.2950623603	1.2972920611	1.2708634738	1.2794907465	1.3333004838	1.3540087211	1.3633223751	1.3712303517	1.3908731692	1.4270637950	1.4208484362	1.3948070808	1.4107396491	1.4595541926	1.5054917249	1.5375214185	1.5711096061	1.5720892143	1.5636640585	1.5731942105	1.5805822504	1.5861009143	1.5928454600	1.5837091246	1.5671314152	1.5680183761	1.5598697236	1.5366613476	1.5273255987	1.5025355832	1.4757907250	1.4403241573	1.3500739697	1.2464816747	1.1722613456	1.1138900606	1.0504675027	1.0038068265	0.9643930809	0.9322248906	0.9104824403	0.8835497684	0.8642863837	0.8493018741	0.8220939474	0.8044906110	0.8015974942	0.7907522996	0.7823951807	0.7682585900	0.7321941654	0.7098152558	0.6787027907	0.6420859890	0.6359469147	0.6240607937	0.6140956563	0.6118475181	0.5934926279	0.5998556455	0.5987521298	0.5607319429	0.5382010449	0.5122054233	0.4872302840	0.4726626058	0.4589587504	0.4223725873	0.4117306261	0.3848675370	0.3299936052	0.2819459380	0.2391122845	0.2111084801	0.2068167403	0.1950651517	0.1842558570	0.1980653748	0.1943804133	0.1803750219	0.2014903430	0.1966074656	0.1844556260	0.1959516407	0.1523532011	0.1388475662	0.1868087102	0.1818509177	0.1920333766	0.2119434777	0.1907542422	0.2017431656	0.2112585604	0.1985530480	0.2011870420	0.2143785616	0.2053132568	0.2067958229	15	1653	47.0000000000	166	1719.4000000000	0	2017-198	18:30:32.668
0251	1.0240000000	0.0000000000	0.3448448765	0.3637853791	0.3540419271	0.3535718988	0.3697331664	0.4088622270	0.4281569901	0.4240249447	0.4270821797	0.4241747184	0.4191675050	0.4050337082	0.4246235641	0.4456660987	0.4657657701	0.5606241202	0.6591670831	0.6924348741	0.7047157119	0.7329306129	0.7472058199	0.7487436606	0.7588053586	0.7405922270	0.7199919984	0.7483312390	0.8044492051	0.8604899172	0.9183151250	0.9763444243	1.0336158373	1.0861167690	1.1104036557	1.1356229732	1.1700107095	1.1784033232	1.1850700531	1.2272665094	1.2616045782	1.2985525875	1.3070697955	1.2770076758	1.2855070116	1.3392917281	1.3615388602	1.3715979722	1.3746948809	1.3958251754	1.4286958729	1.4196094339	1.3951739656	1.4133997733	1.4568073841	1.5044266403	1.5413849521	1.5664864241	1.5725456892	1.5686292601	1.5699421978	1.5808048976	1.5936548100	1.5911819138	1.5896985128	1.5779036388	1.5667941640	1.5656974131	1.5467306325	1.5243380625	1.5101733495	1.4842993345	1.4361339975	1.3570047894	1.2563017125	1.1696035828	1.1247723794	1.0606186003	1.0048280561	0.9865137614	0.9436577949	0.9122835925	0.9037162773	0.8747903618	0.8549109457	0.8352392561	0.8129369579	0.8003336108	0.8029106343	0.7868878909	0.7686385526	0.7433610769	0.7102059326	0.6816600627	0.6583964961	0.6379502700	0.6313069953	0.6296584280	0.6090055782	0.6047019651	0.6090844810	0.5995759160	0.5744221282	0.5490607524	0.5117853637	0.4922895302	0.4849113839	0.4549362581	0.4310705619	0.4157630395	0.3827494948	0.3361454886	0.2891770552	0.2466052226	0.2173940508	0.2158379024	0.2087385660	0.1934103927	0.2092892625	0.2056195375	0.1945709378	0.2137383731	0.2042697556	0.1962074193	0.1924935266	0.1493719204	0.1405024540	0.1859656763	0.1861453778	0.1943716826	0.2185301385	0.2002314986	0.2051878750	0.2196223441	0.1889606819	0.2097151978	0.2196675064	0.2056780810	0.2150792979	15	1632	46.0000000000	167	1720.6100000000	0	2017-198	18:30:33.963
0251	1.0240000000	0.0000000000	0.3532251096	0.3705591340	0.3602939693	0.3590196147	0.3713436242	0.4162756220	0.4350506623	0.4234039523	0.4296942581	0.4308593013	0.4198578154	0.4116951585	0.4339305128	0.4486242343	0.4759724707	0.5721338232	0.6680810038	0.7055123330	0.7183892421	0.7411353387	0.7581886988	0.7618858228	0.7650244308	0.7512946556	0.7308796987	0.7534100240	0.8119263837	0.8719530549	0.9236749936	0.9874548096	1.0504452902	1.0912301387	1.1219016724	1.1502696656	1.1741432897	1.1894183501	1.1986068048	1.2247680721	1.2734857457	1.3054037741	1.3025068528	1.2885117136	1.2903461814	1.3352541504	1.3714059390	1.3727617280	1.3745665650	1.4058561624	1.4362285400	1.4235742412	1.4098493574	1.4234356962	1.4654060890	1.5214679935	1.5543804743	1.5773509020	1.5908046857	1.5836377101	1.5887814436	1.6055187312	1.6130949826	1.6172441372	1.6180926490	1.6034460244	1.6011833947	1.6013359753	1.5762596589	1.5617971702	1.5454245787	1.5127424005	1.4766388762	1.3925918831	1.2846395361	1.2099129848	1.1592848764	1.0943464406	1.0502727772	1.0170368710	0.9772839839	0.9478154133	0.9284000842	0.8974143145	0.8818014951	0.8640906479	0.8342287907	0.8315695874	0.8298063445	0.8149673294	0.8020752636	0.7753215475	0.7420460851	0.7141900545	0.6848513431	0.6597868430	0.6514353330	0.6444127442	0.6288991570	0.6116313736	0.6199539984	0.6148159612	0.5804375126	0.5638884299	0.5325783171	0.5171641573	0.5258814346	0.5080754985	0.4913199472	0.4940767514	0.4653531396	0.4205747858	0.3710588234	0.3232472747	0.3032246033	0.2979084740	0.2903307428	0.3000607333	0.3124087312	0.3091629580	0.3122991377	0.3282199603	0.3171608285	0.3150311075	0.2869266420	0.2328477802	0.2282115058	0.2775753529	0.3009506116	0.3165481687	0.3257130745	0.3145700112	0.3223079956	0.3129107006	0.3043998467	0.3178522138	0.3011172560	0.3034509892	0.3223879508	15	1643	46.5000000000	168	1721.8100000000	0	2017-198	18:30:35.070
0251	1.0240000000	0.0000000000	0.3484636136	0.3651748673	0.3599733517	0.3543285260	0.3713436242	0.4140516035	0.4319035511	0.4257326738	0.4280617091	0.4321962179	0.4195126602	0.4024041884	0.4318232791	0.4390537955	0.4647451000	0.5656283389	0.6559835401	0.6963885245	0.7106796985	0.7327938675	0.7562505437	0.7562882352	0.7611087187	0.7535880332	0.7289952890	0.7518863885	0.8129233408	0.8703719325	0.9195062069	0.9844520027	1.0445294825	1.0875777317	1.1165287674	1.1458312739	1.1700107095	1.1818381165	1.1931189325	1.2223945567	1.2645429315	1.3035940267	1.2978135403	1.2821060562	1.2875996256	1.3312165728	1.3681601894	1.3701756039	1.3712303517	1.4044594427	1.4303279508	1.4239459419	1.4052021500	1.4159389827	1.4656449419	1.5174443407	1.5501657104	1.5822052431	1.5925164667	1.5893928301	1.5913606261	1.6087471149	1.6226484389	1.6232329034	1.6255239268	1.6145514094	1.6067479952	1.6090688709	1.5867814960	1.5712193997	1.5563524597	1.5248975570	1.4879396104	1.4040543927	1.2940387152	1.2212823034	1.1752974312	1.1064622667	1.0650806076	1.0345276417	0.9925838999	0.9689380164	0.9461466120	0.9163214750	0.8982987647	0.8780895480	0.8523532434	0.8451111958	0.8471227606	0.8280710674	0.8161338808	0.7947673760	0.7551337552	0.7264134453	0.6993716727	0.6700039551	0.6701546871	0.6561353515	0.6424998691	0.6389413953	0.6336947090	0.6300560063	0.6076104562	0.5831017584	0.5598821953	0.5481520403	0.5505901766	0.5423725382	0.5203839112	0.5261238259	0.5077139831	0.4545162118	0.4033861708	0.3551457825	0.3298840931	0.3282723852	0.3241780469	0.3332459252	0.3484187043	0.3486194577	0.3504812566	0.3632143320	0.3621129299	0.3542037520	0.3196457214	0.2588662300	0.2381408324	0.2927499619	0.3244269936	0.3396389401	0.3571494104	0.3500332931	0.3492393602	0.3618066668	0.3358231150	0.3444600600	0.3645845933	0.3373796476	0.3536392427	15	1642	46.5000000000	169	1723.0100000000	0	2017-198	18:30:36.272
0251	1.0240000000	0.0000000000	0.3591293647	0.3795908073	0.3692712606	0.3656779343	0.3849593136	0.4278405183	0.4461404829	0.4390840104	0.4437341800	0.4438942379	0.4328011350	0.4215120327	0.4455202980	0.4592387209	0.4875400646	0.5863124428	0.6903658055	0.7260409022	0.7397723160	0.7665699885	0.7831262943	0.7880484605	0.7881731997	0.7772862680	0.7564239185	0.7739283154	0.8409378366	0.8988321364	0.9470003478	1.0189842813	1.0783923818	1.1163795692	1.1538167279	1.1801178493	1.2000867098	1.2218712248	1.2284852208	1.2507518201	1.3069574218	1.3372036216	1.3314489464	1.3209321837	1.3188580466	1.3629962162	1.4038634351	1.4050882790	1.4002297438	1.4360760980	1.4620906973	1.4495932895	1.4344306387	1.4412101621	1.4910827770	1.5458465961	1.5728786050	1.6018537670	1.6149978561	1.6031599797	1.6081813813	1.6209927082	1.6254256064	1.6298870881	1.6217528306	1.6055560475	1.6049673230	1.5969652083	1.5763727970	1.5631760331	1.5394318697	1.5127424005	1.4742263599	1.3865940583	1.2815532385	1.2034162314	1.1499571745	1.0863237989	1.0397200704	1.0053763573	0.9695499604	0.9455230378	0.9238827862	0.9032319024	0.8822964132	0.8584569442	0.8388038952	0.8301251492	0.8237271771	0.8119721893	0.7920062541	0.7674276963	0.7422414235	0.7033467239	0.6818677138	0.6675999287	0.6566687008	0.6557311236	0.6388459464	0.6246749661	0.6336947090	0.6189348923	0.5957871143	0.5726597320	0.5264874519	0.5129481188	0.5053964092	0.4695442564	0.4548308829	0.4414431455	0.3994820280	0.3607530225	0.3061914486	0.2532418248	0.2418861024	0.2266192911	0.2060487140	0.2160678685	0.2186425023	0.2154238798	0.2214942268	0.2202373278	0.2175510583	0.2194498550	0.1940895792	0.1588578135	0.1598094780	0.1792214057	0.2053272997	0.2312000014	0.2137398397	0.2283575498	0.2471506989	0.2164055042	0.2266686039	0.2359819178	0.2207252954	0.2374177938	0.2384236364	15	1642	46.0000000000	170	1724.2200000000	0	2017-198	18:30:37.582
0251	1.0240000000	0.0000000000	0.3448448765	0.3471115207	0.3407362989	0.3479728574	0.3514325086	0.3964077234	0.4188655188	0.3985642562	0.4094506498	0.4221693436	0.3936260211	0.3896071918	0.4212871108	0.4185208542	0.4482442674	0.5429425475	0.6282867151	0.6688650354	0.6850781950	0.7017526551	0.7205884900	0.7275701771	0.7272493253	0.7187505359	0.6986353555	0.7203979215	0.7806219294	0.8355872388	0.8895306453	0.9530226246	1.0085246529	1.0558539687	1.0865479577	1.1095474223	1.1420009993	1.1541228877	1.1570209278	1.1967855743	1.2350316445	1.2653307956	1.2778669623	1.2498163138	1.2539870139	1.3132428400	1.3324569437	1.3392714212	1.3506998087	1.3670019596	1.3953010484	1.3982985943	1.3690028503	1.3782135857	1.4392516950	1.4746042721	1.5077839173	1.5459132638	1.5410489203	1.5382738235	1.5493087381	1.5510815030	1.5607731465	1.5693340074	1.5543167570	1.5458090759	1.5457599743	1.5330847665	1.5156176736	1.5089407606	1.4783297392	1.4591381607	1.4211510016	1.3303477904	1.2348379155	1.1577913038	1.0994321227	1.0386791313	0.9946157593	0.9566765644	0.9206238554	0.9024591259	0.8748378366	0.8523280087	0.8412182120	0.8162895254	0.7919970562	0.7911253171	0.7826467431	0.7700402277	0.7566697300	0.7271883086	0.6996576612	0.6731825497	0.6389034510	0.6229251052	0.6260736275	0.6072237830	0.5931719135	0.5943078524	0.5912420657	0.5783634207	0.5675770356	0.5296385833	0.4939328279	0.4912355205	0.4661158451	0.4418102305	0.4389199537	0.4017557089	0.3736419135	0.3459036486	0.2774796598	0.2373996129	0.2234628778	0.1993357767	0.1948409974	0.1954701632	0.1873091491	0.1917499800	0.1926128805	0.1942415089	0.1927763206	0.1860225317	0.1720108508	0.1466616652	0.1443638588	0.1640467967	0.1852864858	0.1934948178	0.1951774318	0.1910599602	0.2004905439	0.1971044649	0.1909453094	0.1991402846	0.1974539383	0.2009353654	0.1996419127	15	1631	45.5000000000	171	1726.8100000000	0	2017-198	18:30:40.109
0251	1.0240000000	0.0000000000	0.3280844104	0.3399903937	0.3381713585	0.3331429639	0.3471867560	0.3958146518	0.4088247354	0.3990300005	0.4156543363	0.4077974904	0.3934534435	0.3932885196	0.4130337789	0.4206089500	0.4579406329	0.5419417038	0.6306743724	0.6750996379	0.6840599534	0.7039405819	0.7285995311	0.7285436706	0.7307043655	0.7257398770	0.6992634921	0.7235467682	0.7883981951	0.8382553829	0.8916150387	0.9597288931	1.0139304772	1.0620108833	1.0889120358	1.1175365273	1.1451004344	1.1588605337	1.1672649562	1.1990341678	1.2424414049	1.2769648861	1.2774758529	1.2617125347	1.2678505814	1.3108984401	1.3495945017	1.3525899602	1.3505714928	1.3819849528	1.4083576715	1.4015200003	1.3849011914	1.3918769506	1.4390128421	1.4909355690	1.5211306698	1.5500741277	1.5566831860	1.5497840634	1.5535699961	1.5675573921	1.5742146373	1.5723283905	1.5741704695	1.5575807841	1.5509906987	1.5503436928	1.5286285473	1.5121581072	1.5019480627	1.4676467702	1.4276267032	1.3511402497	1.2419925145	1.1642880572	1.1187093732	1.0467017730	1.0029558017	0.9712522066	0.9357556405	0.9114648869	0.8843564288	0.8678415763	0.8481470652	0.8219232291	0.8032588520	0.7965419604	0.7863310870	0.7749073304	0.7562897673	0.7254555120	0.7006343529	0.6733797012	0.6400969027	0.6277331579	0.6256710608	0.6130850867	0.6043366771	0.5979763628	0.5871403610	0.5882488554	0.5663324733	0.5250440917	0.5012838720	0.4889166994	0.4656934735	0.4581119099	0.4283126675	0.4026046380	0.3859265581	0.3357212208	0.2779050196	0.2378277808	0.2165270756	0.1997758334	0.1887888304	0.1897485785	0.1866076561	0.1848152013	0.1906548231	0.1954913079	0.1914992723	0.1907232491	0.1722768596	0.1436803845	0.1424331564	0.1598316275	0.1778427549	0.1926179531	0.1849980468	0.1996200627	0.1970458345	0.1900274172	0.2008684467	0.2032337994	0.1988643236	0.2002057168	0.2075488661	15	1643	47.0000000000	172	1728.0300000000	0	2017-198	18:30:41.388
0251	1.0240000000	0.0000000000	0.3305603884	0.3524957875	0.3476295761	0.3375314018	0.3588991770	0.3990765456	0.4140699208	0.4108288562	0.4181031598	0.4148163024	0.4108837805	0.3911849037	0.4190042743	0.4331375243	0.4511361659	0.5456114641	0.6427718362	0.6705377336	0.6840599534	0.7121453077	0.7233019071	0.7314641511	0.7376144457	0.7213715388	0.7044979634	0.7331964597	0.7854073237	0.8466550959	0.8990593007	0.9566259928	1.0206622583	1.0600281481	1.0871927063	1.1197557231	1.1414270298	1.1556626227	1.1694601051	1.1930379183	1.2432079318	1.2787746336	1.2716092123	1.2606667130	1.2660195441	1.3056886625	1.3447907922	1.3478056307	1.3499299133	1.3841435197	1.4083576715	1.3982985943	1.3850234863	1.3897004854	1.4361466072	1.4895154562	1.5176183666	1.5429081954	1.5553137613	1.5462858532	1.5477388009	1.5656648913	1.5705487762	1.5696667167	1.5762778468	1.5533607378	1.5475406464	1.5515764733	1.5221796794	1.5083662344	1.4932527595	1.4622985014	1.4207700779	1.3410105900	1.2372227819	1.1586772247	1.1070497459	1.0445733170	0.9929137098	0.9611349962	0.9300391883	0.9019679026	0.8812911195	0.8608927908	0.8410532393	0.8203867645	0.8014991964	0.7887781050	0.7883574761	0.7749073304	0.7543899542	0.7318090995	0.7029784133	0.6729853983	0.6420859890	0.6293358422	0.6228530935	0.6118724031	0.6075846083	0.5953268830	0.5951386851	0.6003997022	0.5650879110	0.5396629286	0.5084248864	0.4901815109	0.4787869948	0.4540894176	0.4283126675	0.4144896458	0.3755481515	0.3314785426	0.2887516954	0.2316193464	0.2156601003	0.2120974205	0.1856506698	0.1902063052	0.2013390087	0.1833804194	0.1889415229	0.2022402224	0.1858802596	0.1868059846	0.1807891404	0.1474747418	0.1413298979	0.1747252252	0.1761249709	0.1905719354	0.2029616674	0.1831112935	0.1945405913	0.1996779368	0.1866452832	0.1967524010	0.2069740389	0.1943685282	0.2150792979	15	1631	47.0000000000	173	1729.2300000000	0	2017-198	18:30:42.496
0251	1.0240000000	0.0000000000	0.3370360230	0.3490220670	0.3397744462	0.3447950231	0.3550926402	0.3958146518	0.4229118047	0.4050846764	0.4115729636	0.4215008853	0.4026000560	0.3899577944	0.4279600174	0.4303533967	0.4579406329	0.5586224327	0.6432493677	0.6808780500	0.6983153360	0.7154271980	0.7320882102	0.7424159529	0.7454458701	0.7274872123	0.7155950425	0.7359390036	0.7893951523	0.8519913841	0.9027318032	0.9590282382	1.0272920428	1.0662894171	1.0925656112	1.1298530641	1.1524472437	1.1626506504	1.1783626535	1.2066544016	1.2471683210	1.2906672594	1.2852980404	1.2665494596	1.2767441907	1.3207970175	1.3475172219	1.3611241697	1.3635313981	1.3843974687	1.4201588501	1.4092018145	1.3844120116	1.4078376955	1.4478503999	1.4930657381	1.5349457294	1.5567777417	1.5591937980	1.5623099127	1.5596254679	1.5711197465	1.5836570069	1.5819769583	1.5777197365	1.5660208767	1.5586698473	1.5522488990	1.5321358263	1.5162946958	1.4965428742	1.4719010749	1.4287694741	1.3444759999	1.2429745183	1.1656169386	1.1115581351	1.0504675027	0.9990410879	0.9666222968	0.9318886287	0.9049152426	0.8845177609	0.8623471878	0.8436928024	0.8220939474	0.7963961952	0.7916669814	0.7896469965	0.7704146202	0.7597094310	0.7321941654	0.6980949543	0.6826458200	0.6452685270	0.6263308092	0.6329172623	0.6138935423	0.6010887459	0.5971611382	0.5941132590	0.5948391452	0.5669547544	0.5327711912	0.5050644090	0.4901815109	0.4777310657	0.4521840265	0.4259790646	0.4100327679	0.3787252147	0.3357212208	0.2825839778	0.2352587735	0.2204284643	0.2015360601	0.1867714415	0.1950124365	0.1926872619	0.1876847649	0.1911443374	0.1902421522	0.1884343563	0.1904620981	0.1741389210	0.1455775631	0.1476736343	0.1651708418	0.1749797815	0.2022634652	0.2086501472	0.1870856269	0.2133299154	0.2045031967	0.1882991394	0.2223368685	0.2009799015	0.1947333525	0.2256219024	15	1644	48.0000000000	174	1730.4300000000	0	2017-198	18:30:43.728
0251	1.0240000000	0.0000000000	0.3457971758	0.3514536713	0.3570877938	0.3549338278	0.3600704191	0.4119758529	0.4277074028	0.4142443144	0.4305105327	0.4283525827	0.4150256428	0.4109939532	0.4284868258	0.4400978434	0.4718897904	0.5562871307	0.6523224655	0.6934993185	0.7003518192	0.7228114512	0.7469473992	0.7448496867	0.7484402382	0.7414658946	0.7160138002	0.7397988802	0.8022558994	0.8576241328	0.9090842401	0.9744426466	1.0292299798	1.0757856751	1.1076097451	1.1292982651	1.1577277628	1.1736656773	1.1792163226	1.2120260419	1.2563666442	1.2893745827	1.2949454049	1.2716478400	1.2749131535	1.3265277729	1.3559561709	1.3599604138	1.3657127683	1.3871909081	1.4196566723	1.4111842182	1.3868579103	1.4025174472	1.4466561353	1.4931840809	1.5293260442	1.5572400599	1.5603349853	1.5591502390	1.5614196818	1.5691159222	1.5842124404	1.5827532799	1.5757232738	1.5664650921	1.5595601834	1.5496712671	1.5353036912	1.5169841272	1.4951328251	1.4766415860	1.4302931686	1.3444759999	1.2513916936	1.1654692851	1.1117135968	1.0573440527	1.0034664166	0.9697089033	0.9419764854	0.9101549581	0.8925843644	0.8733359648	0.8497967921	0.8238011304	0.8120571301	0.7988891725	0.7865153042	0.7889470497	0.7616092441	0.7266107097	0.7146987148	0.6751540644	0.6428816235	0.6381506056	0.6292941615	0.6084364665	0.6118475181	0.5967535260	0.5912420657	0.6008115953	0.5688215979	0.5325623507	0.5130455427	0.4927111340	0.4690724467	0.4625578224	0.4287369590	0.3977232956	0.3891036214	0.3357212208	0.2745021409	0.2459629707	0.2199949767	0.1986756917	0.2107559550	0.1892908517	0.1938564169	0.2096847526	0.1950604522	0.1987407853	0.2052913943	0.1915067020	0.1791930878	0.1545214052	0.1454671173	0.1662948869	0.1844275938	0.1984637180	0.2041592421	0.2002314986	0.2058141858	0.2009646728	0.2002069042	0.2073273142	0.2069740389	0.2126097424	0.2139497331	15	1641	47.0000000000	175	1731.6200000000	0	2017-198	18:30:45.179
