SN	INTTIME(LI)	SAMPLE(DELAY)	LI(348.08)	LI(351.41)	LI(354.74)	LI(358.07)	LI(361.40)	LI(364.73)	LI(368.06)	LI(371.39)	LI(374.72)	LI(378.06)	LI(381.39)	LI(384.72)	LI(388.06)	LI(391.39)	LI(394.73)	LI(398.07)	LI(401.40)	LI(404.74)	LI(408.08)	LI(411.42)	LI(414.76)	LI(418.10)	LI(421.44)	LI(424.78)	LI(428.12)	LI(431.46)	LI(434.80)	LI(438.14)	LI(441.48)	LI(444.83)	LI(448.17)	LI(451.51)	LI(454.86)	LI(458.20)	LI(461.54)	LI(464.89)	LI(468.23)	LI(471.58)	LI(474.92)	LI(478.27)	LI(481.62)	LI(484.96)	LI(488.31)	LI(491.66)	LI(495.00)	LI(498.35)	LI(501.70)	LI(505.04)	LI(508.39)	LI(511.74)	LI(515.09)	LI(518.43)	LI(521.78)	LI(525.13)	LI(528.48)	LI(531.83)	LI(535.17)	LI(538.52)	LI(541.87)	LI(545.22)	LI(548.57)	LI(551.92)	LI(555.26)	LI(558.61)	LI(561.96)	LI(565.31)	LI(568.66)	LI(572.01)	LI(575.35)	LI(578.70)	LI(582.05)	LI(585.40)	LI(588.74)	LI(592.09)	LI(595.44)	LI(598.79)	LI(602.13)	LI(605.48)	LI(608.83)	LI(612.17)	LI(615.52)	LI(618.86)	LI(622.21)	LI(625.55)	LI(628.90)	LI(632.24)	LI(635.59)	LI(638.93)	LI(642.28)	LI(645.62)	LI(648.96)	LI(652.31)	LI(655.65)	LI(658.99)	LI(662.33)	LI(665.67)	LI(669.01)	LI(672.35)	LI(675.69)	LI(679.03)	LI(682.37)	LI(685.71)	LI(689.05)	LI(692.39)	LI(695.72)	LI(699.06)	LI(702.39)	LI(705.73)	LI(709.06)	LI(712.40)	LI(715.73)	LI(719.07)	LI(722.40)	LI(725.73)	LI(729.06)	LI(732.39)	LI(735.72)	LI(739.05)	LI(742.38)	LI(745.71)	LI(749.03)	LI(752.36)	LI(755.69)	LI(759.01)	LI(762.34)	LI(765.66)	LI(768.98)	LI(772.30)	LI(775.63)	LI(778.95)	LI(782.27)	LI(785.58)	LI(788.90)	LI(792.22)	LI(795.53)	LI(798.85)	LI(802.16)	DARK_SAMP(LI)	DARK_AVE(LI)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0250	0.1280000000	0.0000000000	8.4379396341	8.9233999339	8.7840136926	8.7383215486	9.2543369099	10.0465093244	10.5675270826	10.2267610308	9.9757962145	9.9786859669	9.3286538415	8.7810489264	9.3188570040	9.3068109308	9.6610532934	11.5905611440	13.4602168331	14.2426488922	14.2838740877	14.5039901223	14.6400098052	14.3624857709	14.0842716849	13.6497318584	12.8669623350	12.8761226636	13.4915863535	14.0433853266	14.4965684778	14.9006171482	15.3130343605	15.4696347985	15.3669936413	15.3320492688	15.2144624867	14.8495321960	14.5032053164	14.3799716002	14.3505735871	14.3542376810	13.9347421342	13.3302538018	12.9664657679	13.0222098685	12.9608977510	12.6348851248	12.3040789294	12.1710517159	12.0268801153	11.7748083710	11.2748462637	10.9968279788	11.0993909785	11.1728511684	11.0995460791	11.0814622391	10.8985020385	10.7034896658	10.5149897396	10.3402905402	10.2776702588	10.1497933232	9.9572912326	9.7126555701	9.4753370491	9.3066568665	9.1111839395	8.9071117858	8.8020074725	8.6835405678	8.5836459663	8.2756916024	7.8004374598	7.5539134380	7.5501190046	7.5350268744	7.5753737997	7.5121254103	7.3715974983	7.1797270347	6.9931080587	6.8917305911	6.7914053618	6.5939391518	6.4946741054	6.3709426747	6.3290308428	6.3002503551	6.1032297083	5.8828747829	5.6742613529	5.4371286142	5.3549561822	5.2971304922	5.4501973947	5.4910309998	5.3317139704	5.3012886147	5.2452767616	5.1017143876	4.8928921089	4.4568716235	4.1833009762	4.1496875036	4.0476341463	4.0968899018	4.1086095461	4.1068197973	4.0930919550	3.8475766353	3.3388301104	2.9611867729	2.7419869122	2.7795314763	2.9166416212	3.0930619194	3.3933475242	3.4833821717	3.5713385343	3.6318269704	3.4310589540	3.4654836604	3.1246724812	2.2124510824	1.8303598828	2.0981537503	2.6709596487	2.9709819405	2.8332006777	2.9361522348	2.9044365269	2.6513794938	2.5887850253	2.4220453409	2.3252278863	2.2729321335	2.0325199827	15	1133	44.0000000000	125	2226.3200000000	0	2017-198	18:38:58.695
0250	0.1280000000	0.0000000000	8.4756339492	8.9323295578	8.7717887200	8.7672308501	9.2531614439	10.0753738188	10.6449466516	10.1990134976	9.9898148051	9.9951678575	9.3467694318	8.8228891027	9.3093909931	9.3330768282	9.7230623458	11.5681021493	13.4648459164	14.2867706871	14.3013427100	14.5415450785	14.6479639007	14.3746981515	14.1319763209	13.6597328556	12.8938131526	12.9309675696	13.5182388266	14.0559435443	14.5211496112	14.9255130872	15.3492477106	15.4952794325	15.3910102707	15.3874192950	15.2101505252	14.8628372952	14.5458306641	14.4050508131	14.3698108665	14.3591478086	13.9480439081	13.3798461452	12.9901680675	13.0273243668	13.0293942389	12.6555967652	12.3222587496	12.1900287335	12.0698084490	11.8308294664	11.3328641458	11.0782185690	11.2093487172	11.2149437267	11.1442731834	11.1776016323	10.9635748679	10.7750846852	10.5749393396	10.4111917078	10.3827814369	10.2024294575	9.9930996946	9.7864082117	9.5006802180	9.3522647563	9.1597042985	8.9417930935	8.8486211946	8.7135133731	8.5971595961	8.3377000094	7.7932365191	7.5514333448	7.5995216083	7.5596026448	7.6151835829	7.5485697700	7.3928368686	7.2455382925	6.9816617035	6.9108206914	6.8538404493	6.6229277104	6.5383863499	6.4027790424	6.3279808247	6.3475349388	6.1106387589	5.8973136404	5.7918528521	5.4618640102	5.3621223999	5.3815303130	5.4672161366	5.5229338759	5.3700453382	5.3062631660	5.3053313232	5.1029722349	4.8688704373	4.5142614584	4.1781522981	4.1405998641	4.1064548096	4.1113252325	4.1520723315	4.0763636868	4.1037439577	3.9439180900	3.3522872150	2.9353669534	2.8038954808	2.7809259645	2.9577301604	3.0901803275	3.3713875590	3.5818034814	3.5121347871	3.5575098420	3.5003631575	3.4654836604	3.1165059264	2.2091242009	1.7950474735	2.2365140559	2.6536121728	2.9322397490	2.9731198835	2.9086336332	2.8538890657	2.6628437949	2.5731240005	2.4783167336	2.2425230492	2.2516000628	2.1445006835	15	1134	44.5000000000	126	2226.6200000000	0	2017-198	18:38:59.098
0250	0.1280000000	0.0000000000	8.4789117158	8.8951227916	8.8098219683	8.8036817085	9.2049673376	10.1630774750	10.7126887745	10.1776692413	10.0652995237	10.0391195658	9.3671494710	8.8565936891	9.3011082336	9.4262013734	9.7803014711	11.5137277411	13.5585848523	14.3999034946	14.3417388991	14.5738840686	14.6608893058	14.4460936074	14.1717301842	13.6363971955	12.9530428973	12.9933254765	13.5376879286	14.1173392753	14.5266120854	14.9625205641	15.3700368560	15.4480393173	15.4170854683	15.4140529785	15.2079945444	14.9027525928	14.5701880057	14.4269951244	14.3714139731	14.3108648868	13.9663338472	13.3840488862	12.9859355140	13.0895507624	13.0482307731	12.7013349712	12.3551555670	12.1779524496	12.1505137165	11.9021290424	11.3622935063	11.1654227728	11.2454542433	11.2546078682	11.2289352021	11.1973023276	11.0495639638	10.8360166165	10.5764380796	10.4732302295	10.4024897827	10.2226186597	10.0453800490	9.7842807317	9.5478466711	9.3578780350	9.1146999076	8.9722277104	8.8687009518	8.7222859014	8.6489618439	8.2981696500	7.8324416409	7.5919415343	7.5535260807	7.5973440065	7.6151835829	7.5560455361	7.4546241278	7.2016641206	7.0284877021	6.9703368865	6.7814157478	6.6703635336	6.5333906648	6.3925459242	6.4014820859	6.3269764241	6.1540346262	5.9539583889	5.6788727843	5.5030896702	5.4158690327	5.3827360247	5.5170567379	5.4493118542	5.3935387572	5.3336231986	5.1839710633	5.1243556399	4.9586356312	4.5499706890	4.2682541653	4.0964599011	4.0986120545	4.1336343800	4.0203669211	4.1319791930	4.1663244736	3.9077900445	3.4020785021	2.9258543883	2.7887622752	2.8157881688	2.8075444653	3.1117922673	3.3874915335	3.4893470995	3.5576761311	3.5760891241	3.5759677431	3.4670863311	2.9499082094	2.2590274240	1.8471753158	2.1203597253	2.7230020766	2.9163906706	2.9731198835	2.9269793676	2.7378171178	2.7125224332	2.6416409842	2.4260647261	2.3541745793	2.2686657194	2.1379135834	15	1140	43.5000000000	127	2226.9300000000	0	2017-198	18:38:59.363
0250	0.1280000000	0.0000000000	8.5870780113	8.8638691080	8.8940384467	8.8715557207	9.2837235601	10.2141454267	10.6535488260	10.2385003717	10.0868665862	10.0017606137	9.4758430134	8.8926227297	9.2821762118	9.4679880283	9.7612217627	11.5952893534	13.6002466016	14.2992152960	14.4039708660	14.6291733098	14.6211188286	14.5212467189	14.1999995982	13.6705672693	12.9988472332	12.9632734732	13.5773064698	14.1619907161	14.5429995077	15.0473013293	15.4330749098	15.4716593749	15.4589430223	15.4035396824	15.2353036344	14.9293627912	14.5397413287	14.4959629599	14.4299273646	14.3444174257	14.0253604689	13.3890921753	13.0240284956	13.1296143322	13.0182635597	12.7669218326	12.4477860794	12.2245324019	12.2346532506	11.8944898021	11.3681793784	11.2003044543	11.2282220604	11.3217940670	11.2920323670	11.2036065501	11.1045659981	10.8329700200	10.5756887096	10.4909555214	10.3769419270	10.2593918494	10.0597034337	9.7502410509	9.5957171011	9.3873477483	9.1189190692	8.9962922913	8.8306928399	8.7244790335	8.6722353175	8.2671654465	7.8524442541	7.6043420005	7.5492672355	7.6429847229	7.5988977625	7.5448318870	7.4536587019	7.1707527722	7.0836383227	7.0062711930	6.7839131513	6.7375642832	6.5059143969	6.4096011211	6.4182823741	6.2920269492	6.1889630072	5.9961642799	5.7053885145	5.5643392221	5.3836210530	5.3706789074	5.5936410765	5.4493118542	5.3885927743	5.3734196096	5.2052403872	5.1658646024	4.8903635119	4.4823782168	4.2862745387	4.0601093433	4.1299830749	4.1966249141	4.0770002476	4.1743529120	4.0970864560	3.8689858474	3.4222641589	2.8986756309	2.8066469728	2.8701732075	2.8202960809	3.0844171435	3.3245396331	3.4416276766	3.5971452959	3.5141581838	3.5696673610	3.5952999855	3.0495401774	2.2473833386	1.7496458044	2.0879048388	2.7403495526	2.8723654529	2.9623568677	3.0590686553	2.8164465018	2.7335403186	2.6533867528	2.3979290298	2.3500393374	2.1897370578	2.1752404837	15	1138	45.0000000000	128	2227.2900000000	0	2017-198	18:38:59.675
0250	0.1280000000	0.0000000000	8.5248004472	8.9918603837	8.8899634558	8.7911124470	9.3107592782	10.1675181664	10.6890327951	10.2865249484	10.1062769424	10.0567002491	9.3875295102	8.8356736010	9.3945850910	9.4381404176	9.7385646089	11.6614842851	13.5979320600	14.3444684189	14.4170723327	14.6010070926	14.7235278075	14.5118525799	14.1893985680	13.7314066690	12.9870012843	12.9873150759	13.6248487192	14.1940839391	14.6256194286	15.0035652202	15.4344161449	15.5695138991	15.4479639918	15.4308742523	15.2956710964	14.9537554731	14.6173803551	14.4849908042	14.4179040650	14.4327997232	14.0162154993	13.4143086212	13.1002144587	13.1509247416	13.0850476354	12.7764146678	12.4521146080	12.2797382713	12.1651093500	11.9403252439	11.4825334649	11.2144232301	11.2946890516	11.3007477879	11.2672727201	11.2485241355	11.0154781960	10.8459180554	10.6626156297	10.4828314293	10.4090592314	10.2680443646	10.0503932336	9.8041372121	9.5534784864	9.3894527279	9.1758777515	8.9623187654	8.8600953416	8.7603001910	8.6534663872	8.3183223822	7.8284411183	7.6382366080	7.6140016818	7.5815452969	7.6468504560	7.6111793110	7.4324193315	7.2485297133	7.0524209903	7.0062711930	6.8913015018	6.6519162690	6.6133216260	6.5016991847	6.3972820138	6.3855681909	6.1836708283	5.9606224769	5.7515028279	5.4724648942	5.4517001212	5.4599015752	5.4793723808	5.5425664150	5.4182686719	5.3510341284	5.2828108626	5.0991986929	4.9700143177	4.5601733263	4.1704292809	4.1548804404	4.1182189422	4.1021391129	4.1547064397	4.0737153293	4.1556724709	3.9733557567	3.3684357406	3.0495177345	2.7983924970	2.7195684849	2.9010563132	3.0469564479	3.3567475821	3.5609262339	3.5318693695	3.6565993465	3.5239895905	3.4029795038	3.0985395059	2.1741919446	1.8185890797	2.2143080809	2.6952461151	3.0414222888	2.9498000159	2.9141373536	3.0223806030	2.6341830421	2.5692087443	2.5506656670	2.3314307491	2.3518607952	2.1818275838	15	1139	44.5000000000	129	2227.6000000000	0	2017-198	18:39:00.096
0250	0.1280000000	0.0000000000	8.5772447117	9.0781800812	8.8953967770	8.8401325669	9.3225139383	10.2019335252	10.7212909488	10.2897265868	10.1192171799	10.1281217750	9.4554629742	8.9216784077	9.4123338614	9.5049990654	9.7993811796	11.6094739816	13.6372792676	14.4157420876	14.4247148549	14.7188879275	14.8189769529	14.6170669360	14.3077767388	13.7689104085	13.0612358976	13.0827301864	13.6478995068	14.2722239604	14.7321376737	15.1266991888	15.5222670497	15.6066311325	15.5399133728	15.4911504834	15.3287294685	15.0387602735	14.7117650537	14.5978472623	14.5285184216	14.4819009996	14.1392569079	13.4882768622	13.0866702875	13.2378712122	13.2049164894	12.8187009337	12.5161768316	12.3090663895	12.2440974841	11.9674869871	11.4102213220	11.2111011652	11.3078183338	11.2902246483	11.2672727201	11.2477361076	11.0627334649	10.8375399148	10.6019166596	10.5116350286	10.4141688025	10.2218976167	10.0611357722	9.7913723318	9.5731898399	9.3733145515	9.1301701670	9.0104479271	8.8981034535	8.7259411216	8.6819951613	8.3594029519	7.8748471808	7.6580773538	7.6174087579	7.6710713177	7.6957079173	7.5831451882	7.5482704424	7.3223180933	7.0721919675	7.0511890761	6.8775657825	6.7362466215	6.6345532876	6.4550816464	6.5117339776	6.4585509179	6.2249498240	6.0272633575	5.7572671170	5.5702286021	5.4731987743	5.3947931420	5.5960723254	5.5646530215	5.4083767060	5.4480378802	5.2190028909	5.1142928611	4.9662214222	4.4760015685	4.2734028434	4.2444586007	4.1352115783	4.2123725476	4.1007072215	4.0909296527	4.1556724709	3.8903950596	3.4437955263	3.0250568529	2.8355376382	2.8311275387	2.8500498507	3.1031474913	3.4782593898	3.4714523159	3.5941092063	3.6829199961	3.5397405458	3.5584385598	3.0430069336	2.2224317270	1.9060293313	2.0879048388	2.7056546007	3.0748814542	2.9767075555	3.0150388928	2.8744824758	2.7258974511	2.6749206619	2.3878805668	2.3645126839	2.3881253153	2.1554791836	15	1137	43.5000000000	130	2228.4100000000	0	2017-198	18:39:00.798
0250	0.1280000000	0.0000000000	8.6264112097	9.0112079021	8.9633132919	8.9017219484	9.3589533845	10.3140609844	10.7546243744	10.3270790354	10.1979369579	10.1182326407	9.5188675405	8.9646808110	9.3886688342	9.5479796247	9.8101135156	11.6768509656	13.7263891203	14.4270553684	14.5284347998	14.8023433859	14.8607359540	14.6837653224	14.3148440923	13.8280829753	13.1338910511	13.1000100883	13.7328992860	14.3182707587	14.7410141941	15.1663981185	15.5403737247	15.6450980834	15.5906913892	15.5219894853	15.4106567384	15.0964157033	14.7361223953	14.6464382373	14.5685960870	14.5334573398	14.1700172600	13.4849146694	13.1916376145	13.3052121060	13.1886485735	12.9231221210	12.5698505864	12.3754859511	12.3033385847	11.9725798140	11.4749659151	11.2601016226	11.2651481666	11.3387929848	11.3096037294	11.2556163858	11.1115380869	10.8337316691	10.6513750797	10.5072037057	10.3492042550	10.2903966956	10.0983765726	9.7934998119	9.6147244777	9.3789278302	9.1948639789	9.0323891626	8.8299757058	8.8085490970	8.7533170966	8.3702544231	7.9292542886	7.6531171674	7.6710702067	7.6921362637	7.6540885984	7.7083642701	7.5907491831	7.3173323919	7.1918584085	7.0837545413	6.9325086595	6.8087180181	6.5771029092	6.5972082877	6.5358843919	6.3907078195	6.3022156366	6.0305954015	5.7918528521	5.6303002780	5.4110915542	5.5225985849	5.6459129267	5.5327501454	5.5159518350	5.3783941610	5.2765551791	5.2061157176	4.8941564074	4.5691006340	4.2991462340	4.1380033957	4.2371673947	4.1310097744	4.0677808688	4.1889188779	4.1064069584	3.9974411204	3.4949325238	2.9666225244	2.9112036665	2.7753480118	2.8188792347	3.1622201267	3.3435716030	3.5579437700	3.6927821183	3.6024097737	3.6405466600	3.5087557687	3.0528067993	2.3654876335	1.7664612374	2.1493983080	2.8322911752	3.0202901843	3.1130390893	3.0077005990	2.8950758859	2.8883083838	2.5809545129	2.5084621225	2.5092461488	2.2793317548	2.3025910847	15	1135	41.5000000000	131	2228.7200000000	0	2017-198	18:39:01.095
0250	0.1280000000	0.0000000000	8.6739388244	9.0543677509	8.9687466131	8.9117773576	9.3836381707	10.3751204918	10.8288181280	10.2897265868	10.2356793172	10.2401986311	9.5449087017	9.0007098517	9.4170668668	9.5766333310	9.8423105235	11.6425714474	13.7576354322	14.5594207531	14.5633720443	14.8440711151	14.8865867642	14.6912806336	14.3996523341	13.8505852190	13.2073359346	13.1879121980	13.7487467024	14.3566430906	14.7806171314	15.2060970482	15.6000586905	15.6869393282	15.6641136561	15.6173100367	15.4092194179	15.1348526566	14.8206119239	14.6918943106	14.6423389914	14.5751934247	14.2307066034	13.5832588081	13.1662422935	13.3418660103	13.2502954127	12.8825618251	12.5897618180	12.3746233594	12.3213684848	12.0515186302	11.4505815878	11.2974748527	11.3439238600	11.3250319561	11.3199868072	11.2611325805	11.0921711734	10.8801922668	10.6079116196	10.5227133361	10.4448262295	10.2593918494	10.1062544342	9.8091013322	9.5872693781	9.4364639373	9.1737681706	9.0649471249	8.9518885174	8.8143974492	8.7863504140	8.3981582062	7.9124520936	7.7200796847	7.6557383642	7.7526979836	7.8006609822	7.7214468608	7.6312970719	7.3612065638	7.1616816538	7.1309183186	6.9262651508	6.8390242385	6.7044928787	6.5721939989	6.5537346982	6.4626626208	6.2662288197	6.1027896888	5.7664899797	5.5984976261	5.5245566679	5.4599015752	5.6337566824	5.5695611562	5.4442350824	5.4542560694	5.2377699414	5.1683802971	5.0218505564	4.5359420627	4.2952847254	4.1821433587	4.1561255919	4.1808772806	4.0980731133	4.1611111248	4.2542034958	3.9251850294	3.4155356066	2.9992370333	2.8520465898	2.8492558849	2.8613846202	3.1694241067	3.5016833527	3.5340840585	3.6396505503	3.6473097055	3.5759677431	3.6017106682	3.0920062621	2.3621607519	1.9564756304	2.1767287387	2.7889224853	3.1083406197	2.9910582432	2.9948585849	2.9231578088	2.8348083119	2.7297342489	2.5104718151	2.4823670768	2.3838589012	2.1906103838	15	1133	44.0000000000	132	2229.0200000000	0	2017-198	18:39:01.422
0250	0.1280000000	0.0000000000	8.7607996375	9.0871097051	8.9565216404	8.9394297329	9.4000946948	10.3840018747	10.8589257382	10.3804396761	10.2755783827	10.2259143259	9.5505698237	9.0297655296	9.4620304185	9.6076748460	9.9174368755	11.7288612691	13.8317007643	14.5877039550	14.5884831889	14.9296129599	14.9402769085	14.7335542588	14.4667921922	13.9047572872	13.2365559420	13.2397519037	13.8020516487	14.4312947181	14.8133919761	15.2410859355	15.6765090962	15.7382285961	15.7025402631	15.6649703125	15.4882720468	15.1865947090	14.8213730909	14.7216758759	14.7000508296	14.6013807721	14.2406829338	13.6622703383	13.2695165991	13.3725529999	13.2699881530	12.9343409262	12.6347785157	12.3703104009	12.3162170848	12.0540650437	11.5069177922	11.2800340120	11.3209476161	11.3412214016	11.3335646781	11.2461600520	11.0952698796	10.9121815307	10.6258964996	10.5086808133	10.4470160457	10.2903966956	10.1048220957	9.8346310927	9.6414756004	9.4855801262	9.2004895277	9.0720249428	8.9698168721	8.8414460784	8.8058701016	8.4252868843	7.9732600376	7.7853888065	7.6829949731	7.7676189871	7.8377564621	7.7223813315	7.6061959979	7.4130578579	7.2241163186	7.1747132546	6.9400008700	6.8495655325	6.7756813910	6.5824271170	6.5348343739	6.4575229921	6.3043325081	6.0850187873	5.7641842640	5.6244108980	5.5412778426	5.4502558814	5.6155223161	5.5867396280	5.4862759374	5.4318705883	5.2390210781	5.2124049544	5.0319649445	4.5397680517	4.3042949122	4.2210903850	4.1744253538	4.1756280694	4.0849025722	4.1995123076	4.2235789881	3.9626511507	3.4760925773	3.0291336665	2.8327861462	2.8311275387	2.8911383899	3.1967992304	3.5104673388	3.5698736257	3.7049264767	3.7045958252	3.6436968511	3.6177373750	3.1687718768	2.3621607519	1.8925769849	2.1852694983	2.8479039036	3.0801644803	3.0628116821	3.0884218304	3.0092757057	2.8500940467	2.7610562986	2.5627238225	2.4885699395	2.3795924871	2.2301329841	15	1140	44.0000000000	133	2229.3300000000	0	2017-198	18:39:01.734
0250	0.1280000000	0.0000000000	8.7804662367	9.1823590265	9.0094965220	8.9922206313	9.4565170632	10.3684594547	10.8589257382	10.3975150811	10.2982237983	10.2808539613	9.5924621265	9.1041480652	9.5093604729	9.5766333310	9.9257842479	11.7560484732	13.8525316389	14.6668969202	14.6572658891	14.9765566552	15.0039096720	14.7824037813	14.5286315352	13.9705971855	13.2697245990	13.2773169079	13.8416701899	14.4522250809	14.8680167172	15.2949149928	15.7429002380	15.7976161694	15.7272430819	15.7140323610	15.5227677394	15.2309450396	14.8799829441	14.7538086175	14.7208912156	14.6406617933	14.2830823381	13.6647919828	13.2458142994	13.3759626654	13.2973867482	12.9377928663	12.6486298072	12.3866996434	12.3222270515	12.0965052675	11.4833743038	11.2800340120	11.3669001039	11.3493161244	11.3327659798	11.2579804692	11.0890724673	10.9106582324	10.6251471296	10.5241904437	10.4762135951	10.3127490266	10.1413467269	9.8537784132	9.6400676465	9.4918950648	9.2187725615	9.1024595598	9.0422474249	8.8648394873	8.8178822170	8.4601666132	7.9596582607	7.7820820155	7.7238798865	7.7878062271	7.8712328708	7.7663014573	7.6370896275	7.4240264008	7.2178728522	7.1612378897	6.9637262033	6.8469302090	6.7906684463	6.5847011433	6.5495346261	6.4821932097	6.3106831229	6.1116751395	5.7930057099	5.6503241700	5.5842751488	5.4779872511	5.6434816778	5.6382750431	5.4491810653	5.4107287449	5.2740529057	5.2149206491	5.0471365265	4.5818539306	4.2965718950	4.2405638981	4.1861894865	4.1730034638	4.1033413297	4.1756770907	4.2408884925	3.9626511507	3.4855125506	3.0522356103	2.8630525576	2.8478613967	2.9208921597	3.1967992304	3.4577634222	3.5504876101	3.7322512831	3.7649784920	3.6909497171	3.6353667525	3.1802050535	2.3438629034	1.8976216148	2.1938102579	2.8340259228	3.1523658373	3.0879253857	3.0994292710	3.0055314493	2.8348083119	2.7532257862	2.6189952152	2.4720289721	2.3475943810	2.2652641844	15	1132	44.0000000000	134	2229.6300000000	0	2017-198	18:39:02.124
