SN	INTTIME(LT)	SAMPLE(DELAY)	LT(348.18)	LT(351.52)	LT(354.85)	LT(358.19)	LT(361.52)	LT(364.86)	LT(368.20)	LT(371.54)	LT(374.88)	LT(378.22)	LT(381.56)	LT(384.90)	LT(388.24)	LT(391.58)	LT(394.92)	LT(398.27)	LT(401.61)	LT(404.95)	LT(408.30)	LT(411.64)	LT(414.99)	LT(418.34)	LT(421.68)	LT(425.03)	LT(428.38)	LT(431.72)	LT(435.07)	LT(438.42)	LT(441.77)	LT(445.12)	LT(448.47)	LT(451.82)	LT(455.17)	LT(458.52)	LT(461.87)	LT(465.22)	LT(468.58)	LT(471.93)	LT(475.28)	LT(478.63)	LT(481.99)	LT(485.34)	LT(488.69)	LT(492.05)	LT(495.40)	LT(498.76)	LT(502.11)	LT(505.47)	LT(508.82)	LT(512.17)	LT(515.53)	LT(518.88)	LT(522.24)	LT(525.60)	LT(528.95)	LT(532.31)	LT(535.66)	LT(539.02)	LT(542.37)	LT(545.73)	LT(549.09)	LT(552.44)	LT(555.80)	LT(559.15)	LT(562.51)	LT(565.87)	LT(569.22)	LT(572.58)	LT(575.93)	LT(579.29)	LT(582.64)	LT(586.00)	LT(589.35)	LT(592.71)	LT(596.06)	LT(599.42)	LT(602.77)	LT(606.13)	LT(609.48)	LT(612.84)	LT(616.19)	LT(619.55)	LT(622.90)	LT(626.25)	LT(629.61)	LT(632.96)	LT(636.31)	LT(639.67)	LT(643.02)	LT(646.37)	LT(649.72)	LT(653.07)	LT(656.42)	LT(659.77)	LT(663.12)	LT(666.47)	LT(669.82)	LT(673.17)	LT(676.52)	LT(679.87)	LT(683.22)	LT(686.56)	LT(689.91)	LT(693.26)	LT(696.60)	LT(699.95)	LT(703.30)	LT(706.64)	LT(709.98)	LT(713.33)	LT(716.67)	LT(720.01)	LT(723.35)	LT(726.70)	LT(730.04)	LT(733.38)	LT(736.72)	LT(740.06)	LT(743.39)	LT(746.73)	LT(750.07)	LT(753.41)	LT(756.74)	LT(760.08)	LT(763.41)	LT(766.74)	LT(770.08)	LT(773.41)	LT(776.74)	LT(780.07)	LT(783.40)	LT(786.73)	LT(790.06)	LT(793.39)	LT(796.71)	LT(800.04)	LT(803.36)	DARK_SAMP(LT)	DARK_AVE(LT)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0251	1.0240000000	0.0000000000	0.4210288135	0.4410756601	0.4436545317	0.4351363128	0.4566978920	0.5144289719	0.5374067086	0.5232284808	0.5353201821	0.5348045650	0.5166738456	0.5033777508	0.5352533317	0.5526810045	0.5800808166	0.6999082068	0.8157974035	0.8627459669	0.8807260481	0.9019479635	0.9237071435	0.9275014037	0.9230349331	0.9085548316	0.8822606082	0.9017105459	0.9736328323	1.0376744506	1.0930071393	1.1700254649	1.2362832494	1.2804248174	1.3155411675	1.3443383399	1.3650455359	1.3846093632	1.3865359438	1.4153988387	1.4712496945	1.5038296515	1.4991044978	1.4866949101	1.4826050890	1.5307510554	1.5744600345	1.5706002200	1.5714031466	1.6106660619	1.6299436307	1.6223102100	1.6039314138	1.6071051771	1.6636540063	1.7218222368	1.7504840746	1.7797306977	1.7930230720	1.7775062605	1.7789681157	1.7936555732	1.7982765130	1.7972398330	1.7947795983	1.7749131697	1.7651165238	1.7621577894	1.7326164198	1.7141615162	1.6945372779	1.6561732463	1.6070417304	1.5177464934	1.3915376625	1.2989480377	1.2444778868	1.1647492140	1.1086530742	1.0756823962	1.0287320531	1.0005400506	0.9829303242	0.9497726052	0.9288187134	0.9096724325	0.8783961463	0.8653333310	0.8657286970	0.8467906931	0.8248730211	0.8028537601	0.7670493951	0.7384396847	0.7097149211	0.6864314687	0.6854522237	0.6749319460	0.6585365295	0.6540230491	0.6494862720	0.6485911964	0.6194337980	0.5870697285	0.5573618373	0.5340283113	0.5203906031	0.5023593252	0.4728632693	0.4558749407	0.4284992058	0.3783601372	0.3251199612	0.2832135771	0.2566246822	0.2517025221	0.2461723394	0.2387253443	0.2558216305	0.2596629856	0.2513546018	0.2622305738	0.2625031597	0.2468707061	0.2329268605	0.2022218966	0.1807713897	0.2154718605	0.2485581982	0.2425992429	0.2532598049	0.2567893190	0.2515348746	0.2485739030	0.2537918461	0.2530382295	0.2503433861	0.2611313722	0.2625210181	15	1758	49.5000000000	18	2257.7500000000	0	2017-198	18:39:31.096
0251	1.0240000000	0.0000000000	0.4404557174	0.4563600303	0.4468607072	0.4511768099	0.4679710972	0.5181356694	0.5502948784	0.5367350655	0.5371159861	0.5553596573	0.5303074755	0.5084614892	0.5531648179	0.5620774353	0.5836531618	0.7174229722	0.8291682845	0.8673078711	0.8933813367	0.9145285429	0.9299092398	0.9463628402	0.9376612697	0.9168546742	0.9011047048	0.9149153869	0.9836024038	1.0557585385	1.1083919474	1.1793341661	1.2522967288	1.2970171802	1.3240303573	1.3622028662	1.3819202384	1.3929002436	1.4040971353	1.4308891500	1.4812145447	1.5205051812	1.5148792425	1.4917932905	1.4982996937	1.5470316105	1.5796532339	1.5850825148	1.5862877903	1.6132055522	1.6446323317	1.6359392352	1.6087009161	1.6189548210	1.6772686223	1.7269109743	1.7619575987	1.7944093008	1.7977019399	1.7880008910	1.7910790594	1.7977745455	1.8084964895	1.8093282685	1.7992161821	1.7843527470	1.7755779726	1.7648474922	1.7427988427	1.7239284615	1.6966523517	1.6666266809	1.6175806173	1.5169467834	1.4021994178	1.3072166330	1.2443224251	1.1745728568	1.1171633216	1.0727672678	1.0383155169	1.0075809183	0.9779290300	0.9580141880	0.9324481127	0.9035265739	0.8831472165	0.8702083100	0.8651760455	0.8567120948	0.8273427782	0.7955375078	0.7738862377	0.7415941081	0.7029520279	0.6960475742	0.6924971419	0.6678579588	0.6668593533	0.6605448453	0.6466150788	0.6576528448	0.6285605882	0.5776719047	0.5676532991	0.5435143980	0.5142662140	0.5161204831	0.4771061837	0.4520547596	0.4409956546	0.3830270833	0.3225678022	0.2954163619	0.2639939720	0.2466418703	0.2589491363	0.2467355630	0.2499758556	0.2685108067	0.2579630455	0.2557316191	0.2773169204	0.2531383293	0.2260106323	0.2141470194	0.1887700139	0.2137857928	0.2560019290	0.2443529724	0.2511640492	0.2681008831	0.2505954084	0.2508256909	0.2544533886	0.2475802097	0.2535167530	0.2622258451	0.2572497159	15	1758	51.0000000000	19	2260.3400000000	0	2017-198	18:39:33.604
0251	1.0240000000	0.0000000000	0.4341705426	0.4485441592	0.4356390930	0.4425512596	0.4606508341	0.5108705423	0.5432513437	0.5250914580	0.5327081036	0.5421576062	0.5201253975	0.5026765455	0.5464919113	0.5535510444	0.5776992532	0.7074145348	0.8173891750	0.8566634278	0.8818897528	0.9012642363	0.9164713645	0.9303001975	0.9243017811	0.9017839074	0.8842497073	0.9038436356	0.9677507852	1.0412319761	1.0971759260	1.1634192899	1.2397511366	1.2839728698	1.3083414748	1.3495534500	1.3688337344	1.3767922474	1.3973897358	1.4181471198	1.4637121797	1.5186954338	1.5043192894	1.4808121635	1.4950299844	1.5363515664	1.5713441149	1.5844359838	1.5785888366	1.6073647244	1.6442556983	1.6287530219	1.6018523999	1.6196803094	1.6697447555	1.7192186968	1.7594989864	1.7872433686	1.7885724416	1.7848412173	1.7836779272	1.7910951310	1.8051638885	1.8006778285	1.7906757583	1.7832422085	1.7705698322	1.7600284413	1.7392915637	1.7180682943	1.6920696919	1.6637094433	1.6150411265	1.5129482336	1.3999548378	1.3032299889	1.2368602636	1.1729355830	1.1135890177	1.0671084890	1.0391561717	1.0059435072	0.9745410565	0.9565597910	0.9327780581	0.9004536446	0.8875463555	0.8725555221	0.8596495297	0.8552145247	0.8317123484	0.7907241839	0.7690027787	0.7360738671	0.6999683985	0.6888354951	0.6850496570	0.6666452753	0.6561005811	0.6530040184	0.6433337150	0.6440603721	0.6194337980	0.5787161073	0.5554715688	0.5386659537	0.5123655416	0.4979134127	0.4826219725	0.4473856494	0.4212978624	0.3883304311	0.3189522436	0.2800023179	0.2724469810	0.2451016719	0.2441549504	0.2568055523	0.2495081936	0.2546412493	0.2633477032	0.2592310562	0.2599490631	0.2570555937	0.2297347552	0.1965303607	0.1876667554	0.2182819733	0.2434048460	0.2490295843	0.2589482848	0.2543435754	0.2546664286	0.2614412625	0.2537918461	0.2540616082	0.2655050278	0.2611313722	0.2583792806	15	1732	49.5000000000	20	2261.5600000000	0	2017-198	18:39:34.821
0251	1.0240000000	0.0000000000	0.4118867411	0.4452441247	0.4374024895	0.4269647389	0.4594795920	0.5055328979	0.5243686764	0.5260229466	0.5268309270	0.5190957952	0.5182270439	0.4949632873	0.5201514904	0.5483308051	0.5715752328	0.6822266342	0.8108629117	0.8466272384	0.8594884373	0.8960679100	0.9080726924	0.9087616540	0.9217680850	0.8937024816	0.8657196789	0.9007963646	0.9598748238	1.0237408091	1.0917168006	1.1521087175	1.2210857434	1.2775028918	1.2980254973	1.3299135671	1.3628644519	1.3674353966	1.3770236318	1.4148991513	1.4537473295	1.4984004092	1.4998867165	1.4693081257	1.4773735541	1.5311417887	1.5591400964	1.5668503401	1.5703766194	1.5949212215	1.6270561083	1.6208234072	1.5926802801	1.6054123708	1.6637734327	1.7086861937	1.7470888481	1.7812332319	1.7822959116	1.7747979688	1.7807623296	1.7861968937	1.7963880391	1.7985706700	1.7875701497	1.7724699850	1.7657842758	1.7557697452	1.7319375916	1.7118634115	1.6854894625	1.6561732463	1.6097081958	1.5108156736	1.3909765174	1.2993909982	1.2345283381	1.1596736652	1.1069510247	1.0640218825	1.0265463508	0.9941541473	0.9713144151	0.9468638113	0.9197452151	0.8978928702	0.8738210418	0.8600972424	0.8585442265	0.8439827493	0.8168938060	0.7905316509	0.7602125525	0.7248362336	0.7003662158	0.6784180474	0.6729726544	0.6771551991	0.6473717659	0.6432213241	0.6558439143	0.6382938686	0.6150778299	0.5908288580	0.5445500175	0.5289690651	0.5182787448	0.4917738192	0.4696810834	0.4541770824	0.4183326034	0.3768751998	0.3217170826	0.2772192266	0.2583586327	0.2429013884	0.2389994008	0.2426160220	0.2455330667	0.2558369008	0.2542916879	0.2479828654	0.2589274244	0.2513102725	0.2254786148	0.1978854883	0.1901490871	0.2081655673	0.2474130088	0.2496141608	0.2433798136	0.2638208318	0.2584242934	0.2521124269	0.2590841860	0.2574728705	0.2531641566	0.2698871550	0.2628975397	15	1757	51.0000000000	21	2262.7500000000	0	2017-198	18:39:36.007
0251	1.0240000000	0.0000000000	0.4320754844	0.4626127272	0.4462194721	0.4449724667	0.4733880919	0.5205079558	0.5453494179	0.5429449895	0.5410341038	0.5429931790	0.5366928465	0.5084614892	0.5464919113	0.5688637464	0.5872255070	0.7135864046	0.8364904336	0.8703491406	0.8890174441	0.9219127961	0.9321058156	0.9382098322	0.9416921498	0.9168546742	0.8901123151	0.9200957476	0.9822066638	1.0482482069	1.1135533024	1.1800348210	1.2471968946	1.3027566768	1.3244601897	1.3547685602	1.3890374598	1.3921895967	1.3962921613	1.4367604777	1.4755933471	1.5135247269	1.5217888414	1.4864334547	1.4950299844	1.5530228547	1.5765373143	1.5823670845	1.5934734804	1.6109200109	1.6438790650	1.6422581470	1.6072333769	1.6228240925	1.6810902689	1.7231240069	1.7654699019	1.7979922669	1.7970172275	1.7920633286	1.7966859778	1.7987764577	1.8107182235	1.8146516163	1.7995489259	1.7867959317	1.7809199890	1.7667526983	1.7429119807	1.7280650501	1.6999424664	1.6657758199	1.6230405226	1.5220116132	1.4002354103	1.3140086934	1.2489862760	1.1709708544	1.1243119294	1.0801408280	1.0352891599	1.0159317149	0.9877702864	0.9542973957	0.9418515564	0.9144525448	0.8822673887	0.8846526923	0.8742026879	0.8501602258	0.8436811711	0.8092073476	0.7682214253	0.7479029550	0.7097149211	0.6840274423	0.6937048422	0.6747298320	0.6548826069	0.6623791005	0.6537930619	0.6430306394	0.6318794210	0.5906200174	0.5508509125	0.5475196345	0.5214465322	0.4964314418	0.4824098268	0.4596951218	0.4272283805	0.3908760381	0.3263960407	0.2787178143	0.2659446664	0.2508224088	0.2398960181	0.2542880550	0.2541848135	0.2491412523	0.2613896459	0.2639802924	0.2579057857	0.2562721408	0.2307987903	0.1959883096	0.1973202674	0.2216541086	0.2451226301	0.2639362847	0.2595470721	0.2619865241	0.2734557527	0.2627279985	0.2656996109	0.2694122887	0.2602160830	0.2676982093	0.2681688419	15	1752	49.5000000000	22	2263.9600000000	0	2017-198	18:39:37.223
0251	1.0240000000	0.0000000000	0.4301708860	0.4376019396	0.4487844124	0.4398274016	0.4540625973	0.5218423669	0.5392050579	0.5213655036	0.5415238685	0.5389824293	0.5147754921	0.5116169130	0.5399946075	0.5441546137	0.5850140552	0.7015762797	0.8094303173	0.8638104112	0.8757803031	0.8951106920	0.9252576676	0.9229989963	0.9216529170	0.9115034599	0.8794339937	0.8986632749	0.9750285723	1.0348086662	1.0888383526	1.1690245293	1.2309794218	1.2724938766	1.3118875921	1.3397889884	1.3593058412	1.3824774225	1.3856822748	1.4094025892	1.4684390958	1.5034418484	1.4981919093	1.4865641824	1.4811664169	1.5284066555	1.5747196945	1.5699536890	1.5724296737	1.6101581638	1.6323289753	1.6213190081	1.6056435428	1.6097653013	1.6638928592	1.7200470959	1.7506011514	1.7816955501	1.7881159667	1.7785218699	1.7777345936	1.7892026302	1.7980543396	1.7976834453	1.7898993562	1.7742468466	1.7665633199	1.7570025256	1.7325032817	1.7132422743	1.6856069666	1.6569025557	1.6088193740	1.5093495387	1.3935016700	1.2999816121	1.2356165700	1.1649129414	1.1072914346	1.0672799672	1.0331034576	1.0010312739	0.9716370793	0.9542973957	0.9266740684	0.9013072361	0.8789240430	0.8656944406	0.8616759188	0.8473522819	0.8254429651	0.7955375078	0.7676354102	0.7325251407	0.7003662158	0.6842277778	0.6788098723	0.6642199082	0.6546796112	0.6470936406	0.6416930332	0.6393236013	0.6169446734	0.5745392968	0.5523211213	0.5359255287	0.5068747100	0.4955846014	0.4728632693	0.4408064487	0.4238395130	0.3798450746	0.3153366851	0.2776473945	0.2642107158	0.2429013884	0.2511037347	0.2524571478	0.2474037147	0.2632499401	0.2596763457	0.2592310562	0.2683775821	0.2586224995	0.2361189658	0.2079134325	0.1962170089	0.2233401763	0.2508485769	0.2580905199	0.2586488911	0.2613750882	0.2640610907	0.2630496825	0.2531303036	0.2619075115	0.2732621468	0.2520107651	0.2738166658	15	1751	48.5000000000	23	2265.1600000000	0	2017-198	18:39:38.627
0251	1.0240000000	0.0000000000	0.4143627190	0.4445493806	0.4415705176	0.4315045022	0.4578691341	0.5126497571	0.5287146871	0.5241599694	0.5341773978	0.5281199821	0.5190899319	0.5039036548	0.5292828363	0.5476347732	0.5800808166	0.6907338059	0.8116587974	0.8563593009	0.8651614977	0.8972986189	0.9181510989	0.9139941815	0.9205012370	0.9046233272	0.8699072560	0.9005932132	0.9685483509	1.0290770973	1.0923123415	1.1630189157	1.2268995544	1.2814683622	1.3068370614	1.3359053958	1.3697520856	1.3747787478	1.3805602606	1.4166480574	1.4626901438	1.5011150303	1.5010600447	1.4787205202	1.4802508983	1.5332256998	1.5673193854	1.5733156503	1.5739694645	1.6040633869	1.6342121421	1.6219385093	1.5994065013	1.6097653013	1.6612654771	1.7147216730	1.7495474604	1.7779970044	1.7854912360	1.7758135782	1.7747068577	1.7884233652	1.7998317269	1.7947999653	1.7901211854	1.7744689543	1.7628906836	1.7583473770	1.7349923184	1.7095653067	1.6900721223	1.6571456588	1.6084384503	1.5146809385	1.3930808113	1.2971761959	1.2413686528	1.1676963068	1.1059297950	1.0749964837	1.0334397195	0.9997213451	0.9800263469	0.9530045984	0.9270040138	0.9065995032	0.8810356297	0.8653333310	0.8659129142	0.8516577958	0.8206934323	0.8042014908	0.7703701472	0.7291735658	0.7111072815	0.6892361661	0.6753880549	0.6791763383	0.6558975854	0.6415908750	0.6527676358	0.6440603721	0.6109292890	0.5937526254	0.5525311512	0.5308662824	0.5383413985	0.5023593252	0.4715903949	0.4720045941	0.4251103383	0.3783601372	0.3391568358	0.2791459821	0.2620432776	0.2644641660	0.2446032591	0.2517705577	0.2665778562	0.2584673341	0.2650610034	0.2704792471	0.2625031597	0.2573167447	0.2422371677	0.1997826669	0.1907007163	0.2258692778	0.2465541168	0.2528293315	0.2595470721	0.2595407805	0.2596769150	0.2543642148	0.2577611010	0.2537204819	0.2591582941	0.2607665479	0.2636505829	15	1741	49.0000000000	24	2267.7600000000	0	2017-198	18:39:41.030
0251	1.0240000000	0.0000000000	0.4128390403	0.4336071611	0.4353184754	0.4236355791	0.4483527921	0.5080534522	0.5257174383	0.5150003315	0.5276472015	0.5242763470	0.5106336298	0.4956644926	0.5250683690	0.5408484621	0.5639202074	0.6853959726	0.7989246251	0.8362869221	0.8545426923	0.8845812939	0.8988987583	0.9035291264	0.9069114124	0.8836553037	0.8611133442	0.8879978264	0.9486092080	1.0164281178	1.0772253039	1.1415988936	1.2109880716	1.2623714917	1.2863125644	1.3207039044	1.3472524823	1.3546437525	1.3662917926	1.4005331368	1.4418661621	1.4849565713	1.4831993833	1.4547973507	1.4632484099	1.5161636781	1.5461570979	1.5523680452	1.5584432413	1.5808270499	1.6136228518	1.6086811847	1.5781271832	1.5912653470	1.6495616844	1.6955501506	1.7328054814	1.7682883220	1.7648357462	1.7599023642	1.7653993732	1.7681624745	1.7813913345	1.7838205606	1.7696019853	1.7572556075	1.7507598546	1.7399677412	1.7163245431	1.7016368453	1.6717414831	1.6423163680	1.5977725889	1.4978870291	1.3860664985	1.2883169866	1.2293981021	1.1629482128	1.0999726219	1.0624785792	1.0268826127	0.9946453707	0.9719597434	0.9484798079	0.9215599148	0.9048923203	0.8759326285	0.8622638998	0.8637023079	0.8419235905	0.8205034509	0.7972703044	0.7594311991	0.7289764144	0.7063334745	0.6790190540	0.6737777879	0.6729108068	0.6467627788	0.6426099057	0.6525625505	0.6302619529	0.6107218619	0.5920819011	0.5434998684	0.5319202921	0.5231360188	0.4894450078	0.4664988976	0.4588461926	0.4198152329	0.3766630659	0.3274594403	0.2735797996	0.2624767653	0.2561030890	0.2389994008	0.2492530603	0.2583937714	0.2484238614	0.2569840168	0.2639802924	0.2553516891	0.2513102725	0.2387790536	0.1932780544	0.1843569799	0.2250262439	0.2339570338	0.2463989901	0.2586488911	0.2467006267	0.2505954084	0.2646581024	0.2395686825	0.2455334523	0.2707939726	0.2403363880	0.2508488488	15	1757	49.5000000000	25	2268.9500000000	0	2017-198	18:39:42.215
0251	1.0240000000	0.0000000000	0.4238857112	0.4447230667	0.4515096616	0.4395247507	0.4586011604	0.5240663854	0.5375565710	0.5272649314	0.5452787314	0.5351387941	0.5223689062	0.5167006514	0.5399946075	0.5538990604	0.5931794157	0.7044120036	0.8183442379	0.8706532676	0.8783986387	0.9046828720	0.9310721328	0.9272580304	0.9278719893	0.9170730911	0.8833075025	0.9071956337	0.9810103152	1.0403425947	1.0986647784	1.1742293945	1.2381191897	1.2843902877	1.3177977875	1.3444492997	1.3669970321	1.3865044216	1.3856822748	1.4171477449	1.4708664311	1.5015028334	1.5006689353	1.4844725391	1.4814279937	1.5302300777	1.5712142849	1.5700829952	1.5744827280	1.6045712849	1.6328311531	1.6272662192	1.5987950267	1.6091607276	1.6681922116	1.7164968140	1.7518889959	1.7847006184	1.7876594918	1.7786347154	1.7794166692	1.7887573359	1.7991652066	1.7969071238	1.7874592351	1.7743579005	1.7612213034	1.7565542418	1.7335215240	1.7087609700	1.6873695280	1.6567810042	1.6039943414	1.5121485236	1.3963073951	1.2948137401	1.2368602636	1.1683512163	1.1061000000	1.0677944016	1.0381473860	0.9969377462	0.9751863848	0.9591453856	0.9256842322	0.9013072361	0.8831472165	0.8640694476	0.8598337469	0.8520321883	0.8231631893	0.7957300407	0.7715421774	0.7325251407	0.7015596675	0.6884348240	0.6796150058	0.6658368196	0.6591455166	0.6493355080	0.6437438855	0.6483852498	0.6215080685	0.5803868316	0.5550515092	0.5388767556	0.5174340015	0.4989719633	0.4771061837	0.4518425273	0.4280755974	0.3813300120	0.3217170826	0.2815009055	0.2603093271	0.2468618986	0.2466206481	0.2501685139	0.2539509825	0.2570325523	0.2626134317	0.2694794079	0.2640356177	0.2656735755	0.2451632642	0.1984275393	0.2047672624	0.2306464695	0.2456952248	0.2683206084	0.2703252444	0.2574007549	0.2778399284	0.2707700982	0.2577611010	0.2789638232	0.2732621468	0.2647796151	0.2805940544	15	1752	48.5000000000	26	2270.1500000000	0	2017-198	18:39:43.448
0251	1.0240000000	0.0000000000	0.4198860545	0.4452441247	0.4369215632	0.4322611294	0.4571371078	0.5076086485	0.5320116608	0.5243152175	0.5276472015	0.5311280444	0.5187447767	0.4953138899	0.5301608503	0.5490268370	0.5729361262	0.6935695298	0.8113404431	0.8492123175	0.8655978870	0.8983925823	0.9119490026	0.9133857481	0.9205012370	0.8982892368	0.8693838088	0.8999837590	0.9637629566	1.0282865361	1.0923123415	1.1569132084	1.2258795875	1.2810509443	1.2995299106	1.3313560443	1.3649307420	1.3680276024	1.3784870644	1.4151489950	1.4538750840	1.4972370002	1.4987133884	1.4690466703	1.4775043425	1.5290578777	1.5568031566	1.5633590726	1.5662705108	1.5885724955	1.6207788857	1.6142566950	1.5844865197	1.6002130373	1.6529056252	1.7011122589	1.7404154718	1.7715245495	1.7745358381	1.7684786214	1.7697727695	1.7760664484	1.7890563169	1.7879239745	1.7776987508	1.7653625386	1.7545437829	1.7448988630	1.7223208588	1.7042796657	1.6773816798	1.6475430853	1.6024706469	1.5024187190	1.3870485023	1.2962902750	1.2304863340	1.1614746664	1.1088232791	1.0640218825	1.0294045768	1.0007037917	0.9719597434	0.9492878062	0.9303034677	0.8999414897	0.8794519397	0.8694860909	0.8616759188	0.8497858333	0.8269628156	0.7974628373	0.7660727033	0.7317365349	0.7033498451	0.6866318042	0.6788098723	0.6672516170	0.6554915940	0.6466860283	0.6451794821	0.6428246928	0.6227526308	0.5891581337	0.5506408827	0.5399307652	0.5269373638	0.4993953835	0.4807126610	0.4654253934	0.4272283805	0.3893911007	0.3306496391	0.2812868216	0.2717967495	0.2561030890	0.2428100244	0.2620694103	0.2574584474	0.2474673402	0.2694666325	0.2562315387	0.2538192311	0.2714188967	0.2286707201	0.1905677993	0.2047672624	0.2157528718	0.2368200072	0.2686128967	0.2484695061	0.2470063447	0.2759609960	0.2450353791	0.2412225387	0.2728235510	0.2482278082	0.2498218194	0.2809705760	15	1743	48.5000000000	27	2271.3600000000	0	2017-198	18:39:44.618
