FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
196	2259.9600000000	-0.1300000000	-3.1200000000	32.6000000000	-121.7000000000	144.0000000000	600.1000000000	121.4000000000	2017-198	18:39:30.556
197	2260.6000000000	-0.0600000000	-3.3200000000	32.6000000000	-121.5000000000	143.5000000000	600.4000000000	120.7000000000	2017-198	18:39:31.296
198	2261.2400000000	0.0300000000	-3.3900000000	32.6000000000	-121.5000000000	143.5000000000	600.1000000000	120.3000000000	2017-198	18:39:31.841
199	2261.8700000000	0.0300000000	-3.3000000000	32.6000000000	-121.1000000000	143.3000000000	600.4000000000	120.5000000000	2017-198	18:39:32.481
200	2262.5100000000	0.0600000000	-3.3500000000	32.6000000000	-121.7000000000	144.4000000000	600.4000000000	120.2000000000	2017-198	18:39:33.105
201	2263.1500000000	0.0000000000	-3.5100000000	32.6000000000	-122.5000000000	143.5000000000	600.4000000000	120.3000000000	2017-198	18:39:33.776
202	2263.7800000000	0.2400000000	-3.4000000000	32.6000000000	-122.1000000000	143.5000000000	600.1000000000	120.0000000000	2017-198	18:39:34.384
203	2264.4200000000	-0.0200000000	-3.2200000000	32.6000000000	-121.9000000000	142.9000000000	600.1000000000	121.1000000000	2017-198	18:39:35.024
204	2265.0600000000	0.0600000000	-3.2300000000	32.6000000000	-121.3000000000	144.2000000000	600.1000000000	120.6000000000	2017-198	18:39:35.679
205	2265.7000000000	-0.3100000000	-3.2500000000	32.6000000000	-122.5000000000	143.8000000000	599.9000000000	121.6000000000	2017-198	18:39:36.303
206	2266.3400000000	0.1200000000	-3.3300000000	32.7000000000	-122.3000000000	143.1000000000	600.5000000000	120.6000000000	2017-198	18:39:36.943
207	2266.9800000000	-0.0200000000	-3.3400000000	32.6000000000	-122.3000000000	142.4000000000	600.1000000000	121.0000000000	2017-198	18:39:37.582
208	2267.6100000000	0.0300000000	-3.3200000000	32.6000000000	-122.9000000000	142.9000000000	600.4000000000	121.0000000000	2017-198	18:39:38.222
209	2268.2500000000	0.0400000000	-3.3700000000	32.6000000000	-122.9000000000	142.6000000000	600.4000000000	120.9000000000	2017-198	18:39:38.861
210	2268.8900000000	-0.0500000000	-3.3700000000	32.6000000000	-122.9000000000	142.0000000000	600.1000000000	121.2000000000	2017-198	18:39:39.501
211	2269.5300000000	0.0800000000	-3.2200000000	32.6000000000	-123.3000000000	141.7000000000	600.1000000000	121.6000000000	2017-198	18:39:40.156
212	2270.1700000000	-0.0600000000	-3.4200000000	32.6000000000	-123.8000000000	142.0000000000	600.4000000000	121.3000000000	2017-198	18:39:40.874
213	2270.8100000000	0.1900000000	-3.1500000000	32.6000000000	-123.4000000000	142.2000000000	600.1000000000	121.5000000000	2017-198	18:39:41.420
214	2271.4500000000	-0.0200000000	-3.1500000000	32.6000000000	-124.4000000000	141.3000000000	600.4000000000	122.4000000000	2017-198	18:39:42.059
215	2272.0900000000	0.1500000000	-3.4400000000	32.7000000000	-124.9000000000	141.1000000000	600.3000000000	121.3000000000	2017-198	18:39:42.699
216	2272.7300000000	-0.2400000000	-3.4200000000	32.6000000000	-125.6000000000	141.3000000000	600.4000000000	122.3000000000	2017-198	18:39:43.448
217	2273.3700000000	0.2000000000	-3.2200000000	32.6000000000	-126.0000000000	140.8000000000	599.9000000000	122.3000000000	2017-198	18:39:44.087
218	2274.0100000000	0.1600000000	-3.2300000000	32.6000000000	-126.6000000000	139.7000000000	600.1000000000	122.7000000000	2017-198	18:39:44.649
219	2274.6500000000	0.1500000000	-3.1500000000	32.6000000000	-126.8000000000	140.4000000000	600.1000000000	122.9000000000	2017-198	18:39:45.273
220	2275.2900000000	0.0200000000	-3.4200000000	32.7000000000	-127.2000000000	139.5000000000	600.3000000000	122.6000000000	2017-198	18:39:45.944
221	2275.9300000000	-0.0100000000	-3.2800000000	32.7000000000	-128.6000000000	138.2000000000	600.5000000000	123.7000000000	2017-198	18:39:46.537
222	2276.5700000000	-0.0500000000	-3.3000000000	32.6000000000	-130.0000000000	138.2000000000	600.1000000000	124.1000000000	2017-198	18:39:47.285
223	2277.2000000000	-0.0900000000	-3.3400000000	32.6000000000	-130.1000000000	137.0000000000	600.4000000000	124.4000000000	2017-198	18:39:47.816
224	2277.8500000000	0.3400000000	-3.2900000000	32.7000000000	-131.4000000000	135.9000000000	600.3000000000	124.2000000000	2017-198	18:39:48.471
225	2278.4800000000	-0.1000000000	-3.3500000000	32.6000000000	-132.5000000000	135.5000000000	600.1000000000	125.3000000000	2017-198	18:39:49.173
226	2279.1200000000	-0.1000000000	-3.3300000000	32.6000000000	-133.5000000000	134.3000000000	600.1000000000	125.9000000000	2017-198	18:39:49.735
227	2279.7600000000	0.0600000000	-3.3300000000	32.7000000000	-135.3000000000	132.8000000000	600.3000000000	126.4000000000	2017-198	18:39:50.374
228	2280.4000000000	0.0200000000	-3.3300000000	32.7000000000	-136.5000000000	132.1000000000	600.3000000000	126.9000000000	2017-198	18:39:51.014
