SN	INTTIME(LI)	SAMPLE(DELAY)	LI(348.08)	LI(351.41)	LI(354.74)	LI(358.07)	LI(361.40)	LI(364.73)	LI(368.06)	LI(371.39)	LI(374.72)	LI(378.06)	LI(381.39)	LI(384.72)	LI(388.06)	LI(391.39)	LI(394.73)	LI(398.07)	LI(401.40)	LI(404.74)	LI(408.08)	LI(411.42)	LI(414.76)	LI(418.10)	LI(421.44)	LI(424.78)	LI(428.12)	LI(431.46)	LI(434.80)	LI(438.14)	LI(441.48)	LI(444.83)	LI(448.17)	LI(451.51)	LI(454.86)	LI(458.20)	LI(461.54)	LI(464.89)	LI(468.23)	LI(471.58)	LI(474.92)	LI(478.27)	LI(481.62)	LI(484.96)	LI(488.31)	LI(491.66)	LI(495.00)	LI(498.35)	LI(501.70)	LI(505.04)	LI(508.39)	LI(511.74)	LI(515.09)	LI(518.43)	LI(521.78)	LI(525.13)	LI(528.48)	LI(531.83)	LI(535.17)	LI(538.52)	LI(541.87)	LI(545.22)	LI(548.57)	LI(551.92)	LI(555.26)	LI(558.61)	LI(561.96)	LI(565.31)	LI(568.66)	LI(572.01)	LI(575.35)	LI(578.70)	LI(582.05)	LI(585.40)	LI(588.74)	LI(592.09)	LI(595.44)	LI(598.79)	LI(602.13)	LI(605.48)	LI(608.83)	LI(612.17)	LI(615.52)	LI(618.86)	LI(622.21)	LI(625.55)	LI(628.90)	LI(632.24)	LI(635.59)	LI(638.93)	LI(642.28)	LI(645.62)	LI(648.96)	LI(652.31)	LI(655.65)	LI(658.99)	LI(662.33)	LI(665.67)	LI(669.01)	LI(672.35)	LI(675.69)	LI(679.03)	LI(682.37)	LI(685.71)	LI(689.05)	LI(692.39)	LI(695.72)	LI(699.06)	LI(702.39)	LI(705.73)	LI(709.06)	LI(712.40)	LI(715.73)	LI(719.07)	LI(722.40)	LI(725.73)	LI(729.06)	LI(732.39)	LI(735.72)	LI(739.05)	LI(742.38)	LI(745.71)	LI(749.03)	LI(752.36)	LI(755.69)	LI(759.01)	LI(762.34)	LI(765.66)	LI(768.98)	LI(772.30)	LI(775.63)	LI(778.95)	LI(782.27)	LI(785.58)	LI(788.90)	LI(792.22)	LI(795.53)	LI(798.85)	LI(802.16)	DARK_SAMP(LI)	DARK_AVE(LI)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0250	2.0480000000	0.0000000000	0.0049771860	0.0073314072	0.0081307105	0.0026030941	0.0071195772	0.0073895881	0.0011272209	0.0080495861	0.0083542038	0.0029186681	0.0109137233	0.0128835782	0.0066288699	0.0174812232	0.0209903624	0.0230097572	0.0409384550	0.0493059644	0.0529517613	0.0698584126	0.0741035846	0.0747875033	0.0831468064	0.0802707643	0.0762022255	0.0842608869	0.0870052428	0.0903811004	0.0998938430	0.1032883306	0.1056317854	0.1114686614	0.1124356516	0.1121517691	0.1159554291	0.1145443843	0.1151221682	0.1178638266	0.1153963735	0.1207259220	0.1208779997	0.1126334579	0.1158949866	0.1192753207	0.1142816276	0.1197342631	0.1198879605	0.1160112530	0.1212237655	0.1204892277	0.1136732698	0.1168928230	0.1184339725	0.1180127607	0.1233012949	0.1238815676	0.1220335849	0.1243889676	0.1222303496	0.1198639169	0.1232767072	0.1202584700	0.1185504035	0.1186956576	0.1137682568	0.1136150859	0.1150101273	0.1094206317	0.1107014944	0.1143751739	0.1079362708	0.1084596798	0.1086278413	0.0986072152	0.1029067414	0.1093791290	0.1020536800	0.1052978591	0.1079220075	0.0996092026	0.1000521357	0.1024115102	0.0964444942	0.0970353294	0.0953260234	0.0919720683	0.0937498742	0.0937398241	0.0922342776	0.0900093383	0.0877547458	0.0848840019	0.0870023619	0.0844272508	0.0888511287	0.0926444950	0.0850056042	0.0891320684	0.0908175890	0.0805736919	0.0834472572	0.0811972108	0.0707138761	0.0744382341	0.0792927867	0.0740556252	0.0785742131	0.0804777065	0.0788119211	0.0808243756	0.0735170876	0.0633643002	0.0662155994	0.0688726378	0.0673484549	0.0784128901	0.0861804196	0.0892790326	0.0974006956	0.1006113606	0.1007389757	0.1021019420	0.0943329969	0.0738198627	0.0651072547	0.0738047606	0.0924492531	0.1037994664	0.1047610298	0.1054254826	0.1046530190	0.1000303265	0.0989102612	0.0919662965	0.0887256200	0.0928611703	0.0855886611	15	1429	33.5000000000	54	836.6000000000	0	2017-195	15:54:46.069
0250	2.0480000000	0.0000000000	0.0070257901	0.0090057117	0.0065176932	0.0049598306	0.0077073102	0.0046835418	0.0067723978	0.0065154676	0.0030972324	0.0064897444	0.0081539263	0.0057649371	0.0106962965	0.0142726051	0.0132392308	0.0253738619	0.0371773249	0.0421644559	0.0560906544	0.0664680346	0.0677651647	0.0767837579	0.0810486858	0.0767808330	0.0794598614	0.0833217618	0.0855195475	0.0941311238	0.1000218698	0.1024893055	0.1097393181	0.1131136297	0.1125214253	0.1169703631	0.1169885032	0.1156531426	0.1175959607	0.1157575646	0.1171497714	0.1208282164	0.1181241169	0.1145772256	0.1151542897	0.1165049674	0.1189907611	0.1190870243	0.1148560460	0.1182755562	0.1193993114	0.1149719986	0.1173519398	0.1149203470	0.1137669229	0.1221613061	0.1230017830	0.1206309529	0.1261490540	0.1243889676	0.1196075546	0.1247568360	0.1239154036	0.1192670359	0.1221312496	0.1181194651	0.1140762467	0.1165971402	0.1126807985	0.1080050681	0.1115082703	0.1094863170	0.1074201252	0.1083627916	0.1019769724	0.0987105525	0.1032793904	0.1015894875	0.1044852435	0.1053562635	0.1005002957	0.1014165194	0.1009626413	0.0962353012	0.1004247310	0.0995059452	0.0937648718	0.0977992606	0.0980155724	0.0933543519	0.0962695641	0.0939661406	0.0871783169	0.0903316784	0.0874502505	0.0842765368	0.0926499550	0.0896536003	0.0864739429	0.0916193440	0.0861258264	0.0821460010	0.0861338915	0.0742626058	0.0703116356	0.0783329367	0.0722669852	0.0752859091	0.0813729531	0.0750982305	0.0808091716	0.0837514163	0.0668726422	0.0648081717	0.0706007897	0.0622488190	0.0707134646	0.0865173676	0.0834354239	0.0916090826	0.1032831192	0.0956762388	0.1017234105	0.1021019420	0.0895351460	0.0734040025	0.0610084929	0.0712425327	0.0894134448	0.0995070077	0.1000522103	0.1058841260	0.0995046665	0.0994332275	0.0998890752	0.0885749402	0.0945408039	0.0975275608	0.0802366423	15	1419	34.0000000000	55	838.8300000000	0	2017-195	15:54:48.285
0250	2.0480000000	0.0000000000	0.0063087787	0.0063082212	0.0008296851	0.0062167567	0.0081481100	0.0013530232	0.0062347619	0.0092502005	0.0035016148	0.0092367262	0.0115505995	0.0069271642	0.0141720973	0.0169588900	0.0161459051	0.0282551145	0.0388409017	0.0443564041	0.0582059954	0.0658812384	0.0726121917	0.0788387258	0.0801100529	0.0802707643	0.0806444563	0.0815374241	0.0890311909	0.0944363582	0.0990830070	0.1047181649	0.1100327133	0.1117217335	0.1165956749	0.1169265577	0.1142486110	0.1201805722	0.1189755758	0.1143860451	0.1232616153	0.1234878688	0.1162535549	0.1194103777	0.1190694017	0.1151197908	0.1218269438	0.1215681063	0.1156676451	0.1201085636	0.1209554635	0.1167757082	0.1178249117	0.1161142141	0.1161260908	0.1225660422	0.1226024339	0.1244725885	0.1258585503	0.1241985553	0.1226987059	0.1238336437	0.1227292531	0.1226469247	0.1220417285	0.1180751426	0.1193560735	0.1179127524	0.1123731513	0.1143308679	0.1142423444	0.1094863170	0.1144584741	0.1118507645	0.1035271749	0.1053241344	0.1062605820	0.1033997563	0.1092918224	0.1081596758	0.1023104693	0.1058413293	0.1018731468	0.0994637741	0.1044049679	0.0976941603	0.0929842961	0.1007128568	0.0956530318	0.0950247312	0.0999740893	0.0929248768	0.0884032283	0.0916567889	0.0849122150	0.0870647452	0.0920421428	0.0860491889	0.0884832484	0.0917747988	0.0838581411	0.0859195431	0.0877142646	0.0757770598	0.0739317999	0.0772781214	0.0731656343	0.0783206093	0.0796443196	0.0782431549	0.0851365477	0.0799880782	0.0709938805	0.0692247198	0.0657856788	0.0664322835	0.0746097916	0.0785029399	0.0875529174	0.0966419904	0.0944594838	0.1005145935	0.1055627058	0.0988966007	0.0951496524	0.0813053462	0.0597473354	0.0779683809	0.1000387739	0.1000573229	0.1056579477	0.1121904722	0.1011427787	0.1043294394	0.1020914069	0.0909614502	0.0977714616	0.0973942353	0.0846280423	15	1439	32.5000000000	56	841.0600000000	0	2017-195	15:54:50.531
0250	2.0480000000	0.0000000000	0.0054893371	0.0067733057	0.0072817540	0.0034672308	0.0053563782	0.0069038875	0.0030089465	0.0066488692	0.0078824243	0.0047728808	0.0092861507	0.0096874536	0.0092172323	0.0146457002	0.0183072784	0.0248567140	0.0389132311	0.0478210963	0.0561588912	0.0697932130	0.0749735637	0.0778405985	0.0821529598	0.0819896857	0.0785220571	0.0833687181	0.0880857484	0.0945235681	0.1013874883	0.1063162150	0.1115416029	0.1157708862	0.1152661830	0.1191168277	0.1210758835	0.1174548748	0.1195464510	0.1217824536	0.1197047225	0.1242550763	0.1246710837	0.1182546240	0.1190164948	0.1232710224	0.1232717916	0.1230783300	0.1223768644	0.1223728668	0.1241750885	0.1225581886	0.1192963797	0.1194881862	0.1187929763	0.1240332107	0.1247988542	0.1253591197	0.1272626515	0.1276259765	0.1233075690	0.1261416244	0.1270176432	0.1220160121	0.1243245179	0.1226846827	0.1162761745	0.1186144122	0.1184821457	0.1114112680	0.1154076875	0.1161114035	0.1120185131	0.1124320933	0.1092279197	0.1035674017	0.1062073464	0.1101471218	0.1083305066	0.1094445731	0.1088874334	0.1047195465	0.1062956022	0.1035344572	0.1012051696	0.1019765610	0.0975896932	0.0981545772	0.0992624688	0.0957956755	0.0985848923	0.0971593495	0.0898443006	0.0923929614	0.0916305441	0.0851808206	0.0943214386	0.0963255961	0.0867057858	0.0950393481	0.0939454307	0.0863912358	0.0907169736	0.0839869945	0.0722423899	0.0785763556	0.0787209191	0.0758600415	0.0859003266	0.0831260639	0.0806427340	0.0884346814	0.0746104773	0.0654876407	0.0719765356	0.0667809056	0.0696508300	0.0830054274	0.0839844230	0.0930071125	0.1004367852	0.0968374439	0.1037907233	0.1094141270	0.0900455556	0.0784982899	0.0718334279	0.0729506846	0.0991714001	0.1107334382	0.1046489150	0.1106998813	0.1101523956	0.1009856849	0.1027031656	0.0986234032	0.0879502622	0.0968609335	0.0925874549	15	1430	35.0000000000	57	843.2800000000	0	2017-195	15:54:52.731
0250	2.0480000000	0.0000000000	0.0046698954	0.0121682868	0.0067723802	0.0023674204	0.0085889097	0.0046835418	0.0033449689	0.0073825780	0.0044451738	0.0048415554	0.0100645550	0.0085252265	0.0103265304	0.0171081281	0.0162949654	0.0253738619	0.0402151608	0.0455584401	0.0573871537	0.0717492003	0.0711207988	0.0788387258	0.0846375763	0.0787081085	0.0801015170	0.0871721747	0.0870052428	0.0949160124	0.1024970533	0.1047602188	0.1114158621	0.1161083156	0.1157808250	0.1185035521	0.1198631443	0.1178706591	0.1186901382	0.1198721229	0.1194041400	0.1223114841	0.1215534804	0.1176242128	0.1190694017	0.1212465335	0.1219339696	0.1231862032	0.1201584935	0.1215102751	0.1240677677	0.1194812724	0.1177723593	0.1197477225	0.1173056748	0.1241343947	0.1281434033	0.1254083715	0.1290056737	0.1303393516	0.1255556790	0.1273417744	0.1285231418	0.1242692713	0.1246826026	0.1234381652	0.1185640995	0.1197546095	0.1174713049	0.1135346134	0.1150042995	0.1154260497	0.1131446490	0.1117538764	0.1087278544	0.1039807506	0.1064735243	0.1079528566	0.1083870546	0.1082764846	0.1065945468	0.1057166868	0.1040843745	0.1003059844	0.1026099591	0.1018942072	0.0976677508	0.0999311603	0.0994593471	0.0969520920	0.0995771759	0.0929248768	0.0906368904	0.0921721097	0.0880474353	0.0878183150	0.0943214386	0.0911873925	0.0885605294	0.0925520724	0.0880807274	0.0879635450	0.0886624885	0.0764147246	0.0769888276	0.0780895178	0.0752080184	0.0788127228	0.0808790578	0.0780776326	0.0852197664	0.0843368244	0.0730124462	0.0705836577	0.0725784245	0.0704414370	0.0772663782	0.0831855268	0.0890169151	0.0961759805	0.0972109400	0.1014822644	0.1050704885	0.1013006067	0.0964767175	0.0777705345	0.0632155185	0.0819184822	0.0981956045	0.0993969446	0.1135059801	0.1102412379	0.0979835623	0.1077926137	0.1042937385	0.0856860071	0.0986760457	0.0979275371	0.0835301923	15	1437	33.5000000000	58	845.5100000000	0	2017-195	15:54:55.071
0250	2.0480000000	0.0000000000	0.0093816848	0.0046339167	0.0098286233	0.0067666619	0.0035931792	0.0071120449	0.0051594901	0.0035806324	0.0072758507	0.0073138390	0.0059602415	0.0106317631	0.0103265304	0.0124817484	0.0205431817	0.0227881224	0.0363817012	0.0500837524	0.0529517613	0.0668592321	0.0772727945	0.0751397835	0.0815456091	0.0861046793	0.0777323272	0.0836974118	0.0928579818	0.0933462351	0.0999791942	0.1092599916	0.1091106141	0.1137041312	0.1188257905	0.1167075307	0.1188300702	0.1212893305	0.1161211998	0.1188434833	0.1212577321	0.1207259220	0.1211378000	0.1183596925	0.1156304520	0.1185294563	0.1204356089	0.1196263900	0.1195633208	0.1182216442	0.1226189364	0.1219215853	0.1145141087	0.1178271538	0.1224855869	0.1196822972	0.1256474711	0.1300872866	0.1245512836	0.1263882966	0.1283189809	0.1241567610	0.1263333256	0.1271083778	0.1229817006	0.1216209426	0.1213800071	0.1165532864	0.1165044137	0.1161887951	0.1124943298	0.1145579349	0.1151623090	0.1100583340	0.1065275669	0.1049107855	0.1041843950	0.1069105806	0.1061251351	0.1074004183	0.1073789554	0.1034731212	0.1039543023	0.1040959308	0.1005808188	0.1012353763	0.1021950904	0.0984388305	0.0994593471	0.1003570960	0.0979895222	0.0959098330	0.0917176946	0.0868716677	0.0911080074	0.0871401022	0.0906745653	0.0953286312	0.0894106202	0.0882770673	0.0890972760	0.0849761576	0.0824200147	0.0787262596	0.0729664228	0.0750062116	0.0797829589	0.0743837009	0.0812083213	0.0842847203	0.0799769839	0.0845040839	0.0789840363	0.0670164458	0.0712026785	0.0731432578	0.0713333348	0.0837258253	0.0913959113	0.0936595265	0.1018599522	0.1027402367	0.1034953929	0.1062087857	0.0960683898	0.0749634782	0.0674193767	0.0767940264	0.0951597962	0.1055604751	0.1034156528	0.1068014127	0.1057060911	0.0963283126	0.1042937385	0.0991258263	0.0865287728	0.1009940222	0.0965671612	15	1434	34.5000000000	59	850.1700000000	0	2017-195	15:54:59.626
0250	2.0480000000	0.0000000000	0.0095865452	0.0025875446	0.0104228929	0.0055097358	0.0026381131	0.0075977455	0.0042858317	0.0026468212	0.0074106449	0.0043608336	0.0061017696	0.0120119078	0.0099567644	0.0121832723	0.0211394226	0.0237485399	0.0380452780	0.0523464086	0.0530199981	0.0656856397	0.0785777632	0.0740829429	0.0808830447	0.0858963252	0.0771893879	0.0822887242	0.0918675183	0.0924305318	0.0995951140	0.1071152401	0.1094040093	0.1131979871	0.1173247512	0.1164885037	0.1177071635	0.1182864435	0.1162639186	0.1173739982	0.1190033634	0.1204190391	0.1216574005	0.1168887332	0.1156833589	0.1215661897	0.1199004801	0.1203815019	0.1215652653	0.1175747004	0.1212237655	0.1230886914	0.1141987941	0.1171004521	0.1235113121	0.1197328892	0.1245492610	0.1299395314	0.1242607799	0.1259122659	0.1272417615	0.1224488553	0.1248278270	0.1268379867	0.1215941227	0.1206901701	0.1212920100	0.1166409939	0.1167681113	0.1155694860	0.1122702254	0.1128217054	0.1146930857	0.1083627916	0.1062775342	0.1041874250	0.1041843950	0.1065265842	0.1065209710	0.1066411608	0.1052670862	0.0999208090	0.1027186162	0.1027624311	0.0983175468	0.1005765454	0.1011022843	0.0943171579	0.0982124507	0.0979800177	0.0943511492	0.0952850747	0.0925823380	0.0881231609	0.0901375821	0.0924904479	0.0911304245	0.0948684935	0.0913426448	0.0878884305	0.0887062958	0.0867843131	0.0828941266	0.0796030488	0.0728859747	0.0750873512	0.0784758330	0.0746297577	0.0795620037	0.0840364368	0.0798105463	0.0826642297	0.0787317156	0.0671863130	0.0699129167	0.0733175689	0.0738128156	0.0820148801	0.0916704109	0.0940323345	0.0991084960	0.1044820444	0.1067440275	0.1063089526	0.0950475704	0.0780824297	0.0661582192	0.0731642036	0.0959187483	0.1047900338	0.0991552924	0.1054254826	0.1050040431	0.0897602234	0.0969526331	0.0986234032	0.0825227572	0.0937944484	0.0961554674	15	1421	34.0000000000	60	852.3900000000	0	2017-195	15:55:01.841
0250	2.0480000000	0.0000000000	0.0108157077	0.0027735784	0.0021031198	0.0088877248	0.0037401124	0.0035039831	0.0093261683	0.0029803252	0.0055235269	0.0121210570	0.0061725336	0.0080167521	0.0168344129	0.0106908918	0.0161459051	0.0284767493	0.0326929005	0.0457705642	0.0595707315	0.0632732553	0.0739793018	0.0804239867	0.0782880009	0.0800103216	0.0820264837	0.0805982990	0.0878156220	0.0951340370	0.0982721710	0.1069890782	0.1114577757	0.1118904482	0.1174962985	0.1166637253	0.1160452617	0.1189332192	0.1168347938	0.1161004444	0.1208569554	0.1207770692	0.1196829185	0.1187274323	0.1159478935	0.1195949768	0.1211847892	0.1181161662	0.1194010010	0.1212407152	0.1185407447	0.1200648255	0.1196116943	0.1135707581	0.1199212740	0.1256521552	0.1221531661	0.1260978958	0.1293930120	0.1237225246	0.1244784596	0.1270186571	0.1230029802	0.1244495320	0.1238321516	0.1182524326	0.1175961312	0.1174742150	0.1133400425	0.1128268316	0.1127184343	0.1116337588	0.1118777462	0.1081690153	0.1050273709	0.1032057214	0.1027470347	0.1058683046	0.1055031072	0.1036625352	0.1059308165	0.1030368723	0.0996619191	0.1036748256	0.1041708363	0.0972823910	0.0997753055	0.1000022236	0.0944717616	0.0992649249	0.0965341730	0.0900093383	0.0927984988	0.0901108267	0.0853601036	0.0903050954	0.0918901897	0.0898069796	0.0908789589	0.0876552484	0.0883935116	0.0886710842	0.0814717908	0.0789653839	0.0763452428	0.0714360675	0.0765151442	0.0789767607	0.0751992620	0.0813053182	0.0848036726	0.0800717079	0.0761244016	0.0709233922	0.0687951231	0.0704414370	0.0739899214	0.0821949796	0.0882849162	0.0903042546	0.0979699624	0.1010951961	0.0986716629	0.1035042789	0.0952517343	0.0713247016	0.0658429299	0.0791427353	0.0876786972	0.1053403490	0.1091335049	0.0953353287	0.1055890831	0.1056430572	0.0867974373	0.0968649222	0.0999683088	0.0856615964	0.0927246862	15	1427	34.0000000000	61	854.6200000000	0	2017-195	15:55:04.072
0250	2.0480000000	0.0000000000	0.0070257901	0.0093777794	0.0033765544	0.0077093566	0.0061645111	0.0034345973	0.0077132606	0.0077827829	0.0045799679	0.0094427498	0.0065971178	0.0064186898	0.0126930331	0.0136010338	0.0156241944	0.0290677755	0.0353690892	0.0469726002	0.0607307572	0.0630776566	0.0741035846	0.0817156808	0.0772941543	0.0816250660	0.0833591530	0.0797530864	0.0889861698	0.0977939373	0.0977600641	0.1065685387	0.1154395677	0.1126496643	0.1167243355	0.1224022328	0.1175724147	0.1188870209	0.1227814104	0.1177658609	0.1207066642	0.1259940798	0.1190593978	0.1170988702	0.1182757979	0.1193285967	0.1216128923	0.1218917256	0.1191304680	0.1196233558	0.1211701051	0.1200117752	0.1169840728	0.1156989559	0.1208444266	0.1235778825	0.1219035729	0.1279202101	0.1288604219	0.1237701277	0.1256493503	0.1276187321	0.1230029802	0.1258916179	0.1264282651	0.1206458476	0.1209400216	0.1208509530	0.1160649177	0.1160118496	0.1168419558	0.1125932541	0.1149746197	0.1132071984	0.1044272925	0.1052724658	0.1060476397	0.1047163154	0.1082739586	0.1079844625	0.1050257297	0.1047195465	0.1029787607	0.1028326153	0.1027660468	0.0993412375	0.1013364570	0.0998600969	0.0968999282	0.0988794527	0.0987833491	0.0931331296	0.0932308205	0.0911414682	0.0861065846	0.0900790245	0.0923460489	0.0910340132	0.0918063307	0.0901425241	0.0879243354	0.0896930851	0.0833682385	0.0779291786	0.0779542047	0.0733834188	0.0758615813	0.0781565714	0.0776687384	0.0794018113	0.0844707975	0.0792354106	0.0757879740	0.0713480602	0.0659576470	0.0716616142	0.0780633542	0.0770621439	0.0910299119	0.0973876064	0.0954082618	0.1036111405	0.1094020012	0.1037046127	0.0984162743	0.0807855209	0.0653174476	0.0789292163	0.0957019049	0.1054504121	0.1095819639	0.1069160736	0.1083972754	0.1048071186	0.0981761507	0.0981209800	0.0953161617	0.0885947561	0.0964299299	15	1425	34.5000000000	62	856.8500000000	0	2017-195	15:55:06.318
0250	2.0480000000	0.0000000000	0.0120448701	0.0046339167	0.0063479020	0.0082592617	0.0039605123	0.0077365171	0.0067051933	0.0033138292	0.0084889980	0.0080692589	0.0051110732	0.0114307943	0.0115837350	0.0113624630	0.0205431817	0.0257432533	0.0358030658	0.0500837524	0.0562953648	0.0678372257	0.0777699254	0.0755507771	0.0829811653	0.0848545547	0.0781765503	0.0837443681	0.0927229186	0.0923433219	0.1020702976	0.1103113404	0.1103680221	0.1161504943	0.1217849824	0.1185911629	0.1211207998	0.1246618035	0.1188328570	0.1211946595	0.1267183140	0.1226183671	0.1240475630	0.1220370909	0.1178525426	0.1222587780	0.1242885364	0.1216759794	0.1211865191	0.1219415710	0.1219750114	0.1221868367	0.1184555409	0.1187095773	0.1217675793	0.1227684103	0.1281434033	0.1294962658	0.1263427231	0.1294348932	0.1296303784	0.1242952398	0.1281125513	0.1294968326	0.1233845458	0.1247678402	0.1242399134	0.1192283646	0.1188776921	0.1185333223	0.1153180457	0.1165683060	0.1170392020	0.1120929849	0.1098279981	0.1070291985	0.1060476397	0.1083917096	0.1090656305	0.1072252050	0.1090081116	0.1052181166	0.1058403495	0.1060610882	0.1030001784	0.1037883459	0.1033659541	0.0997890336	0.1015593832	0.1009995495	0.0981879789	0.0970899319	0.0960409115	0.0923193442	0.0914812479	0.0926411619	0.0944733916	0.0953286312	0.0901061491	0.0906866157	0.0921469217	0.0863912358	0.0837633318	0.0806392541	0.0736904557	0.0735456981	0.0791293960	0.0748758144	0.0787388449	0.0843674815	0.0818077968	0.0845040839	0.0778906466	0.0661671096	0.0699989008	0.0753221456	0.0724845223	0.0838158751	0.0946899061	0.0958031725	0.1036626304	0.1074818243	0.1046767146	0.1096144609	0.0984162743	0.0754833035	0.0701518846	0.0762602290	0.0922324097	0.1058906642	0.1053216035	0.1066867519	0.1080462514	0.1011051047	0.1022137586	0.0973673453	0.0901471094	0.0972609099	0.0931363799	15	1423	34.0000000000	63	859.0700000000	0	2017-195	15:55:08.627
