FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
29	838.3000000000	0.4000000000	-0.3000000000	24.8000000000	-94.3000000000	-236.3000000000	590.0000000000	248.4000000000	2017-195	15:54:44.060
30	838.9400000000	0.3900000000	-0.3300000000	24.8000000000	-94.3000000000	-236.3000000000	590.0000000000	248.5000000000	2017-195	15:54:44.690
31	839.5700000000	0.3400000000	-0.3400000000	24.8000000000	-94.4000000000	-236.3000000000	590.0000000000	248.5000000000	2017-195	15:54:45.336
32	840.2100000000	0.3800000000	-0.3800000000	24.8000000000	-94.1000000000	-236.1000000000	590.0000000000	248.6000000000	2017-195	15:54:45.991
33	840.8400000000	0.4400000000	-0.4400000000	24.8000000000	-94.3000000000	-236.5000000000	590.0000000000	248.7000000000	2017-195	15:54:46.600
34	841.4800000000	0.4000000000	-0.2100000000	24.8000000000	-94.3000000000	-236.1000000000	589.8000000000	248.2000000000	2017-195	15:54:47.239
35	842.1100000000	0.3500000000	-0.3000000000	24.8000000000	-94.4000000000	-236.3000000000	590.0000000000	248.4000000000	2017-195	15:54:47.879
36	842.7500000000	0.3900000000	-0.3900000000	24.8000000000	-94.3000000000	-236.1000000000	590.3000000000	248.6000000000	2017-195	15:54:48.503
37	843.3800000000	0.3800000000	-0.4300000000	24.8000000000	-94.1000000000	-236.3000000000	590.3000000000	248.8000000000	2017-195	15:54:49.143
38	844.0200000000	0.3400000000	-0.3200000000	24.8000000000	-94.3000000000	-236.5000000000	590.0000000000	248.5000000000	2017-195	15:54:49.782
39	844.6500000000	0.3800000000	-0.2900000000	24.7000000000	-94.4000000000	-236.3000000000	589.9000000000	248.4000000000	2017-195	15:54:50.437
40	845.2900000000	0.4600000000	-0.3300000000	24.8000000000	-93.5000000000	-236.8000000000	590.3000000000	248.6000000000	2017-195	15:54:51.108
41	845.9300000000	0.3800000000	-0.4000000000	24.8000000000	-93.3000000000	-236.8000000000	590.0000000000	248.9000000000	2017-195	15:54:51.685
42	846.5600000000	0.4200000000	-0.3300000000	24.8000000000	-93.1000000000	-236.8000000000	590.0000000000	248.8000000000	2017-195	15:54:52.325
43	847.1900000000	0.3600000000	-0.4200000000	24.8000000000	-93.1000000000	-237.0000000000	590.3000000000	249.0000000000	2017-195	15:54:52.965
44	847.8300000000	0.4300000000	-0.3200000000	24.8000000000	-94.1000000000	-236.5000000000	590.3000000000	248.5000000000	2017-195	15:54:53.589
45	848.4600000000	0.4000000000	-0.4900000000	24.8000000000	-94.3000000000	-236.3000000000	590.5000000000	248.9000000000	2017-195	15:54:54.228
46	849.1000000000	0.4700000000	-0.2900000000	24.8000000000	-93.3000000000	-236.3000000000	590.3000000000	248.6000000000	2017-195	15:54:54.868
47	849.7300000000	0.4700000000	-0.4000000000	24.8000000000	-93.3000000000	-236.8000000000	590.3000000000	248.8000000000	2017-195	15:54:55.492
48	850.3700000000	0.4000000000	-0.3200000000	24.8000000000	-93.5000000000	-236.5000000000	590.0000000000	248.6000000000	2017-195	15:54:56.131
49	851.0100000000	0.2900000000	-0.4300000000	24.8000000000	-93.7000000000	-236.5000000000	590.3000000000	249.0000000000	2017-195	15:54:56.771
50	851.6400000000	0.4200000000	-0.3200000000	24.8000000000	-94.3000000000	-236.3000000000	590.0000000000	248.4000000000	2017-195	15:54:57.411
51	852.2800000000	0.3800000000	-0.2900000000	24.8000000000	-94.3000000000	-236.3000000000	590.0000000000	248.4000000000	2017-195	15:54:58.035
52	852.9100000000	0.3200000000	-0.3400000000	24.8000000000	-94.4000000000	-236.8000000000	590.3000000000	248.6000000000	2017-195	15:54:58.674
53	853.5500000000	0.3500000000	-0.5200000000	24.8000000000	-94.3000000000	-236.5000000000	590.3000000000	249.0000000000	2017-195	15:54:59.314
54	854.1900000000	0.4200000000	-0.3500000000	24.8000000000	-94.4000000000	-236.3000000000	590.3000000000	248.5000000000	2017-195	15:54:59.953
55	854.8200000000	0.3500000000	-0.4200000000	24.8000000000	-94.1000000000	-236.3000000000	590.3000000000	248.8000000000	2017-195	15:55:00.593
56	855.4600000000	0.4200000000	-0.4200000000	24.8000000000	-94.1000000000	-236.3000000000	590.3000000000	248.7000000000	2017-195	15:55:01.217
