SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG380,SIG440,SIG500,SIG675,SIG870,STD380,STD440,STD500,STD675,STD870,R380_440,R440_500,R500_675,R675_870,AOT380,AOT440,AOT500,AOT675,AOT870,WATER
4079,7/14/17,17:31:46,43.933,-69.583,0,1026,24.43,1.098,1.033,19,0,814.56,339.78,535.28,656.88,553.22,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.3973,0.6348,0.8149,1.1874,0.448,0.41,0.385,0.345,0.309,Na  
4079,7/14/17,17:32:11,43.933,-69.583,0,1027,24.47,1.098,1.033,19.1,0,778.12,321.18,514.69,634.68,536.67,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.4227,0.624,0.8109,1.1826,0.489,0.461,0.42,0.376,0.337,Na  
4079,7/14/17,17:32:20,43.933,-69.583,0,1026,24.48,1.098,1.033,19.2,0,690.66,273.11,447.29,561.18,470.9,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.5288,0.6106,0.7971,1.1917,0.598,0.609,0.548,0.488,0.456,Na  
4079,7/17/17,18:07:44,43.933,-69.583,0,1027,28.64,1.139,1.032,26.9,0,671.58,326.01,524.44,715.73,639.29,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.06,0.6216,0.7327,1.1196,0.586,0.423,0.384,0.256,0.171,Na  
4079,7/17/17,18:07:57,43.933,-69.583,0,1027,28.67,1.139,1.032,26.9,0,747.77,348.49,571.18,784.36,703.68,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1457,0.6101,0.7282,1.1147,0.491,0.364,0.309,0.176,0.087,Na  
4079,7/17/17,18:08:08,43.933,-69.583,0,1026,28.69,1.139,1.032,26.9,0,756.34,349.11,569.18,770.76,699.64,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1665,0.6134,0.7385,1.1017,0.481,0.363,0.312,0.191,0.092,Na  
4079,7/17/17,18:08:17,43.933,-69.583,0,1026,28.71,1.14,1.032,26.9,0,759.41,342.27,572.65,775.83,693.96,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2187,0.5977,0.7381,1.118,0.477,0.38,0.307,0.185,0.099,Na  
4079,7/17/17,18:08:28,43.933,-69.583,0,1026,28.73,1.14,1.032,26.8,0,746.77,343.83,563.16,778.49,703.64,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1719,0.6105,0.7234,1.1064,0.492,0.376,0.321,0.182,0.087,Na  
4079,7/17/17,18:09:01,43.933,-69.583,0,1026,28.8,1.141,1.032,26.8,0,758.97,348.82,570.35,768,697.72,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1758,0.6116,0.7426,1.1007,0.477,0.363,0.31,0.194,0.094,Na  
4079,7/17/17,18:09:11,43.933,-69.583,0,1026,28.82,1.141,1.032,26.8,0,754.91,322.78,566.72,777.94,695.44,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.3388,0.5696,0.7285,1.1186,0.482,0.431,0.315,0.183,0.097,Na  
4079,7/17/17,18:09:20,43.933,-69.583,0,1025,28.84,1.141,1.032,26.8,0,756.73,344.46,572.87,780.19,699.56,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1969,0.6013,0.7343,1.1153,0.48,0.374,0.306,0.18,0.092,Na  
4079,7/17/17,18:09:29,43.933,-69.583,0,1025,28.86,1.141,1.032,26.8,0,759.9,333.12,573.83,783.68,703.27,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2811,0.5805,0.7322,1.1143,0.476,0.403,0.305,0.176,0.087,Na  
4079,7/17/17,18:09:38,43.933,-69.583,0,1025,28.88,1.141,1.032,26.8,0,759.9,334.22,573,784.77,698.04,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2736,0.5833,0.7302,1.1242,0.476,0.4,0.306,0.175,0.094,Na  
