SN	INTTIME(LI)	SAMPLE(DELAY)	LI(348.08)	LI(351.41)	LI(354.74)	LI(358.07)	LI(361.40)	LI(364.73)	LI(368.06)	LI(371.39)	LI(374.72)	LI(378.06)	LI(381.39)	LI(384.72)	LI(388.06)	LI(391.39)	LI(394.73)	LI(398.07)	LI(401.40)	LI(404.74)	LI(408.08)	LI(411.42)	LI(414.76)	LI(418.10)	LI(421.44)	LI(424.78)	LI(428.12)	LI(431.46)	LI(434.80)	LI(438.14)	LI(441.48)	LI(444.83)	LI(448.17)	LI(451.51)	LI(454.86)	LI(458.20)	LI(461.54)	LI(464.89)	LI(468.23)	LI(471.58)	LI(474.92)	LI(478.27)	LI(481.62)	LI(484.96)	LI(488.31)	LI(491.66)	LI(495.00)	LI(498.35)	LI(501.70)	LI(505.04)	LI(508.39)	LI(511.74)	LI(515.09)	LI(518.43)	LI(521.78)	LI(525.13)	LI(528.48)	LI(531.83)	LI(535.17)	LI(538.52)	LI(541.87)	LI(545.22)	LI(548.57)	LI(551.92)	LI(555.26)	LI(558.61)	LI(561.96)	LI(565.31)	LI(568.66)	LI(572.01)	LI(575.35)	LI(578.70)	LI(582.05)	LI(585.40)	LI(588.74)	LI(592.09)	LI(595.44)	LI(598.79)	LI(602.13)	LI(605.48)	LI(608.83)	LI(612.17)	LI(615.52)	LI(618.86)	LI(622.21)	LI(625.55)	LI(628.90)	LI(632.24)	LI(635.59)	LI(638.93)	LI(642.28)	LI(645.62)	LI(648.96)	LI(652.31)	LI(655.65)	LI(658.99)	LI(662.33)	LI(665.67)	LI(669.01)	LI(672.35)	LI(675.69)	LI(679.03)	LI(682.37)	LI(685.71)	LI(689.05)	LI(692.39)	LI(695.72)	LI(699.06)	LI(702.39)	LI(705.73)	LI(709.06)	LI(712.40)	LI(715.73)	LI(719.07)	LI(722.40)	LI(725.73)	LI(729.06)	LI(732.39)	LI(735.72)	LI(739.05)	LI(742.38)	LI(745.71)	LI(749.03)	LI(752.36)	LI(755.69)	LI(759.01)	LI(762.34)	LI(765.66)	LI(768.98)	LI(772.30)	LI(775.63)	LI(778.95)	LI(782.27)	LI(785.58)	LI(788.90)	LI(792.22)	LI(795.53)	LI(798.85)	LI(802.16)	DARK_SAMP(LI)	DARK_AVE(LI)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0250	0.1280000000	0.0000000000	-0.5873905125	-0.4884236375	-0.3819991546	-0.4196423927	-0.3221846535	-0.3580307483	-0.3454063318	-0.2703442158	-0.3979608283	-0.3433727209	-0.3009146753	-0.3912474881	-0.3341075869	-0.3864990979	-0.3903756044	-0.2985214112	-0.4143029513	-0.3605338934	-0.2958747900	-0.3396063399	-0.2828675194	-0.2904921400	-0.2907253032	-0.2324856813	-0.2773026085	-0.2453332856	-0.2005814705	-0.2325174939	-0.2043149675	-0.2219836307	-0.2251752812	-0.2046354056	-0.2479325854	-0.2115085939	-0.1677417732	-0.2524945633	-0.2421203482	-0.2568840265	-0.2737665247	-0.2157477351	-0.3031441017	-0.2622510364	-0.1900035596	-0.2857146264	-0.2811857890	-0.2650149323	-0.2997306954	-0.2459559498	-0.3004202067	-0.2688783403	-0.2000818136	-0.2699551468	-0.2697468474	-0.2601352483	-0.2611383994	-0.2164925170	-0.2723336642	-0.2261755209	-0.1912594571	-0.2483557119	-0.2319876694	-0.2382722431	-0.2481204135	-0.1978556443	-0.2529198971	-0.2176738278	-0.1702684874	-0.2317666860	-0.2317318724	-0.2110721498	-0.2535171975	-0.2248858896	-0.2902195147	-0.2707807127	-0.2231251560	-0.2897228795	-0.2843440913	-0.2692126160	-0.3209162661	-0.3177706555	-0.3689795040	-0.3378026940	-0.3524173487	-0.4331509963	-0.3806374820	-0.3215166141	-0.3616839557	-0.3298706189	-0.3775726235	-0.3480475482	-0.2940836579	-0.3992469591	-0.3541305917	-0.3456003863	-0.4018185747	-0.3827792962	-0.4501400901	-0.3908417961	-0.3410486042	-0.4126883949	-0.3855541507	-0.3995837399	-0.4299146234	-0.4006233922	-0.4671785433	-0.4121824967	-0.3654232465	-0.4536517116	-0.4246886901	-0.4382800249	-0.4412705712	-0.3967487061	-0.4414892637	-0.4347637610	-0.4341995963	-0.4829937157	-0.4672143644	-0.4788211634	-0.5091658883	-0.4571633634	-0.5177055504	-0.5235636632	-0.5029111417	-0.5521874817	-0.5221191949	-0.5563143337	-0.5556708806	-0.5175763081	-0.5427986204	-0.5660484620	-0.6076759621	-0.6560713822	-0.5669114807	-0.6748909478	-0.6397405235	-0.5983645833	-0.7230835380	15	1059	46.0000000000	20	5375.0700000000	0	2017-198	19:31:27.550
0250	0.1280000000	0.0000000000	-0.4562798512	-0.4973532613	-0.3752075031	-0.3769069036	-0.3515713037	-0.3058526238	-0.3658364959	-0.3237048566	-0.2825770441	-0.3455703063	-0.3473358757	-0.3122160440	-0.3554061113	-0.3662027226	-0.3939530498	-0.3599881335	-0.3437094316	-0.4374642025	-0.3450052902	-0.2884898716	-0.3216437347	-0.2886133123	-0.2854247881	-0.2324856813	-0.2188625937	-0.2851521900	-0.2157085499	-0.1836799806	-0.2179711528	-0.1917047860	-0.2224928109	-0.2127337111	-0.2074474102	-0.2612715288	-0.2245159340	-0.2029700274	-0.2428815152	-0.2318048136	-0.2601401185	-0.2517553378	-0.2466115626	-0.2891485786	-0.2653430120	-0.2294551455	-0.2700551097	-0.2555220971	-0.2867451096	-0.2519940918	-0.2523404729	-0.3053769328	-0.2362378851	-0.2209546894	-0.2705674275	-0.2431363305	-0.2651318909	-0.2519537686	-0.2351491902	-0.2772060135	-0.2069962271	-0.2003497130	-0.2641049738	-0.2252934703	-0.2302161825	-0.2269312049	-0.2156091208	-0.2492485207	-0.1920674892	-0.2048709780	-0.2432060194	-0.2198446781	-0.2385020532	-0.2349622557	-0.2350123023	-0.3055020180	-0.2299393083	-0.2440821631	-0.3368206237	-0.2673436745	-0.3016077476	-0.3337248998	-0.2930173285	-0.3973188891	-0.3686504715	-0.3764915407	-0.4330921753	-0.3442568767	-0.3312334333	-0.3545408364	-0.3278261414	-0.3969175273	-0.3494208340	-0.3379974072	-0.3923504195	-0.3492175215	-0.4018185747	-0.3864603973	-0.3685313716	-0.4579982396	-0.3748292951	-0.3611166536	-0.4437118819	-0.3319912677	-0.4067455718	-0.4953944893	-0.3691441045	-0.4594253973	-0.4141542484	-0.3424206992	-0.4646337003	-0.3620097066	-0.4385791502	-0.5041047979	-0.4291075499	-0.4919377760	-0.4341995963	-0.4123947124	-0.4877103319	-0.3938209413	-0.5167561123	-0.5407701329	-0.4531266335	-0.6052998679	-0.4849447212	-0.4623616800	-0.5692024073	-0.4777393454	-0.5487318902	-0.5950606912	-0.4853958693	-0.6357622527	-0.5477678600	-0.4936604495	-0.6334708363	-0.5442609292	-0.6976339095	-0.7434226640	-0.6220813373	15	1052	44.5000000000	21	5377.1700000000	0	2017-198	19:31:29.777
0250	0.1280000000	0.0000000000	-0.4726686839	-0.3782916096	-0.4322573756	-0.3643376420	-0.3562731677	-0.3458188468	-0.3249761678	-0.3802671358	-0.2955172816	-0.2983222199	-0.4073437688	-0.3540562203	-0.3719716304	-0.3781417669	-0.3331364791	-0.3978138088	-0.3136203905	-0.3107554582	-0.3941357904	-0.3260448279	-0.3335748779	-0.3055227623	-0.2615724701	-0.2924916646	-0.2283393528	-0.2025091809	-0.2416406859	-0.2115871311	-0.2145571065	-0.2125635457	-0.1983505775	-0.2397280626	-0.1985269479	-0.1855757968	-0.2532623445	-0.2310585701	-0.2466873498	-0.2678561822	-0.2264748795	-0.2853078766	-0.2374665931	-0.2210641749	-0.2915848438	-0.2379793093	-0.2940288805	-0.3280128387	-0.2616396436	-0.3115129198	-0.2806731732	-0.2510534463	-0.2900515729	-0.2292598517	-0.2631822062	-0.2941330838	-0.2395735456	-0.2692903805	-0.2366985433	-0.1979945027	-0.2452140971	-0.1914870670	-0.2305277919	-0.2685560464	-0.2144604593	-0.2694808058	-0.2226488899	-0.1790825365	-0.2272271696	-0.1999165055	-0.2302976041	-0.2563968796	-0.2017149497	-0.2721672999	-0.2526146019	-0.2344060119	-0.2827489881	-0.2528592239	-0.3069632863	-0.3271498032	-0.2610598587	-0.3646362482	-0.3408839048	-0.2861471284	-0.4223446467	-0.3791268642	-0.3993713010	-0.3851893494	-0.2556321361	-0.3792110540	-0.3691051371	-0.3191698333	-0.3874651426	-0.3427089112	-0.3804067233	-0.4263830720	-0.3300967338	-0.4441309809	-0.4167547053	-0.3535326607	-0.3998520291	-0.3598588062	-0.4335974939	-0.4250903332	-0.3372384172	-0.4785174446	-0.4279647678	-0.3754380185	-0.4523488174	-0.3953878479	-0.4646337003	-0.4369419491	-0.3591822331	-0.4986690464	-0.4222288201	-0.3831676986	-0.4809555203	-0.4628225719	-0.4716063574	-0.4579439158	-0.4120110211	-0.5407701329	-0.5051047861	-0.4209927397	-0.5780434455	-0.5671584486	-0.5692024073	-0.5341083587	-0.4567902676	-0.6144317870	-0.5284479326	-0.5293569932	-0.6600955515	-0.6350534968	-0.6745810265	-0.6306777107	-0.5487652027	-0.7050249368	-0.6594082375	15	1053	48.0000000000	22	5379.3700000000	0	2017-198	19:31:31.867
0250	0.1280000000	0.0000000000	-0.5333073648	-0.4616347658	-0.4010157787	-0.4498086204	-0.3374657116	-0.3136238338	-0.3507826908	-0.2735458543	-0.3472782315	-0.3433727209	-0.3043113485	-0.4133298033	-0.3305578328	-0.3351612076	-0.4154177217	-0.3067957777	-0.3969438891	-0.4182316252	-0.3198941457	-0.3740317165	-0.3057355438	-0.2519761704	-0.3030931718	-0.2191510184	-0.2480826011	-0.2663696879	-0.2128272014	-0.2408896391	-0.2036321583	-0.1748832056	-0.2090804590	-0.1702176075	-0.2191126302	-0.2416467094	-0.2101427287	-0.2628429738	-0.2139571720	-0.2051581499	-0.2753696313	-0.2149293805	-0.2690583061	-0.3017568015	-0.2407942017	-0.3053202031	-0.2666302853	-0.2287695615	-0.3005964012	-0.2407803996	-0.2823903066	-0.2977376925	-0.2261478186	-0.3006842471	-0.2886201906	-0.2245184682	-0.2635344943	-0.2070361832	-0.2537414272	-0.2543565392	-0.1830163871	-0.2771593112	-0.2407469342	-0.2036621822	-0.2373778749	-0.1815449639	-0.2402483127	-0.2359169837	-0.1765972298	-0.2664479937	-0.2453574220	-0.2008375333	-0.2422558393	-0.2179099438	-0.2470138702	-0.2749142014	-0.2290875393	-0.3011330586	-0.2961060727	-0.2654747329	-0.3296050994	-0.2978278501	-0.3544114156	-0.3580157414	-0.3386816295	-0.4924457753	-0.4081137499	-0.3260646666	-0.3669340458	-0.2795022580	-0.3542870361	-0.3647077683	-0.2848607953	-0.4475398751	-0.3995166372	-0.3226918635	-0.4236998143	-0.3840063299	-0.4229371839	-0.4194454665	-0.3347929207	-0.4466502734	-0.4007257327	-0.3115859930	-0.4324889625	-0.4343774816	-0.4606429140	-0.4305547358	-0.3575209219	-0.4721902137	-0.4233571898	-0.3459527974	-0.4587648071	-0.4307221529	-0.4635011992	-0.4375527373	-0.3619404411	-0.5060464515	-0.4745343528	-0.3878560134	-0.5167561123	-0.4881288336	-0.5114051683	-0.5139476391	-0.4473785694	-0.5704853302	-0.5204376516	-0.5170268395	-0.5938353277	-0.5616015257	-0.6342842550	-0.5568755948	-0.4878597578	-0.6503392316	-0.5825725055	-0.5744063181	-0.7245129815	-0.6346291035	-0.7208878380	15	1060	46.5000000000	23	5381.4000000000	0	2017-198	19:31:33.957
0250	0.1280000000	0.0000000000	-0.5251129484	-0.3470379260	-0.4594239815	-0.3957607958	-0.3186582554	-0.3780138599	-0.2894921987	-0.3631917307	-0.3451215252	-0.2411849991	-0.3982859736	-0.4005453050	-0.3293745814	-0.3853051935	-0.3271740702	-0.3741727617	-0.3830566393	-0.2926542090	-0.3886768459	-0.3489950790	-0.2818732575	-0.3074015901	-0.2333030561	-0.2774901688	-0.2544004405	-0.1934935799	-0.2618101250	-0.2122848098	-0.1790510248	-0.2159278618	-0.1842676080	-0.2167828638	-0.2246021455	-0.1890802289	-0.2719475113	-0.2502770468	-0.1804658273	-0.2694236330	-0.2497199255	-0.2468452101	-0.2798659974	-0.2353534942	-0.2907383331	-0.2703711316	-0.2015586218	-0.2917674679	-0.2884765210	-0.2864977602	-0.2849660066	-0.2476582284	-0.3169584167	-0.2533448222	-0.1999975355	-0.2844194165	-0.2523527183	-0.2543178520	-0.2506427210	-0.1949479061	-0.2587027572	-0.2321075276	-0.1830817740	-0.2462037154	-0.2280676748	-0.2297678450	-0.2465841049	-0.2008339916	-0.2469165906	-0.2239810863	-0.1872695529	-0.2410449550	-0.2332467527	-0.2566651982	-0.2590154381	-0.2401928961	-0.3117091351	-0.2756795822	-0.2626296640	-0.3271498032	-0.3045040253	-0.3187677958	-0.3575331488	-0.3333109057	-0.4423238747	-0.4344686580	-0.3519122928	-0.3829153231	-0.3238833072	-0.3031445498	-0.3648713940	-0.3558223176	-0.3978408631	-0.3591991752	-0.3421868955	-0.4046802609	-0.3787217107	-0.3790981951	-0.4031532522	-0.3759181419	-0.4423906769	-0.3762108218	-0.3615324791	-0.4416696188	-0.3861508593	-0.4162022027	-0.4201220127	-0.3872487436	-0.4602511421	-0.4165747074	-0.4246886901	-0.4596892371	-0.4197392038	-0.4443115316	-0.4497437395	-0.4305802964	-0.4710375970	-0.4397698362	-0.4540383852	-0.5071545707	-0.4909493507	-0.5376735858	-0.4940791174	-0.4706755308	-0.5372106717	-0.5139283439	-0.5725654939	-0.6041425874	-0.5522013854	-0.6320418740	-0.5894383557	-0.5128458323	-0.5571285009	-0.5911070091	-0.6413013487	-0.6708715626	-0.6666195956	-0.7434226640	-0.7450405382	15	1059	47.0000000000	24	5383.5000000000	0	2017-198	19:31:36.017
0250	0.1280000000	0.0000000000	-0.4988908162	-0.4571699539	-0.4064490999	-0.4259270235	-0.3515713037	-0.2947508951	-0.3593848651	-0.2991589618	-0.3160059909	-0.3576570261	-0.3314847341	-0.4121675762	-0.3636888709	-0.2993440748	-0.3939530498	-0.3339829818	-0.3298221819	-0.3752411584	-0.3220777234	-0.3145697024	-0.3256207825	-0.2660673788	-0.2845413689	-0.2483205936	-0.2314982726	-0.2505923862	-0.2171492241	-0.2297267789	-0.2063633953	-0.1923776492	-0.2211515757	-0.1958622414	-0.2005855161	-0.2332360725	-0.2022374658	-0.2340152589	-0.2200465074	-0.2176977564	-0.2745680780	-0.2443901463	-0.2532624496	-0.2765403557	-0.2407942017	-0.2754856299	-0.2700551097	-0.2451662769	-0.2806851695	-0.2537192752	-0.2695118064	-0.2799127985	-0.2597813735	-0.2832434064	-0.2541558247	-0.2277563573	-0.2595410029	-0.2180685726	-0.2413466026	-0.2513099426	-0.2197355171	-0.2542641425	-0.2312577306	-0.1971727958	-0.2101634438	-0.2155846447	-0.2472880818	-0.2415302624	-0.2159760719	-0.2459223218	-0.2195405913	-0.1949891811	-0.2137270651	-0.2210103642	-0.2814183649	-0.2683006195	-0.2571959172	-0.2993776465	-0.2861536269	-0.2626713207	-0.2967806179	-0.2928421488	-0.3637766153	-0.3669993180	-0.3611582610	-0.4726808490	-0.3793885607	-0.3090094696	-0.3259833432	-0.3062283270	-0.3680467014	-0.3791466258	-0.3494208340	-0.4298717351	-0.3971278980	-0.3528346567	-0.3896623305	-0.3582386223	-0.4080992351	-0.3821363312	-0.3498065611	-0.4277825631	-0.3691182701	-0.3613238500	-0.4118942500	-0.4071145632	-0.4514930331	-0.4003717716	-0.3785937876	-0.5145639327	-0.4300146915	-0.3700381611	-0.4331963084	-0.3981076440	-0.4304832959	-0.4124519502	-0.4058626727	-0.5463887391	-0.4657503667	-0.4102244929	-0.4909493507	-0.4664530045	-0.5303063147	-0.4867022376	-0.4653449898	-0.6420132834	-0.5338899980	-0.5033616242	-0.5938353277	-0.5492744648	-0.6145520593	-0.5421990073	-0.5121974243	-0.6828214182	-0.5336318029	-0.5904838588	-0.7555272954	-0.6687604166	-0.7384534381	15	1054	46.0000000000	25	5385.5400000000	0	2017-198	19:31:38.029
0250	0.1280000000	0.0000000000	-0.5628072635	-0.4259162703	-0.4050907696	-0.4234131712	-0.3398166436	-0.3891155885	-0.3228256242	-0.2767474927	-0.3537483502	-0.3093101470	-0.3348814073	-0.3749763084	-0.3447568491	-0.3829173846	-0.3617560418	-0.3150701441	-0.3749557436	-0.3379073319	-0.3264448790	-0.3396063399	-0.3067298058	-0.3027045207	-0.2668729852	-0.2333190978	-0.2630874697	-0.2160325824	-0.2178695612	-0.2436803541	-0.2104602509	-0.2065077768	-0.2084098414	-0.1951873826	-0.2204850090	-0.2101068211	-0.2115800492	-0.2436244972	-0.2291805105	-0.2451281455	-0.2401012858	-0.2419350825	-0.2698896669	-0.2395562352	-0.2678825441	-0.2831573773	-0.2726237280	-0.3081641833	-0.2832822867	-0.2485437250	-0.2866831399	-0.2552974687	-0.2572588569	-0.2707856630	-0.2295384205	-0.2512310533	-0.2339826576	-0.2078242111	-0.2212050125	-0.2307454158	-0.2482115771	-0.2476171580	-0.2290679144	-0.2317828567	-0.2259191671	-0.2170029647	-0.2163130977	-0.2162705081	-0.2525421395	-0.2430911947	-0.2188234571	-0.2563968796	-0.2430065965	-0.2055082624	-0.2494141838	-0.2567268510	-0.2810454500	-0.3002553526	-0.2698678064	-0.3103293295	-0.3025731735	-0.2709050628	-0.3179911944	-0.3333109057	-0.4086089275	-0.4357863198	-0.3918777734	-0.3874633757	-0.3228332891	-0.3000607726	-0.3320598846	-0.3458261855	-0.3851594269	-0.3815788191	-0.3648799183	-0.4492915948	-0.3787217107	-0.3361520158	-0.3920247906	-0.3547762986	-0.3885917988	-0.3825000585	-0.3590038821	-0.4850308274	-0.4028840632	-0.3616763660	-0.4227362644	-0.3951225604	-0.4141542484	-0.3980362054	-0.4220256895	-0.4944792068	-0.4170477829	-0.3763646380	-0.4442407556	-0.4040850212	-0.4880397512	-0.4484146121	-0.4189024409	-0.5697863133	-0.4621064995	-0.4370358078	-0.5255810281	-0.4690728601	-0.5110776965	-0.5089380216	-0.4868067855	-0.6024344355	-0.5469971426	-0.5034882384	-0.5858506837	-0.5733867558	-0.6076759621	-0.5834641417	-0.5904030180	-0.7090557219	-0.5735766538	-0.6303626893	-0.7889545385	15	1052	47.5000000000	26	5387.5800000000	0	2017-198	19:31:40.182
0250	0.1280000000	0.0000000000	-0.5890293958	-0.4512168713	-0.3154409700	-0.4309547281	-0.3703787598	-0.3424883283	-0.3808903010	-0.3055622387	-0.3774721189	-0.3279896230	-0.2499645773	-0.3726518542	-0.3494898545	-0.3100892147	-0.3939530498	-0.3753548141	-0.3853711809	-0.3390386600	-0.2893240567	-0.3489950790	-0.3136896393	-0.2698250344	-0.2907253032	-0.2599884236	-0.2757231486	-0.2182864826	-0.1796916943	-0.2394942815	-0.2138742972	-0.1896861964	-0.2359051627	-0.2255560281	-0.2314640396	-0.2276289813	-0.1849896195	-0.2443636693	-0.2329863451	-0.2161303056	-0.2617432251	-0.2476635647	-0.2690583061	-0.2756998075	-0.2264035198	-0.2788952954	-0.2674864914	-0.2520701571	-0.2928050497	-0.2606200089	-0.2969859400	-0.2637855134	-0.2320336907	-0.2857349551	-0.2492323439	-0.2293753018	-0.2795084601	-0.2196446283	-0.2258530718	-0.2391235564	-0.2197355171	-0.2490942657	-0.2100895073	-0.2043832252	-0.2517012597	-0.2184212847	-0.2170170746	-0.2366186435	-0.2216016207	-0.2445067582	-0.2188234571	-0.2191136341	-0.2505141686	-0.2380626761	-0.2598155427	-0.2542467578	-0.2580476862	-0.3002553526	-0.2798202522	-0.2757539113	-0.3353976549	-0.2948364293	-0.3408839048	-0.3467862706	-0.3536660505	-0.4305156728	-0.3956245372	-0.3601750605	-0.3627339737	-0.3237030645	-0.3542870361	-0.3547116363	-0.3252108195	-0.3568434232	-0.3577137006	-0.4119145313	-0.4188373166	-0.3717359929	-0.4254101754	-0.3846236068	-0.3498065611	-0.3850157532	-0.3767040611	-0.4352929705	-0.4286274539	-0.3902375185	-0.4593357882	-0.4200563135	-0.3509356514	-0.4165747074	-0.4193626888	-0.4596892371	-0.4681847804	-0.4334400286	-0.4635011992	-0.4431306900	-0.4030289804	-0.4224802843	-0.4555023829	-0.4967159470	-0.4970215299	-0.4788391925	-0.5618082253	-0.5011262737	-0.4539118132	-0.5422068370	-0.5019406753	-0.5648550933	-0.5539361330	-0.5404694213	-0.6970685140	-0.5623793152	-0.4766269886	-0.6006605934	-0.6099792990	-0.6266583256	-0.6169966933	-0.6580943812	-0.8065201387	15	1063	48.0000000000	27	5389.7100000000	0	2017-198	19:31:42.225
0250	0.1280000000	0.0000000000	-0.5710016799	-0.4274045409	-0.4444823482	-0.4020454266	-0.3304129155	-0.3991071443	-0.3282019832	-0.2906212593	-0.3731587064	-0.3268908303	-0.3756414857	-0.3703273999	-0.3388405923	-0.4139588997	-0.3462537787	-0.3280727200	-0.3749557436	-0.3220687389	-0.3602903347	-0.3594270112	-0.3067298058	-0.3308869375	-0.2571553742	-0.2191510184	-0.2417647616	-0.1829753787	-0.2358779890	-0.2457733904	-0.1940728286	-0.2374594847	-0.2057273710	-0.1749416190	-0.2287192820	-0.1841740240	-0.2295465558	-0.2657996625	-0.2154795059	-0.2702073584	-0.2328873060	-0.2059274798	-0.2798659974	-0.2277885605	-0.2831197368	-0.3087298687	-0.2717675219	-0.3245608986	-0.2815508753	-0.2450933581	-0.2901174066	-0.2315309434	-0.2875290563	-0.2882265037	-0.2262561000	-0.2997993898	-0.2419696405	-0.2054601276	-0.2661362518	-0.2155124330	-0.2399685071	-0.2461400504	-0.1874614064	-0.2534141448	-0.2388102134	-0.1815449639	-0.2296886590	-0.1994306719	-0.2272271696	-0.2253966499	-0.1858352845	-0.2666314961	-0.2460096253	-0.2225605743	-0.2678165879	-0.2302725232	-0.2887113713	-0.2633916970	-0.2382009334	-0.3374289815	-0.3238125438	-0.2958335696	-0.3773041260	-0.3355567998	-0.4260907520	-0.4357863198	-0.3131957335	-0.3988335070	-0.3406835954	-0.2949211440	-0.3511117287	-0.3347193721	-0.3897708582	-0.3980690831	-0.3314375690	-0.4312059189	-0.3896623305	-0.3717359929	-0.4427211157	-0.3833799690	-0.4298793099	-0.4013677688	-0.3134891359	-0.4314669815	-0.4041712328	-0.3525887265	-0.4554144106	-0.4463023693	-0.4365441682	-0.4020087415	-0.3714286766	-0.4503227067	-0.4291591770	-0.3831593274	-0.4635011992	-0.4640480126	-0.4993745206	-0.4628225719	-0.4042624640	-0.4832948593	-0.4772869475	-0.4587116369	-0.5618082253	-0.5299743459	-0.5682435798	-0.5155917847	-0.4128188803	-0.5306920549	-0.5522013854	-0.5369474038	-0.6289027470	-0.5898979167	-0.6600955515	-0.6121248945	-0.5199284062	-0.6005323218	-0.6252671770	-0.6196966540	-0.7626061383	15	1051	45.5000000000	28	5391.7600000000	0	2017-198	19:31:44.238
0250	0.1280000000	0.0000000000	-0.5382240146	-0.4586582245	-0.3697741819	-0.3593099374	-0.3409921096	-0.3646917855	-0.3712128549	-0.3258392822	-0.3634535283	-0.3367799646	-0.3099724705	-0.3575429016	-0.3577726141	-0.3602332005	-0.3891831227	-0.3387111912	-0.3518103273	-0.3458266285	-0.3209859346	-0.3281312144	-0.3077240677	-0.2717038622	-0.2827745305	-0.2458203443	-0.2425544916	-0.2408254851	-0.2041831561	-0.2255407063	-0.1995353027	-0.2017977342	-0.2198103405	-0.1992365353	-0.2355811761	-0.2213210036	-0.2051121069	-0.2569295964	-0.2208076743	-0.2161303056	-0.2449106056	-0.2370249548	-0.2582506148	-0.2723376147	-0.2441802445	-0.2908291247	-0.2828982012	-0.2468922469	-0.2599082322	-0.2588948255	-0.2935516733	-0.2773663851	-0.2387604017	-0.2815823739	-0.2615410460	-0.2293753018	-0.2419696405	-0.2330411011	-0.2793057530	-0.2551181883	-0.2182367771	-0.2616496808	-0.2327176081	-0.2022200964	-0.2180413055	-0.2063655645	-0.2388403588	-0.2317070246	-0.1962866509	-0.2430911947	-0.2188234571	-0.2008375333	-0.2144778224	-0.2287614150	-0.2686166925	-0.2377128029	-0.2512335340	-0.3318527716	-0.2644391996	-0.2701470867	-0.3122274327	-0.2988249904	-0.3596143043	-0.3108519641	-0.3599095592	-0.4792691577	-0.3868820884	-0.3146945353	-0.3354335053	-0.3052004013	-0.3574623435	-0.3080630199	-0.3367393978	-0.4616743871	-0.3660742879	-0.3516289450	-0.4066810724	-0.3987307342	-0.4427211157	-0.3510453851	-0.3610667914	-0.4630022889	-0.3767040611	-0.3842797839	-0.4376376406	-0.4162022027	-0.4371146487	-0.3780626241	-0.3601550301	-0.4642451413	-0.4113736868	-0.4115185097	-0.4547276758	-0.4252864014	-0.4428650096	-0.4124519502	-0.4228648269	-0.5031648595	-0.4276864270	-0.4713650035	-0.5425628740	-0.4695495515	-0.5492074611	-0.5043316151	-0.4784114774	-0.5621681263	-0.4430866597	-0.5494817260	-0.6354692700	-0.5580795083	-0.6576041226	-0.5697176089	-0.5234301935	-0.6618035328	-0.5120978937	-0.6346970959	-0.7617301582	-0.6367623105	-0.7779760384	15	1053	48.5000000000	29	5393.8100000000	0	2017-198	19:31:46.297
