SN	INTTIME(LI)	SAMPLE(DELAY)	LI(348.08)	LI(351.41)	LI(354.74)	LI(358.07)	LI(361.40)	LI(364.73)	LI(368.06)	LI(371.39)	LI(374.72)	LI(378.06)	LI(381.39)	LI(384.72)	LI(388.06)	LI(391.39)	LI(394.73)	LI(398.07)	LI(401.40)	LI(404.74)	LI(408.08)	LI(411.42)	LI(414.76)	LI(418.10)	LI(421.44)	LI(424.78)	LI(428.12)	LI(431.46)	LI(434.80)	LI(438.14)	LI(441.48)	LI(444.83)	LI(448.17)	LI(451.51)	LI(454.86)	LI(458.20)	LI(461.54)	LI(464.89)	LI(468.23)	LI(471.58)	LI(474.92)	LI(478.27)	LI(481.62)	LI(484.96)	LI(488.31)	LI(491.66)	LI(495.00)	LI(498.35)	LI(501.70)	LI(505.04)	LI(508.39)	LI(511.74)	LI(515.09)	LI(518.43)	LI(521.78)	LI(525.13)	LI(528.48)	LI(531.83)	LI(535.17)	LI(538.52)	LI(541.87)	LI(545.22)	LI(548.57)	LI(551.92)	LI(555.26)	LI(558.61)	LI(561.96)	LI(565.31)	LI(568.66)	LI(572.01)	LI(575.35)	LI(578.70)	LI(582.05)	LI(585.40)	LI(588.74)	LI(592.09)	LI(595.44)	LI(598.79)	LI(602.13)	LI(605.48)	LI(608.83)	LI(612.17)	LI(615.52)	LI(618.86)	LI(622.21)	LI(625.55)	LI(628.90)	LI(632.24)	LI(635.59)	LI(638.93)	LI(642.28)	LI(645.62)	LI(648.96)	LI(652.31)	LI(655.65)	LI(658.99)	LI(662.33)	LI(665.67)	LI(669.01)	LI(672.35)	LI(675.69)	LI(679.03)	LI(682.37)	LI(685.71)	LI(689.05)	LI(692.39)	LI(695.72)	LI(699.06)	LI(702.39)	LI(705.73)	LI(709.06)	LI(712.40)	LI(715.73)	LI(719.07)	LI(722.40)	LI(725.73)	LI(729.06)	LI(732.39)	LI(735.72)	LI(739.05)	LI(742.38)	LI(745.71)	LI(749.03)	LI(752.36)	LI(755.69)	LI(759.01)	LI(762.34)	LI(765.66)	LI(768.98)	LI(772.30)	LI(775.63)	LI(778.95)	LI(782.27)	LI(785.58)	LI(788.90)	LI(792.22)	LI(795.53)	LI(798.85)	LI(802.16)	DARK_SAMP(LI)	DARK_AVE(LI)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0250	0.0640000000	0.0000000000	8.7109628363	9.3636571802	9.2007127530	9.2714291789	10.0124055173	10.7986514391	11.4081455371	11.0065542247	10.7575537028	10.8593683214	10.0841045308	9.4334813902	10.1845662956	10.0485515148	10.4810466926	12.7365077067	14.7528883319	15.6311482020	15.7326779488	15.9805831949	16.1875785011	15.8831836175	15.5957215203	15.1399179460	14.2433541986	14.2182864533	14.9405768693	15.5522740217	16.0730200697	16.4745054409	16.9441285781	17.0803695320	16.8647269164	16.8229937591	16.6752048685	16.1884753310	15.8199548298	15.6482172080	15.5652915561	15.5967978549	15.0099943526	14.3414332787	13.9497260410	13.9230588404	13.8475770821	13.4675871360	13.0665691564	12.9196640077	12.7189629850	12.4268828873	11.9248525490	11.5441007987	11.5968865611	11.6315273006	11.5173012263	11.4741152216	11.2195706038	11.0378879134	10.7965827528	10.5889815555	10.5274421555	10.3549624852	10.1474663930	9.8956188541	9.6074925229	9.4117465660	9.1891427957	8.9811068330	8.8807947027	8.7392994891	8.5966475797	8.2918633950	7.7966553657	7.5418891193	7.5024582685	7.4392770398	7.4529831449	7.3597216395	7.1703940469	6.9965703156	6.7687688616	6.6729602873	6.5701016968	6.3017779634	6.1427618126	5.9971234566	6.0303479680	6.0587813492	5.7436504933	5.5503767735	5.3882476998	5.0932418271	4.9984368512	4.8261360863	4.9365413731	5.0923002656	4.7801812299	4.7773775693	4.7953792645	4.5431157000	4.3063144959	3.8965963458	3.6349667560	3.5686095566	3.4471287662	3.5508525201	3.6444072417	3.5498821456	3.5285957294	3.2795032616	2.8585339359	2.4353389691	2.0941357529	2.2095023626	2.4186839467	2.4256463176	2.7109255005	2.7793849814	2.7282027899	2.8820399140	2.6093599655	2.8088983307	2.4600635553	1.4639775896	1.1148632084	1.4222687822	1.8863020854	2.1170529694	1.9603362386	2.2031575898	2.0908264636	1.7373613362	1.8026191968	1.5401560558	1.3753442237	1.4740460857	1.0349739426	15	1046	46.0000000000	149	4977.8500000000	0	2017-198	19:24:50.194
0250	0.0640000000	0.0000000000	8.8420734976	9.1374400418	9.3066625162	9.3744971234	9.7890669759	10.9318721827	11.5479308700	11.0129575016	10.8826426651	10.7363035383	10.0841045308	9.5427307393	9.9597485373	10.1655541485	10.5812151619	12.6253947857	14.8454699970	15.6447241389	15.7807166601	16.0556931074	16.0523588784	15.9921556291	15.6734624086	15.0549094698	14.3002147535	14.2813956603	14.9895597929	15.6318094005	16.0047391433	16.5794721026	17.0339913357	17.0263808289	16.9827514950	16.9085019009	16.6421464964	16.2993511576	15.8443121714	15.7218873959	15.6630810597	15.4445838980	15.0898049960	14.4322124836	13.9226376985	14.0134149765	13.8475770821	13.5504336978	13.1323627913	12.7989011683	12.8219909860	12.4947872454	11.8744022167	11.6271524213	11.6083746831	11.6412409679	11.5923788656	11.4473222759	11.3590123809	11.1231926173	10.7711041727	10.6805622304	10.5405810528	10.3578466569	10.2076246091	9.8275394926	9.6919697523	9.5085756242	9.1469511792	9.0235737404	8.8807947027	8.7217544324	8.6492005847	8.2608591915	7.8414612192	7.6311724757	7.4973476544	7.5498680066	7.4656498941	7.3485079903	7.2611440837	6.9407304605	6.8686643253	6.7762714184	6.4352419078	6.4309088156	6.1427618126	5.9652870889	6.0744487247	5.9518770731	5.8219747416	5.6614449078	5.2314590343	5.1521356270	4.9912706335	4.8092561221	5.1529225203	4.9597806266	4.8049111447	4.8644322184	4.5926951191	4.6185865410	4.4226299584	3.9195522798	3.7791297434	3.5374519356	3.5229420655	3.6112184486	3.4257762604	3.6531680857	3.5845187436	3.2206279282	2.9285108798	2.3293418151	2.1959409547	2.3656850379	2.1183125564	2.4285279096	2.7899813753	2.7465778781	2.8739350907	2.8015296916	2.7196166529	2.7608182103	2.0811354146	1.4506700634	1.1653095074	1.3471100978	1.9487529989	2.1029648998	2.0572033810	2.1517895335	1.7725646709	1.8176114441	2.0140430322	1.4477101964	1.4663195445	1.2905902776	1.0437567426	15	1050	44.5000000000	150	4978.1200000000	0	2017-198	19:24:50.454
0250	0.0640000000	0.0000000000	8.7306294355	9.3368683085	9.3066625162	9.2890261450	9.8454893443	10.7986514391	11.4210487986	11.0556460142	10.7640238215	10.8527755652	10.1814758291	9.5125128342	10.0899061869	10.1034711184	10.5072812917	12.6277588904	14.6741939166	15.7126038233	15.8549583048	16.0473475616	16.2193948829	15.9489425900	15.6699287319	15.1365842803	14.1943909429	14.2904112613	15.0644748526	15.6052976076	16.1085261514	16.5619776590	16.9709532819	17.0709215089	16.9127601751	16.9056983552	16.7068259200	16.2076938076	15.8732365146	15.7673434692	15.6117816480	15.5787940535	15.0449115091	14.4254880980	13.9886655333	13.9026008473	13.9177859823	13.5573375780	13.1063916196	12.9179388243	12.7464371186	12.4693231111	11.9349426154	11.5175242795	11.6756622545	11.6995229717	11.4997298639	11.5497658916	11.3016863170	11.0363646151	10.8460411728	10.5845502325	10.5931366418	10.4530243244	10.1216843005	9.9012921342	9.6426913685	9.4384096400	9.2397727354	8.9627045064	8.9223884855	8.8255626847	8.6041551518	8.3879764258	7.7966553657	7.4922872547	7.5569714864	7.4392770398	7.5000310706	7.5092369612	7.2032185283	7.1022671842	6.7874992610	6.5629114737	6.5326406443	6.1621058172	6.1677402380	6.2336221878	6.0786487967	6.0505579434	5.8389097142	5.4903999811	5.4251391505	5.0390595311	4.8575012363	5.0069928452	4.9486976173	5.0432189178	4.8889928547	4.7674284666	4.7953792645	4.5104116689	4.3290718690	4.0700411802	3.5989260091	3.6257318617	3.6039838683	3.4799881693	3.6259684843	3.4704314225	3.4753357159	3.5390899591	2.7481856782	2.3402133181	2.3527759954	2.1593007884	2.3393405606	2.4919229329	2.6113736581	2.9344731059	2.6887336251	2.7736607685	2.8393239135	2.6197831904	2.3359319230	1.4340356557	1.0778692557	1.6204144050	1.8238511720	2.2262355092	2.3406294645	1.9132949863	1.9710102593	1.8023257092	1.6851615105	1.7973967079	1.3877499492	1.3460536614	1.4828967459	15	1042	46.0000000000	151	4978.3800000000	0	2017-198	19:24:50.864
0250	0.0640000000	0.0000000000	8.8584623303	9.2981732717	9.2197293771	9.3820386803	9.7655576557	10.8697025023	11.6382537005	10.9254460508	10.8265683027	10.8307997110	10.0841045308	9.5892198240	9.9763140564	10.1703297662	10.6432242143	12.5166459693	14.8200100391	15.8076353816	15.7348615266	16.1662715897	16.1875785011	15.9564579012	15.7264675598	15.0032376508	14.2891585345	14.4151270751	14.9679496796	15.6192511828	16.0757513068	16.5619776590	17.0527686283	17.0034356301	16.9786343585	17.0038224523	16.6493330990	16.3111779125	15.8869375192	15.7140501418	15.7063649384	15.4871383376	15.1180712656	14.4977752427	13.9107865487	14.0031859799	13.9571714629	13.4779429563	13.1288999684	12.8817099725	12.8219909860	12.5406226871	11.8693571835	11.6288134538	11.6855092162	11.6072431323	11.5396647784	11.4646588878	11.3357720847	11.1186227224	10.7830940927	10.7174899218	10.6208743138	10.3650570863	10.2047599321	9.9055470943	9.6708504450	9.4889291486	9.1849236340	9.0575472663	8.9482053162	8.7407615772	8.6552066424	8.3414701206	7.8158578744	7.5551162833	7.4649804312	7.5323138849	7.5615552811	7.4195277682	7.2785217504	7.0324673653	6.7979050385	6.7650419477	6.4127652763	6.2938719929	6.2251906164	6.0562481394	6.1269496255	6.0012175082	5.7690529522	5.6081322034	5.3306048081	5.0979533311	5.0151580258	4.9298272947	5.0799850550	5.0284945135	4.8964118291	4.8420467372	4.6402383137	4.6110394569	4.4099869733	4.0292306310	3.7611093700	3.5582236829	3.5543130859	3.5902216039	3.4257762604	3.5048600692	3.5871817443	3.3276739890	2.8612253569	2.3239060637	2.2179528903	2.2597039368	2.2373276356	2.4602254213	2.8134053383	2.8032446928	2.8192854779	2.8510744438	2.8456242956	2.6870953590	2.1562677183	1.5637840359	1.1451309878	1.3778568323	1.8967105710	2.1522731435	2.2007102588	2.0637300083	1.8661710805	1.8367186126	1.7869581720	1.5441754410	1.5490243816	1.3631193180	1.2281955440	15	1057	47.0000000000	152	4978.6600000000	0	2017-198	19:24:51.139
0250	0.0640000000	0.0000000000	8.7535738012	9.4023522170	9.2142960560	9.3041092589	9.9348247608	10.9518552942	11.4941672804	10.9617312865	10.8265683027	10.8747514193	10.0637244916	9.5101883800	10.1325032358	10.2228615609	10.5502106357	12.5379229116	14.8153809559	15.7917967886	15.7370451044	16.1057663824	16.3208095999	16.0109439070	15.6911307923	15.1315837817	14.3412807098	14.3144528639	14.9564242858	15.6652979811	16.1604196554	16.5727434704	17.0353325709	17.1343582350	17.0101990714	16.9113054465	16.6737675480	16.2890027471	15.9539202086	15.6936732814	15.6710965928	15.6409890036	15.1363612047	14.4389368691	13.9378748912	14.0526261299	13.9605962873	13.4330677353	13.1583339630	13.0438772139	12.8357280528	12.5185537707	11.8996273828	11.6038979670	11.6740210942	11.5845779086	11.6211320040	11.6033517829	11.3171798478	11.0972965464	10.8475399128	10.6643140461	10.5653989698	10.3636150004	10.2362713786	9.9509333353	9.6159402458	9.4889291486	9.2439918971	9.0462227577	8.9381654376	8.7188302563	8.7272793349	8.3957274767	7.7678516028	7.6774675494	7.5910422476	7.4392770398	7.5416503894	7.4064451775	7.2920377133	7.1062557453	6.7750123281	6.8211893015	6.5975731353	6.1700117878	6.2201949313	6.1290169798	6.0513483283	6.0423345375	5.7055468049	5.6014681153	5.3997762782	5.0131462591	5.0223242435	4.8647188615	4.9681476081	5.0873921308	4.7851272129	4.9116904564	4.8078906315	4.5305372265	4.5060736597	3.9654641477	3.5062498028	3.6465036090	3.4889567934	3.5823477872	3.6602118910	3.5260469287	3.6164747517	3.3062647768	2.7643342038	2.4924143597	2.1876864789	2.1983464572	2.3591764071	2.4544622373	2.7811973893	2.8658764354	2.7646358651	2.9563570424	2.6534626404	2.6774793349	2.3751313858	1.4107474848	1.1484940744	1.4940111629	1.8099731912	2.3213299794	2.1002554444	2.0710683021	2.2892720520	1.8176114441	1.6538394608	1.6928926930	1.3298565633	1.4100498736	1.1579331435	15	1047	47.0000000000	153	4979.0600000000	0	2017-198	19:24:51.514
0250	0.0640000000	0.0000000000	8.8092958323	9.1939943264	9.2251626983	9.3920940895	9.7114862194	10.8386176622	11.4554574959	10.9254460508	10.8524487776	10.7494890507	10.0795756332	9.5566774647	9.8650884286	10.1082467361	10.6456091778	12.4859126081	14.7528883319	15.6515121073	15.6475184151	16.0619522668	16.0284965921	15.9113660343	15.7229338830	14.9915698208	14.2291390598	14.2257994541	14.8987973168	15.5704136695	15.9692330616	16.4812340731	16.9776594578	16.9521463623	16.8894297351	16.8496274426	16.5860909959	16.1781269205	15.7651508113	15.6936732814	15.6614779531	15.4249433875	15.0565505613	14.3784173992	13.8176703715	13.9060105128	13.7739433575	13.4865728065	13.1375570257	12.7937256180	12.7756283856	12.4964848543	11.7852732963	11.5706773180	11.6313509270	11.5683884631	11.5236908126	11.4189532747	11.2892914924	11.1003431430	10.7666079527	10.6392032159	10.5245224006	10.3535203993	10.1317106698	9.7750616515	9.6511390914	9.4678793534	9.1497639536	9.0306515583	8.8693205557	8.6808159667	8.6582096712	8.2701604525	7.7918547386	7.5947977750	7.4581662790	7.4814069319	7.4457450025	7.3167359845	7.2070802320	6.9507018632	6.7729311726	6.7066486996	6.3952834518	6.3334018456	6.1252769149	6.0403299556	6.0996491571	5.9292627069	5.8092735122	5.6370099183	5.3236876611	5.1167993470	4.8622787147	4.7996104283	5.0653975619	4.8886126723	4.8667359314	4.8843304239	4.7453337965	4.5783354258	4.2784999287	3.8838430492	3.6684331638	3.5088907831	3.6248978819	3.6453383213	3.5680181037	3.6319812262	3.4753357159	3.3624639588	2.8989052497	2.2314982884	2.2922431727	2.3126944874	2.2061570196	2.4803965651	2.6113736581	2.8062271568	2.8800072699	2.6776678110	2.8109721939	2.8441570856	2.2509997535	1.6003797329	1.0913216021	1.3949383515	1.9452835037	1.9585621858	2.2581130098	2.1554586803	1.8362170294	1.9246115880	1.7047377915	1.5682917521	1.4663195445	1.0943352271	1.3248063447	15	1049	46.5000000000	154	4979.8100000000	0	2017-198	19:24:52.216
0250	0.0640000000	0.0000000000	8.6093520738	9.2297128219	9.3745790311	9.1985274621	9.8737005284	10.8874652681	11.3565324911	11.0471083117	10.7575537028	10.7341059528	10.1339224043	9.3288809496	10.0189111053	10.2228615609	10.3928030411	12.6372153092	14.7806628315	15.5632685175	15.8680597715	15.9430282386	16.0603129739	16.0128227348	15.5586179145	15.0699109656	14.2401952788	14.2062656520	14.9866784445	15.4992504358	15.9979110507	16.5552490268	16.9146214040	17.0466265926	16.9004087657	16.7599139825	16.6637063043	16.1929103640	15.8351781683	15.7908552313	15.5107859311	15.4642244086	15.0698523352	14.2641028448	13.9243307199	13.9247636731	13.8013419527	13.5504336978	12.9730729382	12.8472063041	12.8254252527	12.3572809202	11.8643121503	11.5241684093	11.5476517528	11.6104810214	11.4278470178	11.4504743872	11.4178877980	11.0119918425	10.7696054327	10.6185237087	10.4865655863	10.4212984352	10.1016315618	9.8587425333	9.7130890597	9.3612270574	9.1539831153	9.0207426132	8.8047784790	8.7290648727	8.5801309210	8.2701604525	7.8766658184	7.4823668818	7.5126794969	7.5709329526	7.3914589344	7.3559837564	7.1452929728	6.9726389491	6.8582585479	6.6078293568	6.4801951708	6.3544844337	6.0578351663	6.0721663232	5.9862472113	5.9786031421	5.8960652468	5.4615222661	5.3236876611	5.1238666030	4.8312251047	4.8695417084	5.0264975804	4.9426021548	4.8865198632	4.6828610932	4.7203110625	4.6990887714	4.2987287048	3.9756667850	3.6401154341	3.5452413409	3.6248978819	3.4904865916	3.5232382641	3.5551788605	3.4327277051	3.3303501405	2.8020140966	2.3184703122	2.3280125679	2.1258330723	2.2543297898	2.4919229329	2.5820937044	2.8330693321	2.7373110587	2.7643711274	2.8676756331	2.5877297768	2.3097989477	1.6569367192	1.1653095074	1.4564318207	1.7995647056	2.0959208649	2.2042979307	1.9426481613	2.0196855923	1.9666473588	1.7673818909	1.6125049892	1.2760984192	1.2521925503	1.3116321446	15	1049	44.5000000000	155	4980.0700000000	0	2017-198	19:24:52.481
0250	0.0640000000	0.0000000000	8.7437405016	9.1642289135	9.3120958374	9.2085828713	9.8196290921	10.9451942570	11.3909411884	11.0001509478	10.8416652464	10.7494890507	10.1610957899	9.4451036614	9.9360835101	10.1607785308	10.3975729682	12.5473793304	14.8825026631	15.6537747635	15.7872673935	15.9889287407	16.0762211648	15.9733673513	15.5709857831	15.0499089711	14.2970558338	14.2934164616	14.9765937249	15.5257622288	16.0102016174	16.5458289418	16.9105976985	17.0290802641	16.9621658127	16.8061724854	16.6608316632	16.2638708931	15.8595355099	15.6811336749	15.5316263171	15.4953218836	15.1097576569	14.2910003870	13.9107865487	14.0202343075	13.9075115091	13.5262701173	13.0336723389	12.8368552035	12.8048196525	12.3606761381	11.8643121503	11.6288134538	11.5870395995	11.6315273006	11.5045220536	11.4977560560	11.3264759663	10.9236405421	10.7920865327	10.7012417376	10.5055439934	10.3852462885	10.1173872850	9.8601608533	9.6314277379	9.3219341063	9.1596086641	9.0462227577	8.8392009199	8.7392994891	8.6251763538	8.2918633950	7.8094570382	7.4757532998	7.5569714864	7.5200259997	7.3444110087	7.4139209436	7.2399047134	6.9546904243	6.8270412154	6.5786327328	6.5276458373	6.3940142864	6.0278610558	6.1358390586	6.1143494093	5.9601004789	5.8410265858	5.4770718049	5.3490505334	5.1262223550	4.8407800616	5.0166385390	5.0897100503	4.8935208070	4.9112497779	4.7226575042	4.6777724147	4.5959452887	4.2152850035	4.0496359056	3.7327916403	3.4673472884	3.6327406370	3.5298556754	3.4810925328	3.6346295836	3.3581636862	3.3919016255	2.9392765635	2.2912915548	2.3912968826	2.1648787411	2.0956430175	2.5178572607	2.5645257323	2.8569290436	2.9285847035	2.7519849393	2.8960273527	2.5620870459	2.1268681212	1.5837453252	0.8928994927	1.3539427054	2.0944717970	2.0149144644	2.2042979307	2.0013545114	1.8474497986	2.0698260689	1.4972292124	1.4919234335	1.6441349442	1.2521925503	1.3423719449	15	1048	47.5000000000	156	4980.4100000000	0	2017-198	19:24:52.762
0250	0.0640000000	0.0000000000	8.6519630387	9.3428213911	9.2360293407	9.2764568835	9.9630359450	10.8386176622	11.4318015165	11.0535115886	10.8740158401	10.8439852235	10.0320222084	9.4520770241	10.0544086461	10.0795930299	10.5048963282	12.6703127750	14.8686154133	15.7103411672	15.6737213486	15.9868423543	16.2054752158	15.9019718954	15.6434261563	15.1665872719	14.2702050162	14.2813956603	14.9679496796	15.6039022501	16.0962355847	16.4946913374	16.9682708115	17.0979158604	16.9264839633	16.8538327611	16.6680182659	16.2727409592	15.8762811823	15.6623242652	15.6197971811	15.5787940535	15.0299470135	14.4053149414	13.9835864691	14.0014811472	13.9297728677	13.4451495256	13.1566025516	12.9576180429	12.6674489845	12.4625326753	11.9584861038	11.5723383504	11.6559683312	11.6120999659	11.5412621750	11.5481898360	11.2195706038	11.0485510013	10.8805121928	10.6362490006	10.5653989698	10.3794779450	10.1460340546	9.8828539738	9.5821493541	9.4833158699	9.2313344121	8.9584578157	8.9195199488	8.7436857533	8.5996506086	8.3104659171	7.7406480489	7.6278656848	7.5876351715	7.4304999789	7.4927929281	7.4270035342	7.1839100098	7.0444330486	6.7167399742	6.6841897581	6.5800913108	6.2490714932	6.2751474672	6.1267429535	5.9757470312	6.0012175082	5.7902216680	5.5992467526	5.4089991409	5.0060790032	5.0008255904	4.9153587540	4.9025038893	4.9597806266	4.7974921702	4.8121994289	4.7628497103	4.5330529212	4.4302157494	4.0139266750	3.6349667560	3.7373800035	3.5726128479	3.5062342251	3.6101638350	3.4227609886	3.5179437267	3.3704924133	2.7185800481	2.4951322354	2.2014439386	2.1676677174	2.3846796384	2.4054751738	2.7694854078	2.9941223845	2.8132132987	2.9563570424	2.7448181814	2.5749084113	2.4437304458	1.2776722230	0.9803397443	1.4974274667	1.8273206672	2.2086254222	2.1289568199	1.9793396301	2.1544788222	1.7144327339	1.6812462543	1.8054354783	1.4084261585	1.4143162877	1.1667159436	15	1047	46.5000000000	157	4980.6800000000	0	2017-198	19:24:53.027
0250	0.0640000000	0.0000000000	8.6683518714	9.4053287583	9.2142960560	9.1457365637	9.8995607806	10.7942107476	11.5092210855	11.0983345268	10.8050012402	10.8857393464	10.0976912236	9.3916412140	10.1751002848	10.0533271325	10.4452722393	12.6986820315	14.7667755817	15.7035531987	15.7654316156	16.0139653782	16.2074637397	15.9414272789	15.6363588028	15.1665872719	14.2702050162	14.3234684649	15.0414240650	15.5885533173	16.1276448108	16.5525575740	16.9629058708	17.1343582350	16.9264839633	16.8538327611	16.7657560616	16.2816110254	15.9326075347	15.7375619039	15.6294158208	15.6148016562	15.0166452396	14.3767363028	14.0919398389	13.9503361645	13.8989494481	13.5090104169	13.0371351618	12.9696943269	12.6897717180	12.4285804962	12.0122997916	11.5806435127	11.6001688817	11.6606683025	11.5348725887	11.5529180029	11.3016863170	11.0531208962	10.9044920328	10.6318176776	10.5376612978	10.4328351222	10.1073609157	9.8530692531	9.5905970770	9.4566527959	9.2918090624	9.0136647953	8.9023087283	8.8226385086	8.5876384931	8.2918633950	7.7758526480	7.5518094923	7.6319271610	7.4778961076	7.4946024638	7.5447468501	7.2128727875	7.0324673653	6.8728266363	6.6257965101	6.4502263288	6.1752824348	6.1702380805	6.2086078989	6.0534483644	6.0258877258	5.8071566406	5.5370485974	5.3467448178	4.9636754672	5.0008255904	5.0262842328	4.9875975989	5.1119328047	4.8914658462	4.7848393964	4.7803656241	4.5682726470	4.3442434510	4.0011733783	3.6195207216	3.6283283301	3.6065981200	3.5193572531	3.5732863201	3.5578272179	3.4779987166	3.3919016255	2.7939398339	2.4543640993	2.2399648258	2.1342000013	2.3761785613	2.3997119899	2.6757895561	2.9135958583	2.8496463739	2.8479778968	2.6975653154	2.5428549977	2.3816646296	1.4107474848	1.1081370352	1.5589209359	2.0042649220	2.1522731435	2.0751417408	2.0747374490	2.0608724125	1.7029684328	1.7399750974	1.7250477745	1.4621843026	1.3460536614	1.0876707430	15	1043	47.0000000000	158	4980.9600000000	0	2017-198	19:24:53.401
