FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
107	4979.3800000000	-1.3400000000	-3.7100000000	34.3000000000	-124.1000000000	159.1000000000	602.5000000000	119.6000000000	2017-198	19:24:49.964
108	4980.0300000000	-1.5000000000	-3.8000000000	34.3000000000	-122.9000000000	158.2000000000	602.5000000000	119.5000000000	2017-198	19:24:50.614
109	4980.6700000000	-1.3100000000	-3.6800000000	34.4000000000	-121.9000000000	156.7000000000	602.5000000000	119.5000000000	2017-198	19:24:51.249
110	4981.3100000000	-1.3700000000	-3.5100000000	34.4000000000	-123.7000000000	157.8000000000	602.5000000000	120.5000000000	2017-198	19:24:51.919
111	4981.9600000000	-1.4800000000	-3.8900000000	34.4000000000	-124.9000000000	158.9000000000	602.7000000000	119.6000000000	2017-198	19:24:52.543
112	4982.6000000000	-1.2300000000	-3.5100000000	34.3000000000	-123.3000000000	156.0000000000	602.3000000000	120.4000000000	2017-198	19:24:53.230
113	4983.2400000000	-1.5000000000	-3.8600000000	34.3000000000	-122.9000000000	157.5000000000	602.1000000000	119.4000000000	2017-198	19:24:53.823
114	4983.8900000000	-1.5300000000	-3.8900000000	34.3000000000	-122.7000000000	158.9000000000	602.3000000000	119.0000000000	2017-198	19:24:54.493
115	4984.5300000000	-1.2600000000	-4.0900000000	34.4000000000	-124.3000000000	157.8000000000	602.9000000000	118.6000000000	2017-198	19:24:55.117
116	4985.1700000000	-1.3500000000	-3.5100000000	34.3000000000	-123.5000000000	156.6000000000	602.5000000000	120.5000000000	2017-198	19:24:55.773
117	4985.8100000000	-1.4900000000	-3.6800000000	34.3000000000	-122.7000000000	159.3000000000	602.8000000000	119.6000000000	2017-198	19:24:56.397
118	4986.4600000000	-1.5000000000	-3.9900000000	34.3000000000	-124.7000000000	158.7000000000	602.5000000000	119.3000000000	2017-198	19:24:57.052
119	4987.1000000000	-0.9700000000	-3.5000000000	34.3000000000	-123.7000000000	155.3000000000	602.8000000000	120.2000000000	2017-198	19:24:57.723
120	4987.7400000000	-1.4900000000	-3.5400000000	34.3000000000	-122.7000000000	158.4000000000	602.3000000000	120.2000000000	2017-198	19:24:58.331
121	4988.3800000000	-1.1300000000	-3.6900000000	34.3000000000	-123.9000000000	157.1000000000	602.1000000000	119.6000000000	2017-198	19:24:58.971
122	4989.0300000000	-1.3100000000	-3.8400000000	34.3000000000	-124.5000000000	156.4000000000	602.5000000000	119.8000000000	2017-198	19:24:59.610
123	4989.6700000000	-1.4900000000	-3.9300000000	34.3000000000	-124.7000000000	158.2000000000	602.5000000000	119.6000000000	2017-198	19:25:00.250
124	4990.3100000000	-1.3400000000	-3.5500000000	34.3000000000	-124.1000000000	157.3000000000	602.5000000000	120.5000000000	2017-198	19:25:00.905
125	4990.9600000000	-1.1400000000	-3.6000000000	34.3000000000	-125.3000000000	155.5000000000	602.5000000000	120.6000000000	2017-198	19:25:01.529
126	4991.6000000000	-1.4400000000	-3.9800000000	34.3000000000	-125.1000000000	156.9000000000	602.3000000000	119.7000000000	2017-198	19:25:02.184
127	4992.2400000000	-1.6600000000	-3.6800000000	34.4000000000	-123.1000000000	157.1000000000	602.5000000000	120.4000000000	2017-198	19:25:02.824
128	4992.8800000000	-1.3700000000	-3.8800000000	34.3000000000	-125.7000000000	156.0000000000	602.5000000000	120.2000000000	2017-198	19:25:03.557
129	4993.5300000000	-1.4300000000	-3.6800000000	34.3000000000	-124.7000000000	156.0000000000	602.3000000000	120.7000000000	2017-198	19:25:04.103
130	4994.1700000000	-1.5600000000	-3.8900000000	34.3000000000	-124.7000000000	158.0000000000	602.5000000000	119.8000000000	2017-198	19:25:04.758
131	4994.8200000000	-1.3700000000	-3.6900000000	34.3000000000	-124.7000000000	155.3000000000	602.5000000000	120.6000000000	2017-198	19:25:05.460
132	4995.4600000000	-1.4400000000	-3.6800000000	34.4000000000	-124.1000000000	154.9000000000	602.5000000000	120.7000000000	2017-198	19:25:06.053
133	4996.1000000000	-1.6300000000	-3.8000000000	34.3000000000	-124.7000000000	157.1000000000	602.5000000000	120.4000000000	2017-198	19:25:06.693
134	4996.7400000000	-1.4300000000	-3.8500000000	34.4000000000	-126.1000000000	156.9000000000	602.7000000000	120.3000000000	2017-198	19:25:07.395
