SN	INTTIME(LT)	SAMPLE(DELAY)	LT(348.18)	LT(351.52)	LT(354.85)	LT(358.19)	LT(361.52)	LT(364.86)	LT(368.20)	LT(371.54)	LT(374.88)	LT(378.22)	LT(381.56)	LT(384.90)	LT(388.24)	LT(391.58)	LT(394.92)	LT(398.27)	LT(401.61)	LT(404.95)	LT(408.30)	LT(411.64)	LT(414.99)	LT(418.34)	LT(421.68)	LT(425.03)	LT(428.38)	LT(431.72)	LT(435.07)	LT(438.42)	LT(441.77)	LT(445.12)	LT(448.47)	LT(451.82)	LT(455.17)	LT(458.52)	LT(461.87)	LT(465.22)	LT(468.58)	LT(471.93)	LT(475.28)	LT(478.63)	LT(481.99)	LT(485.34)	LT(488.69)	LT(492.05)	LT(495.40)	LT(498.76)	LT(502.11)	LT(505.47)	LT(508.82)	LT(512.17)	LT(515.53)	LT(518.88)	LT(522.24)	LT(525.60)	LT(528.95)	LT(532.31)	LT(535.66)	LT(539.02)	LT(542.37)	LT(545.73)	LT(549.09)	LT(552.44)	LT(555.80)	LT(559.15)	LT(562.51)	LT(565.87)	LT(569.22)	LT(572.58)	LT(575.93)	LT(579.29)	LT(582.64)	LT(586.00)	LT(589.35)	LT(592.71)	LT(596.06)	LT(599.42)	LT(602.77)	LT(606.13)	LT(609.48)	LT(612.84)	LT(616.19)	LT(619.55)	LT(622.90)	LT(626.25)	LT(629.61)	LT(632.96)	LT(636.31)	LT(639.67)	LT(643.02)	LT(646.37)	LT(649.72)	LT(653.07)	LT(656.42)	LT(659.77)	LT(663.12)	LT(666.47)	LT(669.82)	LT(673.17)	LT(676.52)	LT(679.87)	LT(683.22)	LT(686.56)	LT(689.91)	LT(693.26)	LT(696.60)	LT(699.95)	LT(703.30)	LT(706.64)	LT(709.98)	LT(713.33)	LT(716.67)	LT(720.01)	LT(723.35)	LT(726.70)	LT(730.04)	LT(733.38)	LT(736.72)	LT(740.06)	LT(743.39)	LT(746.73)	LT(750.07)	LT(753.41)	LT(756.74)	LT(760.08)	LT(763.41)	LT(766.74)	LT(770.08)	LT(773.41)	LT(776.74)	LT(780.07)	LT(783.40)	LT(786.73)	LT(790.06)	LT(793.39)	LT(796.71)	LT(800.04)	LT(803.36)	DARK_SAMP(LT)	DARK_AVE(LT)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0251	1.0240000000	0.0000000000	0.3429402781	0.3528431595	0.3367285795	0.3305704314	0.3470403507	0.3777259680	0.3917404173	0.3926648284	0.3994921006	0.4019484804	0.4000113921	0.3892565891	0.4132093817	0.4242631175	0.4393984602	0.5142516937	0.5872190092	0.6094082164	0.6164196176	0.6339269222	0.6437083381	0.6462834702	0.6487047462	0.6364073604	0.6214792488	0.6403562700	0.6885030894	0.7364706259	0.7811421910	0.8350123161	0.8888825420	0.9295850436	0.9554490764	0.9863820544	1.0102176086	1.0226532126	1.0405560818	1.0669917561	1.1058718562	1.1409752946	1.1450201451	1.1317691987	1.1466097600	1.1841705996	1.2117150583	1.2248354308	1.2236670735	1.2447254976	1.2728952069	1.2637429446	1.2445066100	1.2546387275	1.2936708449	1.3349598497	1.3640136361	1.3890718116	1.3964604917	1.3927031425	1.3948942054	1.4079193853	1.4168047822	1.4221656227	1.4195555245	1.4114339167	1.4043078310	1.4030824638	1.3848301081	1.3687563698	1.3588280724	1.3352771167	1.2993824162	1.2311837542	1.1415475559	1.0720046276	1.0305625906	0.9781000007	0.9399799711	0.9103774656	0.8804405595	0.8539917575	0.8322461698	0.8177456809	0.7989852018	0.7804386835	0.7656022221	0.7582643474	0.7598038112	0.7509462095	0.7359617669	0.7129408699	0.6943835255	0.6670708543	0.6410914458	0.6321405396	0.6246646439	0.6185421625	0.6092085739	0.6079628632	0.6086743106	0.6098732438	0.5914311463	0.5597116193	0.5336284663	0.5205369881	0.5041292943	0.4841522548	0.4631045660	0.4444143975	0.4191798202	0.3836634850	0.3353285973	0.3071909789	0.2960720573	0.2765657248	0.2759848655	0.2831248423	0.2735927861	0.2847716672	0.2929633211	0.2882263927	0.2967280551	0.2988397478	0.2784143612	0.2615764852	0.2602060026	0.2713931048	0.3000917196	0.3054412155	0.3080488476	0.3228243958	0.3160448875	0.3167709085	0.3361538863	0.3274037483	0.3360242915	0.3651062931	0.3442262030	15	2078	52.0000000000	10	5136.8900000000	0	2017-198	19:27:30.115
0251	1.0240000000	0.0000000000	0.3440830372	0.3458957185	0.3407362989	0.3301164550	0.3449906771	0.3800982544	0.3914406924	0.3911123474	0.4038999831	0.4044551989	0.3970775730	0.3983722579	0.4139117930	0.4195649021	0.4460328156	0.5155861520	0.5826028717	0.6130577398	0.6191834162	0.6311920136	0.6493935930	0.6489605773	0.6458255461	0.6412125324	0.6215839382	0.6408641485	0.6910951780	0.7367670863	0.7821347592	0.8378149358	0.8899025088	0.9287502078	0.9582429870	0.9856053359	1.0122838987	1.0276277409	1.0397024127	1.0684908185	1.1116208082	1.1409752946	1.1448897753	1.1337301142	1.1428168972	1.1889896439	1.2117150583	1.2208269384	1.2298262364	1.2461222173	1.2698821401	1.2709291580	1.2432836606	1.2579034253	1.3025084027	1.3330663661	1.3665893252	1.3980870166	1.3954334231	1.3969912710	1.4007254005	1.4071401203	1.4206928167	1.4273780674	1.4167826596	1.4159871246	1.4089820954	1.4015134705	1.3910526999	1.3754208736	1.3562429822	1.3403822824	1.3044613979	1.2298509042	1.1467381473	1.0767295392	1.0277642800	0.9807196388	0.9413416107	0.9095200749	0.8797680358	0.8559566508	0.8325688340	0.8188768786	0.8034394646	0.7836823311	0.7703532922	0.7662087577	0.7621986347	0.7503846207	0.7409012810	0.7169840620	0.6891093898	0.6712110351	0.6442739838	0.6289351711	0.6292941615	0.6211696434	0.6090055782	0.6116313736	0.6131861857	0.6080197248	0.5924682815	0.5640972704	0.5317381978	0.5201153843	0.5068747100	0.4843639649	0.4643774404	0.4499324368	0.4198152329	0.3811178781	0.3383061161	0.3011966284	0.2865353292	0.2792060649	0.2685877726	0.2716816728	0.2780355750	0.2747281946	0.2804807053	0.2954752269	0.2865116684	0.2894383131	0.2869266420	0.2556139238	0.2585511149	0.2823525446	0.2886398259	0.3101178274	0.3095458160	0.3102899599	0.3273184820	0.3183793284	0.3159768403	0.3407076714	0.3286197688	0.3366499990	0.3690766279	15	2071	51.0000000000	11	5138.0800000000	0	2017-198	19:27:31.306
0251	1.0240000000	0.0000000000	0.3452257962	0.3580537403	0.3408966076	0.3343535675	0.3565566928	0.3795051828	0.3962362904	0.4035321954	0.4035734732	0.4084659487	0.4150256428	0.3955674368	0.4214627136	0.4387057796	0.4421202470	0.5200899489	0.5923126781	0.6112329781	0.6241291612	0.6411744299	0.6466801759	0.6526111780	0.6519294504	0.6389191548	0.6270277884	0.6455366307	0.6919924394	0.7405222521	0.7852117208	0.8409178362	0.8935743895	0.9318808423	0.9625413110	0.9923738831	1.0138910132	1.0308256519	1.0447024742	1.0717387870	1.1140481435	1.1489898903	1.1488008691	1.1372597622	1.1493563159	1.1906828216	1.2172977476	1.2269043300	1.2298262364	1.2495505293	1.2757827294	1.2693184550	1.2500098819	1.2587498285	1.3021501233	1.3394568735	1.3682284000	1.3980870166	1.3994275786	1.3993610263	1.4033045830	1.4123723284	1.4223591172	1.4304833536	1.4217738164	1.4154318553	1.4125434397	1.4076773728	1.3906001477	1.3777189784	1.3604731297	1.3414762465	1.3096673541	1.2351823040	1.1482812961	1.0841122136	1.0364701351	0.9823569126	0.9493412432	0.9179225039	0.8807768214	0.8631612596	0.8412807658	0.8170992823	0.8095434544	0.7915353727	0.7657781877	0.7748753870	0.7680935849	0.7496358357	0.7494504401	0.7169840620	0.6889140514	0.6777170334	0.6426827148	0.6231254407	0.6383519135	0.6153083398	0.6039306857	0.6214140680	0.6053929468	0.6036948471	0.6036693422	0.5601293004	0.5311081083	0.5333959056	0.5018062501	0.4807648929	0.4771061837	0.4433532361	0.4138847148	0.3961793859	0.3319257186	0.2945600262	0.2969390326	0.2686447045	0.2620872970	0.2817516620	0.2658763632	0.2689890673	0.2890472063	0.2789778802	0.2773169204	0.2944001814	0.2701680891	0.2499223879	0.2596543734	0.2727981612	0.2791920137	0.3060257919	0.3035579424	0.2977555240	0.3213685293	0.3113022807	0.3103537291	0.3369552829	0.3279145762	0.3337314047	0.3494975052	15	2069	53.0000000000	12	5139.2900000000	0	2017-198	19:27:32.539
0251	1.0240000000	0.0000000000	0.3528441899	0.3481536368	0.3367285795	0.3446436976	0.3470403507	0.3737227347	0.4059773490	0.3904913550	0.3990023359	0.4209995415	0.4032903664	0.3946909301	0.4262039894	0.4244371255	0.4460328156	0.5244269384	0.5867414777	0.6119932955	0.6248564766	0.6352943765	0.6478430690	0.6505425043	0.6504322663	0.6397928225	0.6239917950	0.6437082681	0.6924909180	0.7403246118	0.7852117208	0.8406175555	0.8935743895	0.9313590698	0.9613592719	0.9931506017	1.0141206010	1.0310625342	1.0461659068	1.0748618336	1.1149424250	1.1498947640	1.1529727024	1.1403972271	1.1526260252	1.1931574660	1.2182065575	1.2275508610	1.2309810794	1.2487886822	1.2774148072	1.2696901557	1.2482977528	1.2655210536	1.3001198736	1.3396935590	1.3743163924	1.3970468007	1.3997699348	1.4026335455	1.4033045830	1.4112590926	1.4272469320	1.4324796090	1.4211083288	1.4212066556	1.4156596159	1.4074532309	1.3967096015	1.3818555670	1.3637632445	1.3473107216	1.3124607940	1.2354488740	1.1544538913	1.0845551741	1.0319617458	0.9923442828	0.9547878015	0.9114063344	0.8932185114	0.8684009751	0.8325688340	0.8301888549	0.8111931813	0.7819751482	0.7842545715	0.7683754150	0.7592511597	0.7670450876	0.7422311502	0.7121707381	0.7047364585	0.6721967924	0.6393012682	0.6399536253	0.6300992950	0.6147019980	0.6193583590	0.6051095774	0.6043675206	0.6150219077	0.5870751782	0.5549082872	0.5409795104	0.5161101477	0.4986384627	0.4892332977	0.4611952545	0.4433532361	0.4229922961	0.3796329407	0.3327764383	0.2990557890	0.2817669652	0.2710650162	0.2632080686	0.2625271371	0.2640057153	0.2682716764	0.2702009041	0.2734787647	0.2801264268	0.2779476707	0.2693700628	0.2507354645	0.2447603835	0.2640868115	0.2797646083	0.2914113797	0.3002646120	0.3026470112	0.3088423132	0.3164492245	0.3100229578	0.3117119416	0.3370820804	0.3304479862	0.3378253360	15	2062	51.0000000000	13	5140.4800000000	0	2017-198	19:27:33.943
0251	1.0240000000	0.0000000000	0.3427498183	0.3658696114	0.3450646358	0.3332942893	0.3561174770	0.3818774692	0.3923398670	0.4021349625	0.4030837085	0.4081317195	0.4089854270	0.3969698474	0.4165458350	0.4291353408	0.4439914755	0.5157529593	0.5873781863	0.6129056764	0.6216562887	0.6391232485	0.6496520137	0.6510292510	0.6540024744	0.6427414508	0.6259808941	0.6459429335	0.6953820937	0.7424986552	0.7891819939	0.8446212979	0.8958183165	0.9343853499	0.9649053892	0.9929286821	1.0184827690	1.0341420041	1.0440927106	1.0758612086	1.1178807782	1.1502825671	1.1554497284	1.1435346919	1.1506641996	1.1956321103	1.2217119671	1.2272922486	1.2367552947	1.2534867394	1.2762849072	1.2746461649	1.2518443058	1.2608053790	1.3050163583	1.3447822964	1.3720919336	1.3995895508	1.4063888210	1.4020693181	1.4050987969	1.4170479185	1.4280245389	1.4320359967	1.4270977169	1.4223171941	1.4146579879	1.4140654170	1.3973884297	1.3816257565	1.3705784821	1.3440288294	1.3116989468	1.2451786787	1.1519287388	1.0839645601	1.0478188390	0.9885785530	0.9505326779	0.9240957171	0.8891833687	0.8607051430	0.8419260941	0.8227552705	0.8065739459	0.7894867532	0.7758082246	0.7674726411	0.7642250239	0.7582468635	0.7426111128	0.7196795233	0.7012203680	0.6725910953	0.6448707097	0.6351455726	0.6323134122	0.6159146815	0.6136744794	0.6095933123	0.6062132877	0.6129624422	0.5943351250	0.5576232140	0.5420296596	0.5222234035	0.5028621793	0.4947377609	0.4696810834	0.4463244880	0.4289228142	0.3866333598	0.3323510784	0.3078332307	0.2871855607	0.2710650162	0.2744157852	0.2700796290	0.2682146732	0.2823803642	0.2824387627	0.2792278400	0.2913644521	0.2857821996	0.2683060277	0.2626605873	0.2524831931	0.2677399582	0.3012369089	0.2984262976	0.2951749195	0.3234358317	0.3154185767	0.3096938607	0.3308615463	0.3297916320	0.3293249614	0.3527022675	0.3532627211	15	2051	51.0000000000	14	5143.1000000000	0	2017-198	19:27:36.330
0251	1.0240000000	0.0000000000	0.3459876356	0.3563168800	0.3415378427	0.3345048929	0.3489436192	0.3818774692	0.3974351900	0.3968565271	0.4048795125	0.4077974904	0.4034629440	0.3938144235	0.4161946294	0.4300053807	0.4445018105	0.5194227197	0.5937452725	0.6130577398	0.6261656444	0.6429521205	0.6532699032	0.6552882851	0.6586091946	0.6454716622	0.6278653038	0.6522406269	0.6987717480	0.7460561807	0.7963284854	0.8491255082	0.9034680679	0.9455512796	0.9711379589	1.0018054654	1.0335207692	1.0398271792	1.0582392259	1.0927256604	1.1219689218	1.1616581222	1.1709637335	1.1494174385	1.1619119996	1.2072238655	1.2275543164	1.2386711946	1.2485603569	1.2612321851	1.2900947970	1.2851776844	1.2590597068	1.2741059997	1.3163618716	1.3520012030	1.3840337648	1.4129967788	1.4151759631	1.4139180944	1.4177704325	1.4263990988	1.4402440760	1.4464533968	1.4384110056	1.4346441715	1.4303501611	1.4239276606	1.4091547850	1.3935759013	1.3785687607	1.3571563983	1.3255391718	1.2493105135	1.1609070591	1.0944479577	1.0450205285	0.9952913756	0.9575110807	0.9251245860	0.8947316899	0.8715120562	0.8478953807	0.8326128499	0.8171321984	0.7980226679	0.7823189503	0.7783059278	0.7743569695	0.7655475175	0.7534400477	0.7279584404	0.7021970598	0.6763369732	0.6576008616	0.6427583228	0.6389557636	0.6302647698	0.6201703418	0.6159113024	0.6176980608	0.6135802818	0.5991059471	0.5678563999	0.5382491226	0.5298122728	0.5176451873	0.4915621090	0.4737118522	0.4647886965	0.4242631214	0.3942701807	0.3514922710	0.3009825445	0.2975892640	0.2873471136	0.2658979206	0.2824382522	0.2806077159	0.2689890673	0.2883129348	0.2872265535	0.2798710171	0.2998843516	0.2725621681	0.2450439286	0.2651706660	0.2657728792	0.2803372030	0.3183018982	0.2957737069	0.3050927548	0.3313895022	0.3113022807	0.3182922390	0.3492358273	0.3328509246	0.3395685933	0.3720888006	15	2063	52.0000000000	15	5144.2900000000	0	2017-198	19:27:37.515
0251	1.0240000000	0.0000000000	0.3497968325	0.3611800887	0.3452249445	0.3413145379	0.3556782612	0.3857324346	0.4013316134	0.4029112030	0.4083078655	0.4129780421	0.4103660477	0.3992487646	0.4230431389	0.4313974445	0.4516465009	0.5257613967	0.5970879928	0.6241583736	0.6319841679	0.6478749560	0.6608933132	0.6628328597	0.6634462508	0.6544267555	0.6369732838	0.6556942007	0.7056507522	0.7540606130	0.8008942994	0.8569328059	0.9093838756	0.9486819141	0.9808091879	1.0102384095	1.0313396852	1.0508422060	1.0658002945	1.0911016761	1.1346166163	1.1668288291	1.1714852127	1.1586991054	1.1667511694	1.2110009543	1.2372915652	1.2431969117	1.2483037251	1.2705013250	1.2921035082	1.2838147819	1.2684764165	1.2772497828	1.3149287541	1.3589834241	1.3875460681	1.4099917105	1.4206536620	1.4178676865	1.4178825708	1.4321879247	1.4451318909	1.4478951368	1.4437349061	1.4389752717	1.4320195412	1.4331174786	1.4150379627	1.3955292903	1.3883216008	1.3637201828	1.3264279936	1.2597067431	1.1684825169	1.0999111368	1.0554364622	1.0047875637	0.9639788687	0.9330125806	0.9039788918	0.8770792539	0.8530580070	0.8400464343	0.8217514339	0.8012663155	0.7895335383	0.7846253451	0.7747254038	0.7754689192	0.7589495057	0.7269957756	0.7150893915	0.6877717581	0.6548161409	0.6503710730	0.6480135156	0.6282436306	0.6317410969	0.6283434764	0.6203641689	0.6300560063	0.6051213316	0.5686917620	0.5542113898	0.5329743017	0.5134214707	0.5063818175	0.4785912038	0.4558749407	0.4403602420	0.3987249928	0.3453245534	0.3191796798	0.2991064707	0.2866870285	0.2849510388	0.2794630281	0.2813092089	0.2917064460	0.2902709922	0.2844769958	0.2959618261	0.2920498228	0.2720301506	0.2648287914	0.2552413393	0.2697070371	0.3049587744	0.3036874860	0.3038573361	0.3212958060	0.3201159077	0.3199877484	0.3384692850	0.3297916320	0.3367294841	0.3716731303	0.3528861995	15	2070	51.0000000000	16	5145.4900000000	0	2017-198	19:27:38.748
0251	1.0240000000	0.0000000000	0.3515109710	0.3549273918	0.3449043270	0.3387420053	0.3480651876	0.3845462914	0.3959365656	0.3965460309	0.4083078655	0.4071290321	0.4053612975	0.3980216553	0.4183018631	0.4307014126	0.4484143791	0.5182550687	0.5935860954	0.6226377388	0.6264565706	0.6465075017	0.6608933132	0.6562617786	0.6642524268	0.6512597103	0.6312153654	0.6532563839	0.7031583594	0.7471432023	0.7983136219	0.8534295313	0.9032640745	0.9500385224	0.9735020371	1.0034698622	1.0331763875	1.0427882079	1.0553123607	1.0924758167	1.1249072751	1.1585556981	1.1701815148	1.1485023446	1.1612580578	1.2113916876	1.2296315961	1.2397056442	1.2483037251	1.2598354654	1.2884627191	1.2867883874	1.2586928220	1.2715667903	1.3173172833	1.3496343484	1.3829800738	1.4128811993	1.4115241638	1.4100813478	1.4182189859	1.4248405688	1.4371336484	1.4493368769	1.4364145429	1.4310904483	1.4309066212	1.4207896740	1.4065526103	1.3974826794	1.3732810763	1.3571563983	1.3285865608	1.2485108035	1.1616084904	1.0994681763	1.0443986817	0.9959462851	0.9636384588	0.9189513728	0.8959086065	0.8751143606	0.8427327545	0.8295424563	0.8199367342	0.7925596825	0.7823189503	0.7828197973	0.7697515396	0.7670450876	0.7572396739	0.7254555120	0.7070805188	0.6848144862	0.6546172323	0.6443610070	0.6457993985	0.6282436306	0.6183433805	0.6258978029	0.6193387427	0.6152278543	0.6051213316	0.5718243699	0.5386691822	0.5355039248	0.5157445148	0.4900801382	0.4805005153	0.4575727989	0.4238395130	0.3991492607	0.3440484739	0.2977712853	0.2960720573	0.2811863200	0.2616389883	0.2790053013	0.2766325890	0.2658803734	0.2895367207	0.2867266340	0.2742520044	0.2941390305	0.2752222559	0.2388103416	0.2557929686	0.2747652401	0.2731797695	0.3039797742	0.3098452096	0.2965326522	0.3254395496	0.3219178523	0.3093614154	0.3362730304	0.3384924657	0.3293535133	0.3551453291	15	2077	52.5000000000	17	5146.6900000000	0	2017-198	19:27:39.918
0251	1.0240000000	0.0000000000	0.3537964891	0.3479799508	0.3362476532	0.3440383958	0.3448442718	0.3787638433	0.4019310632	0.3889388740	0.4007981398	0.4156518752	0.3960421075	0.3899577944	0.4239211529	0.4223490297	0.4387180135	0.5249273603	0.5867414777	0.6112329781	0.6316932418	0.6381660305	0.6466801759	0.6586955123	0.6519294504	0.6413217409	0.6315294337	0.6459429335	0.6931887880	0.7472420225	0.7895790212	0.8429197074	0.9023461043	0.9361593761	0.9649053892	1.0022493045	1.0184827690	1.0352079744	1.0550684553	1.0782347240	1.1173697602	1.1585556981	1.1546675097	1.1422274149	1.1592962322	1.1926364882	1.2241787368	1.2360850705	1.2323925543	1.2590736183	1.2857007411	1.2737788633	1.2588151169	1.2701158135	1.3084797255	1.3488059493	1.3800531544	1.4034036760	1.4104970952	1.4095171203	1.4104814385	1.4186064486	1.4341343075	1.4382465690	1.4296487526	1.4293135867	1.4224484285	1.4131688494	1.4036110215	1.3882902603	1.3659958223	1.3549684701	1.3204601901	1.2411801288	1.1631516392	1.0920855019	1.0344491330	0.9977472863	0.9581919005	0.9158647662	0.8989349635	0.8659448585	0.8357954754	0.8340672468	0.8126779356	0.7840237677	0.7867180894	0.7741531679	0.7623828519	0.7692914427	0.7486905148	0.7187168586	0.7104012709	0.6794913966	0.6460641614	0.6455630202	0.6407673140	0.6205633017	0.6238242645	0.6169303330	0.6068285434	0.6172873198	0.5949574061	0.5532375629	0.5413995701	0.5300230747	0.4984272769	0.4947377609	0.4703175206	0.4401697519	0.4287110100	0.3891789668	0.3321383985	0.3041938037	0.2889195112	0.2662243927	0.2694843899	0.2682487219	0.2670455182	0.2833368854	0.2802359481	0.2797277596	0.2957064164	0.2849987468	0.2685720365	0.2648287914	0.2497250468	0.2711120935	0.2949383674	0.2949188387	0.3062524855	0.3078442163	0.3122870227	0.3244913242	0.3116768141	0.3294505057	0.3458969884	0.3366499990	0.3566514154	15	2065	51.5000000000	18	5147.8900000000	0	2017-198	19:27:41.244
0251	1.0240000000	0.0000000000	0.3513205112	0.3542326477	0.3449043270	0.3388933308	0.3482115928	0.3846945593	0.3986340895	0.3956145423	0.4061855517	0.4111397818	0.4038080992	0.3953921354	0.4202334940	0.4280912930	0.4480741557	0.5229256728	0.5904025523	0.6194444058	0.6318387049	0.6407641936	0.6566293720	0.6622244262	0.6567665065	0.6495123750	0.6336232222	0.6475681447	0.7015632280	0.7489219651	0.7907701031	0.8502265374	0.9009181507	0.9368898575	0.9725349142	0.9969232346	1.0213526164	1.0401825026	1.0489708193	1.0759861304	1.1258015565	1.1482142843	1.1547978794	1.1498096216	1.1487023740	1.1926364882	1.2257366966	1.2248354308	1.2290563410	1.2581847966	1.2713886735	1.2672121511	1.2538010248	1.2546387275	1.3005975794	1.3444272682	1.3693991678	1.3954286869	1.4059323461	1.3985711079	1.4019589226	1.4161573299	1.4216925970	1.4301506443	1.4265431440	1.4159871246	1.4126547317	1.4122722818	1.3916183900	1.3784084098	1.3654083018	1.3415977981	1.3073818123	1.2403804188	1.1472992923	1.0838169066	1.0403566775	0.9853040054	0.9493412432	0.9184369383	0.8821218690	0.8590677319	0.8425714224	0.8175840813	0.8036044373	0.7915353727	0.7698253956	0.7651254290	0.7691988881	0.7546901346	0.7448908886	0.7243003143	0.6988763077	0.6753512158	0.6516336029	0.6349452371	0.6389557636	0.6246055801	0.6108325396	0.6140770472	0.6094946515	0.6065780989	0.5928831356	0.5643061109	0.5340485259	0.5213801958	0.5146885857	0.4888098775	0.4650138775	0.4548137793	0.4253221425	0.3806936103	0.3421343546	0.3041938037	0.2802497585	0.2844867451	0.2685877726	0.2606962299	0.2799062229	0.2752064552	0.2692218754	0.2904760309	0.2844683911	0.2698519909	0.2802764226	0.2531746941	0.2359343154	0.2865677138	0.2886398259	0.2905345150	0.3191264136	0.3072327804	0.3022660498	0.3283515320	0.3232538077	0.3151232039	0.3490703553	0.3454057818	0.3302949042	15	2087	51.0000000000	19	5150.4800000000	0	2017-198	19:27:43.709
