SN	INTTIME(LI)	SAMPLE(DELAY)	LI(348.08)	LI(351.41)	LI(354.74)	LI(358.07)	LI(361.40)	LI(364.73)	LI(368.06)	LI(371.39)	LI(374.72)	LI(378.06)	LI(381.39)	LI(384.72)	LI(388.06)	LI(391.39)	LI(394.73)	LI(398.07)	LI(401.40)	LI(404.74)	LI(408.08)	LI(411.42)	LI(414.76)	LI(418.10)	LI(421.44)	LI(424.78)	LI(428.12)	LI(431.46)	LI(434.80)	LI(438.14)	LI(441.48)	LI(444.83)	LI(448.17)	LI(451.51)	LI(454.86)	LI(458.20)	LI(461.54)	LI(464.89)	LI(468.23)	LI(471.58)	LI(474.92)	LI(478.27)	LI(481.62)	LI(484.96)	LI(488.31)	LI(491.66)	LI(495.00)	LI(498.35)	LI(501.70)	LI(505.04)	LI(508.39)	LI(511.74)	LI(515.09)	LI(518.43)	LI(521.78)	LI(525.13)	LI(528.48)	LI(531.83)	LI(535.17)	LI(538.52)	LI(541.87)	LI(545.22)	LI(548.57)	LI(551.92)	LI(555.26)	LI(558.61)	LI(561.96)	LI(565.31)	LI(568.66)	LI(572.01)	LI(575.35)	LI(578.70)	LI(582.05)	LI(585.40)	LI(588.74)	LI(592.09)	LI(595.44)	LI(598.79)	LI(602.13)	LI(605.48)	LI(608.83)	LI(612.17)	LI(615.52)	LI(618.86)	LI(622.21)	LI(625.55)	LI(628.90)	LI(632.24)	LI(635.59)	LI(638.93)	LI(642.28)	LI(645.62)	LI(648.96)	LI(652.31)	LI(655.65)	LI(658.99)	LI(662.33)	LI(665.67)	LI(669.01)	LI(672.35)	LI(675.69)	LI(679.03)	LI(682.37)	LI(685.71)	LI(689.05)	LI(692.39)	LI(695.72)	LI(699.06)	LI(702.39)	LI(705.73)	LI(709.06)	LI(712.40)	LI(715.73)	LI(719.07)	LI(722.40)	LI(725.73)	LI(729.06)	LI(732.39)	LI(735.72)	LI(739.05)	LI(742.38)	LI(745.71)	LI(749.03)	LI(752.36)	LI(755.69)	LI(759.01)	LI(762.34)	LI(765.66)	LI(768.98)	LI(772.30)	LI(775.63)	LI(778.95)	LI(782.27)	LI(785.58)	LI(788.90)	LI(792.22)	LI(795.53)	LI(798.85)	LI(802.16)	DARK_SAMP(LI)	DARK_AVE(LI)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0250	0.1280000000	0.0000000000	-0.6185292946	-0.4794940136	-0.3697741819	-0.4472947681	-0.3621504977	-0.3391578097	-0.3798150292	-0.3098310900	-0.3623751752	-0.3917196000	-0.3224269389	-0.4203031660	-0.3483066032	-0.3375490164	-0.4011079404	-0.3245265629	-0.3865284517	-0.4091810006	-0.3406381346	-0.3865500352	-0.3057355438	-0.2576126538	-0.3092771061	-0.2333190978	-0.2670361194	-0.2686235882	-0.1832933798	-0.2534478568	-0.2384554307	-0.1876676067	-0.2291989868	-0.2100342759	-0.2012717055	-0.2430484822	-0.2008001453	-0.2451028415	-0.2641941890	-0.2443444201	-0.2986146773	-0.2484819193	-0.2382979539	-0.2899891268	-0.2306360733	-0.2950912066	-0.2974537049	-0.2382623968	-0.3352246301	-0.2864977602	-0.2437548062	-0.3053769328	-0.2589405346	-0.2666330819	-0.2894407707	-0.2358510800	-0.2803071584	-0.2614101023	-0.2041621287	-0.2673045746	-0.2639483472	-0.2431858351	-0.2509660765	-0.2238513844	-0.2474042442	-0.2482060054	-0.2001216287	-0.2639833773	-0.2405878481	-0.2197343956	-0.2575487031	-0.2242309423	-0.2640277985	-0.2706170897	-0.2318118842	-0.3245160661	-0.2750830668	-0.2107293318	-0.3223443389	-0.3206085078	-0.3286396734	-0.3606476871	-0.3315187051	-0.4085483598	-0.4098576292	-0.3514559674	-0.4343410966	-0.3749562312	-0.3238833072	-0.3648200938	-0.3489948572	-0.4124670661	-0.3828537112	-0.3379974072	-0.4234040296	-0.4010631257	-0.3665654664	-0.4379958125	-0.4229371839	-0.4555109639	-0.4148656695	-0.3497960274	-0.4475047774	-0.4289163222	-0.4028840632	-0.4655351025	-0.4345003970	-0.4266178274	-0.4260077353	-0.4059812777	-0.4752857030	-0.4262373431	-0.3605279436	-0.4755671026	-0.4332347878	-0.4528921072	-0.4908734436	-0.4599409800	-0.5477342369	-0.4773299314	-0.4970215299	-0.5732838765	-0.4877787352	-0.5299743459	-0.5845766893	-0.5139283439	-0.5658393207	-0.5443572702	-0.5469971426	-0.6179538044	-0.5481801283	-0.5954016371	-0.6657119361	-0.5891962923	-0.6726233984	-0.6427358663	-0.6356052816	-0.7263570075	-0.6857566377	15	1043	45.5000000000	40	4372.2600000000	0	2017-198	19:14:44.735
0250	0.1280000000	0.0000000000	-0.5349462480	-0.4378224355	-0.5083238722	-0.3882192389	-0.3292374495	-0.3480391926	-0.3271267114	-0.3749310717	-0.3429648190	-0.3334835865	-0.4447071740	-0.3668407186	-0.3305578328	-0.4163467085	-0.3581785965	-0.3824471282	-0.3714839312	-0.3379073319	-0.3712082236	-0.2989218039	-0.2848560433	-0.3703423210	-0.2633393085	-0.2266517663	-0.2528209807	-0.2318098841	-0.2416406859	-0.2178662399	-0.2145571065	-0.2630282869	-0.2110923118	-0.1945125238	-0.2307778502	-0.2157139123	-0.2453570816	-0.2443636693	-0.2291805105	-0.2819632394	-0.2152531332	-0.2329331818	-0.3131204321	-0.2563671990	-0.2670360334	-0.3027629540	-0.2803295829	-0.3029862731	-0.2772223466	-0.2657955592	-0.3253186403	-0.2756687761	-0.2513729848	-0.2691246305	-0.2426677028	-0.2779436383	-0.2643331926	-0.2448615183	-0.3040954023	-0.2216056261	-0.2137405571	-0.2682966653	-0.2276080369	-0.2375512002	-0.2388102134	-0.2070747245	-0.2571437586	-0.2022373113	-0.1934738764	-0.2459223218	-0.1887038212	-0.2271551184	-0.2812952144	-0.2210103642	-0.2710170060	-0.2525933623	-0.2512335340	-0.3283419473	-0.2608201284	-0.2766883821	-0.3498790438	-0.3147792347	-0.3512896823	-0.3669993180	-0.3861322960	-0.4990340841	-0.3718950331	-0.3272016797	-0.3816342980	-0.2764184808	-0.3765141877	-0.4324593302	-0.3401979713	-0.4416504951	-0.3851842018	-0.3480118098	-0.4382873074	-0.3643737908	-0.4068627394	-0.4517800504	-0.3935963456	-0.4378453419	-0.4108401208	-0.3766278059	-0.4324889625	-0.3993251580	-0.4109721317	-0.4646746085	-0.3720085171	-0.4642451413	-0.4806117043	-0.4021519794	-0.4897161477	-0.4198506499	-0.4387377717	-0.4863598233	-0.4214479807	-0.5146912274	-0.4964943180	-0.4072420290	-0.5759598596	-0.5159977567	-0.4720277799	-0.5652331009	-0.4816780993	-0.5588412448	-0.5473423444	-0.4555333704	-0.6372040176	-0.6302808653	-0.5176849168	-0.6504388403	-0.5608727573	-0.6560713822	-0.6902420513	-0.5924935514	-0.7865416093	-0.6815596590	-0.5627974368	15	1044	47.5000000000	41	4374.2900000000	0	2017-198	19:14:46.772
0250	0.1280000000	0.0000000000	-0.5185574154	-0.3589440912	-0.4621406421	-0.4045592789	-0.3715542258	-0.3946664528	-0.3282019832	-0.3973425408	-0.3645318814	-0.2774451585	-0.4028148712	-0.3924097152	-0.3104425597	-0.4067954731	-0.4058778675	-0.3777189188	-0.3946293474	-0.3401699881	-0.4039618904	-0.3385631467	-0.2599994950	-0.3224322124	-0.2977926567	-0.2841575002	-0.2686155792	-0.2227942831	-0.2682931590	-0.2143778461	-0.1715401229	-0.2361137583	-0.2171278701	-0.1992365353	-0.2383259337	-0.2381422774	-0.2475130624	-0.2347544310	-0.2010173343	-0.2772608870	-0.2657509916	-0.2255679903	-0.2939991321	-0.2807430967	-0.2873522903	-0.2959436230	-0.2717675219	-0.3150680634	-0.2928050497	-0.2381926244	-0.3021373401	-0.2790639940	-0.2564180180	-0.2940401173	-0.2812349693	-0.3095130571	-0.2547488131	-0.2133404058	-0.2893765480	-0.2459783986	-0.2377203971	-0.2653424499	-0.2531558927	-0.2433195437	-0.2416748903	-0.2127480046	-0.2536238740	-0.2310053648	-0.2012090061	-0.2522923579	-0.2374689459	-0.2315413826	-0.2685323417	-0.2582154084	-0.2902195147	-0.2658205262	-0.2444193818	-0.2906005856	-0.2888679303	-0.2944433265	-0.3537407475	-0.3287391985	-0.3512896823	-0.3602616355	-0.3936245065	-0.4766338342	-0.3993713010	-0.3692711656	-0.3921344782	-0.3329543961	-0.3532286003	-0.3558223176	-0.3401979713	-0.4322274871	-0.3971278980	-0.3781546030	-0.4261310631	-0.4011848016	-0.4142817138	-0.4219327422	-0.3986008924	-0.4202354790	-0.3969328372	-0.4046850586	-0.4530836750	-0.4175004369	-0.4371146487	-0.4397408554	-0.3878131663	-0.4827836434	-0.4419981945	-0.4021519794	-0.4816418850	-0.4307221529	-0.4745071670	-0.5100661223	-0.4455343658	-0.5262175953	-0.4833183389	-0.4117157249	-0.4848771715	-0.4974184746	-0.5618082253	-0.5796571370	-0.5339440498	-0.5971003825	-0.5540685176	-0.4914045607	-0.5591403758	-0.5492744648	-0.6091705514	-0.5752213292	-0.5870825520	-0.7726251104	-0.6432589768	-0.5824450885	-0.7286482234	-0.6922256944	-0.7230835380	15	1043	45.5000000000	42	4376.3700000000	0	2017-198	19:14:48.862
0250	0.1280000000	0.0000000000	-0.4661131508	-0.4244279996	-0.5354904782	-0.3819346082	-0.3221846535	-0.3735731684	-0.3163739935	-0.3514523898	-0.3321812878	-0.3027173907	-0.4333849300	-0.3831118982	-0.3151755651	-0.3972442377	-0.3987229769	-0.3658983953	-0.3749557436	-0.3707158461	-0.3810343237	-0.2916194513	-0.2957929245	-0.3355840069	-0.2668729852	-0.2541545086	-0.2559799004	-0.2325611842	-0.2488440570	-0.2150755249	-0.2077290138	-0.2616825605	-0.2010330479	-0.2026108293	-0.2390121231	-0.2178165716	-0.2324211969	-0.2473203581	-0.2291805105	-0.2788283378	-0.2168562398	-0.2280230542	-0.3064695452	-0.2723376147	-0.2602639478	-0.2959436230	-0.2828982012	-0.3142050784	-0.2659681722	-0.2537192752	-0.3236015070	-0.2374725747	-0.2580996958	-0.3206166366	-0.2492323439	-0.2819909997	-0.2739175721	-0.2275249064	-0.3002220196	-0.2254138718	-0.2129911871	-0.2734665421	-0.2370972405	-0.2454826725	-0.2459719057	-0.2155846447	-0.2613676200	-0.2197788073	-0.2103505230	-0.2558312669	-0.1987436999	-0.2556658356	-0.2797937000	-0.2303116252	-0.2974204554	-0.2633404330	-0.2316428463	-0.3055215891	-0.2581058250	-0.3150016833	-0.3672567104	-0.3257477777	-0.3856287480	-0.3636304767	-0.3674017697	-0.4753161725	-0.3893799309	-0.3692711656	-0.3910844602	-0.2959490697	-0.3818063666	-0.4024709340	-0.3551851232	-0.4463619991	-0.3839898322	-0.3817717381	-0.4139748189	-0.3521034538	-0.4278831669	-0.4368563963	-0.3685736116	-0.4831278465	-0.4234831058	-0.3677004983	-0.4505093359	-0.3824481133	-0.4554144106	-0.4554884889	-0.3285457316	-0.4947012519	-0.4859377057	-0.3807427672	-0.4641476490	-0.4062612712	-0.4497437395	-0.5030936814	-0.4143637498	-0.5478295350	-0.4906383273	-0.3803998536	-0.5562252772	-0.5345770388	-0.5192806459	-0.5620277596	-0.5225108731	-0.6170616718	-0.5355715413	-0.4589496742	-0.6163870465	-0.6091487608	-0.5966136996	-0.6541079871	-0.5945710648	-0.6847321350	-0.6373860925	-0.5322027736	-0.7265806025	-0.6943589014	-0.6067114372	15	1045	47.0000000000	43	4378.4700000000	0	2017-198	19:14:50.952
0250	0.1280000000	0.0000000000	-0.5398628978	-0.5018180733	-0.4213907332	-0.4498086204	-0.3327638475	-0.3147340067	-0.3755139420	-0.3258392822	-0.3364947003	-0.3521630625	-0.3541292221	-0.4203031660	-0.3412070950	-0.3494880607	-0.4523846568	-0.3221624582	-0.3344512651	-0.4318075621	-0.3209859346	-0.3573406248	-0.3305920921	-0.2651279649	-0.3295957474	-0.2416532621	-0.2172831338	-0.2761365890	-0.2229119210	-0.2276337426	-0.2370898122	-0.2051620503	-0.2432819563	-0.2113839935	-0.1971545691	-0.2416467094	-0.1957695235	-0.2369719476	-0.2740893591	-0.2521816741	-0.2857898243	-0.2525736924	-0.2258275409	-0.2992351569	-0.2348686268	-0.2771904627	-0.3257085062	-0.2710558275	-0.3205076328	-0.2804596182	-0.2471890729	-0.3130161731	-0.2496913070	-0.2275988192	-0.2771320686	-0.2180426900	-0.2595410029	-0.2826868533	-0.2483186914	-0.2733977677	-0.2399685071	-0.2165978972	-0.2546157702	-0.2238513844	-0.2459719057	-0.2453693653	-0.2078653747	-0.2625800577	-0.2405878481	-0.2119487959	-0.2597001057	-0.2161894580	-0.2475111398	-0.2775930355	-0.2206104208	-0.2980617383	-0.2972290616	-0.2475929874	-0.3277729457	-0.2897709727	-0.2851955069	-0.3417020220	-0.3179911944	-0.3748599475	-0.4498160852	-0.3751738790	-0.4543238369	-0.3965594807	-0.3207332531	-0.3524849850	-0.3246508340	-0.3780359444	-0.3701722750	-0.3250407712	-0.4532632700	-0.4167373782	-0.3544092222	-0.4379958125	-0.3895517991	-0.4219327422	-0.4323815833	-0.3586009589	-0.4753193446	-0.4391189595	-0.3102078570	-0.4590439315	-0.4462645297	-0.4121824967	-0.4549829256	-0.4046570990	-0.4912637070	-0.4556750098	-0.3591822331	-0.4782849784	-0.4745071670	-0.4863598233	-0.5022082130	-0.4757897358	-0.5433422439	-0.4892597871	-0.4089749315	-0.5918631586	-0.5019545950	-0.4690728601	-0.5862100002	-0.5455337186	-0.5994701867	-0.5751040048	-0.5070979479	-0.6426079263	-0.5876445197	-0.5201841260	-0.6619676797	-0.6216784788	-0.5982335304	-0.7291526479	-0.7224453606	-0.7903532196	-0.7362577381	15	1042	47.0000000000	44	4380.5700000000	0	2017-198	19:14:53.058
0250	0.1280000000	0.0000000000	-0.6037793452	-0.4556816832	-0.3887908060	-0.4372393588	-0.3233601195	-0.3558104026	-0.3733633984	-0.2788819183	-0.3979608283	-0.3730401240	-0.3303525097	-0.3912474881	-0.3589558654	-0.3781417669	-0.4142252400	-0.3706266047	-0.4212465762	-0.3763724865	-0.2904158456	-0.3625565909	-0.3256207825	-0.2998862790	-0.3066268485	-0.2483205936	-0.2670361194	-0.2528462864	-0.1926577623	-0.2576339293	-0.2282132917	-0.1937233756	-0.2379170155	-0.2059851232	-0.2225435773	-0.2423475958	-0.2180479916	-0.2739305564	-0.2512543513	-0.1996720721	-0.2697587582	-0.2820344582	-0.2690583061	-0.2773809039	-0.2501058194	-0.2899767083	-0.2717675219	-0.2279065765	-0.3075220470	-0.2968488607	-0.2823903066	-0.2977376925	-0.2538955014	-0.2940401173	-0.2541558247	-0.2099479672	-0.2914889345	-0.2448615183	-0.2064861583	-0.2596880832	-0.2564546471	-0.2505713734	-0.2429367504	-0.2101515687	-0.2638761367	-0.2347319651	-0.1818182290	-0.2281987254	-0.2279303632	-0.2466301036	-0.2496602271	-0.2264240744	-0.2850490005	-0.2597656185	-0.2230107344	-0.2947549473	-0.2657136075	-0.2651471091	-0.3322967847	-0.3121982710	-0.3537407475	-0.3167735153	-0.2690840403	-0.3703681592	-0.4048628222	-0.4067977611	-0.4455813880	-0.3738192181	-0.3700840999	-0.3237030645	-0.3066574256	-0.3735932191	-0.3494208340	-0.3533097952	-0.4114603334	-0.4034745492	-0.3823685839	-0.4232714081	-0.4019167564	-0.4368563963	-0.3723270217	-0.3699215850	-0.4462404789	-0.4046850586	-0.4221916062	-0.4460615894	-0.4018222507	-0.4449900666	-0.4233736271	-0.3967120267	-0.4779487036	-0.4128565855	-0.4547276758	-0.4932332949	-0.4524952314	-0.4905432878	-0.4738712894	-0.4570593880	-0.5023503088	-0.4624176117	-0.4848771715	-0.5407701329	-0.5003794995	-0.5476037234	-0.5241441841	-0.4690154430	-0.5254822815	-0.5511898779	-0.6476125032	-0.6566959959	-0.5679123240	-0.6504388403	-0.5983153211	-0.5376069372	-0.6217250676	-0.6447455589	-0.7059043932	-0.7647547347	-0.7472362382	15	1046	46.0000000000	45	4382.6000000000	0	2017-198	19:14:55.086
0250	0.1280000000	0.0000000000	-0.5791960962	-0.4065687519	-0.3982991181	-0.4397532111	-0.3527467697	-0.3658019584	-0.3733633984	-0.3450491129	-0.4055093001	-0.3312860011	-0.3405425293	-0.3982208508	-0.3270080787	-0.4032137598	-0.4452297662	-0.3658983953	-0.4038875140	-0.3413013162	-0.2893240567	-0.3677725571	-0.2669593285	-0.2829768289	-0.3181112980	-0.2266517663	-0.2701950391	-0.2505923862	-0.2149882127	-0.2694944683	-0.2186539621	-0.1816118378	-0.2352345451	-0.1877639359	-0.2280330925	-0.2591688696	-0.2245159340	-0.2650604903	-0.2405980144	-0.2286699120	-0.2689572049	-0.2345698910	-0.2748778322	-0.2933513196	-0.2441802445	-0.3181064488	-0.2948850866	-0.2607000072	-0.3291646900	-0.2580322338	-0.2712289398	-0.3045281283	-0.2345562074	-0.2940401173	-0.2910819310	-0.2285658295	-0.2970798225	-0.2346171567	-0.2150076002	-0.2619730306	-0.2219836271	-0.2520484810	-0.2560756477	-0.2014990534	-0.2746186753	-0.2496243254	-0.2205369591	-0.2450385616	-0.2187888463	-0.2473378854	-0.2575487031	-0.2118031938	-0.2895535437	-0.2527896727	-0.2174100027	-0.2798743879	-0.2588994553	-0.2827012308	-0.3250586423	-0.2963122681	-0.3489136179	-0.3426991623	-0.2732463513	-0.3894582595	-0.4398264712	-0.4015271141	-0.4305943328	-0.3522159686	-0.3627339737	-0.3380940247	-0.3013652467	-0.4135777474	-0.3863122847	-0.3474204152	-0.4353477257	-0.3962402788	-0.4455810539	-0.4183632733	-0.3363824824	-0.4617291532	-0.3986008924	-0.3196076910	-0.4373903894	-0.4225396739	-0.4221916062	-0.4499562921	-0.3952866215	-0.4777976364	-0.4418123846	-0.3344756269	-0.4672967009	-0.4463084795	-0.4641476490	-0.4864386056	-0.4428650096	-0.5365613975	-0.4724544432	-0.4008683446	-0.5008863111	-0.4609263798	-0.4727328131	-0.5655425090	-0.5303063147	-0.5716437836	-0.5045444527	-0.4457272722	-0.5591131475	-0.5289839030	-0.5452623950	-0.6426079263	-0.6019952075	-0.6100782246	-0.6338857568	-0.6102141777	-0.7078607043	-0.6146001700	-0.6004557259	-0.7348898358	-0.7077136379	15	1041	46.0000000000	46	4384.6700000000	0	2017-198	19:14:57.177
0250	0.1280000000	0.0000000000	-0.5382240146	-0.4437755181	-0.4023741090	-0.4234131712	-0.3715542258	-0.4013274900	-0.3400299729	-0.3194360053	-0.3710020002	-0.3312860011	-0.3575258953	-0.4191409389	-0.3719716304	-0.3817234802	-0.3867981591	-0.3528958194	-0.4004157015	-0.3379073319	-0.3351791902	-0.3698589435	-0.3335748779	-0.2886133123	-0.2827745305	-0.2624886729	-0.2820409880	-0.2310585840	-0.1991407963	-0.2353082090	-0.2220680084	-0.2192921779	-0.2359051627	-0.2242063105	-0.2376397443	-0.2283298677	-0.2273905750	-0.2584079407	-0.2215688413	-0.2545328503	-0.2689572049	-0.2394800187	-0.2765405539	-0.2656132292	-0.2365616482	-0.2840097937	-0.2717675219	-0.2814116477	-0.3066563412	-0.2752840680	-0.2806731732	-0.2799127985	-0.2597813735	-0.2583279196	-0.2607204658	-0.2504215810	-0.2739175721	-0.2298889898	-0.2552907803	-0.2459783986	-0.2234823671	-0.2550026963	-0.2239583433	-0.2101515687	-0.2345131979	-0.2191304447	-0.2592556893	-0.2534584797	-0.2194920399	-0.2558312669	-0.2367518117	-0.2030306654	-0.2219853945	-0.2442635168	-0.2686166925	-0.2807010856	-0.2665653765	-0.2958668221	-0.3006299117	-0.2860330897	-0.3238125438	-0.3227563569	-0.3440056381	-0.3557698472	-0.4248420502	-0.5095753782	-0.3956245372	-0.3397088242	-0.3826843161	-0.3226751387	-0.3310014488	-0.3769252631	-0.3355865400	-0.4428283711	-0.3911560499	-0.3528346567	-0.4467966783	-0.3778711614	-0.3561664142	-0.4169581908	-0.3873406621	-0.4189776317	-0.4032543298	-0.4250903332	-0.5019961171	-0.4512545263	-0.3848296147	-0.4344916442	-0.4154713025	-0.4311406734	-0.4433296949	-0.4235611915	-0.5072103837	-0.4307221529	-0.4043441225	-0.5184330513	-0.4341995963	-0.4700265519	-0.4994223134	-0.4579439158	-0.5607794116	-0.4478737224	-0.4594270156	-0.6293399281	-0.4996445198	-0.5122649031	-0.5776101238	-0.5580224856	-0.6111828037	-0.6091487608	-0.5607369801	-0.7238217779	-0.5664891419	-0.5528926720	-0.7215641010	-0.6166098626	-0.7245129815	-0.7199573863	-0.6989308378	15	1046	47.0000000000	47	4386.7700000000	0	2017-198	19:14:59.376
0250	0.1280000000	0.0000000000	-0.4988908162	-0.4884236375	-0.4295407150	-0.3869623128	-0.4362048562	-0.3535900569	-0.3034707320	-0.3952081152	-0.3267895221	-0.3290884157	-0.3722448125	-0.3470828576	-0.3861706467	-0.3590392961	-0.3498312240	-0.4699190022	-0.3668548479	-0.3084928020	-0.3723000125	-0.3291744076	-0.3295978302	-0.3064621762	-0.2810076922	-0.3149939083	-0.2536107106	-0.2257994834	-0.2481237199	-0.2136801674	-0.2261648640	-0.2172735882	-0.2131041645	-0.2518755208	-0.1937236220	-0.2101068211	-0.2891953576	-0.2295802258	-0.2284193436	-0.2694236330	-0.2344904126	-0.2853078766	-0.2532624496	-0.2336723978	-0.3102080792	-0.2516179713	-0.2469375450	-0.3124791083	-0.2702967009	-0.2916733105	-0.2935516733	-0.2637855134	-0.3169584167	-0.2309208841	-0.2328207411	-0.2941330838	-0.2483592268	-0.2432854626	-0.2645868988	-0.2200823278	-0.2699433072	-0.2328460815	-0.2181188334	-0.2663929176	-0.2187574747	-0.2290586850	-0.2613676200	-0.2352153238	-0.2483229778	-0.2225655228	-0.2116521152	-0.2732108923	-0.2114747935	-0.2287614150	-0.2910196192	-0.2501132691	-0.3006361377	-0.2721687578	-0.2698678064	-0.3486426307	-0.2851955069	-0.3117878139	-0.3866693257	-0.3097290170	-0.4772875237	-0.4753161725	-0.3906288522	-0.4443140322	-0.3270333612	-0.2908094410	-0.3669882656	-0.3158377893	-0.3805479956	-0.4322274871	-0.3839898322	-0.4589372886	-0.3835842084	-0.3557845549	-0.4365386370	-0.3734308662	-0.4136145328	-0.4365874946	-0.4121044193	-0.4824801681	-0.4427863187	-0.4097110316	-0.4671785433	-0.3911856520	-0.4260077353	-0.4483549967	-0.3820806793	-0.4529988583	-0.4331963084	-0.3845182653	-0.4758829129	-0.4779928943	-0.4597028276	-0.5132504314	-0.4672143644	-0.5220668904	-0.5243463364	-0.4045220642	-0.5681086075	-0.5652331009	-0.4718782336	-0.5638315671	-0.5086668485	-0.5990181317	-0.6007743181	-0.5105322732	-0.6791301542	-0.6210856652	-0.5515121163	-0.6579820991	-0.6060640428	-0.6407261737	-0.6872958048	-0.6068974115	-0.8306728388	15	1053	48.0000000000	48	4388.9700000000	0	2017-198	19:15:01.467
0250	0.1280000000	0.0000000000	-0.5759183297	-0.4660995778	-0.4526323300	-0.4422670634	-0.3609750317	-0.3957766257	-0.3271267114	-0.3055622387	-0.3914907095	-0.2906306710	-0.3631870173	-0.4272765287	-0.3412070950	-0.4103771864	-0.3736808596	-0.3174342488	-0.4131456805	-0.3299880354	-0.3046091012	-0.3688157503	-0.2828675194	-0.3158563152	-0.3207615555	-0.2691560044	-0.2923074771	-0.2318098841	-0.2041831561	-0.2297267789	-0.1845134989	-0.2152549986	-0.2459644266	-0.2059851232	-0.2410706913	-0.2171156852	-0.2015188056	-0.2591471129	-0.2223300082	-0.2474793217	-0.2849882710	-0.2337515364	-0.2964932147	-0.2782214521	-0.2416407124	-0.3138443669	-0.2666302853	-0.2443032919	-0.3005964012	-0.2304292990	-0.2918345400	-0.3215042178	-0.2623038901	-0.2973621822	-0.2689262672	-0.2350416078	-0.2874954430	-0.2291009620	-0.2676856049	-0.2680662238	-0.2107430771	-0.2874990648	-0.2560756477	-0.2014990534	-0.2466880750	-0.2056564044	-0.2395443358	-0.2520551600	-0.1969898445	-0.2643246484	-0.2489430929	-0.2066858856	-0.2497634114	-0.2372875710	-0.2398129295	-0.3030219247	-0.2716759907	-0.3107878256	-0.3132966609	-0.2458508470	-0.3411902105	-0.3417020220	-0.3283969719	-0.3580157414	-0.3873809977	-0.4753161725	-0.3806374820	-0.2965023252	-0.3910844602	-0.3422057276	-0.3373520635	-0.3902534392	-0.3367393978	-0.4074920911	-0.4186265511	-0.3492175215	-0.4528748004	-0.4097740375	-0.3091795763	-0.4381000341	-0.4148656695	-0.4126883949	-0.4462404789	-0.3995837399	-0.4453606578	-0.4369739500	-0.3573799718	-0.4384285526	-0.4339100600	-0.4377615670	-0.4925952074	-0.4222231158	-0.4991361209	-0.4565419724	-0.3644474893	-0.4961212405	-0.4512017505	-0.4224802843	-0.5594462184	-0.5131194986	-0.5729237700	-0.5252873978	-0.4263500094	-0.5443983821	-0.5078110746	-0.4823229692	-0.5876993836	-0.5819366125	-0.5695488614	-0.6073877521	-0.5661184880	-0.6687845747	-0.6282693722	-0.6025713103	-0.7019878200	-0.6809200256	-0.6604167328	-0.6815596590	-0.7164964380	15	1046	48.0000000000	49	4391.0100000000	0	2017-198	19:15:03.573
