Sample Name, BP-05P0
Time, 2017/07/12 03:21:03
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, 0.1059, 78.36
391.0, 0.1040, 78.70
392.0, 0.1022, 79.03
393.0, 0.1005, 79.34
394.0, 0.0988, 79.66
395.0, 0.0970, 79.98
396.0, 0.0955, 80.27
397.0, 0.0939, 80.57
398.0, 0.0922, 80.88
399.0, 0.0906, 81.16
400.0, 0.0891, 81.46
401.0, 0.0875, 81.75
402.0, 0.0860, 82.04
403.0, 0.0845, 82.32
404.0, 0.0830, 82.60
405.0, 0.0816, 82.88
406.0, 0.0803, 83.11
407.0, 0.0790, 83.37
408.0, 0.0777, 83.62
409.0, 0.0765, 83.86
410.0, 0.0752, 84.11
411.0, 0.0739, 84.35
412.0, 0.0727, 84.58
413.0, 0.0715, 84.82
414.0, 0.0703, 85.06
415.0, 0.0691, 85.29
416.0, 0.0680, 85.51
417.0, 0.0669, 85.73
418.0, 0.0659, 85.92
419.0, 0.0648, 86.13
420.0, 0.0638, 86.33
421.0, 0.0628, 86.54
422.0, 0.0618, 86.74
423.0, 0.0607, 86.95
424.0, 0.0598, 87.14
425.0, 0.0588, 87.33
426.0, 0.0579, 87.53
427.0, 0.0569, 87.72
428.0, 0.0560, 87.90
429.0, 0.0552, 88.07
430.0, 0.0543, 88.24
431.0, 0.0536, 88.40
432.0, 0.0527, 88.58
433.0, 0.0520, 88.72
434.0, 0.0511, 88.90
435.0, 0.0504, 89.05
436.0, 0.0495, 89.23
437.0, 0.0487, 89.39
438.0, 0.0480, 89.53
439.0, 0.0473, 89.69
440.0, 0.0465, 89.85
441.0, 0.0459, 89.98
442.0, 0.0452, 90.12
443.0, 0.0446, 90.23
444.0, 0.0439, 90.38
445.0, 0.0433, 90.50
446.0, 0.0428, 90.62
447.0, 0.0421, 90.76
448.0, 0.0415, 90.89
449.0, 0.0408, 91.03
450.0, 0.0403, 91.14
451.0, 0.0400, 91.21
452.0, 0.0395, 91.31
453.0, 0.0388, 91.45
454.0, 0.0384, 91.54
455.0, 0.0379, 91.64
456.0, 0.0373, 91.77
457.0, 0.0369, 91.86
458.0, 0.0363, 91.97
459.0, 0.0358, 92.08
460.0, 0.0354, 92.18
461.0, 0.0349, 92.28
462.0, 0.0345, 92.36
463.0, 0.0340, 92.48
464.0, 0.0335, 92.57
465.0, 0.0332, 92.64
466.0, 0.0327, 92.74
467.0, 0.0324, 92.81
468.0, 0.0319, 92.92
469.0, 0.0316, 92.99
470.0, 0.0312, 93.06
471.0, 0.0307, 93.17
472.0, 0.0303, 93.25
473.0, 0.0299, 93.35
474.0, 0.0296, 93.42
475.0, 0.0292, 93.49
476.0, 0.0288, 93.58
477.0, 0.0285, 93.65
478.0, 0.0281, 93.74
479.0, 0.0279, 93.79
480.0, 0.0275, 93.86
481.0, 0.0271, 93.94
482.0, 0.0269, 93.99
483.0, 0.0265, 94.08
484.0, 0.0262, 94.15
485.0, 0.0259, 94.21
486.0, 0.0256, 94.28
487.0, 0.0254, 94.33
488.0, 0.0250, 94.40
489.0, 0.0248, 94.45
490.0, 0.0245, 94.52
491.0, 0.0242, 94.59
492.0, 0.0239, 94.64
493.0, 0.0237, 94.70
494.0, 0.0234, 94.75
495.0, 0.0231, 94.81
496.0, 0.0229, 94.87
497.0, 0.0226, 94.93
498.0, 0.0224, 94.98
499.0, 0.0221, 95.03
500.0, 0.0219, 95.09
501.0, 0.0217, 95.12
502.0, 0.0215, 95.17
503.0, 0.0212, 95.24
504.0, 0.0210, 95.29
505.0, 0.0207, 95.34
506.0, 0.0205, 95.39
507.0, 0.0202, 95.44
508.0, 0.0201, 95.48
509.0, 0.0198, 95.55
