Sample Name, DR-05P0
Time, 2017/07/12 03:16:07
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, 0.0106, 97.59
391.0, 0.0104, 97.63
392.0, 0.0100, 97.71
393.0, 0.0099, 97.74
394.0, 0.0096, 97.81
395.0, 0.0095, 97.84
396.0, 0.0093, 97.88
397.0, 0.0091, 97.93
398.0, 0.0089, 97.97
399.0, 0.0088, 97.99
400.0, 0.0086, 98.04
401.0, 0.0084, 98.08
402.0, 0.0082, 98.12
403.0, 0.0081, 98.15
404.0, 0.0079, 98.20
405.0, 0.0078, 98.23
406.0, 0.0076, 98.26
407.0, 0.0074, 98.31
408.0, 0.0073, 98.33
409.0, 0.0072, 98.35
410.0, 0.0070, 98.41
411.0, 0.0069, 98.43
412.0, 0.0067, 98.47
413.0, 0.0066, 98.50
414.0, 0.0064, 98.54
415.0, 0.0063, 98.57
416.0, 0.0062, 98.59
417.0, 0.0060, 98.63
418.0, 0.0059, 98.64
419.0, 0.0057, 98.69
420.0, 0.0056, 98.71
421.0, 0.0055, 98.74
422.0, 0.0054, 98.77
423.0, 0.0052, 98.80
424.0, 0.0051, 98.83
425.0, 0.0050, 98.85
426.0, 0.0049, 98.88
427.0, 0.0048, 98.90
428.0, 0.0047, 98.92
429.0, 0.0046, 98.94
430.0, 0.0046, 98.95
431.0, 0.0044, 98.99
432.0, 0.0043, 99.02
433.0, 0.0042, 99.03
434.0, 0.0040, 99.08
435.0, 0.0040, 99.08
436.0, 0.0038, 99.12
437.0, 0.0037, 99.14
438.0, 0.0037, 99.16
439.0, 0.0036, 99.18
440.0, 0.0034, 99.22
441.0, 0.0034, 99.23
442.0, 0.0033, 99.24
443.0, 0.0032, 99.26
444.0, 0.0031, 99.28
445.0, 0.0032, 99.27
446.0, 0.0031, 99.29
447.0, 0.0031, 99.30
448.0, 0.0029, 99.34
449.0, 0.0028, 99.35
450.0, 0.0027, 99.38
451.0, 0.0028, 99.36
452.0, 0.0028, 99.36
453.0, 0.0027, 99.38
454.0, 0.0027, 99.39
455.0, 0.0026, 99.40
456.0, 0.0024, 99.45
457.0, 0.0025, 99.44
458.0, 0.0024, 99.45
459.0, 0.0023, 99.47
460.0, 0.0023, 99.47
461.0, 0.0022, 99.50
462.0, 0.0022, 99.49
463.0, 0.0021, 99.52
464.0, 0.0020, 99.54
465.0, 0.0020, 99.53
466.0, 0.0019, 99.56
467.0, 0.0019, 99.56
468.0, 0.0019, 99.57
469.0, 0.0018, 99.58
470.0, 0.0019, 99.57
471.0, 0.0017, 99.61
472.0, 0.0017, 99.61
473.0, 0.0016, 99.64
474.0, 0.0016, 99.63
475.0, 0.0015, 99.65
476.0, 0.0015, 99.67
477.0, 0.0014, 99.67
478.0, 0.0014, 99.67
479.0, 0.0014, 99.68
480.0, 0.0014, 99.69
481.0, 0.0013, 99.71
482.0, 0.0013, 99.69
483.0, 0.0012, 99.73
484.0, 0.0012, 99.73
485.0, 0.0011, 99.75
486.0, 0.0011, 99.75
487.0, 0.0010, 99.76
488.0, 0.0010, 99.77
489.0, 0.0010, 99.77
490.0, 0.0010, 99.77
491.0, 0.0009, 99.79
492.0, 0.0009, 99.79
493.0, 0.0009, 99.80
494.0, 0.0008, 99.81
495.0, 0.0008, 99.82
496.0, 0.0008, 99.82
497.0, 0.0007, 99.84
498.0, 0.0007, 99.84
499.0, 0.0007, 99.84
500.0, 0.0006, 99.87
501.0, 0.0006, 99.86
502.0, 0.0006, 99.87
503.0, 0.0005, 99.88
504.0, 0.0005, 99.88
505.0, 0.0005, 99.89
506.0, 0.0005, 99.90
507.0, 0.0004, 99.90
508.0, 0.0004, 99.90
509.0, 0.0003, 99.92
510.0, 0.0003, 99.92
511.0, 0.0003, 99.93
