Sample Name, DR-10P0,
Time, 2017/07/12 02:19:28,
Operator, Smith,
Lamp,255.00000,
Slit,0.00000,
Scan From, 850.0nm,
Scan To, 390.0nm,
Scan Step, 1.0nm,
Sample Filter,11.00000,
memo, ,
WL(nm), Abs, T%
390,0.02480,94.88
391,0.02430,94.97
392,0.02380,95.07
393,0.02350,95.18
394,0.02300,95.26
395,0.02260,95.35
396,0.02230,95.42
397,0.02180,95.49
398,0.02140,95.6
399,0.02110,95.67
400,0.02070,95.78
401,0.02040,95.84
402,0.02000,95.94
403,0.01960,96.02
404,0.01920,96.09
405,0.01900,96.17
406,0.01860,96.24
407,0.01830,96.32
408,0.01790,96.38
409,0.01760,96.44
410,0.01740,96.52
411,0.01700,96.58
412,0.01680,96.66
413,0.01640,96.74
414,0.01620,96.79
415,0.01580,96.87
416,0.01550,96.92
417,0.01520,97
418,0.01500,97.04
419,0.01460,97.12
420,0.01440,97.19
421,0.01410,97.24
422,0.01380,97.3
423,0.01350,97.36
424,0.01330,97.43
425,0.01310,97.49
426,0.01280,97.55
427,0.01250,97.59
428,0.01220,97.67
429,0.01190,97.72
430,0.01170,97.76
431,0.01150,97.81
432,0.01140,97.87
433,0.01110,97.91
434,0.01100,97.96
435,0.01060,98.02
436,0.01040,98.06
437,0.01020,98.1
438,0.01000,98.14
439,0.00980,98.19
440,0.00960,98.25
441,0.00940,98.29
442,0.00920,98.33
443,0.00900,98.37
444,0.00900,98.41
445,0.00870,98.47
446,0.00860,98.49
447,0.00840,98.53
448,0.00830,98.55
449,0.00820,98.61
450,0.00800,98.65
451,0.00770,98.73
452,0.00760,98.75
453,0.00740,98.78
454,0.00730,98.82
455,0.00720,98.83
456,0.00710,98.88
457,0.00700,98.91
458,0.00680,98.93
459,0.00670,98.95
460,0.00650,98.99
461,0.00640,99.04
462,0.00640,99.05
463,0.00610,99.07
464,0.00610,99.11
465,0.00600,99.14
466,0.00580,99.18
467,0.00560,99.19
468,0.00560,99.22
469,0.00550,99.23
470,0.00530,99.26
471,0.00530,99.29
472,0.00520,99.3
473,0.00500,99.34
474,0.00500,99.35
475,0.00480,99.37
476,0.00470,99.39
477,0.00460,99.42
478,0.00460,99.44
479,0.00450,99.47
480,0.00450,99.48
481,0.00450,99.48
482,0.00440,99.5
483,0.00430,99.53
484,0.00410,99.54
485,0.00400,99.55
486,0.00400,99.58
487,0.00390,99.58
488,0.00390,99.62
489,0.00380,99.63
490,0.00380,99.64
491,0.00370,99.66
492,0.00350,99.67
493,0.00340,99.69
494,0.00340,99.71
495,0.00330,99.72
496,0.00330,99.74
497,0.00330,99.76
498,0.00310,99.79
499,0.00300,99.78
500,0.00310,99.8
501,0.00290,99.81
502,0.00290,99.81
503,0.00290,99.84
504,0.00280,99.83
505,0.00280,99.88
506,0.00280,99.87
507,0.00260,99.88
508,0.00260,99.9
509,0.00250,99.91
510,0.00250,99.92
511,0.00250,99.93
512,0.00250,99.94
513,0.00240,99.96
514,0.00240,99.96
515,0.00220,99.98
516,0.00230,99.98
517,0.00230,99.97
518,0.00220,99.99
519,0.00220,100.01
