MQ-01P0Z, Time, 2017/07/12 05:15:32
MQ-01P0Z, Operator, Smith 
MQ-01P0Z, Lamp, 255 
MQ-01P0Z, Slit,0.0  
MQ-01P0Z, Scan From, 850.0nm
MQ-01P0Z, Scan To, 390.0nm
MQ-01P0Z, Scan Step, 1.0nm
MQ-01P0Z, Sample Filter, 11
MQ-01P0Z, memo,  
MQ-01P0Z, WL(nm), Abs, T%
MQ-01P0Z, 390.0, -0.0001, 100.02
MQ-01P0Z, 391.0, -0.0002, 100.04
MQ-01P0Z, 392.0, -0.0002, 100.04
MQ-01P0Z, 393.0, -0.0001, 100.03
MQ-01P0Z, 394.0, -0.0001, 100.03
MQ-01P0Z, 395.0, -0.0001, 100.03
MQ-01P0Z, 396.0, -0.0001, 100.03
MQ-01P0Z, 397.0, -0.0001, 100.01
MQ-01P0Z, 398.0, -0.0002, 100.04
MQ-01P0Z, 399.0, -0.0002, 100.03
MQ-01P0Z, 400.0, -0.0001, 100.01
MQ-01P0Z, 401.0, -0.0001, 100.03
MQ-01P0Z, 402.0, -0.0001, 100.03
MQ-01P0Z, 403.0, -0.0001, 100.03
MQ-01P0Z, 404.0, -0.0002, 100.04
MQ-01P0Z, 405.0, -0.0001, 100.02
MQ-01P0Z, 406.0, -0.0002, 100.04
MQ-01P0Z, 407.0, -0.0002, 100.05
MQ-01P0Z, 408.0, -0.0002, 100.04
MQ-01P0Z, 409.0, -0.0002, 100.04
MQ-01P0Z, 410.0, -0.0002, 100.04
MQ-01P0Z, 411.0, -0.0002, 100.04
MQ-01P0Z, 412.0, -0.0002, 100.04
MQ-01P0Z, 413.0, -0.0002, 100.05
MQ-01P0Z, 414.0, -0.0002, 100.04
MQ-01P0Z, 415.0, -0.0002, 100.04
MQ-01P0Z, 416.0, -0.0002, 100.05
MQ-01P0Z, 417.0, -0.0002, 100.05
MQ-01P0Z, 418.0, -0.0002, 100.04
MQ-01P0Z, 419.0, -0.0001, 100.03
MQ-01P0Z, 420.0, -0.0001, 100.03
MQ-01P0Z, 421.0, -0.0002, 100.04
MQ-01P0Z, 422.0, -0.0001, 100.02
MQ-01P0Z, 423.0, -0.0002, 100.04
MQ-01P0Z, 424.0, -0.0001, 100.03
MQ-01P0Z, 425.0, -0.0001, 100.03
MQ-01P0Z, 426.0, -0.0001, 100.03
MQ-01P0Z, 427.0, -0.0001, 100.03
MQ-01P0Z, 428.0, -0.0001, 100.03
MQ-01P0Z, 429.0, -0.0001, 100.03
MQ-01P0Z, 430.0, -0.0002, 100.05
MQ-01P0Z, 431.0, -0.0002, 100.05
