Sample Name, MQ-05P0Z
Time, 2017/07/12 03:03:07
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, -0.0012, 100.28
391.0, -0.0012, 100.27
392.0, -0.0012, 100.27
393.0, -0.0012, 100.27
394.0, -0.0012, 100.27
395.0, -0.0011, 100.26
396.0, -0.0011, 100.25
397.0, -0.0011, 100.26
398.0, -0.0012, 100.27
399.0, -0.0011, 100.25
400.0, -0.0011, 100.26
401.0, -0.0011, 100.26
402.0, -0.0011, 100.25
403.0, -0.0011, 100.25
404.0, -0.0011, 100.25
405.0, -0.0011, 100.25
406.0, -0.0010, 100.24
407.0, -0.0010, 100.24
408.0, -0.0011, 100.25
409.0, -0.0010, 100.22
410.0, -0.0010, 100.24
411.0, -0.0009, 100.21
412.0, -0.0009, 100.22
413.0, -0.0010, 100.22
414.0, -0.0010, 100.22
415.0, -0.0010, 100.22
416.0, -0.0009, 100.22
417.0, -0.0010, 100.22
418.0, -0.0009, 100.20
419.0, -0.0010, 100.22
420.0, -0.0009, 100.21
421.0, -0.0009, 100.20
422.0, -0.0008, 100.19
423.0, -0.0009, 100.21
424.0, -0.0009, 100.20
425.0, -0.0008, 100.19
426.0, -0.0008, 100.18
427.0, -0.0008, 100.19
428.0, -0.0008, 100.18
429.0, -0.0008, 100.18
430.0, -0.0008, 100.18
431.0, -0.0008, 100.18
432.0, -0.0008, 100.17
433.0, -0.0007, 100.17
434.0, -0.0008, 100.19
435.0, -0.0008, 100.17
436.0, -0.0007, 100.17
437.0, -0.0007, 100.16
438.0, -0.0007, 100.15
439.0, -0.0007, 100.17
440.0, -0.0007, 100.16
441.0, -0.0007, 100.16
442.0, -0.0007, 100.15
443.0, -0.0007, 100.16
444.0, -0.0007, 100.16
445.0, -0.0005, 100.12
446.0, -0.0005, 100.12
447.0, -0.0005, 100.12
448.0, -0.0005, 100.12
449.0, -0.0007, 100.15
450.0, -0.0006, 100.14
451.0, -0.0004, 100.10
452.0, -0.0004, 100.10
453.0, -0.0004, 100.09
454.0, -0.0004, 100.09
455.0, -0.0004, 100.10
456.0, -0.0005, 100.11
457.0, -0.0004, 100.10
458.0, -0.0004, 100.09
459.0, -0.0004, 100.08
460.0, -0.0003, 100.08
461.0, -0.0004, 100.09
462.0, -0.0003, 100.07
463.0, -0.0003, 100.08
464.0, -0.0003, 100.08
465.0, -0.0003, 100.07
466.0, -0.0003, 100.08
467.0, -0.0003, 100.08
468.0, -0.0003, 100.07
469.0, -0.0003, 100.07
470.0, -0.0002, 100.05
471.0, -0.0003, 100.07
472.0, -0.0003, 100.06
473.0, -0.0003, 100.08
474.0, -0.0003, 100.07
475.0, -0.0003, 100.07
476.0, -0.0003, 100.07
477.0, -0.0003, 100.06
478.0, -0.0003, 100.06
479.0, -0.0002, 100.06
480.0, -0.0002, 100.05
481.0, -0.0002, 100.05
482.0, -0.0002, 100.05
483.0, -0.0003, 100.06
484.0, -0.0002, 100.05
485.0, -0.0003, 100.06
486.0, -0.0002, 100.06
487.0, -0.0002, 100.06
488.0, -0.0002, 100.05
489.0, -0.0003, 100.06
490.0, -0.0002, 100.04
491.0, -0.0002, 100.05
492.0, -0.0002, 100.05
493.0, -0.0003, 100.06
494.0, -0.0003, 100.06
495.0, -0.0002, 100.05
496.0, -0.0003, 100.07
497.0, -0.0002, 100.05
498.0, -0.0002, 100.05
499.0, -0.0002, 100.05
500.0, -0.0002, 100.05
501.0, -0.0002, 100.05
502.0, -0.0002, 100.05
503.0, -0.0003, 100.07
504.0, -0.0002, 100.05
505.0, -0.0003, 100.06
506.0, -0.0003, 100.06
507.0, -0.0003, 100.07
508.0, -0.0002, 100.05
509.0, -0.0002, 100.06
510.0, -0.0003, 100.06
511.0, -0.0003, 100.07
512.0, -0.0003, 100.06
513.0, -0.0003, 100.07
514.0, -0.0003, 100.07
515.0, -0.0003, 100.07
516.0, -0.0003, 100.07
517.0, -0.0002, 100.05
518.0, -0.0002, 100.05
519.0, -0.0002, 100.05
520.0, -0.0003, 100.06
521.0, -0.0002, 100.05
522.0, -0.0002, 100.05
523.0, -0.0002, 100.05
524.0, -0.0002, 100.05
525.0, -0.0003, 100.06
526.0, -0.0003, 100.06
