MQ-10P0N, Time, 2017/07/12 02:28:24
MQ-10P0N, Operator, Smith 
MQ-10P0N, Lamp, 255 
MQ-10P0N, Slit,0.0  
MQ-10P0N, Scan From, 850.0nm
MQ-10P0N, Scan To, 390.0nm
MQ-10P0N, Scan Step, 1.0nm
MQ-10P0N, Sample Filter, 11
MQ-10P0N, memo,  
MQ-10P0N, WL(nm), Abs, T%
MQ-10P0N, 390.0, -0.0020, 100.46
MQ-10P0N, 391.0, -0.0019, 100.43
MQ-10P0N, 392.0, -0.0018, 100.43
MQ-10P0N, 393.0, -0.0020, 100.46
MQ-10P0N, 394.0, -0.0019, 100.44
MQ-10P0N, 395.0, -0.0019, 100.45
MQ-10P0N, 396.0, -0.0019, 100.43
MQ-10P0N, 397.0, -0.0018, 100.42
MQ-10P0N, 398.0, -0.0019, 100.44
MQ-10P0N, 399.0, -0.0019, 100.43
MQ-10P0N, 400.0, -0.0020, 100.47
MQ-10P0N, 401.0, -0.0019, 100.43
MQ-10P0N, 402.0, -0.0020, 100.45
MQ-10P0N, 403.0, -0.0020, 100.46
MQ-10P0N, 404.0, -0.0019, 100.44
MQ-10P0N, 405.0, -0.0020, 100.45
MQ-10P0N, 406.0, -0.0020, 100.46
MQ-10P0N, 407.0, -0.0020, 100.46
MQ-10P0N, 408.0, -0.0019, 100.45
MQ-10P0N, 409.0, -0.0019, 100.43
MQ-10P0N, 410.0, -0.0020, 100.45
MQ-10P0N, 411.0, -0.0019, 100.43
MQ-10P0N, 412.0, -0.0020, 100.45
MQ-10P0N, 413.0, -0.0020, 100.45
MQ-10P0N, 414.0, -0.0020, 100.45
MQ-10P0N, 415.0, -0.0020, 100.45
MQ-10P0N, 416.0, -0.0019, 100.44
MQ-10P0N, 417.0, -0.0020, 100.45
MQ-10P0N, 418.0, -0.0019, 100.44
MQ-10P0N, 419.0, -0.0019, 100.44
MQ-10P0N, 420.0, -0.0020, 100.45
MQ-10P0N, 421.0, -0.0019, 100.44
MQ-10P0N, 422.0, -0.0019, 100.45
MQ-10P0N, 423.0, -0.0019, 100.44
MQ-10P0N, 424.0, -0.0020, 100.46
MQ-10P0N, 425.0, -0.0020, 100.46
MQ-10P0N, 426.0, -0.0020, 100.45
MQ-10P0N, 427.0, -0.0019, 100.44
MQ-10P0N, 428.0, -0.0020, 100.45
MQ-10P0N, 429.0, -0.0019, 100.45
MQ-10P0N, 430.0, -0.0019, 100.45
MQ-10P0N, 431.0, -0.0019, 100.45
MQ-10P0N, 432.0, -0.0020, 100.46
MQ-10P0N, 433.0, -0.0019, 100.44
MQ-10P0N, 434.0, -0.0020, 100.46
MQ-10P0N, 435.0, -0.0019, 100.44
MQ-10P0N, 436.0, -0.0019, 100.45
MQ-10P0N, 437.0, -0.0019, 100.43
MQ-10P0N, 438.0, -0.0018, 100.42
MQ-10P0N, 439.0, -0.0019, 100.43
MQ-10P0N, 440.0, -0.0019, 100.44
MQ-10P0N, 441.0, -0.0019, 100.44
MQ-10P0N, 442.0, -0.0019, 100.44
MQ-10P0N, 443.0, -0.0019, 100.44
MQ-10P0N, 444.0, -0.0020, 100.45
MQ-10P0N, 445.0, -0.0020, 100.46
MQ-10P0N, 446.0, -0.0020, 100.45
MQ-10P0N, 447.0, -0.0020, 100.47
MQ-10P0N, 448.0, -0.0019, 100.45
MQ-10P0N, 449.0, -0.0021, 100.48
MQ-10P0N, 450.0, -0.0021, 100.49
MQ-10P0N, 451.0, -0.0022, 100.50
MQ-10P0N, 452.0, -0.0021, 100.48
MQ-10P0N, 453.0, -0.0021, 100.49
MQ-10P0N, 454.0, -0.0021, 100.50
MQ-10P0N, 455.0, -0.0021, 100.49
MQ-10P0N, 456.0, -0.0022, 100.50
MQ-10P0N, 457.0, -0.0022, 100.50
MQ-10P0N, 458.0, -0.0021, 100.48
MQ-10P0N, 459.0, -0.0021, 100.48
MQ-10P0N, 460.0, -0.0021, 100.48
MQ-10P0N, 461.0, -0.0022, 100.51
MQ-10P0N, 462.0, -0.0022, 100.50
MQ-10P0N, 463.0, -0.0021, 100.50
MQ-10P0N, 464.0, -0.0022, 100.50
MQ-10P0N, 465.0, -0.0022, 100.50
MQ-10P0N, 466.0, -0.0022, 100.52
MQ-10P0N, 467.0, -0.0021, 100.49
MQ-10P0N, 468.0, -0.0022, 100.50
MQ-10P0N, 469.0, -0.0021, 100.49
MQ-10P0N, 470.0, -0.0021, 100.49
MQ-10P0N, 471.0, -0.0022, 100.50
MQ-10P0N, 472.0, -0.0021, 100.48
MQ-10P0N, 473.0, -0.0021, 100.49
MQ-10P0N, 474.0, -0.0022, 100.50
MQ-10P0N, 475.0, -0.0021, 100.48
MQ-10P0N, 476.0, -0.0021, 100.49
MQ-10P0N, 477.0, -0.0021, 100.49
MQ-10P0N, 478.0, -0.0022, 100.50
MQ-10P0N, 479.0, -0.0022, 100.52
MQ-10P0N, 480.0, -0.0022, 100.51
MQ-10P0N, 481.0, -0.0022, 100.51
MQ-10P0N, 482.0, -0.0022, 100.50
MQ-10P0N, 483.0, -0.0022, 100.51
MQ-10P0N, 484.0, -0.0021, 100.50
MQ-10P0N, 485.0, -0.0021, 100.48
MQ-10P0N, 486.0, -0.0022, 100.50
MQ-10P0N, 487.0, -0.0021, 100.48
MQ-10P0N, 488.0, -0.0022, 100.51
MQ-10P0N, 489.0, -0.0022, 100.50
MQ-10P0N, 490.0, -0.0022, 100.50
MQ-10P0N, 491.0, -0.0022, 100.51
MQ-10P0N, 492.0, -0.0021, 100.49
MQ-10P0N, 493.0, -0.0021, 100.49
MQ-10P0N, 494.0, -0.0021, 100.49
MQ-10P0N, 495.0, -0.0021, 100.49
MQ-10P0N, 496.0, -0.0022, 100.50
MQ-10P0N, 497.0, -0.0022, 100.50
MQ-10P0N, 498.0, -0.0022, 100.51
MQ-10P0N, 499.0, -0.0021, 100.49
MQ-10P0N, 500.0, -0.0022, 100.50
MQ-10P0N, 501.0, -0.0021, 100.49
MQ-10P0N, 502.0, -0.0021, 100.48
MQ-10P0N, 503.0, -0.0022, 100.50
MQ-10P0N, 504.0, -0.0021, 100.49
MQ-10P0N, 505.0, -0.0023, 100.52
MQ-10P0N, 506.0, -0.0022, 100.50
MQ-10P0N, 507.0, -0.0021, 100.50
MQ-10P0N, 508.0, -0.0021, 100.49
MQ-10P0N, 509.0, -0.0021, 100.50
MQ-10P0N, 510.0, -0.0022, 100.51
MQ-10P0N, 511.0, -0.0022, 100.50
MQ-10P0N, 512.0, -0.0022, 100.50
MQ-10P0N, 513.0, -0.0022, 100.50
MQ-10P0N, 514.0, -0.0022, 100.50
MQ-10P0N, 515.0, -0.0021, 100.49
MQ-10P0N, 516.0, -0.0022, 100.50
MQ-10P0N, 517.0, -0.0022, 100.50
MQ-10P0N, 518.0, -0.0022, 100.51
MQ-10P0N, 519.0, -0.0022, 100.51
MQ-10P0N, 520.0, -0.0022, 100.51
MQ-10P0N, 521.0, -0.0021, 100.49
MQ-10P0N, 522.0, -0.0021, 100.49
MQ-10P0N, 523.0, -0.0022, 100.50
MQ-10P0N, 524.0, -0.0021, 100.48
MQ-10P0N, 525.0, -0.0021, 100.49
MQ-10P0N, 526.0, -0.0021, 100.49
MQ-10P0N, 527.0, -0.0021, 100.49
MQ-10P0N, 528.0, -0.0021, 100.49
MQ-10P0N, 529.0, -0.0022, 100.50
MQ-10P0N, 530.0, -0.0021, 100.49
MQ-10P0N, 531.0, -0.0021, 100.49
MQ-10P0N, 532.0, -0.0022, 100.50
MQ-10P0N, 533.0, -0.0021, 100.49
MQ-10P0N, 534.0, -0.0021, 100.49
MQ-10P0N, 535.0, -0.0022, 100.51
MQ-10P0N, 536.0, -0.0021, 100.49
MQ-10P0N, 537.0, -0.0022, 100.50
MQ-10P0N, 538.0, -0.0021, 100.47
MQ-10P0N, 539.0, -0.0021, 100.48
MQ-10P0N, 540.0, -0.0021, 100.49
MQ-10P0N, 541.0, -0.0021, 100.48
MQ-10P0N, 542.0, -0.0022, 100.50
MQ-10P0N, 543.0, -0.0022, 100.50
MQ-10P0N, 544.0, -0.0021, 100.49
MQ-10P0N, 545.0, -0.0023, 100.53
MQ-10P0N, 546.0, -0.0022, 100.51
MQ-10P0N, 547.0, -0.0022, 100.51
MQ-10P0N, 548.0, -0.0022, 100.50
MQ-10P0N, 549.0, -0.0022, 100.52
