Sample Name, RO-01P0
Time, 2017/07/12 05:20:08
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, -0.0002, 100.05
391.0, -0.0002, 100.06
392.0, -0.0002, 100.06
393.0, -0.0003, 100.06
394.0, -0.0002, 100.05
395.0, -0.0003, 100.07
396.0, -0.0003, 100.06
397.0, -0.0002, 100.05
398.0, -0.0003, 100.07
399.0, -0.0002, 100.05
400.0, -0.0002, 100.05
401.0, -0.0003, 100.07
402.0, -0.0003, 100.06
403.0, -0.0003, 100.07
404.0, -0.0003, 100.06
405.0, -0.0003, 100.06
406.0, -0.0003, 100.08
407.0, -0.0004, 100.08
408.0, -0.0004, 100.09
409.0, -0.0003, 100.07
410.0, -0.0003, 100.08
411.0, -0.0003, 100.07
412.0, -0.0003, 100.07
413.0, -0.0003, 100.06
414.0, -0.0002, 100.05
415.0, -0.0002, 100.05
416.0, -0.0003, 100.07
417.0, -0.0003, 100.06
418.0, -0.0003, 100.06
419.0, -0.0002, 100.04
420.0, -0.0002, 100.05
421.0, -0.0002, 100.04
422.0, -0.0001, 100.03
423.0, -0.0002, 100.05
424.0, -0.0002, 100.04
425.0, -0.0002, 100.05
426.0, -0.0002, 100.04
427.0, -0.0002, 100.05
428.0, -0.0002, 100.05
429.0, -0.0002, 100.05
430.0, -0.0003, 100.06
431.0, -0.0003, 100.06
432.0, -0.0003, 100.06
433.0, -0.0003, 100.06
434.0, -0.0004, 100.09
435.0, -0.0004, 100.08
436.0, -0.0003, 100.08
437.0, -0.0003, 100.07
438.0, -0.0002, 100.05
439.0, -0.0002, 100.05
440.0, -0.0002, 100.05
441.0, -0.0001, 100.03
442.0, -0.0002, 100.04
443.0, -0.0002, 100.04
444.0, -0.0002, 100.04
445.0, -0.0001, 100.03
446.0, -0.0001, 100.03
447.0, -0.0002, 100.06
448.0, -0.0002, 100.04
449.0, -0.0003, 100.07
450.0, -0.0002, 100.05
451.0, -0.0002, 100.05
452.0, -0.0002, 100.04
453.0, -0.0003, 100.06
454.0, -0.0002, 100.05
455.0, -0.0003, 100.06
456.0, -0.0002, 100.05
457.0, -0.0002, 100.05
458.0, -0.0002, 100.05
459.0, -0.0001, 100.03
460.0, -0.0002, 100.06
461.0, -0.0002, 100.05
462.0, -0.0002, 100.05
463.0, -0.0003, 100.06
464.0, -0.0002, 100.05
465.0, -0.0002, 100.06
466.0, -0.0002, 100.04
467.0, -0.0003, 100.06
468.0, -0.0002, 100.04
469.0, -0.0001, 100.02
470.0, -0.0002, 100.04
471.0, -0.0001, 100.03
472.0, -0.0001, 100.03
473.0, -0.0002, 100.04
474.0, -0.0001, 100.03
475.0, -0.0002, 100.04
476.0, -0.0002, 100.04
477.0, -0.0002, 100.04
478.0, -0.0002, 100.04
479.0, -0.0002, 100.04
480.0, -0.0002, 100.04
481.0, -0.0001, 100.03
482.0, -0.0001, 100.03
483.0, -0.0002, 100.04
484.0, -0.0002, 100.04
485.0, -0.0002, 100.05
486.0, -0.0002, 100.04
487.0, -0.0002, 100.04
488.0, -0.0001, 100.03
489.0, -0.0001, 100.03
490.0, -0.0002, 100.04
491.0, -0.0002, 100.04
492.0, -0.0001, 100.03
493.0, -0.0002, 100.03
494.0, -0.0002, 100.05
495.0, -0.0002, 100.04
496.0, -0.0002, 100.04
497.0, -0.0001, 100.03
498.0, -0.0001, 100.02
499.0, -0.0002, 100.04
500.0, -0.0001, 100.02
501.0, -0.0002, 100.04
502.0, -0.0001, 100.03
503.0, -0.0002, 100.04
504.0, -0.0001, 100.03
505.0, -0.0002, 100.03
506.0, -0.0001, 100.01
507.0, -0.0001, 100.02
508.0, -0.0001, 100.03
509.0, -0.0001, 100.03
510.0, -0.0001, 100.02
511.0, -0.0001, 100.03
512.0, -0.0001, 100.02
513.0, -0.0000, 100.01
514.0, -0.0001, 100.02
515.0, -0.0000, 100.01
516.0, -0.0001, 100.03
517.0, -0.0001, 100.02
518.0, -0.0000, 100.01
519.0, -0.0001, 100.02
520.0, -0.0001, 100.03
521.0, -0.0001, 100.03
522.0, -0.0001, 100.03
523.0, -0.0001, 100.02
524.0, -0.0001, 100.03
525.0, -0.0001, 100.03
526.0, -0.0001, 100.03
527.0, -0.0001, 100.03
528.0, -0.0002, 100.04
529.0, -0.0001, 100.03
530.0, -0.0001, 100.02
