RO-05P0, Time, 2017/07/12 03:07:58
RO-05P0, Operator, Smith 
RO-05P0, Lamp, 255 
RO-05P0, Slit,0.0  
RO-05P0, Scan From, 850.0nm
RO-05P0, Scan To, 390.0nm
RO-05P0, Scan Step, 1.0nm
RO-05P0, Sample Filter, 11
RO-05P0, memo,  
RO-05P0, WL(nm), Abs, T%
RO-05P0, 390.0, -0.0017, 100.38
RO-05P0, 391.0, -0.0016, 100.37
RO-05P0, 392.0, -0.0016, 100.36
RO-05P0, 393.0, -0.0015, 100.35
RO-05P0, 394.0, -0.0016, 100.37
RO-05P0, 395.0, -0.0016, 100.36
RO-05P0, 396.0, -0.0015, 100.36
RO-05P0, 397.0, -0.0016, 100.36
RO-05P0, 398.0, -0.0016, 100.38
RO-05P0, 399.0, -0.0016, 100.36
RO-05P0, 400.0, -0.0015, 100.36
RO-05P0, 401.0, -0.0016, 100.36
RO-05P0, 402.0, -0.0015, 100.34
RO-05P0, 403.0, -0.0015, 100.35
RO-05P0, 404.0, -0.0015, 100.34
RO-05P0, 405.0, -0.0015, 100.35
RO-05P0, 406.0, -0.0015, 100.34
RO-05P0, 407.0, -0.0014, 100.33
RO-05P0, 408.0, -0.0015, 100.34
RO-05P0, 409.0, -0.0013, 100.31
RO-05P0, 410.0, -0.0014, 100.32
RO-05P0, 411.0, -0.0014, 100.31
RO-05P0, 412.0, -0.0013, 100.30
RO-05P0, 413.0, -0.0013, 100.30
RO-05P0, 414.0, -0.0014, 100.32
RO-05P0, 415.0, -0.0014, 100.32
RO-05P0, 416.0, -0.0014, 100.32
RO-05P0, 417.0, -0.0014, 100.32
RO-05P0, 418.0, -0.0013, 100.30
RO-05P0, 419.0, -0.0014, 100.31
RO-05P0, 420.0, -0.0014, 100.31
RO-05P0, 421.0, -0.0013, 100.31
RO-05P0, 422.0, -0.0013, 100.31
RO-05P0, 423.0, -0.0014, 100.31
RO-05P0, 424.0, -0.0013, 100.30
RO-05P0, 425.0, -0.0013, 100.29
RO-05P0, 426.0, -0.0012, 100.29
RO-05P0, 427.0, -0.0012, 100.28
RO-05P0, 428.0, -0.0012, 100.27
RO-05P0, 429.0, -0.0012, 100.27
RO-05P0, 430.0, -0.0011, 100.26
RO-05P0, 431.0, -0.0011, 100.26
RO-05P0, 432.0, -0.0011, 100.26
RO-05P0, 433.0, -0.0011, 100.25
RO-05P0, 434.0, -0.0012, 100.27
RO-05P0, 435.0, -0.0011, 100.25
RO-05P0, 436.0, -0.0011, 100.25
RO-05P0, 437.0, -0.0011, 100.25
RO-05P0, 438.0, -0.0011, 100.25
RO-05P0, 439.0, -0.0011, 100.25
RO-05P0, 440.0, -0.0012, 100.27
RO-05P0, 441.0, -0.0011, 100.26
RO-05P0, 442.0, -0.0011, 100.25
RO-05P0, 443.0, -0.0010, 100.23
RO-05P0, 444.0, -0.0011, 100.25
RO-05P0, 445.0, -0.0009, 100.22
RO-05P0, 446.0, -0.0009, 100.20
RO-05P0, 447.0, -0.0009, 100.21
RO-05P0, 448.0, -0.0009, 100.20
RO-05P0, 449.0, -0.0010, 100.23
RO-05P0, 450.0, -0.0010, 100.24
RO-05P0, 451.0, -0.0008, 100.19
RO-05P0, 452.0, -0.0008, 100.20
RO-05P0, 453.0, -0.0008, 100.19
RO-05P0, 454.0, -0.0008, 100.19
RO-05P0, 455.0, -0.0008, 100.18
RO-05P0, 456.0, -0.0008, 100.19
RO-05P0, 457.0, -0.0008, 100.18
RO-05P0, 458.0, -0.0008, 100.18
RO-05P0, 459.0, -0.0008, 100.18
RO-05P0, 460.0, -0.0007, 100.17
RO-05P0, 461.0, -0.0007, 100.17
RO-05P0, 462.0, -0.0007, 100.15
RO-05P0, 463.0, -0.0008, 100.18
RO-05P0, 464.0, -0.0007, 100.17
RO-05P0, 465.0, -0.0007, 100.15
RO-05P0, 466.0, -0.0007, 100.15
RO-05P0, 467.0, -0.0006, 100.15
RO-05P0, 468.0, -0.0007, 100.16
RO-05P0, 469.0, -0.0007, 100.16
RO-05P0, 470.0, -0.0006, 100.14
RO-05P0, 471.0, -0.0006, 100.15
RO-05P0, 472.0, -0.0007, 100.15
RO-05P0, 473.0, -0.0007, 100.16
RO-05P0, 474.0, -0.0007, 100.15
RO-05P0, 475.0, -0.0007, 100.16
RO-05P0, 476.0, -0.0007, 100.16
RO-05P0, 477.0, -0.0007, 100.16
RO-05P0, 478.0, -0.0007, 100.16
RO-05P0, 479.0, -0.0006, 100.14
RO-05P0, 480.0, -0.0006, 100.14
RO-05P0, 481.0, -0.0006, 100.15
RO-05P0, 482.0, -0.0006, 100.14
RO-05P0, 483.0, -0.0007, 100.16
RO-05P0, 484.0, -0.0007, 100.15
RO-05P0, 485.0, -0.0007, 100.16
RO-05P0, 486.0, -0.0006, 100.15
RO-05P0, 487.0, -0.0006, 100.15
RO-05P0, 488.0, -0.0006, 100.15
RO-05P0, 489.0, -0.0006, 100.14
RO-05P0, 490.0, -0.0006, 100.14
RO-05P0, 491.0, -0.0006, 100.14
RO-05P0, 492.0, -0.0006, 100.14
RO-05P0, 493.0, -0.0007, 100.16
RO-05P0, 494.0, -0.0006, 100.15
RO-05P0, 495.0, -0.0007, 100.16
RO-05P0, 496.0, -0.0007, 100.15
RO-05P0, 497.0, -0.0006, 100.14
RO-05P0, 498.0, -0.0006, 100.14
RO-05P0, 499.0, -0.0006, 100.14
RO-05P0, 500.0, -0.0007, 100.15
RO-05P0, 501.0, -0.0006, 100.14
RO-05P0, 502.0, -0.0006, 100.14
RO-05P0, 503.0, -0.0006, 100.15
RO-05P0, 504.0, -0.0006, 100.14
RO-05P0, 505.0, -0.0007, 100.15
RO-05P0, 506.0, -0.0007, 100.15
RO-05P0, 507.0, -0.0007, 100.15
RO-05P0, 508.0, -0.0006, 100.14
RO-05P0, 509.0, -0.0006, 100.15
RO-05P0, 510.0, -0.0007, 100.15
RO-05P0, 511.0, -0.0007, 100.15
RO-05P0, 512.0, -0.0007, 100.16
RO-05P0, 513.0, -0.0007, 100.16
RO-05P0, 514.0, -0.0007, 100.17
RO-05P0, 515.0, -0.0007, 100.16
RO-05P0, 516.0, -0.0007, 100.15
RO-05P0, 517.0, -0.0006, 100.15
RO-05P0, 518.0, -0.0006, 100.15
RO-05P0, 519.0, -0.0006, 100.15
RO-05P0, 520.0, -0.0006, 100.13
RO-05P0, 521.0, -0.0006, 100.14
RO-05P0, 522.0, -0.0007, 100.15
RO-05P0, 523.0, -0.0006, 100.14
RO-05P0, 524.0, -0.0006, 100.14
RO-05P0, 525.0, -0.0006, 100.14
RO-05P0, 526.0, -0.0006, 100.14
RO-05P0, 527.0, -0.0006, 100.15
RO-05P0, 528.0, -0.0006, 100.15
RO-05P0, 529.0, -0.0006, 100.14
RO-05P0, 530.0, -0.0006, 100.15
RO-05P0, 531.0, -0.0006, 100.14
RO-05P0, 532.0, -0.0006, 100.15
RO-05P0, 533.0, -0.0006, 100.13
RO-05P0, 534.0, -0.0006, 100.14
RO-05P0, 535.0, -0.0006, 100.14
RO-05P0, 536.0, -0.0005, 100.12
RO-05P0, 537.0, -0.0007, 100.15
RO-05P0, 538.0, -0.0006, 100.13
RO-05P0, 539.0, -0.0006, 100.14
RO-05P0, 540.0, -0.0006, 100.14
RO-05P0, 541.0, -0.0005, 100.12
RO-05P0, 542.0, -0.0006, 100.14
RO-05P0, 543.0, -0.0006, 100.14
RO-05P0, 544.0, -0.0007, 100.16
RO-05P0, 545.0, -0.0006, 100.14
RO-05P0, 546.0, -0.0006, 100.14
RO-05P0, 547.0, -0.0007, 100.16
RO-05P0, 548.0, -0.0006, 100.14
RO-05P0, 549.0, -0.0006, 100.13
RO-05P0, 550.0, -0.0006, 100.13
RO-05P0, 551.0, -0.0006, 100.14
RO-05P0, 552.0, -0.0006, 100.14
RO-05P0, 553.0, -0.0006, 100.14
RO-05P0, 554.0, -0.0006, 100.14
RO-05P0, 555.0, -0.0006, 100.13
RO-05P0, 556.0, -0.0007, 100.15
RO-05P0, 557.0, -0.0006, 100.15
RO-05P0, 558.0, -0.0007, 100.16
RO-05P0, 559.0, -0.0006, 100.15
RO-05P0, 560.0, -0.0006, 100.13
RO-05P0, 561.0, -0.0006, 100.13
RO-05P0, 562.0, -0.0006, 100.13
