Sample Name, TP-05P0
Time, 2017/07/12 03:11:08
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, -0.0008, 100.18
391.0, -0.0007, 100.16
392.0, -0.0008, 100.17
393.0, -0.0008, 100.18
394.0, -0.0009, 100.21
395.0, -0.0009, 100.20
396.0, -0.0008, 100.19
397.0, -0.0009, 100.20
398.0, -0.0010, 100.23
399.0, -0.0009, 100.21
400.0, -0.0009, 100.21
401.0, -0.0010, 100.23
402.0, -0.0009, 100.21
403.0, -0.0008, 100.19
404.0, -0.0010, 100.22
405.0, -0.0010, 100.23
406.0, -0.0010, 100.24
407.0, -0.0010, 100.23
408.0, -0.0010, 100.23
409.0, -0.0009, 100.21
410.0, -0.0010, 100.23
411.0, -0.0009, 100.21
412.0, -0.0009, 100.20
413.0, -0.0009, 100.21
414.0, -0.0010, 100.23
415.0, -0.0010, 100.23
416.0, -0.0010, 100.23
417.0, -0.0010, 100.24
418.0, -0.0009, 100.22
419.0, -0.0010, 100.23
420.0, -0.0010, 100.23
421.0, -0.0010, 100.23
422.0, -0.0010, 100.23
423.0, -0.0010, 100.23
424.0, -0.0010, 100.23
425.0, -0.0010, 100.23
426.0, -0.0009, 100.22
427.0, -0.0010, 100.22
428.0, -0.0010, 100.22
429.0, -0.0009, 100.21
430.0, -0.0009, 100.20
431.0, -0.0009, 100.21
432.0, -0.0009, 100.21
433.0, -0.0008, 100.19
434.0, -0.0009, 100.21
435.0, -0.0009, 100.21
436.0, -0.0009, 100.20
437.0, -0.0009, 100.21
438.0, -0.0008, 100.20
439.0, -0.0009, 100.20
440.0, -0.0009, 100.21
441.0, -0.0009, 100.20
442.0, -0.0009, 100.20
443.0, -0.0008, 100.18
444.0, -0.0008, 100.19
445.0, -0.0007, 100.17
446.0, -0.0007, 100.15
447.0, -0.0007, 100.17
448.0, -0.0007, 100.17
449.0, -0.0008, 100.18
450.0, -0.0008, 100.19
451.0, -0.0007, 100.17
452.0, -0.0007, 100.15
453.0, -0.0007, 100.15
454.0, -0.0007, 100.15
455.0, -0.0006, 100.15
456.0, -0.0007, 100.17
457.0, -0.0007, 100.16
458.0, -0.0007, 100.15
459.0, -0.0007, 100.16
460.0, -0.0007, 100.15
461.0, -0.0007, 100.15
462.0, -0.0006, 100.14
463.0, -0.0007, 100.15
464.0, -0.0007, 100.15
465.0, -0.0006, 100.13
466.0, -0.0006, 100.14
467.0, -0.0006, 100.14
468.0, -0.0006, 100.15
469.0, -0.0006, 100.15
470.0, -0.0006, 100.13
471.0, -0.0006, 100.14
