Sample Name, TP-10P0,
Time, 2017/07/12 02:14:10,
Operator, Smith,
Lamp,255,
Slit,0,
Scan From, 850.0nm,
Scan To, 390.0nm,
Scan Step, 1.0nm,
Sample Filter,11,
memo, ,
WL(nm), Abs, T%
390,0.004,99.99
391,0.0038,99.99
392,0.0036,100.01
393,0.004,100.01
394,0.0038,100.02
395,0.0038,100.03
396,0.0038,100.04
397,0.0036,100.06
398,0.0038,100.08
399,0.0038,100.06
400,0.004,100.08
401,0.0038,100.09
402,0.004,100.11
403,0.004,100.12
404,0.0038,100.13
405,0.004,100.15
406,0.004,100.16
407,0.004,100.17
408,0.0038,100.16
409,0.0038,100.16
410,0.004,100.18
411,0.0038,100.17
412,0.004,100.19
413,0.004,100.21
414,0.004,100.2
415,0.004,100.21
416,0.0038,100.22
417,0.004,100.24
418,0.0038,100.23
419,0.0038,100.25
420,0.004,100.25
421,0.0038,100.25
422,0.0038,100.25
423,0.0038,100.25
424,0.004,100.28
425,0.004,100.28
426,0.004,100.28
427,0.0038,100.28
428,0.004,100.29
429,0.0038,100.29
430,0.0038,100.29
431,0.0038,100.3
432,0.004,100.3
433,0.0038,100.3
434,0.004,100.31
435,0.0038,100.3
436,0.0038,100.31
437,0.0038,100.3
438,0.0036,100.3
439,0.0038,100.31
440,0.0038,100.32
441,0.0038,100.33
442,0.0038,100.33
443,0.0038,100.34
444,0.004,100.34
445,0.004,100.36
446,0.004,100.35
447,0.004,100.34
448,0.0038,100.33
449,0.0042,100.37
450,0.0042,100.38
451,0.0044,100.37
452,0.0042,100.38
453,0.0042,100.38
454,0.0042,100.39
455,0.0042,100.39
456,0.0044,100.39
457,0.0044,100.39
458,0.0042,100.39
459,0.0042,100.38
460,0.0042,100.4
461,0.0044,100.41
462,0.0044,100.41
463,0.0042,100.41
464,0.0044,100.41
465,0.0044,100.41
466,0.0044,100.42
467,0.0042,100.4
468,0.0044,100.42
469,0.0042,100.39
470,0.0042,100.41
471,0.0044,100.41
472,0.0042,100.41
473,0.0042,100.43
474,0.0044,100.43
475,0.0042,100.43
476,0.0042,100.42
477,0.0042,100.43
478,0.0044,100.43
479,0.0044,100.42
480,0.0044,100.43
481,0.0044,100.42
482,0.0044,100.42
483,0.0044,100.44
484,0.0042,100.45
485,0.0042,100.43
486,0.0044,100.43
487,0.0042,100.44
488,0.0044,100.44
489,0.0044,100.44
490,0.0044,100.44
491,0.0044,100.44
492,0.0042,100.43
493,0.0042,100.43
494,0.0042,100.43
495,0.0042,100.44
496,0.0044,100.44
497,0.0044,100.44
498,0.0044,100.45
499,0.0042,100.44
500,0.0044,100.45
501,0.0042,100.44
502,0.0042,100.44
503,0.0044,100.45
504,0.0042,100.44
505,0.0046,100.47
506,0.0044,100.45
507,0.0042,100.44
508,0.0042,100.45
509,0.0042,100.44
510,0.0044,100.45
511,0.0044,100.45
512,0.0044,100.44
513,0.0044,100.44
514,0.0044,100.44
515,0.0042,100.44
516,0.0044,100.45
517,0.0044,100.44
518,0.0044,100.45
519,0.0044,100.45
520,0.0044,100.45
521,0.0042,100.45
522,0.0042,100.46
523,0.0044,100.45
524,0.0042,100.46
525,0.0042,100.46
526,0.0042,100.46
527,0.0042,100.45
528,0.0042,100.46
529,0.0044,100.46
530,0.0042,100.45
531,0.0042,100.45
532,0.0044,100.47
533,0.0042,100.45
534,0.0042,100.47
535,0.0044,100.46
536,0.0042,100.45
537,0.0044,100.47
538,0.0042,100.44
539,0.0042,100.45
540,0.0042,100.45
541,0.0042,100.44
542,0.0044,100.45
543,0.0044,100.45
544,0.0042,100.45
545,0.0046,100.45
546,0.0044,100.45
547,0.0044,100.46
548,0.0044,100.44
549,0.0044,100.45
550,0.0046,100.46
551,0.0044,100.46
552,0.0044,100.47
553,0.0046,100.48
554,0.0046,100.47
555,0.0046,100.47
556,0.0044,100.46
557,0.0046,100.46
558,0.0046,100.47
559,0.0048,100.47
560,0.0046,100.47
561,0.0046,100.48
562,0.0044,100.45
563,0.0046,100.47
564,0.0046,100.47
565,0.0044,100.46
566,0.0044,100.46
567,0.0044,100.46
568,0.0044,100.45
569,0.0046,100.44
570,0.0044,100.44
571,0.0048,100.46
572,0.0044,100.45
573,0.0048,100.48
574,0.0048,100.46
575,0.0048,100.47
576,0.0048,100.48
577,0.0048,100.48
578,0.005,100.47
579,0.005,100.51
580,0.0048,100.49
581,0.0048,100.48
582,0.0048,100.48
583,0.0048,100.49
584,0.0046,100.48
585,0.0046,100.47
586,0.0046,100.46
587,0.0046,100.46
588,0.0046,100.45
589,0.0044,100.45
590,0.0044,100.44
591,0.0044,100.44
592,0.0042,100.43
593,0.0044,100.42
594,0.0046,100.44
595,0.0044,100.43
596,0.0046,100.45
597,0.0044,100.45
598,0.0046,100.44
599,0.0048,100.45
600,0.0046,100.43
601,0.0048,100.45
602,0.0046,100.45
603,0.0048,100.44
604,0.0046,100.44
605,0.0048,100.46
606,0.0048,100.44
607,0.0048,100.46
608,0.005,100.46
609,0.0048,100.46
610,0.005,100.46
611,0.005,100.46
612,0.005,100.45
613,0.005,100.45
614,0.005,100.45
615,0.005,100.43
616,0.005,100.44
617,0.005,100.44
618,0.005,100.43
619,0.0048,100.42
620,0.005,100.41
621,0.0048,100.42
622,0.005,100.42
623,0.005,100.41
624,0.0048,100.41
625,0.0048,100.42
626,0.005,100.41
627,0.0048,100.41
628,0.005,100.41
629,0.0048,100.4
630,0.0052,100.42
631,0.005,100.42
632,0.0052,100.41
633,0.005,100.4
634,0.005,100.39
635,0.005,100.39
636,0.005,100.39
637,0.0052,100.4
638,0.0052,100.4
639,0.0052,100.39
640,0.0052,100.38
641,0.005,100.38
642,0.005,100.38
643,0.0048,100.37
644,0.0048,100.38
645,0.005,100.38
646,0.0048,100.37
647,0.005,100.38
648,0.005,100.38
649,0.005,100.38
650,0.005,100.36
651,0.005,100.37
652,0.005,100.36
653,0.0048,100.35
654,0.0048,100.34
655,0.0048,100.34
656,0.0048,100.33
657,0.0048,100.34
658,0.0048,100.34
659,0.005,100.34
660,0.005,100.32
661,0.0048,100.31
662,0.0048,100.31
663,0.0048,100.31
664,0.0048,100.31
665,0.005,100.32
666,0.005,100.33
667,0.005,100.32
668,0.005,100.31
669,0.0048,100.3
670,0.0048,100.3
671,0.0048,100.29
672,0.0048,100.29
673,0.0046,100.28
674,0.0048,100.29
675,0.0046,100.28
676,0.0046,100.28
677,0.0048,100.27
678,0.0046,100.27
679,0.0048,100.26
680,0.0048,100.26
681,0.0048,100.28
682,0.0048,100.28
683,0.0046,100.27
684,0.0046,100.26
685,0.0044,100.25
686,0.0046,100.25
687,0.0044,100.24
688,0.0046,100.23
689,0.0044,100.22
690,0.0046,100.24
691,0.0046,100.24
692,0.0046,100.24
693,0.0046,100.23
694,0.0046,100.23
695,0.0046,100.23
696,0.0046,100.2
697,0.0046,100.22
698,0.0048,100.22
699,0.0046,100.21
700,0.0048,100.2
701,0.0048,100.2
702,0.0046,100.2
703,0.0046,100.2
704,0.0046,100.2
705,0.0046,100.2
706,0.0048,100.2
707,0.0048,100.2
708,0.0048,100.19
709,0.0048,100.19
710,0.005,100.22
711,0.0048,100.22
712,0.0048,100.23
713,0.0048,100.21
714,0.0048,100.22
715,0.005,100.23
716,0.0048,100.23
717,0.0046,100.22
718,0.0048,100.23
719,0.0046,100.21
720,0.0048,100.22
721,0.0046,100.21
722,0.0046,100.21
723,0.0048,100.21
724,0.0048,100.21
725,0.0048,100.2
726,0.0048,100.2
727,0.0048,100.2
728,0.0048,100.2
729,0.0048,100.21
730,0.0048,100.22
731,0.0048,100.2
732,0.0048,100.22
733,0.0048,100.22
734,0.0048,100.22
735,0.0048,100.22
736,0.0048,100.23
737,0.0048,100.24
738,0.0048,100.25
739,0.0048,100.23
740,0.005,100.24
741,0.0048,100.22
742,0.0048,100.23
743,0.0046,100.22
744,0.0046,100.21
745,0.0048,100.2
746,0.0046,100.19
747,0.0048,100.21
748,0.0048,100.21
749,0.0048,100.21
750,0.0048,100.21
751,0.0048,100.2
752,0.0048,100.19
753,0.0048,100.19
754,0.0046,100.19
755,0.0048,100.2
756,0.0046,100.18
757,0.0046,100.18
758,0.0046,100.17
759,0.0048,100.18
760,0.0046,100.17
761,0.0048,100.19
762,0.0046,100.17
763,0.0046,100.16
764,0.0044,100.16
765,0.0046,100.15
766,0.0044,100.15
767,0.0046,100.15
768,0.0044,100.13
769,0.0046,100.15
770,0.0046,100.16
771,0.0048,100.17
772,0.0048,100.17
773,0.0046,100.16
774,0.0046,100.16
775,0.0046,100.16
776,0.0046,100.15
777,0.0046,100.15
778,0.0046,100.14
779,0.0046,100.16
780,0.0046,100.14
781,0.0048,100.15
782,0.0048,100.14
783,0.0048,100.15
784,0.0048,100.15
785,0.0048,100.16
786,0.0048,100.16
787,0.005,100.16
788,0.0048,100.15
789,0.0046,100.14
790,0.0046,100.14
791,0.0048,100.14
792,0.0048,100.14
793,0.0048,100.13
794,0.0048,100.15
795,0.0048,100.13
796,0.0048,100.14
797,0.0048,100.14
798,0.0048,100.13
799,0.0048,100.14
800,0.0048,100.15
801,0.005,100.17
802,0.005,100.18
803,0.005,100.17
804,0.0048,100.17
805,0.0048,100.17
806,0.0048,100.17
807,0.0048,100.19
808,0.0046,100.18
809,0.0048,100.19
810,0.0048,100.19
811,0.0048,100.21
812,0.0048,100.2
813,0.0048,100.2
814,0.0048,100.19
815,0.0048,100.19
816,0.0048,100.2
817,0.0048,100.2
818,0.005,100.21
819,0.005,100.22
820,0.0048,100.2
821,0.0048,100.22
822,0.0048,100.22
823,0.005,100.24
824,0.005,100.24
825,0.005,100.26
826,0.0052,100.25
827,0.0052,100.26
828,0.005,100.29
829,0.005,100.29
830,0.005,100.29
831,0.005,100.3
832,0.005,100.31
833,0.0048,100.31
834,0.0048,100.3
835,0.0048,100.33
836,0.0048,100.32
837,0.005,100.33
838,0.0048,100.33
839,0.0048,100.32
840,0.0048,100.32
841,0.0048,100.32
842,0.0048,100.33
843,0.005,100.32
844,0.005,100.31
845,0.005,100.32
846,0.005,100.31
847,0.0048,100.31
848,0.005,100.33
849,0.0048,100.31
850,0.0048,100.32
