awavelength,cwavelength,ats1,cts1,bts1,asv,a_spec,aflat,ats2,cts2,bts2,asv,a_spec,aflat,ats3,cts3,bts3,asv,a_spec,aflat
399.8,400.7,0.886827422,1.337876577,0.451049155,NaN,0.885677422,0.937526359,0.793531998,0.746207605,-0.047324393,NaN,0.792511998,0.691144073,1.6997752,3.38144347,1.68166827,NaN,1.6986252,1.185989576
403.5,405,0.809505778,1.286033687,0.47652791,0.782533111,0.808355778,0.860204715,0.754311862,0.700099867,-0.054211994,0.740630419,0.753291862,0.651923936,1.60568514,3.33634597,1.730660831,1.572863026,1.60453514,1.091899516
408.4,409.4,0.722920012,1.235940302,0.51302029,0.703241429,0.721840012,0.77361895,0.710358606,0.651287898,-0.059070708,0.70036923,0.709278606,0.607970681,1.516756846,3.290564696,1.773807851,1.49654587,1.515676846,1.002971222
412.5,413.9,0.650314705,1.185634336,0.535319631,0.627726388,0.649149705,0.701013643,0.665203133,0.60933497,-0.055868163,0.651154764,0.664070633,0.562815207,1.441985935,3.246605573,1.804619638,1.418723874,1.440820935,0.928200311
416.9,418.5,0.591339432,1.142162216,0.550822783,0.570826294,0.590259432,0.64203837,0.627001257,0.565674773,-0.061326485,0.613713648,0.625921257,0.524613332,1.378428356,3.202135396,1.82370704,1.356321372,1.377348356,0.864642732
421.5,423,0.543255628,1.098254901,0.554999273,0.527227693,0.542378128,0.593954566,0.594401635,0.524914765,-0.06948687,0.583535095,0.593524135,0.49201371,1.336683324,3.152955408,1.816272085,1.322768313,1.335805824,0.8228977
426.3,427.8,0.505102329,1.056305361,0.551203031,0.493179424,0.504292329,0.555801267,0.555069112,0.486039022,-0.069030091,0.542777699,0.554259112,0.452681187,1.296716918,3.107945302,1.811228384,1.284227416,1.295906918,0.782931294
431.1,432.5,0.460070304,1.020000151,0.559929847,0.44665651,0.459260304,0.510769242,0.51690465,0.450282455,-0.066622195,0.505536513,0.51609465,0.414516725,1.256304444,3.064771095,1.808466651,1.244266686,1.255494444,0.74251882
435.6,436.8,0.427741035,0.985797747,0.558056712,0.418718913,0.426931035,0.478439973,0.485014519,0.416885848,-0.068128671,0.476114947,0.484204519,0.382626593,1.217834306,3.024304605,1.806470299,1.207098453,1.217024306,0.704048682
440,441.4,0.396817441,0.951110764,0.554293323,0.387405913,0.396277441,0.447516379,0.458572204,0.385662204,-0.07291,0.450524543,0.458032204,0.356184278,1.184801812,2.987296713,1.802494901,1.174748445,1.184261812,0.671016188
444.6,446.2,0.369350158,0.922347607,0.552997449,0.360194396,0.368810158,0.420049095,0.430668075,0.357591205,-0.07307687,0.421366699,0.430128075,0.32828015,1.152079191,2.949771312,1.797692121,1.141171651,1.151539191,0.638293567
449.3,450.9,0.342456996,0.896804345,0.554347349,0.333301878,0.341916996,0.393155934,0.40656289,0.332385226,-0.074177664,0.39835687,0.40602289,0.304174965,1.120476772,2.91452923,1.794052458,1.109718502,1.119936772,0.606691149
453.8,455.7,0.321591722,0.868321566,0.546729843,0.313332551,0.321051722,0.37229066,0.387213648,0.309505438,-0.07770821,0.379554573,0.386673648,0.284825722,1.09131218,2.881415532,1.790103351,1.079767863,1.09077218,0.577526556
458.7,460.4,0.301343115,0.850365472,0.549022357,0.294019151,0.300803115,0.352042053,0.367271728,0.289556442,-0.077715286,0.360058693,0.366731728,0.264883803,1.064691022,2.847830857,1.783139834,1.055062093,1.064151022,0.550905398
463.4,465.2,0.281095707,0.831331934,0.550236226,0.27350293,0.280555707,0.331794645,0.349010764,0.270398464,-0.0786123,0.342162902,0.348470764,0.246622838,1.040817198,2.817093561,1.776276363,1.031864514,1.040277198,0.527031574
468,470.1,0.266563049,0.815696812,0.549133763,0.260334767,0.266023049,0.317261987,0.333890073,0.253138131,-0.080751942,0.327409777,0.333350073,0.231502148,1.019440338,2.787671746,1.768231409,1.010278826,1.018900338,0.505654714
473.1,475,0.249611436,0.799477392,0.549865957,0.243038361,0.249341436,0.300310373,0.319233595,0.237179637,-0.082053957,0.31355047,0.318963595,0.216845669,0.997877138,2.75959443,1.761717292,0.989515898,0.997607138,0.484091514
477.6,479.9,0.236282651,0.782893956,0.546611305,0.230026283,0.236012651,0.286981589,0.306728638,0.22221596,-0.084512678,0.300858964,0.306458638,0.204340712,0.97965651,2.733150259,1.75349375,0.97110397,0.97938651,0.465870886
482.2,484.5,0.222500624,0.768801943,0.546301319,0.21560961,0.222230624,0.273199561,0.29335844,0.208216607,-0.085141833,0.286673341,0.29308844,0.190970515,0.959822473,2.707159472,1.747336999,0.949905455,0.959552473,0.446036849
486.9,489,0.209993658,0.756344187,0.546350529,0.204157074,0.209723658,0.260692596,0.282626634,0.194836988,-0.087789646,0.277618457,0.282356634,0.180238708,0.942347839,2.682007822,1.739659983,0.93419301,0.942077839,0.428562215
491.6,493.5,0.19755001,0.744129957,0.546579947,0.192296026,0.19728001,0.248248948,0.270641617,0.181694786,-0.088946831,0.265581277,0.270371617,0.168253692,0.924645598,2.656874832,1.732229235,0.917171318,0.924375598,0.410859974
496.1,498.2,0.186233639,0.730248367,0.544014727,0.181177388,0.185963639,0.236932577,0.260992556,0.169707581,-0.091284974,0.256681273,0.260722556,0.15860463,0.907820645,2.631054283,1.723233638,0.900303113,0.907550645,0.394035021
500.8,503.1,0.175609355,0.717656646,0.542047291,0.170622447,0.175339355,0.226308293,0.251343723,0.157789362,-0.093554361,0.246814679,0.251073723,0.148955797,0.891457885,2.607807574,1.716349689,0.883777406,0.891187885,0.377672261
505.4,507.6,0.165295685,0.705992311,0.540696625,0.160253447,0.165025685,0.215994623,0.241347013,0.146821471,-0.094525542,0.236459732,0.241077013,0.138959087,0.875424194,2.583257936,1.707833742,0.867585501,0.875154194,0.36163857
510.2,512.6,0.15626168,0.697472854,0.541211174,0.151925358,0.15565168,0.206960618,0.23313828,0.136604977,-0.096533303,0.229198088,0.23265828,0.130750354,0.860798032,2.558985958,1.698187925,0.853777475,0.860188032,0.347012409
515.1,518,0.148046002,0.685674916,0.537628914,0.143633878,0.147436002,0.198744939,0.224477371,0.126852413,-0.097624958,0.219826142,0.223997371,0.122089445,0.847636297,2.536327635,1.688691338,0.840567958,0.847026297,0.333850673
520.3,522.3,0.140124633,0.677214069,0.537089436,0.136440276,0.139514633,0.190823571,0.216544081,0.11788364,-0.098660441,0.212854178,0.216064081,0.114156155,0.834612643,2.51319166,1.678579018,0.828555129,0.834002643,0.320827019
524.6,527.2,0.132250251,0.666886001,0.53463575,0.128072007,0.131640251,0.182949188,0.209386288,0.108951155,-0.100435133,0.205588275,0.208906288,0.106998362,0.821883118,2.490705005,1.668821886,0.815128677,0.821273118,0.308097494
529.4,532,0.125500279,0.661480986,0.535980708,0.121844044,0.125230279,0.176199216,0.202017948,0.100656608,-0.10136134,0.198026763,0.201747948,0.099630022,0.811082681,2.468074794,1.656992114,0.805232444,0.810812681,0.297297057
534.1,537,0.117728897,0.656519692,0.538790795,0.113221496,0.117458897,0.168427835,0.194849101,0.093562621,-0.10128648,0.190691171,0.194579101,0.092461176,0.798815384,2.446127695,1.647312312,0.791700352,0.798545384,0.28502976
538.9,541.8,0.110372124,0.64671379,0.536341666,0.105927407,0.110102124,0.161071062,0.189166174,0.086394826,-0.102771348,0.185732738,0.188896174,0.086778248,0.788183007,2.42622894,1.638045933,0.78175928,0.787913007,0.274397384
543.5,546.4,0.104512559,0.639769255,0.535256696,0.100818485,0.104242559,0.155211497,0.183511904,0.079646927,-0.103864977,0.179947256,0.183241904,0.081123978,0.778771112,2.40547644,1.626705329,0.772837525,0.778501112,0.264985488
548.1,551,0.09855728,0.633709403,0.535152123,0.094802864,0.09830078,0.149256217,0.178043711,0.073586297,-0.104457414,0.174596372,0.177787211,0.075655785,0.768943749,2.385422463,1.616478715,0.762748237,0.768687249,0.255158125
552.9,555.5,0.093333318,0.625078461,0.531745143,0.090315029,0.093333318,0.144032255,0.173376527,0.067837834,-0.105538693,0.170679933,0.173376527,0.070988602,0.759223736,2.366188989,1.606965253,0.753607729,0.759223736,0.245438112
557.7,560.3,0.088686722,0.618835056,0.530148334,0.086169817,0.088686722,0.13938566,0.169308359,0.062633057,-0.106675302,0.167104768,0.169308359,0.066920433,0.750735133,2.348077053,1.59734192,0.74613714,0.750735133,0.236949509
561.8,564.7,0.083586752,0.613382437,0.529795685,0.080225407,0.083586752,0.134285689,0.164773397,0.05786949,-0.106903907,0.161784445,0.164773397,0.062385472,0.741795586,2.33033785,1.588542264,0.735903612,0.741795586,0.228009962
565.9,569.1,0.085127626,0.596611697,0.511484072,0.086248262,0.085127626,0.135826563,0.155619769,0.054214716,-0.101405053,0.148962586,0.155619769,0.053231844,0.740464034,2.317980211,1.577516177,0.739495633,0.740464034,0.22667841
