awavelength,cwavelength,ats1,cts1,bts1,asv,a_spec,aflat,ats3,cts3,bts3,asv,a_spec,aflat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399.8,400.7,0.886827422,1.337876577,0.469857123,0.945922902,0.885677422,0.937526359,1.6997752,3.38144347,1.704555042,1.140689856,1.6986252,1.185989576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403.5,405,0.809505778,1.286033687,0.503033756,0.872773992,0.808355778,0.860204715,1.60568514,3.33634597,1.757883778,1.029108243,1.60453514,1.091899516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408.4,409.4,0.722920012,1.235940302,0.530728901,0.789671537,0.721840012,0.77361895,1.516756846,3.290564696,1.792044658,0.928975355,1.515676846,1.002971222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412.5,413.9,0.650314705,1.185634336,0.554084491,0.720003739,0.649149705,0.701013643,1.441985935,3.246605573,1.824842504,0.843446919,1.440820935,0.928200311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416.9,418.5,0.591339432,1.142162216,0.567547585,0.662721764,0.590259432,0.64203837,1.378428356,3.202135396,1.838227052,0.775499276,1.377348356,0.864642732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421.5,423,0.543255628,1.098254901,0.566922179,0.6145593,0.542378128,0.593954566,1.336683324,3.152955408,1.828761586,0.736858868,1.335805824,0.8228977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426.3,427.8,0.505102329,1.056305361,0.565275539,0.576198898,0.504292329,0.555801267,1.296716918,3.107945302,1.823857282,0.698501049,1.295906918,0.782931294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431.1,432.5,0.460070304,1.020000151,0.569987842,0.531759555,0.459260304,0.510769242,1.256304444,3.064771095,1.820435138,0.659211021,1.255494444,0.74251882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435.6,436.8,0.427741035,0.985797747,0.566490419,0.498990403,0.426931035,0.478439973,1.217834306,3.024304605,1.815479161,0.622366418,1.217024306,0.704048682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,441.4,0.396817441,0.951110764,0.562652931,0.467584156,0.396277441,0.447516379,1.184801812,2.987296713,1.812453959,0.590326175,1.184261812,0.671016188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.6,446.2,0.369350158,0.922347607,0.562152568,0.44005394,0.368810158,0.420049095,1.152079191,2.949771312,1.808450391,0.558916704,1.151539191,0.638293567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,450.9,0.342456996,0.896804345,0.561766113,0.413112173,0.341916996,0.393155934,1.120476772,2.91452923,1.804422091,0.528635547,1.119936772,0.606691149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453.8,455.7,0.321591722,0.868321566,0.554581344,0.391343247,0.321051722,0.37229066,1.09131218,2.881415532,1.800425841,0.500781704,1.09077218,0.577526556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458.7,460.4,0.301343115,0.850365472,0.556345887,0.371316572,0.300803115,0.352042053,1.064691022,2.847830857,1.791775047,0.476997962,1.064151022,0.550905398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463.4,465.2,0.281095707,0.831331934,0.555922919,0.351015966,0.280555707,0.331794645,1.040817198,2.817093561,1.784641222,0.455463997,1.040277198,0.527031574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,470.1,0.266563049,0.815696812,0.556113839,0.336507321,0.266023049,0.317261987,1.019440338,2.787671746,1.777110373,0.436557216,1.018900338,0.505654714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473.1,475,0.249611436,0.799477392,0.555493666,0.319477706,0.249341436,0.300310373,0.997877138,2.75959443,1.769410446,0.417519553,0.997607138,0.484091514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477.6,479.9,0.236282651,0.782893956,0.553502318,0.305898463,0.236012651,0.286981589,0.97965651,2.733150259,1.763410768,0.401266789,0.97938651,0.465870886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482.2,484.5,0.222500624,0.768801943,0.552421749,0.291980529,0.222230624,0.273199561,0.959822473,2.707159472,1.755888416,0.383900045,0.959552473,0.446036849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486.9,489,0.209993658,0.756344187,0.551910456,0.279409256,0.209723658,0.260692596,0.942347839,2.682007822,1.747569495,0.369153974,0.942077839,0.428562215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491.6,493.5,0.19755001,0.744129957,0.55135797,0.266896121,0.19728001,0.248248948,0.924645598,2.656874832,1.739333104,0.354153227,0.924375598,0.410859974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496.1,498.2,0.186233639,0.730248367,0.548761748,0.255253214,0.185963639,0.236932577,0.907820645,2.631054283,1.730544658,0.34021084,0.907550645,0.394035021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500.8,503.1,0.175609355,0.717656646,0.547204126,0.244433023,0.175339355,0.226308293,0.891457885,2.607807574,1.724366535,0.325874473,0.891187885,0.377672261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505.4,507.6,0.165295685,0.705992311,0.544837211,0.233821658,0.165025685,0.215994623,0.875424194,2.583257936,1.714537399,0.313064688,0.875154194,0.36163857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510.2,512.6,0.15626168,0.697472854,0.545235179,0.224837707,0.15565168,0.206960618,0.860798032,2.558985958,1.704634489,0.30168663,0.860188032,0.347012409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515.1,518,0.148046002,0.685674916,0.5420466,0.21622099,0.147436002,0.198744939,0.847636297,2.536327635,1.69595453,0.291371877,0.847026297,0.333850673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520.3,522.3,0.140124633,0.677214069,0.540751939,0.208136788,0.139514633,0.190823571,0.834612643,2.51319166,1.684499727,0.28210534,0.834002643,0.320827019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524.6,527.2,0.132250251,0.666886001,0.538291985,0.199953009,0.131640251,0.182949188,0.821883118,2.490705005,1.674672123,0.272599219,0.821273118,0.308097494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529.4,532,0.125500279,0.661480986,0.54027977,0.193453047,0.125230279,0.176199216,0.811082681,2.468074794,1.663778278,0.265371907,0.810812681,0.297297057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.1,537,0.117728897,0.656519692,0.543235512,0.186053419,0.117458897,0.168427835,0.798815384,2.446127695,1.653736039,0.256398413,0.798545384,0.28502976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538.9,541.8,0.110372124,0.64671379,0.54003574,0.1782942,0.110102124,0.161071062,0.788183007,2.42622894,1.643979519,0.248966126,0.787913007,0.274397384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543.5,546.4,0.104512559,0.639769255,0.539011112,0.172305764,0.104242559,0.155211497,0.778771112,2.40547644,1.63290084,0.24318798,0.778501112,0.264985488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548.1,551,0.09855728,0.633709403,0.538308267,0.166262086,0.09830078,0.149256217,0.768943749,2.385422463,1.622351222,0.236820838,0.768687249,0.255158125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.9,555.5,0.093333318,0.625078461,0.534262049,0.160529218,0.093333318,0.144032255,0.759223736,2.366188989,1.611563246,0.230639226,0.759223736,0.245438112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.7,560.3,0.088686722,0.618835056,0.533382462,0.155771994,0.088686722,0.13938566,0.750735133,2.348077053,1.603010901,0.224955749,0.750735133,0.236949509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561.8,564.7,0.083586752,0.613382437,0.528705799,0.150083824,0.083586752,0.134285689,0.741795586,2.33033785,1.589484094,0.220452925,0.741795586,0.228009962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565.9,569.1,0.085127626,0.596611697,0.518370046,0.150324736,0.085127626,0.135826563,0.740464034,2.317980211,1.587394412,0.219806779,0.740464034,0.22667841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,573.5,0.076304971,0.592106658,0.520515301,0.141771897,0.076574971,0.127003908,0.727807546,2.300593318,1.580854707,0.20929528,0.728077546,0.214021922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574.2,578,0.070648634,0.589485806,0.523274842,0.136462637,0.070578634,0.121347572,0.718124824,2.284949468,1.57375159,0.201942344,0.718054824,0.2043392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,582.4,0.065043156,0.581560676,0.520903481,0.130558905,0.064803156,0.115742094,0.709374998,2.269319935,1.566877568,0.195447162,0.709134998,0.195589374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583.2,586.4,0.059625204,0.577241532,0.521822723,0.125256569,0.058875204,0.110324142,0.70081116,2.253433359,1.559020481,0.189460408,0.70006116,0.187025536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587.8,591.3,0.053578512,0.57422488,0.52504237,0.119614822,0.052182512,0.104277449,0.691613629,2.238455911,1.554869215,0.181624472,0.690217629,0.177828005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592.2,595.7,0.04805211,0.568827879,0.523400434,0.113881909,0.04624811,0.098751048,0.681522627,2.223772157,1.547766184,0.173863227,0.679718627,0.167737003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596.7,600.4,0.044677541,0.567631311,0.523005792,0.110457704,0.042108541,0.095376479,0.674429787,2.209553579,1.537391457,0.170173245,0.671860787,0.160644163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601.4,605.3,0.044611459,0.566285015,0.518840525,0.109867743,0.041022459,0.095310397,0.671549239,2.195059978,1.522910455,0.172042392,0.667960239,0.157763615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.1,609.8,0.048025623,0.563111417,0.51339875,0.112597477,0.043815623,0.098724561,0.672272658,2.181185662,1.508118398,0.17761753,0.668062658,0.158487034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
