gr3_chaet_cuvette,,
Wavelength (nm),Abs,
850,-0.03024004586,
849,-0.03130521625,
848,-0.03205753118,
847,-0.02423176169,
846,-0.0314011164,
845,-0.03165340424,
844,-0.0342935808,
843,-0.02428027987,
842,-0.03413869068,
841,-0.02593953721,
840,-0.03024738654,
839,-0.02946928702,
838,-0.03070135415,
837,-0.03277484328,
836,-0.03042162582,
835,-0.03182838112,
834,-0.02639188804,
833,-0.03117224202,
832,-0.03130627796,
831,-0.0316895023,
830,-0.03017963096,
829,-0.03278046101,
828,-0.02924854122,
827,-0.03400160372,
826,-0.03223109618,
825,-0.03062040173,
824,-0.02851345018,
823,-0.03039319441,
822,-0.03304984793,
821,-0.03130830079,
820,-0.03226661682,
819,-0.0287101455,
818,-0.03068152815,
817,-0.03303180635,
816,-0.02914587408,
815,-0.03234500438,
814,-0.03344927356,
813,-0.03195528314,
812,-0.03247103468,
811,-0.03089440987,
810,-0.03241813928,
809,-0.03035607003,
808,-0.02909266576,
807,-0.03187394142,
806,-0.03407599404,
805,-0.02969886363,
804,-0.02934939601,
803,-0.03091012686,
802,-0.03040941246,
801,-0.03076155111,
800,-0.03037431836,
799,-0.0319740437,
798,-0.03255587071,
797,-0.02924108878,
796,-0.03219393641,
795,-0.03145929053,
794,-0.03243697062,
793,-0.03456580639,
792,-0.03210508823,
791,-0.03284781054,
790,-0.03473253921,
789,-0.03177987784,
788,-0.0315856263,
787,-0.03209080547,
786,-0.0335105285,
785,-0.03219888732,
784,-0.03323092684,
783,-0.03320617974,
782,-0.03215038031,
781,-0.03349341825,
780,-0.03276384994,
779,-0.03307301924,
778,-0.03271814436,
777,-0.03276164085,
776,-0.03238858655,
775,-0.03158798814,
774,-0.03224984184,
773,-0.03406177461,
772,-0.03225743398,
771,-0.03278117999,
770,-0.03328900039,
769,-0.03307743371,
768,-0.03368087858,
767,-0.03323375806,
766,-0.03241789714,

