gr3_Ccdom_cuvette,,
Wavelength (nm),Abs,
850,-0.0136450585,
849,-0.008021811023,
848,-0.01647527143,
847,-0.009142617695,
846,-0.01515992358,
845,-0.01528609451,
844,-0.01450763736,
843,-0.009362875484,
842,-0.01519746892,
841,-0.008285814896,
840,-0.01339558791,
839,-0.01294838265,
838,-0.01473159716,
837,-0.01857686602,
836,-0.01500460785,
835,-0.0110889338,
834,-0.01031984668,
833,-0.01783440262,
832,-0.0129015455,
831,-0.01566239074,
830,-0.01350510959,
829,-0.01539823879,
828,-0.01478153933,
827,-0.01749757864,
826,-0.01611963287,
825,-0.01239446271,
824,-0.01337083895,
823,-0.0141443694,
822,-0.01362363435,
821,-0.01521076635,
820,-0.01392171066,
819,-0.0122121321,
818,-0.01273596939,
817,-0.0138339093,
816,-0.01275326405,
815,-0.01605981588,
814,-0.01720707305,
813,-0.01518946979,
812,-0.01306309085,
811,-0.01237277593,
810,-0.01637537219,
809,-0.01300109271,
808,-0.01212589722,
807,-0.01680651307,
806,-0.01574642956,
805,-0.01279981434,
804,-0.01495349128,
803,-0.01611948386,
802,-0.01515162364,
801,-0.01393163856,
800,-0.01314326283,
799,-0.01371830143,
798,-0.01526160352,
797,-0.01326103322,
796,-0.01436491124,
795,-0.01562079135,
794,-0.01523446105,
793,-0.01443557907,
792,-0.01356001012,
791,-0.0140281925,
790,-0.01615475118,
789,-0.01350505929,
788,-0.01407971885,
787,-0.01446046773,
786,-0.01449717209,
785,-0.01255514007,
784,-0.01331295259,
783,-0.01497159805,
782,-0.01182205137,
781,-0.01367405616,
780,-0.01346596237,
779,-0.01536340918,
778,-0.01484828722,
777,-0.01511297468,
776,-0.01262590196,
775,-0.0126594929,
774,-0.01399580948,
773,-0.01470201928,
772,-0.01166523527,
771,-0.01423431374,
770,-0.01402348094,
769,-0.01310754847,
768,-0.01362383552,
767,-0.01366648078,
766,-0.01347996574,
765,-0.01289365534,
764,-0.01445631124,
763,-0.01415554527,
762,-0.01434853207,
761,-0.0149287805,
760,-0.01361184381,
759,-0.01222657878,
758,-0.01349602547,
757,-0.01357135084,
756,-0.01436200645,
755,-0.01312904805,
754,-0.0139731504,
753,-0.01325942576,
752,-0.01358103566,
751,-0.01254704222,
750,-0.01421843003,
749,-0.0129425535,
748,-0.01437132247,
747,-0.01379248407,
746,-0.01501876209,
745,-0.01360612363,
744,-0.01422013436,
743,-0.01311890129,
742,-0.01381871384,
741,-0.0132520441,
740,-0.0141605055,
739,-0.01521121617,
738,-0.01379639655,
737,-0.01389232837,
736,-0.01459229924,
735,-0.01507832203,
734,-0.01285123639,
733,-0.01391714811,
732,-0.01380462106,
731,-0.01387763675,
730,-0.01352147013,
729,-0.0127925761,
728,-0.01280192565,
727,-0.01320529077,
726,-0.01335115917,
725,-0.01453297213,
724,-0.01426717918,
723,-0.01335788704,
722,-0.0137164956,
721,-0.01388821751,
720,-0.01358986646,
719,-0.01390386093,
718,-0.01455004513,
717,-0.015116225,
716,-0.01448906027,
715,-0.01398152206,
714,-0.0136110913,
713,-0.01515117381,
712,-0.01408192422,
711,-0.01400262769,
710,-0.01395023894,
709,-0.01368800178,
708,-0.01387432776,
707,-0.01367425639,
706,-0.01479514968,
705,-0.01459985785,
704,-0.01402327977,
703,-0.01457002107,
702,-0.01350134611,
701,-0.01498330198,
700,-0.01408483181,
699,-0.01324175019,
698,-0.01402403228,
697,-0.01406924427,
696,-0.01474581007,
695,-0.01336275693,
694,-0.01363105979,
693,-0.0135974437,
692,-0.0141327437,
691,-0.01398688648,
690,-0.01381114125,
689,-0.01336903218,
688,-0.01361184381,
687,-0.01262444351,
686,-0.01195337623,
685,-0.01395013835,
684,-0.0125454329,
683,-0.0130080767,
682,-0.01155318134,
681,-0.01111759804,
680,-0.01198213454,
679,-0.01210908126,
678,-0.01170061436,
677,-0.01148814429,
676,-0.01044894755,
675,-0.01033880468,
674,-0.009980430827,
673,-0.01027287729,
672,-0.01004989352,
671,-0.01135687996,
670,-0.01042635553,
669,-0.01064565964,
668,-0.0108907558,
667,-0.01097627729,
666,-0.01163726207,
665,-0.01171830297,
664,-0.0111446958,
663,-0.01108691562,
662,-0.01161820907,
661,-0.01173362229,
660,-0.01222667936,
659,-0.01261222269,
658,-0.01296184957,
657,-0.0129052652,
656,-0.01275864244,
655,-0.01254015137,
654,-0.01274426468,
653,-0.0136163095,
652,-0.01331847534,
651,-0.0135392854,
650,-0.01326610427,
649,-0.0131335184,
648,-0.01337786764,
647,-0.01287983451,
646,-0.01324315649,
645,-0.01370425522,
644,-0.01320629567,
643,-0.0122909518,
642,-0.01231707074,
641,-0.01285756938,
640,-0.01200177521,
639,-0.01253517158,
638,-0.01329628285,
637,-0.01276512817,
636,-0.01311804727,
635,-0.01315637212,
634,-0.0130375186,
633,-0.01300144475,
632,-0.01292350702,
631,-0.01315004379,
630,-0.01304148789,
629,-0.01243873779,
628,-0.01335863955,
627,-0.01357526518,
626,-0.01267296914,
625,-0.01296089496,
624,-0.01375732571,
623,-0.01269438863,
622,-0.01287802495,
621,-0.01320539135,
620,-0.01270173024,
619,-0.01379052829,
618,-0.01316099335,
617,-0.01314075105,
616,-0.01335522626,
615,-0.01279021334,
614,-0.01287244633,
613,-0.01352382917,
612,-0.01364555955,
611,-0.01368584484,
610,-0.01400192548,
609,-0.01413038839,
608,-0.01338379178,
607,-0.01404784154,
606,-0.01394733135,
605,-0.01378511172,
604,-0.01381144207,
603,-0.01458078437,
602,-0.01443557907,
601,-0.01363050845,
600,-0.01406207681,
599,-0.01402418222,
598,-0.01407876704,
597,-0.01441955287,
596,-0.01408162434,
595,-0.01360040437,
594,-0.01409555692,
593,-0.01418621186,
592,-0.01460771728,
591,-0.01456105988,
590,-0.01375110541,
589,-0.01353522111,
588,-0.01477553509,
587,-0.01367872115,
586,-0.01367305219,
585,-0.01435739826,
584,-0.013364112,
583,-0.01451354567,
582,-0.01417774335,
581,-0.01394066308,
580,-0.01474545989,
