gr3_MQ_cuvette_blank2,,
Wavelength (nm),Abs,
850,-0.004959899001,
849,-0.004959438462,
848,-0.00191325671,
847,-0.001594802015,
846,-0.004107565619,
845,-0.003797028912,
844,-0.006693212315,
843,-0.001803195453,
842,-0.004869908094,
841,-0.0001593247871,
840,-0.005034570117,
839,-0.001866658102,
838,-0.00441644527,
837,-0.01153977215,
836,-0.008752712049,
835,-0.003414568491,
834,-0.00101798831,
833,-0.004221145995,
832,-0.006420433521,
831,-0.006030678749,
830,-0.005392853636,
829,-0.004038069397,
828,-0.00555195054,
827,-0.008338839747,
826,-0.006864420604,
825,-0.00494996924,
824,-0.003112685634,
823,-0.007092712913,
822,-0.00507371733,
821,-0.003864921629,
820,-0.005074843299,
819,-0.002844848903,
818,-0.00227484433,
817,-0.006044310983,
816,-0.002364808228,
815,-0.005437132437,
814,-0.00543012796,
813,-0.005090552382,
812,-0.006226646248,
811,-0.005318908952,
810,-0.00478778407,
809,-0.005746396724,
808,-0.003265631618,
807,-0.007767105941,
806,-0.006373448763,
805,-0.003371469909,
804,-0.00561588956,
803,-0.004118796904,
802,-0.004929750692,
801,-0.00521958014,
800,-0.005491937976,
799,-0.003882111283,
798,-0.006821153685,
797,-0.003249188419,
796,-0.005966187455,
795,-0.004491670989,
794,-0.006046148948,
793,-0.006446041167,
792,-0.004359761253,
791,-0.003802879481,
790,-0.006818503141,
789,-0.003936908208,
788,-0.003044058103,
787,-0.004892330617,
786,-0.006207762752,
785,-0.004121566191,
784,-0.004252471495,
783,-0.004167820793,
782,-0.004140489269,
781,-0.005021827295,
780,-0.004576617386,
779,-0.005215129815,
778,-0.005013843533,
777,-0.006427932531,
776,-0.004233297426,
775,-0.005528283771,
774,-0.004646437243,
773,-0.006491538603,
772,-0.003510459093,
771,-0.005538047291,
770,-0.004003907088,
769,-0.005390092265,
768,-0.005034212023,
767,-0.005167605355,
766,-0.003448212286,
765,-0.00225146208,
764,-0.005490302108,
763,-0.006239710841,
762,-0.00413669413,
761,-0.005417652428,
760,-0.004364066757,
759,-0.003931059502,
758,-0.00472228881,
757,-0.004390769172,
756,-0.003879853524,
755,-0.004086076748,
754,-0.004094231408,
753,-0.004193561152,
752,-0.003954248969,
751,-0.002806837671,
750,-0.004543676041,
749,-0.003464545123,
748,-0.005762184039,
747,-0.004109822214,
746,-0.005679104477,
745,-0.004739547148,
744,-0.005046954378,
743,-0.004152488429,
742,-0.005075047724,
741,-0.004708922468,
740,-0.004334081896,
739,-0.005233647302,
738,-0.004228990525,
737,-0.005880848505,
736,-0.003522784216,
735,-0.004497461021,
734,-0.004720240366,
733,-0.005186738446,
732,-0.004314142279,
731,-0.004124181345,
730,-0.005046442617,
729,-0.004040480126,
728,-0.004230015911,
727,-0.004543880932,
726,-0.005067627877,
725,-0.00517839985,
724,-0.004755165894,
723,-0.004774573259,
722,-0.004314090591,
721,-0.005004733801,
720,-0.00469929399,
719,-0.005175637547,
718,-0.00521221431,
717,-0.005276203621,
716,-0.004779591225,
715,-0.00530806696,
714,-0.004062791821,
713,-0.005336757284,
712,-0.004922737833,
711,-0.004919564351,
710,-0.00469806511,
709,-0.005931614898,
708,-0.00483309757,
707,-0.004795055371,
706,-0.006092556752,
705,-0.005445670802,
704,-0.005035798531,
703,-0.004403889179,
702,-0.004892894067,
701,-0.004881529137,
700,-0.005587217864,
699,-0.005033034831,
698,-0.003959379159,
697,-0.004808521364,
696,-0.005189040676,
695,-0.004338746425,
694,-0.004897398874,
693,-0.004687412176,
692,-0.005244696047,
691,-0.005524858832,
690,-0.005635054316,
689,-0.005767139606,
688,-0.005990851671,
687,-0.004798178561,
686,-0.005114805419,
