gr3_cdom_cuvette_2_bleach2,,
Wavelength (nm),Abs,
850,-0.007762478199,
849,-0.006597409956,
848,-0.007899459451,
847,-0.004670971539,
846,-0.01188371424,
845,-0.009681408294,
844,-0.008612700738,
843,-0.008133509196,
842,-0.00993630942,
841,-0.003300519893,
840,-0.008293433115,
839,-0.00639191689,
838,-0.008024911396,
837,-0.01106703095,
836,-0.005833447911,
835,-0.00764839584,
834,-0.00437995512,
833,-0.005523427855,
832,-0.008528641425,
831,-0.008107746951,
830,-0.006975601427,
829,-0.010322324,
828,-0.009395656176,
827,-0.008732466027,
826,-0.009338503703,
825,-0.006090922747,
824,-0.004567395896,
823,-0.006835780106,
822,-0.007740966044,
821,-0.006896728184,
820,-0.008752610534,
819,-0.006219194736,
818,-0.00785827823,
817,-0.008972762153,
816,-0.005057086702,
815,-0.007855481468,
814,-0.008871424943,
813,-0.009190266952,
812,-0.008052609861,
811,-0.006213835906,
810,-0.007581753656,
809,-0.006196483504,
808,-0.005600710865,
807,-0.008262448944,
806,-0.01037323009,
805,-0.007148735691,
804,-0.006748930085,
803,-0.00789549388,
802,-0.007305510808,
801,-0.007020737976,
800,-0.006977893878,
799,-0.007406144869,
798,-0.007073917892,
797,-0.005829361267,
796,-0.007441567723,
795,-0.006874051876,
794,-0.007452814374,
793,-0.007587705739,
792,-0.005002584308,
791,-0.006040022243,
790,-0.007380899508,
789,-0.00710697379,
788,-0.006570383441,
787,-0.007688427344,
786,-0.007879937068,
785,-0.007576563861,
784,-0.006582979113,
783,-0.007406501099,
782,-0.006345490459,
781,-0.007710145321,
780,-0.006981409155,
779,-0.00789340958,
778,-0.008432887495,
777,-0.007634813897,
776,-0.005549599417,
775,-0.007957767695,
774,-0.008076240309,
773,-0.007785158698,
772,-0.006604701746,
771,-0.007709484082,
770,-0.007947397418,
769,-0.006816515699,
768,-0.006817789748,
767,-0.006465117913,
766,-0.008695423603,
765,-0.006368244998,
764,-0.007074019872,
763,-0.009249364957,
762,-0.007036886178,
761,-0.007985317148,
760,-0.006884804461,
759,-0.00660077529,
758,-0.007162180264,
757,-0.005475067534,
756,-0.007415255532,
755,-0.007745136507,
754,-0.006698819809,
753,-0.00645940518,
752,-0.007413677406,
751,-0.006010101642,
750,-0.008076850325,
749,-0.007034899667,
748,-0.008270881139,
747,-0.006298446562,
746,-0.008962619118,
745,-0.006408853922,
744,-0.006898817606,
743,-0.006886689924,
742,-0.008214901201,
741,-0.007435155101,
740,-0.0074231443,
739,-0.007597982418,
738,-0.006347173825,
737,-0.006561102346,
736,-0.006683984771,
735,-0.006627340801,
734,-0.006485163234,
733,-0.007538812235,
732,-0.007941094227,
731,-0.006514336914,
730,-0.007123118732,
729,-0.006623771507,
728,-0.006683729589,
727,-0.006653751712,
726,-0.007415102795,
725,-0.009206689894,
724,-0.007146494929,
723,-0.007415102795,
722,-0.007233622484,
721,-0.00677905418,
720,-0.006695506163,
719,-0.007202052977,
718,-0.007895239629,
717,-0.007487114053,
716,-0.008591890335,
715,-0.007403294556,
714,-0.00685336208,
713,-0.00784744788,
712,-0.007665029261,
711,-0.007703787647,
710,-0.008633204736,
709,-0.00792584382,
708,-0.006739550736,
707,-0.006830785889,
706,-0.008583108895,
705,-0.007548886351,
704,-0.007600933313,
703,-0.007646106649,
702,-0.007463501766,
701,-0.008370428346,
700,-0.007566439454,
699,-0.007336003706,
698,-0.006905543618,
697,-0.007899357937,
696,-0.008480157703,
695,-0.00817771256,
694,-0.007402327843,
693,-0.007317830343,
692,-0.007455308456,
691,-0.008143416606,
690,-0.007476020139,
689,-0.007151944097,
688,-0.00781292282,
687,-0.008215714246,
686,-0.007515100762,
685,-0.008361998014,
684,-0.008526458405,
683,-0.009570057504,
682,-0.007986689918,
681,-0.007713705767,
680,-0.008188889362,
679,-0.008262855001,
678,-0.008156780154,
677,-0.007582262158,
676,-0.007353362162,
675,-0.007744119037,
674,-0.008200218901,
673,-0.008323806338,
672,-0.007229498122,
671,-0.008406127803,
670,-0.008157134987,
669,-0.00763964653,
668,-0.0075130146,
667,-0.007636136375,
666,-0.007346795406,
665,-0.007219263352,
664,-0.007984758355,
663,-0.0073727048,
662,-0.007598338649,
661,-0.008213732392,
660,-0.00842745509,
659,-0.008346051909,
658,-0.008162673563,
657,-0.008296988904,
656,-0.008314613253,
655,-0.00750548346,
654,-0.008368194103,
653,-0.008682585321,
652,-0.008253051899,
651,-0.008183301426,
650,-0.007988774218,
649,-0.007735168096,
648,-0.008456701413,
647,-0.00772601366,
646,-0.00848513376,
645,-0.008488737978,
644,-0.007253683172,
643,-0.007716452237,
642,-0.007735778578,
641,-0.007911355235,
640,-0.007447674405,
639,-0.007473323029,
638,-0.007870226167,
637,-0.00755641656,
636,-0.008193512447,
635,-0.00882505998,
634,-0.008095245808,
633,-0.007426197641,
632,-0.00817654375,
631,-0.007972711697,
630,-0.008054083213,
629,-0.007164064329,
628,-0.007842821069,
627,-0.008337823674,
626,-0.007059706841,
625,-0.007760392968,
624,-0.008104545064,
623,-0.007533876691,
622,-0.00804793369,
621,-0.008253406733,
620,-0.007469404954,
619,-0.007646513637,
618,-0.007704805117,
617,-0.007683849428,
616,-0.007714722771,
615,-0.008376928978,
614,-0.008516254835,
613,-0.008234662004,
612,-0.008340870962,
611,-0.008278347552,
610,-0.008188737556,
609,-0.008236033842,
608,-0.008099108003,
607,-0.008167957887,
606,-0.007573562209,
605,-0.007993907668,
604,-0.008075021207,
603,-0.00856935326,
602,-0.00891905278,
601,-0.008277992718,
600,-0.008586864918,
599,-0.00868994277,
598,-0.008083964698,
597,-0.009151691571,
596,-0.008812477812,
595,-0.007924216799,
594,-0.008441570215,
593,-0.008111862466,
592,-0.0092199184,
591,-0.009192041121,
590,-0.008340058848,
589,-0.008557982743,
588,-0.009159397334,
587,-0.008609502576,
586,-0.008141689003,
585,-0.008769353852,
584,-0.008306639269,
583,-0.008883954026,
582,-0.008285459131,
581,-0.008523057215,
580,-0.00999748148,
579,-0.00831263233,
578,-0.008483610116,
577,-0.008664061315,
576,-0.008048340678,
575,-0.007710043807,
574,-0.008892069571,
573,-0.00816922728,
572,-0.0079137953,
571,-0.008497165516,
570,-0.008785792626,
569,-0.008032229729,
568,-0.006973257754,
567,-0.009093138389,
566,-0.008460611105,
565,-0.008402775973,
564,-0.008469698951,
563,-0.009249719791,
562,-0.008225112222,
561,-0.008788582869,
560,-0.007615533657,
559,-0.008593564853,
558,-0.008941520937,
557,-0.008423544466,
556,-0.008050881326,
555,-0.00801611878,
554,-0.008162572049,
553,-0.008462388068,
552,-0.008024657145,
551,-0.007798583712,
550,-0.007982013747,
549,-0.008348234929,
548,-0.008248631842,
547,-0.008481985889,
546,-0.008815775625,
545,-0.00919711031,
544,-0.008661930449,
543,-0.007987808436,
542,-0.007981403731,
541,-0.008450252935,
540,-0.008258740418,
539,-0.007828432135,
538,-0.007872208953,
537,-0.007961325347,
536,-0.008749717847,
535,-0.007846482098,
534,-0.008469445631,
533,-0.008012459613,
532,-0.008434309624,
531,-0.007647632621,
530,-0.008116994984,
529,-0.008151800372,
528,-0.007525226567,
527,-0.008448424749,
526,-0.008189346641,
525,-0.008656601422,
524,-0.007822533138,
523,-0.00795974955,
522,-0.007183364592,
521,-0.008414201438,
520,-0.008466703817,
519,-0.007942517288,
518,-0.0082243504,
517,-0.007873937488,
516,-0.008415673859,
515,-0.007960309274,
514,-0.008073598146,
513,-0.007440855261,
512,-0.00870542042,
511,-0.008631378412,
510,-0.007755510975,
509,-0.007399884518,
508,-0.007725047413,
507,-0.008136506192,
506,-0.008225264028,
505,-0.008053270169,
504,-0.008771484718,
503,-0.007722148206,
502,-0.008106019348,
501,-0.007900526747,
500,-0.008227397688,
499,-0.008382209577,
498,-0.008215154521,
497,-0.00873698201,
496,-0.00803949777,
495,-0.007337785326,
494,-0.007935095578,
493,-0.007795074955,
492,-0.008053828962,
491,-0.00771365501,
490,-0.00822887104,
489,-0.008425829932,
488,-0.008301814087,
487,-0.008562753908,
486,-0.008611888625,
485,-0.007482330315,
484,-0.007290543523,
483,-0.008166992106,
482,-0.007668590173,
481,-0.007889037021,
480,-0.008459087461,
479,-0.008796598762,
478,-0.007543493062,
477,-0.007382222917,
476,-0.008058911189,
475,-0.007392555475,
474,-0.007369752508,
473,-0.007392911706,
472,-0.007181429304,
471,-0.006945745554,
470,-0.006999596953,
469,-0.008197170682,
468,-0.007485841867,
467,-0.007398612332,
466,-0.008001125418,
465,-0.007621434983,
464,-0.007633338682,
463,-0.006562326569,
462,-0.006560592446,
461,-0.006382887252,
460,-0.007296958007,
459,-0.007792430464,
458,-0.006759990938,
457,-0.007121845614,
456,-0.00665762648,
455,-0.006907887291,
454,-0.007539880462,
453,-0.005952808075,
452,-0.005898213945,
451,-0.006323754787,
450,-0.006493221968,
449,-0.006734707858,
448,-0.006228636485,
447,-0.006195666734,
446,-0.005381144118,
445,-0.006757085677,
444,-0.005259887315,
443,-0.005589875858,
442,-0.006291965954,
