gr3_chaet_cuvette,,
Wavelength (nm),Abs,
850,-0.03149622306,
849,-0.02925004251,
848,-0.0315730162,
847,-0.02773850039,
846,-0.02995716967,
845,-0.03278526291,
844,-0.03391269594,
843,-0.02896511555,
842,-0.03127231449,
841,-0.02685827389,
840,-0.03086316399,
839,-0.03060848452,
838,-0.03186542541,
837,-0.03646048531,
836,-0.03300570324,
835,-0.03310310096,
834,-0.02851005457,
833,-0.03096316196,
832,-0.03235975653,
831,-0.03134413809,
830,-0.02909266576,
829,-0.03193691,
828,-0.03278343752,
827,-0.03315476328,
826,-0.02996833064,
825,-0.02846079506,
824,-0.02762391232,
823,-0.0323606208,
822,-0.03229569271,
821,-0.0291332379,
820,-0.03099256754,
819,-0.03203627467,
818,-0.0321534574,
817,-0.0315034911,
816,-0.02986631542,
815,-0.03376787156,
814,-0.03402357548,
813,-0.03179619089,
812,-0.03017311171,
811,-0.03052293137,
810,-0.03079806082,
809,-0.03065017052,
808,-0.02783179097,
807,-0.03197827563,
806,-0.03353113681,
805,-0.02820222825,
804,-0.03099632822,
803,-0.03144267574,
802,-0.03094382957,
801,-0.03034327738,
800,-0.03191920742,
799,-0.03009389713,
798,-0.03096904233,
797,-0.03174797446,
796,-0.03282784298,
795,-0.03097521327,
794,-0.03168459237,
793,-0.03215119615,
792,-0.03012824059,
791,-0.03176452965,
790,-0.03421789035,
789,-0.03258910775,
788,-0.03197755292,
787,-0.0332291536,
786,-0.03232390434,
785,-0.03225474432,
784,-0.03367421776,
783,-0.03278358281,
782,-0.03148264438,
781,-0.03313663229,
780,-0.03227978572,
779,-0.03417841345,
778,-0.03176274896,
777,-0.03362333775,
776,-0.03168642148,
775,-0.03334016353,
774,-0.03235225752,
773,-0.03398192674,
772,-0.03144320473,
771,-0.03248040378,
770,-0.03272169456,
769,-0.03173435479,
768,-0.03233101964,
767,-0.03177054226,
766,-0.03206301481,
765,-0.03175711632,
764,-0.0339611955,
763,-0.03470233455,
762,-0.03272808343,
761,-0.03243005276,
760,-0.03197582066,
759,-0.03284205124,
758,-0.03255985677,
757,-0.03265946358,
756,-0.03248900175,
755,-0.03301059827,
754,-0.03154480457,
753,-0.03275544941,
752,-0.03286576271,
751,-0.03239867836,
750,-0.03318881616,
749,-0.03325380385,
748,-0.03375944123,
747,-0.03322162479,
746,-0.03469349071,
745,-0.03288045153,
744,-0.03392725065,
743,-0.03289153799,
742,-0.03380518407,
741,-0.03422454,
740,-0.03310640901,
739,-0.03357359767,
738,-0.03282596916,
737,-0.03386480734,
736,-0.03367292508,
735,-0.03362798318,
734,-0.0327491127,
733,-0.03395301104,
732,-0.03300925717,
731,-0.03298022598,
730,-0.03314914927,
729,-0.03339783847,
728,-0.0329028666,
727,-0.03292791918,
726,-0.0330311358,
725,-0.03388018161,
724,-0.03333829343,
