gr3_chaet_cuvette2,,
Wavelength (nm),Abs,
850,-0.005737762433,
849,-0.002050652169,
848,-0.008074766956,
847,-0.003871695139,
846,-0.005258506164,
845,-0.01111885998,
844,-0.007750221994,
843,-0.004018423613,
842,-0.007738779299,
841,8.305013034E-5,
840,-0.00521840388,
839,-0.005396893248,
838,-0.005104623269,
837,-0.006020364817,
836,-0.005439637695,
835,-0.002468343824,
834,-6.988648965E-5,
833,-0.004163974896,
832,-0.007426401135,
831,-0.004217300564,
830,-0.002048488008,
829,-0.004920382984,
828,-0.005933606531,
827,-0.004326392896,
826,-0.005884730257,
825,-0.002467211336,
824,0.000902701111,
823,-0.004484958481,
822,-0.00372168282,
821,-0.003037631745,
820,-0.005244235508,
819,-0.003439275082,
818,-0.004514574539,
817,-0.004377341364,
816,-0.002280045999,
815,-0.004622208886,
814,-0.00621802127,
813,-0.005549905822,
812,-0.003669630969,
811,-0.004710407462,
810,-0.005648954771,
809,-0.004032683559,
808,-0.003187212395,
807,-0.004793109372,
806,-0.005363246426,
805,-0.005396432709,
804,-0.002998712007,
803,-0.005077401642,
802,-0.006439052522,
801,-0.003889192129,
800,-0.004924273584,
799,-0.004303377122,
798,-0.003831258975,
797,-0.004829923157,
796,-0.005521229468,
795,-0.005976145156,
794,-0.007392300759,
793,-0.006373244803,
792,-0.00429794332,
791,-0.005181520712,
790,-0.007642545737,
789,-0.004638702609,
788,-0.006084439345,
787,-0.005546787754,
786,-0.005860264879,
785,-0.006670321338,
784,-0.00813005399,
783,-0.006425790023,
782,-0.004089974798,
781,-0.005895456299,
780,-0.005761264358,
779,-0.005989830475,
778,-0.00531906262,
777,-0.006960775703,
776,-0.005325199571,
775,-0.007290390786,
774,-0.005500424188,
773,-0.006227870937,
772,-0.006373244803,
771,-0.007873581722,
770,-0.005833856761,
769,-0.007498359773,
768,-0.006394824944,
767,-0.006308549549,
766,-0.005867364351,
765,-0.007240292616,
764,-0.007483399007,
763,-0.007023489103,
762,-0.006816464476,
761,-0.006709219422,
760,-0.006465169135,
759,-0.006070553325,
758,-0.007110131439,
757,-0.006774059031,
756,-0.007549089845,
755,-0.006569516845,
754,-0.005822056904,
753,-0.005955514964,
752,-0.007037242875,
751,-0.006505615544,
750,-0.007505687419,
749,-0.00641487306,
748,-0.007674287073,
747,-0.007660146337,
746,-0.00863817893,
745,-0.00694696838,
744,-0.007147055119,
743,-0.007486859336,
742,-0.00749479793,
741,-0.006854279432,
740,-0.007222318556,
739,-0.007413779385,
738,-0.006674654782,
737,-0.007572341245,
736,-0.007478513755,
735,-0.007417087443,
734,-0.007816380821,
733,-0.007531078067,
732,-0.006971423514,
731,-0.007543849293,
730,-0.008575342596,
729,-0.006685972679,
728,-0.006647837348,
727,-0.007210352924,
726,-0.00793906115,
725,-0.008606914431,
724,-0.007947702892,
723,-0.007502837572,
722,-0.00810937304,
721,-0.007278274279,
720,-0.007406297605,
719,-0.00744273793,
718,-0.007883342914,
717,-0.007163147908,
716,-0.007512251381,
715,-0.006764680613,
714,-0.006341663655,
713,-0.007076617796,
712,-0.006236903835,
711,-0.006225982681,
710,-0.007048856933,
709,-0.006307069678,
708,-0.005724376068,
707,-0.005898979958,
706,-0.006563907024,
705,-0.004922993947,
704,-0.003054545727,
703,-0.002861873247,
702,-0.001462215558,
701,-0.0009346160805,
700,0.001429001801,
699,0.002766971476,
698,0.004215028137,
697,0.006046955939,
696,0.008978462778,
695,0.01258142572,
694,0.01620786451,
693,0.02000183985,
692,0.02427021042,
691,0.0292370338,
690,0.03546807542,
689,0.04091919959,
688,0.0456081368,
687,0.0535098128,
686,0.05919608474,
685,0.06551523507,
684,0.07096190751,
683,0.07675564289,
682,0.08228099346,
681,0.08801943064,
680,0.09267875552,
679,0.09544362128,
678,0.1004816145,
677,0.1020921767,
676,0.106122911,
675,0.1065455452,
674,0.1087337583,
673,0.1084403843,
672,0.1090024039,
671,0.1068023145,
670,0.1023620814,
669,0.100553453,
668,0.09638652205,
667,0.09145978838,
666,0.08699906617,
665,0.0815179795,
664,0.07553968579,
663,0.069623366,
662,0.06445646286,
661,0.05912572145,
660,0.05434275419,
659,0.0487918742,
658,0.04526522756,
657,0.04135357961,
656,0.03848676383,
655,0.03593566641,
654,0.03363922238,
653,0.03104718029,
652,0.02982750721,
651,0.02869406715,
650,0.02906822227,
649,0.02818152681,
648,0.0281975735,
647,0.02832595445,
646,0.02909861319,
645,0.02977169864,
644,0.031349767,
643,0.03179475665,
642,0.03355976567,
641,0.03397769108,
640,0.03493036702,
639,0.03514177725,
638,0.03465431929,
637,0.03514110297,
636,0.03466068208,
635,0.03474578261,
634,0.03366118297,
633,0.03235224262,
632,0.03253913298,
631,0.03166623786,
630,0.03134453669,
629,0.03106155433,
628,0.03061595559,
627,0.02964901552,
626,0.02993501537,
625,0.02756095678,
624,0.02830020338,
623,0.02865181491,
622,0.02821599878,
621,0.02749906853,
620,0.0280116871,
619,0.02691629343,
618,0.02715913579,
617,0.02580519393,
616,0.02577028051,
615,0.0245808512,
614,0.0233220607,
613,0.02317338996,
612,0.02160701528,
611,0.02066337876,
610,0.020221835,
